date,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOperatingIncome,quarterlyNetIncomeCommonStockholders,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyGoodwill,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyNetOtherInvestingChanges,quarterlyOtherIncomeExpense,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyDilutedAverageShares,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyChangeInAccountPayable,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyGrossProfit,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyDilutedEPS,quarterlyPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyTaxProvision,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyChangesInAccountReceivables,quarterlyNetPPE,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyBasicAverageShares,quarterlyOperatingCashFlow,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyBasicEPS,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyCurrentDebt,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyCommonStockIssuance,quarterlyInventory,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlyCashDividendsPaid,quarterlyNetOtherFinancingCharges,quarterlyChangeInInventory
2013-03-31,,,,,,,,,25884000,,,-16415000,-19241000,,,-19241000,-19241000,,,,11687000,,,,-654000,,,200161184.0,,,,10189000,,14197000,,,30612000,-0.096128,-19002000,,,,239000,,,,,,,,,,,,200161184.0,,,,,20423000,,,-0.096128,,,,,-16415000,,,,,,,,,
2013-06-30,,,,,,,,,37639000,,,-36917000,-35129000,,,-35129000,-35129000,,,,17438000,,,,3398000,,,200161184.0,,,,27561000,,20201000,,,57118000,-0.175504,-34692000,,,,437000,,,,,,,,,,,,200161184.0,,,,,29557000,,,-0.175504,,,,,-36917000,,,,,,,,,
2013-09-30,,,,,,,,,53366000,,,-5765000,-5305000,,,-5305000,-5305000,,,,14524000,,,,665000,,,200161184.0,,,,19978000,,38842000,,,44607000,-0.026504,-5239000,,,,66000,,,,,,,,,,,,200161184.0,,,,,24629000,,,-0.026504,,,,,-5765000,,,,,,,,,
2013-12-31,369495000.0,-274851000.0,,551775000.0,768000.0,,252342000.0,,71424000,55159000.0,606934000.0,1193000,21560000,,370263000.0,21560000,21560000,1210000.0,0.0,7517000.0,16242000,41168000.0,47304000.0,,19535000,,,,5500000.0,,,27858000,236671000.0,55182000,768000.0,15031000.0,53989000,,21089000,3071000.0,45000.0,,-471000,498778000.0,246436000.0,,35702000.0,-45363000.0,3369000.0,,,,,81065000.0,,,521000.0,,,26131000,,824000.0,,,41577000.0,,,1193000,,,,,,,,,
2014-03-31,400413000.0,,,533930000.0,480291000.0,,260011000.0,,67510000,58872000.0,592802000.0,-8062000,-47377000,,880704000.0,-47377000,-47377000,0.0,679000.0,,17443000,52087000.0,60071000.0,,-40188000,,,200161184.0,13538000.0,,,29321000,-287902000.0,50067000,,14571000.0,58129000,-0.236694,-47953000,10308000.0,,,-576000,466212000.0,206201000.0,,34547000.0,,479000.0,,,,,,200161184.0,,,,,28808000,,740000.0,-0.236694,,69692000.0,,,-8062000,,,,,,,,,
2014-06-30,109143000.0,,,605623000.0,612000.0,,255077000.0,,77320000,62378000.0,668001000.0,-10472000,-15372000,,109755000.0,-15372000,-15023000,0.0,612000.0,,19700000,70663000.0,95880000.0,,-6784000,,,192190000.0,13561000.0,,,35937000,557874000.0,57620000,,15659000.0,68092000,-0.08,-15755000,10323000.0,,,-732000,498657000.0,243580000.0,,34953000.0,,3541000.0,,,,,,192190000.0,,,,,32155000,,2925000.0,-0.08,,0.0,,,-10472000,,,,,,,,,
2014-09-30,134865000.0,,,613916000.0,550000.0,,165292000.0,,84130000,78880000.0,692796000.0,-7630000,-5220000,,135415000.0,-5220000,-5246000,0.0,550000.0,,20670000,87368000.0,69825000.0,,0,,,201302000.0,21784000.0,,,39333000,557031000.0,63460000,,19832000.0,71090000,-0.03,-5687000,10043000.0,,,-441000,524036000.0,358744000.0,,32741000.0,,14312000.0,,,,,,201302000.0,,,,,31757000,,2233000.0,-0.03,,0.0,,,-7630000,,,,,,,,,
2014-12-31,112572000.0,-338229000.0,,586190000.0,873000.0,,166414000.0,,105212000,91591000.0,677781000.0,4872000,4591000,,113445000.0,4591000,5012000,1761000.0,873000.0,11652000.0,25786000,87478000.0,120210000.0,,0,,,216845000.0,45199000.0,,,41442000,563281000.0,79426000,873000.0,20957000.0,74554000,0.02,7889000,3539000.0,51000.0,,2877000,449876000.0,283462000.0,,30874000.0,-65921000.0,327000.0,,,,,96795000.0,202844000.0,,-2943000.0,,,33112000,,2420000.0,0.02,,1203000.0,,,4872000,,,,,,,,,
2015-03-31,132138000.0,,,610337000.0,780000.0,,168169000.0,,96290000,93580000.0,703917000.0,-4309000,-2894000,,132918000.0,-2894000,-2845000,0.0,780000.0,,28925000,108715000.0,133262000.0,,0,,,204985000.0,46454000.0,,,37346000,569893000.0,67365000,,21162000.0,71674000,-0.01,-2850000,14812000.0,,,-5000,452541000.0,284372000.0,,29291000.0,,3023000.0,,,,,,204985000.0,,,,,34328000,,2261000.0,-0.01,,0.0,,,-4309000,,,,,,,,,
2015-06-30,180013000.0,,,501978000.0,686000.0,,118471000.0,,107842000,274677000.0,776655000.0,2338000,4196000,,180699000.0,4196000,4153000,0.0,686000.0,,33689000,144513000.0,127548000.0,,608000,,,218125000.0,227200000.0,,,36806000,587761000.0,74153000,,23915000.0,71815000,0.02,4567000,14430000.0,,,414000,337104000.0,218633000.0,,26201000.0,,6846000.0,,,,,,207512000.0,,,,,35009000,,308000.0,0.02,,0.0,,,2338000,,,,,,,,,
