date,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,quarterlyDilutedEPS,quarterlyFreeCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyDepreciationAndAmortization,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyInventory,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyOtherIncomeExpense,quarterlyPurchaseOfInvestment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyChangeInAccountPayable,quarterlyNetIncomeCommonStockholders,quarterlyCashDividendsPaid,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyCashAndCashEquivalents,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,quarterlyEbitda,quarterlyTaxProvision,quarterlyNetPPE,quarterlyAccumulatedDepreciation,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyPretaxIncome,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyNonCurrentDeferredRevenue,quarterlyTotalRevenue,quarterlyDilutedAverageShares,quarterlyChangeInWorkingCapital,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,quarterlyIncomeTaxPayable,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment
1990-03-31,,,,1.5,,,,,,,,77500000,,,,77500000,,,,,,,,,,,,,77500000,,,,,,,,,,,,,,,,1.5,51666667.0,,,,1518200000,,,,,,,,,,,,1518200000,,,,,1518200000,51666667.0,,,,,,,,,
1990-06-30,,,,1.5,,,,,,,,77500000,,,,77500000,,,,,,,,,,,,,77500000,,,,,,,,,,,,,,,,1.5,51666667.0,,,,1518200000,,,,,,,,,,,,1518200000,,,,,1518200000,51666667.0,,,,,,,,,
1990-09-30,,,,1.5,,,,,,,,77500000,,,,77500000,,,,,,,,,,,,,77500000,,,,,,,,,,,,,,,,1.5,51666667.0,,,,1518300000,,,,,,,,,,,,1518300000,,,,,1518300000,51666667.0,,,,,,,,,
1990-12-31,5582000000.0,4041000000.0,1404000000.0,,,,914000000.0,,,,,77500000,,,2318000000.0,77500000,,696000000.0,,,,,,70000000.0,96000000.0,,,,73500000,,,1293000000.0,3338000000.0,,2000000.0,,,,,,,,25000000.0,,,,70000000.0,2244000000.0,,-4079700000,,2748000000.0,,,,,,,,,,-4079700000,924000000.0,,,,1518300000,,,,1541000000.0,1020000000.0,,,,,
1991-03-31,5213000000.0,4102000000.0,1273000000.0,-6.06,70000000.0,-21000000.0,955000000.0,,,1162000000.0,63000000.0,-308000000,,31000000.0,2228000000.0,-308000000,,659000000.0,0.0,-128000000.0,-327000000.0,,,49000000.0,145000000.0,39000000.0,0.0,,-308000000,-12000000.0,,1374000000.0,3292000000.0,21000000.0,55000000.0,27000000.0,,,-46000000.0,81000000.0,,593000000.0,23000000.0,70000000.0,-6.06,50825083.0,49000000.0,1921000000.0,,-64000000,-185000000.0,2728000000.0,-5731000000.0,,270000000.0,,,-5000000.0,-108000000.0,-493000000.0,-153000000.0,-127000000,326000000.0,-116000000.0,223000000.0,,1116000000,50825083.0,309000000.0,8459000000.0,1111000000.0,1064000000.0,,,,,
1991-06-30,5422000000.0,4235000000.0,1550000000.0,-0.79,-243000000.0,14000000.0,914000000.0,,,1107000000.0,59000000.0,-39000000,,24000000.0,2464000000.0,-39000000,,642000000.0,0.0,-164000000.0,6000000.0,,,63000000.0,208000000.0,39000000.0,0.0,,-40000000,-10000000.0,,1452000000.0,3544000000.0,-53000000.0,87000000.0,17000000.0,,,54000000.0,86000000.0,,579000000.0,25000000.0,0.0,-0.79,50632911.0,63000000.0,1878000000.0,,27000000,-26000000.0,2783000000.0,-5760000000.0,,-44000000.0,,,-2000000.0,-3000000.0,-65000000.0,-116000000.0,-32000000,293000000.0,305000000.0,-127000000.0,,1161000000,50632911.0,-95000000.0,8543000000.0,1187000000.0,1080000000.0,,,,,
1991-09-30,5641000000.0,4297000000.0,1786000000.0,0.09,-207000000.0,1000000.0,883000000.0,,,1163000000.0,64000000.0,5000000,,25000000.0,2669000000.0,5000000,,684000000.0,0.0,-78000000.0,21000000.0,,,64000000.0,197000000.0,44000000.0,0.0,,4000000,-14000000.0,,1500000000.0,3772000000.0,-10000000.0,3000000.0,-42000000.0,,,118000000.0,88000000.0,,601000000.0,25000000.0,0.0,0.09,44444444.0,64000000.0,1869000000.0,,94000000,2000000.0,2797000000.0,-5785000000.0,,-48000000.0,,,-4000000.0,-2000000.0,7000000.0,-79000000.0,30000000,305000000.0,207000000.0,-128000000.0,,1281000000,44444444.0,-142000000.0,8582000000.0,1344000000.0,1103000000.0,,,,,
1991-12-31,5627000000.0,4335000000.0,1848000000.0,,-43000000.0,15000000.0,894000000.0,,,1796000000.0,67000000.0,-165000000,,,2742000000.0,-165000000,,623000000.0,0.0,-86000000.0,309000000.0,,,79000000.0,194000000.0,26000000.0,-37000000.0,,-165000000,-13000000.0,,1538000000.0,3935000000.0,-8000000.0,4000000.0,,,,-490000000.0,-2000000.0,,,25000000.0,0.0,,,79000000.0,1692000000.0,,-421000000,-40000000.0,2797000000.0,,,85000000.0,390400000.0,,,,-205000000.0,-84000000.0,-488000000,999000000.0,60000000.0,41000000.0,,1306000000,,,,1292000000.0,1193000000.0,,,,,
1992-03-31,5521000000.0,4376000000.0,1938000000.0,-0.27,-147000000.0,-78000000.0,834000000.0,,,1050000000.0,68000000.0,-13000000,,28000000.0,2772000000.0,-13000000,,676000000.0,0.0,-81000000.0,0.0,,,1000000.0,202000000.0,43000000.0,97000000.0,,-13000000,-13000000.0,,1574000000.0,3852000000.0,-17000000.0,1000000.0,-54000000.0,,,119000000.0,95000000.0,,549000000.0,25000000.0,79000000.0,-0.27,48148148.0,1000000.0,1669000000.0,,92000000,-6000000.0,2802000000.0,-5900000000.0,2000000.0,-84000000.0,,,,-7000000.0,-19000000.0,-69000000.0,24000000,329000000.0,81000000.0,-78000000.0,,1169000000,48148148.0,-37000000.0,8702000000.0,1145000000.0,1080000000.0,,,,,
1992-06-30,5581000000.0,4440000000.0,1825000000.0,0.1,-55000000.0,36000000.0,808000000.0,,,1125000000.0,73000000.0,6000000,,29000000.0,2633000000.0,6000000,,684000000.0,0.0,-64000000.0,11000000.0,,,37000000.0,189000000.0,45000000.0,-130000000.0,,5000000,-12000000.0,,1610000000.0,3718000000.0,21000000.0,1000000.0,-8000000.0,,,140000000.0,95000000.0,,568000000.0,25000000.0,0.0,0.1,50000000.0,37000000.0,1863000000.0,,118000000,5000000.0,2830000000.0,-5957000000.0,201000000.0,,,,,17000000.0,11000000.0,-98000000.0,45000000,328000000.0,57000000.0,43000000.0,,1265000000,50000000.0,-6000000.0,8787000000.0,1141000000.0,1085000000.0,,,,,
1992-09-30,5984000000.0,4516000000.0,1959000000.0,-0.13,-135000000.0,228000000.0,825000000.0,,,1165000000.0,73000000.0,-7000000,,29000000.0,2784000000.0,-7000000,,721000000.0,0.0,-87000000.0,5000000.0,,,265000000.0,455000000.0,44000000.0,33000000.0,,-8000000,-16000000.0,,1674000000.0,4140000000.0,-13000000.0,1000000.0,-37000000.0,,,106000000.0,94000000.0,,561000000.0,25000000.0,0.0,-0.13,61538462.0,265000000.0,1844000000.0,,85000000,-20000000.0,2842000000.0,-5996000000.0,3000000.0,,,,,-13000000.0,-27000000.0,-75000000.0,12000000,340000000.0,375000000.0,-60000000.0,,1271000000,61538462.0,-57000000.0,8838000000.0,1468000000.0,1356000000.0,,,,,
1992-12-31,6251000000.0,4930000000.0,2132000000.0,,-50000000.0,-243000000.0,2609000000.0,,,1436000000.0,74000000.0,-1592000000,,36000000.0,4741000000.0,-257000000,,644000000.0,0.0,-95000000.0,-31000000.0,,,22000000.0,142000000.0,44000000.0,218000000.0,,-1593000000,-15000000.0,,2121000000.0,6004000000.0,-59000000.0,208000000.0,78000000.0,,,-194000000.0,90000000.0,,579000000.0,25000000.0,0.0,,,22000000.0,247000000.0,,-210000000,-102000000.0,2809000000.0,-6033000000.0,6000000.0,-110000000.0,,,,,-359000000.0,-56000000.0,-284000000,542000000.0,-154000000.0,6000000.0,,1242000000,,303000000.0,8842000000.0,1321000000.0,1263000000.0,,,,,
