date,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOperatingExpense,quarterlyRepaymentOfDebt,quarterlyPretaxIncome,quarterlyTaxProvision,quarterlyOtherIntangibleAssets,quarterlyCapitalStock,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyDilutedAverageShares,quarterlyResearchAndDevelopment,quarterlyNetOtherFinancingCharges,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyLongTermDebt,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyBasicEPS,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,quarterlyGrossProfit,quarterlyOtherIncomeExpense,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyOtherShortTermInvestments,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherCurrentLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDilutedEPS,quarterlyTotalAssets,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyIncomeTaxPayable,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory
2010-03-31,,,,,1117000000,,670000000,163000000,,,,-224000000,306964554.0,486000000,,,,,,0,1004000000,,,,,,539000000,1.67,,,,303815518.0,1816000000,-57000000,-969000000.0,,507000000,507000000,372000000,,33000000,,,,259000000,507000000,-1193000000,2169000000,33000000,958000000,,,699000000,2355000000,780000000,,157000000,-9000000,,,,,,1.65,,-9000000,,-236000000,,,,2405000000,,,,,
2010-06-30,,,,,1159000000,,1326000000,309000000,,,,-742000000,307513512.0,472000000,,,,,,0,1246000000,,,,,,586000000,3.35,,,,303819144.0,2303000000,143000000,1329000000.0,,1017000000,1017000000,415000000,,32000000,,,,272000000,1017000000,-1328000000,2155000000,32000000,1416000000,,,1144000000,2889000000,504000000,,70000000,-2000000,,,,,,3.31,,-154000000,,-14000000,,,,2169000000,,,,,
2010-09-30,,,,,1293000000,,1156000000,273000000,,,0.0,-521000000,308003926.0,521000000,-906000000.0,,,,,-907000000,1358000000,,,,,,665000000,2.91,,,,303819350.0,2466000000,-60000000,949000000.0,,883000000,883000000,465000000,,2493000000,,,,307000000,883000000,-1226000000,1355000000,39000000,1480000000,-1512000000.0,,1173000000,3131000000,837000000,,67000000,-8000000,,,,,,2.87,,-40000000,,-800000000,,,,2155000000,,,,,
2010-12-31,6732000000.0,550000000.0,6732000000.0,50000000.0,1523000000,,1851000000,441000000,129000000.0,972000000.0,0.0,-712000000,,594000000,-2000000.0,2983000000.0,-93000000.0,-2787000000.0,265000000.0,0,2355000000,,196000000.0,798000000.0,15000000.0,,795000000,,92000000.0,,65000000.0,,3330000000,-2000000,-2941000000.0,662000000.0,1410000000,1410000000,586000000,9615000000.0,56000000,0.0,2937000000.0,8028000000.0,343000000,1410000000,-319000000,3371000000,56000000,2150000000,,,1807000000,4125000000,1643000000,4422000000.0,520000000,21000000,8195000000.0,5770000000.0,3002000000.0,826000000.0,148000000.0,,12617000000.0,-234000000,,2016000000,,,,1355000000,979000000.0,,,,
2011-03-31,6678000000.0,524000000.0,6678000000.0,49000000.0,1728000000,,1052000000,232000000,119000000.0,972000000.0,,-978000000,315230574.0,723000000,-7000000.0,3674000000.0,,-3142000000.0,108000000.0,-7000000,1121000000,,408000000.0,804000000.0,15000000.0,,894000000,2.7,85000000.0,,64000000.0,303815518.0,3000000000,-254000000,-207000000.0,662000000.0,820000000,820000000,628000000,10362000000.0,70000000,,3161000000.0,8848000000.0,377000000,820000000,-1185000000,3154000000,70000000,1649000000,,,1272000000,3894000000,143000000,4944000000.0,-274000000,-126000000,8643000000.0,6816000000.0,3225000000.0,879000000.0,13000000.0,2.6,13587000000.0,-7000000,,-217000000,,,,3371000000,1305000000.0,,,,
2011-06-30,18646000000.0,639000000.0,18646000000.0,78000000.0,2129000000,,1381000000,256000000,112000000.0,690000000.0,11403000000.0,-1128000000,325258051.0,756000000,-23000000.0,4342000000.0,,,196000000.0,11521000000,1808000000,,334000000.0,813000000.0,0.0,,1034000000,3.61,84000000.0,,194000000.0,311822716.0,3507000000,-33000000,586000000.0,662000000.0,1125000000,1125000000,946000000,22968000000.0,96000000,,3480000000.0,9973000000.0,427000000,1125000000,-542000000,15805000000,96000000,1805000000,0.0,,1378000000,4541000000,680000000,5911000000.0,170000000,-44000000,20731000000.0,,3674000000.0,0.0,-120000000.0,3.46,26642000000.0,-9000000,,12651000000,-1000000.0,,,3154000000,2249000000.0,,,,
2011-09-30,13939000000.0,725000000.0,13939000000.0,119000000.0,2084000000,,2189000000,484000000,106000000.0,658000000.0,0.0,-1711000000,335758197.0,792000000,-23000000.0,5713000000.0,,,3572000000.0,0,2129000000,,442000000.0,938000000.0,0.0,,1294000000,5.28,3898000000.0,,243000000.0,322991507.0,3865000000,361000000,2042000000.0,662000000.0,1705000000,1705000000,804000000,26542000000.0,3383000000,,4013000000.0,11679000000.0,488000000,1705000000,-10604000000,8653000000,50000000,2269000000,-10935000000.0,,1781000000,5159000000,418000000,14498000000.0,240000000,8000000,16300000000.0,,4256000000.0,0.0,1698000000.0,5.08,30798000000.0,-122000000,,-7152000000,,,,15805000000,2600000000.0,,,,
2011-12-31,11491000000.0,900000000.0,11491000000.0,189000000.0,2351000000,,2696000000,573000000,486000000.0,595000000.0,0.0,-1749000000,334864888.0,853000000,-5000000.0,6973000000.0,-735000000.0,-4449000000.0,3051000000.0,84000000,2736000000,,663000000.0,1250000000.0,0.0,258000000.0,1485000000,6.57,7302000000.0,,411000000.0,323241474.0,4954000000,-12000000,4741000000.0,1132000000.0,2123000000,2123000000,916000000,28953000000.0,2142000000,0.0,4712000000.0,13801000000.0,582000000,2123000000,-5463000000,6322000000,70000000,3185000000,-7720000000.0,,2603000000,6439000000,987000000,19571000000.0,-45000000,-7000000,14505000000.0,11422000000.0,5123000000.0,0.0,1828000000.0,6.34,34076000000.0,-296000000,,-2331000000,,,,8653000000,2896000000.0,,,,
2012-03-31,10269000000.0,812000000.0,10269000000.0,216000000.0,2797000000,,1602000000,344000000,432000000.0,570000000.0,,-767000000,335035919.0,1066000000,0.0,6990000000.0,,,4928000000.0,119000000,1827000000,,747000000.0,1158000000.0,0.0,,1518000000,3.88,6639000000.0,,444000000.0,324444817.0,4356000000,-124000000,2863000000.0,1115000000.0,1258000000,1258000000,1070000000,29082000000.0,1271000000,,4554000000.0,15059000000.0,661000000,1258000000,-2079000000,5810000000,81000000,2220000000,-4175000000.0,,1559000000,5874000000,1060000000,20768000000.0,-202000000,-98000000,13312000000.0,,4998000000.0,0.0,478000000.0,3.75,34080000000.0,86000000,,-512000000,,,,6322000000,2946000000.0,,,,
2012-06-30,11930000000.0,871000000.0,11930000000.0,247000000.0,2807000000,,2532000000,549000000,448000000.0,535000000.0,0.0,-696000000,335245767.0,1059000000,0.0,7114000000.0,,,6350000000.0,116000000,2943000000,,918000000.0,1471000000.0,0.0,,1749000000,6.08,7357000000.0,,398000000.0,326161539.0,5052000000,53000000,-3954000000.0,1157000000.0,1983000000,1983000000,1052000000,32914000000.0,-3000000,,5379000000.0,17042000000.0,696000000,1983000000,-4697000000,4677000000,74000000,2941000000,-47000000.0,,2245000000,6801000000,2247000000,23167000000.0,228000000,17000000,15524000000.0,,5777000000.0,0.0,2163000000.0,5.92,38691000000.0,-307000000,,-1133000000,0.0,,,5810000000,3587000000.0,,,,
