date,annualNetPPE,annualGrossProfit,trailingGrossProfit,annualTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,annualOperatingCashFlow,quarterlyCashAndCashEquivalents,trailingOperatingCashFlow,annualBasicAverageShares,annualCapitalStock,annualRepaymentOfDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,annualDilutedEPS,annualBasicEPS,quarterlyAccumulatedDepreciation,trailingNetIncomeCommonStockholders,annualCashCashEquivalentsAndMarketableSecurities,annualOtherCurrentLiabilities,annualGrossPPE,trailingChangeInCashSupplementalAsReported,quarterlyOtherCurrentAssets,annualOtherNonCurrentLiabilities,annualPurchaseOfBusiness,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,annualOtherNonCashItems,quarterlyCurrentDebt,annualInvestingCashFlow,quarterlyGrossPPE,annualCapitalExpenditure,annualOperatingExpense,trailingInvestingCashFlow,quarterlyAccountsPayable,quarterlyOtherCurrentLiabilities,trailingOperatingExpense,annualBeginningCashPosition,quarterlyDilutedEPS,annualPurchaseOfInvestment,trailingBeginningCashPosition,annualNetIncomeContinuousOperations,annualNonCurrentDeferredTaxesLiabilities,trailingInterestExpense,annualChangeInCashSupplementalAsReported,annualChangeInInventory,annualNetOtherFinancingCharges,annualGoodwill,annualStockBasedCompensation,trailingNetIncome,quarterlyNetPPE,trailingNetIncomeContinuousOperations,annualInterestExpense,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,annualInventory,annualAccumulatedDepreciation,quarterlyCurrentLiabilities,trailingFreeCashFlow,quarterlyCurrentAssets,annualOtherShortTermInvestments,annualFreeCashFlow,annualCommonStockIssuance,annualAccountsPayable,annualTotalRevenue,annualOtherCurrentAssets,annualOperatingIncome,quarterlyRetainedEarnings,annualCostOfRevenue,trailingCostOfRevenue,trailingTotalRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualEndCashPosition,annualTotalLiabilitiesNetMinorityInterest,annualTaxProvision,annualNetOtherInvestingChanges,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,annualNetIncome,annualCashDividendsPaid,annualPretaxIncome,annualCurrentDebt,quarterlyOtherNonCurrentLiabilities,trailingOperatingIncome,trailingEndCashPosition,trailingTaxProvision,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,quarterlyTotalLiabilitiesNetMinorityInterest,annualAccountsReceivable,annualCurrentAssets,annualRepurchaseOfCapitalStock,annualStockholdersEquity,annualLongTermDebt,quarterlyLongTermDebt,quarterlyOtherNonCurrentAssets,annualCashAndCashEquivalents,annualTotalAssets,annualDepreciationAndAmortization,trailingPretaxIncome,quarterlyAccountsReceivable,annualCurrentLiabilities,annualRetainedEarnings,quarterlyInventory,annualEbitda,annualDilutedAverageShares,quarterlyBasicEPS,annualSaleOfInvestment,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualNetIncomeCommonStockholders,annualOtherIntangibleAssets,annualCurrentDeferredRevenue,quarterlyOperatingIncome,annualChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,trailingChangesInAccountReceivables,trailingResearchAndDevelopment,trailingNetOtherFinancingCharges,quarterlyCurrentAccruedExpenses,trailingCommonStockIssuance,quarterlyPurchaseOfBusiness,trailingOtherIncomeExpense,trailingChangeInAccountPayable,annualResearchAndDevelopment,quarterlyNetIncomeContinuousOperations,trailingRepaymentOfDebt,trailingCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,annualDeferredIncomeTax,quarterlyChangeInInventory,quarterlyCommonStockIssuance,trailingOtherNonCashItems,annualInvestmentsAndAdvances,quarterlyDepreciationAndAmortization,trailingSaleOfInvestment,quarterlyNetOtherInvestingChanges,trailingPurchaseOfBusiness,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,trailingRepurchaseOfCapitalStock,quarterlyCapitalExpenditure,annualIncomeTaxPayable,quarterlyStockBasedCompensation,trailingStockBasedCompensation,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredRevenue,trailingPurchaseOfInvestment,trailingDilutedEPS,annualCashFlowFromContinuingFinancingActivities,annualGainsLossesNotAffectingRetainedEarnings,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,trailingBasicEPS,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,trailingCashDividendsPaid,annualChangesInAccountReceivables,trailingDilutedAverageShares,trailingDepreciationAndAmortization,trailingChangeInInventory,quarterlyNetIncome,quarterlyGrossProfit,annualOtherIncomeExpense,quarterlyPretaxIncome,trailingDeferredIncomeTax,quarterlyCostOfRevenue,annualCurrentAccruedExpenses,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestmentsAndAdvances,trailingCapitalExpenditure,trailingChangeInWorkingCapital,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,trailingSellingGeneralAndAdministration,trailingNetOtherInvestingChanges,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyEndCashPosition,trailingBasicAverageShares,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,annualNonCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyOperatingExpense
1970-01-01 00:00:01.104451200,780626000.0,54806000.0,28230979000.0,1462804000.0,,22100000.0,,16319877000.0,1270136364.0,,-250800000.0,,,0.043,0.044,,12980772000.0,170952000.0,0.0,,2869975000.0,,181009000.0,0.0,,,22100000.0,,-175811000.0,,-65496000.0,69460000.0,-7528565000.0,,,16509219000.0,306354000.0,,-203579000.0,7933332000.0,49285000.0,13884000.0,169250000.0,-137145000.0,,13842000.0,,,12980772000.0,,13040954000.0,,,,93175000.0,,,13286831000.0,,,-43396000.0,,432425000.0,1299143000.0,685714000.0,-14654000.0,,1244337000.0,25140988000.0,53371967000.0,,170952000.0,950294000.0,2295000.0,70416000.0,,,,55886000.0,-18056000.0,64782000.0,10000000.0,,11721760000.0,10803307000.0,39086000.0,529803000.0,54376000.0,,,951779000.0,,1425264000.0,311580000.0,,,170952000.0,2414583000.0,,13080040000.0,,443821000.0,,,-14654000.0,1299674419.0,,16965000.0,506473000.0,55886000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.135987200,1566937000.0,110585000.0,,20235774000.0,,-69187000.0,,,3290579361.0,,-651287000.0,,,1.094,1.107,,,5068214000.0,0.0,,,,144360000.0,-97374000.0,,,-69187000.0,,-519212000.0,,-411202000.0,667790000.0,,,,,170952000.0,,-165077000.0,,2393833000.0,1778531000.0,,4894216000.0,,1132474000.0,,,,,,,,,86971000.0,,,,,,-480389000.0,,1452047000.0,1291927000.0,995923000.0,-557205000.0,,1181342000.0,,,,5068214000.0,10963557000.0,1683000.0,25257000.0,,,,2395269000.0,-12972000.0,2398388000.0,2943806000.0,,,,,2138985000.0,196662000.0,,,6152147000.0,,14932454000.0,4643355000.0,,,5068214000.0,26387921000.0,,,,4397311000.0,,,-557205000.0,3290579361.0,,128093000.0,6566246000.0,2395269000.0,16494369000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.167523200,3882504000.0,414273000.0,,22426354000.0,,1700246000.0,,,3293135440.0,329612000.0,-223175000.0,,,-0.465,-0.465,,,5822438000.0,0.0,,,,,-94445000.0,,,,,-2892059000.0,,-2768350000.0,1446720000.0,,,,,5068214000.0,,,,-1531510000.0,1778588000.0,,716160000.0,,1828013000.0,,,,,,522226000.0,,,94522000.0,,,,,39241000.0,-1068104000.0,18626000.0,3633845000.0,4669495000.0,5092000.0,-1032447000.0,,4255222000.0,,,,5783197000.0,15085499000.0,5848000.0,-246446000.0,,,,-1531546000.0,-2911000.0,-1525662000.0,532888000.0,,,,,949151000.0,683422000.0,,863138000.0,6782644000.0,,13632799000.0,8439965000.0,,,5783197000.0,29208998000.0,,,,4173686000.0,,,-1003436000.0,3293135440.0,,33730000.0,10911813000.0,-1531546000.0,17142403000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.199059200,4731187000.0,1651967000.0,,22002809000.0,,614112000.0,,,3373065022.0,393564000.0,-1431681000.0,,,-0.138,-0.138,,,8288130000.0,0.0,,,,,-110686000.0,,,-253119000.0,,-838866000.0,,-1321071000.0,1570685000.0,,,,,5783197000.0,,,,-502233000.0,1781500000.0,,2436138000.0,-716000.0,13584000.0,,0.0,,,,557395000.0,92767000.0,,90449000.0,,,,,57768000.0,-706959000.0,3948508000.0,3901630000.0,13035439000.0,2598000.0,81282000.0,,11383472000.0,,,,8230362000.0,12822748000.0,26172000.0,124105000.0,,,,-466200000.0,-4582000.0,-476061000.0,495247000.0,,,,,598303000.0,928304000.0,,1039336000.0,9758382000.0,,18406652000.0,6010571000.0,,,8230362000.0,31761191000.0,1371139000.0,,,4417524000.0,,,1452473000.0,3373065022.0,,55411000.0,8405224000.0,-466200000.0,16101442000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.230681600,6480783000.0,1049304000.0,,10698943000.0,,-896692000.0,,,3937281082.0,393817000.0,-537347000.0,,,-2.893,-2.893,,,6057874000.0,435903000.0,7782526000.0,,,,-205372000.0,,,,,-1417239000.0,,-1539284000.0,1908498000.0,,,,,8230362000.0,,,,-11555231000.0,267224000.0,,-2190068000.0,,0.0,,,,,,,,,94022000.0,-1301743000.0,,,,15574000.0,-2435976000.0,26373000.0,3979776000.0,10496657000.0,3998000.0,-859194000.0,,9447353000.0,,,,6042300000.0,11378064000.0,-1503093000.0,55691000.0,,,,-11390368000.0,-1724000.0,-13058324000.0,,,,,,288212000.0,1073619000.0,,1607505000.0,7953021000.0,,7011284000.0,6275958000.0,,,6042300000.0,18651964000.0,,,,4701524000.0,,,-859194000.0,3937281082.0,,8998000.0,6676540000.0,-11390368000.0,3028568000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.262217600,7175464000.0,11645116000.0,,14337292000.0,5738550000.0,1564979000.0,3516490000.0,,3938463224.0,394159000.0,-1805080000.0,271884000.0,8168537000.0,0.291,0.292,-1552097000.0,,3551622000.0,1383488000.0,8727561000.0,,5340000.0,0.0,-127967000.0,394159000.0,3551622000.0,-239533000.0,,-2249874000.0,8727561000.0,-2382519000.0,10262421000.0,,4115549000.0,1383488000.0,,6042300000.0,,,,1157653000.0,271884000.0,,-2526392000.0,9202000.0,-45019000.0,,9584000.0,,7175464000.0,,138993000.0,962001000.0,35132000.0,84820000.0,-1552097000.0,5565470000.0,,4625721000.0,35132000.0,-817540000.0,1840000.0,4115549000.0,12232679000.0,5340000.0,1382695000.0,,587563000.0,,,4962409000.0,3516490000.0,10527879000.0,75726000.0,40681000.0,,14337292000.0,18963013000.0,1149113000.0,,1233379000.0,,0.0,,,,350181000.0,4426441000.0,10527879000.0,894862000.0,4625721000.0,,8168537000.0,4459703000.0,4459703000.0,350181000.0,3516490000.0,18963013000.0,541097000.0,,894862000.0,5565470000.0,,84820000.0,1913469000.0,3944133378.0,,77000.0,4962409000.0,1149113000.0,5738550000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.277856000,,,,,5620832000.0,,1605319000.0,,,,,275361000.0,8680103000.0,,,,,,,,,24860000.0,,,394326000.0,1625420000.0,,1944895000.0,,,,,,4511590000.0,0.0,,,0.0,,,,,,,,,,,,8613369000.0,,,,20101000.0,,,6533181000.0,,2888539000.0,,,,,,,,,,,,3113844000.0,,,,,,15710400000.0,18598939000.0,,,,,0.0,,,,,,9647025000.0,,,,,,2659427000.0,330619000.0,,,,,945268000.0,,,87461000.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.293753600,12394439000.0,18660442000.0,,19650373000.0,5650480000.0,2105624000.0,4428495000.0,,3945153249.0,395440000.0,-3625946000.0,277555000.0,9196937000.0,0.226,0.228,-1866234000.0,,4448958000.0,0.0,14260673000.0,,3124000.0,0.0,0.0,395440000.0,4448958000.0,468797000.0,2282725000.0,-4747585000.0,14260673000.0,-4592729000.0,17363815000.0,,5243615000.0,0.0,,3516490000.0,,,,914536000.0,277555000.0,,850388000.0,-2293000.0,1593967000.0,,51423000.0,,12394439000.0,,59142000.0,513916000.0,20463000.0,87113000.0,-1866234000.0,8007764000.0,,5535801000.0,20463000.0,-2487105000.0,135253000.0,5243615000.0,19262133000.0,3124000.0,1296627000.0,,601691000.0,,,7603859000.0,4369255000.0,15611623000.0,44725000.0,-259102000.0,,19650373000.0,25186174000.0,898455000.0,,959261000.0,2282725000.0,0.0,,,,484745000.0,7594026000.0,15611623000.0,852634000.0,5535801000.0,,9196937000.0,7143507000.0,7143507000.0,484745000.0,4428495000.0,25186174000.0,510519000.0,,852634000.0,8007764000.0,,87113000.0,1528922000.0,3981927790.0,,4784000.0,7603859000.0,898455000.0,5650480000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.309392000,,,,,5646429000.0,,5050184000.0,,,,,278710000.0,11395295000.0,,,,,,,,,163722000.0,,,414080000.0,5063947000.0,,747188000.0,,,,,,7845636000.0,0.0,,,0.0,,,,,,,,,,,,16388753000.0,,,,13763000.0,,,8624682000.0,,6727647000.0,,,,,,,,,,,,11473794000.0,,,,,,25174473000.0,31902120000.0,,,,,0.0,,,,,,20098476000.0,,,,,,10958671000.0,1940440000.0,,,,,1384958000.0,,,117988000.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.325289600,17469329000.0,40436196000.0,,26481028000.0,5714677000.0,5698441000.0,7251268000.0,,4124565318.0,417421000.0,-2523751000.0,276220000.0,14222026000.0,0.714,0.728,-2830671000.0,,7259598000.0,0.0,20300000000.0,,16758000.0,0.0,-156075000.0,417421000.0,7259598000.0,502296000.0,1141862000.0,-4912991000.0,20300000000.0,-4601554000.0,36980577000.0,,8829439000.0,0.0,,4369255000.0,,,,3029616000.0,276220000.0,,2401625000.0,-51358000.0,21747000.0,,84616000.0,,17469329000.0,,399597000.0,1554951000.0,8330000.0,138471000.0,-2830671000.0,9993444000.0,,9283278000.0,8330000.0,1096887000.0,162405000.0,8829439000.0,41186446000.0,16758000.0,3455619000.0,,750250000.0,,,11127635000.0,6793088000.0,21121079000.0,31612000.0,-362047000.0,,26481028000.0,35764306000.0,3003908000.0,,3061228000.0,1141862000.0,0.0,,,,339800000.0,14993995000.0,21121079000.0,1578636000.0,9283278000.0,,14222026000.0,10530722000.0,10530722000.0,339800000.0,7251268000.0,35764306000.0,1247898000.0,,1578636000.0,9993444000.0,,138471000.0,4708723000.0,4207020035.0,,2107000.0,11127635000.0,3003908000.0,5714677000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
