date,annualOtherCurrentAssets,annualTotalRevenue,trailingResearchAndDevelopment,trailingOperatingIncome,annualCostOfRevenue,annualResearchAndDevelopment,trailingFreeCashFlow,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyRetainedEarnings,annualTotalLiabilitiesNetMinorityInterest,annualTaxProvision,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingIncome,annualEndCashPosition,trailingCostOfRevenue,trailingTotalRevenue,annualNetIncomeContinuousOperations,annualDilutedAverageShares,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,trailingTaxProvision,annualFreeCashFlow,quarterlyTotalAssets,trailingEndCashPosition,annualOperatingExpense,quarterlyTotalLiabilitiesNetMinorityInterest,trailingSellingGeneralAndAdministration,annualCurrentDebt,quarterlyTotalNonCurrentAssets,annualCashDividendsPaid,annualNetIncome,quarterlyOtherNonCurrentLiabilities,annualCurrentAssets,annualAccountsReceivable,trailingPretaxIncome,annualSellingGeneralAndAdministration,annualOtherNonCurrentAssets,annualTotalAssets,annualRepurchaseOfCapitalStock,annualStockholdersEquity,quarterlyOtherCurrentAssets,trailingNetOtherInvestingChanges,trailingNetIncomeCommonStockholders,annualBasicAverageShares,annualEbitda,annualNetIncomeCommonStockholders,quarterlyGoodwill,annualCurrentLiabilities,annualDepreciationAndAmortization,annualRetainedEarnings,quarterlyStockholdersEquity,annualCommonStockIssuance,annualOtherIntangibleAssets,quarterlyAccountsReceivable,annualOtherShortTermInvestments,annualSaleOfInvestment,quarterlyInventory,quarterlyCashCashEquivalentsAndMarketableSecurities,annualCapitalStock,trailingOperatingCashFlow,annualOperatingCashFlow,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,trailingGrossProfit,annualTotalNonCurrentAssets,quarterlyAccumulatedDepreciation,annualGrossProfit,annualInventory,annualCashCashEquivalentsAndMarketableSecurities,annualChangeInInventory,annualNetPPE,annualBasicEPS,quarterlyCapitalStock,quarterlyNetPPE,annualOtherNonCurrentLiabilities,trailingDepreciationAndAmortization,quarterlyCurrentDebt,annualPurchaseOfBusiness,annualOtherNonCashItems,quarterlyOtherNonCurrentAssets,trailingChangeInCashSupplementalAsReported,annualGrossPPE,quarterlyOtherIntangibleAssets,quarterlyBasicEPS,annualBeginningCashPosition,trailingOtherNonCashItems,annualPurchaseOfInvestment,quarterlyOtherCurrentLiabilities,trailingCapitalExpenditure,annualPretaxIncome,annualCapitalExpenditure,trailingInvestingCashFlow,annualInvestingCashFlow,trailingNetIncome,annualDilutedEPS,annualNonCurrentDeferredTaxesLiabilities,quarterlyGrossPPE,trailingInterestExpense,trailingBeginningCashPosition,quarterlyNonCurrentDeferredRevenue,trailingOperatingExpense,annualNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyOtherShortTermInvestments,trailingNetIncomeContinuousOperations,annualRepaymentOfDebt,annualChangeInWorkingCapital,trailingChangeInInventory,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualAccumulatedDepreciation,annualGoodwill,annualNetOtherFinancingCharges,trailingChangeInWorkingCapital,annualInterestExpense,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,annualCurrentAccruedExpenses,quarterlyCashDividendsPaid,trailingOtherIncomeExpense,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,trailingDeferredIncomeTax,quarterlyChangeInInventory,quarterlyPurchaseOfInvestment,trailingStockBasedCompensation,annualGainsLossesNotAffectingRetainedEarnings,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,trailingBasicEPS,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,annualOtherIncomeExpense,trailingCommonStockIssuance,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,quarterlyLongTermDebt,annualChangesInAccountReceivables,trailingDilutedAverageShares,quarterlyNetIncome,quarterlyCurrentAccruedExpenses,trailingPurchaseOfInvestment,quarterlyChangeInAccountPayable,trailingNetOtherFinancingCharges,trailingDilutedEPS,trailingSaleOfInvestment,quarterlyCommonStockIssuance,quarterlyEndCashPosition,annualIncomeTaxPayable,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,trailingRepaymentOfDebt,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,trailingRepurchaseOfCapitalStock,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,annualCurrentDeferredRevenue,quarterlyCostOfRevenue,trailingChangeInAccountPayable,quarterlyBeginningCashPosition,annualInvestmentsAndAdvances,annualCashFlowFromContinuingFinancingActivities,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,trailingChangesInAccountReceivables,trailingBasicAverageShares,trailingCashDividendsPaid,quarterlyIncomeTaxPayable,trailingPurchaseOfBusiness,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,trailingCashFlowFromContinuingFinancingActivities,annualDeferredIncomeTax,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyInterestExpense,annualLongTermDebt,quarterlyCapitalExpenditure,annualStockBasedCompensation
1970-01-01 00:00:01.199059200,0.0,5767256000.0,1818390000.0,1676260000.0,4239331000.0,175542000.0,-58711000.0,,0.0,,,23868000.0,-7405000.0,,,,1087771000.0,3196766000.0,41080714000.0,44816183000.0,1093289000.0,1880849000.0,20000.0,-153564000.0,189539000.0,-697422000.0,,2472309000.0,440154000.0,,845324000.0,,,,1093289000.0,,3263298000.0,,1818705000.0,206211000.0,0.0,5189298000.0,,5165430000.0,,52961000.0,1629166000.0,1880849000.0,1260773000.0,1093289000.0,,23868000.0,173002000.0,,,3239430000.0,,,,,,,,2184755000.0,240063000.0,,,3735469000.0,1926000000.0,,1527925000.0,,20000.0,-606009000.0,,0.58,,,,1989399000.0,,,800554000.0,,-568692000.0,,,,609599000.0,25099000.0,,,-2243466000.0,1085884000.0,-937485000.0,-2125397000.0,-1047197000.0,1629166000.0,0.58,,,56430000.0,3041001000.0,,2059209000.0,,,,1629166000.0,-1035288000.0,-733493000.0,-897395000.0,1580000.0,2588709000.0,,,-351927000.0,-1562496000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.230681600,3358000.0,8555112000.0,,,6845565000.0,355722000.0,,2542966000.0,0.0,,,2580650000.0,37579000.0,2580650000.0,4833450000.0,0.0,842914000.0,1144000000.0,,,765825000.0,2261757000.0,1141478000.0,-213278000.0,,-1081646000.0,8418186000.0,,866633000.0,2580650000.0,,14256000.0,3584736000.0,,765825000.0,0.0,4833450000.0,,,90720000.0,0.0,8418186000.0,-66985000.0,5837536000.0,3358000.0,,,2261757000.0,1113012000.0,765825000.0,0.0,2580650000.0,,,5837536000.0,700756000.0,12959000.0,,,,1824003000.0,1141478000.0,217070000.0,,676035000.0,1141478000.0,,,3584736000.0,-621483000.0,1709547000.0,1824003000.0,1141478000.0,,3031354000.0,0.34,217070000.0,3031354000.0,0.0,,14256000.0,-121278000.0,,0.0,,3652837000.0,12959000.0,,3196766000.0,,,0.0,,803404000.0,-1757681000.0,,-2037102000.0,,0.34,,3652837000.0,,,,,,2542966000.0,,,-2957934000.0,,,0.0,-2010023000.0,-621483000.0,0.0,0.0,,39510000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.246320000,,,,,,,,,,0.0,,,,2423681000.0,4741825000.0,0.0,,,,,,,,,,,8476146000.0,,,2423681000.0,,,3734321000.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,6052465000.0,,,133042000.0,,,1609102000.0,1123010000.0,,,,1123010000.0,,,,,,,,,,,217070000.0,3283648000.0,,,0.0,,,0.0,,,12175000.0,0.0,,,,0.0,,,,,,,,,,,,,,,228256000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.262217600,0.0,11198670000.0,,,9636887000.0,423214000.0,,3630423000.0,0.0,,150965000.0,3648796000.0,35850000.0,3648796000.0,6494412000.0,0.0,795300000.0,1192943000.0,,,758856000.0,2253875000.0,1192943000.0,0.0,,106815000.0,10276740000.0,,766483000.0,3648796000.0,,0.0,3782328000.0,,758856000.0,0.0,6494412000.0,,,92151000.0,0.0,10276740000.0,-3679000.0,6627944000.0,0.0,,,2253875000.0,1285653000.0,758856000.0,,3648796000.0,490353000.0,150965000.0,6627944000.0,0.0,10841000.0,,,836000.0,1769093000.0,1192943000.0,216999000.0,,798857000.0,1192943000.0,,,3782328000.0,-1132496000.0,1561783000.0,1769093000.0,1192943000.0,-77060000.0,3428446000.0,0.34,216999000.0,3428446000.0,0.0,,0.0,-119279000.0,-8257000.0,0.0,,4560942000.0,10841000.0,,1144000000.0,,,0.0,,794706000.0,-692042000.0,,-750080000.0,,0.34,,4560942000.0,,,,,,3630423000.0,,,-14256000.0,-680319000.0,,0.0,30842000.0,-1132496000.0,,0.0,,594000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.277856000,,,,,,,,,,0.0,,,,3792312000.0,6848617000.0,0.0,,,,,,,,,,,10638577000.0,,,3792312000.0,,,3789960000.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,6846265000.0,,,200896000.0,,,1969909000.0,1131127000.0,,,,1131127000.0,,,,,,,,,,,216999000.0,3535173000.0,,,,,,0.0,,,13112000.0,0.0,,,,0.0,,,,,,,,,,,,,,,313783000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.293753600,0.0,16647129000.0,,,14577138000.0,577978000.0,,337933000.0,0.0,,0.0,3962985000.0,100764000.0,3962985000.0,7698424000.0,0.0,1139116000.0,1559025000.0,,,1037836000.0,2253875000.0,1559025000.0,0.0,,318876000.0,11485108000.0,,930875000.0,3962985000.0,,,3786684000.0,,1037836000.0,0.0,7698424000.0,153983000.0,,462818000.0,0.0,11485108000.0,0.0,7522123000.0,0.0,,,2253875000.0,1727502000.0,1037836000.0,,3962985000.0,588386000.0,0.0,7522123000.0,,15705000.0,153983000.0,,,1890319000.0,1559025000.0,216999000.0,,947917000.0,1559025000.0,,,3786684000.0,-1667461000.0,2069991000.0,1890319000.0,1559025000.0,-144861000.0,3629132000.0,0.46,216999000.0,3629132000.0,0.0,,,0.0,-15616000.0,0.0,,5296593000.0,15705000.0,,1192943000.0,,,0.0,,1138600000.0,-629041000.0,,-603173000.0,,0.46,,5296593000.0,,,,,,337933000.0,,,0.0,-599017000.0,,0.0,344744000.0,-1667461000.0,,,,516000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.309392000,,,,,,,,,,0.0,,,,4002582000.0,7861518000.0,0.0,,,,,,,,,,,11850696000.0,,,4002582000.0,,,3989178000.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,7848114000.0,,,236822000.0,,,1542293000.0,2471110000.0,,,,2471110000.0,,,,,,,,,,,216999000.0,3681433000.0,,,,,,0.0,,,12070000.0,0.0,,,,0.0,,,,,,,,,,,,,,,124747000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.325289600,100000000.0,15868300000.0,,,14137932000.0,614488000.0,,167185000.0,0.0,,3721334000.0,4586315000.0,71567000.0,4586315000.0,7901858000.0,0.0,630724000.0,2106993000.0,,,602806000.0,2253204500.0,2106993000.0,-100000000.0,,1052862000.0,12577848000.0,,1099644000.0,4586315000.0,,,4675990000.0,,602806000.0,0.0,7901858000.0,257024000.0,,575621000.0,400000000.0,12577848000.0,,7991533000.0,100000000.0,,,2253204500.0,1361252000.0,602806000.0,,4586315000.0,686666000.0,3721334000.0,7991533000.0,,9331000.0,257024000.0,,,1780122000.0,2106993000.0,216999000.0,,2349271000.0,2106993000.0,,,4675990000.0,-2258042000.0,1730368000.0,1780122000.0,2106993000.0,54260000.0,3993177000.0,0.27,216999000.0,3993177000.0,0.0,,,-55430000.0,-40912000.0,400000000.0,,6251219000.0,9331000.0,,1559025000.0,,,0.0,,674373000.0,-1296409000.0,,-1790054000.0,,0.27,,6251219000.0,,,,,,167185000.0,,,,1044155000.0,,0.0,559217000.0,-2258042000.0,,,,213000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.341014400,,,,,,,,,,0.0,,,,3985580000.0,7329426000.0,0.0,,,,,,,,,,,12087437000.0,,,3985580000.0,,,4758011000.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,8101857000.0,,,2771960000.0,,,1554672000.0,2635909000.0,,,,2635909000.0,,,,,,,,,,,216999000.0,3970775000.0,,,,,,0.0,,,10197000.0,0.0,,,,604514000.0,,,,,,,,,,,,,,,2980128000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.356912000,16532000.0,14090909000.0,,,12900805000.0,529626000.0,,2690856000.0,0.0,,3930882000.0,3634378000.0,51362000.0,3634378000.0,7179922000.0,0.0,271746000.0,2111365000.0,,,378946000.0,2253204500.0,2111365000.0,83468000.0,,-29560000.0,11888796000.0,,918358000.0,3634378000.0,,,4708874000.0,-120561000.0,378946000.0,0.0,7179922000.0,2751198000.0,,425352000.0,0.0,11888796000.0,,8254418000.0,16532000.0,,,2253204500.0,1128824000.0,378946000.0,,3634378000.0,695996000.0,3930882000.0,8254418000.0,,8360000.0,2751198000.0,,,1738539000.0,2111365000.0,0.0,,743701000.0,2111365000.0,,,4708874000.0,-2816095000.0,1190104000.0,1738539000.0,2111365000.0,2863000.0,4048117000.0,0.17,0.0,4048117000.0,0.0,,,0.0,-58173000.0,0.0,,6864212000.0,8360000.0,,2106993000.0,,,691125000.0,,430308000.0,-773261000.0,,-636371000.0,,0.17,,6864212000.0,,,,,,2690856000.0,,,,-379575000.0,,691125000.0,-15751000.0,-2816095000.0,,0.0,,2520000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
