date,trailingInvestingCashFlow,annualAccountsReceivable,quarterlyOtherCurrentLiabilities,annualLongTermDebt,annualCashDividendsPaid,annualNonCurrentDeferredRevenue,annualSaleOfInvestment,annualPretaxIncome,trailingPurchaseOfInvestment,annualOtherNonCashItems,quarterlyCurrentDebt,quarterlyOtherNonCurrentLiabilities,annualDepreciationAndAmortization,quarterlyGoodwill,quarterlyAccountsReceivable,annualStockBasedCompensation,quarterlyInventory,annualGoodwill,annualStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalAssets,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,annualRetainedEarnings,trailingSaleOfInvestment,annualPurchaseOfInvestment,annualInvestingCashFlow,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,quarterlyCashAndCashEquivalents,annualOperatingIncome,trailingOperatingCashFlow,trailingTotalRevenue,annualOtherShortTermInvestments,annualCommonStockIssuance,trailingOperatingIncome,quarterlyOtherIntangibleAssets,quarterlyCapitalStock,trailingRepaymentOfDebt,trailingEndCashPosition,annualOtherIntangibleAssets,annualEbitda,quarterlyCashCashEquivalentsAndMarketableSecurities,annualNetPPE,trailingNetOtherInvestingChanges,annualCurrentLiabilities,annualNetOtherInvestingChanges,annualOtherNonCurrentLiabilities,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,trailingPretaxIncome,annualCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedEPS,quarterlyOtherNonCurrentAssets,annualCashAndCashEquivalents,trailingCapitalExpenditure,trailingOperatingExpense,trailingSellingGeneralAndAdministration,quarterlyGrossPPE,annualBasicAverageShares,annualBeginningCashPosition,annualCurrentAssets,annualBasicEPS,annualInterestExpense,trailingBeginningCashPosition,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,annualOtherNonCurrentAssets,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,annualGrossPPE,annualOtherCurrentLiabilities,trailingChangeInCashSupplementalAsReported,trailingNetOtherFinancingCharges,annualNetIncomeCommonStockholders,annualNetOtherFinancingCharges,annualTaxProvision,trailingInterestExpense,annualEndCashPosition,annualChangeInCashSupplementalAsReported,quarterlyStockholdersEquity,annualRepaymentOfDebt,trailingNetIncomeCommonStockholders,annualCapitalExpenditure,trailingGrossProfit,annualCapitalStock,annualOtherCurrentAssets,annualCostOfRevenue,trailingCommonStockIssuance,trailingFreeCashFlow,annualTotalRevenue,trailingCostOfRevenue,quarterlyCurrentAssets,annualFreeCashFlow,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,annualCurrentDebt,quarterlyBasicEPS,annualChangeInWorkingCapital,annualGrossProfit,trailingTaxProvision,quarterlyOtherShortTermInvestments,annualInventory,annualTotalNonCurrentAssets,annualDilutedAverageShares,annualChangeInInventory,trailingNetIncomeContinuousOperations,annualPurchaseOfBusiness,quarterlyNetPPE,annualDilutedEPS,trailingNetIncome,quarterlyNonCurrentDeferredRevenue,trailingPurchaseOfBusiness,annualNetIncome,trailingCashDividendsPaid,annualNonCurrentDeferredTaxesLiabilities,annualTotalLiabilitiesNetMinorityInterest,annualOperatingExpense,annualNetIncomeContinuousOperations,quarterlyAccumulatedDepreciation,trailingRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,trailingDeferredIncomeTax,quarterlyNetIncome,annualDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingChangeInAccountPayable,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,trailingOtherNonCashItems,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,annualChangesInAccountReceivables,quarterlyDilutedAverageShares,annualInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,trailingBasicEPS,quarterlyCashDividendsPaid,trailingBasicAverageShares,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCurrentDeferredRevenue,quarterlyNetOtherInvestingChanges,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyPretaxIncome,annualRepurchaseOfCapitalStock,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,annualGainsLossesNotAffectingRetainedEarnings,trailingCashFlowFromContinuingFinancingActivities,quarterlyEndCashPosition,trailingChangeInInventory,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,annualOtherIncomeExpense,annualChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,trailingDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,trailingResearchAndDevelopment,annualIncomeTaxPayable,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,trailingDepreciationAndAmortization,quarterlyGrossProfit,trailingOtherIncomeExpense,quarterlyEbitda,annualResearchAndDevelopment,quarterlyChangeInInventory,trailingDilutedAverageShares
1970-01-01 00:00:01.561852800,-1270000000.0,861000000.0,1146000000.0,6672000000.0,,9000000.0,3646000000.0,162000000.0,-963000000.0,60000000.0,760000000,0.0,174000000.0,1835000000,861000000,639000000.0,1808000000,1835000000.0,2275000000.0,8196000000,14156000000.0,6672000000,824000000,646000000.0,666000000.0,-3677000000.0,-5015000000.0,851000000.0,8196000000.0,700000000.0,875000000,174000000.0,1520000000.0,22563000000.0,151000000.0,0.0,1895000000.0,1780000000,1000000,-7443000000.0,358000000.0,1780000000.0,449000000.0,1026000000,4340000000.0,-77000000.0,2822000000.0,-52000000.0,0.0,14156000000,8989000000,11018000000,1452000000.0,1026000000.0,,120000000,875000000.0,-757000000.0,2924000000.0,2858000000.0,4813000000,10713450000.0,674000000.0,5167000000.0,-0.024549,113000000.0,534000000.0,1116000000,851000000,120000000.0,-473000000.0,1006000000.0,4813000000.0,1146000000.0,-176000000.0,2000000.0,-263000000.0,-4000000.0,229000000.0,125000000.0,799000000.0,96000000.0,2275000000,-1492000000.0,998000000.0,-313000000.0,4819000000.0,1000000.0,1116000000.0,9480000000.0,28000000.0,763000000.0,11253000000.0,17744000000.0,5167000000,387000000.0,2822000000,646000000.0,760000000.0,,-48000000.0,1773000000.0,246000000.0,151000000.0,1808000000.0,8989000000.0,11345030000.0,-146000000.0,1206000000.0,-4652000000.0,4340000000,-0.024549,998000000.0,9000000,-161000000.0,-263000000.0,-312000000.0,824000000.0,11018000000.0,1599000000.0,-67000000.0,-473000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1124000000.0,,,,,,,,834000000,0.0,,1838000000,855000000,,2136000000,,,8268000000,,6710000000,829000000,,,,,,,,662000000,,,,,,,1767000000,1000000,,,,,823000000,,,,,,14589000000,8974000000,11141000000,,,,105000000,,,,,4360000000,,,,,,,1239000000,636000000,,,,,,,,,,,,,,2633000000,,,,,,,,,,,,5615000000,,2873000000,1143000000.0,,,,,,161000000.0,,,,,,,4360000000,,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,841000000.0,1457000000.0,3951000000.0,,6000000.0,2266000000.0,1420000000.0,,261000000.0,719000000,0.0,359000000.0,1815000000,841000000,78000000.0,1900000000,1815000000.0,5130000000.0,5548000000,14720000000.0,3951000000,838000000,1382000000.0,,-2304000000.0,-721000000.0,850000000.0,5548000000.0,1560000000.0,978000000,971000000.0,,,209000000.0,2284000000.0,,1746000000,1000000,,,1746000000.0,2078000000.0,1187000000,4810000000.0,,3122000000.0,36000000.0,0.0,14720000000,9346000000,8670000000,,1187000000.0,,79000000,978000000.0,,,,5611000000,11904310000.0,799000000.0,5374000000.0,0.0644,299000000.0,,1014000000,850000000,79000000.0,-801000000.0,2269000000.0,5611000000.0,1457000000.0,,,766000000.0,6000000.0,448000000.0,,958000000.0,187000000.0,5130000000,-5440000000.0,,-733000000.0,,1000000.0,1014000000.0,18979000000.0,,,22243000000.0,,5374000000,827000000.0,3122000000,1382000000.0,719000000.0,,227000000.0,3264000000.0,,209000000.0,1900000000.0,9346000000.0,12535900000.0,-141000000.0,,-11000000.0,4810000000,0.0611,,6000000,,766000000.0,,838000000.0,8670000000.0,2293000000.0,972000000.0,-801000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1236000000.0,,,,,,,,902000000,0.0,,1815000000,789000000,,1831000000,,,4846000000,,3475000000,884000000,,,,,,,,843000000,,,,,,,1739000000,1000000,,,,,1073000000,,,,,,13984000000,9014000000,7638000000,,,,71000000,,,,,4828000000,,,,,,,895000000,577000000,,,,,,,,,,,,,,5485000000,,,,,,,,,,,,4970000000,,2792000000,1655000000.0,,,,,,230000000.0,,,,,,,4828000000,,,5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,720000000.0,1371000000.0,3308000000.0,,9000000.0,2376000000.0,1302000000.0,,242000000.0,606000000,0.0,391000000.0,1801000000,720000000,83000000.0,1748000000,1801000000.0,5763000000.0,4739000000,14301000000.0,3308000000,810000000,2139000000.0,,-2542000000.0,-514000000.0,812000000.0,4739000000.0,1613000000.0,1137000000,1528000000.0,,,397000000.0,0.0,,1715000000,1000000,,,1715000000.0,1904000000.0,1534000000,4889000000.0,,2859000000.0,3000000.0,0.0,14301000000,9088000000,7598000000,,1534000000.0,,98000000,1137000000.0,,,,6019000000,13665960000.0,958000000.0,5213000000.0,0.0575,211000000.0,,865000000,812000000,98000000.0,-1130000000.0,2523000000.0,6019000000.0,1371000000.0,,,786000000.0,5000000.0,307000000.0,,1125000000.0,198000000.0,5763000000,-3091000000.0,,-737000000.0,,1000000.0,865000000.0,17129000000.0,,,21209000000.0,,5213000000,876000000.0,2859000000,2139000000.0,606000000.0,,191000000.0,4080000000.0,,397000000.0,1748000000.0,9088000000.0,14297540000.0,105000000.0,,0.0,4889000000,0.055,,9000000,,786000000.0,,810000000.0,7598000000.0,2552000000.0,995000000.0,-1130000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1290000000.0,,,,,,,,1412000000,0.0,,1797000000,782000000,,1750000000,,,3689000000,,2338000000,848000000,,,,,,,,515000000,,,,,,,1703000000,1000000,,,,,1032000000,,,,,,13873000000,8904000000,6980000000,,,,84000000,,,,,4851000000,,,,,,,1016000000,491000000,,,,,,,,,,,,,,6086000000,,,,,,,,,,,,4969000000,,3291000000,2461000000.0,,,,,,517000000.0,,,,,,,4851000000,,,8000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,784000000.0,1411000000.0,1867000000.0,-308000000.0,8000000.0,1730000000.0,1703000000.0,,183000000.0,1011000000,0.0,372000000.0,1784000000,784000000,47000000.0,1678000000,1784000000.0,6316000000.0,3250000000,13611000000.0,1867000000,887000000,2836000000.0,,-1348000000.0,-141000000.0,854000000.0,3250000000.0,1850000000.0,1139000000,1680000000.0,,,20000000.0,2000000.0,,1681000000,1000000,,,1681000000.0,2244000000.0,1139000000,4724000000.0,,3323000000.0,-36000000.0,0.0,13611000000,8768000000,6573000000,,1139000000.0,,124000000,1139000000.0,,,,6197000000,13666400000.0,1125000000.0,4843000000.0,0.0758,169000000.0,,933000000,854000000,124000000.0,-1473000000.0,2542000000.0,6197000000.0,1411000000.0,,,1036000000.0,-33000000.0,465000000.0,,1123000000.0,36000000.0,6316000000,-4028000000.0,,-514000000.0,,1000000.0,933000000.0,17327000000.0,,,21534000000.0,,4843000000,1336000000.0,3323000000,2836000000.0,1011000000.0,,-145000000.0,4207000000.0,,20000000.0,1678000000.0,8768000000.0,14297980000.0,9000000.0,,,4724000000,0.0725,,8000000,,1036000000.0,,887000000.0,6573000000.0,2527000000.0,1238000000.0,-1473000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1303000000.0,,,,,,,,1131000000,0.0,,1823000000,879000000,,1808000000,,,3651000000,,2263000000,891000000,,,,,,,,551000000,,,,,,,1730000000,1000000,,,,,747000000,,,,,,14049000000,9183000000,6744000000,,,0.0,140000000,,,,,5006000000,,,,,,,1046000000,615000000,,,,,,,,,,,,,,6647000000,,,,,,,,,,,,4866000000,,3093000000,2998000000.0,,0.0,,,,196000000.0,,,,,,,5006000000,,,7000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,984000000.0,,2297000000.0,-489000000.0,11000000.0,540000000.0,1501000000.0,,173000000.0,901000000,,389000000.0,1838000000,984000000,313000000.0,1905000000,1838000000.0,7445000000.0,3537000000,15258000000.0,2297000000,639000000,,,-559000000.0,-784000000.0,1076000000.0,3537000000.0,1512000000.0,1371000000,1286000000.0,,,,11000000.0,,1742000000,1000000,,,1742000000.0,2014000000.0,1371000000,5234000000.0,,3499000000.0,9000000.0,,15258000000,9592000000,7036000000,,1371000000.0,,191000000,1371000000.0,,,,7122000000,14541850000.0,1123000000.0,5666000000.0,0.0779,124000000.0,,990000000,1076000000,191000000.0,-1888000000.0,2753000000.0,7122000000.0,,,,1133000000.0,2000000.0,182000000.0,,1279000000.0,137000000.0,7445000000,-4117000000.0,,-530000000.0,,1000000.0,990000000.0,18061000000.0,,,22379000000.0,,5666000000,982000000.0,3499000000,,901000000.0,,-321000000.0,4318000000.0,,,1905000000.0,9592000000.0,14591180000.0,-186000000.0,,-303000000.0,5234000000,0.0776,,11000000,,1133000000.0,,639000000.0,7036000000.0,3032000000.0,1319000000.0,-1888000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1298000000,,,1848000000,975000000,,2033000000,,,3328000000,,2071000000,605000000,,,,,,,,655000000,,,,,,,1752000000,1000000,,,,,784000000,,,,,,14773000000,9658000000,6563000000,,,,201000000,,,,,5275000000,,,,,,,958000000,583000000,,,,,,,,,,,,,,7494000000,,,,,,,,,,,,5115000000,,3235000000,,,,,,,129000000.0,,,,,,,5275000000,,,11000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
