date,annualGrossPPE,annualChangeInCashSupplementalAsReported,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,trailingNetIncomeCommonStockholders,annualEbitda,annualRepaymentOfDebt,trailingChangeInCashSupplementalAsReported,annualInterestExpense,annualBeginningCashPosition,annualOtherNonCurrentLiabilities,quarterlyOtherIntangibleAssets,annualOtherIncomeExpense,annualTotalNonCurrentAssets,annualCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,annualCapitalStock,annualSellingGeneralAndAdministration,trailingOperatingCashFlow,trailingCapitalExpenditure,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,trailingGrossProfit,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCapitalStock,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,quarterlyAccountsPayable,annualCashFlowFromContinuingFinancingActivities,trailingInterestExpense,trailingStockBasedCompensation,trailingChangeInInventory,quarterlyNetPPE,trailingTaxProvision,annualNetIncomeContinuousOperations,annualInventory,trailingDepreciationAndAmortization,annualOtherNonCashItems,annualCurrentDebt,annualPurchaseOfBusiness,trailingOtherNonCashItems,annualStockBasedCompensation,annualNetOtherFinancingCharges,trailingSellingGeneralAndAdministration,trailingOperatingExpense,quarterlyGrossPPE,trailingFreeCashFlow,annualGrossProfit,annualDilutedAverageShares,quarterlyRetainedEarnings,annualCostOfRevenue,annualAccumulatedDepreciation,quarterlyOtherCurrentLiabilities,annualOperatingExpense,quarterlyAccumulatedDepreciation,trailingBeginningCashPosition,trailingNetIncomeContinuousOperations,trailingCostOfRevenue,trailingNetIncome,annualTotalLiabilitiesNetMinorityInterest,annualChangeInInventory,quarterlyCurrentAssets,quarterlyCurrentLiabilities,annualNonCurrentDeferredTaxesLiabilities,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,annualDilutedEPS,annualRetainedEarnings,annualNetOtherInvestingChanges,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,trailingChangeInWorkingCapital,quarterlyLongTermDebt,annualCashDividendsPaid,annualNetIncome,annualGoodwill,quarterlyTotalAssets,annualCommonStockIssuance,annualFreeCashFlow,annualOtherShortTermInvestments,annualPretaxIncome,trailingCommonStockIssuance,annualInvestingCashFlow,annualOperatingIncome,annualOtherCurrentAssets,annualAccountsReceivable,quarterlyOtherNonCurrentLiabilities,annualTotalRevenue,annualAccountsPayable,trailingInvestingCashFlow,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualStockholdersEquity,trailingTotalRevenue,annualLongTermDebt,annualTotalAssets,annualBasicAverageShares,annualTaxProvision,annualEndCashPosition,annualCurrentLiabilities,annualDepreciationAndAmortization,quarterlyInventory,annualCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyInvestmentsAndAdvances,trailingRepurchaseOfCapitalStock,trailingOperatingIncome,trailingEndCashPosition,annualInvestmentsAndAdvances,annualSaleOfInvestment,annualGainsLossesNotAffectingRetainedEarnings,annualOtherIntangibleAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualBasicEPS,annualOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,annualOperatingCashFlow,annualNetPPE,quarterlyOtherNonCurrentAssets,annualCurrentAssets,annualRepurchaseOfCapitalStock,trailingPretaxIncome,annualCashCashEquivalentsAndMarketableSecurities,annualCurrentDeferredRevenue,quarterlyOperatingIncome,annualChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,trailingChangesInAccountReceivables,quarterlyBasicEPS,trailingResearchAndDevelopment,trailingNetOtherFinancingCharges,quarterlyCurrentAccruedExpenses,quarterlyPurchaseOfBusiness,trailingOtherIncomeExpense,trailingChangeInAccountPayable,annualResearchAndDevelopment,quarterlyNetIncomeContinuousOperations,trailingRepaymentOfDebt,trailingCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,annualDeferredIncomeTax,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyDepreciationAndAmortization,trailingSaleOfInvestment,quarterlyNetOtherInvestingChanges,trailingPurchaseOfBusiness,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyCapitalExpenditure,annualIncomeTaxPayable,quarterlyStockBasedCompensation,annualPurchaseOfInvestment,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredRevenue,trailingPurchaseOfInvestment,trailingDilutedEPS,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,trailingBasicEPS,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyDilutedEPS,quarterlyTotalRevenue,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,trailingCashDividendsPaid,annualChangesInAccountReceivables,trailingDilutedAverageShares,quarterlyNetIncome,quarterlyGrossProfit,quarterlyPretaxIncome,trailingDeferredIncomeTax,quarterlyCostOfRevenue,annualCurrentAccruedExpenses,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,trailingNetOtherInvestingChanges,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyEndCashPosition,trailingBasicAverageShares,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,annualNonCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyOperatingExpense
1970-01-01 00:00:01.151625600,,699000000.0,3737000000.0,0.0,-2144000000.0,5418000000.0,,-687000000.0,1000000.0,1729000000.0,0.0,,,5228000000.0,-838000000.0,,122000000.0,,-1114000000.0,-163000000.0,,,6501000000.0,,,,,,,35000000.0,-5000000.0,451000000.0,,78000000.0,3737000000.0,2101000000.0,455000000.0,,250000000.0,,-14000000.0,,0.0,634000000.0,8471000000.0,,-1277000000.0,12298000000.0,1258331600.0,,11051000000.0,,,7533000000.0,,3879000000.0,-2144000000.0,6431000000.0,-2144000000.0,3745000000.0,,,,358000000.0,,,,2.966722,,0.0,,,-492000000.0,,-2421000000.0,3737000000.0,,,484000000.0,2590000000.0,1325000000.0,4885000000.0,0.0,-792000000.0,4765000000.0,0.0,2804000000.0,,23349000000.0,,427000000.0,,9107000000.0,12932000000.0,,12852000000.0,1238862300.0,1148000000.0,2469000000.0,3387000000.0,,,1394000000.0,,,0.0,-1970000000.0,3171000000.0,,0.0,,2027000000.0,358000000.0,3.015517,0.0,,3428000000.0,2429000000.0,,7624000000.0,,-2066000000.0,2719000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.183161600,,2645000000.0,5180000000.0,0.0,,7135000000.0,,,0.0,2469000000.0,0.0,,,5566000000.0,-615000000.0,,123000000.0,,,,,,,,,,,,,,,,,,5180000000.0,2192000000.0,,,0.0,,,,0.0,,,,,15885000000.0,1275751500.0,,13755000000.0,,,9626000000.0,,,,,,4948000000.0,,,,378000000.0,,,,4.059725,,0.0,,,,,-3086000000.0,5180000000.0,,,340000000.0,5266000000.0,3403000000.0,6538000000.0,,-490000000.0,6259000000.0,0.0,4039000000.0,,29640000000.0,,,,12081000000.0,,,17029000000.0,1256282200.0,1358000000.0,5232000000.0,4570000000.0,,,1829000000.0,,,,,,,1000000.0,,2057000000.0,378000000.0,4.118279,0.0,,5881000000.0,2525000000.0,,11463000000.0,,,5232000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.214784000,7259000000.0,963000000.0,6450000000.0,0.0,,8476000000.0,,,,5232000000.0,0.0,,,6786000000.0,-1352000000.0,,124000000.0,,,,,,,,,,,,,,,,,,6450000000.0,3170000000.0,,0.0,,,,,0.0,,,,,19970000000.0,1283362136.0,,17257000000.0,-3864000000.0,,12249000000.0,,,,,,5948000000.0,-978000000.0,,,388000000.0,,,,5.025861,,0.0,-1413000000.0,,,,-4256000000.0,6450000000.0,,,405000000.0,4618000000.0,3754000000.0,8056000000.0,,-1156000000.0,7721000000.0,0.0,5415000000.0,,37227000000.0,,,,15944000000.0,,,21892000000.0,1269007186.0,1606000000.0,6521000000.0,5560000000.0,755000000.0,,2767000000.0,,,,,,,0.0,,2121000000.0,388000000.0,5.084415,0.0,,5970000000.0,3395000000.0,,15106000000.0,,,6521000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.246320000,8208000000.0,-1555000000.0,4745000000.0,0.0,,6505000000.0,,,,6521000000.0,0.0,,,7391000000.0,-2011000000.0,,125000000.0,5199000000.0,,,,,,,,,,,,,,,,,4745000000.0,2997000000.0,,0.0,,,,,0.0,,,,,17962000000.0,1274984083.0,,16523000000.0,-3980000000.0,,12233000000.0,,,,,,5282000000.0,173000000.0,,,291000000.0,,,,3.718161,,0.0,422000000.0,,,,-5039000000.0,4745000000.0,,,114000000.0,3261000000.0,,5977000000.0,,-1698000000.0,5729000000.0,0.0,4463000000.0,,34485000000.0,,,,14409000000.0,,,19691000000.0,1274984083.0,1232000000.0,4840000000.0,4991000000.0,776000000.0,,4840000000.0,,,,,,,,,2061000000.0,291000000.0,3.718161,0.0,,5272000000.0,4228000000.0,,12300000000.0,-204000000.0,,4840000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.277856000,8903000000.0,2279000000.0,4226000000.0,0.0,,6393000000.0,,,12000000.0,4840000000.0,0.0,7345000000.0,,12312000000.0,-1509000000.0,,129000000.0,5971000000.0,,,6748000000.0,6748000000.0,,822000000.0,129000000.0,0.0,16072000000.0,,,,,,3976000000.0,,4226000000.0,2455000000.0,,-1607000000.0,520000000.0,-3214000000.0,,,0.0,,,8903000000.0,,18436000000.0,1265000000.0,,15298000000.0,-4927000000.0,0.0,14650000000.0,-4927000000.0,,,,,8486000000.0,707000000.0,12246000000.0,5584000000.0,822000000.0,,3043000000.0,12312000000.0,3.34,,0.0,1171000000.0,,,2080000000.0,-1482000000.0,4226000000.0,,24558000000.0,186000000.0,3903000000.0,,5474000000.0,,-4429000000.0,3786000000.0,0.0,3043000000.0,0.0,33734000000.0,,,2902000000.0,16072000000.0,,2080000000.0,24558000000.0,1263000000.0,1248000000.0,6748000000.0,5584000000.0,907000000.0,2455000000.0,6748000000.0,520000000.0,,,,,,,,7345000000.0,2902000000.0,3.35,0.0,8486000000.0,5412000000.0,3976000000.0,0.0,12246000000.0,0.0,,6748000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.293753600,,,,,,,,,,,,7523000000.0,,,,,,,,,7302000000.0,7302000000.0,,842000000.0,129000000.0,0.0,18574000000.0,,,,,,4472000000.0,,,,,,,,,,,,,,,,,,,,520000000.0,,,,,,,,,14136000000.0,5727000000.0,,,,13087000000.0,,,,,,,2080000000.0,,,,27223000000.0,,,,,,,,,,0.0,,,,2922000000.0,,,,,,,,,,3163000000.0,,,,,,,,,,,,,,8649000000.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.309392000,11142000000.0,-2411000000.0,79000000.0,0.0,,1626000000.0,-520000000.0,,27000000.0,6748000000.0,0.0,7672000000.0,,13418000000.0,-1436000000.0,,129000000.0,6857000000.0,,,4794000000.0,4794000000.0,,850000000.0,129000000.0,2036000000.0,16233000000.0,,,,,,4415000000.0,,79000000.0,4218000000.0,,0.0,520000000.0,-250000000.0,,,0.0,,,11142000000.0,,18198000000.0,1289000000.0,,15569000000.0,-6727000000.0,0.0,16726000000.0,-6727000000.0,,,,,10801000000.0,-1763000000.0,13616000000.0,8391000000.0,850000000.0,,1550000000.0,13418000000.0,0.06,,0.0,-856000000.0,,,1560000000.0,-2079000000.0,79000000.0,,27034000000.0,8000000.0,399000000.0,,710000000.0,,-1634000000.0,1472000000.0,2036000000.0,1550000000.0,0.0,33767000000.0,,,2410000000.0,16233000000.0,,1560000000.0,27034000000.0,1289000000.0,631000000.0,4794000000.0,8391000000.0,889000000.0,4218000000.0,4794000000.0,520000000.0,,,,,,,,7672000000.0,2410000000.0,0.06,-1018000000.0,10801000000.0,1835000000.0,4415000000.0,-1018000000.0,13616000000.0,,,4794000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.325289600,,,,,,,,,,,,7708000000.0,,,,,,,,,3408000000.0,3408000000.0,,800000000.0,129000000.0,2226000000.0,16239000000.0,,,,,,4157000000.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,12893000000.0,7372000000.0,,,1984000000.0,13078000000.0,,,,,,,1560000000.0,,,,25971000000.0,,,,,,,,,,0.0,,,,2360000000.0,,,,,,,,,,4162000000.0,,793000000.0,,,,,,,,,,,,9732000000.0,,,-1113000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.341014400,9530000000.0,-1420000000.0,873000000.0,0.0,,1942000000.0,-792000000.0,,37000000.0,4794000000.0,0.0,7613000000.0,632000000.0,13073000000.0,-1420000000.0,1208000000.0,129000000.0,6837000000.0,,,3245000000.0,3245000000.0,,775000000.0,129000000.0,0.0,15606000000.0,4263000000.0,-748000000.0,,,,4489000000.0,,873000000.0,3593000000.0,,37000000.0,642000000.0,-18000000.0,,65000000.0,0.0,,,9530000000.0,,15206000000.0,1291000000.0,11105000000.0,14959000000.0,-5041000000.0,0.0,14667000000.0,-5041000000.0,,,,,8074000000.0,625000000.0,10607000000.0,6259000000.0,775000000.0,,2481000000.0,13073000000.0,0.68,11105000000.0,0.0,-158000000.0,,,1040000000.0,-326000000.0,873000000.0,,23680000000.0,0.0,-690000000.0,,1162000000.0,,-1402000000.0,539000000.0,0.0,2481000000.0,0.0,30165000000.0,4263000000.0,,1815000000.0,15606000000.0,,1040000000.0,23680000000.0,1291000000.0,289000000.0,3171000000.0,6259000000.0,743000000.0,3593000000.0,3245000000.0,642000000.0,7000000.0,,,,7000000.0,,1208000000.0,7613000000.0,1815000000.0,0.68,0.0,8074000000.0,730000000.0,4489000000.0,0.0,10607000000.0,,,3245000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.356912000,,,,,,,,,,,,7712000000.0,,,,,,,,,6783000000.0,6783000000.0,,803000000.0,194000000.0,0.0,20298000000.0,4271000000.0,,,,,4643000000.0,,,,,,,,,,,,,,,,,10886000000.0,,,0.0,,,,,,,,,14947000000.0,6111000000.0,,,3978000000.0,13305000000.0,,,,,,,1040000000.0,,,,28252000000.0,,,,,,,,,,0.0,,,,1843000000.0,,,,,,,,,,3965000000.0,,769000000.0,,,,,,,,,,,,7954000000.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
