date,quarterlyCashAndCashEquivalents,annualOperatingCashFlow,trailingOperatingCashFlow,annualCapitalStock,annualTotalNonCurrentAssets,annualGrossProfit,annualOtherIncomeExpense,annualNetPPE,quarterlyNonCurrentDeferredTaxesLiabilities,trailingGrossProfit,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccumulatedDepreciation,annualCashFlowFromContinuingFinancingActivities,quarterlyNetPPE,annualCashCashEquivalentsAndMarketableSecurities,annualChangeInInventory,trailingRepaymentOfDebt,quarterlyCurrentDebt,annualOtherNonCashItems,annualOtherNonCurrentLiabilities,annualPurchaseOfBusiness,trailingChangeInCashSupplementalAsReported,quarterlyCapitalStock,quarterlyOtherNonCurrentAssets,annualGrossPPE,annualBasicEPS,quarterlyOtherIntangibleAssets,trailingCapitalExpenditure,quarterlyOtherCurrentLiabilities,annualBeginningCashPosition,trailingOperatingExpense,annualInvestingCashFlow,annualOperatingExpense,trailingSellingGeneralAndAdministration,annualPurchaseOfInvestment,annualCapitalExpenditure,trailingInvestingCashFlow,annualNonCurrentDeferredTaxesLiabilities,quarterlyAccountsPayable,trailingCashDividendsPaid,trailingInterestExpense,trailingPurchaseOfInvestment,quarterlyGrossPPE,trailingNetIncome,trailingBeginningCashPosition,trailingPurchaseOfBusiness,quarterlyOtherShortTermInvestments,annualBasicAverageShares,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,trailingNetIncomeContinuousOperations,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualChangeInWorkingCapital,annualGoodwill,annualAccumulatedDepreciation,annualInventory,annualInterestExpense,annualNetOtherFinancingCharges,annualStockBasedCompensation,trailingOperatingIncome,annualTotalRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherCurrentAssets,annualOperatingIncome,annualCostOfRevenue,annualGainsLossesNotAffectingRetainedEarnings,annualAccountsPayable,annualTaxProvision,quarterlyRetainedEarnings,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,trailingTotalRevenue,quarterlyCurrentAssets,quarterlyCurrentLiabilities,annualEndCashPosition,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,annualNetOtherInvestingChanges,annualNetIncome,trailingTaxProvision,quarterlyTotalLiabilitiesNetMinorityInterest,trailingEndCashPosition,annualCashDividendsPaid,annualPretaxIncome,annualCurrentDebt,annualFreeCashFlow,annualInvestmentsAndAdvances,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,annualCurrentAssets,annualAccountsReceivable,quarterlyLongTermDebt,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,annualTotalAssets,trailingSaleOfInvestment,annualRepurchaseOfCapitalStock,trailingPretaxIncome,annualDilutedAverageShares,annualLongTermDebt,annualStockholdersEquity,trailingNetIncomeCommonStockholders,annualNetIncomeCommonStockholders,annualDepreciationAndAmortization,quarterlyGoodwill,annualCurrentLiabilities,annualEbitda,quarterlyStockholdersEquity,annualRetainedEarnings,annualSaleOfInvestment,annualDilutedEPS,annualOtherShortTermInvestments,quarterlyInventory,annualOtherIntangibleAssets,quarterlyAccountsReceivable,annualCommonStockIssuance,trailingRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,trailingNetOtherInvestingChanges,quarterlyIncomeTaxPayable,trailingDeferredIncomeTax,quarterlyNetIncome,annualDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingChangeInAccountPayable,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,trailingOtherNonCashItems,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,annualCurrentAccruedExpenses,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,annualChangesInAccountReceivables,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,trailingBasicEPS,quarterlyCashDividendsPaid,trailingBasicAverageShares,annualNonCurrentDeferredRevenue,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCurrentDeferredRevenue,quarterlyNetOtherInvestingChanges,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,trailingCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,quarterlyEndCashPosition,trailingChangeInInventory,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,annualChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,trailingDilutedEPS,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,trailingResearchAndDevelopment,annualIncomeTaxPayable,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,trailingDepreciationAndAmortization,quarterlyGrossProfit,trailingOtherIncomeExpense,quarterlyEbitda,annualResearchAndDevelopment,quarterlyChangeInInventory,trailingDilutedAverageShares
2000-03-31,,24690047.317616,1187594000.0,75165989.332607,257066025.397331,22185860.676766,,178060850.094116,,2671276000.0,,,,,161512598.05193,28978838.954215,-47000000.0,,23595262.83541,331226513.642398,-5096593.77881,-148830000.0,,,,-3.560707,,-249810000.0,,10171929.606508,981316000.0,-122558465.538981,68228456.987604,1173254000.0,-41646452.021129,-75429587.926381,-6289654000.0,,,-825931000.0,49853000.0,-2207606000.0,,1284028000.0,4123392000.0,-4613204000.0,,29714765.0,2316717000.0,0.0,1471450000.0,,151340668.445421,62818308.429911,,,6673933.751229,13877190.485117,4403584.572598,,1689960000.0,72222826.00132,6177560.592793,0.0,-46042596.310839,50036965.324554,,,,,126762225.371137,937784000.0,3985934000.0,,,161512598.05193,,1314658000.0,161512598.05193,-102450569.583294,-1840938.566194,-105772124.444353,377848000.0,,3974562000.0,,,66921092.994291,-50739540.608766,,,,200922713.616205,14103587.664447,,0.0,,,,457988739.013536,602801000.0,,1849298000.0,29714765.0,0.0,308887595.717635,1284028000.0,-105772124.444353,16202810.336637,,120584664.778345,-29839785.974202,,,0.0,-3.560707,,,,,221323969.297221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-31,,-88451276.762703,,46042622.110243,55767831.403623,30195428.549448,,902131.361311,,,,,,,9760192.060622,2453034.04239,,,37085973.61234,,-8162645.689887,,,,,-3.837504,,,,161085042.312575,,-34370038.773705,281282650.305805,,-47790700.388506,-31412404.81594,,,,,,,,,,,,67785337.0,,0.0,,-30087299.996153,-151324850.251952,-8629082.586452,,,0.0,3703932.992268,-3094384.775166,,,42444697.503558,0.0,0.0,-251087221.756357,12249268.95411,,,,,8431906.989268,,,,,9760192.060622,,,9760192.060622,-257792252.144478,0.0,-260217724.006616,,,,,,0.0,-119863681.578644,,,,10860559.102973,470677.231988,,0.0,,,,66628390.506597,,,,67785337.0,0.0,55981968.342501,,-260217724.006616,16523527.060815,,8431906.989268,-234563694.695542,,,22281902.565681,-3.837504,,,,,1621928.299419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-31,,4744702.328444,,46040361.088317,7312099.343522,461113.832188,,38161.144733,,,,,,,21104173.069033,0.0,,,25424862.678223,,-3316839.496359,,,,,-0.795024,,,,9759712.765412,,-749442.48128,42196685.788286,,,-146284.388142,,,,,,,,,,,,74209435.0,,0.0,,,11344460.303621,17103613.062878,,,,207766.232434,0.0,,,10685120.525182,0.0,0.0,-41735571.956098,10224006.692994,,,0.0,,39159694.686635,,,,,21104173.069033,,,21104173.069033,-59270617.960816,0.0,-59270617.960816,,,,,-59270617.960816,1498884.96256,4598417.940302,,,,35226976.715561,,,0.0,,,,42539076.059083,,,,74209435.0,,3379381.372448,,-59270617.960816,115543.465997,,39159694.686635,-58947308.262386,,,2713681.403221,-0.795024,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-03-31,,-1722423.525475,,46093666.655556,1485762.745327,647368.053321,,0.0,,,,,,,1061.259104,-387359.572889,,,5537650.003654,,-21119056.165716,,,,,-0.084901,,,,21128607.497651,,-21119056.165716,9295568.490227,,,,,,,,,,,,,,,74209435.0,,0.0,,,-21127546.238547,572018.656951,,,387359.572889,59430.509813,0.0,,,12008146.759552,0.0,0.0,-8648200.436906,11360778.706231,,,0.0,,5071757.257083,,,,,1061.259104,,,1061.259104,-6321920.481365,0.0,-6321920.481365,,,,,-6321920.481365,0.0,-1722423.525475,,,,647368.053321,,,0.0,,,,2133130.798648,,,,74209435.0,,-2938626.458436,,-6321920.481365,0.0,,5071757.257083,-6262489.971552,,,0.0,-0.084901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-03-31,,-4973753.205897,,82227834.070845,0.0,378102.955648,,,,,,,,,11054201.017932,-2451296.689987,,,-2124.173908,,,,,,,-0.100898,,,,1062.086954,,0.0,7363448.852549,,,,,,,,,,,,,,,78951902.0,,0.0,,,11053138.930978,2011592.691003,,,2838958.428222,0.0,0.0,,,28382149.673541,0.0,0.0,-6985345.896901,28004046.717893,,,0.0,,13408847.7951,,,,,11054201.017932,,,11054201.017932,-7967776.329413,,-7967776.329413,,,,,-7967776.329413,,-4973753.205897,,,,17557359.437687,,,,,,,17557359.437687,,-61069999.85887,,78951902.0,,4148511.642587,,-7967776.329413,,,13408847.7951,-7967776.329413,,,,-0.100898,,,,,74346086.784711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-31,,1837039.508686,,82163741.075675,25470.218491,2220154.04516,,25470.218491,,,,,,,9799666.564534,2836745.58447,,,-3183.777311,0.0,,,,,31837.773114,-0.002016,,,,11045584.752401,,-31837.773114,2661637.832343,,,-31837.773114,,,,,,,,,,,,247309435.0,,0.0,,-3051119.923439,-1245918.187867,2272155.741246,,-6367.554623,0.0,,0.0,,,26216283.641291,0.0,0.0,-441483.787183,23996129.596131,,6827079.814777,61553.028021,,7185785.391863,,,,,9799666.564534,,,9799666.564534,-503036.815203,0.0,-503036.815203,,,,,-441483.787183,,1805201.735572,,,,10802556.41763,,,0.0,,,,10828026.636121,,0.0,,247309435.0,,3642241.244258,,-503036.815203,6367.554623,,7185785.391863,-435116.23256,,,,-0.002016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-03-31,,-4977921.939074,,25562497.399344,433087.477673,3628012.044466,,433087.477673,,,,,0.0,,4105545.253738,-741106.73387,,,6637918.333209,0.0,,,,,515777.21088,-0.029458,,,,9544462.455442,,-484768.560927,3933964.057333,,,-484768.560927,,,,,,,,,,,,247309435.0,,0.0,,,-5462690.500001,-4725718.252792,,-82689.733207,741106.73387,6684431.308138,,,,19187118.969068,50182331.840125,2405237.614665,-305952.012867,15559106.924602,271672983.965627,4169629.796974,294582.174551,,54904949.227922,,,,,4105545.253738,,,4105545.253738,-7284965.495555,0.0,-7284965.495555,,,,,-6990383.321004,,-5462690.500001,,,,7251889.602272,2043470.031883,,0.0,,,,7684977.079945,,,,247309435.0,,-47219972.147977,,-7284965.495555,76488.003217,,4722617.387797,-229464.00965,,-397284890.437369,,-0.029458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-03-31,,650760485.45678,,302724510.344121,209030538.508808,695996829.782876,170009.422368,153375186.501434,,,,,,,847507843.199508,,,,,,,,,,,0.196796,,,,178768861.327325,,14509118.08685,127639515.977059,,,-16947567.18558,,,,,,,,,,,,2848071321.0,,0.0,,,668738981.872184,,,,61154959.1356,2412750.0,-2710266.489144,,,1001502773.351086,0.0,326429952.068824,568357313.805817,305505943.56821,,305598855.694388,1418392.564523,,316403349.856616,,,,,847507843.199508,,,847507843.199508,550410447.050389,31456685.272429,560488447.460057,,,,-54141082.036051,571984840.434248,,633812918.2712,,,,1235092754.403933,,,18081292.810324,131622876.280213,,,1444123292.912741,,,,3038858521.0,,1067509920.01229,,560488447.460057,,,316403349.856616,568357313.805817,,880342395.534617,,0.18444,,,11853215.075789,,60320726.853748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-03-31,,785730751.366749,,276558906.827255,846796806.339915,958007528.81318,-281144.62802,179209876.06176,,,,,,,875508701.47641,,,,,62848439.826444,-566441545.929819,,,,,0.253481,,,,773592872.714751,,-580851109.220398,156113664.64904,,,-27665712.722615,,27664811.618038,,,,,,,,,,3064859581.0,,0.0,,,49923896.878738,,,,123326974.615415,0.0,0.0,,,1278790846.069739,27664811.618038,386746875.605641,801893864.164141,320783317.256558,,378091766.143694,30983579.775076,,410366628.77759,,,,,875508701.47641,,,875508701.47641,776882805.525326,12985818.058941,783614957.819986,,,,-172831857.865855,814598537.595062,,758065038.644134,3300746.065499,,,1385582551.697466,,,3300746.065499,192651653.036655,,,2232379358.037381,,,,3118065099.0,,1759164289.433347,,776882805.525326,,,382701817.159553,801893864.164141,,1364787761.374368,,0.249155,,,653162048.209768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-03-31,,987604734.7645,,272023547.724481,1661681343.482592,1288312093.304535,,245789430.294491,,,,,,,992256330.376036,-27925446.412535,,,1751292.679528,0.0,-528418616.013274,,,,376284544.034311,0.319395,,,,856771002.500542,,-594230537.090081,230283523.709989,,,-79193525.513785,,82726092.721333,,,,,,,,,,3077276000.0,,0.0,,-11582693.527493,132420124.776783,-102547621.850453,,-130495113.73982,190166928.609399,6996352.52738,42766461.415787,,,1709356009.860238,82726092.721333,0.0,1058028569.594546,421043916.555704,,602794763.929747,72447609.603216,,720788328.66772,,,,,992256330.376036,,,992256330.376036,996200707.090804,0.0,982957548.24833,,,,-298543374.534213,1068648316.69402,,908411209.250715,,,,1646533455.44184,,,0.0,265253822.698934,,,3308214798.924432,,-73984620.247938,,3117381000.0,,2504721541.193138,,982957548.24833,48418039.856419,,638062235.946387,1124062709.077819,,239381251.088987,,0.315339,,,1380365186.363918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-31,1477933842.448658,1220248050.969917,,275472344.572404,1786333585.256382,1573192535.249814,,265713600.166397,95852986.600692,,1681214017.559224,-160371282.34882,,265713600.166397,1681214017.559224,-14986768.971406,,220316597.363927,-3144914.743618,0.0,-98758422.953978,,275472344.572404,0.0,426084882.515217,0.379908,1470628871.108289,,0.0,992017221.06669,,-314887670.228139,237846063.362088,,-203280175.110566,-29255983.207076,,95852986.600692,428104600.99838,,,,426084882.515217,,,,203280175.110566,3105873000.0,,0.0,,-287831014.296974,485752860.423874,-41767848.666637,,-160371282.34882,207161133.73035,1327696.369926,0.0,,,2083464637.189648,95852986.600692,0.0,1335346471.887726,510272101.939834,,428104600.99838,142838294.609625,338279954.613128,806171424.946359,,,2469565432.872094,710318438.345667,1477933842.448658,95852986.600692,,1477933842.448658,1205679488.746333,0.0,1179858083.482944,,806171424.946359,,-482169488.921487,1348517783.355957,220316597.363927,1190992067.762841,,1786333585.256382,4255899018.128476,2469565432.872094,,,0.0,269750395.826947,0.0,0.0,4255899018.128476,,,,3147123000.0,,3336941195.253317,,1179858083.482944,52394702.237597,,710318438.345667,1402240181.96348,3336941195.253317,338279954.613128,,0.374889,203280175.110566,207161133.73035,1470628871.108289,,140416217.213294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
