,quarterlyStockholdersEquity,annualOtherNonCurrentLiabilities,quarterlyCapitalStock,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualEbitda,annualBasicEPS,annualChangeInCashSupplementalAsReported,annualRepaymentOfDebt,trailingNetIncomeCommonStockholders,annualGrossPPE,annualOtherIntangibleAssets,quarterlyOtherIntangibleAssets,annualInterestExpense,quarterlyCashAndCashEquivalents,annualCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,annualTotalNonCurrentAssets,trailingGrossProfit,quarterlyNonCurrentDeferredTaxesLiabilities,annualSellingGeneralAndAdministration,annualCapitalExpenditure,quarterlyOtherCurrentAssets,trailingInterestExpense,quarterlyAccountsPayable,annualNetIncomeContinuousOperations,annualOtherNonCashItems,annualDilutedAverageShares,annualPurchaseOfBusiness,trailingNetIncomeContinuousOperations,annualInventory,annualAccumulatedDepreciation,annualOperatingExpense,trailingTaxProvision,annualNetOtherFinancingCharges,annualStockBasedCompensation,annualCurrentDebt,annualCostOfRevenue,annualResearchAndDevelopment,quarterlyOtherCurrentLiabilities,annualBeginningCashPosition,annualDilutedEPS,quarterlyAccumulatedDepreciation,trailingSellingGeneralAndAdministration,annualGrossProfit,quarterlyRetainedEarnings,trailingNetIncome,annualNonCurrentDeferredTaxesLiabilities,quarterlyNetPPE,quarterlyCurrentAssets,annualChangeInInventory,annualTotalLiabilitiesNetMinorityInterest,trailingOperatingExpense,quarterlyGrossPPE,quarterlyCurrentLiabilities,trailingCostOfRevenue,quarterlyOtherShortTermInvestments,quarterlyGoodwill,annualChangeInWorkingCapital,annualRetainedEarnings,annualNetOtherInvestingChanges,annualGoodwill,annualOtherShortTermInvestments,annualCommonStockIssuance,annualNetIncome,annualPretaxIncome,quarterlyAccountsReceivable,annualFreeCashFlow,annualCashDividendsPaid,trailingOperatingIncome,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,annualOtherCurrentAssets,annualPurchaseOfInvestment,annualAccountsReceivable,annualTotalRevenue,annualInvestingCashFlow,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,annualAccountsPayable,annualTotalAssets,annualTaxProvision,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingIncome,annualLongTermDebt,trailingTotalRevenue,annualEndCashPosition,annualStockholdersEquity,quarterlyCurrentDebt,annualDepreciationAndAmortization,annualCurrentLiabilities,quarterlyOtherNonCurrentAssets,annualCashAndCashEquivalents,annualSaleOfInvestment,quarterlyInventory,quarterlyTotalLiabilitiesNetMinorityInterest,annualOperatingCashFlow,annualCurrentAssets,annualNetPPE,annualOtherNonCurrentAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualRepurchaseOfCapitalStock,trailingPretaxIncome,annualCashCashEquivalentsAndMarketableSecurities,annualBasicAverageShares,quarterlyCostOfRevenue,annualChangesInAccountReceivables,quarterlyOtherNonCashItems,annualCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlyGrossProfit,trailingPurchaseOfInvestment,quarterlySellingGeneralAndAdministration,trailingEndCashPosition,trailingSaleOfInvestment,trailingFreeCashFlow,quarterlyNetOtherInvestingChanges,trailingNetOtherFinancingCharges,quarterlyBeginningCashPosition,trailingCapitalExpenditure,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,trailingBasicEPS,trailingChangeInInventory,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,trailingOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,trailingChangeInAccountPayable,quarterlyPretaxIncome,trailingRepurchaseOfCapitalStock,trailingCashDividendsPaid,annualOtherIncomeExpense,quarterlyInterestExpense,trailingNetOtherInvestingChanges,quarterlyResearchAndDevelopment,trailingChangesInAccountReceivables,quarterlyTaxProvision,quarterlyEbitda,trailingDilutedAverageShares,trailingCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,trailingCommonStockIssuance,quarterlyIncomeTaxPayable,trailingDepreciationAndAmortization,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,trailingOtherIncomeExpense,quarterlyCashFlowFromContinuingFinancingActivities,annualNonCurrentDeferredRevenue,annualCurrentAccruedExpenses,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,trailingDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,annualIncomeTaxPayable,trailingBeginningCashPosition,quarterlyCashDividendsPaid,trailingBasicAverageShares,trailingOtherNonCashItems,annualDeferredIncomeTax,trailingPurchaseOfBusiness,trailingInvestingCashFlow,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,trailingDilutedEPS,quarterlyOperatingExpense,trailingResearchAndDevelopment,quarterlyOperatingIncome,trailingChangeInWorkingCapital,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,trailingStockBasedCompensation,quarterlyCurrentAccruedExpenses,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,trailingRepaymentOfDebt,trailingChangeInCashSupplementalAsReported,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,annualInvestmentsAndAdvances,quarterlyTotalRevenue,annualCurrentDeferredRevenue
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041292800,,,,15961000.0,0.0,23921000.0,0.04,-10879000.0,0.0,,,3228000.0,,0.0,,118000.0,,10551000.0,,,9960000.0,-5554000.0,,,,19409000.0,-151000.0,399025000.0,,,3466000.0,,9278000.0,,335000.0,,0.0,82350000.0,,,45730000.0,0.04,,,32135000.0,,,0.0,,,850000.0,19386000.0,,,,,,,-21739000.0,,0.0,,,0.0,15961000.0,22857000.0,,-3523000.0,-6367000.0,,,,0.0,,48030000.0,114485000.0,-6878000.0,,,18756000.0,96898000.0,0.0,,22857000.0,,,34851000.0,65940000.0,,1064000.0,19386000.0,,34851000.0,,,,2031000.0,86347000.0,5848000.0,1475000.0,0.0,,,34851000.0,399025000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072828800,,,,20007000.0,0.0,33100000.0,0.04,49223000.0,-5000000.0,,,3499000.0,,497000.0,,33920000.0,,12972000.0,,,18151000.0,-4584000.0,,,,24117000.0,177000.0,565500379.0,,,7290000.0,,17546000.0,,-580000.0,,10000000.0,117050000.0,,,34851000.0,0.04,,,49005000.0,,,410000.0,,,-3824000.0,42824000.0,,,,,,,-20309000.0,,-3243000.0,,,54272000.0,20007000.0,30962000.0,,6228000.0,0.0,,,,821000.0,,77960000.0,166055000.0,-7063000.0,,,26753000.0,183117000.0,2735000.0,,31459000.0,,,84074000.0,126111000.0,,1641000.0,42414000.0,,84074000.0,,,,10812000.0,170145000.0,8520000.0,953000.0,410000.0,,,84074000.0,565041096.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104451200,,,,32527000.0,0.0,46609000.0,0.0537,-10086000.0,-10000000.0,,,14909000.0,,104000.0,,36968000.0,,55475000.0,,,39433000.0,-11608000.0,,,,35533000.0,-357000.0,667861041.0,-1079000.0,,34485000.0,,40310000.0,,0.0,,0.0,212294000.0,,,84074000.0,0.0532,,,81602000.0,,,1221000.0,,,-27819000.0,131930000.0,,,,,,,-21985000.0,,-5519000.0,27226000.0,,0.0,32527000.0,42456000.0,,12856000.0,-7786000.0,,,,1403000.0,,,293896000.0,-16764000.0,,,100321000.0,331325000.0,3917000.0,,41292000.0,,,74029000.0,199395000.0,,4049000.0,130709000.0,,74029000.0,,,,24464000.0,275850000.0,11682000.0,0.0,1221000.0,,,74029000.0,661267123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135987200,,14032000.0,,39656000.0,9000.0,48896000.0,0.0556,28216000.0,,,,18003000.0,,,,,,128978000.0,,,63482000.0,-12041000.0,,,,39656000.0,37688000.0,730313076.0,-19414000.0,,22670000.0,,75696000.0,,-1491000.0,,,264279000.0,,,74029000.0,0.0543,,,117996000.0,,,1824000.0,,,12113000.0,129730000.0,,,,,,,-19015000.0,,24770000.0,79168000.0,,,42996000.0,48714000.0,,32243000.0,-7892000.0,,,,4918000.0,,,382275000.0,-6685000.0,,,125051000.0,438765000.0,5718000.0,,42300000.0,,,31000.0,295003000.0,,6596000.0,127906000.0,,100086000.0,,,,44284000.0,309787000.0,23288000.0,216000.0,1824000.0,,,100086000.0,713237410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167523200,,268480000.0,,-66593000.0,19666000.0,73357000.0,-0.0891,38374000.0,,,,48894000.0,,,,,,245033000.0,,,98713000.0,-76826000.0,,,,-66593000.0,932000.0,747396184.0,-27811000.0,,34107000.0,,102037000.0,,162911000.0,,,186338000.0,,,100086000.0,-0.0891,,,168898000.0,,,2588000.0,,,-9946000.0,427566000.0,,,,,,,-56839000.0,,-9209000.0,140157000.0,,,-63853000.0,-51972000.0,,-69398000.0,-18235000.0,,,,2164000.0,,12383000.0,355236000.0,-113730000.0,,,195000.0,661221000.0,11881000.0,,66861000.0,,,133571000.0,212835000.0,,6496000.0,156498000.0,,133571000.0,,,,7428000.0,416188000.0,42326000.0,5204000.0,271068000.0,,,133571000.0,747396184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199059200,,199059000.0,,115445000.0,28351000.0,94613000.0,0.1344,103826000.0,,,,76155000.0,,,,0.0,,604665000.0,,,176484000.0,-20765000.0,,,,115445000.0,111495000.0,858965774.0,-44682000.0,,51713000.0,,183898000.0,,-10969000.0,,10000000.0,545157000.0,,,133571000.0,0.1344,,,266395000.0,,,7170000.0,,,-16649000.0,587584000.0,,,,,,,-30772000.0,,-19344000.0,445005000.0,0.0,66389000.0,122540000.0,131448000.0,,102846000.0,-633000.0,,,,42906000.0,,,811552000.0,-84572000.0,,,321662000.0,1362272000.0,8908000.0,,82497000.0,16814000.0,,230435000.0,735669000.0,,12116000.0,364541000.0,,230435000.0,,,,123611000.0,757607000.0,68723000.0,1276000.0,223043000.0,,,230435000.0,858965774.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230681600,,,,63335000.0,0.0,99961000.0,0.0633,36142000.0,-10000000.0,,120172000.0,79724000.0,,,,52178000.0,,625707000.0,,,218686000.0,-28891000.0,,,,71725000.0,941000.0,1210241661.0,-21374000.0,,21939000.0,-41134000.0,213503000.0,,-9871000.0,15940000.0,70555000.0,709227000.0,,,230435000.0,-0.002,,,274145000.0,,,8371000.0,,,26518000.0,534935000.0,,,,,,,-4908000.0,,-28211000.0,446607000.0,21630000.0,0.0,63335000.0,80979000.0,,63461000.0,-5162000.0,,,,0.0,,69891000.0,983372000.0,-75641000.0,,,282122000.0,1405047000.0,9254000.0,,60642000.0,0.0,,265804000.0,825341000.0,,39319000.0,398865000.0,,265804000.0,109000.0,,,92352000.0,779340000.0,79038000.0,0.0,136070000.0,,,287434000.0,1000707872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262217600,726057000.0,0.0,52357000.0,-126743000.0,0.0,-55626000.0,-0.1256,31597000.0,-55664000.0,,157423000.0,83197000.0,83197000.0,4064000.0,297029000.0,52357000.0,309899000.0,619982000.0,,9208000.0,269003000.0,-35958000.0,0.0,,283272000.0,-120557000.0,74746000.0,1008951120.0,-36439000.0,,14457000.0,-62292000.0,314537000.0,,-5078000.0,,104071000.0,767624000.0,19397000.0,0.0,265804000.0,-0.1256,-62292000.0,,336978000.0,,,9208000.0,95131000.0,848530000.0,7498000.0,691498000.0,,157423000.0,503261000.0,,12870000.0,414615000.0,-15526000.0,,-2361000.0,414615000.0,12870000.0,,-126743000.0,-107077000.0,524008000.0,50515000.0,0.0,,619982000.0,1468512000.0,0.0,,524008000.0,1104602000.0,-71397000.0,,0.0,283272000.0,1468512000.0,13480000.0,188237000.0,22441000.0,,,297029000.0,726057000.0,104071000.0,47387000.0,503261000.0,0.0,297029000.0,0.0,14457000.0,691498000.0,86473000.0,848530000.0,95131000.0,0.0,188237000.0,,,309899000.0,1008951120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277856000,803908000.0,,54599000.0,,,,,,,,,,83460000.0,,230031000.0,,240098000.0,,,9208000.0,,,0.0,,340420000.0,,,,,,,,,,,,,,,13565000.0,,,,,,,,,104369000.0,979760000.0,,,,,580412000.0,,10067000.0,420562000.0,,,,,,,,,716012000.0,,,,635594000.0,1615354000.0,,,,,,,11374000.0,,,,172028000.0,,,,,,146898000.0,,,0.0,,,23484000.0,752440000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
