date,quarterlyInventory,annualChangeInInventory,quarterlyNetPPE,quarterlyOtherIncomeExpense,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,quarterlyCurrentDebt,annualInventory,annualCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,trailingCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,trailingChangeInInventory,trailingOperatingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashFlowFromContinuingFinancingActivities,annualCapitalStock,annualPurchaseOfBusiness,quarterlyBasicEPS,quarterlyCurrentDeferredRevenue,quarterlyBasicAverageShares,trailingOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyOperatingExpense,trailingOtherNonCashItems,quarterlyNetOtherFinancingCharges,annualOtherIntangibleAssets,quarterlyPurchaseOfBusiness,annualNetPPE,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOperatingCashFlow,annualOperatingCashFlow,quarterlyOtherNonCurrentAssets,annualGrossProfit,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,annualEbitda,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,trailingCashDividendsPaid,trailingPurchaseOfBusiness,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyTotalNonCurrentAssets,annualGoodwill,trailingChangeInCashSupplementalAsReported,quarterlyChangesInAccountReceivables,annualNetOtherInvestingChanges,trailingInterestExpense,annualGrossPPE,annualOtherCurrentLiabilities,trailingPretaxIncome,annualChangeInCashSupplementalAsReported,annualOtherNonCurrentLiabilities,annualPurchaseOfInvestment,annualRepaymentOfDebt,annualPretaxIncome,quarterlyFreeCashFlow,trailingChangesInAccountReceivables,trailingChangeInWorkingCapital,quarterlyTotalAssets,annualInterestExpense,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIntangibleAssets,annualOtherIncomeExpense,annualIncomeTaxPayable,quarterlyDepreciationAndAmortization,trailingGrossProfit,annualAccountsPayable,trailingInvestingCashFlow,quarterlySaleOfInvestment,annualInvestingCashFlow,annualCapitalExpenditure,trailingTotalRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingPurchaseOfInvestment,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,trailingCapitalExpenditure,quarterlyAccountsPayable,annualOperatingIncome,trailingRepaymentOfDebt,annualEndCashPosition,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualTaxProvision,annualNetOtherFinancingCharges,quarterlyTotalRevenue,trailingNetOtherFinancingCharges,annualCurrentAccruedExpenses,quarterlyEbitda,annualCashAndCashEquivalents,trailingTaxProvision,quarterlyPurchaseOfInvestment,annualCostOfRevenue,annualNetIncomeContinuousOperations,annualTotalRevenue,trailingChangeInAccountPayable,annualCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,annualCurrentDebt,annualDilutedAverageShares,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,annualInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyCurrentAssets,annualCommonStockIssuance,annualOperatingExpense,annualOtherNonCurrentAssets,quarterlyCashDividendsPaid,annualGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,trailingSellingGeneralAndAdministration,quarterlyCurrentLiabilities,trailingFreeCashFlow,quarterlyIncomeTaxPayable,annualOtherShortTermInvestments,annualTotalLiabilitiesNetMinorityInterest,annualResearchAndDevelopment,annualDeferredIncomeTax,annualBasicAverageShares,annualAccumulatedDepreciation,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCurrentAssets,trailingCostOfRevenue,quarterlyOperatingIncome,annualChangeInWorkingCapital,quarterlyDilutedEPS,trailingNetIncomeContinuousOperations,annualDilutedEPS,quarterlyOtherNonCashItems,trailingNetOtherInvestingChanges,quarterlyOtherShortTermInvestments,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,trailingOperatingExpense,quarterlyRetainedEarnings,trailingBeginningCashPosition,annualChangesInAccountReceivables,annualRetainedEarnings,quarterlyNetOtherInvestingChanges,trailingNetIncome,quarterlyAccountsReceivable,annualTotalAssets,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyDilutedAverageShares,annualNetIncomeCommonStockholders,trailingNetIncomeCommonStockholders,quarterlyGoodwill,quarterlyStockholdersEquity,annualAccountsReceivable,annualBeginningCashPosition,quarterlyLongTermDebt,annualNetIncome,quarterlyChangeInInventory,annualCashDividendsPaid,annualSellingGeneralAndAdministration,annualFreeCashFlow,trailingSaleOfInvestment,annualTotalNonCurrentAssets,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,annualLongTermDebt,annualStockholdersEquity,annualBasicEPS,annualOtherNonCashItems,annualOtherCurrentAssets,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingEndCashPosition,quarterlyRepurchaseOfCapitalStock,trailingDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,annualNonCurrentDeferredRevenue,trailingStockBasedCompensation,trailingBasicEPS,quarterlyStockBasedCompensation,trailingCommonStockIssuance,annualRepurchaseOfCapitalStock,trailingDilutedAverageShares,trailingResearchAndDevelopment,trailingDilutedEPS,trailingRepurchaseOfCapitalStock,trailingBasicAverageShares,trailingDepreciationAndAmortization,annualStockBasedCompensation
1998-12-31,,,,,,,,,,,,-69393000000.0,,26378000000.0,119347000000.0,,,,,,,,-7629000000.0,,,14712000000.0,,,,,,,,,,,44313000000.0,,,7134000000.0,,,-51990000000.0,0.0,,,,,-83432000000.0,,,8237000000.0,,,72911000000.0,,,,,-1282000000.0,,57438000000.0,-60930000000.0,,8416000000.0,,,704000000.0,,,466178000000.0,,-133904000000.0,,,,3051514000000.0,,-61366000000.0,,,,-119734000000.0,,6430000000.0,-705373000000.0,,,,-1636000000.0,,,-1092000000.0,,,,13158000000.0,,146753000000.0,354000000.0,191066000000.0,-144746000000.0,,,,,112713170700.0,,81352000000.0,,,,,37883000000.0,,,,,127467000000.0,,-387000000.0,,,,,,112713170700.0,,,,,2585336000000.0,,,,59753000000.0,0.000328,,-223000000.0,,,,384826000000.0,,172284000000.0,,,,47160000000.0,,,,,,37000000.0,47160000000.0,,,,,,37000000.0,,,26724000000.0,,43726000000.0,,,,,,,,0.000328,,,,,,,,,,,,,,,,,,,,,,
1999-12-31,,-2690376000.0,,,,17905487040.0,,28410370560.0,124734109440.0,,,,,,,,,,,,,,,,,,,,,172357903680.0,,339401280.0,21340890240.0,,25314368640.0,,56435000000.0,,,16417000000.0,,,,,,,,,,,-1233433920.0,,,31854051840.0,,,794695680.0,,,8332000000.0,,,,,8085000000.0,,,1639000000.0,,,,10281375360.0,,,-34196748480.0,-33104041920.0,,,,,,,,,14778000000.0,,21340890240.0,,,1166000000.0,-11489975040.0,,,,,21340890240.0,,,175259000000.0,7166000000.0,231694000000.0,,,,,82598682240.0,112713170700.0,,,,,,1324492800.0,41657000000.0,17508139200.0,,85636737600.0,,,,,,,,,,112713170700.0,-132921130560.0,,,87035733120.0,,,-1134096960.0,,,0.05026,,,,,,,,,,1481776320.0,,,,276901776000.0,,,,5665000000.0,,,,,26945150400.0,,5665000000.0,,,29889000000.0,-7789673280.0,,189866042880.0,,,,,42044368320.0,87118513920.0,0.05026,-10297931520.0,25554432960.0,,,,,,,,,,,,,,,,,,,,
2000-03-31,,,,,,,,,,,,,,,,,,,,0.031839,,118040000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74684837760.0,,,,,,,,,,,,,,,,3758248320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031839,,,,,,,,,,,,,,,,,,,118040000000.0,,,,,,,,,,,,,,,3758248320.0,3758248320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-30,37483146240.0,,175478739840.0,389069760.0,,,57847223040.0,,,-140619744960.0,,,1688728320.0,,,422182080.0,,,,0.031839,,89440000000.0,,,14403859200.0,,,,,,,,,,,20181959040.0,,48534383040.0,,,,,,,1746674880.0,5960217600.0,195660698880.0,,,,,,,,,,,,,,,,,305204531520.0,,17739925440.0,,,,,,,,,,,,25587545280.0,,,25587545280.0,68799122880.0,,11945269440.0,,,,,,,,74684837760.0,,,12458510400.0,,,,,,,,,,,,,3758248320.0,,,21506451840.0,109543832640.0,,,,,,,,118326875520.0,,,,,,,,,,,,,7102592640.0,,0.031839,,,,,,,,,7516496640.0,,,,,,,,,53178385920.0,89440000000.0,,,,94055544960.0,,,69792492480.0,,,,,,,,3758248320.0,3758248320.0,562909440.0,6771469440.0,,,,,,29991483840.0,,,,,,,,,,,,,,,,,,,
2000-09-30,,,,,,,,,,,,,,,,,,,,0.068092,,84286248132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89677711200.0,,,,,,,,,,,,,,,,5739241200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.068092,,,,,,,,,,,,,,,,,,,84286248132.0,,,,,,,,,,,,,,,5739241200.0,5739241200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-31,50166583200.0,-22214000000.0,205378750800.0,,23980000000.0,24286000000.0,58591063800.0,49761000000.0,128153000000.0,-148391562600.0,,,,,,1769223600.0,,83902000000.0,,,,,,,,,,1049000000.0,,201854000000.0,86000000.0,427000000.0,41134000000.0,,34472000000.0,6390700200.0,74726000000.0,37426519800.0,,56752000000.0,,,,,,,212926887000.0,,,,-16088000000.0,,201854000000.0,8010000000.0,,-2034000000.0,-428000000.0,-1546000000.0,-121104000000.0,25937000000.0,,,,346957975800.0,6529000000.0,20742906600.0,,659000000.0,,,,19403000000.0,,,-60487000000.0,-43090000000.0,,19279576800.0,,,19279576800.0,83790099000.0,,19378785600.0,30987000000.0,,19304000000.0,,,7954000000.0,24326000000.0,89574087000.0,,336000000.0,,41134000000.0,,,249234000000.0,17983000000.0,323960000000.0,,2456000000.0,,,50654000000.0,112713170700.0,5733730800.0,,5235000000.0,,134031088800.0,25802000000.0,43739000000.0,6390000000.0,,3230000000.0,353762046000.0,,123514956000.0,,,0.0,196826000000.0,,-891000000.0,112713170700.0,-148391562600.0,22441000000.0,68673000000.0,131625000000.0,,,-11430000000.0,,,0.148102,,,,,,,15956082000.0,,-11657000000.0,6212000000.0,,,12673924200.0,340918000000.0,8118586800.0,,,16154000000.0,,,129698971200.0,12687000000.0,21338000000.0,68586350400.0,16154000000.0,,-9282000000.0,28755000000.0,-8618000000.0,,209293000000.0,5733730800.0,5733730800.0,438172200.0,,68674000000.0,120793000000.0,0.148102,3794000000.0,35465000000.0,30473636400.0,,,,,,,,,,,,,,,,,,,
2001-03-31,,,,,,,,,,,,,,,,,,,,0.042254,,113290186635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82048654800.0,,,,,,,,,,,,,,,,4786998300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042254,,,,,,,,,,,,,,,,,,,113290186635.0,,,,,,,,,,,,,,,4786998300.0,4786998300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-30,54444000000.0,,208791000000.0,181867400.0,,,62572000000.0,,,-148378998300.0,,,1438405800.0,,,329000000.0,,,,0.042249,2754000000.0,109073120000.0,,7214000000.0,15574462800.0,,,,,,,,,,,8415000000.0,,7960000000.0,,,,,,,1950941200.0,7026695000.0,218213000000.0,,,,,,,,,,,,,,,,,364924000000.0,,3230000000.0,1007000000.0,,,,,,,,,,,39959000000.0,,,39959000000.0,83902000000.0,,13466000000.0,,,,,,,,82038730800.0,,,13474721000.0,,,,,,,,,213534000000.0,,,,4786419300.0,,,23493961400.0,146711000000.0,,,,,,208791000000.0,,140949000000.0,,,,,,,,,,,,,7919498600.0,,0.042249,,,,,,,,,13835000000.0,,,,,,16316000000.0,,1386000000.0,58544769400.0,109073120000.0,,,,128416000000.0,,,71691000000.0,,,,,,,,4786419300.0,4786419300.0,565000000.0,6960561400.0,,,,,,46521000000.0,,72585000000.0,,,,,,,,,,,,,,,,,
2001-09-30,,,,,,,,,,,,,,,,,,,,0.030727,,109073120000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69928861200.0,,,,,,,,,,,,,,,,2215502400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030727,,,,,,,,,,,,,,,,,,,109073120000.0,,,,,,,,,,,,,,,2215502400.0,2215502400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,45448000000.0,4596000000.0,239882000000.0,,-13998000000.0,24919000000.0,37915000000.0,45448000000.0,129361000000.0,-170660897280.0,,,,,,679000000.0,,86702000000.0,,,2884000000.0,,,8910000000.0,,,,3977000000.0,,239882000000.0,307000000.0,679000000.0,22854000000.0,,59692000000.0,9670000000.0,69747000000.0,11296000000.0,,51720000000.0,,,,,,,253529000000.0,,,,15430000000.0,,239882000000.0,11296000000.0,,1719000000.0,806000000.0,-3779000000.0,-272410000000.0,21651000000.0,,,,360294000000.0,5150000000.0,6034000000.0,3977000000.0,-1822000000.0,,,,16793000000.0,,,-43968000000.0,-56300000000.0,,22854000000.0,,,22854000000.0,86702000000.0,,16793000000.0,27440000000.0,,21023000000.0,,,7092000000.0,11253000000.0,84457708080.0,,873000000.0,,22854000000.0,,,236135000000.0,14559000000.0,305882000000.0,,2884000000.0,197847000000.0,,37915000000.0,110718399999.0,4246172880.0,,8910000000.0,,106765000000.0,12170000000.0,42307000000.0,9670000000.0,,6034000000.0,239882000000.0,,129361000000.0,,,0.0,197847000000.0,,647000000.0,110718399999.0,-170660897280.0,9670000000.0,68486000000.0,106765000000.0,,,16410000000.0,,,0.124369,,,0.0,,,,10006000000.0,,2144000000.0,10006000000.0,,,11082000000.0,360294000000.0,873000000.0,,,14018000000.0,,,139039000000.0,11082000000.0,19304000000.0,67001000000.0,14018000000.0,,-11769000000.0,26669000000.0,3392000000.0,,253529000000.0,4246172880.0,4246172880.0,806000000.0,,67001000000.0,139039000000.0,0.124369,3596000000.0,34442000000.0,34442000000.0,,68486000000.0,,,,,,,,,,,,,,,,,
