date,trailingNetOtherFinancingCharges,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,trailingNetIncomeContinuousOperations,annualCurrentDebt,annualInvestmentsAndAdvances,annualAccumulatedDepreciation,trailingEndCashPosition,trailingTaxProvision,trailingOperatingIncome,annualNetOtherFinancingCharges,trailingOperatingExpense,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,annualCostOfRevenue,annualBeginningCashPosition,annualOtherNonCurrentAssets,annualOperatingExpense,annualCurrentAssets,annualDilutedEPS,trailingSellingGeneralAndAdministration,quarterlyTotalLiabilitiesNetMinorityInterest,annualGainsLossesNotAffectingRetainedEarnings,trailingBeginningCashPosition,annualRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredRevenue,trailingCostOfRevenue,annualTotalLiabilitiesNetMinorityInterest,annualDilutedAverageShares,quarterlyCurrentAssets,quarterlyCurrentLiabilities,trailingFreeCashFlow,quarterlyGrossPPE,quarterlyIncomeTaxPayable,annualNetIncomeCommonStockholders,quarterlyGoodwill,annualRetainedEarnings,trailingNetOtherInvestingChanges,trailingNetIncomeCommonStockholders,annualEbitda,annualBasicEPS,annualNetIncome,quarterlyOtherNonCurrentLiabilities,annualCashDividendsPaid,annualCommonStockIssuance,annualOtherIntangibleAssets,annualFreeCashFlow,quarterlyAccountsReceivable,annualOtherShortTermInvestments,annualTotalNonCurrentAssets,annualSellingGeneralAndAdministration,trailingOperatingCashFlow,annualAccountsReceivable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,annualOtherCurrentAssets,quarterlyOtherCurrentAssets,annualLongTermDebt,annualStockholdersEquity,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalAssets,annualTaxProvision,annualDepreciationAndAmortization,quarterlyCurrentDebt,annualCurrentLiabilities,annualOtherNonCashItems,quarterlyNetPPE,annualPurchaseOfBusiness,quarterlyInventory,quarterlyInvestmentsAndAdvances,annualInventory,annualSaleOfInvestment,annualIncomeTaxPayable,annualNetPPE,annualGrossProfit,annualOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,trailingPurchaseOfBusiness,trailingNetIncome,trailingPretaxIncome,annualChangeInInventory,annualNonCurrentDeferredTaxesLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualOtherCurrentLiabilities,trailingChangeInCashSupplementalAsReported,annualGrossPPE,annualChangeInCashSupplementalAsReported,quarterlyTotalNonCurrentAssets,annualBasicAverageShares,annualNetOtherInvestingChanges,quarterlyOtherShortTermInvestments,annualOtherNonCurrentLiabilities,annualRepaymentOfDebt,annualChangeInWorkingCapital,quarterlyCapitalStock,annualPretaxIncome,annualInterestExpense,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,annualGoodwill,annualCapitalExpenditure,annualOperatingIncome,trailingGrossProfit,annualInvestingCashFlow,annualAccountsPayable,trailingInvestingCashFlow,annualCapitalStock,annualPurchaseOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,annualTotalRevenue,annualOtherIncomeExpense,trailingCapitalExpenditure,trailingRepaymentOfDebt,annualEndCashPosition,annualNonCurrentDeferredRevenue,quarterlyAccountsPayable,trailingTotalRevenue,annualCashFlowFromContinuingFinancingActivities,trailingInterestExpense,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,annualCurrentAccruedExpenses,quarterlyCashDividendsPaid,trailingOtherIncomeExpense,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,trailingDeferredIncomeTax,quarterlyChangeInInventory,trailingOtherNonCashItems,quarterlyPurchaseOfInvestment,trailingStockBasedCompensation,annualChangeInAccountPayable,quarterlyChangesInAccountReceivables,quarterlyNetOtherFinancingCharges,trailingBasicEPS,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,trailingChangeInWorkingCapital,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,trailingCommonStockIssuance,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,annualChangesInAccountReceivables,trailingDilutedAverageShares,quarterlyNetIncome,quarterlyCurrentAccruedExpenses,trailingPurchaseOfInvestment,trailingResearchAndDevelopment,quarterlyChangeInAccountPayable,trailingDilutedEPS,trailingSaleOfInvestment,trailingChangeInInventory,quarterlyCommonStockIssuance,quarterlyEndCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,trailingRepurchaseOfCapitalStock,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,annualCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyCostOfRevenue,trailingChangeInAccountPayable,quarterlyBeginningCashPosition,annualResearchAndDevelopment,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,trailingChangesInAccountReceivables,trailingBasicAverageShares,trailingCashDividendsPaid,quarterlyBasicEPS,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,trailingCashFlowFromContinuingFinancingActivities,annualDeferredIncomeTax,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,trailingDepreciationAndAmortization,quarterlyInterestExpense,quarterlyCapitalExpenditure,annualStockBasedCompensation
1970-01-01 00:00:01.561852800,5602000.0,3584634000.0,626199000.0,8359748000.0,2145982000.0,,,18430178000.0,1001901000.0,3139016000.0,262550000.0,7273728000.0,2508386000.0,,2638949000.0,3305472000.0,1440452000.0,462864000.0,5821455000.0,0.79,6772019000.0,,,16432084000.0,,,57240300000.0,5837299000.0,619388608.0,,,1574787000.0,,,489317000.0,,,1630374000.0,8055335000.0,721900000.0,0.79,557758000.0,,-249243000.0,,,-200975000.0,,30982000.0,8340502000.0,638683000.0,8657722000.0,277033000.0,,,,944990000.0,,2395088000.0,6141994000.0,,,14161957000.0,104653000.0,,,3328913000.0,510587000.0,,-36039000.0,,,544259000.0,11381000.0,,5979556000.0,1184764000.0,510587000.0,,,,-2436909000.0,8055335000.0,9361649000.0,,6853000.0,3615616000.0,0.0,1998094000.0,,-2124985000.0,,619388608.0,-3201221000.0,,106445000.0,-2151957000.0,,,662411000.0,,,,,-711562000.0,721900000.0,10412744000.0,-4129256000.0,248827000.0,-2845268000.0,,-196781000.0,,,,3823713000.0,,-7082935000.0,-6501610000.0,1185181000.0,,,67653044000.0,,2108784000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3686477000.0,640892000.0,,2457205000.0,,,,,,563179000.0,,2015031000.0,,3725322000.0,1185181000.0,1357495000.0,670552000.0,6424673000.0,0.83,,,,,,,,6086197000.0,621628916.0,,,,,,515952000.0,,,,,817008000.0,0.83,578422000.0,,-180785000.0,,,931913000.0,,326805000.0,8878163000.0,887078000.0,,360464000.0,,,,844656000.0,,1910306000.0,6439826000.0,,,15302836000.0,146191000.0,,,4071166000.0,1523556000.0,,-338224000.0,,,695363000.0,45414000.0,,6566900000.0,1487560000.0,1523556000.0,,,,,,,,6461000.0,4013282000.0,0.0,,,2396601000.0,,621628916.0,2388996000.0,,98264000.0,-2371592000.0,,,724613000.0,,,,,-591643000.0,817008000.0,,978326000.0,319376000.0,,,-535001000.0,,,,5212882000.0,,,,3586219000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,775325000.0,733475000.0,,0.0,,,,,,47693000.0,,1401840000.0,,4416035000.0,,194727000.0,1251649000.0,838877000.0,0.93,,,,,,,,1469219000.0,620997849.0,,,,,,577528000.0,,,,,559598000.0,0.93,577528000.0,,-236066000.0,,,335824000.0,,29645000.0,6356894000.0,1138071000.0,,,,,,16309000.0,,1401840000.0,5726552000.0,,,7195771000.0,167736000.0,,,67379000.0,911216000.0,,,,,,433650000.0,,,1811247000.0,911216000.0,,,,,,,,,804970000.0,58022000.0,,,123398000.0,,620997849.0,-506912000.0,,0.0,-4385791000.0,,,901211000.0,,,,,-575392000.0,559598000.0,,-717583000.0,,,,-97343000.0,,,,6227282000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,711764000.0,519391000.0,,,,,,,,235192000.0,,1400850000.0,,4936713000.0,,180913000.0,1500307000.0,797913000.0,0.66,,,,,,,,1464735000.0,621572727.0,,,,,,410238000.0,,,,,574678000.0,0.66,410238000.0,,,,,481252000.0,,38855000.0,6125938000.0,1376001000.0,,,,,,45422000.0,,1400850000.0,5459116000.0,,,6923851000.0,227049000.0,,,63885000.0,1268892000.0,,-498362000.0,,,,36240000.0,,,2074985000.0,1268892000.0,,,,,,,,,750619000.0,55802000.0,,,-948958000.0,,621572727.0,-930933000.0,,0.0,-3813245000.0,,,746440000.0,,,,,-787640000.0,574678000.0,,-2179450000.0,,,,-98530000.0,,,,7011698000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,589730000.0,630920000.0,,,,,,,,26634000.0,,1400850000.0,,5689268000.0,,178876000.0,1702032000.0,647020000.0,0.73,,,,,,,,1579976000.0,620915068.0,,,,,,453268000.0,,,,,578847000.0,0.73,453268000.0,,,,,947043000.0,,40919000.0,6267881000.0,1566721000.0,,,,,,15239000.0,,1400850000.0,5334925000.0,,,6914901000.0,203774000.0,,,179126000.0,1750600000.0,,,,,,51179000.0,,,2280879000.0,1750600000.0,,,,,,,,,630649000.0,171043000.0,,,322457000.0,,620915068.0,-15719000.0,,0.0,-2598517000.0,,,834694000.0,,,,,-803557000.0,578847000.0,,-716361000.0,,,,-40012000.0,,,,7970147000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,489459000.0,785606000.0,,,,,,,,-58282000.0,,1400850000.0,,7005934000.0,3083000000.0,0.0,1735057000.0,708769000.0,0.79,,,,,,,,1483880000.0,636946835.0,,,,,,503188000.0,,,,,924649000.0,0.81,503188000.0,,-269073000.0,,,224091000.0,,37091000.0,6318879000.0,1930449000.0,,,,,,0.0,,1400850000.0,5543768000.0,,,7027648000.0,229469000.0,,,83030000.0,1297794000.0,,-680628000.0,,,,41512000.0,,174668000.0,2659706000.0,1297794000.0,,,,,,,-305424000.0,,526550000.0,0.0,,,424894000.0,,621219753.0,356390000.0,,0.0,-2549491000.0,-511062000.0,,894229000.0,,,,,-1073703000.0,924649000.0,,-882950000.0,,,,-10828000.0,,,,9665640000.0,,,,3507843000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,192507000.0,634822000.0,,664775000.0,,,,,,-136607000.0,,0.0,,8025369000.0,3507843000.0,0.0,2444837000.0,468060000.0,0.9,,,,,,,,772038000.0,633802222.0,,,,,,570422000.0,,,,,530407000.0,0.92,570422000.0,,-258393000.0,,,288936000.0,,34629000.0,5549806000.0,2203715000.0,,,,,,0.0,,0.0,5245828000.0,,,6017866000.0,175086000.0,,,772038000.0,1657912000.0,,-161438000.0,,,,1814000.0,,175994000.0,2975244000.0,1657912000.0,,,,,,,-220048000.0,,227136000.0,0.0,,,-146700000.0,,620023913.0,761690000.0,,,-3536684000.0,77135000.0,,889895000.0,,,,,-1368976000.0,530407000.0,,-373354000.0,,,,-133891000.0,,,,11000613000.0,,,,3417574000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2708395000.0,254375000.0,,1333950000.0,,,,,,227181000.0,,609544000.0,,4815447000.0,3417574000.0,434965000.0,1968896000.0,6564288000.0,0.54,,,,,,,,4264347000.0,622500000.0,,,,,,608250000.0,,,,,462577000.0,0.54,608250000.0,,-351118000.0,,1450584000.0,732081000.0,,9706000.0,10759864000.0,1693016000.0,,,,,,1711909000.0,,567462000.0,8870705000.0,,,17324152000.0,169823000.0,,,3654803000.0,2254036000.0,,-824685000.0,,,1648707000.0,134013000.0,,7954786000.0,2431473000.0,2254036000.0,,,,,,,-336792000.0,20512000.0,2718101000.0,0.0,,,-816504000.0,,622500000.0,32970000.0,,21570000.0,-3710875000.0,187698000.0,,424198000.0,,,,44177000.0,-1521955000.0,462577000.0,,-2274519000.0,,,,-350682000.0,,,,7246920000.0,,,,2706682000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8072484000.0,1722903000.0,,2641275000.0,,,,,,3437348000.0,,3692141000.0,,8156745000.0,2706682000.0,859601000.0,1333928000.0,13298955000.0,1.67,,,,,,,,13242045000.0,1080077844.0,,,,,,1803730000.0,,,,,2702982000.0,1.67,1803730000.0,,-525947000.0,67550000.0,1445241000.0,770636000.0,,39250000.0,31380026000.0,1780407000.0,,,,,,1689149000.0,,3282325000.0,26747479000.0,,,44678981000.0,290970000.0,893799000.0,,9549904000.0,1313699000.0,,-2009581000.0,,,2342259000.0,18538000.0,,17395219000.0,3143111000.0,2207498000.0,,,,,,,-523186000.0,49354000.0,8111734000.0,0.0,,,5096660000.0,,1080077844.0,-29626000.0,,360462000.0,-2258939000.0,273928000.0,,2013873000.0,,,,7044321000.0,-1436862000.0,1809183000.0,,-3255580000.0,,,,-20000000.0,,,,11299856000.0,,,,8042569000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6666940000.0,2696288000.0,,3172636000.0,,-6218397000.0,,,,670492000.0,,5406850000.0,,15199351000.0,8042569000.0,1740621000.0,1808060000.0,12956248000.0,1.9,,15386272000.0,,,,389815000.0,,15386272000.0,1138553598.0,12956248000.0,9979422000.0,,24206613000.0,,2281828000.0,8537759000.0,,,,4784491000.0,2.01,2281828000.0,121438000.0,-854867000.0,,14969000.0,-607809000.0,202512000.0,,38740494000.0,2600556000.0,,202512000.0,279859000.0,,4411296000.0,1631059000.0,1631059000.0,4411296000.0,22953426000.0,22953426000.0,5406850000.0,51696742000.0,359297000.0,1321838000.0,3172636000.0,9979422000.0,-3202273000.0,17988216000.0,-591738000.0,3067436000.0,,3067436000.0,33938000.0,,17988216000.0,4504896000.0,1991509000.0,0.0,1740621000.0,-6218397000.0,,,,-654162000.0,279859000.0,6666940000.0,0.0,,24206613000.0,-2048120000.0,38740494000.0,1138028340.0,-119831000.0,,121438000.0,,-1516509000.0,113700000.0,3055585000.0,407068000.0,14969000.0,51696742000.0,8537759000.0,-2599318000.0,2696836000.0,,-3534413000.0,5987782000.0,,113700000.0,-388896000.0,,6666940000.0,6666940000.0,19704247000.0,,,,6256581000.0,389815000.0,5987782000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,18867468000.0,,,,,,,,16808162000.0,10069122000.0,,,,,8542124000.0,,,,,,,398026000.0,,,,,1653032000.0,,,,,,307601000.0,,7699184000.0,,73237000.0,,,30520244000.0,8798346000.0,,,,3117440000.0,,,18744070000.0,,2925263000.0,,,,,,,,0.0,1933911000.0,,,,,,,,,,,,39817260000.0,,,61843000.0,,,,113728000.0,,,13625000.0,56625422000.0,,,,,,,,,,,10182499000.0,10244342000.0,,,,,,,1131208000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9486026000.0,3046389000.0,,3037948000.0,,-7479128000.0,,,,613064000.0,,9203365000.0,4278180000.0,18389919000.0,6256581000.0,1697362000.0,2899761000.0,16177050000.0,2.02,,20088309000.0,,,0.0,147811000.0,,20088309000.0,1166409289.0,16177050000.0,10884944000.0,,26524613000.0,,2398883000.0,8649068000.0,4278180000.0,,,5380232000.0,2.11,2398883000.0,196055000.0,-739107000.0,4644000.0,26911000.0,783505000.0,1812311000.0,0.0,42928260000.0,3154484000.0,,1812311000.0,413139000.0,,7985725000.0,118245000.0,118245000.0,7985725000.0,31305082000.0,31305082000.0,9203365000.0,59105310000.0,558997000.0,1414859000.0,3037948000.0,10884944000.0,273504000.0,19045485000.0,-749795000.0,2995039000.0,,2995039000.0,8950000.0,,19045485000.0,5818511000.0,3093490000.0,5436612000.0,1697362000.0,-7479128000.0,,,,55733000.0,413139000.0,9486026000.0,5436612000.0,,26524613000.0,1570529000.0,42928260000.0,1137162342.0,-1472855000.0,0.0,196055000.0,-5980743000.0,-1640119000.0,113737000.0,3605386000.0,359987000.0,26911000.0,59105310000.0,8649068000.0,-2309985000.0,2918750000.0,,-4227934000.0,6893057000.0,,113737000.0,0.0,,9486026000.0,9486026000.0,24208430000.0,,,,7827362000.0,147811000.0,6893057000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
