,annualDilutedEPS,quarterlyCapitalStock,annualCashCashEquivalentsAndMarketableSecurities,quarterlyStockholdersEquity,annualEbitda,annualOtherIntangibleAssets,trailingNetIncomeCommonStockholders,annualGrossProfit,annualGrossPPE,annualOtherCurrentLiabilities,trailingChangeInCashSupplementalAsReported,annualOperatingCashFlow,annualTotalNonCurrentAssets,quarterlyCashAndCashEquivalents,annualNetPPE,quarterlyPretaxIncome,quarterlyOtherCurrentAssets,annualBasicEPS,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedAverageShares,trailingSellingGeneralAndAdministration,annualPurchaseOfBusiness,annualOtherNonCurrentLiabilities,quarterlyOtherIntangibleAssets,annualBeginningCashPosition,quarterlyAccountsPayable,annualNonCurrentDeferredTaxesLiabilities,annualOperatingExpense,quarterlyOperatingIncome,annualNetIncomeContinuousOperations,annualInvestingCashFlow,annualCapitalExpenditure,quarterlyInterestExpense,annualAccumulatedDepreciation,quarterlyTotalRevenue,trailingInvestingCashFlow,trailingOperatingExpense,quarterlyGrossPPE,trailingCapitalExpenditure,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,trailingNetIncomeContinuousOperations,quarterlyTaxProvision,trailingBeginningCashPosition,annualEndCashPosition,trailingInterestExpense,annualPurchaseOfInvestment,quarterlyEbitda,annualChangeInCashSupplementalAsReported,trailingGrossProfit,annualBasicAverageShares,annualTotalRevenue,annualNetOtherFinancingCharges,annualStockBasedCompensation,annualCapitalStock,annualInterestExpense,quarterlyDilutedEPS,annualTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,annualNetOtherInvestingChanges,annualAccountsPayable,annualOperatingIncome,trailingFreeCashFlow,quarterlyCurrentLiabilities,trailingCommonStockIssuance,annualOtherCurrentAssets,quarterlyBasicAverageShares,trailingTotalRevenue,quarterlyCurrentAssets,quarterlyRetainedEarnings,trailingNetIncome,trailingCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualNetIncome,quarterlyBasicEPS,trailingPretaxIncome,quarterlyNetIncomeCommonStockholders,trailingPurchaseOfInvestment,trailingEndCashPosition,annualPretaxIncome,quarterlyOtherNonCurrentLiabilities,trailingTaxProvision,annualCostOfRevenue,annualFreeCashFlow,trailingOperatingIncome,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,annualCashDividendsPaid,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,annualRepurchaseOfCapitalStock,annualSaleOfInvestment,trailingSaleOfInvestment,annualSellingGeneralAndAdministration,annualOtherNonCashItems,annualOtherNonCurrentAssets,annualCashAndCashEquivalents,quarterlyNetIncome,annualDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,annualDilutedAverageShares,annualCurrentAssets,annualStockholdersEquity,annualTotalAssets,annualTaxProvision,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredTaxesLiabilities,annualCurrentLiabilities,annualRetainedEarnings,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualNetIncomeCommonStockholders,quarterlyAccountsReceivable,quarterlyCostOfRevenue,annualAccountsReceivable,annualOtherShortTermInvestments,annualCommonStockIssuance,trailingOperatingCashFlow,quarterlyGrossProfit,trailingRepurchaseOfCapitalStock,quarterlyOperatingExpense,annualChangesInAccountReceivables,quarterlyOtherNonCashItems,annualCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,annualLongTermDebt,quarterlyNetOtherInvestingChanges,trailingNetOtherFinancingCharges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,annualResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,trailingBasicEPS,annualCurrentDebt,trailingChangeInInventory,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,annualGoodwill,quarterlyRepurchaseOfCapitalStock,trailingChangeInAccountPayable,quarterlyGoodwill,trailingCashDividendsPaid,annualOtherIncomeExpense,trailingNetOtherInvestingChanges,quarterlyResearchAndDevelopment,trailingChangesInAccountReceivables,trailingDilutedAverageShares,trailingCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,trailingDepreciationAndAmortization,quarterlyDeferredIncomeTax,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,trailingOtherIncomeExpense,annualInventory,quarterlyCashFlowFromContinuingFinancingActivities,annualNonCurrentDeferredRevenue,annualCurrentAccruedExpenses,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,annualChangeInInventory,quarterlyAccumulatedDepreciation,quarterlyChangeInInventory,trailingDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,annualIncomeTaxPayable,quarterlyCashDividendsPaid,trailingBasicAverageShares,trailingOtherNonCashItems,annualDeferredIncomeTax,trailingPurchaseOfBusiness,quarterlyEndCashPosition,quarterlyChangesInAccountReceivables,trailingDilutedEPS,trailingResearchAndDevelopment,quarterlyCurrentDebt,trailingChangeInWorkingCapital,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,trailingStockBasedCompensation,quarterlyInventory,quarterlyCurrentAccruedExpenses,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentDeferredRevenue,trailingRepaymentOfDebt,quarterlyLongTermDebt,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,annualInvestmentsAndAdvances,annualRepaymentOfDebt,annualCurrentDeferredRevenue
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1356912000,0.193599,,391767000.0,,194418000.0,871000.0,,313829000.0,10875000.0,41555000.0,,201389000.0,29973000.0,,7426000.0,,,0.193599,,,,-1000000.0,0.0,,111610000.0,,903000.0,121430000.0,,142791000.0,-46314000.0,-5351000.0,,-3449000.0,,,,,,,,,,,274682000.0,,-568051000.0,,163075000.0,,737559124.0,517745000.0,8000000.0,5729000.0,123000.0,8232000.0,,172378000.0,32880000.0,,-40473000.0,484000.0,192399000.0,,,,117085000.0,,,,,,,,142791000.0,,,,,,187481000.0,,,203916000.0,196038000.0,,,,,,,,527578000.0,,128632000.0,7719000.0,7237000.0,274682000.0,,2019000.0,,737559124.0,444829000.0,302424000.0,474802000.0,44690000.0,,,128495000.0,271263000.0,43883000.0,142791000.0,,,38032000.0,117085000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1372550400,,,,,,,,,,,,,,,,37194000.0,,,,737559124.0,,,,,,,,,36585000.0,,,,,,159528000.0,,,,,,,,7034000.0,,,,,36585000.0,,,,,,,,,0.040892,,,,,,,,,,,737559124.0,,,,,,,,0.040892,,30160000.0,,,,,,,,,,,,,,,,,,,,,30160000.0,,30160000.0,,,,,,60706000.0,,,,,,,62518000.0,,,,,97010000.0,,60425000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1388448000,0.2547,,1295566000.0,,165372000.0,1032000.0,,416209000.0,17869000.0,56050000.0,,210559000.0,33481000.0,,10804000.0,,,0.4354,,,,0.0,0.0,,274682000.0,,591000.0,254693000.0,,135507000.0,-196485000.0,-7407000.0,,-7065000.0,,,,,,,,,,,965566000.0,,-643000000.0,,693717000.0,,311226000.0,681262000.0,22000.0,47372000.0,239000.0,13656000.0,,193494000.0,8598000.0,,26618000.0,635000.0,161516000.0,,,,107000000.0,,,,,,,,135507000.0,,,,,,164730000.0,,,265053000.0,203152000.0,,,,,,,,449904000.0,,259100000.0,14904000.0,0.0,965566000.0,,3856000.0,,598451000.0,1374632000.0,1214619000.0,1408113000.0,29223000.0,,,192903000.0,422831000.0,591000.0,135507000.0,,,59376000.0,330000000.0,742260000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1404086400,,242000.0,,1311214000.0,,,,,,,,,,394114000.0,,91226000.0,0.0,,1361114000.0,732869000.0,,,,1668000.0,,1097000.0,,,77135000.0,,,,,,236324000.0,,,10900000.0,,0.0,10900000.0,,15627000.0,,,,,77135000.0,,,,,,,,,0.1032,,,967000000.0,,,,,208462000.0,,,651631000.0,,1473021000.0,560667000.0,,,591000.0,,0.116,,75599000.0,,,,0.0,,,,,1520267000.0,47246000.0,,209053000.0,0.0,,,,,,,,75599000.0,,75599000.0,,,,,,73416000.0,591000.0,,,,,83535000.0,85710000.0,,,,,150614000.0,,73479000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1419984000,0.3807,,1399331000.0,,286568000.0,19626000.0,,567852000.0,27158000.0,0.0,,235007000.0,187037000.0,,15176000.0,,,0.4207,,,,-12964000.0,0.0,,965566000.0,,14234000.0,287261000.0,,279587000.0,-65199000.0,-41766000.0,,-11982000.0,,,,,,,,,,,1029331000.0,,-1532491000.0,,63981000.0,,665739000.0,945319000.0,0.0,26590000.0,245000.0,,,232055000.0,-39622000.0,,-128402000.0,670000.0,280591000.0,,,,0.0,,,,,,,,280065000.0,,,,,,335000000.0,,,377467000.0,193241000.0,,,,-112428000.0,,,-587000.0,1512755000.0,,296080000.0,-8518000.0,22085000.0,1029331000.0,,5977000.0,,735602000.0,1526644000.0,1472496000.0,1713681000.0,55413000.0,,,217821000.0,702896000.0,14234000.0,280065000.0,,,94312000.0,370000000.0,7188000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435622400,,247000.0,,1502281000.0,,,,,,,,,,1363136000.0,,17385000.0,4922000.0,,1363136000.0,732824000.0,,,,6209000.0,,1027000.0,,,-8430000.0,,,,842000.0,,193080000.0,,,17356000.0,,0.0,17356000.0,,1578000.0,,,,,18227000.0,,,,,,,,,0.0222,,,0.0,,,,,222111000.0,,,711768000.0,,1499898000.0,776726000.0,,,8271000.0,,0.0228,,16237000.0,,,,0.0,,,,,1732663000.0,232765000.0,,230382000.0,0.0,,,,,,,,16237000.0,,15807000.0,,,,,,99395000.0,8271000.0,,,,,103501000.0,102512000.0,,,,,90568000.0,,98998000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451520000,0.4925,,1353831000.0,,434163000.0,5473000.0,,427944000.0,47236000.0,0.0,,163141000.0,617447000.0,,28164000.0,,,0.5081,,,,-4600000.0,0.0,,1029331000.0,,41628000.0,284164000.0,,356637000.0,-90741000.0,-16374000.0,,-19072000.0,,,,,,,,,,,1065802000.0,,-4349129000.0,,30294000.0,,704147000.0,813480000.0,0.0,23089000.0,248000.0,4473000.0,,273496000.0,2597000.0,,-63574000.0,727000.0,143780000.0,,,,65468000.0,,,,,,,,357799000.0,,,,,,420110000.0,,,385536000.0,146767000.0,,,,-45122000.0,,,,4215161000.0,,286610000.0,-40545000.0,0.0,1131270000.0,,9580000.0,,726534000.0,1462353000.0,1806304000.0,2079800000.0,63473000.0,,,231868000.0,1060695000.0,41628000.0,357799000.0,,,77858000.0,222561000.0,3016000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467244800,,248000.0,,1898793000.0,,,,,,,,,,1277746000.0,,80481000.0,31653000.0,,1465484000.0,719700000.0,,,,5190000.0,,794000.0,,,56623000.0,,,,,,180660000.0,,,40751000.0,,0.0,40751000.0,,10436000.0,,,,,56623000.0,,,,,,,,,0.0973,,,187738000.0,,,,,232556000.0,,,676064000.0,,1553471000.0,1190370000.0,,,26011000.0,,0.1036,,70045000.0,,,,0.0,,,,,2157360000.0,603889000.0,,258567000.0,0.0,,,,,,,,70045000.0,,70045000.0,,,,,,62310000.0,26011000.0,,,,,66350000.0,64524000.0,,,,,116136000.0,,59513000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1483142400,0.296,,1591029000.0,,250067000.0,4413000.0,,471708000.0,70713000.0,0.0,,259542000.0,596046000.0,,42553000.0,,,0.3121,,,,-150000.0,0.0,,1065802000.0,,15195000.0,319036000.0,,211271000.0,232579000.0,-24121000.0,,-28160000.0,,,,,,,,,,,1563281000.0,,-1545351000.0,,493183000.0,,676834000.0,745194000.0,0.0,21546000.0,248000.0,565000.0,,263389000.0,-7453000.0,,37720000.0,1025000.0,152672000.0,,,,27748000.0,,,,,,,,211271000.0,,,,,,238761000.0,,,273486000.0,235421000.0,,,,0.0,,,,1770049000.0,,322750000.0,-28900000.0,0.0,1591029000.0,,10741000.0,,713791000.0,1688908000.0,2021565000.0,2284954000.0,27490000.0,,,248194000.0,1271966000.0,15195000.0,211271000.0,,,73275000.0,0.0,1062000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
