date,annualRetainedEarnings,quarterlyTotalNonCurrentAssets,trailingNetIncome,annualGoodwill,quarterlyAccountsReceivable,annualTotalAssets,trailingPretaxIncome,quarterlyGoodwill,annualNetOtherInvestingChanges,annualAccountsReceivable,annualPurchaseOfInvestment,quarterlyLongTermDebt,annualPretaxIncome,quarterlyTotalAssets,annualCashDividendsPaid,annualNetIncome,annualFreeCashFlow,trailingInvestingCashFlow,annualAccountsPayable,trailingCommonStockIssuance,annualInvestingCashFlow,quarterlyOtherNonCurrentLiabilities,annualStockholdersEquity,annualOtherCurrentAssets,annualOtherNonCashItems,annualEndCashPosition,annualOperatingIncome,annualNonCurrentDeferredRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualLongTermDebt,trailingTotalRevenue,quarterlyNetPPE,annualChangeInInventory,annualNetOtherFinancingCharges,trailingNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,trailingTaxProvision,annualInventory,annualPurchaseOfBusiness,annualCapitalStock,annualCostOfRevenue,annualTotalRevenue,annualNetIncomeContinuousOperations,annualCurrentDebt,annualOperatingExpense,quarterlyCurrentLiabilities,trailingFreeCashFlow,quarterlyGrossPPE,annualNonCurrentDeferredTaxesLiabilities,quarterlyCurrentAssets,annualTotalLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,annualGrossProfit,trailingCostOfRevenue,quarterlyOtherCurrentLiabilities,trailingNetIncomeContinuousOperations,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,trailingBeginningCashPosition,trailingOperatingExpense,trailingPurchaseOfBusiness,quarterlyRetainedEarnings,annualBasicAverageShares,trailingChangeInCashSupplementalAsReported,annualGrossPPE,trailingInterestExpense,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,trailingNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,quarterlyStockholdersEquity,annualOtherNonCurrentLiabilities,annualRepaymentOfDebt,annualBeginningCashPosition,annualBasicEPS,annualInterestExpense,annualDilutedEPS,annualSellingGeneralAndAdministration,quarterlyOtherIntangibleAssets,annualTotalNonCurrentAssets,trailingGrossProfit,annualCapitalExpenditure,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,trailingCapitalExpenditure,quarterlyAccountsPayable,trailingRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyInventory,trailingEndCashPosition,annualTaxProvision,annualDepreciationAndAmortization,annualDilutedAverageShares,annualCashAndCashEquivalents,quarterlyCurrentDebt,annualCurrentLiabilities,trailingOperatingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,trailingOperatingIncome,annualCashCashEquivalentsAndMarketableSecurities,annualCommonStockIssuance,annualOtherNonCurrentAssets,annualOtherIntangibleAssets,annualSaleOfInvestment,annualNetPPE,annualOtherShortTermInvestments,quarterlyOtherNonCurrentAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCurrentAssets,annualOperatingCashFlow,trailingNetOtherInvestingChanges,annualEbitda,annualRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,annualCurrentAccruedExpenses,quarterlyCashDividendsPaid,trailingOtherIncomeExpense,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,trailingDeferredIncomeTax,quarterlyChangeInInventory,trailingOtherNonCashItems,quarterlyPurchaseOfInvestment,trailingStockBasedCompensation,annualGainsLossesNotAffectingRetainedEarnings,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,trailingBasicEPS,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,trailingChangeInWorkingCapital,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,annualOtherIncomeExpense,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,annualChangesInAccountReceivables,trailingDilutedAverageShares,quarterlyNetIncome,quarterlyCurrentAccruedExpenses,trailingPurchaseOfInvestment,trailingResearchAndDevelopment,quarterlyChangeInAccountPayable,trailingDilutedEPS,trailingSaleOfInvestment,trailingChangeInInventory,trailingSellingGeneralAndAdministration,quarterlyCommonStockIssuance,quarterlyEndCashPosition,annualIncomeTaxPayable,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,trailingRepurchaseOfCapitalStock,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,annualCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyCostOfRevenue,trailingChangeInAccountPayable,quarterlyBeginningCashPosition,annualResearchAndDevelopment,annualInvestmentsAndAdvances,annualCashFlowFromContinuingFinancingActivities,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,trailingChangesInAccountReceivables,trailingBasicAverageShares,trailingCashDividendsPaid,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,trailingCashFlowFromContinuingFinancingActivities,annualDeferredIncomeTax,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,trailingDepreciationAndAmortization,quarterlyInterestExpense,quarterlyCapitalExpenditure,annualStockBasedCompensation
1970-01-01 00:00:01.293753600,,,2048118000.0,,,20849260000.0,2711802000.0,,-9264000.0,1157357000.0,,,577083000.0,,-174118000.0,488919000.0,-581140000.0,-3111923000.0,1644320000.0,0.0,-1931902000.0,,6764180000.0,531472000.0,486705000.0,640590000.0,1009044000.0,44737000.0,,8883437000.0,16267385000.0,,-5577000.0,6779460000.0,-208882000.0,,592691000.0,35103000.0,,5000000000.0,,3642818000.0,520803000.0,2731300000.0,2633774000.0,,211924000.0,,4186000.0,,13775803000.0,-1315665000.0,,9929765000.0,,2119111000.0,,-120548000.0,,3195399000.0,2587441000.0,74311000.0,,4778548000.0,639389000.0,13128356000.0,1164253000.0,488919000.0,90576000.0,2048118000.0,-112397000.0,,0.0,-5815486000.0,753899000.0,0.1023,500259000.0,0.1023,104497000.0,,18326278000.0,6337620000.0,-2119355000.0,,,,-4296101000.0,,-13190085000.0,,,3834788000.0,56280000.0,758117000.0,4778548000.0,638825000.0,,4843443000.0,4508025000.0,,,3750179000.0,638825000.0,0.0,228838000.0,3806328000.0,,11812691000.0,,,8932360000.0,2522982000.0,1538215000.0,1003321000.0,1835459000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.325289600,,20942453000.0,,,1401721000.0,25301053000.0,,,88921000.0,1401721000.0,,8154585000.0,1070544000.0,25301053000.0,-61401000.0,803455000.0,-1701113000.0,,1367020000.0,,-3498746000.0,0.0,8781585000.0,583734000.0,565149000.0,2443421000.0,1490707000.0,42105000.0,8200535000.0,8154585000.0,,14044371000.0,-16342000.0,9823509000.0,,-1852474000.0,,51445000.0,,6032200000.0,,3905030000.0,894985000.0,6087492000.0,2414323000.0,7941118000.0,,15896845000.0,3845000.0,4358600000.0,16141653000.0,-1852474000.0,,,160094000.0,,,-147110000.0,42105000.0,,,,,5028279000.0,,15896845000.0,,803455000.0,160094000.0,,1806850000.0,8781585000.0,0.0,-7101028000.0,640590000.0,0.1598,582588000.0,0.1598,102738000.0,3627509000.0,20942453000.0,,-3637673000.0,2443421000.0,2443421000.0,6032200000.0,,1367020000.0,,583734000.0,51445000.0,,175559000.0,767754000.0,5028319000.0,2443421000.0,6087492000.0,7941118000.0,,3845000.0,16141653000.0,,2443421000.0,1401256000.0,561339000.0,3627509000.0,,14044371000.0,,561339000.0,8200535000.0,4358600000.0,1936560000.0,,2420886000.0,-74243000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.341014400,,21779912000.0,,,1137578000.0,,,,,,,10203173000.0,,26169141000.0,,,,,,,,0.0,,,,,,,10300457000.0,,,14992564000.0,,,,,,,,,,,,,,6793776000.0,,,,4389229000.0,,,,,1997000.0,,,,93439000.0,,,,,,,,,,,,,8739476000.0,,,,,,,,3538982000.0,,,,2276575000.0,2276575000.0,6149905000.0,,1698347000.0,,580001000.0,57178000.0,,,,,,4257761000.0,,,3845000.0,17094233000.0,,,,,,,,,532613000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.356912000,1174410000.0,26246970000.0,,124194000.0,1475193000.0,31109078000.0,,124194000.0,21236000.0,1475193000.0,,13888806000.0,1111939000.0,31109078000.0,-1013927000.0,910101000.0,-2543532000.0,,1577483000.0,,-3447303000.0,0.0,9046785000.0,11473000.0,680243000.0,2178117000.0,1495181000.0,268285000.0,14181985000.0,13888806000.0,,17538794000.0,-11184000.0,-1127310000.0,,-2466885000.0,,69858000.0,,6149905000.0,1992516000.0,4151630000.0,988406000.0,4266759000.0,663933000.0,7604768000.0,,20005679000.0,24894000.0,4862108000.0,21786753000.0,-2466885000.0,2159114000.0,,0.0,,,-607887000.0,268285000.0,,,,1174410000.0,6144745000.0,,20005679000.0,,910101000.0,0.0,,-569194000.0,9046785000.0,0.0,-11204003000.0,2747265000.0,0.1481,708468000.0,0.1481,151208000.0,4656091000.0,26246970000.0,,-4110334000.0,2178030000.0,2178030000.0,6149905000.0,,1577483000.0,,11473000.0,69858000.0,,123533000.0,854438000.0,6144745000.0,2178030000.0,4266759000.0,7604768000.0,,24894000.0,21786753000.0,,2178030000.0,176071000.0,1317662000.0,4656091000.0,0.0,17538794000.0,,1317662000.0,14181985000.0,4862108000.0,1566802000.0,,2674845000.0,-156132000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.372550400,,27662618000.0,,,1287054000.0,,,124194000.0,,,,12856636000.0,,31629024000.0,,,,,,,,0.0,,,,,,,13151181000.0,,,18495831000.0,,,,,,,,,,,,,,8771754000.0,,18495831000.0,,3966406000.0,,,,,0.0,,,,267058000.0,,,,1579623000.0,,,,,,,,,9451998000.0,,,,,,,,4573185000.0,,,,1814472000.0,1814472000.0,6149905000.0,,2166200000.0,,0.0,69677000.0,,,,,,4331451000.0,,,27487000.0,21922935000.0,,,,,,,,,1607214000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.388448000,1911766000.0,32090764000.0,,124194000.0,1858614000.0,38493152000.0,,124194000.0,-289122000.0,1858614000.0,,16666264000.0,1449835000.0,38493152000.0,-260621000.0,1145534000.0,-2320730000.0,,4393408000.0,,-6904006000.0,0.0,10677085000.0,104053000.0,876826000.0,2319504000.0,1930202000.0,190742000.0,16883098000.0,16666264000.0,,24066974000.0,-14755000.0,-985473000.0,,-3379513000.0,,84613000.0,,6477413000.0,3908609000.0,6254824000.0,1227483000.0,5417543000.0,416013000.0,10645896000.0,,27446487000.0,26092000.0,6402388000.0,27528994000.0,-3379513000.0,2346215000.0,,0.0,,,1741924000.0,190742000.0,,,,1911766000.0,6211818000.0,,27446487000.0,,1145534000.0,0.0,,168520000.0,10677085000.0,0.0,-8317376000.0,2178117000.0,0.1844,905371000.0,0.1844,248961000.0,4494646000.0,32090764000.0,,-6951417000.0,2319504000.0,2319504000.0,6477413000.0,,4393408000.0,,104053000.0,84613000.0,,222352000.0,1102715000.0,6211818000.0,2319504000.0,5417543000.0,10645896000.0,,26092000.0,27528994000.0,,2319504000.0,730672000.0,913086000.0,4494646000.0,,24066974000.0,,913086000.0,16883098000.0,6402388000.0,4630687000.0,,3457921000.0,-21202000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.404086400,,32859974000.0,,,1833475000.0,,,124194000.0,,,,17814170000.0,,39041063000.0,,,,,,,,0.0,,,,,,,18028233000.0,,,24561055000.0,,,,,,,,,,,,,,9685228000.0,,24561055000.0,,6181089000.0,,,,,0.0,,,,189426000.0,,,,1911766000.0,,,,,,,,,11066683000.0,,,,,,,,4399946000.0,,,,2712262000.0,2712262000.0,6477413000.0,,2638951000.0,,73046000.0,92731000.0,,,,,,5946973000.0,,,24637000.0,27713461000.0,,,,,,,,,703368000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.419984000,2583875000.0,37640795000.0,,190049000.0,4020647000.0,48082479000.0,,190049000.0,421979000.0,4020647000.0,-336052000.0,18181162000.0,1571614000.0,48082479000.0,-301120000.0,1208330000.0,-3151080000.0,,4592675000.0,,-6015787000.0,0.0,12499837000.0,18163000.0,1075138000.0,4206827000.0,2191752000.0,334742000.0,18653138000.0,18181162000.0,,29584368000.0,-32074000.0,102727000.0,,-4492745000.0,,116687000.0,-568524000.0,6870423000.0,5710254000.0,8728687000.0,1287293000.0,10580403000.0,826681000.0,16487571000.0,,34077113000.0,106236000.0,10441684000.0,35140709000.0,-4492745000.0,3018433000.0,,0.0,,370803000.0,-692218000.0,334742000.0,,,,2583875000.0,6570013000.0,,34077113000.0,,1208330000.0,0.0,,1909122000.0,12499837000.0,0.0,-8674693000.0,2319504000.0,0.1839,1099556000.0,0.1839,308804000.0,4353754000.0,37640795000.0,,-5719172000.0,4577630000.0,4206827000.0,6870423000.0,,4592675000.0,,18163000.0,116687000.0,,284321000.0,1304095000.0,6570013000.0,4206827000.0,10580403000.0,16487571000.0,,106236000.0,35140709000.0,,4577630000.0,1006017000.0,663448000.0,4353754000.0,,29584368000.0,370803000.0,663448000.0,18653138000.0,10441684000.0,2568092000.0,,3975265000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.435622400,,38050104000.0,,,2694751000.0,,,190049000.0,,,,16258786000.0,,46479207000.0,,,,,,,,0.0,,,,,,,16735619000.0,,,29783061000.0,,,,,,,,,,,,,,14661886000.0,,29783061000.0,,8429103000.0,,,,,0.0,,446578000.0,,332609000.0,,,,3270961000.0,,,,,,,,,14654828000.0,,,,,,,,4254649000.0,,,,4445019000.0,3998441000.0,6870423000.0,,4282981000.0,,79196000.0,122823000.0,,,,,,8358111000.0,,,115962000.0,31397505000.0,,,,,,,,,881974000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.451520000,3892137000.0,39349821000.0,,190049000.0,2994101000.0,46401607000.0,,190049000.0,58898000.0,2994101000.0,0.0,15586362000.0,2561228000.0,46401607000.0,-364895000.0,1952125000.0,1396492000.0,,1919985000.0,,-4443992000.0,44266000.0,15624885000.0,105215000.0,-1908172000.0,2114669000.0,3441127000.0,372541000.0,16105129000.0,15586362000.0,,31017907000.0,-17483000.0,1484858000.0,,-6156208000.0,,134170000.0,-95913000.0,6870423000.0,11071586000.0,14346034000.0,2032750000.0,9557535000.0,-166679000.0,14189234000.0,,37174115000.0,98418000.0,7051786000.0,30294363000.0,-6156208000.0,3274448000.0,,0.0,,338873000.0,4253916000.0,372541000.0,,,,3892137000.0,6870423000.0,,37174115000.0,,1910643000.0,0.0,,-2086124000.0,15624885000.0,44266000.0,-16550481000.0,4206827000.0,0.2781,1197841000.0,0.2781,526266000.0,4153766000.0,39349821000.0,,-4613574000.0,2453542000.0,2114669000.0,6870423000.0,,1919985000.0,,105215000.0,134170000.0,,528478000.0,1871192000.0,6870423000.0,2114669000.0,9557535000.0,14189234000.0,,98418000.0,30294363000.0,,2453542000.0,0.0,792560000.0,4153766000.0,11200000.0,31017907000.0,338873000.0,792560000.0,16105129000.0,7051786000.0,6010066000.0,,5630261000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
