date,trailingNetIncomeCommonStockholders,annualOtherNonCurrentLiabilities,annualEbitda,quarterlyCapitalStock,annualOtherCurrentLiabilities,trailingChangeInCashSupplementalAsReported,annualRepaymentOfDebt,annualNetIncomeCommonStockholders,annualGrossPPE,quarterlyStockholdersEquity,annualChangeInCashSupplementalAsReported,annualOtherIntangibleAssets,annualInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,annualDilutedAverageShares,annualCapitalStock,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,trailingCapitalExpenditure,trailingOperatingCashFlow,annualTotalNonCurrentAssets,trailingGrossProfit,annualCapitalExpenditure,annualSellingGeneralAndAdministration,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingInterestExpense,trailingRepaymentOfDebt,annualCashFlowFromContinuingFinancingActivities,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,annualNetIncomeContinuousOperations,annualOtherNonCashItems,annualPurchaseOfBusiness,trailingNetIncomeContinuousOperations,annualDilutedEPS,annualInventory,annualAccumulatedDepreciation,trailingTaxProvision,annualOperatingExpense,annualNetOtherFinancingCharges,annualCurrentDebt,annualCostOfRevenue,annualBeginningCashPosition,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,trailingSellingGeneralAndAdministration,annualGrossProfit,annualNonCurrentDeferredTaxesLiabilities,quarterlyNetPPE,trailingNetIncome,quarterlyRetainedEarnings,quarterlyCurrentAssets,trailingFreeCashFlow,quarterlyGrossPPE,annualTotalLiabilitiesNetMinorityInterest,annualChangeInInventory,trailingOperatingExpense,quarterlyCurrentLiabilities,trailingCostOfRevenue,quarterlyNonCurrentDeferredRevenue,trailingBeginningCashPosition,annualChangeInWorkingCapital,annualRetainedEarnings,annualNetOtherInvestingChanges,quarterlyTotalAssets,annualFreeCashFlow,annualCommonStockIssuance,annualOtherShortTermInvestments,quarterlyAccountsReceivable,annualPretaxIncome,annualNetIncome,annualCashDividendsPaid,quarterlyTotalNonCurrentAssets,annualOtherCurrentAssets,trailingOperatingIncome,annualPurchaseOfInvestment,annualAccountsReceivable,annualTotalRevenue,quarterlyLongTermDebt,annualBasicEPS,annualInvestingCashFlow,trailingInvestingCashFlow,annualAccountsPayable,quarterlyOtherNonCurrentLiabilities,annualTotalAssets,annualTaxProvision,annualOperatingIncome,annualLongTermDebt,annualEndCashPosition,annualNonCurrentDeferredRevenue,trailingTotalRevenue,annualStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualDepreciationAndAmortization,quarterlyOtherNonCurrentAssets,annualCashAndCashEquivalents,annualCurrentLiabilities,quarterlyCurrentDebt,trailingEndCashPosition,quarterlyInventory,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,annualInvestmentsAndAdvances,annualOperatingCashFlow,annualCurrentAssets,annualNetPPE,annualGainsLossesNotAffectingRetainedEarnings,annualOtherNonCurrentAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualRepurchaseOfCapitalStock,trailingPretaxIncome,annualCashCashEquivalentsAndMarketableSecurities,annualBasicAverageShares,annualCurrentDeferredRevenue,quarterlyOperatingIncome,annualChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,trailingChangesInAccountReceivables,quarterlyBasicEPS,trailingResearchAndDevelopment,annualGoodwill,trailingNetOtherFinancingCharges,quarterlyCurrentAccruedExpenses,trailingCommonStockIssuance,quarterlyPurchaseOfBusiness,trailingOtherIncomeExpense,trailingChangeInAccountPayable,annualResearchAndDevelopment,annualStockBasedCompensation,quarterlyNetIncomeContinuousOperations,trailingCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,annualDeferredIncomeTax,quarterlyChangeInInventory,quarterlyCommonStockIssuance,trailingOtherNonCashItems,quarterlyDepreciationAndAmortization,trailingSaleOfInvestment,quarterlyNetOtherInvestingChanges,trailingPurchaseOfBusiness,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,trailingRepurchaseOfCapitalStock,quarterlyCapitalExpenditure,annualIncomeTaxPayable,quarterlyStockBasedCompensation,trailingStockBasedCompensation,quarterlyGoodwill,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,trailingPurchaseOfInvestment,trailingDilutedEPS,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,trailingBasicEPS,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyOtherShortTermInvestments,quarterlyPurchaseOfInvestment,quarterlyDilutedEPS,quarterlyTotalRevenue,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,trailingCashDividendsPaid,annualChangesInAccountReceivables,trailingDilutedAverageShares,trailingDepreciationAndAmortization,trailingChangeInInventory,quarterlyNetIncome,quarterlyGrossProfit,annualOtherIncomeExpense,quarterlyPretaxIncome,trailingDeferredIncomeTax,quarterlyCostOfRevenue,annualCurrentAccruedExpenses,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyCashFlowFromContinuingFinancingActivities,annualSaleOfInvestment,trailingChangeInWorkingCapital,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,trailingNetOtherInvestingChanges,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyEndCashPosition,quarterlyOtherIntangibleAssets,trailingBasicAverageShares,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyOperatingExpense
1970-01-01 00:00:01.561852800,1233333000.0,,299740000.0,,0.0,56933000.0,-431584000.0,107019000.0,1453857000.0,,-1419000.0,0.0,32580000.0,,35928767120.0,103750000.0,,,-20222000.0,1252500000.0,1279978000.0,735170000.0,-38583000.0,35482000.0,,138188000.0,-3589052000.0,,,,151228000.0,0.0,0.0,1232624000.0,0.0042,130724000.0,-173879000.0,238059000.0,18813000.0,0.0,406696000.0,4080625000.0,-263828000.0,,,261348000.0,255369000.0,,,1233333000.0,,,1232278000.0,,799417000.0,-81079000.0,229162000.0,,828017000.0,,322774000.0,-92861000.0,,0.0,,83016000.0,293250000.0,485000.0,,203976000.0,107019000.0,,,31892000.0,506008000.0,-19750000.0,,4335994000.0,,0.0042,-56320000.0,550541000.0,76780000.0,,1908906000.0,8539000.0,236556000.0,302488000.0,-264368000.0,,1563187000.0,883080000.0,,63184000.0,,89797000.0,496929000.0,,379707000.0,,,,,121599000.0,628928000.0,1279978000.0,,0.0,302488000.0,-24927000.0,1470683000.0,90282000.0,35928767120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,368163000.0,,0.0,,-101085000.0,120569000.0,1587815000.0,,467608000.0,10026000.0,21724000.0,,41485321640.0,103683000.0,,,,,1340679000.0,,-122220000.0,90413000.0,,,,,,,181645000.0,0.0,-4724000.0,,0.004375,15139000.0,-257162000.0,,72312000.0,0.0,54511000.0,8262434000.0,-264368000.0,,,,358754000.0,,,,,,,,465710000.0,116593000.0,,,,,,450717000.0,,0.0,,604230000.0,0.0,485000.0,,264718000.0,120569000.0,,,108356000.0,,-30444000.0,,8621188000.0,,0.004375,-157358000.0,,170380000.0,,1737247000.0,21997000.0,286442000.0,196416000.0,203240000.0,,,1023157000.0,,81721000.0,,154213000.0,269294000.0,,,,,,,726450000.0,396568000.0,1330653000.0,,0.0,196416000.0,-399000.0,,154698000.0,41485321640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,281905000.0,,0.0,,-107469000.0,96610000.0,1673885000.0,,51183000.0,13146000.0,6785000.0,,41473200000.0,103683000.0,,,,,1358808000.0,,-88364000.0,98634000.0,,,,,,,153982000.0,-455000.0,-20018000.0,,0.003713,150160000.0,-328223000.0,,76602000.0,0.0,124908000.0,5666865000.0,203240000.0,,,,285072000.0,,,,,,,,450563000.0,-134461000.0,,,,,,-116949000.0,,0.0,,-2298000.0,,485000.0,,201685000.0,96610000.0,,,116847000.0,,,127426000.0,5951937000.0,,0.003713,-49051000.0,,185468000.0,,1891485000.0,-9669000.0,208470000.0,140187000.0,254405000.0,,,1161569000.0,,73435000.0,,137692000.0,310376000.0,,,,,,,86066000.0,532677000.0,1345662000.0,,-67000.0,140187000.0,,,138177000.0,41473200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,313990000.0,,0.0,,-1289486000.0,148491000.0,1807997000.0,,12429000.0,54311000.0,6866000.0,,41473200000.0,103683000.0,,,,,1463205000.0,,-126542000.0,137582000.0,,,,,,,211136000.0,3908000.0,-57181000.0,,0.00358,217271000.0,-399103000.0,,123755000.0,0.0,258600000.0,5890330000.0,254405000.0,,,,361765000.0,,,,,,,,720071000.0,-62064000.0,,,,,,-181710000.0,,0.0,,,,485000.0,,231144000.0,148491000.0,-31104000.0,,0.0,,,374992000.0,6252095000.0,,0.00358,-176474000.0,,286040000.0,,2324232000.0,20008000.0,238010000.0,169854000.0,268279000.0,,,1280401000.0,,75980000.0,,268279000.0,550217000.0,,,,,,,,861027000.0,1408894000.0,,0.0,169854000.0,,,268764000.0,41473200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,326924000.0,,0.0,,-1405946000.0,138591000.0,1933088000.0,,-47382000.0,68263000.0,18193000.0,,41473200000.0,103683000.0,,,,,1524622000.0,,-128639000.0,130693000.0,,,,,,,198880000.0,14413000.0,-30500000.0,,0.003343,161978000.0,-476729000.0,,113895000.0,0.0,226367000.0,7348842000.0,268279000.0,,,,352846000.0,,,,,,,,592138000.0,56666000.0,,,,,,-101228000.0,,0.0,,71429000.0,,0.0,,220758000.0,138591000.0,-63625000.0,,0.0,,,,7701688000.0,,0.003343,-137606000.0,,189593000.0,,2336642000.0,21878000.0,238951000.0,169854000.0,221104000.0,,,1388095000.0,,87973000.0,,221104000.0,422284000.0,,,,,,,200068000.0,812020000.0,1456359000.0,,0.0,169854000.0,,,221104000.0,41473200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,334039000.0,,336190000.0,,-3567872000.0,154083000.0,,,-103004000.0,84750000.0,,,41475908479.0,,,,,,1657805000.0,,-162619000.0,75393000.0,,,,,,,273697000.0,236498000.0,,,0.003715,415778000.0,,,138801000.0,-185882000.0,,8066258000.0,221104000.0,,,,382619000.0,,,,,,,,593274000.0,-238953000.0,,,,,,-70407000.0,,-57534000.0,,93693000.0,,,,241551000.0,213890000.0,-31104000.0,,171346000.0,,,,8448877000.0,,0.003715,-215420000.0,,244980000.0,,2525748000.0,27661000.0,243818000.0,0.0,117713000.0,,,1510687000.0,,90221000.0,,118909000.0,593274000.0,,,,,,,256312000.0,867943000.0,1573055000.0,,0.0,0.0,,,118909000.0,41475908479.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,301958000.0,,266618000.0,,,135578000.0,,,37201000.0,80077000.0,,,41461162080.0,,,,,,1674337000.0,,-73285000.0,69798000.0,,,,,,,135578000.0,187267000.0,,,0.00327,664546000.0,,,132267000.0,-2751391000.0,161526000.0,11823250000.0,117713000.0,,,,327353000.0,,,,,,,,719912000.0,-230679000.0,,,,,,-5155000.0,,2153000.0,,215699000.0,,,,203156000.0,179382000.0,-31104000.0,,232944000.0,,,,12150603000.0,,0.00327,-65547000.0,,260597000.0,,2844389000.0,23774000.0,195086000.0,,152385000.0,,,1655202000.0,,106872000.0,,152385000.0,708551000.0,,,,,,,288984000.0,1170052000.0,1432018000.0,,162242000.0,11361000.0,,,152385000.0,41461162080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,382479000.0,,0.0,,-6473803000.0,156856000.0,,,-117210000.0,0.0,,,41828266667.0,,,,,,1883749000.0,,,70018000.0,,,,,,,202286000.0,263542000.0,,,0.00375,897806000.0,,,121499000.0,-46937000.0,1115987000.0,16650022000.0,152385000.0,,,,388329000.0,,,,,,,,2479015000.0,-356685000.0,,,,,,-917126000.0,,-452070000.0,,-537935000.0,,,,230889000.0,218365000.0,-31104000.0,,0.0,,,,17038351000.0,,0.003783,-449366000.0,,1343801000.0,,4170818000.0,28603000.0,266830000.0,0.0,30972000.0,,,1691803000.0,,115649000.0,,30972000.0,2479015000.0,,,,,,,-537935000.0,2287069000.0,1854984000.0,,28765000.0,0.0,,,30972000.0,41468869795.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,401183000.0,,0.0,,-11729887000.0,127880000.0,,,33501000.0,,,,42626666667.0,,,,,,2130566000.0,,,37982000.0,,,,,,,127880000.0,242583000.0,,,0.003,1275336000.0,,,48010000.0,-80811000.0,553754000.0,17047458000.0,30972000.0,,,,317275000.0,,,,,,,,2025901000.0,-369199000.0,,,,,,620939000.0,,-268960000.0,,995440000.0,,,,167343000.0,127880000.0,-36289000.0,,0.0,,,,17364733000.0,,0.003083,-268960000.0,,1464990000.0,,3933986000.0,39463000.0,269265000.0,,68781000.0,,,1908085000.0,,131918000.0,,68781000.0,2025901000.0,,,,,,,995440000.0,1803420000.0,2100957000.0,,29609000.0,0.0,,,68781000.0,41485806975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.0,437304000.0,,0.0,,-16449644000.0,145287000.0,,,-22585000.0,,,,41473200000.0,103683000.0,,,,,839325000.0,,-41941000.0,50001000.0,,,,,,,145287000.0,99236000.0,,,0.003503,,,,87980000.0,-100568000.0,,28969764000.0,68781000.0,,,,380142000.0,,,,,,,,255516000.0,992808000.0,,,,,,-1344725000.0,,0.0,,-998121000.0,,,,192926000.0,145287000.0,-36289000.0,,0.0,,,100000000.0,29349906000.0,,0.003503,-40737000.0,,,,939348000.0,47639000.0,292162000.0,,50813000.0,,,683832000.0,,145142000.0,,23000.0,255516000.0,,,,,,,-956180000.0,100023000.0,,,0.0,0.0,,,23000.0,41473200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
