date,annualChangeInAccountPayable,annualAccountsPayable,annualDilutedEPS,annualOperatingIncome,annualResearchAndDevelopment,quarterlyOtherNonCashItems,trailingOperatingIncome,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualFreeCashFlow,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,annualOtherShortTermInvestments,annualCommonStockIssuance,quarterlyCurrentLiabilities,trailingFreeCashFlow,quarterlyDepreciationAndAmortization,quarterlyCashDividendsPaid,annualTotalLiabilitiesNetMinorityInterest,annualEndCashPosition,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,trailingTotalRevenue,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,quarterlyRetainedEarnings,annualOtherCurrentAssets,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,annualNetOtherInvestingChanges,quarterlyTotalNonCurrentAssets,annualCashAndCashEquivalents,trailingNetIncome,trailingTaxProvision,trailingEndCashPosition,quarterlyOperatingIncome,quarterlyTotalLiabilitiesNetMinorityInterest,annualCurrentDebt,trailingPretaxIncome,annualInvestmentsAndAdvances,annualNetIncome,annualPretaxIncome,annualBasicAverageShares,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,annualCashDividendsPaid,annualOperatingExpense,annualNetIncomeContinuousOperations,annualCostOfRevenue,trailingSellingGeneralAndAdministration,annualCurrentDeferredRevenue,annualGainsLossesNotAffectingRetainedEarnings,quarterlyFreeCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,trailingSaleOfInvestment,annualSaleOfInvestment,quarterlyDilutedEPS,annualRepurchaseOfCapitalStock,quarterlyOtherCurrentAssets,annualStockholdersEquity,annualSellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,annualOtherNonCashItems,annualCurrentAssets,quarterlyDilutedAverageShares,annualOtherNonCurrentAssets,annualLongTermDebt,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,trailingNetIncomeCommonStockholders,annualCurrentLiabilities,annualCurrentAccruedExpenses,annualBasicEPS,annualRetainedEarnings,quarterlyEndCashPosition,quarterlyStockholdersEquity,quarterlyInvestingCashFlow,quarterlyAccountsReceivable,quarterlyGoodwill,annualTotalAssets,annualTaxProvision,quarterlyCurrentAccruedExpenses,annualDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyChangeInInventory,quarterlyChangeInAccountPayable,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyGrossProfit,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyInvestmentsAndAdvances,trailingOtherIncomeExpense,trailingGrossProfit,annualOperatingCashFlow,annualNetPPE,quarterlyOperatingExpense,annualTotalNonCurrentAssets,annualGrossProfit,quarterlyPretaxIncome,quarterlyBasicAverageShares,quarterlyPurchaseOfBusiness,annualOtherIntangibleAssets,quarterlyOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,trailingRepaymentOfDebt,quarterlyRepaymentOfDebt,quarterlyCapitalStock,annualInventory,quarterlyNetPPE,annualEbitda,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyTaxProvision,quarterlyBeginningCashPosition,annualOtherIncomeExpense,annualGrossPPE,quarterlyCapitalExpenditure,trailingDepreciationAndAmortization,quarterlyCurrentDebt,quarterlyInterestExpense,trailingCashFlowFromContinuingFinancingActivities,quarterlyChangesInAccountReceivables,annualChangeInInventory,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,annualPurchaseOfBusiness,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,quarterlyOperatingCashFlow,trailingInvestingCashFlow,quarterlySaleOfInvestment,annualDeferredIncomeTax,annualInvestingCashFlow,annualCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyIncomeTaxPayable,annualIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,annualNonCurrentDeferredTaxesLiabilities,annualChangesInAccountReceivables,annualAccumulatedDepreciation,quarterlyDeferredIncomeTax,annualNonCurrentDeferredRevenue,trailingBeginningCashPosition,quarterlyNonCurrentDeferredRevenue,trailingPurchaseOfBusiness,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingPurchaseOfInvestment,quarterlyCommonStockIssuance,quarterlyResearchAndDevelopment,trailingOperatingExpense,trailingCapitalExpenditure,trailingNetIncomeContinuousOperations,quarterlyOtherCurrentLiabilities,annualOtherCurrentLiabilities,quarterlyBasicEPS,annualChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,annualStockBasedCompensation,annualDilutedAverageShares,annualGoodwill,quarterlyEbitda,annualCashFlowFromContinuingFinancingActivities,annualNetOtherFinancingCharges,trailingChangeInWorkingCapital,annualInterestExpense,annualPurchaseOfInvestment,trailingResearchAndDevelopment,annualCapitalStock,annualRepaymentOfDebt,annualTotalRevenue,trailingDilutedEPS,trailingDilutedAverageShares,trailingCommonStockIssuance,trailingStockBasedCompensation,trailingCashDividendsPaid,trailingNetOtherFinancingCharges,trailingChangesInAccountReceivables,trailingNetOtherInvestingChanges,trailingChangeInInventory,trailingBasicEPS,trailingInterestExpense,trailingChangeInAccountPayable,trailingBasicAverageShares,trailingDeferredIncomeTax,trailingOtherNonCashItems,trailingRepurchaseOfCapitalStock,trailingChangeInCashSupplementalAsReported
2001-12-31,3562976.0,13326928.0,-0.012502,-27659298.0,9325711.0,,-3286000.0,0.0,-456418730.0,,,0.0,373525.0,,-916516000.0,,,249070514.0,178920368.0,,2549268000.0,3197839000.0,,3855518.0,,0.0,,,-42000000.0,,178920368.0,116950000.0,4641000.0,1397530000.0,,,152973518.0,79149000.0,0.0,-2652025.0,-2652025.0,212121200.0,,,,27659298.0,-2652025.0,0.0,220213000.0,,-4749170.0,,,,3717022000.0,0.0,,,,513988367.0,17621475.0,,712112.0,235195800.0,,0.0,0.0,,-2652025.0,110650000.0,249070514.0,6237047.0,-0.012502,-1426313.0,,,,,,763058881.0,,,1444723.0,,,,0.0,870845000.0,,,,,,,,61200000.0,648571000.0,3360328.0,478949879.0,,527863081.0,0.0,,,,48913202.0,,178920368.0,-655767000.0,,,4748999.0,,-1207302.0,,,,,6326114.0,478949879.0,,1057667000.0,,,2584022000.0,,-4748999.0,,,,,,,94289547.0,,-3050257000.0,,,-501779058.0,-459779058.0,,,,,,,,,0.0,,,,1008483000.0,,-416956000.0,,-5047317000.0,,,651857000.0,-1787361000.0,74508000.0,,76533021.0,,84630821.0,,0.0,212121200.0,,,583152907.0,-24861598.0,-199914000.0,0.0,0.0,512290000.0,330311.0,-9722222.0,0.0,,,,,,,,,,,,,,,,,
2002-12-31,19676776.0,154208515.0,-0.483699,-116304319.0,37459380.0,,,405431529.0,-822365914.0,,,27709258.0,0.0,,,,,669086534.0,91864301.0,,,,,-36035593.0,,0.0,,,50000000.0,,91864301.0,,,,,,53624597.0,,0.0,-102602913.0,-102602913.0,212121200.0,,,,61381726.0,-102602913.0,105237938.0,,,-20813109.0,,,,,0.0,,,,870991569.0,22153241.0,,176091.0,185066804.0,,0.0,405431529.0,,-102602913.0,,263655005.0,9979342.0,-0.483699,-104029226.0,,,,,,1540078103.0,0.0,,85526761.0,,,,20110115.0,,,,,,,,,,,-48801876.0,1290909507.0,,1355011299.0,-54922593.0,,,,64101792.0,,119573559.0,,,,39825934.0,,-16900061.0,,,,,2897456.0,1375255760.0,,,,,,,-35076935.0,,,,,,0.0,178920368.0,,,,,-751144304.0,-773564038.0,,,,,0.0,,,,-20346966.0,-84346253.0,,,,,,,,,,,,,,45842551.0,,-87056067.0,,0.0,212121200.0,,,712925260.0,326858702.0,,176091.0,-27580266.0,,498153.0,-102973518.0,50315345.0,,,,,,,,,,,,,,,,,
2003-12-31,18752474.0,211762334.0,-0.486802,-72746241.0,32070123.0,,,479960575.0,-342411821.0,,,27164603.0,0.0,,,,,805391274.0,445276334.0,,,,,-71763567.0,,32591363.0,,,0.0,,445276334.0,,,,,,42018043.0,,3004724.0,-66144500.0,-66144500.0,212121200.0,,,,75328972.0,-66144500.0,363240773.0,,,-40382769.0,,,,,29119263.0,,,,1485115445.0,37358610.0,,795279.0,680882015.0,,0.0,479960575.0,,-103261129.0,,325430699.0,33298915.0,-0.486802,-207290355.0,,,,,,2290506719.0,0.0,,237366843.0,,,,90538517.0,,,,,,,,,,,114270363.0,1523564055.0,,1609624704.0,2582731.0,,,,83055925.0,,472440937.0,,,,69923879.0,,172647083.0,,,,,2410850.0,1839557141.0,,,,,,,-30097945.0,,,,,,0.0,91864301.0,,,,,-454498452.0,-456682184.0,,,,,0.0,,,,-70306024.0,-315993086.0,,,,,,,,,,,,,,38351407.0,,353412033.0,,2707201.0,212121200.0,,,693496552.0,99518825.0,,1424740.0,-26990144.0,,574657.0,-57606554.0,365823504.0,,,,,,,,,,,,,,,,,
2004-03-31,,,,,,,,,,12434840.0,1653052153.0,,,575014221.0,,94504050.0,,,,397898517.0,,,27306329.0,,-198677634.0,,186936986.0,-2093043.0,,2214291431.0,,,,,26843225.0,972912738.0,,,,,,,3867343584.0,8612721.0,,,,,,,,-116776413.0,27452147.0,27452147.0,,,0.00546,,32589744.0,,,0.0,,,1579300000.0,,,126781003.0,,,,,,,1373072249.0,2894430846.0,-225570899.0,116812161.0,,,,50978423.0,,445071.0,-15555274.0,,,,1868584.0,,85479153.0,60155983.0,397898517.0,,,,,,,33312758.0,,,,264100000.0,,,95948300.0,,,,7280694.0,,2115338834.0,,1400378578.0,1373072249.0,,445276334.0,,,-225979371.0,,95991558.0,2743377.0,,,,3004297.0,-315993086.0,12041434.0,1044175701.0,,,,109202958.0,,2018387.0,,,,927795915.0,-2003478.0,2431331920.0,,,-12516850.0,309071430.0,,,,,,,,,-206156709.0,,1048867018.0,16539866.0,,,,118972810.0,,0.0326,,,,,,121347275.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-06-30,,,,,,,,,,11495345.0,1574785559.0,,,850021930.0,,111475355.0,,,,413965135.0,,,90463911.0,,-164512236.0,,220988561.0,-64132303.0,,2754708756.0,,,,,36390337.0,1263987065.0,,,,,,,4329494315.0,34165398.0,,,,,,,,-217291841.0,34165398.0,34165398.0,,,0.01882,,32591632.0,,,0.0,,,1814700000.0,,,159507009.0,,,,,,,2571664672.0,3065507250.0,-412596247.0,131707549.0,,,,54243275.0,,-1080832.0,-28083387.0,,,,1337955.0,,113562540.0,61481552.0,413965135.0,,,,,,,25091215.0,,,,1789700000.0,,,96581107.0,,,,7289927.0,,2658127649.0,,1289056334.0,1198592423.0,,1373072249.0,,,-351833464.0,,95991900.0,2759605.0,,,,0.0,-501436777.0,55227190.0,103460357.0,,,,134541623.0,,4010274.0,,,,-174479826.0,0.0,3159564426.0,,,-11400197.0,699586755.0,,,,,,,,,-71963942.0,,32166207.0,13532637.0,,,,200000.0,,0.0191,,,,,,147865692.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-30,,,,,,,,,,5730443.0,1396350701.0,,,994984877.0,,132920637.0,,,,544453946.0,,,90823297.0,,-125168942.0,,274897225.0,0.0,,3255999773.0,,,,,-29972266.0,1539438823.0,,,,,,,4652350474.0,39343294.0,,,,,,,,-497769897.0,39343294.0,39343294.0,,,0.02158,,24875320.0,,,0.0,,,1822500000.0,,,202387456.0,,,,,,,3521829581.0,3112911651.0,-614662535.0,187235125.0,,,,65244711.0,,2296589.0,-21194466.0,,,,-2687195.0,,134757006.0,72509769.0,544453946.0,,,,,,,102482035.0,,,,1796100000.0,,,94350492.0,,,,7291249.0,,3161649282.0,,1040988206.0,950164909.0,,2571664672.0,,,-617011320.0,,211983707.0,3614187.0,,,,-1.0,-623572186.0,0.0,246976390.0,,,,119241423.0,,0.0,,,,-248427514.0,0.0,3785221468.0,,,-52601132.0,717756459.0,,,,,,,,,-60228302.0,,495772.0,20688265.0,,,,0.0,,0.0219,,,,,,102948371.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-12-31,49235998.0,364333613.0,0.039536,105536007.0,78167336.0,,,544462074.0,-1327418948.0,24484003.0,955417859.0,20364184.0,1016859151.0,730329536.0,,132428505.0,,1274791610.0,607172570.0,544462074.0,,,20364184.0,-69678890.0,-136384949.0,1831972.0,291841924.0,427.0,0.0,3428857672.0,607172570.0,,,,72274711.0,1274791610.0,282986372.0,,0.0,89744832.0,89930876.0,1419916351.0,4384275531.0,-11216007.0,,147727914.0,89744832.0,721400775.0,,,-50789899.0,-495580797.0,-11216007.0,-11216007.0,,84176749.0,,,1831972.0,3109483921.0,54144631.0,0.0,27011078.0,955417859.0,,0.0,544462074.0,232725307.0,70905406.0,,730329536.0,82857551.0,0.1,-136384949.0,607172570.0,3109483921.0,-573956871.0,169188287.0,,4384275531.0,186044.0,82857551.0,471328547.0,-8968824.0,-9260846.0,,169188287.0,,-13013825.0,,144017852.0,59116617.0,544462074.0,,0.0,,,518662437.0,3311924599.0,-13158094.0,3428857672.0,253263921.0,,,,116933073.0,116933073.0,627536754.0,,,7292872.0,144017852.0,3311924599.0,574957317.0,627536754.0,607172570.0,,3521829581.0,-12494481.0,4084340793.0,-651257230.0,,282986372.0,4580725.0,,,-74093973.0,0.0,-772416194.0,0.0,75151514.0,,0.0,445276334.0,155676433.0,,78148088.0,,-1826786552.0,-1846081385.0,-342992339.0,,4084340793.0,152000.0,152000.0,6839289.0,364333613.0,,-79640462.0,-772416194.0,,,,,,-50789899.0,,-64669846.0,27406568.0,,,,0.0,0.0,,161896236.0,,0.0,1793439306.0,,202795979.0,1469763962.0,67268624.0,,13697894.0,-66224919.0,,7292872.0,-12778797.0,974664696.0,,,,,,,,,,,,,,,,,
2005-03-31,,,,,,,,,,9084818.0,813118537.0,,,784438292.0,,182772188.0,,,,541134032.0,,,10349390.0,,-166379946.0,,248808088.0,-5280500.0,,3598709633.0,,,,,-21973941.0,1325572324.0,,,,,,,4411828170.0,-29994997.0,,,,,,,,-108673653.0,-29994997.0,-29994997.0,,,-0.01662,,1831972.0,,,0.0,,,1805400000.0,,,240277048.0,,,,,,,438801533.0,3086255846.0,-241963053.0,180877544.0,,,,84038636.0,,1878435.0,-30507400.0,,,,-2252173.0,,174525252.0,8531040.0,541134032.0,,,,,,,30504981.0,,,-29986283.0,1805400000.0,,,241659209.0,,,,7293320.0,,3354240115.0,,449150923.0,438801533.0,8714.0,607172570.0,,,-248495009.0,,366957352.0,7688304.0,,,,2810309.0,-772416194.0,12134618.0,-66169385.0,,,,139821356.0,,9932932.0,,,,-168371037.0,,4126656309.0,,,-13433377.0,333442304.0,,,,,,,,,-43855518.0,,196032.0,17933336.0,,,,0.0,,-0.01662,,,,,,160798247.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-30,,,,,,,,,,8409169.0,968091225.0,,,798965896.0,,202737114.0,,,,628010292.0,,,2768085.0,,-206825234.0,,279500151.0,-6735980.0,,3551041147.0,,,,,-32080507.0,1426976188.0,,,,,,,4519132372.0,-40445288.0,,,,,,,,-92121190.0,-40445288.0,-40445288.0,,,-0.02226,,1831972.0,,,0.0,,,1816900000.0,,,273111545.0,,,,,,,1015093712.0,3053111332.0,-227533144.0,196132014.0,,,,77655608.0,,-3642579.0,-1977063.0,,,,-1293508.0,,176502315.0,6388606.0,628010292.0,,,,,,,38469113.0,,,-40314892.0,1816900000.0,,,231575397.0,,,,7298647.0,,3309941020.0,,579060264.0,576292179.0,118449.0,438801533.0,,,-227154585.0,,471715699.0,8970776.0,,,,9524730.0,-772416194.0,39051554.0,230312710.0,,,,135033395.0,,10000000.0,,,,137490646.0,,4082357214.0,,,-28217026.0,249594589.0,,,,,,,,,-37294703.0,,777415.0,16343815.0,,,,0.0,,-0.02226,,,,,,170656607.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-30,,,,,,,,,,13193937.0,990605199.0,,,885621377.0,,208920092.0,,,,576354649.0,,,5581511.0,,-232940702.0,,309959083.0,-14817982.0,,3544213680.0,,,,,-20946589.0,1461976026.0,,,,,,,4534818879.0,-26115468.0,,,,,,,,11158171.0,-26115468.0,-26115468.0,,,-0.01436,,0.0,,,15039304.0,,,1818000000.0,,,284686533.0,,,,,,,1591860303.0,3034236960.0,-198635168.0,212822764.0,,,,93576700.0,,1950766.0,-6348289.0,,,,1453794.0,,182850604.0,25272550.0,561315345.0,,,,,,,46219139.0,,,-26548334.0,1818000000.0,,,240980535.0,,,,7312888.0,,3284892971.0,,582348102.0,576766591.0,6068.0,1015093712.0,,,-188180850.0,,532247701.0,10333503.0,,,,18340174.0,-772416194.0,6496978.0,-137183.0,,,,199339021.0,,2412898.0,,,,474412.0,,4057309165.0,,,16226567.0,259796976.0,,,,,,,,,-30446204.0,,561806.0,19229715.0,,,,0.0,,-0.01436,,,,,,187973503.0,,,,,,,,,,,,,,,,,,,,,,,,,,
