,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,annualStockholdersEquity,annualOtherNonCashItems,annualPurchaseOfBusiness,quarterlyBasicEPS,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,quarterlyNetIncome,annualDepreciationAndAmortization,annualCashFlowFromContinuingFinancingActivities,annualChangeInInventory,annualInventory,annualPurchaseOfInvestment,trailingOperatingCashFlow,quarterlyNetPPE,quarterlyOtherIncomeExpense,annualAccountsReceivable,annualCapitalStock,quarterlyTaxProvision,quarterlyInventory,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyBasicAverageShares,quarterlyOtherCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,annualNetPPE,quarterlyOperatingExpense,annualOperatingCashFlow,annualGrossProfit,annualCurrentLiabilities,annualGoodwill,annualOtherIntangibleAssets,annualSaleOfInvestment,quarterlyAccountsReceivable,quarterlyCapitalStock,annualBasicAverageShares,annualOtherNonCurrentLiabilities,annualEbitda,annualRepaymentOfDebt,annualGainsLossesNotAffectingRetainedEarnings,annualOtherIncomeExpense,annualOperatingIncome,annualOtherCurrentLiabilities,trailingGrossProfit,annualNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,annualCashCashEquivalentsAndMarketableSecurities,trailingPretaxIncome,trailingInterestExpense,annualEndCashPosition,annualPretaxIncome,annualNonCurrentDeferredRevenue,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingTotalRevenue,quarterlyCashAndCashEquivalents,trailingChangeInCashSupplementalAsReported,annualGrossPPE,annualAccountsPayable,trailingOperatingIncome,trailingInvestingCashFlow,quarterlyTotalNonCurrentAssets,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,trailingEndCashPosition,annualIncomeTaxPayable,quarterlyNonCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,annualInvestmentsAndAdvances,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOperatingExpense,annualOtherNonCurrentAssets,quarterlyGrossProfit,annualNetIncomeContinuousOperations,trailingNetIncomeContinuousOperations,trailingSellingGeneralAndAdministration,quarterlyIncomeTaxPayable,trailingOperatingExpense,annualCashAndCashEquivalents,annualCapitalExpenditure,annualCurrentAccruedExpenses,quarterlyDilutedEPS,quarterlyTotalRevenue,quarterlyGrossPPE,annualTaxProvision,quarterlyOperatingIncome,trailingBeginningCashPosition,annualInterestExpense,annualChangesInAccountReceivables,trailingCostOfRevenue,annualDilutedEPS,annualCurrentAssets,annualTotalRevenue,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyEbitda,annualChangeInAccountPayable,annualAccumulatedDepreciation,annualOtherShortTermInvestments,annualCommonStockIssuance,annualNetOtherFinancingCharges,annualDilutedAverageShares,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,annualBasicEPS,quarterlyGoodwill,trailingNetIncomeCommonStockholders,annualRetainedEarnings,quarterlyPretaxIncome,trailingNetIncome,quarterlyStockholdersEquity,annualTotalAssets,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,trailingFreeCashFlow,annualTotalLiabilitiesNetMinorityInterest,annualCurrentDebt,annualNetIncome,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,annualCashDividendsPaid,annualBeginningCashPosition,annualLongTermDebt,annualCostOfRevenue,annualOtherCurrentAssets,annualCurrentDeferredRevenue,annualTotalNonCurrentAssets,quarterlyDilutedAverageShares,annualSellingGeneralAndAdministration,trailingTaxProvision,annualFreeCashFlow,quarterlyRepurchaseOfCapitalStock,trailingChangesInAccountReceivables,trailingResearchAndDevelopment,trailingNetOtherFinancingCharges,trailingCommonStockIssuance,quarterlyPurchaseOfBusiness,trailingOtherIncomeExpense,trailingChangeInAccountPayable,annualResearchAndDevelopment,annualStockBasedCompensation,trailingRepaymentOfDebt,trailingCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyChangeInInventory,quarterlyCommonStockIssuance,trailingOtherNonCashItems,quarterlyDepreciationAndAmortization,trailingSaleOfInvestment,quarterlyNetOtherInvestingChanges,annualNonCurrentDeferredTaxesLiabilities,trailingPurchaseOfBusiness,quarterlyChangeInCashSupplementalAsReported,trailingRepurchaseOfCapitalStock,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,trailingStockBasedCompensation,quarterlyCashDividendsPaid,trailingPurchaseOfInvestment,trailingDilutedEPS,annualRepurchaseOfCapitalStock,quarterlyFreeCashFlow,trailingBasicEPS,quarterlyPurchaseOfInvestment,quarterlyNonCurrentDeferredTaxesLiabilities,trailingCashDividendsPaid,trailingDilutedAverageShares,trailingDepreciationAndAmortization,trailingChangeInInventory,trailingDeferredIncomeTax,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyCashFlowFromContinuingFinancingActivities,trailingCapitalExpenditure,trailingChangeInWorkingCapital,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,trailingNetOtherInvestingChanges,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyEndCashPosition,trailingBasicAverageShares,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717811200,,,,,,0.008055,17721000.0,,17721000.0,,,,,,,,,,,,,,,2200000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17721000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008055,320052000.0,,,320052000.0,,,,,,,,,,,320052000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725760000,,,515127000.0,26358000.0,,,,-420009000.0,,13179000.0,,98556000.0,64749000.0,-263007000.0,,,,,,,,,,,,,,336351000.0,,89961000.0,108870000.0,238368000.0,,,,,,2607300000.0,,71625000.0,-34380000.0,,,58446000.0,207426000.0,,-124914000.0,40683000.0,93972000.0,,,,,,,,,,,,348384000.0,16044000.0,,,,,,,,,,,,,,50424000.0,167316000.0,,27504000.0,,,,,93972000.0,-32088000.0,,,,,,,,12033000.0,-37245000.0,,0.01719,593628000.0,504240000.0,,27504000.0,232638000.0,,-14898000.0,-12033000.0,,384483000.0,5157000.0,2607300000.0,,-14325000.0,,,0.01719,,,27504000.0,,,,1097295000.0,,,,,471006000.0,14898000.0,27504000.0,,,,,53289000.0,232638000.0,395370000.0,424593000.0,,503667000.0,,37245000.0,,57873000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733536000,,,,,,0.008475,25425000.0,,25425000.0,,,,,,,,,,,,,,,3000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25425000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008475,318660000.0,,,318660000.0,,,,,,,,,,,318660000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741398400,,,,,,0.00864,25920000.0,,25920000.0,,,,,,,,,,,,,,,3000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25920000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00864,324864000.0,,,324864000.0,,,,,,,,,,,324864000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749347200,,,,,,0.008685,26055000.0,,26055000.0,,,,,,,,,,,,,,,3000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26055000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008685,326556000.0,,,326556000.0,,,,,,,,,,,326556000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757296000,,53360000.0,538240000.0,41760000.0,,,135000.0,-41760000.0,135000.0,20880000.0,,-229100000.0,295220000.0,-60900000.0,,462260000.0,,,,,295220000.0,,35380000.0,,178640000.0,,,462260000.0,,-210540000.0,244180000.0,559120000.0,,,,,,1928571429.0,,167620000.0,-116580000.0,,-3480000.0,146740000.0,178640000.0,,127600000.0,-17400000.0,77720000.0,,,,,,135000.0,1572960000.0,77720000.0,,77720000.0,,499960000.0,32480000.0,,,515620000.0,348000000.0,,,,,,594500000.0,32480000.0,,,97440000.0,53360000.0,,78300000.0,,,,,77720000.0,-108460000.0,,,4012000.0,499960000.0,,-832928000.0,,17400000.0,-201840000.0,,0.0406,1057340000.0,983680000.0,,78300000.0,35380000.0,-832928000.0,121220000.0,-37700000.0,,,580000.0,1928571429.0,35380000.0,-362500000.0,,42920000.0,0.0406,,,42920000.0,,,538240000.0,1572960000.0,1057340000.0,,559120000.0,,594500000.0,348000000.0,78300000.0,433840000.0,-37700000.0,,-1740000.0,95700000.0,35380000.0,739500000.0,433840000.0,,515620000.0,,76560000.0,,-319000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765072000,,,,,,0.004355,6968000.0,,6968000.0,,,,,,,,,,,,,,,2607300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6968000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004355,321399000.0,,,321399000.0,,,,,,,,,,,321399000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2607300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772934400,,,,,,0.004325,7785000.0,,7785000.0,,,,,,,,,,,,,,,2607300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7785000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004325,319185000.0,,,319185000.0,,,,,,,,,,,319185000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2607300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780883200,,,,,,0.004265,7677000.0,,7677000.0,,,,,,,,,,,,,,,2607300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7677000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004265,314757000.0,,,314757000.0,,,,,,,,,,,314757000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2607300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
