date,trailingRepaymentOfDebt,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,annualNetIncomeCommonStockholders,annualNetPPE,trailingChangeInCashSupplementalAsReported,annualOtherIntangibleAssets,quarterlyCashAndCashEquivalents,annualOperatingCashFlow,annualGrossPPE,quarterlyRepaymentOfDebt,trailingInterestExpense,quarterlyDilutedAverageShares,trailingOperatingCashFlow,annualCapitalStock,annualBasicEPS,annualInterestExpense,quarterlyOperatingExpense,quarterlyNetOtherInvestingChanges,annualDepreciationAndAmortization,quarterlyStockholdersEquity,trailingNetIncomeCommonStockholders,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,quarterlyOperatingIncome,annualBasicAverageShares,trailingNetIncomeContinuousOperations,annualPurchaseOfBusiness,trailingPurchaseOfBusiness,annualStockholdersEquity,annualNetOtherFinancingCharges,trailingOperatingExpense,annualOtherNonCashItems,annualSellingGeneralAndAdministration,quarterlyChangeInCashSupplementalAsReported,quarterlyCommonStockIssuance,trailingTaxProvision,trailingCashDividendsPaid,annualNetIncome,annualBeginningCashPosition,trailingNetIncome,quarterlyTaxProvision,quarterlyNetPPE,annualCashDividendsPaid,trailingBeginningCashPosition,quarterlyOperatingCashFlow,trailingSellingGeneralAndAdministration,quarterlyGrossPPE,trailingFreeCashFlow,quarterlyTotalRevenue,annualNetIncomeContinuousOperations,annualOperatingExpense,quarterlyCapitalExpenditure,annualTotalLiabilitiesNetMinorityInterest,annualCommonStockIssuance,annualFreeCashFlow,quarterlyRetainedEarnings,annualOperatingIncome,quarterlyCashDividendsPaid,quarterlyDilutedEPS,annualChangeInWorkingCapital,annualAccountsPayable,annualEndCashPosition,annualTaxProvision,trailingPurchaseOfInvestment,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualGoodwill,annualTotalAssets,trailingTotalRevenue,trailingNetOtherFinancingCharges,annualInvestingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyGoodwill,annualTotalRevenue,trailingSaleOfInvestment,quarterlySellingGeneralAndAdministration,annualPurchaseOfInvestment,annualRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyAccountsPayable,quarterlyInvestmentsAndAdvances,annualDilutedEPS,annualSaleOfInvestment,annualInvestmentsAndAdvances,quarterlySaleOfInvestment,quarterlyPurchaseOfInvestment,trailingCapitalExpenditure,quarterlyInterestExpense,trailingInvestingCashFlow,annualPretaxIncome,trailingPretaxIncome,trailingEndCashPosition,quarterlyBasicEPS,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,annualNetOtherInvestingChanges,quarterlyBasicAverageShares,quarterlyFreeCashFlow,annualDilutedAverageShares,annualCashAndCashEquivalents,trailingRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,trailingCostOfRevenue,trailingNetOtherInvestingChanges,annualNonCurrentDeferredTaxesLiabilities,annualLongTermDebt,quarterlyIncomeTaxPayable,trailingOperatingIncome,trailingDeferredIncomeTax,annualDeferredIncomeTax,annualOtherNonCurrentLiabilities,quarterlyChangeInWorkingCapital,trailingChangeInAccountPayable,quarterlyOtherNonCurrentAssets,annualInventory,annualTotalNonCurrentAssets,annualStockBasedCompensation,annualCurrentLiabilities,annualOtherNonCurrentAssets,quarterlyCurrentAssets,quarterlyOtherIncomeExpense,trailingOtherNonCashItems,annualCurrentDebt,quarterlyOtherNonCashItems,annualChangeInInventory,trailingGrossProfit,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyRepurchaseOfCapitalStock,annualChangesInAccountReceivables,quarterlyCurrentLiabilities,quarterlyCurrentDebt,quarterlyOtherCurrentAssets,annualGrossProfit,quarterlyChangesInAccountReceivables,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyInventory,trailingBasicEPS,quarterlyTotalNonCurrentAssets,trailingBasicAverageShares,annualNonCurrentDeferredRevenue,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCashCashEquivalentsAndMarketableSecurities,annualCurrentDeferredRevenue,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,annualRepurchaseOfCapitalStock,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,annualEbitda,annualAccountsReceivable,quarterlyCostOfRevenue,quarterlyLongTermDebt,annualGainsLossesNotAffectingRetainedEarnings,annualCostOfRevenue,trailingCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,annualOtherCurrentLiabilities,trailingChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,annualOtherShortTermInvestments,quarterlyCurrentDeferredRevenue,annualCurrentAssets,annualOtherIncomeExpense,annualChangeInAccountPayable,quarterlyOtherShortTermInvestments,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,annualOtherCurrentAssets,quarterlyCurrentAccruedExpenses,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyResearchAndDevelopment,trailingResearchAndDevelopment,quarterlyAccountsReceivable,annualIncomeTaxPayable,trailingDepreciationAndAmortization,quarterlyGrossProfit,trailingOtherIncomeExpense,quarterlyEbitda,annualResearchAndDevelopment,quarterlyChangeInInventory,trailingDilutedAverageShares,quarterlyAccumulatedDepreciation
1970-01-01 00:00:01.569801600,-999645000000.0,,,,,,2003000000.0,70880000000.0,57468000000.0,,,,70880000000.0,,362311000000.0,,95677000000.0,,,46752000000.0,,,,,211843000000.0,,,,,,212618000000.0,,-2028000000.0,78063000000.0,,219390000000.0,,57898000000.0,,,46327000000.0,-105623000000.0,2003000000.0,,211843000000.0,,,,1028663000000.0,,190538000000.0,,79541000000.0,,2003000000.0,106084000000.0,,3935706000000.0,,,,13409000000.0,,,,,,6438000000.0,-2182995000000.0,,,,4013769000000.0,616216000000.0,1091369000000.0,,,,,119493000000.0,1892030000000.0,,,,,,,,,,773052000000.0,,,-16136000000.0,,-302493000000.0,8441000000.0,258945000000.0,1082510000000.0,,,,,,,,16355000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1044000000.0,72752000000.0,,,,453214000000.0,72752000000.0,,,,,,,61402000000.0,,,,,,-2493000000.0,40603000000.0,-13005000000.0,,,,,,79607000000.0,2606000000.0,,,58586000000.0,,,,,1044000000.0,,,,,,,,,,,,1044000000.0,122057000000.0,,4691412000000.0,,440209000000.0,,12339000000.0,,,,,,6834000000.0,,,,,4771019000000.0,,,-412715000000.0,,,,134396000000.0,,,-484001000000.0,,,,,,,74084000000.0,1257059000000.0,,,,,,7878000000.0,,,,,,23282000000.0,,,,18878000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5807000000.0,74892000000.0,,,,295105000000.0,74892000000.0,,,,,,,78846000000.0,,,,,,-1654000000.0,233286000000.0,-10228000000.0,,,,,,84002000000.0,34000000.0,,,81676000000.0,,,,,5807000000.0,,,,,,,,,,,,5807000000.0,161368000000.0,,5259941000000.0,,284877000000.0,,25317000000.0,,,,,,6380000000.0,,,,,5343943000000.0,,,-60190000000.0,,,,186685000000.0,,,-7174253000000.0,,,,,,,7093299000000.0,1306407000000.0,,,,,,12187000000.0,,,,,,28295000000.0,,,,25469000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,43787000000.0,76450000000.0,,2115000000.0,,144715000000.0,76450000000.0,,,,,121612000000.0,,85852000000.0,,,7303000000.0,,,,37342000000.0,-11739000000.0,,,,,,-727605000000.0,,,-30062000000.0,60076000000.0,,,,,43787000000.0,276848000000.0,,,,,,,,,,,43787000000.0,71216000000.0,,6033111000000.0,,132976000000.0,,77447000000.0,,,110199000000.0,44686000000.0,314190000000.0,34470000000.0,,,,,5305506000000.0,,,-104262000000.0,,,,179237000000.0,,,-913942000000.0,-844620000000.0,,,,,,814791000000.0,1089794000000.0,,,,,,78257000000.0,,,,,,6628000000.0,,,,1005944000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,51474000000.0,103883000000.0,,27000000000.0,,284781000000.0,103883000000.0,,,,,260000000000.0,,121852000000.0,,,10991000000.0,,,,174374000000.0,-14909000000.0,,,,,,290445000000.0,130117000000.0,,-51478000000.0,94417000000.0,,,,,51474000000.0,314190000000.0,,,,,,,,,,,51453000000.0,107640000000.0,,6723810000000.0,130117000000.0,269872000000.0,,52071000000.0,,,234725000000.0,66512000000.0,488564000000.0,896000000.0,,,,,7014351000000.0,,,-235056000000.0,,,,211189000000.0,,,-783606000000.0,12022000000.0,,,,,,561629000000.0,1423851000000.0,,,,,,52349000000.0,,,,,,1830000000.0,,,,1253031000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,632213000000.0,,,13298000000.0,,,,,,,,,,,,,,,26365000000.0,629000000.0,,,,,,,13191000000.0,,,,,,,,,,131600000000.0,,,,,,,-5469000000.0,,,,8655000000.0,,,,53611000000.0,,,-3971000000.0,,,,,,,0.07,,,,,,32340000000.0,604139000000.0,,,,,,18767000000.0,18765000000.0,,,,23213000000.0,,,,-1267000000.0,,,,,,553875000000.0,-518193000000.0,,30409000000.0,,,,,0.07,18765000000.0,,,268071428571.0,4684000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,260000000000.0,604139000000.0,26642000000.0,,17885000000.0,64992000000.0,111973000000.0,,26642000000.0,1628934000000.0,-21025000000.0,111973000000.0,,,,,260000000000.0,0.25,114508000000.0,37615000000.0,922000000.0,10263000000.0,342819000000.0,,,-159264000000.0,-19885000000.0,18497000000.0,259968000000.0,,,,342819000000.0,0.0,,-39630000000.0,95823000000.0,-434513000000.0,,,,64992000000.0,488564000000.0,,4370000000.0,111973000000.0,,,-227071000000.0,,111973000000.0,,64654000000.0,65002000000.0,108390000000.0,-13247000000.0,8539663000000.0,,-40910000000.0,59817000000.0,73742000000.0,,,-58231000000.0,66762000000.0,329300000000.0,8926000000.0,,-116875000000.0,329300000000.0,,8882588000000.0,,,-188338000000.0,13515000000.0,13513000000.0,,222274000000.0,,34269000000.0,-1655801000000.0,59817000000.0,8539663000000.0,1267000000.0,66762000000.0,1731292000000.0,0.25,1485431000000.0,1731292000000.0,340251000000.0,-444801000000.0,,25752000000.0,,73928000000.0,,,,13513000000.0,8882588000000.0,1917000000.0,,-240318000000.0,,1628934000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,329300000000.0,,,31788000000.0,,,,,,,,,,,,,,,26032000000.0,406000000.0,,,,,,,31640000000.0,,,,,,,,,,216377000000.0,10000000.0,,,,,,6809000000.0,,,,259734000000.0,,,,66172000000.0,,,-2075000000.0,,,,,,,0.1,,,,,,-42757000000.0,545677000000.0,,,,,,24979000000.0,24970000000.0,,,,22394000000.0,,,,10000000.0,,,,,,363698000000.0,-404786000000.0,,27672000000.0,,,,,0.1,24970000000.0,,,249700000000.0,257659000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,270000000000.0,545677000000.0,26167000000.0,,26239000000.0,,,,,1963804000000.0,,,,,,,,,,32539000000.0,167000000.0,,354263000000.0,,,,,25846000000.0,,,,,,,,,,-18839000000.0,15527000000.0,,,,,,5355000000.0,109726000000.0,,,-86897000000.0,,109726000000.0,,69508000000.0,,,-2144000000.0,,,,1421000000.0,,,,,,,,,75790000000.0,526838000000.0,,,,,,20884000000.0,20870000000.0,,,,28688000000.0,,,9341550000000.0,15527000000.0,70624000000.0,1792555000000.0,,,,430088000000.0,-352321000000.0,,28900000000.0,,,,,,20870000000.0,9695967000000.0,,,-89041000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,324794000000.0,526838000000.0,26002000000.0,,31168000000.0,,,,,159431000000.0,,,,,,,,,,30059000000.0,438000000.0,,528108000000.0,,,,,30826000000.0,,,,,,,,,,78237000000.0,150045000000.0,,,,,,6846000000.0,109091000000.0,,,31366000000.0,,109091000000.0,,73809000000.0,,,-2459000000.0,,,,25727000000.0,,0.0,0.08,,,,,,-102152000000.0,605075000000.0,,,,,,24322000000.0,24306000000.0,,,,26237000000.0,,,9588844000000.0,148778000000.0,73048000000.0,1903185000000.0,,,,352725000000.0,-452856000000.0,,29661000000.0,,,,,0.08,24306000000.0,10117122000000.0,,303825000000.0,28907000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
