date,annualInventory,quarterlyNetPPE,quarterlyInventory,quarterlyTaxProvision,annualChangeInInventory,quarterlyRepaymentOfDebt,quarterlyCurrentDebt,trailingDepreciationAndAmortization,quarterlyInterestExpense,trailingChangeInInventory,quarterlyDilutedAverageShares,annualCurrentLiabilities,annualGrossProfit,annualNetPPE,annualOtherNonCashItems,quarterlyCommonStockIssuance,annualTotalNonCurrentAssets,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,annualOperatingCashFlow,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyBasicEPS,annualBasicEPS,trailingOtherNonCashItems,quarterlyPretaxIncome,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIntangibleAssets,annualNonCurrentDeferredTaxesLiabilities,quarterlyPurchaseOfBusiness,annualOtherNonCurrentLiabilities,annualPurchaseOfBusiness,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,trailingCashDividendsPaid,annualNonCurrentDeferredRevenue,trailingInterestExpense,trailingPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,annualInterestExpense,trailingBeginningCashPosition,annualPretaxIncome,quarterlyTotalAssets,trailingNetIncome,annualGoodwill,annualGrossPPE,trailingInvestingCashFlow,trailingCapitalExpenditure,trailingOperatingExpense,quarterlySaleOfInvestment,annualChangeInWorkingCapital,quarterlyOtherCurrentLiabilities,quarterlyBeginningCashPosition,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherShortTermInvestments,trailingChangeInCashSupplementalAsReported,quarterlyCapitalStock,quarterlyAccountsPayable,trailingRepaymentOfDebt,trailingChangeInWorkingCapital,annualBasicAverageShares,annualTotalRevenue,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,annualInvestingCashFlow,annualCapitalStock,trailingResearchAndDevelopment,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,trailingGrossProfit,annualPurchaseOfInvestment,annualRepaymentOfDebt,quarterlyNetIncomeCommonStockholders,annualCurrentDebt,annualTaxProvision,trailingEndCashPosition,trailingTaxProvision,annualNetOtherFinancingCharges,trailingTotalRevenue,trailingCostOfRevenue,quarterlyInvestingCashFlow,trailingOperatingIncome,annualEndCashPosition,quarterlyDilutedEPS,quarterlyEndCashPosition,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfInvestment,annualOperatingIncome,quarterlyEbitda,trailingNetIncomeContinuousOperations,annualOtherCurrentAssets,annualResearchAndDevelopment,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,annualDilutedAverageShares,quarterlyCurrentAssets,trailingFreeCashFlow,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyCurrentLiabilities,annualFreeCashFlow,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,quarterlyTotalRevenue,annualCostOfRevenue,annualBeginningCashPosition,annualOperatingExpense,quarterlyFreeCashFlow,trailingSellingGeneralAndAdministration,annualNetIncomeContinuousOperations,annualNetIncome,trailingPretaxIncome,quarterlyOtherCurrentAssets,annualDilutedEPS,quarterlyBasicAverageShares,annualLongTermDebt,quarterlyNetOtherInvestingChanges,annualCashDividendsPaid,quarterlyAccountsReceivable,annualTotalAssets,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,annualEbitda,annualCurrentAssets,annualSellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,trailingNetOtherInvestingChanges,annualOtherNonCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingSaleOfInvestment,quarterlyGrossProfit,annualOtherIntangibleAssets,annualStockholdersEquity,annualOtherShortTermInvestments,quarterlyCashDividendsPaid,annualSaleOfInvestment,annualCommonStockIssuance,annualDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyOperatingExpense,trailingCommonStockIssuance,quarterlyNetIncome,quarterlyGoodwill,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyStockholdersEquity,quarterlyLongTermDebt,annualRetainedEarnings,trailingNetIncomeCommonStockholders,trailingRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,trailingDeferredIncomeTax,annualDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingChangeInAccountPayable,annualStockBasedCompensation,quarterlyOtherIncomeExpense,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyRepurchaseOfCapitalStock,annualChangesInAccountReceivables,annualInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,trailingBasicEPS,trailingBasicAverageShares,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCurrentDeferredRevenue,trailingChangesInAccountReceivables,annualRepurchaseOfCapitalStock,annualAccumulatedDepreciation,quarterlyOperatingCashFlow,annualGainsLossesNotAffectingRetainedEarnings,trailingCashFlowFromContinuingFinancingActivities,trailingPurchaseOfBusiness,quarterlyCurrentDeferredRevenue,annualOtherIncomeExpense,annualChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,annualIncomeTaxPayable,trailingOtherIncomeExpense,quarterlyChangeInInventory,trailingDilutedAverageShares,quarterlyAccumulatedDepreciation
2003-12-31,2629888204.93,,,,,,,10037593967.0,,-5371848323.0,,36766386182.8,6437511454.67,11823703399.04,,,18461394669.01,,,,,,,,6541410603.0,,7058521513.81,,59069921.38,,283925769.05,,,,-18893981017.0,,13466241675.0,-14685182717.0,,918618628.08,108651444166.0,750214854.22,,20082331641.0,,11823703399.04,-60602373821.0,-45071001713.0,34811756318.0,,,,,,,-6477735203.0,,,-115382071279.0,-36504688733.0,,48304253411.51,16560091345.0,7124045457.52,,,10462368417.0,,,65846488578.0,,,,7093975961.38,304814047.65,101457882110.0,4883604448.0,,522765639249.0,456919150671.0,,31034732260.0,,,,11307208536.14,8757885125.67,,1568979225.49,,21232443149.0,6754921160.03,,45524271308.47,,,,,,-42694885767.0,,,,,,6814245403.95,,41866741956.84,,4868532229.18,,23008560525.0,445400806.57,253087449.65,26116047597.0,,,,4423968079.44,,,,51078881477.3,,253087449.65,1668833482.3,32617486808.29,3726870162.52,,-2342891035.0,655792698.49,,318965937.0,,1127625409.9,3939645351.22,244276109.86,,,,,,,2401658977.0,,,,,9682109190.08,2376115946.0,,,,20082331641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-12-31,3110523888.37,,,,,,,,,,,46721384594.91,8394194079.36,13968061156.4,,,21040239166.28,,,,,,,,,,10179717314.33,,80233606.31,,297731623.42,,,,-21632051704.0,,10401818483.0,-14022494486.0,,922932139.18,105769755348.0,1675598777.09,,20159953666.0,,13968061156.4,-55763352198.0,-45730806732.0,36014625619.0,,,,,,,6723449775.0,,,-123497474319.0,,,65710384370.95,27859429004.0,8652539895.17,,,11951048825.0,,,67201603742.0,,,,10279553414.37,343757477.19,112106578355.0,4822171476.0,,537013536630.0,469811932888.0,,31186978123.0,,,,13529575942.49,9030339195.21,,2356754044.6,,21143803011.0,9548331605.56,,55751723790.12,,,,,,-44432385005.0,,,,,,10054766165.11,,57316190291.59,,6037440034.76,,22707583380.0,1331841299.9,991912015.5,25965974487.0,,,,4852973031.85,,,,63729507398.12,,991912015.5,2598530916.27,42689268231.84,4382155403.23,,-2478903147.0,1168187946.21,,766515228.0,,1111210615.14,5260284568.91,124951149.22,,,,,,,,,,,,12096448757.89,,,,,20159953666.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-31,3709838931.75,,,,-595221403.47,,,,,,,56550453658.61,10517337416.53,15987051144.05,483602727.92,,23652983430.11,,,3179321386.4,,,,,,,10951791191.55,,173734332.33,,298654095.17,,,,,,,,,188245479.34,,3443150621.71,,,,15987051144.05,,,,,-2387561917.71,,,,,,,,,,,83150759535.52,,9184856538.08,-4794752409.43,,,814175760.48,-5243450621.66,,-246792612.27,-15745230295.87,,13573668829.0,796216144.95,,,1325176896.91,,,,,10769536969.78,,,18311160052.0,9028282349.98,,3555654438.98,,,14052434443.65,,65578736008.59,,,,,,,,,,-2064129235.26,255912520.96,10834282528.46,,72633422118.99,9955361209.3,6961682977.55,,,2646934476.76,1858783915.97,,,,,4974159867.55,,-996917713.25,,77318754103.69,,1858783915.97,5336828714.56,53665770673.58,4920709862.75,,,2070491784.83,,,,987032237.36,8211370476.52,117508663.09,,155827241.15,139376896.91,1705432613.51,,,,,,,,14926893590.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-31,4036757099.0,,,,-369602797.0,,,,,,,75791083119.0,14890673427.0,22140644203.0,1204303140.0,,39148376684.0,,,4737138416.0,,,,,,,31272715032.0,,286756904.0,,115031242.0,,,,,,,,,1277751288.0,,4443606948.0,,,,22140644203.0,,,,,-3178440306.0,,,,,,,,,,,114882442807.0,,11185494575.0,-8094493404.0,14825000000.0,,20023211838.0,-8483961580.0,,-615692460.0,-20634201526.0,,18282069705.0,956507413.0,,,47184036319.0,,,,,30792748808.0,,,25869305259.0,12353879387.0,,5632368458.0,,,20905494286.0,,88144962506.0,,,,,,,,,,-3746823164.0,203113183.0,31257614904.0,,99991769380.0,10769536970.0,9258304969.0,,,3487099535.0,2364705167.0,,,,,8590525306.0,,-2827826741.0,,128132767777.0,,2364705167.0,8333495646.0,88984391093.0,6593367842.0,,,5407111762.0,,,,3948628420.0,35019699736.0,15100128.0,,411711405.0,18109262499.0,2612137410.0,,,,,,,,20148558588.0,,,,234770748.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-31,34056463628.0,,,,,,,,,,,92748382953.0,18494775729.0,27433898627.0,,,70582203416.0,,,,,,,0.33,,,23615272860.0,,4295107784.0,,152223730.0,,,,,,,,,1115093125.0,,8257080245.0,,,250311.0,27433898627.0,,,,,,,,,,,,,,,14621000197.0,151745098239.0,,3313424722.0,-15547052235.0,14825000000.0,,-8320192895.0,-14262529585.0,,-5633031305.0,-25024621872.0,,18851378794.0,1886005592.0,,,2674698134.0,,,,,22472555913.0,,,36859601723.0,20621653256.0,,8568970937.0,,,3066713015.0,,113370036209.0,,,,14621000197.0,,,,,,-11127234280.0,-417899836.0,22947317552.0,,133250322510.0,30792748808.0,9925804792.0,,,6371074653.0,4824930065.0,,,0.33,,12632507016.0,,-2108307338.0,,173033329096.0,,4824930065.0,9372173370.0,102451125680.0,6400417683.0,,,1938662900.0,,,,10858177010.0,50675023587.0,667955308.0,,4191612359.0,2674698134.0,,,,,,,,,24504832363.0,,,,4917720176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,54840962000.0,,,,-21056519000.0,,,,,,,140351217000.0,22343966000.0,38117943000.0,1526082000.0,,74837920000.0,,,1040173000.0,,,,0.4,,,28371384000.0,,1081085000.0,,543550000.0,-68402000.0,,,,,,,,1836780000.0,,9411674000.0,,,4651000.0,38117943000.0,,,,,-11612288000.0,,,,,,,,,,14688472500.0,180429526000.0,,7935246000.0,-16741868000.0,14825000000.0,,3805164000.0,-17353463000.0,,-2342566000.0,-31571164000.0,,30025952000.0,1745361000.0,,,153516000.0,,,,,26277720000.0,,,49681919000.0,25051370000.0,,10157052000.0,,,7402252000.0,,165402587000.0,,,,14688472500.0,,,,,,-16313290000.0,645949000.0,26940123000.0,,158085560000.0,22472556000.0,12186914000.0,,,7666313000.0,5875389000.0,,,0.4,,19995532000.0,,-3352515000.0,,221823406000.0,,5875389000.0,14974174000.0,146985486000.0,7811468000.0,,,822600000.0,,,,12417480000.0,45342277000.0,1431261000.0,,1352974000.0,153516000.0,3725720000.0,,,,,,,,32769916000.0,,,,9755052000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-03-31,,,,,,-12928090374.79,,,,,,,,,,262250912.62,,,,,10175022076.44,,,,,,,,,-14400000.0,,,-4065104217.67,,,,,,,,,,,,,,,,,814247546.73,,,26277719962.69,-4393302476.3,,,,,,,,,,,,,,,,,,,,,,,,,,,-4051942291.01,,,,21884417486.39,,,-497939215.22,,,,,,,,,,,,,,,,,,,,,,,-9889978619.45,,,,,,,,,-404869767.62,,,,,,,,,,,,,,,,,,-1091174128.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,,,,,,-18093300533.21,,,,,,,,,,-213434037.62,,,,,-10126205201.44,,,,,,,,,,,,-5050991009.33,,,,,,,,,,,,,,,,,-723708059.73,,,21884417486.39,3097601394.3,,,,,,,,,,,,,,,,,,,,,,,,,,,-4748047497.99,,,,24982018880.0,,,265201737.22,,,,,,,,,,,,,,,,,,,,,,,2015272345.45,,,,,,,,,734056762.62,,,,,,,,,,,,,,,,,,-82309683.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09-30,,,,525811256.7,,-2805439392.0,,,784135227.07,,,,,,,-21283764.0,,,,,-21283764.0,,,,,2277017126.39,,,,,,,-3780687347.0,,,,,,,,,,,,,,,,,762648675.0,,,24982018880.0,9533573222.5,,,,,,,,,,,,,,,,,,,1617903436.47,,,,,,,,-3364792913.0,,,,34515592102.5,,,-651317589.0,,3061152353.46,,,,,,,,,,,3156257433.22,,,,,,61030787592.78,,,,2126952304.5,,,,,,,,,66973680.0,,,,54172738532.75,,,,,,,,,,6858049060.03,,,,-1096432473.0,,,,1751205869.69,3701791626.81,,1617903436.47,,,2119551917.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,60605797000.0,47978317000.0,60605797000.0,728306438.3,-6551031000.0,-32214063700.0,24360199000.0,,837314947.93,,,154904512000.0,27661085000.0,47978317000.0,2400774000.0,32652889.0,103533613000.0,34515592000.0,34631335000.0,17228290000.0,-149650111.0,,,0.46,,3180302732.61,34631335000.0,16436114000.0,3519972000.0,,486517000.0,,-5351271426.0,1270192000.0,,,,,103533613000.0,2245039906.0,,9754408000.0,267938105000.0,,5184000.0,47978317000.0,,,,772800838.0,1411395000.0,11625399000.0,34515592102.5,-698467140.5,115743000.0,,14825000000.0,58903111000.0,,,14837206522.0,228486158000.0,,11625399000.0,-16955345000.0,14825000000.0,,7539405000.0,-18248054000.0,,-1092893000.0,-66040894000.0,2364452347.53,24360199000.0,2121299000.0,,,-122117000.0,,,-4790562298.0,,33817125000.0,,33817125000.0,58903111000.0,42584328000.0,-208837933.0,12168744000.0,4017617680.54,,8410331000.0,,197488840000.0,197488840000.0,,14937827000.0,14837206522.0,164404492000.0,,4144066569.78,47978317000.0,154904512000.0,-1019764000.0,292417000.0,34515592000.0,69486344657.22,200825073000.0,26277720000.0,15492341000.0,4727989969.5,,7633109000.0,6825115000.0,,8410331000.0,0.46,,33890716000.0,-103743675.0,-4015900000.0,37825445000.0,267938105000.0,59529755462.25,6825115000.0,16702777906.0,164404492000.0,9547422000.0,486517000.0,,1270192000.0,42584328000.0,,9956589194.97,16436114000.0,58725248000.0,115743000.0,-1745983715.0,1625989000.0,60186000.0,4703330000.0,2451996294.31,5812522625.19,,2364452347.53,5184000.0,3519972000.0,3783722293.98,37825445000.0,,58725248000.0,33890716000.0,14937827000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
