date,quarterlyOtherCurrentAssets,trailingInterestExpense,trailingBeginningCashPosition,annualInterestExpense,annualChangeInCashSupplementalAsReported,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,trailingCapitalExpenditure,trailingChangeInCashSupplementalAsReported,annualGrossPPE,annualEbitda,annualOtherNonCurrentAssets,annualCurrentAssets,trailingRepaymentOfDebt,trailingOperatingExpense,quarterlyCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherIntangibleAssets,annualSellingGeneralAndAdministration,quarterlyGrossPPE,annualCashCashEquivalentsAndMarketableSecurities,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,annualBeginningCashPosition,annualOperatingExpense,trailingSellingGeneralAndAdministration,annualOtherNonCurrentLiabilities,annualTaxProvision,annualDilutedEPS,annualCurrentDebt,trailingTaxProvision,annualDepreciationAndAmortization,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCurrentLiabilities,annualNetPPE,annualOperatingCashFlow,annualTotalNonCurrentAssets,annualStockholdersEquity,annualOtherNonCashItems,annualOtherCurrentAssets,annualSaleOfInvestment,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualCommonStockIssuance,annualOtherShortTermInvestments,quarterlyStockholdersEquity,annualOtherIntangibleAssets,annualDilutedAverageShares,trailingNetIncomeCommonStockholders,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,trailingOperatingCashFlow,annualAccountsReceivable,annualNetIncome,annualGoodwill,annualTotalAssets,quarterlyTotalAssets,annualPretaxIncome,trailingNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyAccountsReceivable,annualRetainedEarnings,quarterlyGoodwill,trailingPretaxIncome,trailingInvestingCashFlow,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,quarterlyOtherCurrentLiabilities,annualLongTermDebt,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredTaxesLiabilities,annualBasicEPS,trailingPurchaseOfBusiness,quarterlyOtherNonCurrentAssets,annualFreeCashFlow,quarterlyCurrentAssets,quarterlyCurrentLiabilities,trailingDepreciationAndAmortization,trailingFreeCashFlow,annualNetOtherInvestingChanges,trailingOperatingIncome,quarterlyTotalNonCurrentAssets,annualCashDividendsPaid,trailingOtherNonCashItems,annualCostOfRevenue,annualPurchaseOfBusiness,annualInventory,quarterlyAccumulatedDepreciation,annualStockBasedCompensation,annualEndCashPosition,annualChangeInInventory,annualNetOtherFinancingCharges,trailingEndCashPosition,trailingNetOtherFinancingCharges,annualAccountsPayable,annualBasicAverageShares,trailingChangeInInventory,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingCostOfRevenue,trailingNetIncomeContinuousOperations,quarterlyNetPPE,trailingTotalRevenue,quarterlyRetainedEarnings,annualOperatingIncome,quarterlyAccountsPayable,annualGrossProfit,annualAccumulatedDepreciation,annualInvestingCashFlow,trailingGrossProfit,annualPurchaseOfInvestment,annualCapitalExpenditure,annualRepaymentOfDebt,annualCapitalStock,annualTotalRevenue,trailingChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,annualCurrentAccruedExpenses,quarterlyCashDividendsPaid,trailingOtherIncomeExpense,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,trailingDeferredIncomeTax,quarterlyChangeInInventory,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,annualNonCurrentDeferredRevenue,trailingStockBasedCompensation,annualGainsLossesNotAffectingRetainedEarnings,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,trailingBasicEPS,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,annualOtherIncomeExpense,trailingCommonStockIssuance,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,annualRepurchaseOfCapitalStock,annualChangesInAccountReceivables,trailingDilutedAverageShares,quarterlyNetIncome,quarterlyCurrentAccruedExpenses,trailingPurchaseOfInvestment,trailingResearchAndDevelopment,quarterlyChangeInAccountPayable,trailingDilutedEPS,trailingSaleOfInvestment,quarterlyCommonStockIssuance,quarterlyEndCashPosition,annualIncomeTaxPayable,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,trailingRepurchaseOfCapitalStock,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,annualCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyCostOfRevenue,trailingChangeInAccountPayable,quarterlyBeginningCashPosition,annualResearchAndDevelopment,annualInvestmentsAndAdvances,annualCashFlowFromContinuingFinancingActivities,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,trailingChangesInAccountReceivables,trailingBasicAverageShares,trailingCashDividendsPaid,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,trailingCashFlowFromContinuingFinancingActivities,trailingNetOtherInvestingChanges,annualDeferredIncomeTax,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyCapitalExpenditure
2009-12-31,853186000.0,43341000.0,82399000.0,7985000.0,6047000.0,214672000.0,248155000.0,-10419000.0,136629000.0,39816000.0,262087000.0,540000.0,1665398000.0,-359683000.0,178349000.0,216000,1064256000,,161683000.0,39816000.0,177173000.0,177173000.0,214672000.0,169473000.0,147444000.0,178466000.0,0.0,32060000.0,0.18,170150000.0,10135000.0,7370000.0,21788000.0,1042468000.0,26223000.0,-51034000.0,352017000.0,953159000.0,212818000.0,853186000.0,,21788000,120201000.0,0.0,953159000,,1207816541.0,-32588000.0,6432000,21788000,,300741000.0,411394000.0,214672000.0,230664000.0,2017415000.0,2017415000,246732000.0,-32588000.0,0.0,411394000,,230664000,-20537000.0,-83539000.0,0.0,-283455000.0,248155000.0,,1064256000.0,21788000.0,0.18,-44151000.0,540000.0,-64399000.0,1665398000,1042468000,13300000.0,290322000.0,0.0,6466000.0,352017000,-56204000.0,-5337000.0,1004386000.0,-1200000.0,6432000.0,-13593000.0,9886000.0,177173000.0,1902000.0,-4248000.0,219028000.0,-18998000.0,488590000.0,1207816541.0,-107668000.0,177173000,170150000,177173000,738715000.0,-30672000.0,26223000,923530000.0,,253617000.0,488590000,401061000.0,-13593000.0,-13694000.0,184815000.0,0.0,-13365000.0,-100000000.0,216000.0,1405447000.0,301311000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,1095246000.0,,,,,,,,,,,,,,,238000,1240862000,,,41548000.0,,,,,,,,,,,,,,,,,,,,,,30217000,,,1264707000,,,,6677000,30217000,,,,,,,2505569000,,,0.0,467326000,,230664000,,,67723000.0,,144333000.0,,,,,,556000.0,,2148725000,1210645000,,,,,356844000,,,,,,-17413000.0,,,,,,,,,,225107000,190000000,292830000,,,24135000,,245971000.0,,499107000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,960377000.0,,,11505000.0,669331000.0,294009000.0,559531000.0,,,42975000.0,366689000.0,566000.0,3309455000.0,,,276000,1622489000,,211051000.0,42975000.0,949324000.0,836883000.0,294009000.0,177173000.0,237916000.0,,0.0,53673000.0,0.21,289998000.0,,7502000.0,36281000.0,1586208000.0,27074000.0,-72951000.0,424441000.0,2111407000.0,332197000.0,960377000.0,,36281000,927964000.0,112441000.0,2111407000,,1427287836.0,,4467000,36281000,,,834436000.0,294009000.0,230664000.0,3733896000.0,3733896000,347682000.0,,0.0,834436000,,230664000,,,112441000.0,-424594000.0,559531000.0,,1622489000.0,36281000.0,0.21,,566000.0,-141847000.0,3309455000,1586208000,,,0.0,,424441000,-65297000.0,,1274242000.0,-7650000.0,4467000.0,-15901000.0,9886000.0,836883000.0,1965000.0,0.0,,,597838000.0,1427287836.0,,836883000,289998000,949324000,,,27074000,,,350026000.0,597838000,587942000.0,-15901000.0,-184983000.0,,-112441000.0,-68896000.0,-260078000.0,276000.0,1862184000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,880508000.0,,,,,,,,,,,,,,,276000,1153342000,1257000.0,,,,,,,,,,,,,,,,,,,,,,,,55513000,,,2179707000,,,,6538000,55513000,,,,,,,3336526000,,,0.0,695588000,,235445000,,,111670000.0,,251313000.0,,,,,,-1439000.0,,2646178000,1097829000,,,,,690348000,,,,,,,,,,,,,,,,202243000,180000000,313913000,,,31816000,,551009000.0,,580809000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,865013000.0,,,14894000.0,-384464000.0,112919000.0,462909000.0,,,93060000.0,159747000.0,557000.0,3121935000.0,,,283000,1669039000,34467000.0,283365000.0,93060000.0,505277000.0,435881000.0,110968000.0,836883000.0,261093000.0,,0.0,20779000.0,0.07,300390000.0,,13106000.0,35889000.0,1633150000.0,56243000.0,-214194000.0,819804000.0,2265812000.0,11650000.0,865013000.0,112441000.0,35889000,0.0,69396000.0,2265812000,34467000.0,1582838016.0,,31262000,35889000,,,769186000.0,112919000.0,347321000.0,3941739000.0,3941739000,131747000.0,,0.0,769186000,,347321000,,,69396000.0,-323951000.0,462909000.0,,1669039000.0,35889000.0,0.07,,557000.0,-223952000.0,3121935000,1633150000,,,-105715000.0,,819804000,0.0,,1192814000.0,-185093000.0,31262000.0,-36817000.0,,435881000.0,-16663000.0,6101000.0,,,672652000.0,1582838016.0,,435881000,300390000,505277000,,,56243000,,,131299000.0,672652000,392392000.0,-36817000.0,-256300000.0,,-69396000.0,-9758000.0,-409998000.0,283000.0,1585206000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,1198829000.0,,,,,,,,,,,,,,,283000,1662350000,89287000.0,,,,,,,,,,,,,,,,,,,,,,,,59839000,,,2346103000,,,,38669000,59839000,,,,,,,4041170000,,,0.0,740350000,,426600000,,,69781000.0,,394558000.0,,,,,,607000.0,,3174188000,1602511000,,,,,866982000,,,,,,,,,,,,,,,,142413000,391291000,212194000,,,59943000,,,,540532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,1258838000.0,,,29427000.0,148500000.0,131910000.0,679378000.0,,,109955000.0,262979000.0,19944000.0,4164426000.0,,,289000,2672492000,78717000.0,359109000.0,109955000.0,734824000.0,665419000.0,139329000.0,435881000.0,321756000.0,,0.0,58913000.0,0.08,431577000.0,,35310000.0,253050000.0,2419442000.0,55915000.0,51310000.0,1005472000.0,2462689000.0,52119000.0,1258838000.0,,253050000,,69405000.0,2462689000,78717000.0,1632780213.0,,37853000,43319000,201194000.0,,868243000.0,131910000.0,406135000.0,5169898000.0,5169898000,198242000.0,,0.0,868243000,677927000.0,406135000,,,69405000.0,-157736000.0,679378000.0,201194000.0,2672492000.0,43319000.0,0.08,,19944000.0,20481000.0,4164426000,2419442000,,,-111710000.0,,1005472000,,,1629270000.0,-5249000.0,37853000.0,-54040000.0,,584783000.0,-3172000.0,0.0,,,1251224000.0,1628539233.0,,665419000,431577000,734824000,,,55915000,,677927000.0,194974000.0,1251224000,516730000.0,-54040000.0,-144128000.0,,0.0,-30829000.0,-443912000.0,289000.0,2146000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,1347908000.0,,,,,,,,,,,,,,,289000,2510633000,68541000.0,,,,,,,,,,,,,,,,,,,,,,,,324650000,,,2514563000,,,,42932000,55066000,266589000.0,,,,,,5060011000,,,0.0,848701000,,406135000,,,71634000.0,,485728000.0,,,,,,20038000.0,,4106726000,2185983000,,,,,953285000,,,,,,,,,,,,,,,,351583000,399246000,423217000,,,54785000,,721283000.0,,933254000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,1294760000.0,,,56351000.0,112176000.0,149254000.0,728324000.0,,,134060000.0,293512000.0,24500000.0,4823402000.0,,,289000,3126823000,59750000.0,373619000.0,134060000.0,860473000.0,776359000.0,152780000.0,584783000.0,370258000.0,,0.0,45675000.0,0.09,520561000.0,,38706000.0,468881000.0,2657942000.0,64844000.0,-237325000.0,973064000.0,2630357000.0,61827000.0,1294760000.0,56000000.0,468881000,,84114000.0,2630357000,59750000.0,1715973396.0,,20922000,47863000,417951000.0,,1092826000.0,149254000.0,406135000.0,5796466000.0,5796466000,198455000.0,,0.0,1092826000,15532000.0,406135000,,,84114000.0,-389252000.0,728324000.0,417951000.0,3126823000.0,47863000.0,0.09,,24500000.0,-269044000.0,4823402000,2657942000,,,17250000.0,,973064000,-5058000.0,,1831282000.0,-21075000.0,20922000.0,-69216000.0,,695720000.0,15544000.0,0.0,,,1329674000.0,1645752039.0,,776359000,520561000,860473000,,,64844000,,15532000.0,188728000.0,1329674000,558986000.0,-69216000.0,37742000.0,,,-31719000.0,-535436000.0,289000.0,2390268000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,1203134000.0,,,,,,,,,,,,,,,289000,2837914000,50967000.0,,,,,,,,,,,,,,,,,,,,,,,,234799000,,,2564034000,,,,23706000,45010000,189789000.0,,,,,,5436925000,,,0.0,1126951000,,406135000,,,84764000.0,,770524000.0,,,,,,84500000.0,,4481324000,2603115000,,,,,955601000,,,,,,,,,,,,,,,,506971000,694890000,591735000,,,74784000,,745813000.0,,1099642000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
