,annualNetOtherFinancingCharges,annualNetIncomeContinuousOperations,trailingNetIncomeContinuousOperations,annualCurrentDebt,trailingOperatingIncome,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,trailingTaxProvision,trailingEndCashPosition,trailingFreeCashFlow,annualOtherNonCurrentAssets,quarterlyGrossPPE,annualOperatingExpense,trailingSellingGeneralAndAdministration,quarterlyCurrentAssets,quarterlyCurrentLiabilities,annualFreeCashFlow,quarterlyRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,annualRepurchaseOfCapitalStock,annualBeginningCashPosition,trailingOperatingExpense,annualCostOfRevenue,annualCurrentAssets,annualDilutedAverageShares,trailingCostOfRevenue,quarterlyNonCurrentDeferredRevenue,trailingBeginningCashPosition,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,quarterlyIncomeTaxPayable,annualTotalLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyAccountsReceivable,annualRetainedEarnings,trailingNetIncomeCommonStockholders,trailingNetOtherInvestingChanges,annualNetIncome,quarterlyOtherCurrentAssets,annualCashDividendsPaid,annualEbitda,quarterlyOtherNonCurrentLiabilities,annualDilutedEPS,annualOtherShortTermInvestments,annualNetIncomeCommonStockholders,annualOtherIntangibleAssets,annualBasicEPS,annualTotalNonCurrentAssets,annualSellingGeneralAndAdministration,annualCommonStockIssuance,annualOtherCurrentAssets,trailingOperatingCashFlow,quarterlyInvestmentsAndAdvances,annualAccountsReceivable,quarterlyLongTermDebt,annualLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualStockholdersEquity,annualTaxProvision,annualTotalAssets,annualDepreciationAndAmortization,trailingCommonStockIssuance,annualCurrentLiabilities,annualStockBasedCompensation,annualOtherNonCashItems,quarterlyNetPPE,annualPurchaseOfBusiness,quarterlyInventory,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,annualInventory,annualGrossProfit,annualNetPPE,quarterlyOtherIntangibleAssets,annualOperatingCashFlow,quarterlyOtherCurrentLiabilities,trailingPurchaseOfBusiness,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,annualNonCurrentDeferredTaxesLiabilities,trailingCashDividendsPaid,annualCashCashEquivalentsAndMarketableSecurities,annualChangeInInventory,trailingPretaxIncome,annualChangeInCashSupplementalAsReported,trailingChangeInCashSupplementalAsReported,trailingNetIncome,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,annualGrossPPE,annualNonCurrentDeferredRevenue,quarterlyOtherShortTermInvestments,annualBasicAverageShares,annualOtherNonCurrentLiabilities,annualInterestExpense,annualChangeInWorkingCapital,annualPretaxIncome,quarterlyCapitalStock,annualGoodwill,annualInvestingCashFlow,trailingGrossProfit,annualAccountsPayable,annualCapitalExpenditure,trailingInvestingCashFlow,annualTotalRevenue,trailingCapitalExpenditure,quarterlyCashAndCashEquivalents,quarterlyAccountsPayable,annualOperatingIncome,quarterlyGainsLossesNotAffectingRetainedEarnings,annualCapitalStock,trailingRepaymentOfDebt,annualRepaymentOfDebt,trailingTotalRevenue,annualPurchaseOfInvestment,annualEndCashPosition,annualOtherCurrentLiabilities,trailingInterestExpense,trailingRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,trailingDeferredIncomeTax,quarterlyNetIncome,annualDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingChangeInAccountPayable,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,annualSaleOfInvestment,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,trailingOtherNonCashItems,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,trailingNetOtherFinancingCharges,quarterlyChangeInAccountPayable,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,annualChangesInAccountReceivables,quarterlyDilutedAverageShares,trailingSaleOfInvestment,annualInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,trailingBasicEPS,quarterlyCashDividendsPaid,trailingBasicAverageShares,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCurrentDeferredRevenue,quarterlyNetOtherInvestingChanges,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,annualGainsLossesNotAffectingRetainedEarnings,trailingCashFlowFromContinuingFinancingActivities,quarterlyEndCashPosition,trailingChangeInInventory,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,annualOtherIncomeExpense,annualChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,trailingDilutedEPS,quarterlyDilutedEPS,quarterlyStockBasedCompensation,trailingPurchaseOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,trailingResearchAndDevelopment,annualIncomeTaxPayable,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,trailingDepreciationAndAmortization,quarterlyGrossProfit,trailingOtherIncomeExpense,quarterlyEbitda,annualResearchAndDevelopment,quarterlyChangeInInventory,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167523200,18149883.0,106813534.0,,741452318.0,,220366970.0,,,,,0.0,,181124065.0,,,,-314448486.0,,,,48579098.0,,1018006538.0,640009107.0,635794845.0,,,,61557237.0,1483554.0,,1272208949.0,,,,,,106813534.0,,-20397108.0,159041040.0,,0.168,341487.0,106813534.0,86657064.0,0.168,1095296033.0,192306532.0,20000000.0,43112857.0,,,,,192413474.0,,,,463096191.0,6881099.0,1735305140.0,,,1051841979.0,,-24646888.0,,,,,,330180962.0,340165105.0,985395491.0,,-24646888.0,,,,,787601.0,,61898724.0,,,-2290265.0,,,,,,,,635794845.0,27165895.0,,,113694633.0,,,-274776326.0,,,-289801598.0,,1358171643.0,,,,159041040.0,,0.0,,-1687913791.0,,,61557237.0,282503385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199059200,12774077.0,78357059.0,,345535483.0,,337733018.0,,,,,0.0,,242955759.0,,,,-426726692.0,,,,61557237.0,,1411775105.0,1009985626.0,760748146.0,,,,252081481.0,9929396.0,,1064548694.0,,,,,,78357059.0,,-31102892.0,122990568.0,,0.103,131890.0,78357059.0,98362492.0,0.103,1521155375.0,253810027.0,881416333.0,6706535.0,,,,,308639527.0,,,,1466592307.0,16542188.0,2531141001.0,,,726815676.0,,-69689930.0,,,,,,501295002.0,365946327.0,1391200294.0,,-69689930.0,,,,,869655.0,,252213371.0,,,152402409.0,,,,,,,,760748146.0,28223836.0,,,94899247.0,,,-346974366.0,,,-357036762.0,,1777721432.0,,,,122990568.0,,0.0,,-1915850534.0,,,252081481.0,347577580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230681600,5822081.0,165911568.0,,278411290.0,,500559285.0,-511692327.0,,,,117294978.0,,293091888.0,,,,-125754093.0,,,,252081481.0,,1910939233.0,929798760.0,903841686.0,,,,173073712.0,-19816230.0,,1238631043.0,,,,,,165911568.0,,-19884517.0,317581456.0,,0.184,0.0,165911568.0,740895.0,0.184,2017918926.0,297133276.0,0.0,0.0,,,259669018.0,,465875506.0,,,,1709086643.0,28903675.0,2947717686.0,94300486.0,,738071758.0,,40051721.0,,,,,,491755387.0,513104857.0,1852374329.0,,367971189.0,,,,,1556700.0,,173073712.0,9712215.0,,-90580823.0,,,,,2364066656.0,33127079.0,,903841686.0,0.0,28465727.0,101816537.0,194815243.0,,,-510233471.0,,429879934.0,-493725282.0,,2424044090.0,,,,220012969.0,,90384169.0,,-876963413.0,,,172189258.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262217600,123523.0,397799707.0,,265483468.0,,663001220.0,-622576863.0,,,,158910242.0,2447666759.0,428052163.0,,1674550122.0,1005431426.0,163526310.0,,1668432646.0,,172189258.0,,1825317921.0,1674550122.0,910189447.0,,63467626.0,,347710038.0,-44663348.0,,1668432646.0,,409312796.0,,,,397799707.0,0.0,-68722369.0,640133593.0,0.0,0.437,,397799707.0,6881218.0,0.44,2063790927.0,436653898.0,2384000.0,0.0,,,409312796.0,597739324.0,597739324.0,1794270.0,2069908403.0,663001220.0,2069908403.0,97444475.0,3738341049.0,115557710.0,,1005431426.0,,54800040.0,1825089896.0,,912068945.0,347710038.0,265483468.0,912068945.0,950798608.0,1825089896.0,6881218.0,278555368.0,0.0,,158910242.0,-622576863.0,1794270.0,,347710038.0,-420332278.0,,174343908.0,,,2063790927.0,3738341049.0,2447666759.0,63467626.0,,904114563.0,0.0,29331701.0,-267361208.0,495244182.0,90464169.0,,-156932610.0,,680034008.0,-115029058.0,,2776116529.0,,347710038.0,680034008.0,522746445.0,,90464169.0,,-1427517415.0,,,346949107.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277856000,,,,,,,,,,,,,,,1919645717.0,1279677853.0,,,1881796960.0,,,,,,,,70460244.0,,,,,,,545449705.0,,,,,0.0,,,0.0,,,,,,,,,,,,,529933407.0,,1725456.0,2216556148.0,602119107.0,,,,,,,,,1923388342.0,,1041579389.0,332616623.0,389210443.0,,,,181224759.0,,0.0,,0.0,,,,,,,,,,2178707391.0,4098353108.0,,,85139.0,,,,,,90652369.0,,,,,,,,,332531484.0,820607957.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293753600,715242.0,368946107.0,,557414488.0,,601957330.0,-777574108.0,,,,160496665.0,3050214142.0,598567583.0,,2359399683.0,1601197296.0,-335767519.0,,2203154626.0,,346949107.0,,2540131315.0,2359399683.0,927032871.0,,69980811.0,,389597471.0,-14339216.0,,2203154626.0,,647011913.0,,,,368946107.0,0.0,-112298218.0,591819095.0,0.0,0.398,,368946107.0,11085320.0,0.404,2531910613.0,626337067.0,274613156.0,0.0,,,647011913.0,530262883.0,530262883.0,1713636.0,2688155670.0,601957330.0,2688155670.0,91235087.0,4891310296.0,125648266.0,,1601197296.0,6136000.0,3014823.0,2272640034.0,,1321689469.0,389597471.0,557414488.0,1321689469.0,1062037455.0,2272640034.0,11085320.0,122450702.0,0.0,,160496665.0,-777574108.0,1713636.0,,389597471.0,-409832738.0,,40965624.0,,,2531910613.0,4891310296.0,3050214142.0,69980811.0,,912749023.0,0.0,5989635.0,-353611237.0,460181194.0,93673169.0,,-468969837.0,,980263434.0,-458218221.0,,3602168770.0,,389597471.0,980263434.0,463469872.0,,93673169.0,,-1288627857.0,,,389551782.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309392000,,,,,,,,,,,,,,,2489881383.0,1843245197.0,,,2565067450.0,,,,,,,,69064244.0,,,,,,,729249932.0,,,,,197842.0,,,0.0,,,,,,,,,,,,,649942541.0,,2815468.0,2879756489.0,721822253.0,,,,,,,,,2628036134.0,,1230415922.0,530017687.0,807672312.0,,,,173708554.0,,0.0,,0.0,,,,,,,,,,2954942556.0,5444823939.0,,,56139.0,,,,,,93745169.0,,,,,,,,,529961548.0,935192006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325289600,0.0,405714390.0,,801144261.0,,1244711380.0,-974831081.0,,,,184797092.0,3996871766.0,790865565.0,,3070752932.0,2080231954.0,-429056323.0,,3324943334.0,,389551782.0,,3468791744.0,3070752932.0,953045542.0,,74289746.0,,714611721.0,-82291090.0,,3324943334.0,,,,,,405714390.0,1292449.0,-112491212.0,721438843.0,0.0,0.426,,405714390.0,10445847.0,0.433,3392784901.0,813652007.0,4667040.0,1292449.0,,,,1151334272.0,1151334272.0,1662617.0,3138594499.0,1244711380.0,3138594499.0,116216462.0,6463537833.0,155525376.0,,2080231954.0,18183000.0,173672.0,3022040685.0,,1372221620.0,714611721.0,801144261.0,1372221620.0,1296507669.0,3022040685.0,10445847.0,321840650.0,0.0,,184797092.0,-974831081.0,1662617.0,,714611721.0,-50127069.0,,313736922.0,,,3392784901.0,6463537833.0,3996871766.0,74289746.0,,937275733.0,0.0,43982615.0,-193734609.0,521930852.0,93818369.0,,-820902526.0,,1209944172.0,-750896973.0,,4765299413.0,,714611721.0,1209944172.0,505642104.0,,93818369.0,,-1383974240.0,,,714611721.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341014400,,,,,,,,,,,,3391910931.0,,,3662566885.0,2325627687.0,,,3436425842.0,,,,,,,,91709053.0,,,,73500702.0,,,746812861.0,,,,,898318202.0,,,91709053.0,,,,,,,,,,,56597670.0,,994225873.0,,3080953.0,3854387897.0,1110798155.0,,,,,,,,,3391910931.0,,1346261921.0,1335846329.0,1171746491.0,,,,9889080.0,,2251859820.0,,86816465.0,,,,,,,,,,3628246854.0,7290813739.0,,,,,,,,,99986969.0,,,,,,,,,1335846329.0,1080113329.0,,2079191228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
