date,trailingOperatingIncome,annualTotalRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualResearchAndDevelopment,annualOtherCurrentAssets,trailingResearchAndDevelopment,annualOperatingIncome,annualCostOfRevenue,annualGainsLossesNotAffectingRetainedEarnings,annualAccountsPayable,annualTaxProvision,quarterlyRetainedEarnings,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,trailingTotalRevenue,quarterlyCurrentAssets,quarterlyCurrentLiabilities,annualEndCashPosition,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,annualNetOtherInvestingChanges,annualDilutedAverageShares,annualNetIncome,trailingTaxProvision,quarterlyTotalLiabilitiesNetMinorityInterest,trailingEndCashPosition,annualCashDividendsPaid,annualPretaxIncome,annualCurrentDebt,annualFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,annualAccountsReceivable,annualCurrentAssets,quarterlyLongTermDebt,annualDilutedEPS,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,annualTotalAssets,trailingPretaxIncome,annualLongTermDebt,annualStockholdersEquity,trailingNetIncomeCommonStockholders,trailingNetOtherInvestingChanges,annualNetIncomeCommonStockholders,annualDepreciationAndAmortization,annualCurrentLiabilities,quarterlyGoodwill,annualEbitda,quarterlyStockholdersEquity,annualRetainedEarnings,annualOtherShortTermInvestments,quarterlyInventory,annualOtherIntangibleAssets,quarterlyAccountsReceivable,annualCommonStockIssuance,quarterlyCashAndCashEquivalents,annualOperatingCashFlow,trailingOperatingCashFlow,annualCapitalStock,annualTotalNonCurrentAssets,annualGrossProfit,annualOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,annualNetPPE,trailingGrossProfit,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccumulatedDepreciation,annualCashFlowFromContinuingFinancingActivities,quarterlyNetPPE,annualCashCashEquivalentsAndMarketableSecurities,annualChangeInInventory,trailingRepaymentOfDebt,quarterlyCurrentDebt,trailingDepreciationAndAmortization,annualOtherNonCashItems,annualOtherNonCurrentLiabilities,annualPurchaseOfBusiness,annualBasicEPS,quarterlyCapitalStock,trailingChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentAssets,annualGrossPPE,trailingOtherNonCashItems,quarterlyOtherIntangibleAssets,trailingCapitalExpenditure,quarterlyOtherCurrentLiabilities,annualBeginningCashPosition,trailingOperatingExpense,annualInvestingCashFlow,annualOperatingExpense,trailingSellingGeneralAndAdministration,annualPurchaseOfInvestment,annualCapitalExpenditure,trailingInvestingCashFlow,annualNonCurrentDeferredTaxesLiabilities,annualNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingInterestExpense,quarterlyGrossPPE,trailingNetIncome,quarterlyNonCurrentDeferredRevenue,trailingBeginningCashPosition,quarterlyOtherShortTermInvestments,annualOtherCurrentLiabilities,trailingNetIncomeContinuousOperations,annualChangeInCashSupplementalAsReported,annualRepaymentOfDebt,annualChangeInWorkingCapital,trailingChangeInInventory,annualGoodwill,annualAccumulatedDepreciation,annualInventory,trailingChangeInWorkingCapital,annualInterestExpense,annualNetOtherFinancingCharges,annualBasicAverageShares,quarterlyCostOfRevenue,annualChangesInAccountReceivables,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,trailingPurchaseOfInvestment,quarterlySellingGeneralAndAdministration,trailingSaleOfInvestment,quarterlyNetOtherInvestingChanges,trailingNetOtherFinancingCharges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,trailingBasicEPS,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,trailingChangeInAccountPayable,quarterlyPretaxIncome,trailingRepurchaseOfCapitalStock,trailingCashDividendsPaid,quarterlyInterestExpense,annualSaleOfInvestment,quarterlyResearchAndDevelopment,trailingChangesInAccountReceivables,quarterlyTaxProvision,quarterlyEbitda,trailingDilutedAverageShares,trailingCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,trailingCommonStockIssuance,quarterlyIncomeTaxPayable,annualStockBasedCompensation,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,trailingOtherIncomeExpense,quarterlyCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,trailingDeferredIncomeTax,annualChangeInAccountPayable,annualIncomeTaxPayable,quarterlyCashDividendsPaid,trailingBasicAverageShares,annualDeferredIncomeTax,trailingPurchaseOfBusiness,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,trailingDilutedEPS,quarterlyOperatingExpense,quarterlyOperatingIncome,annualRepurchaseOfCapitalStock,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,trailingStockBasedCompensation,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,annualInvestmentsAndAdvances,quarterlyTotalRevenue,annualCurrentDeferredRevenue
2006-12-31,897127000.0,2086097216.292677,429255057.223687,,217149821.577831,302133000.0,302190851.604192,1347809882.337813,,896724031.055102,48069459.268308,,2407107752.523629,923025000.0,7807895000.0,,,93521870.378705,,4621308000.0,99493954.221051,174307439.72224,7524264.129107,980874000.0,174307439.72224,93766000.0,,2526582000.0,,222376898.990548,1056260690.542018,138899078.955828,,,1319392349.064489,1982973486.465634,,0.177565,7474129.106925,408148212.884974,,,3722244640.905292,981436000.0,413342201.183052,1315136888.381663,887670000.0,-149201000.0,174307439.72224,194520877.965666,1977852695.299942,,496711729.569858,,,,,3672891.725069,,0.0,,286241898.347586,1435662000.0,391053.173021,1739271154.439658,738287333.954864,,,1644505935.510834,3186587000.0,,,,,99493954.221051,-62476259.24259,-1515816000.0,,701924000.0,82736824.406867,,-45016236.417411,0.177565,,962216000.0,,,213584000.0,,-512637000.0,,147532329.775606,2289460000.0,-439598915.000321,436096482.350672,2054425000.0,-82658613.772263,-147342819.391757,-600129000.0,15912856.040635,,,,258729000.0,,887670000.0,,1564366000.0,,702893.010995,887670000.0,-56633523.757474,-935408214.1709,-82767908.12062,-142817000.0,3009104.031377,,345044263.164663,-59333000.0,,-23362920.336912,980874000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-31,,2430926934.544251,522118638.07621,,331823493.368761,,597958842.227563,1301352215.092704,,834602912.174241,44851925.026353,,2152341565.141563,,,,,375852911.394548,,,375900687.997086,478199761.993552,-10470570.324983,1160029068.0,478199761.993552,,,,,523051687.019905,780711841.306807,-434368007.950818,,,848232359.043542,2073540148.428944,,0.412587,64774768.284957,519736365.522176,,,4449864047.048323,,508783345.191166,2297522481.90676,,,478199761.993552,174821146.261705,1630222927.065353,,772779988.489268,,,,,5005301.713017,,772856805.771781,,337572611.207575,,11241553.538499,2376323898.619379,1129574719.451547,,,2201276047.694648,,,,,,375900687.997086,-187821066.13285,,,,60558248.911892,,0.0,0.412587,,,,,,,,,87374974.877981,,-812636916.560015,531615877.223985,,-118058795.261313,-771940619.158393,,13335292.885044,,,,,,,,,,3138267.029498,,260850881.899579,-1400382807.397851,-302568287.080947,,3022104.3096,,515392441.875675,,,2481572.943624,1160029068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,,3307047956.521739,405163246.446488,,251863898.062988,,572073432.761984,2048278781.493868,,1329498337.235229,90129316.959309,,2953003276.964883,,,,,143092540.691193,,,145700594.899666,378765722.75641,61405500.487737,1307832000.0,378765722.75641,,,,-179622909.698997,468895039.715719,1189429448.857302,-380633272.714604,,,,2139637282.678372,,0.28923,112985451.714047,706199796.544036,,,5432939684.085842,,373943199.832776,2479936407.120959,,,378765722.75641,222912911.440914,2547840030.518395,,794986344.202899,,,2852834.448161,,3464785.04738,,0.0,,610511854.93311,,10566053.511706,3293302401.407469,1258769175.027871,,,3052174494.216834,,,,,,148553429.347826,-155916207.636566,,,,85806920.568562,,,0.28923,,,,4037954708.19398,,,,,353268074.623746,,-918440993.938127,686695742.265886,,,-991145127.647715,,31220046.613712,,,,,,,,,,0.0,,-211133522.784281,-1070151031.772575,-5008309.364548,,3018369.286511,-985780213.977146,681502526.964883,,103178393.046265,-1649184.852285,1307832000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,,4088081954.145133,816003055.525898,,254137289.113515,,688388092.176523,2490931070.107232,,1694076026.026677,133764021.282714,,3756849882.69814,,,2835664831.618337,2940846827.172242,169476805.917897,816003055.525898,,169476805.917897,476713112.056293,1049495.569379,1307832000.0,476713112.056293,,3756849882.69814,,-158480874.570606,610477133.339007,1186286575.365694,-101451531.856374,3732483448.232909,6568148279.851247,,2835664831.618337,755354185.726333,0.364343,81477658.964658,888905138.27768,0.0,254137289.113515,6568148279.851247,,755354185.726333,2811298397.153107,,,476713112.056293,298047937.210514,2940846827.172242,3026104.254995,986436029.387037,2811298397.153107,,0.0,778953748.848503,4798448.702277,,,169476805.917897,653134902.077595,,10565391.63804,3732483448.232909,1597150884.0379,,60648869.799565,3511270560.811438,,169476805.917897,-1280204102.534841,,3511270560.811438,169476805.917897,-96781628.75236,,1186286575.365694,,80856061.75662,0.0,,0.364343,10565391.63804,,81477658.964658,4791474663.34628,,4798448.702277,,0.0,143083577.156769,,-750612085.779459,908762791.861377,,-908623.680871,-754586433.933969,,60648869.799565,,1694076026.026677,,,4791474663.34628,,,,0.0,0.0,,25372788.018754,-1010651026.572123,-252055906.960821,,3026104.254995,-1280204102.534841,778953748.848503,,,0.0,1307832000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,,,,,,,,,,,,,,,,3666570685.644524,3616493421.904662,,583243267.625171,,,,,,,,4199736689.529833,,,,,,3944831444.168441,7611402129.812966,,,501585117.148787,,,,0.0,0.0,,,,,,,,,,3048766.855816,,3411665440.283133,,,939418123.008218,,,,340020589.005027,,,,,,,81658150.476384,,,770398721.462571,,,3736882980.578596,,,,1819380044.880769,,,,,,10932181.78362,,0.0,,,6331919.689073,,0.0,,,,,,,,,,,1737939663.465515,,,,,,,430378132.457544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,,5541863192.967488,81587760.009046,,0.0,,1069625888.252293,3353303382.63407,,1677552919.250492,161175347.952063,,3833267126.006237,,,3976479275.488872,3751679365.997191,395479270.601115,81587760.009046,,395479270.601115,830200945.601211,-69221123.089515,1358122499.0,830200945.601211,,3833267126.006237,,-330237186.018752,991376293.553274,2002791805.666664,-357930237.269537,4211608151.934223,8188087427.423096,,3976479275.488872,,0.611491,0.0,1107047940.059439,0.0,0.0,8188087427.423096,,,4354820301.416859,,,830200945.601211,357189653.747859,3751679365.997191,3057783.286285,1426815542.000152,4354820301.416859,,325229511.941213,1063746388.003665,2786775.7375,,1030195142.129156,395479270.601115,569463560.245724,,11091708.325249,4211608151.934223,2188559810.333419,,81587760.009046,3963801576.445737,,720708782.542328,-1631782471.380792,,3963801576.445737,720708782.542328,-274761599.892582,,2002791805.666664,,71405375.754718,0.0,,0.611491,11091708.325249,,0.0,5595584047.826528,,2786775.7375,,0.0,164043937.289196,,-984613888.208606,1118933922.081126,,,-927393797.515261,,81587760.009046,,1677552919.250492,,,5595584047.826528,,,,325229511.941213,0.0,,225739913.662465,-1822092835.277172,-709890638.440852,,3057783.286285,-1631782471.380792,1063746388.003665,,,6964382.668762,1358122499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,,,,,,,,,,,,,,,,4482512818.976883,4471354699.500135,,83278929.420079,,,,,,,,4554633628.920214,,,,,,4466196740.090721,8948709559.067604,,,,,,,0.0,362731583.264157,,,,,,,,,,3032920.039578,,4394075930.14739,,,1292629190.640059,,,,571532497.809075,,,,,,,83278929.420079,,,571532497.809075,,,4258360240.909266,,,,2563738616.394032,,,,,,10820574.099536,,87366055.219028,,,1757563.860655,,0.0,,,,,,,,,,,1879692101.371095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,,5183778682.539887,1035825170.944023,,0.0,,250897407.188019,3703697076.245541,1189158063.664576,1054808773.194947,63868944.203356,1404370571.873753,5413016848.448949,,,4519741081.29338,4377191677.504926,767731967.498101,1035825170.944023,,1244787237.467324,84391079.361809,-189810933.33505,1418452790.0,84391079.361809,,5413016848.448949,,-221201536.886565,148260023.565165,2497836906.524846,-555795619.841096,5082861121.341283,9602602202.634663,1659983934.481116,4519741081.29338,763274997.102644,0.059408,405171548.604762,1202991910.581145,0.0,0.0,9602602202.634663,,763274997.102644,4189585354.185714,,,84391079.361809,367873658.524022,4377191677.504926,3026887.46668,641376411.656386,4189585354.185714,1404370571.873753,0.0,1244710351.288358,1863882.843787,1659983934.481116,0.0,1244787237.467324,411542580.192384,,10533406.518408,5082861121.341283,1480081606.294346,13187193.685051,61380259.989441,4563688411.862421,,1244787237.467324,-1968571065.068184,1113478593.043769,4563688411.862421,1244787237.467324,-240521819.668542,,2497836906.524846,,118007335.462354,0.0,,0.059408,10533406.518408,,405171548.604762,6532259476.930605,,1863882.843787,,1227750.878865,375572797.687266,,-1143419689.789716,1229184199.106327,,,-967338200.033481,,61380259.989441,,1054808773.194947,1189158063.664576,,6532259476.930605,,,,0.0,1227750.878865,,381601483.446438,-2391757450.068893,-156879368.891407,,3026887.46668,-1968571065.068184,1244710351.288358,,125242729.567199,-32192647.797365,1418452790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,,,,,,,,,,,,1608895077.205148,,,,4654902409.116394,4600708559.750211,,1499635480.212153,,,,,,,,6100344039.962364,,,,,,6359665283.783697,11014567692.900091,,,1300631879.184899,,,,0.0,0.0,,,,,,,,,,3034829.317334,,4914223652.937727,,,1217516926.648665,,2252498712.549381,,1192410685.952916,,,,,,,71191354.215672,,,1192410685.952916,,,5278586901.2251,,,,2415079440.423791,,,,,,13344226.530731,,969678000.560672,,,1293493.468496,,2011189.590838,,,,,,,,,,,986229303.478098,1111949158.509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,,5653764464.048999,959519040.398919,73229108.101972,1003595320.581687,,325864136.258795,3948940003.635219,,2667435443.010395,69517167.078177,1473861209.405646,8089788163.393938,,,5323047427.887729,7130269122.995018,520255508.459818,959519040.398919,,520255508.459818,130422792.019804,-520723325.755875,1513083000.0,130422792.019804,,8089788163.393938,,,199939959.097981,4240080984.859274,-1851669169.392436,7674143365.956135,12997190793.843864,1758187839.895562,5323047427.887729,483910694.15785,0.086156,779702471.770937,1346279944.473254,0.0,1003595320.581687,12997190793.843864,,483910694.15785,4907402630.449926,,,130422792.019804,434774579.399479,7130269122.995018,3035578.66805,807775535.500791,4907402630.449926,1473861209.405646,3563785.460156,1460305780.525907,2233606.160522,1758187839.895562,578997579.056339,520255508.459818,475737177.165974,,13099689.482891,7674143365.956135,1704824460.41378,,52256238.720888,6995715689.445481,,520255508.459818,-2379856636.859934,,6995715689.445481,520255508.459818,-209917914.231792,,4240080984.859274,,157171312.802989,0.0,,0.086156,13099689.482891,,779702471.770937,9375572326.305414,,2233606.160522,,2667435443.010395,763809566.797473,,-2810618938.141936,1378960324.154986,,,-2327406346.55841,,52256238.720888,83600802.750021,2667435443.010395,,,9375572326.305414,,83600802.750021,,3563785.460156,2667435443.010395,,-243836681.179163,-2335130565.699683,-181760305.207471,,3035578.66805,-2379856636.859934,1460305780.525907,,173060997.003331,0.0,1513083000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
