date,trailingNetIncomeContinuousOperations,annualNetIncomeContinuousOperations,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,trailingSellingGeneralAndAdministration,quarterlyGrossPPE,annualOperatingExpense,annualCapitalExpenditure,annualCashAndCashEquivalents,annualTaxProvision,trailingNetOtherFinancingCharges,annualInterestExpense,trailingCostOfRevenue,trailingBeginningCashPosition,annualTotalRevenue,annualCurrentAssets,trailingOperatingExpense,annualNetOtherFinancingCharges,annualOtherShortTermInvestments,annualCommonStockIssuance,annualBasicEPS,annualOtherNonCurrentAssets,annualAccumulatedDepreciation,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualNetIncomeCommonStockholders,annualEbitda,quarterlyCapitalStock,annualRepaymentOfDebt,quarterlyBasicEPS,annualOtherNonCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualDilutedAverageShares,trailingGrossProfit,annualNetOtherInvestingChanges,trailingInterestExpense,annualOtherCurrentLiabilities,annualCashCashEquivalentsAndMarketableSecurities,trailingPretaxIncome,trailingTotalRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,annualPretaxIncome,quarterlyCashAndCashEquivalents,annualEndCashPosition,trailingCapitalExpenditure,trailingOperatingIncome,quarterlyTotalAssets,annualOperatingIncome,annualDilutedEPS,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,annualGrossPPE,trailingChangeInCashSupplementalAsReported,annualAccountsPayable,trailingInvestingCashFlow,trailingEndCashPosition,quarterlyCurrentDebt,annualStockholdersEquity,annualOtherNonCashItems,quarterlyOtherNonCurrentAssets,annualPurchaseOfBusiness,annualChangeInInventory,annualNonCurrentDeferredTaxesLiabilities,annualDepreciationAndAmortization,annualInvestingCashFlow,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,annualPurchaseOfInvestment,trailingCashDividendsPaid,quarterlyNonCurrentDeferredTaxesLiabilities,annualOperatingCashFlow,trailingOperatingCashFlow,annualAccountsReceivable,quarterlyNetPPE,quarterlyInventory,annualCapitalStock,annualCurrentLiabilities,quarterlyAccountsReceivable,annualGrossProfit,annualStockBasedCompensation,annualGoodwill,annualNetPPE,annualSaleOfInvestment,annualInventory,annualOtherIntangibleAssets,annualChangeInWorkingCapital,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,trailingFreeCashFlow,quarterlyCurrentLiabilities,quarterlyCurrentAssets,annualRetainedEarnings,trailingNetIncome,trailingNetIncomeCommonStockholders,annualTotalLiabilitiesNetMinorityInterest,annualTotalAssets,quarterlyStockholdersEquity,quarterlyGoodwill,annualCashDividendsPaid,annualLongTermDebt,quarterlyOtherNonCurrentLiabilities,annualCurrentDebt,quarterlyAccumulatedDepreciation,annualCostOfRevenue,annualNetIncome,quarterlyOtherCurrentAssets,annualBasicAverageShares,annualOtherCurrentAssets,annualBeginningCashPosition,annualFreeCashFlow,annualSellingGeneralAndAdministration,annualTotalNonCurrentAssets,trailingTaxProvision,quarterlyDilutedEPS,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,annualCurrentAccruedExpenses,quarterlyCashDividendsPaid,trailingOtherIncomeExpense,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,trailingDeferredIncomeTax,quarterlyChangeInInventory,quarterlyNonCurrentDeferredRevenue,trailingOtherNonCashItems,quarterlyPurchaseOfInvestment,annualNonCurrentDeferredRevenue,trailingStockBasedCompensation,annualGainsLossesNotAffectingRetainedEarnings,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,trailingBasicEPS,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,trailingChangeInWorkingCapital,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,annualOtherIncomeExpense,trailingCommonStockIssuance,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,annualRepurchaseOfCapitalStock,annualChangesInAccountReceivables,trailingDilutedAverageShares,quarterlyNetIncome,quarterlyCurrentAccruedExpenses,trailingPurchaseOfInvestment,trailingResearchAndDevelopment,quarterlyChangeInAccountPayable,trailingDilutedEPS,trailingSaleOfInvestment,trailingChangeInInventory,quarterlyCommonStockIssuance,quarterlyEndCashPosition,annualIncomeTaxPayable,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,trailingRepaymentOfDebt,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,trailingRepurchaseOfCapitalStock,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,annualCurrentDeferredRevenue,quarterlyCostOfRevenue,trailingChangeInAccountPayable,quarterlyBeginningCashPosition,annualResearchAndDevelopment,annualInvestmentsAndAdvances,annualCashFlowFromContinuingFinancingActivities,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,trailingChangesInAccountReceivables,trailingBasicAverageShares,quarterlyIncomeTaxPayable,trailingPurchaseOfBusiness,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,trailingCashFlowFromContinuingFinancingActivities,trailingNetOtherInvestingChanges,annualDeferredIncomeTax,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,trailingDepreciationAndAmortization,quarterlyInterestExpense,quarterlyCapitalExpenditure
1970-01-01 00:00:01.561852800,2884000000.0,1614000000.0,23033000000,20050000000,2816000000.0,14372000000.0,8494000000.0,-3808000000.0,3462000000.0,777000000.0,80000000.0,83000000.0,70500000000.0,12273000000.0,56168000000.0,14202000000.0,21567000000.0,127000000.0,,0.0,0.19,0.0,-4448000000.0,338000000.0,1031000000.0,3659000000.0,1713000000,-1990000000.0,,87000000.0,551000000.0,5498615200.0,25385000000.0,7000000.0,-12000000.0,0.0,3462000000.0,4288000000.0,95885000000.0,3462000000,2391000000.0,3462000000,3281000000.0,-2833000000.0,3818000000.0,29853000000,2474000000.0,0.19,15651000000,2911000000,14372000000.0,506000000.0,20050000000.0,-2362000000.0,12779000000.0,2401000000,4403000000.0,33000000.0,0.0,,-2237000000.0,70000000.0,1185000000.0,-3743000000.0,181000000.0,0.0,,-1263000000.0,70000000,4898000000.0,4030000000.0,,9924000000,7383000000,1713000000.0,22695000000.0,,10968000000.0,,99000000.0,9924000000.0,,7383000000.0,2911000000.0,1968000000.0,338000000,,122000000.0,1197000000.0,22695000000,14202000000,122000000.0,2672000000.0,2672000000.0,23033000000.0,29853000000.0,4403000000,99000000,-315000000.0,181000000.0,87000000.0,2401000000.0,-4448000000.0,45200000000.0,1031000000.0,50000000.0,5498615200.0,50000000.0,2685000000.0,1090000000.0,8768000000.0,15651000000.0,1404000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,23555000000,18921000000,,,,,,,,,,,,,,,,,,,,,,,2395000000,,0.0,,,,,,,,,,,4772000000,,4772000000,,,,30402000000,,,17416000000,2704000000,,,,,,4256000000,,,9000000.0,,,,,,,0.0,,,32000000,,,,12194000000,4911000000,,,,,,,,,,,,170000000,,,,23385000000,12986000000,,,,,,6577000000,99000000,,,138000000.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1985000000.0,25829000000,25162000000,,18942000000.0,10951000000.0,-5360000000.0,7517000000.0,831000000.0,,90000000.0,,,68084000000.0,21592000000.0,,189000000.0,,7625000000.0,0.2,0.0,-5660000000.0,130000000.0,1600000000.0,4436000000.0,2721000000,-5336000000.0,,85000000.0,4231000000.0,7805626406.0,,-17000000.0,,0.0,7517000000.0,,,7517000000,2816000000.0,7517000000,7517000000.0,,,41346000000,2906000000.0,0.2,19754000000,3396000000,18942000000.0,,25162000000.0,,,199000000,15139000000.0,-2000000.0,0.0,,-2876000000.0,45000000.0,1530000000.0,-5263000000.0,0.0,0.0,,,45000000,5764000000.0,,,13282000000,10259000000,2721000000.0,25699000000.0,,13857000000.0,,99000000.0,13282000000.0,,10259000000.0,3396000000.0,2183000000.0,130000000,,836000000.0,,25699000000,21592000000,836000000.0,,,25829000000.0,41346000000.0,15139000000,99000000,-1546000000.0,0.0,85000000.0,199000000.0,-5660000000.0,54227000000.0,1600000000.0,67000000.0,7805626406.0,67000000.0,3281000000.0,404000000.0,11365000000.0,19754000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,21360000000,20531000000,,14405000000.0,,,,,,,,,,,,,,,,,,,,,2721000000,,0.0,,,,,,,,,,,5946000000,,5946000000,,,,37551000000,,,20317000000,3218000000,,,,,,405000000,,,0.0,,,,,,,0.0,,,69000000,,,,14405000000,6032000000,,,,,,,,,,,,154000000,,,,21206000000,17234000000,,,,,,15741000000,99000000,,,85000000.0,,,,,106000000.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2533000000.0,27227000000,14464000000,,26822000000.0,12902000000.0,-5132000000.0,5757000000.0,973000000.0,,12000000.0,,,77851000000.0,21496000000.0,,109000000.0,2070000000.0,0.0,0.25,208000000.0,-6756000000.0,149000000.0,2409000000.0,5470000000.0,0,-199000000.0,,0.0,-1760000000.0,9539704700.0,,0.0,,0.0,7827000000.0,,,7827000000,3506000000.0,5757000000,5757000000.0,,,44585000000,3248000000.0,0.25,23089000000,9000000,26822000000.0,,14464000000.0,,,402000000,16830000000.0,-258000000.0,208000000.0,,118000000.0,64000000.0,1952000000.0,-6862000000.0,,0.0,-14505000000.0,,64000000,5583000000.0,,395000000.0,20066000000,10141000000,0.0,27078000000.0,395000000.0,16150000000.0,6000000.0,99000000.0,20066000000.0,12502000000.0,10141000000.0,9000000.0,1288000000.0,149000000,2070000000.0,4063000000.0,,27078000000,21496000000,4063000000.0,,,27227000000.0,44585000000.0,16830000000,99000000,-777000000.0,,0.0,402000000.0,-6756000000.0,61701000000.0,2409000000.0,0.0,9539704700.0,0.0,7517000000.0,451000000.0,1796000000.0,23089000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,24699000000,12002000000,,21416000000.0,,,,,,,,,,,,,,,,,,,,,0,,0.0,,,,,,,,,,,7293000000,,7243000000,,,,42815000000,,,24541000000,10000000,,,,,,395000000,,,234000000.0,,,,,,,0.0,,,96000000,,,,21416000000,6149000000,,,523000000.0,,,,,,,,,185000000,50000000.0,4724000000.0,,24514000000,18274000000,,,,,,17494000000,99000000,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2942000000.0,30529000000,15951000000,,32798000000.0,14800000000.0,-6842000000.0,6271000000.0,1192000000.0,,13000000.0,,,86195000000.0,22123000000.0,,69000000.0,144000000.0,,0.29,3000000.0,-8487000000.0,163000000.0,2775000000.0,6368000000.0,0,0.0,,0.0,523000000.0,9539704700.0,,0.0,,0.0,6415000000.0,,,6415000000,4134000000.0,6271000000,6271000000.0,,,49910000000,3813000000.0,0.29,27787000000,9000000,32798000000.0,,15951000000.0,,,391000000,18748000000.0,-321000000.0,3000000.0,,-1127000000.0,113000000.0,2221000000.0,-5608000000.0,,0.0,-18667000000.0,,113000000,6994000000.0,,296000000.0,24311000000,11268000000,0.0,30366000000.0,296000000.0,18613000000.0,8000000.0,99000000.0,24311000000.0,19561000000.0,11268000000.0,9000000.0,2093000000.0,163000000,144000000.0,5749000000.0,,30366000000,22123000000,5749000000.0,,,30529000000.0,49910000000.0,18748000000,99000000,-915000000.0,,0.0,391000000.0,-8487000000.0,67582000000.0,2775000000.0,0.0,9539704700.0,0.0,5757000000.0,152000000.0,1966000000.0,27787000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,26537000000,12961000000,,24810000000.0,,,,,,,,,,,,,,,,,,,,,0,,0.0,,,,,,,,,,,5904000000,,5791000000,,,,45585000000,,,28283000000,11000000,,,,,,570000000,,,0.0,,,,,,,0.0,,,50000000,,,,24810000000,7246000000,,,215000000.0,,,,,,,,,100000000,113000000.0,5335000000.0,,26437000000,17302000000,,,,,,18336000000,99000000,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3042000000.0,31909000000,16192000000,,37010000000.0,17071000000.0,-5505000000.0,6249000000.0,1176000000.0,,15000000.0,,,91855000000.0,21443000000.0,,311000000.0,101000000.0,,0.3,0.0,-10477000000.0,75000000.0,2908000000.0,6839000000.0,0,-545000000.0,,0.0,-516000000.0,9539704700.0,,43000000.0,,0.0,6350000000.0,,,6350000000,4218000000.0,6249000000,5750000000.0,,,52443000000,3927000000.0,0.3,31000000000,34000000,37010000000.0,,16192000000.0,,,898000000,19673000000.0,-291000000.0,0.0,,107000000.0,25000000.0,2606000000.0,-4156000000.0,,0.0,-744000000.0,,25000000,5622000000.0,,274000000.0,26533000000,11161000000,0.0,31834000000.0,274000000.0,20998000000.0,4000000.0,99000000.0,26533000000.0,1782000000.0,11161000000.0,34000000.0,232000000.0,75000000,101000000.0,6352000000.0,,31834000000,21443000000,6352000000.0,,,31909000000.0,52443000000.0,19673000000,99000000,-2124000000.0,,0.0,898000000.0,-10477000000.0,70857000000.0,2908000000.0,0.0,9539704700.0,0.0,6271000000.0,117000000.0,2337000000.0,31000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,29386000000,13896000000,,26535000000.0,,,,,,,,,,,,,,,,,,,,,0,,0.0,,,,,,,,,,,7430000000,,7371000000,,,,50161000000,,,31194000000,43000000,,,,,,1668000000,,,0.0,,,,,,,0.0,,,57000000,,,,26535000000,7462000000,,,242000000.0,,,,,,,,,184000000,59000000.0,6605000000.0,,29202000000,18967000000,,,,,,19850000000,181000000,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
