date,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIntangibleAssets,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,annualOtherIntangibleAssets,annualGrossProfit,annualTotalNonCurrentAssets,trailingGrossProfit,annualNetPPE,annualBasicAverageShares,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedAverageShares,annualOperatingCashFlow,quarterlyCashAndCashEquivalents,annualEbitda,trailingRepaymentOfDebt,quarterlyCapitalStock,quarterlyRepaymentOfDebt,annualOtherIncomeExpense,quarterlyBeginningCashPosition,quarterlyTaxProvision,quarterlyNetPPE,annualChangeInInventory,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,annualGrossPPE,annualDilutedEPS,quarterlyAccumulatedDepreciation,trailingCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,trailingOtherNonCashItems,annualBeginningCashPosition,trailingOtherIncomeExpense,quarterlyNetOtherFinancingCharges,annualOtherNonCurrentLiabilities,annualDilutedAverageShares,quarterlyGrossPPE,trailingSellingGeneralAndAdministration,annualInvestmentsAndAdvances,annualOperatingExpense,quarterlySaleOfInvestment,trailingInvestingCashFlow,trailingDeferredIncomeTax,annualCapitalExpenditure,annualAccumulatedDepreciation,quarterlyOperatingCashFlow,annualDeferredIncomeTax,annualInvestingCashFlow,quarterlyOperatingIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyInterestExpense,trailingNetIncomeContinuousOperations,quarterlyCurrentDebt,quarterlyBasicEPS,trailingCapitalExpenditure,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,annualChangesInAccountReceivables,annualNonCurrentDeferredRevenue,trailingPurchaseOfInvestment,trailingOperatingExpense,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,annualStockBasedCompensation,annualChangeInCashSupplementalAsReported,quarterlyBasicAverageShares,annualNetOtherFinancingCharges,annualGoodwill,trailingInterestExpense,annualCashFlowFromContinuingFinancingActivities,trailingStockBasedCompensation,quarterlyStockBasedCompensation,annualInventory,trailingChangeInInventory,trailingNetOtherFinancingCharges,quarterlyEbitda,annualOtherCurrentLiabilities,trailingResearchAndDevelopment,annualTotalRevenue,annualInterestExpense,annualRepaymentOfDebt,annualPurchaseOfInvestment,trailingChangeInWorkingCapital,annualCapitalStock,annualOtherShortTermInvestments,annualFreeCashFlow,quarterlyCurrentLiabilities,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyCurrentAssets,annualChangeInAccountPayable,annualAccountsPayable,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingTotalRevenue,annualOtherCurrentAssets,trailingCostOfRevenue,annualResearchAndDevelopment,quarterlyOtherNonCashItems,trailingNetOtherInvestingChanges,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualEndCashPosition,quarterlyRetainedEarnings,annualOperatingIncome,trailingNetIncome,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,trailingEndCashPosition,quarterlyNetIncomeCommonStockholders,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,quarterlyTotalRevenue,trailingPretaxIncome,quarterlyPurchaseOfInvestment,trailingTaxProvision,quarterlyFreeCashFlow,trailingOperatingIncome,annualNetIncomeContinuousOperations,annualPretaxIncome,annualCurrentDebt,quarterlyTotalLiabilitiesNetMinorityInterest,annualCostOfRevenue,quarterlyDilutedEPS,annualNetIncome,annualSellingGeneralAndAdministration,trailingRepurchaseOfCapitalStock,annualSaleOfInvestment,annualOtherNonCurrentAssets,quarterlyOtherNonCurrentAssets,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualOtherNonCashItems,annualStockholdersEquity,quarterlyOtherNonCurrentLiabilities,annualCurrentAssets,annualRepurchaseOfCapitalStock,quarterlyOtherCurrentAssets,annualLongTermDebt,quarterlyOtherIncomeExpense,annualRetainedEarnings,quarterlyEndCashPosition,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyInvestingCashFlow,annualTotalAssets,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,annualTaxProvision,annualCurrentLiabilities,annualCurrentAccruedExpenses,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,annualNetIncomeCommonStockholders,quarterlyStockholdersEquity,trailingOperatingCashFlow,annualAccountsReceivable,trailingNetIncomeCommonStockholders,quarterlyLongTermDebt,trailingChangeInAccountPayable,annualBasicEPS,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyInventory,quarterlyChangeInInventory,quarterlyDepreciationAndAmortization,annualPurchaseOfBusiness,quarterlyCurrentDeferredRevenue,trailingCashDividendsPaid,quarterlyIncomeTaxPayable,trailingBasicAverageShares,trailingPurchaseOfBusiness,annualIncomeTaxPayable,trailingSaleOfInvestment,annualCommonStockIssuance,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCommonStockIssuance,trailingDilutedEPS,trailingChangesInAccountReceivables,annualDepreciationAndAmortization,annualCashDividendsPaid,quarterlyRepurchaseOfCapitalStock,trailingDilutedAverageShares,annualNonCurrentDeferredTaxesLiabilities,trailingCommonStockIssuance,annualCurrentDeferredRevenue,trailingDepreciationAndAmortization,trailingBasicEPS
1970-01-01 00:00:01.388448000,,,,,,1533000000.0,,1896000000.0,,181700000.0,,,452000000.0,,-1416000000.0,-7000000.0,,,-2457000000.0,,,,36000000.0,,-233000000.0,,-16.009906,,-444000000.0,,,1061000000.0,148000000.0,-1193000000.0,,,181700000.0,,280000000.0,,1518000000.0,,-468000000.0,15000000.0,-567000000.0,,,-10000000.0,-802000000.0,,,,,-853000000.0,,,-379000000.0,,,,,1116000000.0,-62000000.0,,-112000000.0,1020000000.0,,,33000000.0,65000000.0,,463000000.0,,121000000.0,429000000.0,30000000.0,,,137000000.0,-439000000.0,,,27000000.0,12573000000.0,305000000.0,-41000000.0,-242000000.0,-438000000.0,,,-115000000.0,,,,,219000000.0,,,307000000.0,,10433000000.0,,8537000000.0,86000000.0,,23000000.0,-330000000.0,,,213000000.0,,15000000.0,-1125000000.0,,,883000000.0,,7000000.0,,,-438000000.0,,415000000.0,,876000000.0,-2870000000.0,-2747000000.0,,,11040000000.0,,-2909000000.0,406000000.0,0.0,,,,,,686000000.0,,,,,,,,,,,,,,,,123000000.0,,,,,-2909000000.0,,686000000.0,,-1125000000.0,,-153000000.0,-16.009906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.419984000,266000000.0,,,,70000000.0,2599000000.0,15763000000.0,,11326000000.0,182400000.0,,,842000000.0,,1200000000.0,,,,-806000000.0,,,,-126000000.0,,,24268000000.0,-1.403509,,,,,,213000000.0,,,303000000.0,182400000.0,,,1777000000.0,1547000000.0,,,,-444000000.0,-12942000000.0,,-50000000.0,-338000000.0,,,,,,,,,,,,,,-91000000.0,93000000.0,,,,,39000000.0,53000000.0,,-409000000.0,160000000.0,,-444000000.0,,,1501000000.0,,,,453000000.0,,13147000000.0,309000000.0,-36000000.0,-145000000.0,,11915000000.0,,398000000.0,,-1316000000.0,,,110000000.0,1740000000.0,5607000000.0,,2872000000.0,,0.0,,95000000.0,,,-772000000.0,,,266000000.0,,1052000000.0,,,,,,223000000.0,266000000.0,,,,,,,-347000000.0,-63000000.0,29000000.0,,10548000000.0,,-256000000.0,383000000.0,,28000000.0,275000000.0,,,,878000000.0,10599000000.0,,2917000000.0,,,313000000.0,,,,,,,18680000000.0,,,284000000.0,2735000000.0,474000000.0,,,-256000000.0,,,474000000.0,,,,-1.403509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.427760000,,,412000000.0,,,,,,,,,182400000.0,,,,,,-9000000.0,,266000000.0,186000000.0,,,9000000.0,,,,,,-69000000.0,19000000.0,,,,27000000.0,,,,,,,,,,,,262000000.0,,,505000000.0,180000000.0,,70000000.0,,,0.910088,,-320000000.0,,21000000.0,65000000.0,,,,,,,,,,182400000.0,,,,,,11000000.0,,,,686000000.0,,,,,,,,,,,,,,,,,,,,,,,,35000000.0,,,,,,,,,,,,166000000.0,,,3105000000.0,,-11000000.0,,193000000.0,,,,,,,0.910088,,,,,,,166000000.0,226000000.0,,,,,,,,-23000000.0,,446000000.0,3000000.0,,-77000000.0,,2291000000.0,,,,,,84000000.0,,,,,,,,,,-132000000.0,814000000.0,309000000.0,,-78000000.0,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.435622400,,,17000000.0,,,,,,,,,,,,,,,-6000000.0,,446000000.0,47000000.0,,,-8000000.0,,,,,,-88000000.0,-345000000.0,,,,-340000000.0,,,,,,,,,,,,249000000.0,,,293000000.0,-131000000.0,,69000000.0,,,,,-159000000.0,,37000000.0,-83000000.0,,,,,,,,,,,,,,,,11000000.0,,,,286000000.0,,,,,,,,,,,,,,,,,,,,,,,,296000000.0,,,,,,,,,,,,-97000000.0,,,2964000000.0,,-13000000.0,,161000000.0,,,,,,,,,,,,,,-97000000.0,-30000000.0,,,,,,,,-207000000.0,,315000000.0,67000000.0,,-34000000.0,,2352000000.0,,,,,,82000000.0,,,,,,,,,,60000000.0,612000000.0,319000000.0,,88000000.0,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.443571200,,,14000000.0,,,,,,,,,182400000.0,,,,,,-5000000.0,,315000000.0,77000000.0,,,33000000.0,,,,,,-101000000.0,41000000.0,,,,49000000.0,,,,,,,,,,,,311000000.0,,,141000000.0,206000000.0,,69000000.0,,,-0.679825,,63000000.0,,14000000.0,1000000.0,,,,,,,,,,182400000.0,,,,,,9000000.0,,,,273000000.0,,,,,,,,,,,,,,,,,,,,,,,,-9000000.0,,,,,,,,,,,,-124000000.0,,,2679000000.0,,-12000000.0,,210000000.0,,,,,,,-0.679825,,,,,,,-124000000.0,-63000000.0,,,,,,,,-58000000.0,,521000000.0,0.0,,-113000000.0,,2239000000.0,,,,,,95000000.0,,,,,,,,,,-36000000.0,440000000.0,299000000.0,,82000000.0,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.451520000,557000000.0,53000000.0,-798000000.0,,53000000.0,2160000000.0,13847000000.0,,9390000000.0,181700000.0,557000000.0,,875000000.0,557000000.0,713000000.0,,11042000000.0,-4000000.0,-1025000000.0,521000000.0,92000000.0,9390000000.0,212000000.0,96000000.0,,22118000000.0,-3.3,-12728000000.0,,-133000000.0,123000000.0,,266000000.0,,126000000.0,233000000.0,181700000.0,22118000000.0,,1472000000.0,1202000000.0,,,,-391000000.0,-12728000000.0,53000000.0,86000000.0,-384000000.0,1000000.0,36000000.0,558000000.0,62000000.0,,18000000.0,,,-88000000.0,84000000.0,15000000.0,103000000.0,,130000000.0,84000000.0,,,1379000000.0,-1600000000.0,35000000.0,291000000.0,,-138000000.0,152000000.0,,-162000000.0,,4000000.0,1172000000.0,,,-550000000.0,558000000.0,,11199000000.0,270000000.0,-24000000.0,-63000000.0,,11042000000.0,,484000000.0,2404000000.0,-1600000000.0,,2566000000.0,-156000000.0,1379000000.0,4900000000.0,,2496000000.0,,0.0,,69000000.0,702000000.0,,-504000000.0,,2496000000.0,557000000.0,,958000000.0,,13847000000.0,16413000000.0,,-826000000.0,70000000.0,557000000.0,2451000000.0,,-27000000.0,,-80000000.0,,-739000000.0,-337000000.0,18000000.0,4900000000.0,9039000000.0,,-863000000.0,353000000.0,,,167000000.0,167000000.0,-826000000.0,-890000000.0,1024000000.0,9442000000.0,233000000.0,2566000000.0,,0.0,207000000.0,-737000000.0,,557000000.0,0.0,380000000.0,-160000000.0,16413000000.0,2157000000.0,405000000.0,402000000.0,2404000000.0,405000000.0,152000000.0,92000000.0,-863000000.0,9442000000.0,,380000000.0,,207000000.0,,-3.3,1472000000.0,-48000000.0,294000000.0,293000000.0,1172000000.0,120000000.0,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.459382400,,,-190000000.0,-13000000.0,,,,,,,359000000.0,182400000.0,,359000000.0,,,11155000000.0,-4000000.0,,557000000.0,18000000.0,9519000000.0,,-23000000.0,,,,,,-86000000.0,247000000.0,,,,252000000.0,,,,,,,,,,,,-359000000.0,,,-3000000.0,-198000000.0,478000000.0,64000000.0,,20000000.0,-1.112939,,-443000000.0,,11000000.0,,,,,,,1261000000.0,-1457000000.0,,,182400000.0,,,,,,8000000.0,,,,51000000.0,,,,,,,,,,,2194000000.0,,,2481000000.0,,,,,,,,,,90000000.0,,,,2389000000.0,,,,,13922000000.0,16403000000.0,,-203000000.0,,,2129000000.0,,-3000000.0,,-445000000.0,,,,,4583000000.0,,-1.112939,,,,,,1264000000.0,-203000000.0,-208000000.0,,,522000000.0,,,0.0,,-123000000.0,,359000000.0,-14000000.0,434000000.0,-103000000.0,,1859000000.0,287000000.0,,,,153000000.0,85000000.0,,9698000000.0,,,,216000000.0,,,1484000000.0,-152000000.0,270000000.0,273000000.0,1203000000.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.467244800,,,56000000.0,0.0,,,,,,,332000000.0,182400000.0,,332000000.0,,,10229000000.0,-6000000.0,,359000000.0,68000000.0,9569000000.0,,-1000000.0,,,,,,-86000000.0,3000000.0,,,,9000000.0,,,,,,,,,,,,-92000000.0,,,107000000.0,-27000000.0,477000000.0,66000000.0,,22000000.0,-0.301535,,-318000000.0,,7000000.0,,,,,,,1277000000.0,-1456000000.0,,,182400000.0,,,,,,10000000.0,,,,300000000.0,,,,,,,,,,,3039000000.0,,,2386000000.0,,,,,,,,,,91000000.0,,,,2382000000.0,,,,,13988000000.0,16374000000.0,,-55000000.0,,,2323000000.0,,0.0,,-178000000.0,,,,,5421000000.0,,-0.301535,,,,,,1495000000.0,-55000000.0,-12000000.0,,,570000000.0,,,0.0,,15000000.0,,332000000.0,0.0,426000000.0,60000000.0,,1941000000.0,291000000.0,,,,155000000.0,90000000.0,,8773000000.0,,,,233000000.0,,,1376000000.0,19000000.0,382000000.0,275000000.0,1166000000.0,31000000.0,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.475193600,,,106000000.0,,,,,,,,241000000.0,182467761.0,,241000000.0,,,11458000000.0,-6000000.0,,332000000.0,92000000.0,9609000000.0,,-102000000.0,,,,-13536000000.0,,-86000000.0,-35000000.0,,,,-30000000.0,,,23145000000.0,,,,0.0,,,,,-99000000.0,,,84000000.0,-91000000.0,390000000.0,67000000.0,,21000000.0,-0.032883,,-186000000.0,,8000000.0,34000000.0,,,,,,1252000000.0,-4478000000.0,,,182467761.0,,,,,,6000000.0,,,,354000000.0,,,,,,,,,,,2206000000.0,,,3622000000.0,,,,,,,,,,-60000000.0,,,,5973000000.0,,-4478000000.0,,,13683000000.0,17305000000.0,,-6000000.0,,,2329000000.0,,0.0,,-185000000.0,,,,,8179000000.0,,-0.032883,,,,,,1534000000.0,-6000000.0,14000000.0,,,614000000.0,,,0.0,,89000000.0,,241000000.0,124000000.0,530000000.0,38000000.0,,1964000000.0,433000000.0,,,,155000000.0,92000000.0,,6980000000.0,,,,1457000000.0,,,1362000000.0,-42000000.0,365000000.0,281000000.0,1192000000.0,-7000000.0,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.483142400,853000000.0,135000000.0,-123000000.0,,135000000.0,1420000000.0,13553000000.0,,9325000000.0,182538152.0,853000000.0,182688806.0,-311000000.0,853000000.0,799000000.0,,2000000.0,-18000000.0,-229000000.0,241000000.0,6000000.0,9325000000.0,43000000.0,-108000000.0,,22550000000.0,-2.19,-13225000000.0,,-146000000.0,-698000000.0,,557000000.0,,-686000000.0,603000000.0,182538152.0,22550000000.0,,1358000000.0,1110000000.0,0.0,,,-404000000.0,-13225000000.0,239000000.0,-45000000.0,1077000000.0,133000000.0,612000000.0,746000000.0,46000000.0,,21000000.0,-0.68,,30000000.0,76000000.0,7000000.0,-52000000.0,,-223000000.0,76000000.0,,,1472000000.0,-3761000000.0,28000000.0,296000000.0,182688806.0,-455000000.0,155000000.0,,-483000000.0,,4000000.0,1160000000.0,,,105000000.0,746000000.0,,9318000000.0,243000000.0,-34000000.0,-3000000.0,,2000000.0,,-715000000.0,2842000000.0,-3761000000.0,,3181000000.0,6000000.0,1472000000.0,9044000000.0,,6202000000.0,,0.0,,33000000.0,181000000.0,,-907000000.0,,6202000000.0,853000000.0,-104000000.0,310000000.0,,13553000000.0,16734000000.0,,-125000000.0,1338000000.0,853000000.0,2537000000.0,,0.0,,93000000.0,,-346000000.0,-162000000.0,21000000.0,9044000000.0,7898000000.0,-0.68,-400000000.0,359000000.0,,146000000.0,1661000000.0,1661000000.0,-125000000.0,-129000000.0,296000000.0,5648000000.0,603000000.0,3181000000.0,,0.0,1424000000.0,-210000000.0,-104000000.0,853000000.0,1228000000.0,668000000.0,1082000000.0,16734000000.0,2123000000.0,456000000.0,184000000.0,2842000000.0,456000000.0,155000000.0,92000000.0,-400000000.0,5648000000.0,,668000000.0,,1424000000.0,,-2.19,1358000000.0,181000000.0,414000000.0,281000000.0,1160000000.0,-24000000.0,,,,,,,,,,,,,,,,,,,,,,,
