,annualOperatingCashFlow,annualCapitalStock,quarterlyOperatingExpense,trailingOtherIncomeExpense,annualOtherIntangibleAssets,quarterlyPretaxIncome,quarterlyRepaymentOfDebt,quarterlyOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfBusiness,annualInventory,quarterlyTaxProvision,quarterlyNetPPE,annualGrossProfit,quarterlyBeginningCashPosition,annualCurrentLiabilities,annualOtherIncomeExpense,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,annualTotalNonCurrentAssets,annualNetPPE,quarterlyCashAndCashEquivalents,annualEbitda,quarterlyCurrentDebt,annualGrossPPE,quarterlyCapitalExpenditure,quarterlyInterestExpense,annualPurchaseOfBusiness,annualOtherNonCurrentLiabilities,quarterlyChangesInAccountReceivables,annualChangeInInventory,quarterlyNetOtherFinancingCharges,annualBeginningCashPosition,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlySaleOfInvestment,trailingOperatingExpense,annualInvestingCashFlow,quarterlyOperatingCashFlow,annualChangesInAccountReceivables,quarterlyGrossPPE,annualInterestExpense,quarterlyIncomeTaxPayable,annualNonCurrentDeferredTaxesLiabilities,annualPretaxIncome,quarterlyChangeInWorkingCapital,annualIncomeTaxPayable,annualAccumulatedDepreciation,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,trailingNetIncomeContinuousOperations,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,annualOtherCurrentLiabilities,quarterlyEbitda,annualNetOtherFinancingCharges,annualGoodwill,annualCashFlowFromContinuingFinancingActivities,trailingInterestExpense,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,trailingGrossProfit,annualPurchaseOfInvestment,trailingOperatingIncome,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualCostOfRevenue,annualAccountsPayable,annualTotalRevenue,annualOperatingIncome,trailingTotalRevenue,quarterlySellingGeneralAndAdministration,annualBasicAverageShares,trailingCostOfRevenue,annualOtherShortTermInvestments,annualFreeCashFlow,annualEndCashPosition,quarterlyCurrentAssets,quarterlyCashDividendsPaid,annualCommonStockIssuance,quarterlyCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingTaxProvision,quarterlyRetainedEarnings,annualOtherCurrentAssets,quarterlyOtherNonCashItems,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,annualCashAndCashEquivalents,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,annualNetOtherInvestingChanges,quarterlyOperatingIncome,quarterlyTotalNonCurrentAssets,trailingNetIncome,quarterlyNetIncomeCommonStockholders,annualInvestmentsAndAdvances,trailingPretaxIncome,quarterlyTotalAssets,annualTotalLiabilitiesNetMinorityInterest,annualCurrentDebt,quarterlyDilutedAverageShares,annualNetIncome,annualCurrentDeferredRevenue,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,trailingSellingGeneralAndAdministration,annualNetIncomeContinuousOperations,annualGainsLossesNotAffectingRetainedEarnings,annualBasicEPS,annualOperatingExpense,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualLongTermDebt,annualCashDividendsPaid,annualDilutedAverageShares,annualSaleOfInvestment,annualRepurchaseOfCapitalStock,quarterlyOtherCurrentAssets,annualOtherNonCurrentAssets,quarterlyBasicEPS,annualCurrentAssets,quarterlyOtherNonCurrentLiabilities,annualSellingGeneralAndAdministration,annualOtherNonCashItems,quarterlyBasicAverageShares,trailingNetIncomeCommonStockholders,annualDepreciationAndAmortization,annualNetIncomeCommonStockholders,quarterlyStockholdersEquity,quarterlyGoodwill,annualStockholdersEquity,quarterlyAccountsReceivable,quarterlyNetOtherInvestingChanges,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualTotalAssets,annualTaxProvision,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyGrossProfit,quarterlyChangeInInventory,quarterlyLongTermDebt,annualDilutedEPS,annualRetainedEarnings,annualAccountsReceivable,annualCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,annualResearchAndDevelopment,trailingBasicAverageShares,quarterlyNonCurrentDeferredRevenue,trailingStockBasedCompensation,trailingDeferredIncomeTax,quarterlyCommonStockIssuance,trailingFreeCashFlow,trailingRepurchaseOfCapitalStock,trailingChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,trailingCapitalExpenditure,trailingRepaymentOfDebt,trailingCashDividendsPaid,trailingChangeInInventory,trailingChangesInAccountReceivables,trailingPurchaseOfBusiness,trailingOtherNonCashItems,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingOperatingCashFlow,trailingNetOtherFinancingCharges,annualStockBasedCompensation,trailingBasicEPS,trailingResearchAndDevelopment,trailingDepreciationAndAmortization,quarterlyDeferredIncomeTax,trailingCommonStockIssuance,trailingEndCashPosition,annualNonCurrentDeferredRevenue,trailingSaleOfInvestment,trailingPurchaseOfInvestment,trailingBeginningCashPosition,trailingChangeInAccountPayable,trailingInvestingCashFlow,trailingChangeInWorkingCapital,quarterlyResearchAndDevelopment,trailingCashFlowFromContinuingFinancingActivities,annualDeferredIncomeTax,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891302400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.319437,,96752301612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96752301612.0,,,96752301612.0,,,6834706677.0,,,,,,128184149.0,,,,,,,,,,6834706677.0,6834706677.0,,,,,,,,53.319437,,,,,128184149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899164800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.319437,,96752301612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96752301612.0,,,96752301612.0,,,6834706677.0,,,,,,128184149.0,,,,,,,,,,6834706677.0,6834706677.0,,,,,,,,53.319437,,,,,128184149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907113600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.319437,,96752301612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96752301612.0,,,96752301612.0,,,6834706677.0,,,,,,128184149.0,,,,,,,,,,6834706677.0,6834706677.0,,,,,,,,53.319437,,,,,128184149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915062400,80222975535.0,0.0,,,65584100241.0,,,65584100241.0,57925350915.0,,22249151523.0,,255647113578.0,205477458183.0,,85942800981.0,7852641714.0,0.0,57925350915.0,362287926978.0,255647113578.0,8531265072.0,87736305570.0,8143480296.0,430053316584.0,,,,31410566856.0,,-96946194.0,,32137663311.0,-174406203006.0,,41056713159.0,,,-51575375208.0,,,430053316584.0,15172079361.0,,1308773619.0,54774599610.0,,,-174406203006.0,36209403459.0,37033446108.0,,,41589917226.0,,,41589917226.0,-241008238284.0,-96946194.0,,-17450314920.0,,,11197285407.0,-48618516291.0,,,,205719823668.0,,211051864338.0,36209403459.0,416529322521.0,49248666552.0,,,127432777.0,,49394085843.0,31604459244.0,43334948718.0,297430923192.0,,,85942800981.0,,205719823668.0,,155453222079.0,162045563271.0,,-2666020335.0,49394085843.0,8531265072.0,126272417685.0,,-20940377904.0,-241008238284.0,362287926978.0,,25206010440.0,,,659718850170.0,291662624649.0,8143480296.0,,45710130471.0,,,291662624649.0,,45710130471.0,37033446108.0,358.699948,156228791631.0,25206010440.0,25206010440.0,173000483193.0,-16674745368.0,127432777.0,,,162045563271.0,41056713159.0,,297430923192.0,31410566856.0,117741152613.0,193892388.0,,,38487639018.0,45710130471.0,358458552315.0,,358458552315.0,,,,,,,659718850170.0,9064469139.0,,,,22249151523.0,,,173000483193.0,358.699948,155453222079.0,,,,1308773619.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922838400,,,27259545792.0,,,6186563584.0,,62977283984.0,,,,2706621568.0,248477526448.0,,0.0,,,,210923152192.0,,,210923152192.0,,11696471776.0,,,3866602240.0,,,,,,,-180183664384.0,,41614306608.0,,,,0.0,,428661190832.0,,,,,,,,34074432240.0,199951668336.0,,,22909618272.0,,28.999517,,11744804304.0,,,,,,,,,,,,,,,,,,26292895232.0,,,,,,288351862048.0,,,68680522288.0,,205026583776.0,,158482359312.0,,,,,,97970034256.0,,,10778153744.0,353069117040.0,,3479942016.0,,,641420979088.0,,,120000000.0,,,0.0,273707106064.0,,,,,,3479942016.0,3479942016.0,,,,,,17834702832.0,,28.999517,,33301111792.0,,,120000000.0,,,,358482360176.0,,,,,59932334720.0,,0.0,0.0,,,,,-3721604656.0,20154664176.0,38037699536.0,,171725471984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930700800,,,26566545807.0,,,4350077676.0,,66183324642.0,,,,2433972033.0,256447436328.0,,0.0,,,,223770067119.0,,,223770067119.0,,13050233028.0,,,3883997925.0,,,,,,,-196737441561.0,,44743656096.0,,,,0.0,,453184877889.0,,,,,,,,29621957508.0,198239254092.0,,,17711030538.0,,15.535992,,3055411701.0,,,,,,,,,,,,,,,,,,25530813027.0,,,,,,291610564209.0,,,60383221074.0,,219109269609.0,,171465561729.0,,,,,,77990678334.0,,,2019678921.0,367374417066.0,,1916105643.0,,,658984981275.0,,,123333333.0,,,0.0,279492490683.0,,,,,,1916105643.0,1916105643.0,,,,,,15794924895.0,,15.535992,,34748834769.0,,,123333333.0,,,,369704815821.0,,,,,49404453606.0,,0.0,0.0,,,,,2485758672.0,18798549957.0,28586224728.0,,184360434840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938649600,,,27963848986.0,,,8878256237.0,,66826156227.0,,,,2551834128.0,259595959313.0,,0.0,,,,232908027391.0,,,232908027391.0,,19883040914.0,,,4306220091.0,,,,,,,-208080807854.0,,34875066416.0,,,,0.0,,467676767167.0,,,,,,,,33120680453.0,200691121525.0,,,15842636878.0,,47.84689,,5050505045.0,,,,,,,,,,,,,,,,,,26900584766.0,,,,,,309835193708.0,,,68846358245.0,,209356724918.0,,182243487308.0,,,,,,85326953655.0,,,3987240825.0,361297181956.0,,6326422109.0,,,671132375664.0,,,132222222.0,,,0.0,278203083163.0,,,,,,6326422109.0,6326422109.0,,,,,,16693248254.0,,47.84689,,20627325868.0,,,132222222.0,,,,382934608833.0,,,,,53375863844.0,,0.0,0.0,,,,,5263157889.0,22488038253.0,31951089811.0,,188729399050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946598400,65328216645.15,0.0,67861550156.95,,66773425765.05,12738969542.6,,66773425765.05,18101641262.22,,24741662504.31,-2670245906.66,257059822599.18,184876126795.53,0.0,81581790128.04,2784012733.17,0.0,18101641262.22,356228696017.08,257059822599.18,7637903729.64,76637375043.84,13904711627.58,472155642658.26,,4608049413.26,,19002647094.48,,-2682901032.84,,43285336592.58,-215095820059.08,,32395447652.85,,,-8142403470.03,65328216645.15,,472155642658.26,16782424732.26,,,32249867979.6,,,-215095820059.08,43070937437.43,28919534436.27,,,24606141063.03,,,24606141063.03,56648007707.84,4481207032.95,,-11139756597.09,,,46046056578.03,-33123875399.73,,,,206743252478.94,,200059822025.19,43070937437.43,384935948820.72,32697723992.58,,27058528554.69,126712000.0,,10463737532.58,32204341245.42,89331393170.61,333647965244.43,,,81581790128.04,,206743252478.94,,196735841049.42,238672845177.39,,-9660137736.24,10463737532.58,7637903729.64,116408570059.72,,11708311393.71,15844986105.58,356228696017.08,,15409215449.26,,,689876661261.51,288325042606.98,13904711627.58,,27158285080.26,,32204341245.42,288325042606.98,,27158285080.26,28919534436.27,195.868716,152178402802.95,15409215449.26,15409215449.26,187740605384.46,-19687136249.07,126712000.0,,,238672845177.39,32395447652.85,,333647965244.43,19002647094.48,108238751751.69,3890418249.87,,,43939651051.26,27158285080.26,391401803835.54,,391401803835.54,,,32702033797.19,,-8142403470.03,89331393170.61,689876661261.51,5091582899.34,,,-1203228091.83,24741662504.31,83706536262.53,,187740605384.46,195.868716,196735841049.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954460800,,,27969924654.0,,,7468671637.0,,95900751337.86,,,,1604010016.0,251733833164.17,,0.0,,,,200112780824.25,,,200112780824.25,,18490225459.44,,,4912280674.0,,,,,,,-227679196708.6,,34546365719.6,,,,0.0,,479413029872.77,,,,,,,,27986967260.42,,,,21522806895.94,,45.112782,,12380952311.0,,,,,,,,,,,,,,,,,,27218044959.0,,,,,,280383958315.58,,,67999999615.8,,197476690613.58,,192147367335.42,,,,,,100902255069.0,,,11629072616.0,382180950221.63,,5864661621.0,,,662564908537.21,,,126717000.0,,,0.0,265476690229.38,,,,,,5864661621.0,5864661621.0,,,,,,18756892124.6,,45.112782,,19597493623.61,,,126717000.0,,,,387390975254.85,,,,,61303257799.0,,0.0,0.0,,,,,-3157894719.0,20647117677.83,39598997270.0,,177879196989.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
