,annualTotalNonCurrentAssets,quarterlyOperatingExpense,trailingGrossProfit,annualOtherIntangibleAssets,annualNetPPE,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIncomeExpense,annualOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,annualBasicEPS,annualGrossProfit,annualEbitda,trailingRepaymentOfDebt,quarterlyCapitalStock,annualCashFlowFromContinuingFinancingActivities,quarterlyBeginningCashPosition,quarterlyTaxProvision,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyDilutedAverageShares,quarterlyPretaxIncome,trailingChangeInCashSupplementalAsReported,annualChangeInInventory,trailingCashFlowFromContinuingFinancingActivities,annualGrossPPE,quarterlyInterestExpense,trailingDepreciationAndAmortization,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,trailingOtherNonCashItems,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,annualBeginningCashPosition,annualPurchaseOfBusiness,trailingOtherIncomeExpense,annualOtherNonCurrentLiabilities,quarterlyOtherIntangibleAssets,quarterlyGrossPPE,trailingOperatingExpense,trailingSellingGeneralAndAdministration,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,annualDeferredIncomeTax,annualInvestingCashFlow,annualOperatingExpense,quarterlySaleOfInvestment,trailingCapitalExpenditure,quarterlyBasicEPS,quarterlyChangeInCashSupplementalAsReported,trailingInvestingCashFlow,quarterlyOperatingCashFlow,annualAccumulatedDepreciation,trailingDeferredIncomeTax,annualCapitalExpenditure,annualChangesInAccountReceivables,trailingPurchaseOfInvestment,quarterlyResearchAndDevelopment,trailingCashDividendsPaid,annualDilutedAverageShares,annualDilutedEPS,trailingNetIncomeContinuousOperations,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,trailingNetIncome,annualNonCurrentDeferredTaxesLiabilities,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,annualNonCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyEbitda,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,annualNetOtherFinancingCharges,trailingStockBasedCompensation,quarterlyCommonStockIssuance,annualInventory,quarterlyOtherShortTermInvestments,annualChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,annualInterestExpense,annualRepaymentOfDebt,trailingChangeInWorkingCapital,trailingResearchAndDevelopment,annualPurchaseOfInvestment,annualTotalRevenue,annualCapitalStock,annualGoodwill,annualStockBasedCompensation,quarterlyCurrentLiabilities,trailingFreeCashFlow,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,annualOperatingIncome,quarterlyCurrentAssets,annualOtherShortTermInvestments,quarterlyDepreciationAndAmortization,quarterlyOtherNonCashItems,annualResearchAndDevelopment,annualChangeInAccountPayable,quarterlySellingGeneralAndAdministration,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualTaxProvision,annualTotalLiabilitiesNetMinorityInterest,annualOtherCurrentAssets,quarterlyRetainedEarnings,annualEndCashPosition,trailingTotalRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,quarterlyTotalRevenue,trailingEndCashPosition,annualCashAndCashEquivalents,trailingPretaxIncome,trailingTaxProvision,annualNetIncomeContinuousOperations,annualNetOtherInvestingChanges,quarterlyPurchaseOfInvestment,quarterlyBasicAverageShares,annualPretaxIncome,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,annualCostOfRevenue,trailingOperatingIncome,annualInvestmentsAndAdvances,annualNetIncome,annualCurrentDebt,annualFreeCashFlow,quarterlyTotalNonCurrentAssets,annualCashDividendsPaid,quarterlyNetIncome,annualOtherNonCurrentAssets,quarterlyNetIncomeContinuousOperations,trailingSaleOfInvestment,quarterlyOtherNonCurrentAssets,annualSellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,annualLongTermDebt,annualCurrentAssets,annualOtherNonCashItems,annualTotalAssets,quarterlyOtherCurrentAssets,annualRepurchaseOfCapitalStock,annualStockholdersEquity,quarterlyGoodwill,annualNetIncomeCommonStockholders,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyCostOfRevenue,annualDepreciationAndAmortization,quarterlyCurrentAccruedExpenses,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,annualRetainedEarnings,annualCurrentLiabilities,annualCurrentAccruedExpenses,quarterlyLongTermDebt,quarterlyDilutedEPS,quarterlyNonCurrentDeferredTaxesLiabilities,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyInvestmentsAndAdvances,annualSaleOfInvestment,quarterlyInvestingCashFlow,quarterlyGrossProfit,annualCommonStockIssuance,quarterlyEndCashPosition,annualBasicAverageShares,trailingChangeInInventory,annualIncomeTaxPayable,quarterlyCurrentDeferredRevenue,trailingPurchaseOfBusiness,annualCurrentDeferredRevenue,quarterlyChangesInAccountReceivables,trailingBasicAverageShares,trailingRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,trailingBasicEPS,trailingNetOtherInvestingChanges,quarterlyChangeInInventory,trailingChangesInAccountReceivables,quarterlyIncomeTaxPayable,trailingDilutedEPS,trailingDilutedAverageShares,trailingInterestExpense,trailingCommonStockIssuance,trailingChangeInAccountPayable
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307497600,1360100000.0,,,,1180300000.0,661200000.0,99400000.0,0.0,,,1.33,799200000.0,426100000.0,,,,,,,,,,,,,,2029000000.0,,,,,,,,,0.0,,,171700000.0,,,,,,,,0.0,511200000.0,,,,,,,-848700000.0,,,,,,,66404000.0,1.26,,,,,118800000.0,,,,,,,,1229200000.0,,,,,363400000.0,,,,70100000.0,,,,,6473900000.0,,,,,,,,288000000.0,,,,,,,,,889500000.0,,131000000.0,2145700000.0,28600000.0,,0.0,,,,,,661200000.0,,,186400000.0,,,,317400000.0,,,,,5674700000.0,,,186400000.0,27000000.0,0.0,,,,179800000.0,,,,373100000.0,,599000000.0,1753100000.0,,3113200000.0,,,967500000.0,,176300000.0,,,,,,,,,,835300000.0,1256200000.0,,,,,,,,,,,,,66404000.0,,,,,,,,,,,,,,,,,,,
339120000,1495100000.0,,,,1243200000.0,649300000.0,154400000.0,0.0,,,1.625,841600000.0,421500000.0,,,,,,,,,,,,,,2157500000.0,,,,,,,,,0.0,,,342800000.0,,,,,,,,0.0,551600000.0,,,,,,,-914300000.0,,,,,,,54792000.0,1.61,,,,,123500000.0,,,,,,,,1328100000.0,,,,,339700000.0,,,,88700000.0,,,,,8119400000.0,,,,,,,,290000000.0,,,,,,,,,1095400000.0,,159100000.0,2450400000.0,23800000.0,,0.0,,,,,,649300000.0,,,196500000.0,,,,355600000.0,,,,,7277800000.0,,,196500000.0,26900000.0,0.0,,,,251900000.0,,,,420100000.0,,629100000.0,1862500000.0,,3357600000.0,,,907200000.0,,177800000.0,,,,,,,,,,786900000.0,1355000000.0,,,,,,,,,,,,,54792000.0,,,,,,,,,,,,,,,,,,,
370656000,2255200000.0,,,154800000.0,1502500000.0,396700000.0,220800000.0,0.0,,,0.555,808500000.0,187800000.0,,,,,,,,,,,,,,2533900000.0,,,,,,,,,0.0,,,512100000.0,,,,,,,,0.0,773800000.0,,,,,,,-1031400000.0,,,,,,,53604000.0,0.4,,,,,206300000.0,,,,,,,,1579600000.0,,,,,451100000.0,,,,97700000.0,,,,,9262100000.0,,,,,,,,34700000.0,,,,,,,,,1488500000.0,,67600000.0,3150000000.0,60000000.0,,0.0,,,,,,396700000.0,,,90000000.0,,,,157600000.0,,,,,8453600000.0,,,90000000.0,81900000.0,0.0,,,,597900000.0,,,,620700000.0,,770100000.0,1866600000.0,,4121800000.0,,,971800000.0,,59500000.0,,,,,,,,,,782100000.0,1661500000.0,,,,,,,,,,,,,53604000.0,,,,,,,,,,,,,,,,,,,
402192000,2444000000.0,,,135400000.0,1681800000.0,281600000.0,192300000.0,0.0,,,1.325,1036600000.0,358300000.0,,,,,,,,,,,,,,2847000000.0,,,,,,,,,0.0,,,536100000.0,,,,,,,,0.0,858100000.0,,,,,,,-1165200000.0,,,,,,,54972000.0,1.32,,,,,252300000.0,,,,,,,,1555500000.0,,,,,358500000.0,,,,78600000.0,,,,,8864700000.0,,,,,,,,178500000.0,,,,,,,,,1549200000.0,,111300000.0,3163300000.0,75600000.0,,0.0,,,,,,281600000.0,,,180900000.0,,,,292200000.0,,,,,7828100000.0,,,180900000.0,58600000.0,0.0,,,,626800000.0,,,,678300000.0,,760800000.0,1766500000.0,,4210500000.0,,,1047200000.0,,145400000.0,,,,,,,,,,862300000.0,1614100000.0,,,,,,,,,,,,,54972000.0,,,,,,,,,,,,,,,,,,,
433728000,2503100000.0,,,131700000.0,1770100000.0,166400000.0,77800000.0,0.0,,,0.56,892200000.0,296700000.0,,,,,,,,,,,,,,3012700000.0,,,,,,,,,0.0,,,533000000.0,,,,,,,,0.0,787500000.0,,,,,,,-1242600000.0,,,,,,,55256000.0,0.56,,,,,290200000.0,,,,,,,,1501800000.0,,,,,386300000.0,,,,78500000.0,,,,,7852300000.0,,,,,,,,104700000.0,,,,,,,,,1497800000.0,,7400000.0,3048500000.0,108100000.0,,0.0,,,,,,166400000.0,,,96600000.0,,,,104000000.0,,,,,6960100000.0,,,96600000.0,48900000.0,0.0,,,,601300000.0,,,,564600000.0,,674600000.0,1630200000.0,,4133300000.0,,,1084800000.0,,61600000.0,,,,,,,,,,869300000.0,1550700000.0,,,,,,,,,,,,,55256000.0,,,,,,,,,,,,,,,,,,,
441676800,,,,,,,,,,,,,,,,,,,,,,56042000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165,,,,,,,,,,,,,,2008000000.0,,,,,,,,,,2008000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008000000.0,,,,,,,,56042000.0,,,,,,,,,,,,,,,,27200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449539200,,,,,,,,,,,,,,,,,,,,,,56042000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,,,,,,,,,,,,,,1911100000.0,,,,,,,,,,1911100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911100000.0,,,,,,,,56042000.0,,,,,,,,,,,,,,,,5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457401600,,,,,,,,,,,,,,,,,,,,,,56042000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255,,,,,,,,,,,,,,2072900000.0,,,,,,,,,,2072900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2072900000.0,,,,,,,,56042000.0,,,,,,,,,,,,,,,,36200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465350400,2359900000.0,,,48200000.0,1746700000.0,132100000.0,-236800000.0,0.0,132100000.0,132100000.0,-1.85,1037700000.0,387500000.0,,,,,,1746700000.0,,,,,,,,3098100000.0,,,,,49600000.0,,,-1351400000.0,0.0,,,585600000.0,48200000.0,3098100000.0,,,,,,0.0,862700000.0,,,,,,,-1351400000.0,,,,,,,56024000.0,-1.85,,-5817000000.0,1565900000.0,,331800000.0,,,,,,,-5817000000.0,1565900000.0,,,,,393600000.0,,,,80800000.0,,,,,8252600000.0,,,,1615500000.0,,,,175000000.0,1677000000.0,,,,,,,,1575500000.0,,29700000.0,3191000000.0,144300000.0,619400000.0,0.0,,1575500000.0,,2260600000.0,,132100000.0,,,-172500000.0,,,,-142800000.0,3191000000.0,,4036900000.0,,7214900000.0,,,-172500000.0,49600000.0,0.0,2359900000.0,,,565000000.0,-240900000.0,,565000000.0,611300000.0,585600000.0,658100000.0,1677000000.0,,4036900000.0,144300000.0,,845900000.0,,-204200000.0,393600000.0,,,,,,,,845900000.0,619400000.0,1615500000.0,,658100000.0,,331800000.0,,,,,,,,,56024000.0,,,,,,,,,,,,,,,,,,,
