date,annualOtherCurrentAssets,trailingTotalRevenue,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,trailingChangeInAccountPayable,annualCurrentDeferredRevenue,annualCostOfRevenue,trailingResearchAndDevelopment,annualTotalRevenue,quarterlyCashDividendsPaid,annualEndCashPosition,quarterlyCurrentLiabilities,annualDilutedEPS,annualOperatingIncome,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,trailingCostOfRevenue,annualCurrentDebt,trailingTaxProvision,quarterlyInvestingCashFlow,annualFreeCashFlow,quarterlyEndCashPosition,quarterlyRetainedEarnings,annualCommonStockIssuance,annualNetOtherFinancingCharges,quarterlyDepreciationAndAmortization,trailingEndCashPosition,annualBasicAverageShares,quarterlyEbitda,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualResearchAndDevelopment,annualAccountsPayable,annualChangeInAccountPayable,quarterlyStockBasedCompensation,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,annualNetIncomeContinuousOperations,trailingNetOtherInvestingChanges,annualChangeInWorkingCapital,trailingNetIncomeContinuousOperations,quarterlyOperatingIncome,quarterlyTotalRevenue,annualBasicEPS,annualRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,annualInvestmentsAndAdvances,quarterlyChangeInWorkingCapital,quarterlyTotalNonCurrentAssets,trailingNetIncome,annualOperatingExpense,quarterlyCurrentAssets,trailingPretaxIncome,quarterlyGrossPPE,trailingFreeCashFlow,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalLiabilitiesNetMinorityInterest,annualGainsLossesNotAffectingRetainedEarnings,annualNetOtherInvestingChanges,trailingSellingGeneralAndAdministration,annualCashAndCashEquivalents,annualLongTermDebt,annualBeginningCashPosition,quarterlyLongTermDebt,annualAccountsReceivable,annualCurrentAssets,quarterlyChangeInInventory,annualNetIncome,quarterlyOtherCurrentAssets,annualCashDividendsPaid,annualSaleOfInvestment,quarterlyAccountsReceivable,annualNetIncomeCommonStockholders,annualOtherNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,annualSellingGeneralAndAdministration,annualOtherNonCashItems,quarterlyStockholdersEquity,annualDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyInvestmentsAndAdvances,quarterlyCostOfRevenue,annualStockholdersEquity,quarterlyBasicEPS,quarterlyChangeInAccountPayable,trailingRepurchaseOfCapitalStock,annualDilutedAverageShares,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyGrossProfit,annualTotalAssets,annualTaxProvision,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,trailingNetIncomeCommonStockholders,annualRetainedEarnings,annualCurrentAccruedExpenses,quarterlyCashCashEquivalentsAndMarketableSecurities,annualCapitalStock,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,trailingOperatingCashFlow,quarterlyRepaymentOfDebt,quarterlyOperatingExpense,trailingOtherIncomeExpense,quarterlyPretaxIncome,quarterlyBasicAverageShares,trailingCashFlowFromContinuingFinancingActivities,quarterlyOtherIntangibleAssets,annualInventory,quarterlyTaxProvision,quarterlyNetPPE,annualOtherIntangibleAssets,annualOtherIncomeExpense,trailingChangeInInventory,quarterlyCapitalStock,annualTotalNonCurrentAssets,annualNetPPE,annualGrossProfit,annualOperatingCashFlow,annualCurrentLiabilities,quarterlyCurrentDebt,quarterlyInterestExpense,annualPurchaseOfBusiness,trailingDepreciationAndAmortization,annualEbitda,quarterlyCommonStockIssuance,annualOtherNonCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyNetOtherFinancingCharges,trailingPurchaseOfBusiness,annualCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfBusiness,annualNonCurrentDeferredTaxesLiabilities,annualChangeInInventory,quarterlyOtherNonCurrentAssets,quarterlyOperatingCashFlow,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,annualPurchaseOfInvestment,trailingCapitalExpenditure,quarterlyOtherCurrentLiabilities,trailingBeginningCashPosition,quarterlyIncomeTaxPayable,trailingOperatingExpense,trailingChangesInAccountReceivables,trailingCashDividendsPaid,annualPretaxIncome,annualChangesInAccountReceivables,quarterlyTotalAssets,annualInterestExpense,annualAccumulatedDepreciation,quarterlyGainsLossesNotAffectingRetainedEarnings,annualGoodwill,quarterlyDilutedEPS,quarterlyChangesInAccountReceivables,annualIncomeTaxPayable,trailingChangeInCashSupplementalAsReported,quarterlySaleOfInvestment,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,annualGrossPPE,quarterlyChangeInCashSupplementalAsReported,trailingInvestingCashFlow,quarterlyBeginningCashPosition,trailingChangeInWorkingCapital,trailingRepaymentOfDebt,quarterlyAccountsPayable,annualStockBasedCompensation,annualCashFlowFromContinuingFinancingActivities,trailingStockBasedCompensation,trailingGrossProfit,annualInvestingCashFlow,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualRepaymentOfDebt,trailingDeferredIncomeTax,annualCapitalExpenditure,quarterlyNonCurrentDeferredRevenue,annualNonCurrentDeferredRevenue,trailingBasicAverageShares,quarterlyPurchaseOfInvestment,trailingSaleOfInvestment,trailingBasicEPS,annualOtherShortTermInvestments,trailingOtherNonCashItems,trailingPurchaseOfInvestment,quarterlyOtherShortTermInvestments,trailingNetOtherFinancingCharges,trailingDilutedEPS,trailingDilutedAverageShares,trailingInterestExpense,trailingCommonStockIssuance
1984-03-31,,640717000.0,,,417000.0,,,11699000.0,,,,,,,,106797000.0,432371000.0,,19751000.0,,,,,,,,60515000.0,,1700000,,,,,,,22555026.0,,1727000.0,,79622000.0,1700000,1700000,,,,,,,79622000.0,,,99373000.0,,103305000.0,,,,,89850000.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.001978,,-21492000.0,,,,,,,,,,,79622000.0,,,,,,,,131006000.0,,,-1000000.0,,22555026.0,-4411000.0,,,,,,,-1495000.0,,,,,,,,,,44691000.0,,,,,,-94690000.0,,,,,,,,,,,-27701000.0,,42671000.0,,101549000.0,9793000.0,-15139000.0,,,,,,,,-0.001978,,,16733000.0,,,,,,-108751000.0,,7394000.0,-95222000.0,,,,6922000.0,208346000.0,,,,,-5461000.0,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700000,,,,,,,22555026.0,,,,,1700000,1700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001978,,,,,,,,,,,,,,,,,,,,,,,,,,22555026.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800000,,,,,,,22555026.0,,,,,1800000,1800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001978,,,,,,,,,,,,,,,,,,,,,,,,,,22555026.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,0.0,,,,,,4800000.0,,7000000.0,,0.0,1900000.0,-0.003957,-100000.0,,,,300000.0,,,0.0,,-300000.0,,,,,25273799.0,-5300000,500000.0,,,,,,,-100000.0,,,,-5300000,1800000,-0.003957,,,,,2300000.0,,2300000.0,1500000.0,,3500000.0,,2400000.0,2400000.0,,,,,500000.0,0.0,500000.0,,1500000.0,,-100000.0,0.0,,,,-100000.0,100000.0,0.0,2000000.0,,1400000.0,,500000.0,,,,1400000.0,,,,25273799.0,,700000.0,,3800000.0,100000.0,,,,,,-300000.0,,,,,,,,,,,,,,,700000.0,,2200000.0,,100000.0,,,2300000.0,2200000.0,2200000.0,0.0,1900000.0,300000.0,,,,200000.0,,0.0,,,,,,,,100000.0,,-1300000.0,,,,,1600000.0,,,,,,0.0,,3800000.0,,-1300000.0,,,,,,,,,,3500000.0,,,,,,,,,,,0.0,1600000.0,,,,,,,,,,,,,,,,,,,
1985-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300000,,,,,,,22555026.0,,,,,1300000,1300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003957,,,,,,,,,,,,100000.0,,,,,,,,,,,,,,22555026.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300000,,,,,,,22555026.0,,,,,1300000,1300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003957,,,,,,,,,,,,100000.0,,,,,,,,,,,,,,22555026.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300000,,,,,,,22555026.0,,,,,1300000,1300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003957,,,,,,,,,,,,100000.0,,,,,,,,,,,,,,22555026.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-12-31,200000.0,,,,,,2700000.0,,5200000.0,,0.0,1100000.0,0.017805,300000.0,,,,300000.0,,,0.0,,100000.0,,,,,22466020.0,-3600000,700000.0,,,,,,,400000.0,,,,-3600000,1300000,0.017805,,,,,2200000.0,,2200000.0,1400000.0,,3700000.0,,1800000.0,1800000.0,,,,,600000.0,0.0,600000.0,,1400000.0,,400000.0,200000.0,,,,400000.0,0.0,100000.0,1900000.0,,1800000.0,,700000.0,,,,1800000.0,,,,22466020.0,,300000.0,,3600000.0,,,,,100000.0,,100000.0,,,,,,,,,,,,,,,300000.0,,2200000.0,,100000.0,,,2200000.0,2200000.0,2500000.0,0.0,1100000.0,300000.0,,,,600000.0,,100000.0,,,,,,,,0.0,,-1500000.0,,,,,800000.0,,,,,,,,3600000.0,,-1500000.0,,,,,,,,,,3700000.0,,,,,,,,,,,0.0,800000.0,,,,,,,,,,,,,,,,,,,
1986-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300000,,,,,,,22555026.0,,,,,1300000,1300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003957,,,,,,,,,,,,100000.0,,,,,,,,,,,,,,22555026.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400000,,,,,,,22555026.0,,,,,1400000,1400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003957,,,,,,,,,,,,100000.0,,,,,,,,,,,,,,22555026.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
