,quarterlyOperatingCashFlow,trailingInvestingCashFlow,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,quarterlyNetIncome,trailingSaleOfInvestment,annualPretaxIncome,annualIncomeTaxPayable,annualNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,trailingCashDividendsPaid,trailingPurchaseOfBusiness,annualLongTermDebt,quarterlyChangeInCashSupplementalAsReported,trailingPurchaseOfInvestment,quarterlyCommonStockIssuance,annualOtherNonCashItems,annualDepreciationAndAmortization,quarterlyGoodwill,annualStockholdersEquity,annualGoodwill,annualTotalAssets,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyBasicEPS,annualCashFlowFromContinuingFinancingActivities,trailingChangeInWorkingCapital,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredTaxesLiabilities,annualRetainedEarnings,trailingOperatingCashFlow,annualAccountsReceivable,annualPurchaseOfInvestment,quarterlyLongTermDebt,annualChangeInAccountPayable,annualOperatingCashFlow,annualAccountsPayable,annualOperatingIncome,trailingTotalRevenue,annualOtherIntangibleAssets,annualCommonStockIssuance,annualDilutedEPS,quarterlyOtherIntangibleAssets,quarterlyCashDividendsPaid,annualOtherShortTermInvestments,trailingRepaymentOfDebt,quarterlyDepreciationAndAmortization,annualEndCashPosition,trailingCashFlowFromContinuingFinancingActivities,quarterlyBeginningCashPosition,annualNetPPE,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,annualCashAndCashEquivalents,annualGrossPPE,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,annualNetOtherInvestingChanges,quarterlyInterestExpense,quarterlyDilutedAverageShares,annualBasicEPS,trailingEndCashPosition,quarterlyChangesInAccountReceivables,annualInvestmentsAndAdvances,trailingPretaxIncome,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,annualGainsLossesNotAffectingRetainedEarnings,quarterlySaleOfInvestment,annualCapitalExpenditure,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,annualInterestExpense,quarterlyGrossPPE,quarterlyIncomeTaxPayable,annualRepurchaseOfCapitalStock,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingBeginningCashPosition,annualChangesInAccountReceivables,annualAccumulatedDepreciation,quarterlyGainsLossesNotAffectingRetainedEarnings,annualSellingGeneralAndAdministration,quarterlyDilutedEPS,trailingNetIncomeContinuousOperations,trailingCapitalExpenditure,trailingChangeInCashSupplementalAsReported,trailingNetIncomeCommonStockholders,annualNetIncomeCommonStockholders,annualCurrentAccruedExpenses,trailingNetOtherFinancingCharges,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualNetOtherFinancingCharges,trailingInterestExpense,annualTaxProvision,quarterlyChangeInAccountPayable,trailingChangesInAccountReceivables,trailingRepurchaseOfCapitalStock,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualTotalRevenue,trailingChangeInAccountPayable,annualDilutedAverageShares,annualCapitalStock,quarterlySellingGeneralAndAdministration,quarterlyPretaxIncome,annualFreeCashFlow,quarterlyPurchaseOfBusiness,trailingCommonStockIssuance,quarterlyBasicAverageShares,trailingFreeCashFlow,quarterlyRepaymentOfDebt,annualBasicAverageShares,quarterlyTaxProvision,quarterlyRetainedEarnings,trailingTaxProvision,quarterlyNetPPE,annualChangeInWorkingCapital,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyTotalRevenue,quarterlyCapitalExpenditure,trailingDepreciationAndAmortization,quarterlyOperatingIncome,trailingNetIncome,annualNetIncome,annualTotalLiabilitiesNetMinorityInterest,annualCurrentDebt,quarterlyAccumulatedDepreciation,trailingOtherNonCashItems,annualCashDividendsPaid,quarterlyCashFlowFromContinuingFinancingActivities,annualBeginningCashPosition,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,trailingSellingGeneralAndAdministration,annualInventory,trailingBasicAverageShares,trailingOtherIncomeExpense,trailingOperatingIncome,quarterlyCostOfRevenue,quarterlyCurrentLiabilities,quarterlyStockBasedCompensation,annualResearchAndDevelopment,annualGrossProfit,annualOtherNonCurrentAssets,quarterlyNonCurrentDeferredRevenue,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIncomeExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,annualOtherCurrentAssets,annualCurrentAssets,annualNonCurrentDeferredRevenue,trailingCostOfRevenue,trailingBasicEPS,annualOtherCurrentLiabilities,trailingDilutedEPS,quarterlyResearchAndDevelopment,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingStockBasedCompensation,quarterlyCurrentAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyChangeInInventory,annualCurrentDeferredRevenue,annualStockBasedCompensation,trailingNetOtherInvestingChanges,quarterlyEbitda,annualOtherNonCurrentLiabilities,annualTotalNonCurrentAssets,annualOperatingExpense,annualChangeInInventory,annualEbitda,trailingChangeInInventory,quarterlyOtherCurrentAssets,annualCurrentLiabilities,quarterlyOperatingExpense,trailingDeferredIncomeTax,trailingGrossProfit,annualCostOfRevenue,quarterlyCurrentDeferredRevenue,trailingResearchAndDevelopment,quarterlyInventory,quarterlyOtherCurrentLiabilities,trailingOperatingExpense,annualOtherIncomeExpense,trailingDilutedAverageShares,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyGrossProfit,quarterlyOtherNonCurrentAssets
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759974400,,,202927478.0,,202927478.0,,,,,,,,,,,,,,,,,,,,0.37138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546414664.0,,,,,,202927478.0,,,,,,,,,,,,,,,,,,,,,,0.37138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546414664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767664000,,,210839209.0,,210839209.0,,,,,,,,,,,,,,,,,,,,0.38681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545071764.0,,,,,,210839209.0,,,,,,,,,,,,,,,,,,,,,,0.38681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545071764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775612800,,,211453134.0,,211453134.0,,,,,,,,,,,,,,,,,,,,0.38699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546404646.0,,,,,,211453134.0,,,,,,,,,,,,,,,,,,,,,,0.38699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546404646.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783561600,,,190610165.0,-18676044907.0,190610165.0,,1384958745.0,,,,,,2218044096.0,,,,-496009739.0,223995672.0,,6537941296.0,,138175030434.0,,,,17393886108.0,,26534965508.0,,2676044907.0,,,-7267009333.0,2218044096.0,,126065197.0,,1396185581.0,,,,1.48785,,,,,,0.0,,,1575003382.0,14567969701.0,860002705.0,14567969701.0,,,,-11162992019.0,,,1.5149,,,26534965508.0,,121625991.0,138175030434.0,,,131637089138.0,,,-246043555.0,-29893142.0,,3979034222.0,,,,,,,,,,,1794941161.0,,,,,,755985392.0,,,6537941296.0,,,,0.0,,559989179.0,,,,-183010956.0,-1155958339.0,5128905722.0,,508105919.0,860002705.0,,,-119978358.0,,,,,,499033198.0,,2676044907.0,,1575003382.0,-359935074.0,,,,,,,,824969566.0,131637089138.0,,,,-374002435.0,,2850940078.0,,824969566.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791510400,,,228008445.0,,228008445.0,,,,,,,,,,,,,,,,,,,,0.39574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576157187.0,,,,,,228008445.0,,,,,,,,,,,,,,,,,,,,,,0.39574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576157187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799200000,,,224949153.0,,224949153.0,,,,,,,,,,,,,,,,,,,,0.39461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590417724.0,,,,,,224949153.0,,,,,,,,,,,,,,,,,,,,,,0.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570054365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807148800,,,263769304.0,,263769304.0,,,,,,,,,,,,,,,,,,,,0.4666,,,30861008610.0,,,,,,2636326363.0,,,,,,,,,,,,,,,,,,16106327730.0,862375290.0,,,,,,1772584393.0,532612000.0,,,,,,247369140.0,145578789121.0,,,138618286183.0,,,,,,,,,,,,,,,,,,0.4666,,,,,,,,6960502938.0,,,,,,,,,,,,,,,,512505125.0,441437747.0,,,,532612000.0,,,,177668443.0,3085964193.0,,,,,,1473281399.0,,,444171108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815097600,-2035751743.0,,268438482.0,-9624949806.0,268438482.0,,1647972159.0,,,4067059296.0,,,2594967207.0,-3620103.0,,,-2363003615.0,276000535.0,,7031990363.0,,151834024896.0,,,,10475036809.0,,33019006826.0,,3171998394.0,,,-3668986749.0,2594967207.0,,-690938295.0,,1660955695.0,,,,1.70816,,-104616809.0,,,,1910989158.0,,1914719147.0,1700040155.0,20316958908.0,857984206.0,20316958908.0,,,778191056.0,-9683041092.0,1690500467.0,,1.73506,,,33019006826.0,,251439126.0,151834024896.0,2524392426.0,-2176197675.0,144802034534.0,,,-339981261.0,67059296.0,,6503948601.0,,,,,,,,,,,1999063044.0,,,,,,917012448.0,,,7031990363.0,-7347384402.0,1910989158.0,-2642579982.0,133851.0,,662026502.0,,,,-292999599.0,159014857.0,5581983670.0,,531264000.0,857984206.0,523048284.0,461693630.0,-1030919556.0,,,,,,531264000.0,193255148.0,3171998394.0,,1700040155.0,389104538.0,-2990309888.0,,1447775661.0,-140445932.0,,467843764.0,,985945657.0,144802034534.0,,,,-418953286.0,4673478793.0,1751974301.0,,985945657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823046400,-919461242.0,,295492029.0,,295492029.0,,,,,,,,,350467290.0,,,,,,,,,,,0.55039,,,30779274327.0,,,,,,2898570643.0,,,,,,,,,,-111324904.0,,,,,,1910390324.0,,19813084112.0,865860363.0,,,,,,1790819131.0,518789000.0,,,,,,278999450.0,150021990104.0,-1811434854.0,-963441451.0,142817482133.0,,2784496976.0,,,,,,,,,,,,,,,,0.53663,,,,,,,,7204507971.0,-368334249.0,2260857614.0,2372182518.0,,,,,,,,,,,,,529136888.0,509895547.0,,,,518789000.0,,,,214403518.0,3349367784.0,,,,-1214953271.0,,1517317207.0,-43980209.0,,515393073.0,,,,,,,,-1103628367.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
