date,trailingNetIncomeCommonStockholders,annualGrossPPE,annualNetIncomeCommonStockholders,annualOtherNonCurrentLiabilities,quarterlyStockholdersEquity,annualOtherCurrentLiabilities,quarterlyNetOtherInvestingChanges,quarterlyDilutedEPS,quarterlyChangesInAccountReceivables,trailingInterestExpense,quarterlyChangeInInventory,annualBeginningCashPosition,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,trailingGrossProfit,quarterlySaleOfInvestment,trailingDeferredIncomeTax,annualCapitalExpenditure,trailingOtherIncomeExpense,quarterlyOtherIntangibleAssets,annualDilutedAverageShares,quarterlyRepaymentOfDebt,trailingRepaymentOfDebt,trailingCashFlowFromContinuingFinancingActivities,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,annualSellingGeneralAndAdministration,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,annualTotalNonCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,annualOtherIncomeExpense,quarterlyCapitalStock,trailingCapitalExpenditure,trailingChangeInCashSupplementalAsReported,quarterlyTotalRevenue,quarterlyStockBasedCompensation,trailingDepreciationAndAmortization,quarterlyCapitalExpenditure,quarterlyEbitda,trailingNetOtherFinancingCharges,trailingChangeInInventory,annualChangeInInventory,annualNetOtherFinancingCharges,quarterlyOperatingIncome,annualStockBasedCompensation,trailingStockBasedCompensation,annualCashFlowFromContinuingFinancingActivities,annualCurrentDebt,trailingOtherNonCashItems,quarterlyCashFlowFromContinuingFinancingActivities,trailingResearchAndDevelopment,annualPurchaseOfBusiness,quarterlyAccumulatedDepreciation,annualNetIncomeContinuousOperations,annualCurrentDeferredRevenue,annualOperatingExpense,trailingSellingGeneralAndAdministration,annualResearchAndDevelopment,annualTotalRevenue,annualDeferredIncomeTax,trailingOperatingExpense,annualCapitalStock,quarterlyRepurchaseOfCapitalStock,annualBasicAverageShares,quarterlyOperatingCashFlow,quarterlyPretaxIncome,trailingCostOfRevenue,annualInterestExpense,quarterlyPurchaseOfBusiness,trailingFreeCashFlow,quarterlyIncomeTaxPayable,quarterlyGrossPPE,annualNonCurrentDeferredTaxesLiabilities,quarterlyCurrentLiabilities,quarterlyCurrentAssets,trailingCashDividendsPaid,trailingBeginningCashPosition,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,trailingPurchaseOfBusiness,annualAccumulatedDepreciation,quarterlyTaxProvision,quarterlyNonCurrentDeferredRevenue,annualChangesInAccountReceivables,annualInventory,quarterlyNetPPE,annualChangeInWorkingCapital,quarterlyOtherCurrentLiabilities,annualGrossProfit,quarterlyChangeInCashSupplementalAsReported,quarterlyResearchAndDevelopment,trailingNetIncomeContinuousOperations,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyGoodwill,annualNetOtherInvestingChanges,quarterlyTotalNonCurrentAssets,trailingNetIncome,quarterlyAccountsReceivable,annualGoodwill,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,annualTotalAssets,annualNetIncome,trailingPretaxIncome,annualTotalLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,quarterlyTotalAssets,trailingChangeInWorkingCapital,annualRetainedEarnings,annualBasicEPS,annualAccountsReceivable,quarterlyFreeCashFlow,annualPurchaseOfInvestment,quarterlyLongTermDebt,annualGainsLossesNotAffectingRetainedEarnings,annualAccountsPayable,trailingOperatingIncome,annualCostOfRevenue,trailingInvestingCashFlow,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,quarterlyNetIncome,annualOperatingIncome,trailingTotalRevenue,quarterlySellingGeneralAndAdministration,annualCashDividendsPaid,annualFreeCashFlow,trailingSaleOfInvestment,annualPretaxIncome,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable,annualEndCashPosition,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingTaxProvision,annualLongTermDebt,quarterlyOtherNonCurrentLiabilities,trailingPurchaseOfInvestment,annualOtherCurrentAssets,quarterlyBasicEPS,annualOtherNonCashItems,annualDepreciationAndAmortization,annualCashAndCashEquivalents,quarterlyCurrentDebt,annualCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyEndCashPosition,annualStockholdersEquity,quarterlyInvestingCashFlow,trailingEndCashPosition,quarterlyChangeInAccountPayable,annualInvestmentsAndAdvances,annualTaxProvision,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,trailingRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,trailingOperatingCashFlow,annualCurrentAccruedExpenses,quarterlyOtherIncomeExpense,trailingChangeInAccountPayable,annualDilutedEPS,quarterlyCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,quarterlyOperatingExpense,annualOtherIntangibleAssets,quarterlyCashDividendsPaid,annualCashCashEquivalentsAndMarketableSecurities,annualCommonStockIssuance,annualSaleOfInvestment,annualOtherShortTermInvestments,annualRepurchaseOfCapitalStock,annualEbitda,annualOtherNonCurrentAssets,annualCurrentAssets,annualNetPPE,trailingBasicAverageShares,trailingCommonStockIssuance,trailingBasicEPS,trailingDilutedEPS,trailingChangesInAccountReceivables,trailingNetOtherInvestingChanges,trailingDilutedAverageShares
1970-01-01 00:00:01.569801600,5655000000.0,,,,,,,0.13,,425000000.0,,,,,16837000000.0,,-340000000.0,,111000000.0,,,,-1256000000.0,14720000000.0,,,,,2139656000.0,,,,,,,-875000000.0,25081000000.0,1889500000,,682000000.0,,1889500000,-39000000.0,-71000000.0,,,1889500000,,210000000.0,,,3000000.0,,5441000000.0,,,,,,4473000000.0,,,,9914000000.0,,,,,,7336000000.0,,,7583000000.0,,,,,,-2664000000.0,5408000000.0,,,,-89000000.0,,,,,,,,,,,,5678000000.0,,,,,,,5655000000.0,,,,,,,6609000000.0,,2139656000.0,,1865000000.0,,,,,,,,,6923000000.0,,1930000000.0,267000000,,,,24173000000.0,,,,3390000000.0,,,,,,,931000000.0,,,-2885000000.0,,0.13,,,,,,,,,,,30516000000.0,,,,,,,,-300000000.0,,,,8458000000.0,,,175000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,2139656000.0,,,,,,,,,1889500000,,,,1889500000,,,,,1889500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2139656000.0,,,,,,,,,,,,,,267000000,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,2139656000.0,,,,,,,,,1889500000,,,,1889500000,,,,,1889500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2139656000.0,,,,,,,,,,,,,,267000000,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2950000000.0,1068000000.0,351000000.0,4755000000.0,1714000000.0,,,,,,0.0,,,,,,,,209000000.0,2136000000.0,,,,,377000000.0,,3789000000.0,,,2347000000.0,2508000000.0,2347000000.0,213000000.0,,,,1889500000,,,,-4201500000,,,,,-4201500000,,,,415000000.0,,,,,-1023000000.0,1068000000.0,,3950000000.0,,,7558000000.0,,,,,2136000000.0,,,,52000000.0,,,,2950000000.0,,2129000000.0,5006000000.0,,,,,4594000000.0,,-1023000000.0,,,,933000000.0,1927000000.0,,1714000000.0,5417000000.0,,,,,,,,,2508000000.0,,,,,,7514000000.0,1068000000.0,,2759000000.0,,7514000000.0,,4594000000.0,0.5,,,,279000000.0,,,,2141000000.0,,267000000,0.0,,1467000000.0,,,,0.0,,1628000000.0,,,0.0,,630000000.0,,279000000.0,351000000.0,,377000000.0,,,,2347000000.0,415000000.0,2129000000.0,,,,4755000000.0,,,,,560000000.0,,372000000.0,,,,,,933000000.0,,,,,0.5,,2759000000.0,,630000000.0,0.0,,209000000.0,,2347000000.0,,,,,1628000000.0,372000000.0,5006000000.0,1927000000.0,,,,,,,
,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,2083164000.0,,,,,,,,,2117000000,,,,2117000000,,,,,2117000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083164000.0,,,,,,,,,,,,,,301000000,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,2083164000.0,,,,,,,,,2101000000,,,,2101000000,,,,,2101000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083164000.0,,,,,,,,,,,,,,305000000,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,2083164000.0,,,,,,,,,2196000000,,,,2196000000,,,,,2196000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083164000.0,,,,,,,,,,,,,,355000000,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3346000000.0,1254000000.0,428000000.0,4948000000.0,1934000000.0,,,,,,0.0,,,,,,,,228000000.0,2090000000.0,,,,,399000000.0,,4304000000.0,,,2512000000.0,2851000000.0,2512000000.0,192000000.0,,,,2144000000,,,,-4644000000,,,,,-4644000000,,,,679000000.0,,,,,-1158000000.0,1254000000.0,,4489000000.0,,,8558000000.0,,,,,2090000000.0,,,,73000000.0,,,,3346000000.0,,2613000000.0,5422000000.0,,,,,5207000000.0,,-1158000000.0,,,,1044000000.0,2188000000.0,,1934000000.0,6259000000.0,,,,,,,,,2851000000.0,,,,,,8273000000.0,1254000000.0,,3325000000.0,,8273000000.0,,5207000000.0,0.6,,,,284000000.0,,,,2299000000.0,,293000000,0.0,,1770000000.0,,,,0.0,,1889000000.0,,,0.0,,712000000.0,,284000000.0,428000000.0,,399000000.0,,,,2512000000.0,679000000.0,2613000000.0,,,,4948000000.0,,,,,635000000.0,,435000000.0,,,,,,1044000000.0,,,,,0.6,,3325000000.0,,712000000.0,0.0,,228000000.0,,2512000000.0,,,,,1955000000.0,435000000.0,5422000000.0,2188000000.0,,,,,,,
,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,2101356000.0,,,,,,,,,2265000000,,,,2265000000,,,,,2265000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2101356000.0,,,,,,,,,,,,,,344000000,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,2101356000.0,,,,,,,,,2244000000,,,,2244000000,,,,,2244000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2101356000.0,,,,,,,,,,,,,,345000000,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
