date,trailingRepurchaseOfCapitalStock,annualAccumulatedDepreciation,annualRepurchaseOfCapitalStock,quarterlyAccountsPayable,quarterlyGrossProfit,trailingNetIncomeContinuousOperations,annualCapitalExpenditure,annualSellingGeneralAndAdministration,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,annualOperatingExpense,annualOtherNonCurrentAssets,annualNetIncomeContinuousOperations,trailingCapitalExpenditure,annualCashAndCashEquivalents,quarterlyTotalRevenue,trailingNetOtherFinancingCharges,trailingOperatingExpense,quarterlyGrossPPE,quarterlyOperatingIncome,trailingBeginningCashPosition,trailingInterestExpense,annualTaxProvision,quarterlyEbitda,annualCurrentAssets,annualChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,annualResearchAndDevelopment,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalRevenue,annualNetIncomeCommonStockholders,annualInterestExpense,annualNetOtherFinancingCharges,annualOtherShortTermInvestments,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualCommonStockIssuance,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,annualGrossProfit,annualChangeInWorkingCapital,annualTotalNonCurrentAssets,quarterlyOtherShortTermInvestments,trailingNetIncomeCommonStockholders,annualOtherCurrentAssets,quarterlyDilutedEPS,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,quarterlyCurrentLiabilities,trailingCostOfRevenue,quarterlyNetOtherInvestingChanges,quarterlyPretaxIncome,trailingFreeCashFlow,trailingNetIncome,quarterlyCurrentAssets,annualTotalAssets,quarterlyOtherCurrentAssets,trailingTaxProvision,annualNetIncome,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,annualCostOfRevenue,annualPurchaseOfBusiness,trailingDepreciationAndAmortization,annualBeginningCashPosition,annualCashDividendsPaid,annualFreeCashFlow,annualCurrentDebt,annualNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,trailingSaleOfInvestment,trailingOtherNonCashItems,quarterlyNetIncome,annualDilutedEPS,annualOtherNonCashItems,quarterlyOtherNonCurrentAssets,annualDepreciationAndAmortization,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,annualLongTermDebt,annualInvestingCashFlow,annualStockholdersEquity,annualBasicAverageShares,trailingPurchaseOfBusiness,annualChangeInInventory,trailingCashDividendsPaid,annualInventory,quarterlyNetPPE,quarterlyDilutedAverageShares,quarterlyTaxProvision,quarterlyInventory,quarterlyLongTermDebt,annualBasicEPS,annualRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,annualCurrentLiabilities,quarterlyOtherCurrentLiabilities,annualPurchaseOfInvestment,quarterlyNonCurrentDeferredTaxesLiabilities,annualOperatingCashFlow,trailingOperatingCashFlow,annualAccountsReceivable,trailingChangeInInventory,quarterlyOperatingExpense,annualCapitalStock,quarterlyAccountsReceivable,quarterlyCostOfRevenue,annualGoodwill,trailingRepaymentOfDebt,trailingChangeInWorkingCapital,annualOtherIntangibleAssets,quarterlyCapitalStock,trailingGrossProfit,annualNetPPE,annualEbitda,annualRepaymentOfDebt,annualOperatingIncome,annualOtherCurrentLiabilities,annualNetOtherInvestingChanges,trailingTotalRevenue,annualCashCashEquivalentsAndMarketableSecurities,annualEndCashPosition,trailingPretaxIncome,quarterlyNetIncomeCommonStockholders,trailingEndCashPosition,quarterlyTotalAssets,trailingPurchaseOfInvestment,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingChangeInCashSupplementalAsReported,quarterlyBasicEPS,annualGrossPPE,quarterlyCashAndCashEquivalents,annualAccountsPayable,trailingOperatingIncome,annualDilutedAverageShares,trailingInvestingCashFlow,quarterlyFreeCashFlow,quarterlyCurrentDebt,annualOtherNonCurrentLiabilities,quarterlyInterestExpense,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,annualPretaxIncome,trailingSellingGeneralAndAdministration,trailingBasicAverageShares,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,trailingOtherIncomeExpense,quarterlyStockBasedCompensation,trailingCommonStockIssuance,annualChangesInAccountReceivables,quarterlyBeginningCashPosition,quarterlyDepreciationAndAmortization,quarterlyRepurchaseOfCapitalStock,annualGainsLossesNotAffectingRetainedEarnings,quarterlyNonCurrentDeferredRevenue,quarterlySaleOfInvestment,quarterlyOtherIncomeExpense,trailingCashFlowFromContinuingFinancingActivities,quarterlyCashFlowFromContinuingFinancingActivities,annualNonCurrentDeferredRevenue,annualInvestmentsAndAdvances,trailingBasicEPS,trailingDilutedEPS,quarterlyResearchAndDevelopment,trailingStockBasedCompensation,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,annualCurrentDeferredRevenue,trailingChangesInAccountReceivables,annualStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyNetOtherFinancingCharges,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,trailingNetOtherInvestingChanges,annualIncomeTaxPayable,quarterlyPurchaseOfInvestment,quarterlyRepaymentOfDebt,trailingChangeInAccountPayable,quarterlyPurchaseOfBusiness,annualDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalExpenditure,trailingDeferredIncomeTax,quarterlyCurrentDeferredRevenue,trailingResearchAndDevelopment,quarterlyCurrentAccruedExpenses,quarterlyIncomeTaxPayable,annualOtherIncomeExpense,quarterlyChangeInWorkingCapital,annualCurrentAccruedExpenses,trailingDilutedAverageShares,annualCashFlowFromContinuingFinancingActivities,annualChangeInAccountPayable
1995-12-31,-113000000.0,-1631000000.0,,,,6327200000.0,-361000000.0,0.0,,,5131000000.0,-1231000000.0,970000000.0,-937000000.0,1231000000.0,,-53000000.0,11312800000.0,,,1754000000.0,1677000000.0,490000000.0,,5464000000.0,-84000000.0,,43000000.0,3510000000.0,6771000000.0,860000000.0,306000000.0,0.0,221000000.0,,,9000000.0,7193000000.0,,,6771000000.0,-109000000.0,2596000000.0,,6156000000.0,0.0,,,,,,4334000000.0,,,7788000000.0,6156000000.0,,8060000000.0,,1919000000.0,860000000.0,,,,-114000000.0,1122000000.0,303000000.0,,185000000.0,1012000000.0,43000000.0,3000000.0,237000000.0,4000000.0,,0.555,0.0,,221000000.0,,,2546000000.0,-608000000.0,503000000.0,1550000000.0,-81000000.0,-66000000.0,-4510000000.0,2182000000.0,,,,,,0.555,-283000000.0,,3683000000.0,,-19000000.0,,546000000.0,8725000000.0,614000000.0,-276000000.0,,772000000.0,,,,-4077000000.0,315000000.0,,,20692000000.0,1879000000.0,1987000000.0,-711000000.0,1640000000.0,0.0,-148000000.0,25026000000.0,1452000000.0,219000000.0,8246200000.0,,2430000000.0,,-266000000.0,,676000000.0,,3510000000.0,,296000000.0,9379200000.0,1550000000.0,-944000000.0,,,364000000.0,,,,1460000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31,,-1526000000.0,,,,,-360000000.0,0.0,,,5615000000.0,-1399000000.0,1106000000.0,,1399000000.0,,,,,,,,520000000.0,,5726000000.0,36000000.0,,37000000.0,3175000000.0,7241000000.0,988000000.0,340000000.0,-9000000.0,293000000.0,,,13000000.0,7064000000.0,,,7241000000.0,-122000000.0,2366000000.0,,,0.0,,,,,,,,,,,,8092000000.0,,,988000000.0,,,,-85000000.0,,253000000.0,,115000000.0,1110000000.0,37000000.0,18000000.0,,,,0.637,0.0,,231000000.0,,,2327000000.0,-569000000.0,701000000.0,1550000000.0,,-201000000.0,,2086000000.0,,,,,,0.637,-98000000.0,,3889000000.0,,-13000000.0,,475000000.0,,558000000.0,,,775000000.0,,,,,,,,,1833000000.0,2197000000.0,-66000000.0,1626000000.0,0.0,-406000000.0,,1692000000.0,289000000.0,,,,,,,,,3359000000.0,,355000000.0,,1550000000.0,,,,327000000.0,,,,1626000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31,,-1677000000.0,,,,,-360000000.0,0.0,,,5307000000.0,-1310000000.0,518000000.0,,1310000000.0,,,,,,,,357000000.0,,5905000000.0,179000000.0,,42000000.0,1971000000.0,7152000000.0,412000000.0,368000000.0,0.0,166000000.0,,,19000000.0,8305000000.0,,,7152000000.0,174000000.0,2645000000.0,,,0.0,,,,,,,,,,,,8550000000.0,,,412000000.0,,,,-850000000.0,,-2231000000.0,,-13000000.0,3528000000.0,59000000.0,8000000.0,,,,0.263,0.0,,239000000.0,,,1068000000.0,-963000000.0,-97000000.0,1550000000.0,,-71000000.0,,2173000000.0,,,,,,0.266,-915000000.0,,6334000000.0,,-18000000.0,,347000000.0,,519000000.0,,,388000000.0,,,,,,,,,2033000000.0,1482000000.0,-267000000.0,1845000000.0,0.0,401000000.0,,1476000000.0,-2052000000.0,,,,,,,,,3710000000.0,,325000000.0,,1565000000.0,,,,342000000.0,,,,875000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31,,-1854000000.0,,,,,-363000000.0,0.0,,,5528000000.0,-970000000.0,461000000.0,,970000000.0,,,,,,,,277000000.0,,4813000000.0,122000000.0,,45000000.0,3035000000.0,7120000000.0,346000000.0,355000000.0,0.0,185000000.0,,,42000000.0,7065000000.0,,,7120000000.0,134000000.0,2639000000.0,,,0.0,,,,,,,,,,,,7452000000.0,,,346000000.0,,,,-152000000.0,,-602000000.0,,-198000000.0,1595000000.0,47000000.0,7000000.0,,,,0.22,0.0,,297000000.0,,,2135000000.0,760000000.0,64000000.0,1561000000.0,,-36000000.0,,2165000000.0,,,,,,0.222,-813000000.0,,4030000000.0,,-30000000.0,,165000000.0,,532000000.0,,,393000000.0,,,,,,,,,2048000000.0,1390000000.0,-1960000000.0,1592000000.0,0.0,459000000.0,,1155000000.0,-440000000.0,,,,,,,,,3902000000.0,,368000000.0,,1574000000.0,,,,323000000.0,,,,738000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31,,-2497000000.0,,,,,,0.0,,,7156000000.0,-1853000000.0,698000000.0,,1853000000.0,,,,,,,,673000000.0,,7594000000.0,34000000.0,,58000000.0,6058000000.0,9072000000.0,556000000.0,370000000.0,0.0,768000000.0,,,3000000.0,10958000000.0,,,9072000000.0,538000000.0,8640000000.0,,,123000000.0,,,,,,,,,,,,16234000000.0,,,556000000.0,,,,-278000000.0,,1677000000.0,,1015000000.0,1033000000.0,170000000.0,2000000.0,,,,0.253,0.0,,350000000.0,,,4643000000.0,-1837000000.0,4821000000.0,1910000000.0,,31000000.0,,2850000000.0,,,,,,0.253,-1017000000.0,,4900000000.0,,-30000000.0,,1015000000.0,,945000000.0,,,605000000.0,,,,,,5338000000.0,,,2456000000.0,2091000000.0,-2067000000.0,1916000000.0,0.0,-1340000000.0,,2621000000.0,1711000000.0,,,,,,,,,4953000000.0,,456000000.0,,2058000000.0,,,,455000000.0,,,,1371000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-31,,,,,5356000000.0,,,,0.0,2444444000.0,,,,,,5356000000.0,,,0.0,530000000.0,,,,256000000.0,,,0.0,,,,,,,,0.0,259000000.0,,,0.0,,,,,0.0,,,0.0315,0.0,,0.0,0.0,,0.0,193000000.0,,,0.0,,,,,,,,,,,,,,,,,,47000000.0,,,,,,89000000.0,,,,,,,,,0.0,2444444000.0,104000000.0,0.0,,,,259000000.0,,,,,,,,,4826000000.0,,,,,,,,,,,,,,,,,,,,47000000.0,,0.0,,0.0,,0.0315,,0.0,,,,,,,,63000000.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-30,,,,,352000000.0,,,,12713000000.0,,,,,,,352000000.0,,,2645000000.0,660000000.0,,,,552000000.0,,,71000000.0,,,,,,,,330000000.0,-4749000000.0,,,1512000000.0,,,,,341000000.0,,,,5449000000.0,,0.0,11201000000.0,,330000000.0,513000000.0,,,8035000000.0,,2237000000.0,,,,466000000.0,,,,,,,,,,,,270000000.0,,,0.0,,,317000000.0,,,,,,,,,2645000000.0,,196000000.0,3351000000.0,,,,-222000000.0,,4091000000.0,,,,,,,-308000000.0,,,,,,,,,,,,,,,,,,,,270000000.0,,18628000000.0,,2361000000.0,,,,2020000000.0,,,,,,7110000000.0,,39000000.0,10593000000.0,7466000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-30,,,,,2967000000.0,,,,0.0,,,,,,,2967000000.0,,,0.0,736000000.0,,,,638000000.0,,,-71000000.0,,,,,,,,-330000000.0,1451000000.0,,,0.0,,,,,0.0,,,,0.0,,0.0,0.0,,-330000000.0,541000000.0,,,0.0,,,,,,,,,,,,,,,,,,265000000.0,,,,,,305000000.0,,,,,,,,,0.0,,236000000.0,0.0,,,,1414000000.0,,,,,,,,,2231000000.0,,,,,,,,,,,,,,,,,,,,265000000.0,,0.0,,0.0,,,,0.0,,,,,,,,97000000.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-31,,-2628000000.0,-695000000.0,528000000.0,2240000000.0,,-362000000.0,0.0,12221000000.0,,8356000000.0,-1667000000.0,862000000.0,,1667000000.0,2240000000.0,,,5228000000.0,633000000.0,,,660000000.0,565000000.0,7251000000.0,-24000000.0,340000000.0,59000000.0,6719000000.0,10915000000.0,692000000.0,489000000.0,0.0,221000000.0,503000000.0,860000000.0,3000000.0,12221000000.0,6719000000.0,-501000000.0,10915000000.0,617000000.0,10486000000.0,221000000.0,,57000000.0,,5097000000.0,,,5502000000.0,,761000000.0,275000000.0,,,7251000000.0,17737000000.0,57000000.0,,692000000.0,-2628000000.0,419000000.0,,-4583000000.0,,884000000.0,,718000000.0,1085000000.0,248000000.0,54000000.0,,,110000000.0,0.295,0.0,-1667000000.0,401000000.0,,151000000.0,5066000000.0,503000000.0,5097000000.0,2150000000.0,,122000000.0,,3053000000.0,2600000000.0,,124000000.0,3053000000.0,5066000000.0,0.295,-501000000.0,-1475000000.0,5502000000.0,0.0,-158000000.0,248000000.0,1080000000.0,,1043000000.0,,1607000000.0,575000000.0,1043000000.0,,,,,7158000000.0,575000000.0,,2600000000.0,2412000000.0,-915000000.0,2559000000.0,0.0,761000000.0,,1888000000.0,860000000.0,,110000000.0,,17737000000.0,,1888000000.0,,,5228000000.0,1667000000.0,528000000.0,,2340000000.0,,,1085000000.0,419000000.0,290000000.0,10486000000.0,7158000000.0,1522000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-31,,,,,2843000000.0,,,,0.0,2185115000.0,,,,,,2843000000.0,,,0.0,628000000.0,,,,589000000.0,,,0.0,,,,,,,,0.0,558000000.0,,,0.0,,,,,0.0,,,0.1048,0.0,,0.0,0.0,,0.0,519000000.0,,,0.0,,,,,,,,,,,,,,,,,,281000000.0,,,,,,326000000.0,,,,,,,,,0.0,2185115000.0,193000000.0,0.0,,,,558000000.0,,,,,,,,,2215000000.0,,,,,,,,,,,,,,,,,,,,281000000.0,,0.0,,0.0,,0.1048,,0.0,,,,,,,,70000000.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
