date,quarterlyNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,annualChangeInCashSupplementalAsReported,trailingChangeInCashSupplementalAsReported,annualGrossPPE,trailingNetIncomeCommonStockholders,trailingInterestExpense,quarterlyStockholdersEquity,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,annualInterestExpense,trailingChangesInAccountReceivables,annualRepaymentOfDebt,annualOtherNonCurrentLiabilities,quarterlyChangeInInventory,annualBeginningCashPosition,quarterlyBasicAverageShares,annualCapitalExpenditure,annualOtherIncomeExpense,annualSellingGeneralAndAdministration,trailingGrossProfit,quarterlyOtherIntangibleAssets,annualTotalNonCurrentAssets,trailingDeferredIncomeTax,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingCapitalExpenditure,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,trailingRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyEbitda,annualChangeInInventory,annualNetOtherFinancingCharges,annualInventory,trailingDepreciationAndAmortization,quarterlyCapitalExpenditure,annualCashFlowFromContinuingFinancingActivities,trailingNetOtherFinancingCharges,quarterlyTotalRevenue,trailingChangeInInventory,trailingTaxProvision,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,annualCurrentDebt,annualNetIncomeContinuousOperations,annualTotalRevenue,annualCostOfRevenue,trailingResearchAndDevelopment,annualPurchaseOfBusiness,annualCapitalStock,trailingOtherNonCashItems,trailingFreeCashFlow,quarterlyRepurchaseOfCapitalStock,trailingSellingGeneralAndAdministration,quarterlyDilutedEPS,quarterlyCurrentLiabilities,quarterlyPretaxIncome,quarterlyIncomeTaxPayable,quarterlyGrossPPE,annualGrossProfit,quarterlyPurchaseOfBusiness,annualOperatingExpense,quarterlyCurrentAssets,annualResearchAndDevelopment,annualTotalLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,quarterlyOperatingCashFlow,annualDeferredIncomeTax,annualChangesInAccountReceivables,quarterlyResearchAndDevelopment,trailingNetIncomeContinuousOperations,trailingPurchaseOfBusiness,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,trailingCostOfRevenue,trailingBeginningCashPosition,trailingCashDividendsPaid,quarterlyChangeInWorkingCapital,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyDeferredIncomeTax,quarterlyNetPPE,quarterlyRetainedEarnings,trailingOperatingExpense,quarterlyTaxProvision,quarterlyTotalNonCurrentAssets,annualRetainedEarnings,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,trailingNetIncome,annualGoodwill,annualTotalAssets,quarterlyDilutedAverageShares,annualNetOtherInvestingChanges,trailingPretaxIncome,annualBasicAverageShares,quarterlyGoodwill,annualCashDividendsPaid,quarterlyLongTermDebt,annualPurchaseOfInvestment,annualPretaxIncome,quarterlyTotalAssets,quarterlyFreeCashFlow,annualAccountsReceivable,annualNetIncome,trailingChangeInWorkingCapital,quarterlyNetIncome,annualFreeCashFlow,trailingInvestingCashFlow,annualAccountsPayable,quarterlyDepreciationAndAmortization,annualIncomeTaxPayable,trailingSaleOfInvestment,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,trailingPurchaseOfInvestment,annualStockholdersEquity,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualEndCashPosition,annualOtherNonCashItems,annualOtherCurrentAssets,annualBasicEPS,annualOperatingIncome,trailingTotalRevenue,annualLongTermDebt,annualCurrentAccruedExpenses,annualCurrentLiabilities,annualDilutedAverageShares,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualCashAndCashEquivalents,trailingEndCashPosition,annualDepreciationAndAmortization,quarterlyCurrentDebt,annualTaxProvision,quarterlyPurchaseOfInvestment,trailingCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,trailingChangeInAccountPayable,annualInvestmentsAndAdvances,trailingOperatingIncome,quarterlyNetIncomeCommonStockholders,quarterlyBasicEPS,trailingOtherIncomeExpense,trailingRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,quarterlyOtherIncomeExpense,trailingOperatingCashFlow,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlyGrossProfit,quarterlyOperatingExpense,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,annualOtherShortTermInvestments,annualCommonStockIssuance,annualNetPPE,annualDilutedEPS,annualOperatingCashFlow,annualOtherNonCurrentAssets,annualSaleOfInvestment,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,trailingNetOtherInvestingChanges,annualEbitda,annualCurrentAssets,annualRepurchaseOfCapitalStock,annualNonCurrentDeferredRevenue,trailingDilutedAverageShares,annualStockBasedCompensation,quarterlyStockBasedCompensation,trailingBasicEPS,trailingCommonStockIssuance,trailingStockBasedCompensation,trailingBasicAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,annualNonCurrentDeferredTaxesLiabilities,annualCurrentDeferredRevenue,trailingDilutedEPS,quarterlyNonCurrentDeferredRevenue
1979-12-31,,,,-107831000000.0,,125105000000.0,1038000000.0,,,8621101287.0,,43504000000.0,,-325548068544.0,,0.0,,,,,1610033000000.0,,-261713709153.0,-6446000000.0,,,,,,,-215671000000.0,,,-8678000000.0,,,,,,237327000000.0,,,-7326000000.0,,19895000000.0,56223000000.0,,,,8621101287.0,313440316875.0,,298503000000.0,,,-19308000000.0,142790000000.0,,1136863000000.0,,,,,,313440316875.0,,,,,-71571857499.0,,,,,,139517000000.0,-8880000000.0,,,,1983266000000.0,520645000000.0,-171487000000.0,,,,,,,,,1435366000000.0,,,,,,,125105000000.0,,0.0,,,195740000000.0,1095772114.0,,,,,,,,,8621101287.0,1380000000.0,,0.0,-228568000000.0,,,,828000000.0,,,0.0,-6418000000.0,71571857499.0,,,0.0,,,17.521612,313440316875.0,3593299000000.0,53087834241.0,,200888376804.0,1095772114.0,,,,412814000000.0,,,,,-232590000000.0,,,,,-35509000000.0,,174667000000.0,,,22111000000.0,-50012000000.0,,,358461000000.0,,,,,,,,,,17.521612,0.0,,,,-272460234303.0,,,688000000.0,313440316875.0,261713709153.0,,,,,,,,,,,,,,,
1980-12-31,,,,,,,,,,24159089872.0,,,,-411190544720.0,,0.0,,,,,,,-320224382352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,24159089872.0,414552161584.0,,,,,,,,,,,,,,414552161584.0,,,,,-124238069040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,1095772114.0,,,,,,,,,24159089872.0,,,0.0,,,,,,,,0.0,,124238069040.0,,,0.0,,,33.768049,414552161584.0,,48864948752.0,,238087526928.0,1095772114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.768049,0.0,,,,-362325595968.0,,,,414552161584.0,320224382352.0,,,,,,,,,,,,,,,
1981-12-31,,,,,,,,,,16219067328.0,,,,-477407587488.0,,0.0,,,,,,,-366665202304.0,,,,,,,,,,,,,,,,,,,,,,,,,,,16219067328.0,471649598816.0,,,,,,,,,,,,,,471649598816.0,,,,,-168871698304.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,1095772114.0,,,,,,,,,16219067328.0,,,0.0,,,,,,,,0.0,,168871698304.0,,,0.0,,,21.988045,471649598816.0,,39338930240.0,,269196958944.0,1095772114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.988045,0.0,,,,-438068657248.0,,,,471649598816.0,366665202304.0,,,,,,,,,,,,,,,
1982-12-31,,,,,215459641900.0,,,,145570067090.0,22389984550.0,19975148520.0,,,29071812400.0,,0.0,,,8487093620.0,208027573730.0,,,157855252330.0,,,,,,,,,,,,,,,,125805923660.0,,,,,,,,,,140505944930.0,22389984550.0,581272132930.0,277940593550.0,,,,,,,,,,,,,303331539380.0,,236560150900.0,,,368438332150.0,-90919748780.0,,,,,,,,,,,,,,,,,,,,,,,,84355145980.0,,,,,,603779342530.0,,,,1095772114.0,,,,,53126392660.0,,,,22389984550.0,,,0.0,,,,,,,,0.0,,235341010380.0,,,0.0,,23913910200.0,31.275643,66771388480.0,,53290507730.0,,286076012020.0,1095772114.0,,,183597873310.0,,,,30736408110.0,,,,,,,,,,,,,,,,,,,,,,,,,124539893120.0,29.711861,0.0,33315359210.0,,,82362320130.0,183597873310.0,,,95303965650.0,445924090200.0,,,,,,,,,,,,,,,
1983-12-31,,,,,253181571360.0,,,,198799226880.0,28466120640.0,18799693680.0,,,10895013600.0,,0.0,,,13097197200.0,239713480080.0,,,183801197520.0,,,,,,,,,,,,,,,,148357632000.0,,,,,,,,,,167250049200.0,28466120640.0,658244268480.0,314494998960.0,,,,,,,,,,,,,343749269520.0,,271448104800.0,,,437655014400.0,-110109180000.0,,,,,,,,,,,,,,,,,,,,,,,,107142027360.0,,,,,,727624642320.0,,,,920539730.0,,,,,64442846400.0,,,,28466120640.0,,,0.0,,,,,,,,0.0,,265003820160.0,,,0.0,,23783582880.0,30.923294,72301164720.0,,60710724720.0,,366049276080.0,920539730.0,,,236189986320.0,,,,35976725760.0,,,,,,,,,,,,,,,,,,,,,,,,,143072391360.0,30.923294,0.0,40728806160.0,,,71605738320.0,236189986320.0,,,104035789440.0,543823444800.0,,,,,,,,,,,,,,,
1984-03-31,,,,,,,,,,,,,,,,,1095772114.0,,,,,,,,,,,,,,,,,,,179323043184.0,,,,,,,,179323043184.0,,,,,,,,,,,,,,,,1.498102,,,,,,,,,,,,,,,,,,179323043184.0,,,,,,,,,,,,,,,,,,,,,,,,1095772114.0,,,,,,,,,,,,,,,,,,,,,,7591581738.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.498102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,,,,,,1095772114.0,,,,,,,,,,,,,,,,,,,189439958826.0,,,,,,,,189439958826.0,,,,,,,,,,,,,,,,1.582819,,,,,,,,,,,,,,,,,,189439958826.0,,,,,,,,,,,,,,,,,,,,,,,,1095772114.0,,,,,,,,,,,,,,,,,,,,,,7997152214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.582819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,,,,,,,1095772114.0,,,,,,,,,,,,,,,,,,,209378222977.0,,,,,,,,209378222977.0,,,,,,,,,,,,,,,,1.636649,,,,,,,,,,,,,,,,,,209378222977.0,,,,,,,,,,,,,,,,,,,,,,,,1095772114.0,,,,,,,,,,,,,,,,,,,,,,8808951371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.636649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,,,,,319506871375.0,,,303939542475.0,251311927355.0,34976272835.0,22999473020.0,,,11248650560.0,,0.0,,,18178622780.0,294548927945.0,,,232229395155.0,,,,,,283049191435.0,283049191435.0,,29527707720.0,,,,-517229957415.0,,,210460243290.0,,,,,228244228135.0,,,-140809000760.0,,208853293210.0,34976272835.0,829412218635.0,409395641475.0,,,,,,,,,460165220565.0,,,319506871375.0,420016577160.0,,336078544075.0,683330412925.0,,570793690135.0,-140809000760.0,,,,,,,-517229957415.0,251311927355.0,,,,,,,,,,,178697870615.0,139503353820.0,,,232229395155.0,139503353820.0,,,,,,915559808080.0,,,,949298078.0,,,99379819010.0,,75727522520.0,915559808080.0,,,34976272835.0,,,0.0,,,,,,,9604529889.0,0.0,,303939542475.0,11248650560.0,110628469570.0,0.0,,29527707720.0,36.844352,83938033085.0,,99379819010.0,,460165220565.0,994502749.0,,,283049191435.0,,,208853293210.0,40751249685.0,,,,,570793690135.0,53531524540.0,,,,,,,,,,,,210460243290.0,,,,,,,178697870615.0,35.169609,0.0,53531524540.0,,,110628469570.0,283049191435.0,,,125467649215.0,683330412925.0,,,,,,,,,,,,,,,
1985-03-31,,,,,,,,,,,,,,,,,1095772114.0,,,,,,,,,,,,,,,,,,,191907249625.0,,,,,,,,191907249625.0,,,,,,,,,,,,,,,,1.677397,,,,,,,,,,,,,,,,,,191907249625.0,,,,,,,,,,,,,,,,,,,,,,,,1095772114.0,,,,,,,,,,,,,,,,,,,,,,8097776750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.677397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
