,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,annualNetOtherInvestingChanges,quarterlyGoodwill,annualRetainedEarnings,quarterlyTotalNonCurrentAssets,trailingNetIncome,annualGoodwill,annualTotalAssets,annualBasicEPS,trailingPretaxIncome,quarterlyAccountsReceivable,annualNetIncome,annualPretaxIncome,annualCashDividendsPaid,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,annualPurchaseOfInvestment,quarterlyLongTermDebt,annualAccountsReceivable,annualInvestingCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualOperatingIncome,trailingOperatingIncome,annualAccountsPayable,annualFreeCashFlow,quarterlySellingGeneralAndAdministration,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualEndCashPosition,annualStockholdersEquity,annualNonCurrentDeferredRevenue,quarterlyOtherNonCurrentLiabilities,annualOtherNonCashItems,annualOtherCurrentAssets,trailingTotalRevenue,annualLongTermDebt,quarterlyPurchaseOfInvestment,quarterlyCurrentDebt,annualCurrentLiabilities,annualCurrentAccruedExpenses,annualCashAndCashEquivalents,quarterlyInterestExpense,quarterlyBasicEPS,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualTaxProvision,annualDepreciationAndAmortization,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeCommonStockholders,annualInvestmentsAndAdvances,annualDilutedAverageShares,annualDilutedEPS,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyGrossProfit,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,annualNetPPE,quarterlyOperatingExpense,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,annualOtherNonCurrentAssets,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualCashCashEquivalentsAndMarketableSecurities,annualOtherShortTermInvestments,annualSaleOfInvestment,annualCommonStockIssuance,annualOtherIntangibleAssets,annualRepurchaseOfCapitalStock,annualEbitda,annualCurrentAssets,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,trailingNetIncomeCommonStockholders,annualGrossPPE,quarterlyStockholdersEquity,trailingInterestExpense,quarterlyNetOtherInvestingChanges,quarterlyChangeInInventory,annualRepaymentOfDebt,annualInterestExpense,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,quarterlySaleOfInvestment,trailingGrossProfit,annualTotalNonCurrentAssets,trailingOtherIncomeExpense,annualSellingGeneralAndAdministration,annualCapitalExpenditure,quarterlyOtherIntangibleAssets,quarterlyBasicAverageShares,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,annualOtherIncomeExpense,quarterlyEbitda,annualStockBasedCompensation,quarterlyCapitalExpenditure,trailingTaxProvision,annualInventory,annualCashFlowFromContinuingFinancingActivities,annualNetOtherFinancingCharges,quarterlyOperatingIncome,annualChangeInInventory,quarterlyTotalRevenue,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,annualCurrentDebt,annualCapitalStock,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,annualOperatingExpense,annualCurrentDeferredRevenue,annualCostOfRevenue,annualTotalRevenue,trailingOperatingExpense,trailingSellingGeneralAndAdministration,quarterlyOperatingCashFlow,quarterlyCurrentLiabilities,annualGrossProfit,quarterlyPretaxIncome,annualAccumulatedDepreciation,quarterlyCurrentAssets,annualNonCurrentDeferredTaxesLiabilities,quarterlyGrossPPE,annualTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredRevenue,annualChangesInAccountReceivables,quarterlyDilutedEPS,trailingCostOfRevenue,quarterlyChangeInCashSupplementalAsReported,quarterlyChangeInWorkingCapital,annualBasicAverageShares,quarterlyOtherNonCashItems,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNetPPE,annualChangeInWorkingCapital,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,trailingNetIncomeContinuousOperations,quarterlyOtherCurrentLiabilities,annualResearchAndDevelopment,trailingBasicAverageShares,trailingStockBasedCompensation,quarterlyRepaymentOfDebt,trailingDeferredIncomeTax,trailingFreeCashFlow,trailingRepurchaseOfCapitalStock,trailingChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,trailingCapitalExpenditure,quarterlyRepurchaseOfCapitalStock,trailingRepaymentOfDebt,trailingCashDividendsPaid,trailingChangeInInventory,trailingChangesInAccountReceivables,trailingPurchaseOfBusiness,trailingOtherNonCashItems,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingOperatingCashFlow,trailingNetOtherFinancingCharges,quarterlyPurchaseOfBusiness,trailingBasicEPS,trailingResearchAndDevelopment,trailingDepreciationAndAmortization,quarterlyDeferredIncomeTax,quarterlyIncomeTaxPayable,trailingCommonStockIssuance,trailingEndCashPosition,quarterlyChangeInAccountPayable,annualIncomeTaxPayable,trailingSaleOfInvestment,trailingPurchaseOfInvestment,trailingBeginningCashPosition,trailingChangeInAccountPayable,trailingInvestingCashFlow,trailingChangeInWorkingCapital,quarterlyResearchAndDevelopment,trailingCashFlowFromContinuingFinancingActivities,quarterlyChangesInAccountReceivables,annualDeferredIncomeTax,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946598400,,,-850829340.48,,8536877615.04,,,,45358282417.92,0.827808,,,838999964.16,1394566747.2,,,,,-460625483.52,,,-13927215631.68,,,2815350173.76,,8516563206.72,-8184380412.48,,,,6001334823.36,8536877615.04,,,-2344360534.08,1025985235.2,,12232386366.72,,,21840803491.2,,6001334823.36,,,,,555566783.04,3776393871.36,,,,,,,973000000.0,0.827808,,,,,,33220911853.44,,,,1282655383.68,4510171160.64,12450753839.04,,6457639149.12,456304325.76,57176698.56,,359781912.96,,6591744045.12,10494933267.84,838999964.16,11630727234.24,1665326187.84,,40314671782.08,,,,,,808685635.2,218367472.32,4336008635.52,,,34863349150.08,,5855822733.12,-12694551573.12,,,,,,,,,,-353556796.8,,,,,734282252.16,11082370658.88,725226032.64,,383349606.72,,,,1693513050.24,,,838999964.16,9632216604.48,,4999447079.04,17447013857.28,,,,,12447566778.24,,-7093759928.64,,,,34291557330.24,,,,,,,973000000.0,,,,,-17475026.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954460800,,,,,,,,,,,,,,,,,,1004077670.0,,,,,85611903.36,85611903.36,,,,,,,,,,,,,,,,,,,,,,0.085264,,,,,,,,,85611903.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004077670.0,,,,,,,,,5252408647.68,,,,,,,5252408647.68,,5252408647.68,,,,,,,,,,,,,,,,,,,,,,,,0.085264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962323200,,,,,,,,,,,,,,,,,,1004077670.0,,,,,85611903.36,85611903.36,,,,,,,,,,,,,,,,,,,,,,0.085264,,,,,,,,,85611903.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004077670.0,,,,,,,,,5252408647.68,,,,,,,5252408647.68,,5252408647.68,,,,,,,,,,,,,,,,,,,,,,,,0.085264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970272000,,,,,,,,,,,,,,,,,,1122651699.0,,,,,1530020507.4,1530020507.4,,,,,,,,,,,,,,,,,,,,,,1.362863,,,,,,,,,1530020507.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122651699.0,,,,,,,,,6588202328.4,,,,,,,6588202328.4,,6588202328.4,,,,,,,,,,,,,,,,,,,,,,,,1.362863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978220800,,744074267.4,-9301188765.6,,2805848083.8,55007658478.8,,,112692516030.0,2.895574,,1543184616.6,3230147586.6,4333779347.4,,112692516030.0,,,-581107278.6,27118551864.6,1543184616.6,-30514039183.8,1529074536.0,1529074536.0,5215968799.2,,10591490151.0,-11994244711.2,,,27220712126.4,44662660858.8,57155272709.4,,102160261.8,-883950408.0,8032159400.4,,27118551864.6,,8490421382.4,27434350009.8,744074267.4,44662660858.8,,,,,1103631760.8,5727390163.2,,919409286.6,54655062136.2,,1529074536.0,,1121967900.0,2.895574,,678869283.6,,,,52799774902.2,,600932503.8,,919409286.6,9332571816.0,27220712126.4,,45035611540.2,372950681.4,688633083.0,45220462336.8,295600887.0,,10943358962.4,57684857551.2,3230147586.6,7608364209.0,38667547481.4,,65045671002.0,57155272709.4,,,,,1351951387.2,102160261.8,5995113377.4,,,55007658478.8,,7995667096.8,-21326816527.2,295600887.0,,1329761685.6,10591490151.0,8032159400.4,45035611540.2,600932503.8,44662660858.8,,-1133237320.2,-11866543570.8,,,,678869283.6,59849014849.2,316046167.2,-11866543570.8,54647514.0,6581324521.8,-12245896099.8,,8490421382.4,1329761685.6,,3230147586.6,13723057260.0,,4724810832.6,23663836891.8,,,,27434350009.8,18939026059.2,,-12245896099.8,57684857551.2,,65045671002.0,54655062136.2,,,,,,,1120822400.0,,,2805848083.8,52799774902.2,-1457600491.8,,372950681.4,,7608364209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985996800,,,,,,,,,,,,,,,,,,1252696310.0,,,,,1094726157.0,1094726157.0,,,,,,,,,,,,,,,,,,,,,,0.873896,,,,,,,,,1094726157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1252696310.0,,,,,,,,,6800869469.1,,,,,,,6800869469.1,,6800869469.1,,,,,,,,,,,,,,,,,,,,,,,,0.873896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993859200,1125784006.1,,,,,65451679917.0,,,,,,1975228764.6,,,,123824799558.2,,1255299607.0,,34211440348.8,,,1094593747.0,1094593747.0,,,,,2424499109.5,,34251955445.5,,,,40515096.7,,,,,,6539174634.2,,,,,0.87379,,,,,,1069752313.5,63636469664.3,,1094593747.0,,,,32909732.7,779144741.7,5674262880.0,,,,4360973584.5,,,,,,,,,,,,,,,,,,,,59334470717.6,,,,,,,,,,,,,,257912773.3,1255299607.0,1329533361.0,14356397621.8,16025932087.1,37046397646.7,600823756.0,36676066020.1,,,3249763770.5,,,,,,,1313289295.5,,6800046886.1,-12244859240.9,,,,,,,,,,,,,29384514218.8,,1519303726.2,,58373119641.2,,75227780136.6,,,,0.87379,,,,,,424709979.2,4994550005.9,62982920895.7,,,370331626.6,,8488941962.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001808000,,,,,,,,,,,,,,,,,,1224512086.0,,,,,1130716370.4,1130716370.4,,,,,,,,,,,,,,,,,,,,,,0.923402,,,,,,,,,1130716370.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1224512086.0,,,,,,,,,7876168899.6,,,,,,,7876168899.6,,7876168899.6,,,,,,,,,,,,,,,,,,,,,,,,0.923402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009756800,,717825429.12,-755366521.92,,7041326569.92,77946401280.0,,,127903877330.88,3.600634,,2498043089.28,4456727876.16,5497853719.68,,127903877330.88,,,-17104301345.28,36336483154.56,2498043089.28,-46124650508.16,1136797529.76,1136797529.76,5263310879.04,,13265854986.24,-17469000437.76,,,36477169124.16,18412867119.36,61680669438.72,,39933457.92,-2171481111.36,0.0,,36336483154.56,,7940690293.44,28916641376.64,717825429.12,43334606424.96,,,,,1041125843.52,8262227476.8,,1143070398.72,65393810500.8,,1136797529.76,,1255299600.0,3.600634,,751989065.28,,,,75747834290.88,,826276555.2,,1143070398.72,11077784602.56,36477169124.16,,43538437588.8,203831163.84,150114702.72,,43286080.32,,13525538355.84,49957476050.88,4456727876.16,6992270667.84,-26303466750.72,,96073509077.76,61680669438.72,,,,,1917551007.36,39933457.92,44716333870.08,,,77946401280.0,,11599013909.76,-28546785040.32,43286080.32,,1331363606.4,13265854986.24,0.0,43538437588.8,826276555.2,43334606424.96,,19834279.68,-16213116309.36,,,,751989065.28,8743399154.88,0.0,-16213116309.36,-72300750.72,7916228622.48,-20325674786.88,,7940690293.44,1331363606.4,,4456727876.16,19861241386.56,,4268103545.28,29392655810.88,,,,28916641376.64,25124552265.6,,-20325674786.88,49957476050.88,,96073509077.76,65393810500.8,,,,,,,1255299600.0,,,7041326569.92,75747834290.88,-1523473008.96,,203831163.84,,6992270667.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
