date,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyEbitda,trailingNetOtherFinancingCharges,trailingTaxProvision,quarterlyStockBasedCompensation,annualCurrentAccruedExpenses,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,annualInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyBasicEPS,quarterlyTotalLiabilitiesNetMinorityInterest,trailingEndCashPosition,annualCurrentDeferredRevenue,annualNetOtherFinancingCharges,quarterlyEndCashPosition,annualCurrentDebt,quarterlyChangeInAccountPayable,annualResearchAndDevelopment,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCostOfRevenue,quarterlyOtherNonCashItems,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid,annualCurrentAssets,trailingFreeCashFlow,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,trailingSellingGeneralAndAdministration,annualGainsLossesNotAffectingRetainedEarnings,annualOperatingExpense,annualOtherNonCurrentAssets,annualDeferredIncomeTax,annualAccumulatedDepreciation,annualChangeInAccountPayable,quarterlyDeferredIncomeTax,annualRepurchaseOfCapitalStock,quarterlyRetainedEarnings,annualTotalLiabilitiesNetMinorityInterest,trailingNetIncomeContinuousOperations,quarterlyCurrentLiabilities,annualChangesInAccountReceivables,quarterlyCurrentAssets,trailingOperatingExpense,trailingBeginningCashPosition,quarterlyChangeInWorkingCapital,trailingCostOfRevenue,trailingNetIncomeCommonStockholders,trailingNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,annualEbitda,annualNetIncomeCommonStockholders,quarterlyStockholdersEquity,annualRetainedEarnings,annualNetIncome,quarterlyBasicAverageShares,annualOtherShortTermInvestments,quarterlyOperatingExpense,annualBeginningCashPosition,annualCommonStockIssuance,annualFreeCashFlow,quarterlyChangeInInventory,annualCashDividendsPaid,annualBasicAverageShares,quarterlyCurrentDeferredRevenue,trailingChangeInAccountPayable,trailingOperatingCashFlow,annualAccountsReceivable,annualOtherCurrentAssets,quarterlyNetIncome,quarterlyLongTermDebt,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredTaxesLiabilities,annualTotalNonCurrentAssets,quarterlyNetIncomeContinuousOperations,annualSellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,annualTotalAssets,quarterlyNetOtherInvestingChanges,annualTaxProvision,annualLongTermDebt,annualStockholdersEquity,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCommonStockIssuance,annualOtherNonCashItems,trailingStockBasedCompensation,annualDepreciationAndAmortization,trailingCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,trailingChangeInInventory,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,annualCurrentLiabilities,annualInventory,quarterlyDilutedEPS,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,annualIncomeTaxPayable,trailingOtherNonCashItems,quarterlyInventory,annualStockBasedCompensation,quarterlyNetOtherFinancingCharges,annualOperatingCashFlow,trailingOtherIncomeExpense,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,annualNetPPE,quarterlyAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,annualGrossProfit,annualNonCurrentDeferredTaxesLiabilities,trailingPretaxIncome,quarterlyTaxProvision,annualCashCashEquivalentsAndMarketableSecurities,annualDilutedEPS,annualDilutedAverageShares,quarterlyResearchAndDevelopment,annualChangeInInventory,trailingNetIncome,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyOtherShortTermInvestments,trailingChangeInCashSupplementalAsReported,quarterlyChangesInAccountReceivables,quarterlyFreeCashFlow,annualChangeInWorkingCapital,annualRepaymentOfDebt,annualOtherCurrentLiabilities,annualGrossPPE,annualNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,quarterlyDepreciationAndAmortization,trailingChangesInAccountReceivables,trailingChangeInWorkingCapital,annualInterestExpense,annualPretaxIncome,annualOtherNonCurrentLiabilities,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,trailingCapitalExpenditure,trailingDeferredIncomeTax,annualAccountsPayable,trailingOperatingIncome,annualCapitalStock,quarterlyCashAndCashEquivalents,trailingGrossProfit,annualOtherIncomeExpense,annualTotalRevenue,annualInvestingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingInvestingCashFlow,annualCapitalExpenditure,annualBasicEPS,quarterlyAccountsPayable,trailingRepaymentOfDebt,quarterlyCapitalStock,quarterlyBeginningCashPosition,trailingInterestExpense,annualCashFlowFromContinuingFinancingActivities,quarterlyDilutedAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOperatingIncome,annualEndCashPosition,trailingTotalRevenue,quarterlyOtherIntangibleAssets,annualNonCurrentDeferredRevenue,annualGoodwill,quarterlyPurchaseOfInvestment,annualSaleOfInvestment,trailingCashDividendsPaid,trailingDilutedAverageShares,annualPurchaseOfInvestment,quarterlyPurchaseOfBusiness,trailingBasicEPS,trailingCommonStockIssuance,trailingDepreciationAndAmortization,quarterlyGoodwill,trailingBasicAverageShares,trailingResearchAndDevelopment,trailingSaleOfInvestment,trailingRepurchaseOfCapitalStock,trailingPurchaseOfInvestment,annualPurchaseOfBusiness,quarterlySaleOfInvestment,trailingPurchaseOfBusiness,trailingDilutedEPS,annualOtherIntangibleAssets,quarterlyNonCurrentDeferredRevenue
1997-12-31,1301000.0,26197000.0,,,,334326000.0,240254000.0,,3165000.0,,,,,,,35284000.0,,24873000.0,,315000.0,,6806000.0,79531000.0,16825000.0,,,,30435000.0,145930000.0,,,191038000.0,,79442000.0,34000.0,-11979000.0,-88559000.0,,,-10000.0,,110122000.0,779485000.0,,,,559362000.0,12896000.0,,2635209000.0,779432000.0,110597000.0,,,,47112000.0,26197000.0,,75494000.0,26197000.0,,,,3320000.0,,-12700000.0,,,98083.0,,33190000.0,3267143000.0,11432000.0,13770000.0,,,,,157951000.0,,8990000.0,,,188386000.0,,-8941000.0,79317000.0,78264000.0,,,,-1536000.0,51180000.0,,-234139000.0,,,-6280000.0,,,,30591000.0,3549000.0,,,,,13672000.0,,,,51477000.0,-97958000.0,,,157917000.0,,,93200000.0,,1019739000.0,,1301000.0,267.09,98083.0,,8000.0,779432000.0,,,,22364000.0,,,5441000.0,0.0,0.0,246476000.0,-14182000.0,-2019000.0,,191715000.0,152411000.0,4804000.0,17256000.0,214000.0,,,-3121213000.0,240252000.0,19614000.0,1391537000.0,49000.0,,1950899000.0,8061000.0,110025000.0,-78359000.0,,-3010616000.0,-64177000.0,267.09,,-1490500000.0,,,273840000.0,24863000.0,,,13758000.0,1301000.0,4586108000.0,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31,15817000.0,-17980000.0,,,,,,,9224000.0,,,,,,,,,110976000.0,,337000.0,,7106000.0,157507000.0,19028000.0,,,,35601000.0,,,,,,307470000.0,9560000.0,0.0,-121061000.0,,,0.0,,193455000.0,,,,,,,,,,,,,,28986000.0,-17980000.0,,57514000.0,-17980000.0,,,,1301000.0,,-102624000.0,,,98083.0,,,,7255000.0,7734000.0,,,,,218138000.0,,238799000.0,,,253739000.0,,0.0,157302000.0,60284000.0,,,,14400000.0,,,,,,,,,,35948000.0,4627000.0,,,,,,,,,25191000.0,,,,208578000.0,,,297740000.0,,,,15817000.0,-183.315,98083.0,,-1078000.0,,,,,,,,-9945000.0,-9600000.0,10000000.0,329639000.0,15764000.0,14516000.0,,,,12248000.0,-17980000.0,205000.0,,,,,10532000.0,,49000.0,,,3031000.0,316768000.0,-112051000.0,,,-127815000.0,-183.315,,,,,,101376000.0,,,-9730000.0,15817000.0,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-31,,,105031000.0,3038000.0,8481000.0,,,,,-3020000.0,-1195000.0,,102140000.0,-30.795,,,,,3462000.0,,,,,,1437000.0,,,,,,,,,,,,,,,,,,,,,,,,-9622000.0,,,,,2891000.0,,,,,,,98068.0,,99102000.0,,,,-846000.0,,,,,,,,-3020000.0,,2032000.0,,,-972000.0,,,,,-270000.0,,,,,,,,,,,-925000.0,,,4104000.0,-5398000.0,,,,-30.795,8000.0,,,,,,-5398000.0,,,-5762000.0,,,,-12355000.0,,,,,,,,1356000.0,,,,,,,,-6687000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15817000.0,,,98068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-30,,,55338000.0,6004000.0,10244000.0,,,,,2031000.0,-3106000.0,,51925000.0,20.705,,,,,10757000.0,,,,,,1493000.0,,,,,,,,,,,,,,,,,,,,,,,,2815000.0,,,,,3413000.0,,,,,,,98092.0,,45921000.0,,,,313000.0,,,,,,,,2031000.0,,34523000.0,,,2031000.0,,,,,-283000.0,,,,,,,,,,,-2823000.0,,,4100000.0,-178000.0,,,,20.705,26000.0,,,,,,-178000.0,,,10579000.0,,,,7295000.0,,,,,,,,1931000.0,,,,,,,,7756000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3462000.0,,,98092.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-30,,,74764000.0,8149000.0,12255000.0,,,,,4304000.0,-4737000.0,,70674000.0,43.88,,,,,,,,,,,1283000.0,,0.0,,,,,,,,,,,,,,,,,,,,,,-2346000.0,,,,,4090000.0,,,,,,,98086.0,,62525000.0,,,,336000.0,,,,,,,,4304000.0,,49975000.0,,,0.0,,,,,-908000.0,,,,,,,,,,,-3829000.0,,,4032000.0,-4788000.0,,,,43.88,78000.0,,,,,,-4788000.0,,,7346000.0,,,,-2179000.0,,,,,,,,1852000.0,,,,,,,,3517000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10757000.0,,,98086.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31,10421000.0,5968000.0,100328000.0,4737000.0,11333000.0,,,,9776000.0,606000.0,-4660000.0,,95927000.0,,195893000.0,,,-15602000.0,,356000.0,,7750000.0,170448000.0,14796000.0,-3045000.0,,,36248000.0,,377174000.0,,,,298739000.0,8009000.0,0.0,-138872000.0,,,0.0,61435000.0,195893000.0,,25445000.0,,36248000.0,,,7584000.0,,,,9776000.0,4401000.0,11508000.0,42311000.0,3920000.0,86666000.0,61435000.0,3920000.0,,,91190000.0,15817000.0,,9976000.0,712000.0,,98074.0,,,,11508000.0,8517000.0,606000.0,170281000.0,71590000.0,,246311000.0,606000.0,244762000.0,167000.0,8517000.0,282559000.0,1691000.0,0.0,170281000.0,86666000.0,,170448000.0,,1168000.0,,,,-6351000.0,8009000.0,,4298000.0,-5238000.0,356000.0,25445000.0,4112000.0,,153000.0,,,,4112000.0,,-5238000.0,23904000.0,,11741000.0,0.0,238302000.0,-138872000.0,1843000.0,320665000.0,,,,10421000.0,39.97,98074.0,2611000.0,515000.0,,238302000.0,,,,,5390000.0,-1569000.0,0.0,0.0,377174000.0,230000.0,-5396000.0,,,,16534000.0,5968000.0,167000.0,282559000.0,246311000.0,,,8448000.0,,49000.0,10421000.0,,266000.0,335461000.0,-13698000.0,10421000.0,,-13928000.0,39.97,8448000.0,,49000.0,,,-15602000.0,,,21926000.0,10421000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-31,,,98600000.0,15766000.0,21317000.0,,,,,15316000.0,-969000.0,,93821000.0,156.15,180015000.0,,,,10221000.0,,,,,,-2738000.0,,,,,376204000.0,,,,,,,,,,,76751000.0,,,21848000.0,,37530000.0,,,-4737000.0,,,,6246000.0,4779000.0,14869000.0,,,101982000.0,,,98085.0,,78055000.0,,,,-854000.0,,,,,,,,15316000.0,158000000.0,2171000.0,,,15316000.0,,167000.0,6044000.0,,6563000.0,,,,,158167000.0,,,,,,-7532000.0,7650000.0,,4083000.0,-12623000.0,14000.0,,,156.15,3474000.0,,,,4966000.0,,-12623000.0,,,13392000.0,0.0,,-139387000.0,-200000.0,,,,,,,,993000.0,,,236817000.0,,,,,5860000.0,,,,,,,,,,,,,281997000.0,244467000.0,,,,,,10221000.0,,,,,10221000.0,,,,9202000.0,,49000.0,10421000.0,,,98085.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-30,,,105812000.0,8902000.0,13612000.0,,,,,4689000.0,-11986000.0,,100875000.0,47.81,179290000.0,,,,10524000.0,,,,,,3576000.0,,,,,384856000.0,,,,,,,,,,,80440000.0,,,38123000.0,,36793000.0,,,9321000.0,,,,10546000.0,4937000.0,13470000.0,,,105671000.0,,,98076.0,,91973000.0,,,,-492000.0,,,,,,,,4689000.0,141000000.0,74172000.0,,,4689000.0,,167000.0,6687000.0,,106000.0,,,,,141167000.0,,,,,,-12092000.0,6872000.0,,4079000.0,-10006000.0,8007000.0,,,47.81,-399000.0,,,,5457000.0,,-9006000.0,,,22295000.0,0.0,,-143560000.0,303000.0,,,,,,,,3932000.0,,,241296000.0,,,,,10203000.0,,,,,,,,,,,,,284961000.0,248168000.0,,,,,,10524000.0,,,,,10524000.0,,,,13553000.0,,49000.0,10221000.0,,,98076.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-30,,,103884000.0,14528000.0,20308000.0,,,,,11287000.0,-9762000.0,,99191000.0,115.075,167602000.0,,,,,,,,,,296000.0,,0.0,,,394024000.0,,,,,,,,,,,91726000.0,,,26436000.0,,32706000.0,,,-5730000.0,,,,7324000.0,4693000.0,14304000.0,,,116957000.0,,,98084.0,,84663000.0,,,,557000.0,,,,,,,,11287000.0,141000000.0,66756000.0,,,0.0,,166000.0,6462000.0,,984000.0,,,,,141166000.0,,,,,,-10746000.0,6600000.0,,3863000.0,-6008000.0,2000000.0,,,115.075,467000.0,,,,4900000.0,,-6008000.0,,,11633000.0,0.0,,-148771000.0,-4137000.0,,,,,,,,1550000.0,,,245253000.0,,,,,887000.0,,,,,,,,,,,,,284559000.0,251853000.0,,,,,,6387000.0,,,,,6387000.0,,,,10647000.0,,0.0,10524000.0,,,98084.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-31,7151000.0,37780000.0,127429000.0,9113000.0,15018000.0,,,,10375000.0,6488000.0,-18957000.0,,121537000.0,,175177000.0,,,-10436000.0,,10200000.0,,13321000.0,130257000.0,20301000.0,991000.0,,0.0,37965000.0,,406709000.0,,,,367114000.0,5848000.0,,-151899000.0,,,,98215000.0,175177000.0,,44920000.0,,37965000.0,,,8986000.0,,,,10375000.0,5892000.0,15778000.0,70256000.0,37780000.0,123446000.0,98215000.0,37780000.0,,,112424000.0,10421000.0,,21551000.0,-87000.0,-1000000.0,28730038.0,,,,15778000.0,9839000.0,6488000.0,130150000.0,85364000.0,,260658000.0,6488000.0,289167000.0,107000.0,9839000.0,298623000.0,-1188000.0,,130150000.0,123446000.0,,130257000.0,,2125000.0,,,,-17769000.0,5848000.0,,3760000.0,37051000.0,10200000.0,44920000.0,4988000.0,,958000.0,,,,4988000.0,,17201000.0,69690000.0,,22370000.0,0.0,254810000.0,-151899000.0,764000.0,415425000.0,,,,7151000.0,1.31,28839695.0,6846000.0,-876000.0,,254810000.0,,,,,4601000.0,7840000.0,19850000.0,0.0,406709000.0,6465000.0,-3270000.0,,,,15786000.0,,107000.0,298623000.0,260658000.0,,,17164000.0,,144000.0,7151000.0,,4500000.0,435726000.0,-41674000.0,7151000.0,,-48139000.0,1.315,17164000.0,,144000.0,,,8414000.0,,,48311000.0,7151000.0,,,,,,,,,,,,,,,,,,,,,,,,,
