date,trailingCapitalExpenditure,annualCapitalExpenditure,trailingDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,annualBasicAverageShares,quarterlySaleOfInvestment,annualDeferredIncomeTax,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,trailingInterestExpense,quarterlyOtherCurrentAssets,trailingBeginningCashPosition,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,quarterlyChangeInWorkingCapital,annualOtherNonCurrentAssets,annualChangesInAccountReceivables,quarterlyGainsLossesNotAffectingRetainedEarnings,annualRepurchaseOfCapitalStock,trailingOperatingExpense,annualCurrentAssets,trailingNetIncomeContinuousOperations,trailingNetIncomeCommonStockholders,annualNetOtherFinancingCharges,annualCurrentAccruedExpenses,annualChangeInCashSupplementalAsReported,quarterlyEbitda,quarterlyStockholdersEquity,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,quarterlyNetOtherInvestingChanges,quarterlyGrossProfit,quarterlyDilutedAverageShares,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,annualInterestExpense,trailingRepurchaseOfCapitalStock,annualRepaymentOfDebt,quarterlyOperatingExpense,quarterlyChangeInInventory,annualBasicEPS,annualTotalRevenue,annualDilutedAverageShares,trailingChangeInAccountPayable,annualTotalNonCurrentAssets,quarterlyOtherNonCashItems,annualGrossProfit,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,trailingFreeCashFlow,annualTotalLiabilitiesNetMinorityInterest,annualTaxProvision,quarterlyTaxProvision,annualInventory,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,trailingCostOfRevenue,annualChangeInWorkingCapital,quarterlyNetPPE,quarterlyBasicEPS,annualOtherCurrentAssets,quarterlyRetainedEarnings,quarterlyCapitalExpenditure,annualNetIncomeContinuousOperations,quarterlyCashFlowFromContinuingFinancingActivities,annualDilutedEPS,annualChangeInInventory,trailingTaxProvision,quarterlyOperatingIncome,quarterlyTotalRevenue,annualNetIncome,annualFreeCashFlow,annualCurrentDebt,quarterlyAccumulatedDepreciation,annualCashDividendsPaid,annualBeginningCashPosition,trailingOtherNonCashItems,annualOperatingExpense,trailingSellingGeneralAndAdministration,annualCostOfRevenue,annualPurchaseOfBusiness,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,trailingInvestingCashFlow,annualInvestingCashFlow,annualPretaxIncome,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualNonCurrentDeferredTaxesLiabilities,trailingCashDividendsPaid,annualTotalAssets,trailingNetIncome,annualStockholdersEquity,annualLongTermDebt,annualOtherNonCashItems,quarterlyOtherCurrentLiabilities,quarterlyBasicAverageShares,quarterlyCommonStockIssuance,trailingChangeInInventory,quarterlyOtherShortTermInvestments,trailingNetOtherInvestingChanges,annualCurrentLiabilities,quarterlyAccountsReceivable,annualRetainedEarnings,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,annualDepreciationAndAmortization,annualSaleOfInvestment,annualCommonStockIssuance,annualGoodwill,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,annualPurchaseOfInvestment,trailingChangeInWorkingCapital,annualCapitalStock,quarterlyOtherIncomeExpense,trailingOperatingCashFlow,quarterlyInvestmentsAndAdvances,annualAccountsReceivable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,quarterlyCashAndCashEquivalents,annualChangeInAccountPayable,trailingOtherIncomeExpense,trailingGrossProfit,quarterlyCashCashEquivalentsAndMarketableSecurities,annualAccountsPayable,trailingOperatingIncome,annualOtherIntangibleAssets,quarterlyCashDividendsPaid,annualOtherShortTermInvestments,annualCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,trailingTotalRevenue,annualNetPPE,annualEbitda,quarterlyCapitalStock,annualOperatingIncome,annualOtherIncomeExpense,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,annualNetOtherInvestingChanges,trailingChangeInCashSupplementalAsReported,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyDilutedEPS,quarterlyCurrentDebt,annualCashAndCashEquivalents,annualGrossPPE,quarterlyChangesInAccountReceivables,trailingCashFlowFromContinuingFinancingActivities,trailingEndCashPosition,quarterlyNetIncomeCommonStockholders,trailingPretaxIncome,annualInvestmentsAndAdvances,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,annualGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherFinancingCharges,annualOtherNonCurrentLiabilities,quarterlyFreeCashFlow,trailingBasicAverageShares,quarterlyStockBasedCompensation,trailingCommonStockIssuance,annualResearchAndDevelopment,trailingPurchaseOfBusiness,quarterlyNonCurrentDeferredRevenue,annualNonCurrentDeferredRevenue,trailingBasicEPS,trailingDilutedEPS,quarterlyResearchAndDevelopment,trailingStockBasedCompensation,trailingPurchaseOfInvestment,annualCurrentDeferredRevenue,trailingChangesInAccountReceivables,annualStockBasedCompensation,annualIncomeTaxPayable,trailingDepreciationAndAmortization,trailingSaleOfInvestment,quarterlyCurrentDeferredRevenue,trailingResearchAndDevelopment,quarterlyIncomeTaxPayable,trailingDilutedAverageShares
1979-12-31,-6658000000.0,,-419000000.0,,,928229167.0,,,,,770000000.0,,3940000000.0,-2977800000.0,366800000.0,,355100000.0,,,,1921000000.0,3386100000.0,8392000000.0,8337000000.0,,,,,,891100000.0,2599200000.0,-85000000.0,,,,,,,96600000.0,-3716000000.0,,,,0.96,9347100000.0,928229167.0,-485000000.0,5132600000.0,,2903000000.0,,,,5247000000.0,4261500000.0,1245000000.0,,603800000.0,,,,,24641000000.0,,,,51100000.0,,,891100000.0,,0.96,,2518000000.0,,,891100000.0,0.0,78900000.0,,,0.0,-60000000.0,912500000.0,434000000.0,6444100000.0,,,,,-2966000000.0,0.0,2136100000.0,,,463700000.0,-1391000000.0,8518700000.0,8337000000.0,4257200000.0,648400000.0,,,,,249000000.0,,125000000.0,2678100000.0,,3553200000.0,,,,,,,,,,,,-297000000.0,,,11905000000.0,,,1583400000.0,0.0,,,3620000000.0,9884000000.0,,,7963000000.0,,,,1299900000.0,,,0.0,34525000000.0,4777500000.0,2386200000.0,,1990500000.0,242000000.0,,-84000000.0,,3518000000.0,,,,,1299900000.0,7755300000.0,,-5276000000.0,7603000000.0,,10910000000.0,,,,,,,,,471300000.0,,,,,,,,,,,,,,,,,,,,,,,
1980-12-31,,,,,,918454936.0,,,,,,,,-3431000000.0,420000000.0,,475000000.0,,,,,3694000000.0,,,,,,,,1070000000.0,3037000000.0,,,,,,,,106000000.0,,,,,1.165,13117000000.0,918454936.0,,6150000000.0,,4173000000.0,,,,,4907000000.0,2170000000.0,,696000000.0,,,,,,,,,105000000.0,,,1070000000.0,,1.165,,,,,1070000000.0,0.0,68000000.0,,,0.0,,1163000000.0,,8944000000.0,,,,,,0.0,3240000000.0,,,491000000.0,,9844000000.0,,4937000000.0,773000000.0,,,,,,,,3105000000.0,,4348000000.0,,,,,,,,,,,,,,,,,,1802000000.0,0.0,,,,,,,,,,,1471000000.0,,,0.0,,5675000000.0,3569000000.0,,3010000000.0,336000000.0,,,,,,,,,1471000000.0,9106000000.0,,,,,,,,,,,,,,538000000.0,,,,,,,,,,,,,,,,,,,,,,,
1981-12-31,,,,,,915625000.0,,,,,,,,-3866000000.0,491000000.0,,668000000.0,,,,,3048000000.0,,,,,,,,879000000.0,2681000000.0,,,,,,,,202000000.0,,,,,0.96,15429000000.0,915625000.0,,8216000000.0,,3898000000.0,,,,,5783000000.0,1792000000.0,,883000000.0,,,,,,,,,144000000.0,,,879000000.0,,0.96,,,,,879000000.0,0.0,556000000.0,,,0.0,,1347000000.0,,11531000000.0,,,,,,0.0,2671000000.0,,,710000000.0,,11264000000.0,,5481000000.0,1100000000.0,,,,,,,,3237000000.0,,4892000000.0,,,,,,,,,,,,,,,,,,2546000000.0,0.0,,,,,,,,,,,895000000.0,,,0.0,,7548000000.0,3167000000.0,,2551000000.0,322000000.0,,,,,,,,,895000000.0,11414000000.0,,,,,,,,,,,,,,736000000.0,,,,,,,,,,,,,,,,,,,,,,,
1982-12-31,,,,,,916312057.0,,,,,,,,-4154000000.0,500000000.0,,640000000.0,,,,,2909000000.0,,,,,,,,646000000.0,2519000000.0,,,,,,,,226000000.0,,,,,0.705,15472000000.0,916312057.0,,9188000000.0,,3583000000.0,,,,,6324000000.0,1454000000.0,,759000000.0,,,,,,,,,130000000.0,,,646000000.0,,0.705,,,,,646000000.0,0.0,193000000.0,,,0.0,,1451000000.0,,11889000000.0,,,,,,0.0,2100000000.0,,,838000000.0,,12097000000.0,,5773000000.0,1955000000.0,,,,,,,,2712000000.0,,5225000000.0,,,,,,,,,,,,,,,,,,3612000000.0,0.0,,,,,,,,,,,793000000.0,,,0.0,,8548000000.0,2832000000.0,,2132000000.0,194000000.0,,,,,,,,,793000000.0,12702000000.0,,,,,,,,,,,,,,819000000.0,,,,,,,,,,,,,,,,,,,,,,,
1983-12-31,,,,,,918471338.0,,,,,,,,-4753000000.0,441000000.0,,642000000.0,,,,,2903000000.0,,,,,,,,721000000.0,2739000000.0,,,,,,,,247000000.0,,,,,0.785,15063000000.0,918471338.0,,10191000000.0,,3644000000.0,,,,,6945000000.0,1556000000.0,,668000000.0,,,,,,,,,110000000.0,,,721000000.0,,0.785,,,,,721000000.0,0.0,142000000.0,,,0.0,,1282000000.0,,11419000000.0,,,,,,0.0,2277000000.0,,,1210000000.0,,13094000000.0,,6149000000.0,2242000000.0,,,,,,,,2881000000.0,,5609000000.0,,,,,,,,,,,,,,,,,,4064000000.0,0.0,,,,,,,,,,,906000000.0,,,0.0,,9549000000.0,2942000000.0,,2362000000.0,162000000.0,,,,,,,,,906000000.0,14302000000.0,,,,,,,,,,,,,,612000000.0,,,,,,,,,,,,,,,,,,,,,,,
1984-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,3960000000.0,,,,,,,928690000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,3960000000.0,3960000000.0,,,,,,,,,,,,,,,,,,,193000000.0,,,,,,,,,928690000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,4054000000.0,,,,,,,928690000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,4054000000.0,4054000000.0,,,,,,,,,,,,,,,,,,,231000000.0,,,,,,,,,928690000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,3870000000.0,,,,,,,928690000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235,,,,,,,,,3870000000.0,3870000000.0,,,,,,,,,,,,,,,,,,,217000000.0,,,,,,,,,928690000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,,,,,17276000000.0,925714286.0,,,,,,163000000.0,,-5503000000.0,483000000.0,,581000000.0,,,,,4611000000.0,,,,,,-9724000000.0,6624000000.0,810000000.0,3380000000.0,,,,,,,,314000000.0,,,,,0.875,15400000000.0,925714286.0,,12354000000.0,,3826000000.0,5352000000.0,4611000000.0,,,10341000000.0,1255000000.0,,874000000.0,4989000000.0,,,,,,11773000000.0,,163000000.0,6057000000.0,,810000000.0,,0.875,,,-9724000000.0,3516000000.0,810000000.0,0.0,1972000000.0,-5503000000.0,,0.0,,1666000000.0,,11574000000.0,,,,716000000.0,,0.0,2065000000.0,,169000000.0,1433000000.0,,16965000000.0,,6624000000.0,2840000000.0,,3380000000.0,,,,,,5352000000.0,,6057000000.0,,,,,,,,874000000.0,1433000000.0,2840000000.0,,,,,,,,4989000000.0,0.0,1894000000.0,,,,1894000000.0,,,,,,1894000000.0,,,0.0,,11773000000.0,3074000000.0,,2160000000.0,219000000.0,,,,,,,,1972000000.0,1894000000.0,17276000000.0,,,,,,,10341000000.0,,581000000.0,16965000000.0,12354000000.0,,,716000000.0,,,,,,,,,,,,,,,,,,,,,,,
1985-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,3987500000.0,,,,,,,439322000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,3987500000.0,3987500000.0,,,,,,,,,,,,,,,,,,,106000000.0,,,,,,,,,439322000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
