,annualAccumulatedDepreciation,quarterlyGrossProfit,annualSellingGeneralAndAdministration,quarterlyDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,annualCapitalExpenditure,annualRepurchaseOfCapitalStock,trailingOperatingExpense,trailingNetIncomeContinuousOperations,annualOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,trailingSellingGeneralAndAdministration,annualOperatingExpense,trailingCapitalExpenditure,annualNetIncomeContinuousOperations,annualCurrentAssets,annualCashAndCashEquivalents,annualChangesInAccountReceivables,trailingBeginningCashPosition,trailingNetOtherFinancingCharges,quarterlyChangeInWorkingCapital,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualChangeInCashSupplementalAsReported,quarterlyEbitda,annualCurrentAccruedExpenses,quarterlyChangeInInventory,annualTotalRevenue,quarterlyOtherNonCashItems,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,annualInterestExpense,annualNetOtherFinancingCharges,trailingChangesInAccountReceivables,annualOtherShortTermInvestments,quarterlyCashDividendsPaid,quarterlyRetainedEarnings,annualCommonStockIssuance,quarterlyPurchaseOfBusiness,annualFreeCashFlow,annualGrossProfit,quarterlyPretaxIncome,quarterlyOperatingExpense,annualTotalNonCurrentAssets,annualChangeInWorkingCapital,trailingChangeInAccountPayable,annualOtherCurrentAssets,trailingNetIncomeCommonStockholders,trailingCostOfRevenue,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingFreeCashFlow,quarterlyGoodwill,quarterlyRepaymentOfDebt,annualTaxProvision,annualTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherInvestingChanges,quarterlyCurrentLiabilities,quarterlyCurrentAssets,trailingTaxProvision,quarterlyOtherCurrentAssets,annualNetIncome,quarterlyAccumulatedDepreciation,trailingDepreciationAndAmortization,annualPurchaseOfBusiness,annualCostOfRevenue,annualBeginningCashPosition,quarterlyOtherNonCurrentLiabilities,annualCashDividendsPaid,annualCurrentDebt,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,trailingOtherNonCashItems,trailingInvestingCashFlow,quarterlyOtherNonCurrentAssets,annualOtherNonCashItems,quarterlyCapitalExpenditure,annualPurchaseOfInvestment,annualLongTermDebt,annualStockholdersEquity,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,trailingPurchaseOfBusiness,annualInvestingCashFlow,annualNonCurrentDeferredTaxesLiabilities,annualDepreciationAndAmortization,annualChangeInInventory,trailingCashDividendsPaid,annualTotalAssets,trailingNetIncome,annualGoodwill,quarterlyTaxProvision,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetPPE,annualRetainedEarnings,annualInventory,annualCurrentLiabilities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyLongTermDebt,quarterlyOtherShortTermInvestments,annualCapitalStock,trailingNetOtherInvestingChanges,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,trailingChangeInInventory,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,annualSaleOfInvestment,annualCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,annualOtherIntangibleAssets,quarterlyOtherIntangibleAssets,trailingGrossProfit,trailingChangeInWorkingCapital,quarterlyBeginningCashPosition,annualOperatingIncome,annualOtherIncomeExpense,annualNetPPE,trailingRepaymentOfDebt,annualAccountsPayable,annualRepaymentOfDebt,annualEbitda,annualOperatingCashFlow,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,trailingTotalRevenue,annualNetOtherInvestingChanges,annualOtherCurrentLiabilities,annualEndCashPosition,annualCashFlowFromContinuingFinancingActivities,trailingCashFlowFromContinuingFinancingActivities,trailingEndCashPosition,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,trailingPretaxIncome,quarterlyTotalNonCurrentAssets,trailingChangeInCashSupplementalAsReported,annualGrossPPE,quarterlyFreeCashFlow,annualOtherNonCurrentLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,trailingOperatingIncome,trailingOtherIncomeExpense,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,annualPretaxIncome,quarterlySaleOfInvestment,annualInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,annualIncomeTaxPayable,quarterlyCurrentDeferredRevenue,quarterlyStockBasedCompensation,quarterlyDilutedAverageShares,annualResearchAndDevelopment,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,trailingStockBasedCompensation,quarterlyResearchAndDevelopment,quarterlyBasicEPS,annualNonCurrentDeferredRevenue,trailingBasicAverageShares,trailingSaleOfInvestment,trailingRepurchaseOfCapitalStock,trailingBasicEPS,trailingDeferredIncomeTax,annualDilutedAverageShares,quarterlyDilutedEPS,quarterlyBasicAverageShares,annualBasicAverageShares,trailingPurchaseOfInvestment,annualStockBasedCompensation,quarterlyIncomeTaxPayable,trailingDilutedEPS,trailingDilutedAverageShares,trailingInterestExpense,trailingResearchAndDevelopment,annualBasicEPS,trailingCommonStockIssuance,annualDilutedEPS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009756800,,,5600000.0,,,,,,,,,,,,,16900000.0,,15000000.0,,,,,,,,,,,,,,,,347900000.0,,,,,0.0,0.0,,,,,,,,,43800000.0,,,,,,,,,,,,,,,,21100000.0,,,,,,15000000.0,,,,304100000.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,232200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26900000.0,,187200000.0,,15700000.0,,38200000.0,,,,,,,,,,,,,,,,187200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041292800,,,,,,,,,,,,,,,,39400000.0,,14000000.0,,,,,,,,,,,,,,,,553300000.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,1100000.0,69700000.0,,,,,,14000000.0,,,,,,,,,,,,,,,,,100000.0,0.0,,,,,,,,,,339700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513900000.0,500000.0,201800000.0,,60700000.0,,513900000.0,,,,,,,,,,,,,,,,201800000.0,,,,,,,,,,,15100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072828800,,,,,,,,,,,,,,,,15500000.0,,23900000.0,,,,,,,,,,,,,,,,765700000.0,,,,,0.0,0.0,,,,,,,,,59600000.0,,,,,,,,,,,,,,,3600000.0,72300000.0,,,,,,23900000.0,,,,706100000.0,,,,,,,,,,,,,0.0,,,,,,,,,,,467400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44100000.0,11200000.0,189600000.0,,62300000.0,,59600000.0,,,,,,,,,,,,,,,,189600000.0,,,,,,,,,,,27500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104451200,,,6500000.0,,,,,,-3100000.0,,,,0.0,,,32700000.0,,20400000.0,61100000.0,,,,,,,,,,,0.0,,,,509500000.0,,,,,20400000.0,,-23100000.0,,,,,,,22500000.0,56900000.0,,,180000000.0,-11200000.0,,100000.0,,,,,,,,,,42700000.0,,,,,,20400000.0,,,,452600000.0,0.0,,,,,,,,,-600000.0,,,,198400000.0,,,,,-2500000.0,,17000000.0,,,241100000.0,,,,,,,,,42700000.0,,,,,,,,61000000.0,,,,,,,,,,,,,,,24200000.0,,172000000.0,,39800000.0,,41200000.0,25600000.0,,,,600000.0,2900000.0,0.0,-23100000.0,,,,,,,,172000000.0,,,,,,,,,,,,,5800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112227200,,15100000.0,,,,,,,,,,,,,,,,,,,,,,6300000.0,127400000.0,6900000.0,,-1200000.0,0.0,,9900000.0,,0.0,,-200000.0,,,,,,,,,0.0,,,,,,,8200000.0,,,,,,,0.0,,,,,0.0,,,100000.0,,,,,,,,,,,,,,7100000.0,,,,,,-1300000.0,,,,-15000000.0,16200000.0,7100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,112300000.0,,,,,3000000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,14900000.0,,,,,,,-15000000.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120089600,,15400000.0,,,,,,,,,,,,,,,,,,,,,,-8800000.0,150200000.0,7600000.0,,-1600000.0,0.0,,10500000.0,,0.0,,-100000.0,,,,,,,,,0.0,,,,,,,7800000.0,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,7700000.0,,,,,,-1600000.0,,,,-100000.0,1700000.0,7700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,134800000.0,,,,,2900000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,100000.0,,,,,,,-100000.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128038400,,11667000.0,,,,,-2400000.0,53900000.0,,,,,,235600000.0,,,,,,,,,,,123467000.0,6000000.0,285000000.0,2800000.0,0.0,,8933000.0,,,,,,,,,,,,,,,,,,,,5667000.0,,,,,,,2733000.0,103600000.0,174200000.0,,,,,,,61400000.0,94600000.0,,0.0,,-116200000.0,,,,,3200000.0,,,4967000.0,,,,73200000.0,,,,,,,-17900000.0,4967000.0,,,,,,,,,,,133000.0,,168800000.0,,,,,7500000.0,,171000000.0,,,,,,,,111800000.0,,,,,,,2600000.0,,,0.0,,,,,,,,,,106000000.0,,,,,,,,339200000.0,4967000.0,,244600000.0,,,-15000000.0,,94600000.0,94600000.0,,,,,1167000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135987200,-119000000.0,40900000.0,25600000.0,,,,,87000000.0,-7900000.0,,,,111800000.0,306400000.0,,38000000.0,,38000000.0,124500000.0,42200000.0,,,,,414800000.0,19900000.0,287900000.0,-107000000.0,42200000.0,42200000.0,22800000.0,800000.0,,785200000.0,,213000000.0,,,38000000.0,800000.0,-219200000.0,,,,400000.0,206400000.0,,67600000.0,75900000.0,,21000000.0,282800000.0,26100000.0,,200000.0,,,17400000.0,100900000.0,213000000.0,,,,,306400000.0,,93400000.0,124500000.0,,200000.0,38000000.0,-119000000.0,,,709300000.0,0.0,2900000.0,,,23100000.0,,,,111800000.0,,,-731000000.0,210100000.0,100900000.0,,75500000.0,23100000.0,,-107000000.0,,11700000.0,-100000.0,,407300000.0,,,,-700000.0,100000.0,168900000.0,400000.0,100000.0,93400000.0,,5600000.0,,210100000.0,,100500000.0,,24400000.0,,,,373900000.0,800000.0,24400000.0,630800000.0,42200000.0,,2100000.0,2100000.0,,,0.0,37900000.0,-300000.0,168900000.0,,87000000.0,,49600000.0,75500000.0,,100500000.0,,-100000.0,5600000.0,42200000.0,73700000.0,,,407300000.0,23100000.0,,282800000.0,,287900000.0,67600000.0,2900000.0,42200000.0,42200000.0,,,,,-2700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143763200,,13600000.0,,,,,,47300000.0,,,,,,250400000.0,,,,,,,,,,-11200000.0,120000000.0,6500000.0,288800000.0,-3800000.0,13200000.0,,9500000.0,,100000.0,,,,,,,,,,,-1700000.0,-200000.0,,,,,,7100000.0,,,,,,,4100000.0,104000000.0,195100000.0,,,,,,100000.0,55300000.0,72100000.0,,1700000.0,,-119000000.0,,,,,5000000.0,,,5400000.0,,,,110400000.0,,-3500000.0,,,,-21700000.0,-3500000.0,5400000.0,,,,,,,,,,,,,169800000.0,,,,,7400000.0,,190100000.0,1400000.0,,,,,-29000000.0,,106400000.0,600000.0,55800000.0,,,3000000.0,,2100000.0,,,42200000.0,,,,,,,,,,0.0,,,,,,,,354400000.0,5400000.0,,282300000.0,,,-7000000.0,,14600000.0,13200000.0,,,,0.0,2600000.0,-2337800000.0,,2337400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
