,annualCapitalExpenditure,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyIncomeTaxPayable,annualDeferredIncomeTax,quarterlySaleOfInvestment,quarterlyOtherCurrentAssets,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,trailingInterestExpense,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,quarterlyChangeInWorkingCapital,quarterlyDilutedEPS,trailingNetIncomeContinuousOperations,annualOtherNonCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangesInAccountReceivables,annualRepurchaseOfCapitalStock,annualCurrentAssets,trailingOperatingExpense,trailingNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,annualNetOtherFinancingCharges,quarterlyNetOtherInvestingChanges,annualCurrentAccruedExpenses,quarterlyEbitda,quarterlyStockholdersEquity,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,annualDilutedAverageShares,quarterlyInvestingCashFlow,annualDilutedEPS,quarterlyEndCashPosition,annualInterestExpense,annualRepaymentOfDebt,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyGrossProfit,annualTotalRevenue,trailingResearchAndDevelopment,annualResearchAndDevelopment,quarterlyOtherNonCashItems,annualTotalNonCurrentAssets,annualGrossProfit,quarterlyCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,annualTaxProvision,annualTotalLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,annualInventory,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyPretaxIncome,annualChangeInWorkingCapital,trailingCostOfRevenue,quarterlyNetPPE,annualBasicAverageShares,annualOtherCurrentAssets,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyCapitalExpenditure,annualNetIncomeContinuousOperations,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,annualChangeInInventory,trailingTaxProvision,quarterlyTotalRevenue,annualNetIncome,annualCurrentDebt,annualFreeCashFlow,quarterlyAccumulatedDepreciation,annualBeginningCashPosition,annualCashDividendsPaid,trailingSellingGeneralAndAdministration,annualOperatingExpense,annualPurchaseOfBusiness,annualCostOfRevenue,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,annualNonCurrentDeferredTaxesLiabilities,annualTotalAssets,trailingNetIncome,annualLongTermDebt,annualStockholdersEquity,quarterlyOtherCurrentLiabilities,annualOtherNonCashItems,quarterlyResearchAndDevelopment,annualDepreciationAndAmortization,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,annualCurrentLiabilities,quarterlyBasicEPS,quarterlyAccountsReceivable,annualRetainedEarnings,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,annualSaleOfInvestment,annualGoodwill,annualCommonStockIssuance,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyLongTermDebt,annualPurchaseOfInvestment,quarterlyInvestmentsAndAdvances,annualCapitalStock,annualAccountsReceivable,quarterlyOtherIncomeExpense,trailingOtherIncomeExpense,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,annualChangeInAccountPayable,trailingGrossProfit,annualNetPPE,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,trailingOperatingIncome,annualAccountsPayable,annualOtherIntangibleAssets,annualOtherShortTermInvestments,quarterlyCashDividendsPaid,annualCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,annualCashFlowFromContinuingFinancingActivities,quarterlyCapitalStock,annualEndCashPosition,annualEbitda,trailingTotalRevenue,quarterlyBeginningCashPosition,annualOperatingIncome,annualOtherIncomeExpense,annualNetOtherInvestingChanges,quarterlyPurchaseOfInvestment,quarterlyDilutedAverageShares,quarterlyCurrentDebt,annualGrossPPE,annualCashAndCashEquivalents,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,annualBasicEPS,trailingPretaxIncome,annualInvestmentsAndAdvances,annualIncomeTaxPayable,quarterlyTotalLiabilitiesNetMinorityInterest,annualPretaxIncome,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyTotalNonCurrentAssets,annualOtherNonCurrentLiabilities,annualGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,trailingChangeInInventory,quarterlyCurrentDeferredRevenue,quarterlyStockBasedCompensation,trailingPurchaseOfBusiness,trailingBeginningCashPosition,annualCurrentDeferredRevenue,trailingCashDividendsPaid,quarterlyNonCurrentDeferredRevenue,trailingChangeInCashSupplementalAsReported,trailingStockBasedCompensation,trailingCashFlowFromContinuingFinancingActivities,trailingChangeInWorkingCapital,trailingCapitalExpenditure,annualNonCurrentDeferredRevenue,trailingFreeCashFlow,trailingRepaymentOfDebt,trailingBasicAverageShares,trailingSaleOfInvestment,trailingRepurchaseOfCapitalStock,trailingDepreciationAndAmortization,trailingBasicEPS,trailingDeferredIncomeTax,trailingNetOtherInvestingChanges,trailingChangesInAccountReceivables,trailingOtherNonCashItems,trailingPurchaseOfInvestment,trailingEndCashPosition,annualStockBasedCompensation,trailingNetOtherFinancingCharges,trailingDilutedEPS,trailingDilutedAverageShares,trailingOperatingCashFlow,trailingCommonStockIssuance,trailingChangeInAccountPayable,trailingInvestingCashFlow
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315446400,,,,,,,,,,,-3673000000.0,690000000.0,,,,1156000000.0,,,,3753000000.0,,,,,,,,,2014000000.0,784000000.0,,271906635.0,,0.640001,,358000000.0,,,,,9255000000.0,,,,6499000000.0,2658000000.0,,,,515000000.0,6355000000.0,,1313000000.0,,,,,,,,271906635.0,135000000.0,,,,784000000.0,,,,,,784000000.0,601000000.0,0.0,,0.0,,,1324000000.0,,6597000000.0,,,,,,0.0,582000000.0,10252000000.0,,3055000000.0,3897000000.0,,,,,,,,2615000000.0,,,3365000000.0,,,,,,,,,,,,,,,3740000000.0,0.0,,,5236000000.0,,,,,107000000.0,,,252000000.0,,,,0.0,1968000000.0,,,1334000000.0,337000000.0,,,,,8909000000.0,252000000.0,,,0.640001,,,,,1299000000.0,,,,,,103000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347068800,,,,,,,,,,,-4201000000.0,765000000.0,,,,1367000000.0,,,,4390000000.0,,,,,,,,,2067000000.0,805000000.0,,274189916.0,,0.653334,,385000000.0,,,,,10626000000.0,,,,7148000000.0,2705000000.0,,,,424000000.0,7098000000.0,,1934000000.0,,,,,,,,274189916.0,129000000.0,,,,805000000.0,,,,,,805000000.0,736000000.0,0.0,,0.0,,,1493000000.0,,7921000000.0,,,,,,0.0,745000000.0,11538000000.0,,3438000000.0,4440000000.0,,,,,,,,2803000000.0,,,3868000000.0,,,,,,,,,,,,,,,4295000000.0,0.0,,,5672000000.0,,,,,109000000.0,,,168000000.0,,,,0.0,1940000000.0,,,1212000000.0,411000000.0,,,,,9873000000.0,168000000.0,,,0.653334,,,,,1229000000.0,,,,,,112000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378604800,,,,,,,,,,,-4810000000.0,938000000.0,,,,1583000000.0,,,,4511000000.0,,,,,,,,,2192000000.0,564000000.0,,284230947.0,,0.446667,,532000000.0,,,,,11873000000.0,,,,7985000000.0,2660000000.0,,,,176000000.0,7605000000.0,,2113000000.0,,,,,,,,284230947.0,0.0,,,,564000000.0,,,,,,564000000.0,496000000.0,0.0,,0.0,,,1744000000.0,,9213000000.0,,,,,,0.0,840000000.0,12496000000.0,,3968000000.0,4891000000.0,,,,,,,,2688000000.0,,,4090000000.0,,,,,,,,,,,,,,,4917000000.0,0.0,,,6174000000.0,,,,,228000000.0,,,93000000.0,,,,0.0,1722000000.0,,,916000000.0,360000000.0,,,,,10984000000.0,93000000.0,,,0.446667,,,,,740000000.0,,,,,,109000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410140800,,,,,,,,,,,-5238000000.0,952000000.0,,,,1688000000.0,,,,3963000000.0,,,,,,,,,1965000000.0,342000000.0,,291400108.0,,0.26,,514000000.0,,,,,10618000000.0,,,,7844000000.0,2178000000.0,,,,-29000000.0,6767000000.0,,1746000000.0,,,,,,,,291400108.0,0.0,,,,342000000.0,,,,,,342000000.0,276000000.0,0.0,,0.0,,,1822000000.0,,8440000000.0,,,,,,0.0,733000000.0,11807000000.0,,3502000000.0,5040000000.0,,,,,,,,2241000000.0,,,4141000000.0,,,,,,,,,,,,,,,4526000000.0,0.0,,,5961000000.0,,,,,195000000.0,,,183000000.0,,,,0.0,1226000000.0,,,356000000.0,472000000.0,,,,,11199000000.0,183000000.0,,,0.26,,,,,313000000.0,,,,,,291000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441676800,,,,,,,,,,,-5829000000.0,989000000.0,,,,1685000000.0,,,,4405000000.0,,,,,,,,,2374000000.0,293000000.0,,293915622.0,,0.22,,431000000.0,,,,,10951000000.0,,,,7576000000.0,2346000000.0,,,,153000000.0,6934000000.0,,1961000000.0,,,,,,,,293915622.0,0.0,,,,293000000.0,,,,,,293000000.0,764000000.0,0.0,,0.0,,,1830000000.0,,8605000000.0,,,,,,0.0,683000000.0,11981000000.0,,2803000000.0,5047000000.0,,,,,,,,3138000000.0,,,4123000000.0,,,,,,,,,,,,,,,3796000000.0,0.0,,,5695000000.0,,,,,196000000.0,,,178000000.0,,,,0.0,1357000000.0,,,516000000.0,361000000.0,,,,,11524000000.0,178000000.0,,,0.22,,,,,446000000.0,,,,,,310000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449539200,,,,,,,,,,,,,,0.093333,,,,,,,,,,,,,2916000000.0,,,,,,,,,,,,,,,,,,,,,,,,,293915622.0,,,,,,,,,,,,,,,,2916000000.0,,,2916000000.0,,,,,,,,,,,,,,,122000000.0,,,,,,,,,,,,,,,0.093333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293915622.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457401600,,,,,,,,,,,,,,0.146667,,,,,,,,,,,,,2986000000.0,,,,,,,,,,,,,,,,,,,,,,,,,292668375.0,,,,,,,,,,,,,,,,2986000000.0,,,2986000000.0,,,,,,,,,,,,,,,194000000.0,,,,,,,,,,,,,,,0.146667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292668375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465350400,,,,,,,,,,,,,,0.126667,,,,,,,,,,,,,2829000000.0,,,,,,,,,,,,,,,,,,,,,,,,,292668375.0,,,,,,,,,,,,,,,,2829000000.0,,,2829000000.0,,,,,,,,,,,,,,,169000000.0,,,,,,,,,,,,,,,0.126667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292668375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473299200,,,11256000000.0,,,,0.0,,,,-6083000000.0,1054000000.0,,,,2113000000.0,,,,3931000000.0,,,,,,,-7883000000.0,5062000000.0,2192000000.0,549000000.0,,285279995.0,,0.42,,437000000.0,,,,,11418000000.0,,,,7488000000.0,2810000000.0,2676000000.0,,3931000000.0,126000000.0,6357000000.0,,1927000000.0,3681000000.0,,,,,,5173000000.0,285279995.0,0.0,,4361000000.0,,549000000.0,,-7883000000.0,,,2687000000.0,549000000.0,484000000.0,0.0,-6083000000.0,0.0,,,1962000000.0,,8608000000.0,,360000000.0,,,64000000.0,0.0,576000000.0,11419000000.0,,2745000000.0,5062000000.0,2192000000.0,,,,,,,2676000000.0,,,4361000000.0,,,,,,576000000.0,1927000000.0,2745000000.0,,,,,,,3681000000.0,0.0,,,5173000000.0,121000000.0,121000000.0,,,202000000.0,,,121000000.0,,,,0.0,1756000000.0,,,848000000.0,264000000.0,,,,484000000.0,11256000000.0,121000000.0,,,0.42,,,,6357000000.0,675000000.0,11419000000.0,,202000000.0,2113000000.0,7488000000.0,360000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
