date,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualCommonStockIssuance,annualFreeCashFlow,annualChangeInWorkingCapital,annualGainsLossesNotAffectingRetainedEarnings,quarterlyFreeCashFlow,trailingChangeInWorkingCapital,annualOperatingIncome,quarterlyRetainedEarnings,annualNetOtherInvestingChanges,trailingChangeInAccountPayable,quarterlyCurrentLiabilities,annualRetainedEarnings,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,trailingFreeCashFlow,quarterlyGoodwill,trailingCommonStockIssuance,trailingPretaxIncome,annualNonCurrentDeferredRevenue,annualTaxProvision,annualNetIncome,annualTotalAssets,annualPretaxIncome,annualEndCashPosition,quarterlyTotalAssets,annualCurrentDebt,quarterlyNetIncomeCommonStockholders,annualLongTermDebt,annualCashDividendsPaid,quarterlyTotalNonCurrentAssets,annualCurrentDeferredRevenue,trailingTotalRevenue,annualOtherCurrentAssets,annualCostOfRevenue,trailingPurchaseOfInvestment,quarterlyBasicAverageShares,trailingInvestingCashFlow,annualAccountsPayable,trailingOperatingIncome,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,trailingTaxProvision,trailingEndCashPosition,quarterlyDepreciationAndAmortization,annualInvestmentsAndAdvances,annualIncomeTaxPayable,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,annualSaleOfInvestment,trailingRepurchaseOfCapitalStock,annualSellingGeneralAndAdministration,quarterlyOtherNonCurrentAssets,annualOtherNonCurrentAssets,annualStockholdersEquity,annualOtherNonCashItems,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,annualRepurchaseOfCapitalStock,annualCashAndCashEquivalents,annualDepreciationAndAmortization,annualCurrentAccruedExpenses,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,trailingSaleOfInvestment,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyLongTermDebt,quarterlyChangeInInventory,annualAccountsReceivable,trailingOperatingCashFlow,annualCurrentAssets,quarterlyOtherIncomeExpense,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,annualChangeInAccountPayable,quarterlyCostOfRevenue,annualNetPPE,annualCurrentLiabilities,quarterlyDilutedEPS,annualBasicAverageShares,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,annualOtherShortTermInvestments,quarterlyCurrentAccruedExpenses,annualNetIncomeCommonStockholders,annualOtherIntangibleAssets,quarterlyCapitalStock,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,annualRepaymentOfDebt,annualEbitda,quarterlyOperatingExpense,quarterlyPretaxIncome,annualBasicEPS,annualOtherIncomeExpense,annualOtherNonCurrentLiabilities,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,trailingGrossProfit,trailingNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyDilutedAverageShares,annualCashCashEquivalentsAndMarketableSecurities,annualOtherCurrentLiabilities,quarterlyOtherCurrentAssets,annualCashFlowFromContinuingFinancingActivities,trailingInterestExpense,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,annualBeginningCashPosition,trailingOtherIncomeExpense,trailingCapitalExpenditure,trailingDepreciationAndAmortization,trailingChangeInCashSupplementalAsReported,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,annualGrossPPE,annualTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,trailingCashFlowFromContinuingFinancingActivities,quarterlySaleOfInvestment,quarterlyDeferredIncomeTax,annualNonCurrentDeferredTaxesLiabilities,quarterlyAccountsPayable,annualAccumulatedDepreciation,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,trailingNetIncomeContinuousOperations,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingSellingGeneralAndAdministration,annualOperatingExpense,quarterlyBasicEPS,annualPurchaseOfBusiness,trailingOtherNonCashItems,quarterlyResearchAndDevelopment,trailingOperatingExpense,trailingDeferredIncomeTax,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,annualCapitalExpenditure,annualDilutedAverageShares,annualNetIncomeContinuousOperations,annualPurchaseOfInvestment,annualDilutedEPS,quarterlyCashFlowFromContinuingFinancingActivities,annualChangeInInventory,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyIncomeTaxPayable,trailingNetOtherFinancingCharges,trailingStockBasedCompensation,annualInvestingCashFlow,quarterlyTotalRevenue,trailingChangesInAccountReceivables,trailingCashDividendsPaid,annualInventory,trailingBeginningCashPosition,trailingNetIncome,annualGoodwill,annualStockBasedCompensation,annualInterestExpense,trailingCostOfRevenue,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,annualChangesInAccountReceivables,annualCapitalStock,annualTotalRevenue,quarterlyTaxProvision,trailingResearchAndDevelopment,annualResearchAndDevelopment,quarterlyCommonStockIssuance,trailingChangeInInventory,quarterlyOtherShortTermInvestments,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,annualNetOtherFinancingCharges,annualGrossProfit,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyChangeInCashSupplementalAsReported,annualDeferredIncomeTax,trailingBasicAverageShares,trailingPurchaseOfBusiness,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingRepaymentOfDebt,trailingDilutedAverageShares,trailingBasicEPS
1970-01-01 00:00:01.001808000,64990000.0,,,,,,,-91096000.0,9861000.0,,,-4284000.0,,,,,195274000.0,,67447000.0,262507000.0,,,5651000.0,125635000.0,6492000.0,,,,,,,,,1231121000.0,,50442000.0,-331357000.0,,-52070000.0,,274215000.0,,,56769000.0,754471000.0,,,,,,,-258043000.0,48244000.0,,,60645000.0,,,,,,22602000.0,,,,,400813000.0,,,,,,,,301881000.0,,,,,,,,,,85000000.0,,,,,5651000.0,,,,,,9861000.0,,,0.07,-3369000.0,,,,1071581000.0,205685000.0,,,,,22602000.0,,,,197000.0,,,,-36177000.0,-106607000.0,85333000.0,-46631000.0,,,,,,,,-295126000.0,,,,,,,,205738000.0,,560492000.0,64350000.0,,,37286000.0,,797366000.0,-16794000.0,,,,85000000.0,5651000.0,,0.07,,,,,,-24526000.0,77712000.0,,,-47559000.0,-80004000.0,,799786000.0,205685000.0,,,,159540000.0,,,,,124653000.0,,236874000.0,16106000.0,,-12622000.0,,,,,74211000.0,,,,,,,,,,,
1970-01-01 00:00:01.033344000,,,,,,,,,89023000.0,,,,,,,,,,,,,11000.0,-105000.0,,-198000.0,,,,,,,,,,,57717000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85008000.0,,,,,-105000.0,,,,,,89023000.0,,,-0.001235,-148000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15128000.0,,,,,,,,,,85008000.0,-105000.0,,-0.001235,,,,,,,,,,,,,,,,,1563000.0,,,,,,161868000.0,,,15128000.0,,,,,,,104151000.0,,,,,,,,,,,
1970-01-01 00:00:01.041292800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6942000.0,,,,,,,,,85014000.0,,,,,,,,,,,,,,,,,,,,,,32748000.0,,,,,6942000.0,6942000.0,,,,,,,,,,,-130000.0,,,,17526000.0,,,0.08,,,,,,,,,,,,,3952000.0,11004000.0,,,,,,,,,,,85017000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,3952000.0,,,,,,,,,,,,28796000.0,,,,,,50274000.0,,,,,,,,,,,,,,,3973000.0,,,,,,,,,,,28796000.0,,,,,,,,,
1970-01-01 00:00:01.049068800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8434000.0,,,,,,,,,85008000.0,,,,,,,,,,,,,,,,,,,,,,37364000.0,,,,,8434000.0,8434000.0,,,,,,,,,,,-351000.0,,,,18431000.0,,,0.1,,,,,,,,,,,,,4535000.0,13435000.0,,,,,,,,,,,85010000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,4535000.0,,,,,,,,,,,,32829000.0,,,,,,55795000.0,,,,,,,,,,,,,,,4899000.0,,,,,,,,,,,32829000.0,,,,,,,,,
1970-01-01 00:00:01.056931200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7792000.0,,,,,,,,,85006000.0,,,,,,,,,,,,,,,,,,,,,,35510000.0,,,,,7792000.0,7792000.0,,,,,,,,,,,46000.0,,,,17785000.0,,,0.09,,,,,,,,,,,,,4835000.0,11259000.0,,,,,,,,,,,85006000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,4835000.0,,,,,,,,,,,,30675000.0,,,,,,53295000.0,,,,,,,,,,,,,,,3443000.0,,,,,,,,,,,30675000.0,,,,,,,,,
1970-01-01 00:00:01.064880000,92802000.0,41423000.0,33000.0,32892000.0,435000.0,1463000.0,,,48977000.0,85234000.0,-250000.0,,51379000.0,85234000.0,105592000.0,,,,,,,16079000.0,30969000.0,202707000.0,47610000.0,61922000.0,202707000.0,1050000.0,7801000.0,14548000.0,,97115000.0,2736000.0,,0.0,73643000.0,,,,9581000.0,,26875000.0,,,,,,,,92802000.0,,,76590000.0,11129000.0,11129000.0,93775000.0,,,,38207000.0,-38000.0,61922000.0,7498000.0,33766000.0,7801000.0,7801000.0,,,,,4234000.0,14548000.0,,14070000.0,,105592000.0,9250000.0,41423000.0,39642000.0,,19901000.0,65706000.0,51379000.0,,85009000.0,14070000.0,,,33766000.0,30969000.0,14346000.0,85000.0,,14346000.0,,56475000.0,81530000.0,20784000.0,0.36,-219000.0,26875000.0,,2736000.0,,,24528000.0,,93775000.0,,61922000.0,4246000.0,0.0,-1402000.0,,,-54610000.0,37394000.0,,,,,61922000.0,61922000.0,1050000.0,120316000.0,97115000.0,,,,,,,9581000.0,-54610000.0,,,,1463000.0,,94852000.0,,,,4940000.0,,,,,-6750000.0,86084000.0,30969000.0,,0.36,,1403000.0,-43323000.0,120316000.0,,,,-14051000.0,58108000.0,,,4234000.0,,,,,2292000.0,,4246000.0,65706000.0,,85000.0,217472000.0,3764000.0,,18262000.0,,,,,,0.0,143829000.0,,-43323000.0,,-2987000.0,,,,,,,
1970-01-01 00:00:01.072828800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12246000.0,,,,,,,,,85010000.0,,,,,,,,,,,,,,,,,,,,,,44159000.0,,,,,12246000.0,12246000.0,,,,,,,,,,,224000.0,,,,21264000.0,,,0.14,,,,,,,,,,,,,4934000.0,19357000.0,,,,,,,,,,,90518000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,4934000.0,,,,,,,,,,,,39225000.0,,,,,,65423000.0,,,,,,,,,,,,,,,6825000.0,,,,,,,,,,,39225000.0,,,,,,,,,
1970-01-01 00:00:01.080691200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12359000.0,,,,,,,,,85432000.0,,,,,,,,,,,,,,,,,,,,,,53938000.0,,,,,12359000.0,12359000.0,,,,,,,,,,,-1540000.0,,,,24753000.0,,,0.14,,,,,,,,,,,,,5700000.0,12429000.0,,,,,,,,,,,90986000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,5700000.0,,,,,,,,,,,,48238000.0,,,,,,78691000.0,,,,,,,,,,,,,,,12359000.0,,,,,,,,,,,48238000.0,,,,,,,,,
1970-01-01 00:00:01.088553600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11968000.0,,,,,,,,,85707000.0,,,,,,,,,,,,,,,,,,,,,,52852000.0,,,,,11968000.0,11968000.0,,,,,,,,,,,370000.0,,,,23198000.0,,,0.13,,,,,,,,,,,,,6186000.0,20854000.0,,,,,,,,,,,95306000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,6186000.0,,,,,,,,,,,,46666000.0,,,,,,76050000.0,,,,,,,,,,,,,,,8392000.0,,,,,,,,,,,46666000.0,,,,,,,,,
1970-01-01 00:00:01.096502400,101339000.0,36863000.0,1363000.0,34336000.0,-1160000.0,-30567000.0,,,69601000.0,125076000.0,0.0,,64476000.0,125076000.0,144757000.0,,,,,,,27321000.0,39842000.0,261866000.0,68092000.0,78711000.0,261866000.0,1290000.0,3269000.0,13580000.0,,117109000.0,2562000.0,,0.0,91505000.0,,,,6540000.0,,23283000.0,,,,,,,,101339000.0,,,106456000.0,9299000.0,9299000.0,143327000.0,,,,46587000.0,-144000.0,78711000.0,8517000.0,50291000.0,3269000.0,3269000.0,,,,,7163000.0,13580000.0,,20184000.0,,144757000.0,2943000.0,36863000.0,46858000.0,,22290000.0,72333000.0,64476000.0,,85556000.0,20184000.0,,,50291000.0,39842000.0,28808000.0,87000.0,,28808000.0,,78118000.0,111115000.0,7328000.0,0.47,1403000.0,23283000.0,,2562000.0,,,16789000.0,,143327000.0,,78711000.0,3793000.0,0.0,-20000.0,,,-61349000.0,61922000.0,,,,,78711000.0,78711000.0,1290000.0,133682000.0,117109000.0,,,,,,,6540000.0,-61349000.0,,,,-30567000.0,,127935000.0,,,,6659000.0,,,,,-12522000.0,92783000.0,39842000.0,,0.43,,-2434000.0,-64528000.0,133682000.0,,,,-30910000.0,68877000.0,,,7163000.0,,,,,2348000.0,,3793000.0,72333000.0,,87000.0,289041000.0,3980000.0,,23479000.0,,,,,,0.0,197536000.0,,-64528000.0,,-10126000.0,,,,,,,
