date,trailingOtherIncomeExpense,annualOtherIncomeExpense,quarterlyCashAndCashEquivalents,annualTotalNonCurrentAssets,annualNetPPE,trailingGrossProfit,annualOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,annualCashCashEquivalentsAndMarketableSecurities,annualGrossProfit,annualOtherIntangibleAssets,trailingRepaymentOfDebt,quarterlyCapitalStock,annualCashFlowFromContinuingFinancingActivities,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,annualEbitda,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyTaxProvision,quarterlyBeginningCashPosition,annualGrossPPE,quarterlyCurrentDebt,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyBasicAverageShares,quarterlyInterestExpense,trailingDepreciationAndAmortization,quarterlyCapitalExpenditure,annualChangeInInventory,trailingCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,annualPurchaseOfBusiness,annualOtherNonCurrentLiabilities,quarterlyNetOtherFinancingCharges,annualBeginningCashPosition,trailingOtherNonCashItems,trailingInvestingCashFlow,trailingDeferredIncomeTax,quarterlyOperatingCashFlow,annualCapitalExpenditure,trailingCapitalExpenditure,annualAccumulatedDepreciation,quarterlyGrossPPE,quarterlyChangeInCashSupplementalAsReported,annualInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlySaleOfInvestment,annualDeferredIncomeTax,trailingInterestExpense,quarterlyAccountsPayable,trailingCashDividendsPaid,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,trailingPurchaseOfBusiness,trailingNetIncome,annualNonCurrentDeferredTaxesLiabilities,quarterlyOtherCurrentLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingNetIncomeContinuousOperations,annualChangesInAccountReceivables,trailingPurchaseOfInvestment,trailingOperatingExpense,trailingChangeInInventory,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,annualInventory,quarterlyEbitda,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,annualInterestExpense,annualBasicAverageShares,annualGoodwill,annualRepaymentOfDebt,annualPurchaseOfInvestment,quarterlyDilutedEPS,annualTotalRevenue,trailingChangeInWorkingCapital,annualCapitalStock,annualChangeInAccountPayable,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,annualBasicEPS,quarterlyOtherNonCashItems,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,trailingOperatingIncome,quarterlyCurrentLiabilities,trailingChangeInAccountPayable,annualOtherShortTermInvestments,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,trailingCommonStockIssuance,trailingFreeCashFlow,quarterlyDepreciationAndAmortization,annualEndCashPosition,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalLiabilitiesNetMinorityInterest,annualTaxProvision,trailingTotalRevenue,annualChangeInWorkingCapital,annualOtherCurrentAssets,trailingCostOfRevenue,annualOperatingIncome,quarterlyRetainedEarnings,annualNetOtherInvestingChanges,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,quarterlyOperatingIncome,trailingEndCashPosition,trailingTaxProvision,trailingPretaxIncome,quarterlyTotalLiabilitiesNetMinorityInterest,annualCurrentDebt,annualNetIncome,quarterlyTotalAssets,annualPretaxIncome,quarterlyNetIncomeCommonStockholders,annualFreeCashFlow,annualInvestmentsAndAdvances,annualOperatingExpense,quarterlyTotalNonCurrentAssets,annualCashDividendsPaid,quarterlyFreeCashFlow,annualCostOfRevenue,quarterlyBasicEPS,annualOtherNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,trailingSaleOfInvestment,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualRepurchaseOfCapitalStock,quarterlyOtherCurrentAssets,annualTotalAssets,annualCurrentAssets,annualOtherNonCashItems,annualStockholdersEquity,annualDilutedAverageShares,annualLongTermDebt,annualDepreciationAndAmortization,quarterlyCurrentAccruedExpenses,annualCurrentLiabilities,trailingNetIncomeCommonStockholders,quarterlyCostOfRevenue,trailingNetOtherInvestingChanges,annualRetainedEarnings,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,annualCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyGoodwill,annualNetIncomeCommonStockholders,annualDilutedEPS,quarterlyChangeInAccountPayable,quarterlyLongTermDebt,annualSaleOfInvestment,annualCommonStockIssuance,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,trailingOperatingCashFlow,annualAccountsReceivable,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyInvestmentsAndAdvances,quarterlyChangeInInventory,annualNonCurrentDeferredRevenue,trailingSellingGeneralAndAdministration,trailingDilutedAverageShares,annualResearchAndDevelopment,annualStockBasedCompensation,quarterlyStockBasedCompensation,annualSellingGeneralAndAdministration,trailingBasicEPS,annualIncomeTaxPayable,trailingStockBasedCompensation,quarterlyResearchAndDevelopment,trailingBasicAverageShares,trailingResearchAndDevelopment,quarterlyIncomeTaxPayable,trailingRepurchaseOfCapitalStock,quarterlyCurrentDeferredRevenue,trailingChangesInAccountReceivables,annualCurrentDeferredRevenue,trailingDilutedEPS,quarterlyNonCurrentDeferredRevenue
1979-12-31,482000000.0,,,,,11317000000.0,,,,,,-4798000000.0,,,,,1492600000.0,,,,,,,,133000000.0,,,,5080000000.0,,,4400000000.0,,,,,,,,-948000000.0,-11423000000.0,716000000.0,,,-10721000000.0,,,,,,,,2201000000.0,,-2626000000.0,,,449000000.0,-382000000.0,3538000000.0,,,,3398000000.0,,-4104000000.0,5797000000.0,49000000.0,,,,,,,585000000.0,,,102870268.0,,,,,1492600000.0,-1126000000.0,,,,,,2.160002,,,,5520000000.0,,-448000000.0,,,,1045000000.0,-3565000000.0,,,,,,25091000000.0,,,13774000000.0,1492600000.0,,,,,,274800000.0,,582000000.0,423000000.0,3821000000.0,,,274800000.0,,,,,,,,,,,,,,4121000000.0,,,,,,,,,102870268.0,,,,,3511000000.0,,-515000000.0,,,,,,,222200000.0,2.160002,,,,,,,,,,7156000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
1980-12-31,,,,,,,,,,,,,,,,,1682800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109307250.0,,,,,1682800000.0,,,,,,,2.310002,,,,,,,,,,,,,,,,,,,,,1682800000.0,,,,,,311100000.0,,,,,,,311100000.0,,,,,,,,,,,,,,,,,,,,,,,109307250.0,,,,,,,,,,,,,,252500000.0,2.310002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-12-31,,,,,,,,,,,,,,,,,1908500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115999884.0,,,,,1908500000.0,,,,,,,2.400002,,,,,,,,,,,,,,,,,,,,,1908500000.0,,,,,,336300000.0,,,,,,,336300000.0,,,,,,,,,,,,,,,,,,,,,,,115999884.0,,,,,,,,,,,,,,278400000.0,2.400002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-12-31,,,,,,,,,,,,,,,,,2244500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124588111.0,,,,,2244500000.0,,,,,,,2.550003,,,,,,,,,,,,,,,,,,,,,2244500000.0,,,,,,379900000.0,,,,,,,379900000.0,,,,,,,,,,,,,,,,,,,,,,,124588111.0,,,,,,,,,,,,,,317700000.0,2.550003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-31,,,,,,,,,,,,,,,,,2420300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129368292.0,,,,,2420300000.0,,,,,,,2.850003,,,,,,,,,,,,,,,,,,,,,2420300000.0,,,,,,431300000.0,,,,,,,431300000.0,,,,,,,,,,,,,,,,,,,,,,,129368292.0,,,,,,,,,,,,,,368700000.0,2.850003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,133463866.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671300000.0,,,,,,,,0.810001,,,,,,,133463866.0,,,,,,,,,,,,,,,,,,,,,,,,,671300000.0,,,,671300000.0,,,,,,,,,,,,,,,,,0.810001,,,,,123200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,133463866.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629500000.0,,,,,,,,0.660001,,,,,,,133463866.0,,,,,,,,,,,,,,,,,,,,,,,,,629500000.0,,,,629500000.0,,,,,,,,,,,,,,,,,0.660001,,,,,101300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,133995866.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729000000.0,,,,,,,,0.930001,,,,,,,133995866.0,,,,,,,,,,,,,,,,,,,,,,,,,729000000.0,,,,729000000.0,,,,,,,,,,,,,,,,,0.930001,,,,,139000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,,,,,,,,,,,,,,,,,2710000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680200000.0,,,,133166534.0,,,,,2710000000.0,,,,,,,3.000003,,,,,,,,,,,,,,,,,,,,,2710000000.0,,,680200000.0,,,461300000.0,680200000.0,,,,,,461300000.0,,,,,,,,,,,,,,,,97800000.0,,,,,,,133166534.0,,,,,,,,,,,,,,399500000.0,3.000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,134870531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751400000.0,,,,,,,,0.900001,,,,,,,134870531.0,,,,,,,,,,,,,,,,,,,,,,,,,751400000.0,,,,751400000.0,,,,,,,,,,,,,,,,,0.900001,,,,,134700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
