date,annualOtherIntangibleAssets,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,annualGrossProfit,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIntangibleAssets,annualTotalNonCurrentAssets,annualNetPPE,annualOtherIncomeExpense,trailingGrossProfit,trailingRepaymentOfDebt,quarterlyOperatingExpense,annualCapitalStock,trailingOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,annualRepaymentOfDebt,trailingOperatingCashFlow,quarterlyCurrentDeferredRevenue,annualCashFlowFromContinuingFinancingActivities,trailingNetIncomeCommonStockholders,quarterlyAccumulatedDepreciation,annualOtherCurrentLiabilities,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,quarterlyRepaymentOfDebt,annualOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,trailingCapitalExpenditure,annualOtherNonCashItems,quarterlySaleOfInvestment,annualGrossPPE,quarterlyCurrentDebt,trailingCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,trailingDepreciationAndAmortization,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOperatingExpense,quarterlyGrossPPE,quarterlyIncomeTaxPayable,annualNonCurrentDeferredTaxesLiabilities,trailingSellingGeneralAndAdministration,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingPurchaseOfBusiness,trailingOperatingExpense,trailingOtherNonCashItems,quarterlyCashFlowFromContinuingFinancingActivities,annualPurchaseOfBusiness,annualBeginningCashPosition,quarterlyOperatingIncome,quarterlyCapitalExpenditure,annualNetIncomeContinuousOperations,annualPurchaseOfInvestment,trailingCashDividendsPaid,quarterlyDilutedEPS,trailingInterestExpense,quarterlyTotalRevenue,annualCapitalExpenditure,annualInvestingCashFlow,trailingNetOtherFinancingCharges,quarterlyOperatingCashFlow,annualChangeInInventory,annualChangeInCashSupplementalAsReported,trailingNetIncome,annualNetOtherFinancingCharges,trailingChangesInAccountReceivables,trailingBeginningCashPosition,quarterlyTaxProvision,annualChangesInAccountReceivables,quarterlyNetPPE,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,annualInterestExpense,trailingNetIncomeContinuousOperations,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,annualInventory,annualDeferredIncomeTax,quarterlyEbitda,annualAccumulatedDepreciation,trailingChangeInInventory,annualFreeCashFlow,trailingFreeCashFlow,quarterlyCurrentLiabilities,annualOtherShortTermInvestments,quarterlyCashDividendsPaid,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentAssets,trailingChangeInWorkingCapital,trailingOperatingIncome,annualCostOfRevenue,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingIncome,trailingTotalRevenue,trailingCostOfRevenue,annualCurrentDeferredRevenue,annualTotalRevenue,quarterlyFreeCashFlow,trailingChangeInAccountPayable,annualNetOtherInvestingChanges,annualTaxProvision,annualTotalLiabilitiesNetMinorityInterest,annualBasicAverageShares,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentAssets,trailingEndCashPosition,annualTotalAssets,annualEndCashPosition,quarterlyNetIncomeCommonStockholders,annualCurrentDebt,quarterlyTotalAssets,annualBasicEPS,annualCashDividendsPaid,annualNonCurrentDeferredRevenue,annualLongTermDebt,annualNetIncome,quarterlyOtherNonCurrentLiabilities,annualPretaxIncome,annualOtherCurrentAssets,quarterlyDilutedAverageShares,quarterlyDepreciationAndAmortization,trailingInvestingCashFlow,annualAccountsPayable,trailingTaxProvision,quarterlyPurchaseOfInvestment,annualSellingGeneralAndAdministration,annualOtherNonCurrentAssets,annualIncomeTaxPayable,annualSaleOfInvestment,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,annualInvestmentsAndAdvances,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,annualStockholdersEquity,annualAccountsReceivable,quarterlyLongTermDebt,annualDepreciationAndAmortization,trailingPretaxIncome,annualCashAndCashEquivalents,quarterlyOtherNonCurrentAssets,annualCurrentAccruedExpenses,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyInventory,annualRetainedEarnings,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyInvestingCashFlow,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyBasicEPS,quarterlyChangeInInventory,quarterlyBasicAverageShares,annualCurrentAssets,trailingNetOtherInvestingChanges,annualOperatingCashFlow,annualDilutedEPS,annualEbitda,annualChangeInAccountPayable,quarterlyCurrentAccruedExpenses,annualDilutedAverageShares,annualCurrentLiabilities,annualNetIncomeCommonStockholders,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,annualGoodwill,annualResearchAndDevelopment,trailingStockBasedCompensation,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,annualRepurchaseOfCapitalStock,trailingBasicAverageShares,trailingSaleOfInvestment,trailingRepurchaseOfCapitalStock,trailingBasicEPS,trailingDeferredIncomeTax,trailingPurchaseOfInvestment,annualStockBasedCompensation,trailingDilutedEPS,trailingDilutedAverageShares,annualCommonStockIssuance,trailingResearchAndDevelopment,trailingCommonStockIssuance,quarterlyGoodwill
1970-01-01 00:00:01.167523200,412538000.0,,,17644143000.0,5459139000.0,,106670009000.0,77695285000.0,-3264544000.0,20647472000.0,-12137473000.0,,24235829000.0,11422364000.0,,-2624940000.0,4068991000.0,,-3683869000.0,21314955000.0,,2548826000.0,,,,-430554000.0,,9473813000.0,,,,,,-1618258000.0,195834000.0,,,,-6812631000.0,,1744910000.0,,12444707000.0,,,,7610720000.0,,,,,-699747000.0,12879533000.0,6677589000.0,,,3903988000.0,,,959442000.0,-692887000.0,-65394000.0,,4046554000.0,,-3073686000.0,-3766573000.0,-591761000.0,,-78996000.0,1313097000.0,21314955000.0,-649830000.0,-1349117000.0,878555000.0,,-52845000.0,,,,2299884000.0,13248590000.0,,,2840752000.0,519816000.0,-612663000.0,,,212113000.0,5689853000.0,2450733000.0,,,,50192101000.0,,-6057481000.0,7767939000.0,4340101000.0,,,5199436000.0,26723948000.0,6076476000.0,,21984244000.0,,-5865381000.0,0.0,567540000.0,43760581000.0,1130255390.0,,,448001000.0,122085451000.0,5217085000.0,,2101284000.0,,0.809458,-409099000.0,,17843796000.0,1026275000.0,,1526982000.0,3599226000.0,,,2320628000.0,1976903000.0,3075592000.0,,6545603000.0,1771514000.0,,,,,5979881000.0,,,,77591247000.0,3994924000.0,,3364032000.0,16324182000.0,5459139000.0,,,,,,,,,,,,,,,15415442000.0,3934466000.0,8763539000.0,0.809458,7190898000.0,934732000.0,,1130255390.0,10195323000.0,1026275000.0,33565258000.0,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.199059200,469810000.0,,,11421739000.0,8094907000.0,,101968717000.0,74157189000.0,-36879000.0,,,,24235829000.0,,,-1295055000.0,,,-1676822000.0,,,3574843000.0,,,,,,10070374000.0,,,,,,,4007691000.0,,,,,,,,8160874000.0,,,,,,,,,,,,,,5459139000.0,,,1716249000.0,,,,,,-3194193000.0,-2292678000.0,,,,2635767000.0,,-6141444000.0,,,,,,,,,,,,563660000.0,603177000.0,,,,,3411074000.0,,,,,51915782000.0,,,,11886747000.0,,,3260865000.0,,,,23308486000.0,,,0.0,413309000.0,39844212000.0,1130255390.0,,,,120578676000.0,8094907000.0,,1525908000.0,,1.369083,,,13183697000.0,1712016000.0,,2297317000.0,3846460000.0,,,,2291929000.0,,,,2294310000.0,,,,,6679140000.0,,,,79577622000.0,3622343000.0,,2033916000.0,,8094907000.0,,,,,,,,,,,,,,,18609959000.0,,6605267000.0,1.369083,5294781000.0,,,1130255390.0,11002707000.0,1547857000.0,28841505000.0,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.206921600,,1362752000.0,,,,,,,,,,1275986000.0,,,,,,,,,,,,1298151000.0,,,-424799000.0,,,,8387789000.0,,,,,,,,,945937000.0,,,,,,,,,,0.0,-27132000.0,,,,-18801000.0,,,1872568000.0,-827476000.0,,,,0.744541,,6855488000.0,,,,629493000.0,,,,,,,390711000.0,,,1014048000.0,,,,-1041988000.0,,,,,2883192000.0,,,,,,,,,,,,,,,,,,,,-197983000.0,,,,,,,,,,,841525000.0,,,,,,,,,,,1130255888.0,574503000.0,,,,-67319000.0,,,,,,,,,3148554000.0,-332745000.0,,,,,,,,,831072000.0,841525000.0,,,9401837000.0,-44454000.0,403356000.0,,3706934000.0,0.744541,,1130255888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.214784000,,368791000.0,,,,,,,,,,2891706000.0,,,,,,,,,,,,-153418000.0,,,-239598000.0,,,,9401837000.0,,,,,,,,,1847486000.0,,,,,,,,,,-373938000.0,89555000.0,,,,-772967000.0,,,1423576000.0,-1066389000.0,,,,0.126385,,6500218000.0,,,,2577642000.0,,,,,,,161676000.0,,,477313000.0,,,,1597873000.0,,,,,2801430000.0,,,,,,,,,,,,,,,,,,,,1511253000.0,,,,,,1731053000.0,,,,,142848000.0,,,,,,,,,,,1130255888.0,576436000.0,,,,-235675000.0,,,,,,,,,6500218000.0,-496730000.0,,,,,,,,,-146395000.0,142848000.0,,,8963725000.0,1045025000.0,-1327362000.0,,2184936000.0,0.126385,,1130255888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.222732800,,3282282000.0,,,,,,,,,,4622307000.0,,,,,,,,,,,,-3219042000.0,,,-99562000.0,,,,8963725000.0,,,,,,,,,,,,,,,,,,,613863000.0,-75589000.0,,,,1337069000.0,,,1427665000.0,-1008784000.0,,,,,,7675630000.0,,,,5352768000.0,,,,,,,879535000.0,,,2172282000.0,,,,4282888000.0,,,,,788719000.0,,,,,,,,,,,,,,,,,,,,4343984000.0,,,,,,,,,,,2113713000.0,,,,,,,,,,,,559368000.0,,,,,,,,,,,,,1248532000.0,-253271000.0,,,,,,,,,2083796000.0,2113713000.0,,,11136008000.0,-1879618000.0,-4517555000.0,,1625658000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.230681600,,6993657000.0,,22014508000.0,13033078000.0,,124316422000.0,78635566000.0,1536048000.0,,,3741886000.0,26156567000.0,,,-2453511000.0,,296134000.0,-3972983000.0,,-64212751000.0,5944709000.0,70198760000.0,1795451000.0,,,-1689552000.0,16995632000.0,2655143000.0,13033078000.0,11136008000.0,13033078000.0,26156567000.0,,-5139488000.0,,142848317000.0,2821674000.0,,,,-1627328000.0,13623690000.0,142848317000.0,,,,1925416000.0,40050000.0,-897158000.0,3667213000.0,,,,-4518284000.0,,7645704000.0,3670471000.0,-2251432000.0,8580281000.0,-850694000.0,,,,9202080000.0,-5154081000.0,-5909096000.0,,6709550000.0,-119508000.0,5387374000.0,,-777821000.0,,,1991818000.0,594877000.0,78635566000.0,1723731000.0,5944709000.0,0.0,,-9978261000.0,0.0,3654047000.0,767283000.0,-657233000.0,9302580000.0,-64212751000.0,,10115372000.0,,24162113000.0,0.0,,-1627328000.0,26055661000.0,,,8216821000.0,16082057000.0,55661692000.0,8390818000.0,,,296134000.0,30231329000.0,4458118000.0,,0.0,3423739000.0,79823805000.0,1132968875.0,,124316422000.0,,150372083000.0,13033078000.0,5469360000.0,2821674000.0,150372083000.0,9.173853,-741651000.0,40050000.0,32876583000.0,8567447000.0,16995632000.0,12004020000.0,2655143000.0,,2018907000.0,,1925416000.0,,,7770035000.0,6609352000.0,,95679000.0,,79823805000.0,6650040000.0,6650040000.0,7412357000.0,304925000.0,70198760000.0,4991458000.0,32876583000.0,3729214000.0,,13033078000.0,6609352000.0,44980000.0,5522478000.0,5469360000.0,767283000.0,16082057000.0,13033078000.0,918634000.0,-467535000.0,4991458000.0,1789723000.0,,,,26055661000.0,,15269453000.0,9.173853,15733234000.0,2355705000.0,44980000.0,1132968875.0,24162113000.0,8567447000.0,55661692000.0,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.238457600,,234860000.0,,,,383909000.0,,,,,,2044630000.0,,,,,,,,,,,86111134000.0,373938000.0,,,-796439000.0,,2558925000.0,13262777000.0,12832001000.0,13037127000.0,26156567000.0,,,,,1386330000.0,,1137038000.0,,103090000.0,,,,,,,0.0,-110386000.0,-540517000.0,,,,-630625000.0,,,593909000.0,-919221000.0,,,,0.08942,,5820849000.0,,,,1816473000.0,,,,,,,62490000.0,,80511252000.0,205126000.0,8237485000.0,,,177952000.0,225650000.0,,,,1966940000.0,,,,,12883561000.0,,,,25626172000.0,,,,29172390000.0,38057968000.0,,,,,,897252000.0,,,,,,,111655819000.0,,,,101328000.0,,137281991000.0,,,,,,7921324000.0,,,1133115803.0,595042000.0,,,,-435439000.0,,,,,,50941529000.0,,6736428000.0,2638539000.0,-140766000.0,,,28371516000.0,,,,8086553000.0,,128437000.0,101328000.0,1258409000.0,,13037127000.0,359049000.0,-980722000.0,4732218000.0,3182310000.0,0.08942,,1133115803.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.246320000,,-2525987000.0,,,,502983000.0,,,,,,3343346000.0,,,,,,,,,,,84360071000.0,1824782000.0,,,179333000.0,,2490412000.0,12298898000.0,13037127000.0,12154669000.0,26156567000.0,,,,,1087133000.0,,3339235000.0,,-1957968000.0,,,,,,73298000.0,0.0,620010000.0,548406000.0,,,,-660326000.0,,,4727000.0,-1096745000.0,,,,-1.905793,,5158658000.0,,,,-1646525000.0,,,,,,,-329133000.0,,77147681000.0,-882457000.0,8851254000.0,,,-3039400000.0,144229000.0,,,,1421406000.0,,,,,10957978000.0,,,,24683343000.0,,,,29587588000.0,33868254000.0,,,,,,-2743270000.0,,,,,,1864044000.0,104709061000.0,,,,-2090788000.0,,129392404000.0,,,,,,6889496000.0,,,1097068664.0,608158000.0,,,,-28552000.0,,,,,,44826232000.0,,6221477000.0,5158658000.0,-1180798000.0,,,24869442000.0,,,,0.0,,-2102684000.0,-2090788000.0,762968000.0,,12154669000.0,2530714000.0,1424394000.0,4937728000.0,1810585000.0,-1.905793,,1097068664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.254268800,,236268000.0,,,,,,,,,,5144911000.0,,,1517797000.0,,,,,,,,85120645000.0,943283000.0,,,-108395000.0,,9171092000.0,14642462000.0,12154669000.0,14506989000.0,26156567000.0,,,,,1049586000.0,,,,,,,,,,,,-74026000.0,-707597000.0,,,,2249475000.0,,,1816013000.0,-1448601000.0,,,,,,8493539000.0,,,,712963000.0,,,,,,,-121288000.0,,75722795000.0,2352321000.0,7694997000.0,,,-54543000.0,135473000.0,,,,931194000.0,,,,,10536153000.0,,,,27197459000.0,,,,28108709000.0,35017970000.0,,,,,,-735638000.0,,,,,,,103684700000.0,,,,453797000.0,,130882159000.0,,,,,,15217105000.0,,,,602204000.0,,,,,,,,,,45554123000.0,,7120503000.0,3245865000.0,-188947000.0,,,17154174000.0,,,,9576094000.0,,444765000.0,453797000.0,809283000.0,,14506989000.0,1585529000.0,-610117000.0,,1532615000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:01.262217600,2369073000.0,-457888000.0,,19517145000.0,17661566000.0,1842309000.0,105621694000.0,77261818000.0,-4413350000.0,,,4509966000.0,26156567000.0,,,-797337000.0,,40050000.0,3316605000.0,,-65963306000.0,1514378000.0,69610291000.0,-3480735000.0,,,-1173167000.0,13458857000.0,2839571000.0,15845864000.0,14506989000.0,8183224000.0,26156567000.0,,208257000.0,,119502227000.0,1437618000.0,,,,2483744000.0,14869029000.0,140397960000.0,,,,,228020000.0,-1409788000.0,-2544681000.0,,,,885467000.0,-1161036000.0,12832000000.0,1395194000.0,-1710553000.0,472935000.0,-561732000.0,,,,5358718000.0,-5175120000.0,-3713786000.0,,5178062000.0,-99240000.0,2566093000.0,,999212000.0,,,-1560449000.0,1352053000.0,74434654000.0,914665000.0,10481471000.0,1686761000.0,,3944623000.0,7662640000.0,-274944000.0,859285000.0,0.0,-944266000.0,-42240409000.0,,-2211845000.0,,13375874000.0,2263473000.0,,2483744000.0,28330263000.0,,,8135368000.0,15219062000.0,63835366000.0,4648116000.0,,,63400000.0,27652513000.0,3467509000.0,,568260000.0,-887304000.0,57519730000.0,1137601808.0,,118678731000.0,,133816659000.0,15398093000.0,-97821000.0,1011567000.0,147008994000.0,0.1499,-1132677000.0,978980000.0,16918476000.0,170526000.0,26590272000.0,19102776000.0,2065883000.0,,1671550000.0,,4471306000.0,,,10062139000.0,1471886000.0,,2615842000.0,,77211240000.0,7503437000.0,10143763000.0,5905160000.0,2696609000.0,76091785000.0,5058097000.0,27004863000.0,2397874000.0,,15398093000.0,3764974000.0,1860514000.0,-9075000.0,-97821000.0,865187000.0,19009667000.0,8183224000.0,-12767617000.0,-5148864000.0,4732434000.0,-546442000.0,,,,28194965000.0,,2963275000.0,0.1499,23187411000.0,918742000.0,50726000.0,1137601808.0,14163423000.0,170526000.0,43356307000.0,,,,,,,,,,,,,,,,,,,,,
