date,annualDepreciationAndAmortization,quarterlyCapitalExpenditure,quarterlyCurrentDebt,annualPurchaseOfBusiness,quarterlyInterestExpense,annualStockholdersEquity,annualDilutedAverageShares,annualChangeInInventory,annualStockBasedCompensation,annualCashFlowFromContinuingFinancingActivities,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyNetOtherFinancingCharges,quarterlyInventory,quarterlyNetIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,annualOperatingCashFlow,quarterlyCurrentDeferredRevenue,annualAccountsReceivable,quarterlyOperatingCashFlow,quarterlyOperatingExpense,annualCapitalStock,quarterlyPretaxIncome,quarterlyDilutedEPS,annualCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfBusiness,annualSaleOfInvestment,annualDilutedEPS,annualInventory,quarterlyNetPPE,annualOtherIntangibleAssets,quarterlyTaxProvision,annualGrossProfit,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,annualCurrentLiabilities,annualEbitda,quarterlyCommonStockIssuance,annualNetPPE,annualBasicAverageShares,quarterlyFreeCashFlow,annualOtherNonCurrentLiabilities,annualOtherCurrentLiabilities,annualNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,annualGoodwill,trailingPretaxIncome,trailingInterestExpense,quarterlyTotalAssets,quarterlyBasicAverageShares,annualGainsLossesNotAffectingRetainedEarnings,annualChangeInCashSupplementalAsReported,annualPurchaseOfInvestment,trailingGrossProfit,annualRepaymentOfDebt,trailingOperatingIncome,annualAccountsPayable,trailingTotalRevenue,quarterlySaleOfInvestment,trailingOtherIncomeExpense,annualInvestingCashFlow,annualOperatingIncome,annualEndCashPosition,quarterlyOtherIntangibleAssets,annualPretaxIncome,quarterlyDepreciationAndAmortization,annualNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOtherIncomeExpense,quarterlyBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,annualGrossPPE,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,annualCashAndCashEquivalents,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,annualNetOtherFinancingCharges,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyEndCashPosition,annualInvestmentsAndAdvances,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyBasicEPS,quarterlyGrossProfit,annualCurrentDeferredRevenue,trailingSellingGeneralAndAdministration,annualCapitalExpenditure,annualCurrentAccruedExpenses,quarterlyTotalLiabilitiesNetMinorityInterest,annualNetIncomeContinuousOperations,annualOperatingExpense,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualTotalRevenue,trailingOperatingExpense,quarterlyCurrentLiabilities,annualInterestExpense,annualChangesInAccountReceivables,trailingCostOfRevenue,quarterlyGrossPPE,annualOtherShortTermInvestments,quarterlyCurrentAssets,quarterlyCashDividendsPaid,annualCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,annualAccumulatedDepreciation,annualRepurchaseOfCapitalStock,quarterlyRetainedEarnings,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,trailingNetIncomeContinuousOperations,annualCurrentAssets,quarterlyStockBasedCompensation,annualChangeInWorkingCapital,quarterlyOtherNonCashItems,annualOtherNonCurrentAssets,quarterlyOtherShortTermInvestments,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,quarterlyGoodwill,annualNetIncomeCommonStockholders,quarterlyAccountsReceivable,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,trailingNetIncome,quarterlyCostOfRevenue,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,annualNetIncome,quarterlyChangeInInventory,quarterlyLongTermDebt,annualRetainedEarnings,annualCostOfRevenue,annualOtherCurrentAssets,quarterlySellingGeneralAndAdministration,annualBeginningCashPosition,annualLongTermDebt,quarterlyNetIncomeContinuousOperations,annualCashDividendsPaid,annualFreeCashFlow,annualCurrentDebt,quarterlyRepaymentOfDebt,annualBasicEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,annualSellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,annualOtherNonCashItems,quarterlyDilutedAverageShares,annualTotalNonCurrentAssets,trailingFreeCashFlow,trailingEndCashPosition,trailingCashDividendsPaid,trailingDilutedAverageShares,annualResearchAndDevelopment,trailingChangeInWorkingCapital,trailingCashFlowFromContinuingFinancingActivities,trailingNetOtherFinancingCharges,trailingInvestingCashFlow,trailingBasicEPS,trailingCommonStockIssuance,quarterlyDeferredIncomeTax,annualIncomeTaxPayable,trailingChangeInAccountPayable,trailingOperatingCashFlow,annualDeferredIncomeTax,trailingDepreciationAndAmortization,trailingDeferredIncomeTax,trailingStockBasedCompensation,quarterlyResearchAndDevelopment,trailingNetOtherInvestingChanges,trailingBasicAverageShares,trailingChangeInInventory,annualTaxProvision,trailingResearchAndDevelopment,trailingCapitalExpenditure,trailingChangeInCashSupplementalAsReported,quarterlyNonCurrentDeferredTaxesLiabilities,trailingSaleOfInvestment,quarterlyIncomeTaxPayable,trailingRepurchaseOfCapitalStock,trailingTaxProvision,trailingChangesInAccountReceivables,trailingRepaymentOfDebt,annualNonCurrentDeferredTaxesLiabilities,trailingPurchaseOfInvestment,trailingOtherNonCashItems,trailingPurchaseOfBusiness,trailingDilutedEPS,trailingBeginningCashPosition
1993-03-31,,-9600000.0,,,2500000.0,,,,,,,,-7000000.0,,700000,38500000.0,,,,,,1900000.0,-6500000,,,0.0125,,,,,,130700000.0,,,,,30800000.0,,,130300000.0,,,-7700000.0,,,,100000.0,,,295922000.0,104223000.0,179500000,56000000.0,,,,491214000.0,,326504000.0,,977458000.0,,66434000.0,,,,,,3300000.0,,,,,200000.0,,,,,,9400000,,,15900000,-1600000.0,,,-9600000.0,700000,-900000.0,0.0125,,,55663000.0,,,111000000,,,,,,164710000.0,,,,486244000.0,,,,,,,,,-400000,19200000,,295922000.0,,,,-500000.0,,,279123000.0,57400000,,,,,300000,279139000.0,,,,,,103000000,,,,700000,,,700000,,,,-187900000.0,,,,,,,56000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-06-30,,-16100000.0,,,1100000.0,,,,,,,,-17100000.0,,2800000,-3400000.0,,,,,,5800000.0,-4800000,,,0.055,,,,,,145600000.0,,,,,-13700000.0,,,0.0,,,-10300000.0,,,,700000.0,,,,,180400000,50909091.0,,,,,,,,,,,,,,,,1500000.0,,,,,,,,,,,10000000,,,14800000,1600000.0,,,-16100000.0,2800000,100000.0,0.055,,,,,,112500000,,,,,,,,,,,,,,,,,,,-800000,16300000,,,,,,-100000.0,,,,56900000,,,,,300000,,,,,,,103000000,,,,800000,,,2800000,,,,14800000.0,,,,,,,50909091.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-09-30,,-600000.0,,,1200000.0,,,,,,,,11300000.0,,2700000,-4600000.0,,,,,,4100000.0,-5400000,,,0.0525,,,,,,145000000.0,,,,,-1100000.0,,,-11900000.0,,,3500000.0,,,,-1400000.0,,,,,180000000,51428571.0,,,,,,,,,,,,,,,,1500000.0,,,,,,,,,,,10500000,,,15900000,-1200000.0,,,-600000.0,2700000,,0.0525,,,,,,112500000,,,,,,,,,,,,,,-4000000.0,,,,,-1500000,17400000,,,,,,1200000.0,,,,56600000,,,,,300000,,,,,,,103000000,,,,800000,,,2700000,,,,0.0,,,,,,,51428571.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31,7900000.0,-18800000.0,,,1100000.0,204400000.0,60289855.0,,,188400000.0,,,-8900000.0,,4300000,157900000.0,,,16700000.0,,,4900000.0,-5200000,,,,132200000.0,,,0.1725,,163300000.0,,,,,11100000.0,,71800000.0,161800000.0,163300000.0,59428571.0,-13900000.0,,,-800000.0,-1200000.0,,,,,341700000,,,27100000.0,-132200000.0,,-173100000.0,,,,,,-178100000.0,63900000.0,,,,1600000.0,,,,,,132200000.0,,,0.0,0.0,12100000,,-21700000.0,17300000,-3400000.0,,,-151800000.0,4300000,,,,,,-45100000.0,300000.0,113900000,10400000.0,-21900000.0,,-500000.0,42000000.0,,,5900000.0,-1800000.0,,,132200000.0,,,280200000.0,,,,-2500000,18900000,,,,,-4600000.0,2400000.0,,132200000.0,,204400000,,10400000.0,,,300000,,,341700000.0,113900000.0,10400000.0,,103000000,-2500000.0,,,900000,200000.0,103000000.0,4300000,,-28400000.0,,0.0,0.175,,,3200000.0,,3000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-03-31,,-65200000.0,,,1200000.0,,,,,,,,-6300000.0,,4400000,2700000.0,,,,,,7000000.0,-6300000,,,0.055,,,,,,226900000.0,,,,,-1700000.0,,,,,,-58200000.0,,,,-100000.0,,,,,351500000,80000000.0,,,,,,,,,95700000.0,,,,,,,1900000.0,,,,,27300000.0,76800000.0,,,0.0,,13500000,-40300000.0,,19800000,1400000.0,,,-11500000.0,4400000,800000.0,0.055,,,,,,124800000,,,,,,,,,,,,,,,,,,,-3700000,21700000,,,,,,-700000.0,,76800000.0,,203400000,,,,-1700000.0,300000,,,,,,,112000000,,,,1000000,,,4400000,,,,,,,,,,,80000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-06-30,,-29100000.0,,,1500000.0,,,,,,,,-6300000.0,,4600000,-5800000.0,,,,,,5200000.0,-7000000,,,0.0575,,,,,,253500000.0,,,,,-25200000.0,,,,,,-23900000.0,,,,-3200000.0,,,,,351400000,80000000.0,,,,,,,,,-94900000.0,,,,,,,2000000.0,,,,,,70900000.0,,,0.0,,14600000,-21000000.0,,21600000,-4400000.0,,,-24500000.0,4600000,1000000.0,0.0575,,,,,,125500000,,,,,,,,,,,,,,,,,,,-4800000,23600000,,,,,,3000000.0,,70900000.0,,202700000,,,,120500000.0,400000,,,,,,,112000000,,,,900000,,,4600000,,,,,,,,,,,80000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-09-30,,-188200000.0,,,3000000.0,,,,,,,,-7900000.0,,3400000,160300000.0,,,,,,9000000.0,-10200000,,,0.04,,,,,,447600000.0,,,,,2200000.0,,,76600000.0,,,-179200000.0,,,,-1100000.0,,,,,526500000,85000000.0,,,,,,,,,103500000.0,,,,,,,2900000.0,,,,,,35900000.0,,,0.0,,18600000,,,28800000,3800000.0,,,-167200000.0,3400000,3000000.0,0.04,,,,,,224400000,,,,,,,,,,,,,,,,,,,-8500000,31700000,,,,,,-1100000.0,,35900000.0,,273600000,,,,-143800000.0,1000000,,,,,,,203700000,,,,1800000,,,3400000,,,,,,,,,,,85000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-31,11000000.0,-44200000.0,,,4000000.0,270600000.0,85714286.0,,,170400000.0,,,-7800000.0,,2600000,13200000.0,,,26200000.0,,,5000000.0,-12000000,,,,6500000.0,,126700000.0,0.175,,498400000.0,,,,,-700000.0,,114900000.0,-600000.0,498400000.0,85714286.0,-39200000.0,,,-22000000.0,300000.0,,,,,544100000,,,-25400000.0,,,-56500000.0,,,,22400000.0,,-222000000.0,103900000.0,,,,4200000.0,,,,-300000.0,,6500000.0,,,0.0,0.0,22100000,,-28300000.0,34100000,-4200000.0,,,-18800000.0,2600000,-2400000.0,,,,,-326700000.0,600000.0,243000000,15000000.0,-35400000.0,,2400000.0,68500000.0,,,9700000.0,-4100000.0,,,6500000.0,,,76500000.0,,,,-13000000,38300000,,,,,-3400000.0,2400000.0,,6500000.0,,270600000,,15000000.0,,3000000.0,600000,,,544100000.0,243000000.0,15000000.0,,226700000,-13000000.0,,,3100000,27300000.0,226700000.0,2600000,,-300500000.0,,-3400000.0,0.175,,,6800000.0,,3600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-03-31,,-2200000.0,,,4300000.0,,,,,,,,,,3600000,-8200000.0,,,,,,13800000.0,-13600000,,,0.0375,,,,,,497000000.0,,,,,-300000.0,,,-7900000.0,,,11600000.0,,,,3500000.0,,,,,545400000,96000000.0,,,,,,,,,,,,,,,,4200000.0,,,,,1900000.0,11500000.0,,,0.0,,24100000,-5000000.0,,37700000,12200000.0,,,-5800000.0,3600000,2600000.0,0.0375,,,,,,248200000,,,,,,,,,,,,,,,,,,,-16600000,41900000,-2000000.0,,,,,-6200000.0,,11500000.0,,267300000,,,,1400000.0,700000,,,,,,,226300000,,,,2200000,,,3600000,,,,-300000.0,,,,,,,96000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-06-30,,1600000.0,,,4400000.0,,,,,,,,,,4800000,-7400000.0,,,,,,10000000.0,-12900000,,,0.05,,,,,,492500000.0,,,,,,,,-7400000.0,,,11600000.0,,,,-1300000.0,,,,,544700000,96000000.0,,,,,,,,,,,,,,,,4200000.0,,,,,,13100000.0,,,0.0,,24600000,-1600000.0,,37500000,2400000.0,,,-2300000.0,4800000,2500000.0,0.05,,,,,,249100000,,,,,,,,,,,,,,,,,,,-18900000,41700000,0.0,,,,,-1400000.0,,13100000.0,,265900000,,,,-3600000.0,1300000,,,,,,,226100000,,,,1900000,,,4800000,,,,-200000.0,,,,,,,96000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
