,annualEbitda,annualRepaymentOfDebt,quarterlyStockholdersEquity,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,annualOtherNonCurrentLiabilities,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,annualChangeInCashSupplementalAsReported,annualDilutedAverageShares,quarterlyNetOtherInvestingChanges,annualCashCashEquivalentsAndMarketableSecurities,annualOtherCurrentLiabilities,quarterlyOperatingExpense,trailingGrossProfit,trailingNetIncomeCommonStockholders,annualBeginningCashPosition,trailingOtherIncomeExpense,quarterlyOtherCurrentAssets,annualCashFlowFromContinuingFinancingActivities,annualDilutedEPS,trailingInterestExpense,quarterlyRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,annualSellingGeneralAndAdministration,annualOtherIncomeExpense,quarterlyChangesInAccountReceivables,trailingCashFlowFromContinuingFinancingActivities,annualBasicAverageShares,quarterlySaleOfInvestment,quarterlyDilutedEPS,quarterlyCapitalStock,trailingCapitalExpenditure,trailingChangeInCashSupplementalAsReported,quarterlyCurrentDebt,annualGrossPPE,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,annualTotalNonCurrentAssets,trailingNetIncomeContinuousOperations,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,trailingDepreciationAndAmortization,trailingOtherNonCashItems,annualPurchaseOfBusiness,quarterlyAccountsPayable,annualNonCurrentDeferredTaxesLiabilities,quarterlyDeferredIncomeTax,quarterlyTotalRevenue,trailingPurchaseOfBusiness,quarterlyChangeInWorkingCapital,annualChangeInInventory,annualOperatingExpense,quarterlyGrossPPE,trailingSellingGeneralAndAdministration,trailingNetOtherFinancingCharges,annualInvestingCashFlow,quarterlyOperatingCashFlow,annualNetIncomeContinuousOperations,quarterlyAccumulatedDepreciation,annualPurchaseOfInvestment,annualCapitalExpenditure,quarterlyCapitalExpenditure,annualChangesInAccountReceivables,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,trailingCostOfRevenue,annualCapitalStock,trailingCashDividendsPaid,quarterlyBasicAverageShares,trailingBeginningCashPosition,annualInterestExpense,annualGoodwill,trailingNetIncome,annualNetOtherFinancingCharges,annualGrossProfit,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyNetPPE,quarterlyPretaxIncome,annualAccumulatedDepreciation,annualDeferredIncomeTax,quarterlyRetainedEarnings,quarterlyTaxProvision,trailingOperatingExpense,annualInventory,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,annualResearchAndDevelopment,quarterlyOtherNonCashItems,annualChangeInWorkingCapital,quarterlyFreeCashFlow,trailingChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,annualCommonStockIssuance,quarterlyBasicEPS,annualFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyCurrentAssets,quarterlyCurrentLiabilities,trailingFreeCashFlow,annualGainsLossesNotAffectingRetainedEarnings,annualRetainedEarnings,quarterlyGoodwill,annualTotalRevenue,annualNetOtherInvestingChanges,quarterlySellingGeneralAndAdministration,annualLongTermDebt,annualCashDividendsPaid,quarterlyOtherNonCurrentLiabilities,trailingTotalRevenue,annualCostOfRevenue,annualTaxProvision,annualNetIncome,annualTotalAssets,annualPretaxIncome,annualCurrentDebt,quarterlyTotalAssets,trailingOperatingIncome,annualEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyPurchaseOfInvestment,annualOperatingIncome,trailingTaxProvision,trailingEndCashPosition,quarterlyDepreciationAndAmortization,annualAccountsPayable,trailingInvestingCashFlow,annualOtherCurrentAssets,annualStockholdersEquity,annualOtherNonCashItems,quarterlyInterestExpense,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,annualRepurchaseOfCapitalStock,quarterlyDilutedAverageShares,annualInvestmentsAndAdvances,annualBasicEPS,quarterlyChangeInAccountPayable,annualDepreciationAndAmortization,quarterlyNetIncome,annualCurrentAccruedExpenses,quarterlyNetIncomeContinuousOperations,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyGrossProfit,annualCashAndCashEquivalents,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,annualCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyChangeInInventory,annualAccountsReceivable,trailingOperatingCashFlow,trailingPretaxIncome,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyEndCashPosition,annualOtherNonCurrentAssets,quarterlyAccountsReceivable,annualCurrentLiabilities,annualOtherShortTermInvestments,annualNetIncomeCommonStockholders,annualOtherIntangibleAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,trailingNetOtherInvestingChanges,annualNetPPE,annualOperatingCashFlow,trailingBasicAverageShares,quarterlyStockBasedCompensation,trailingCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,annualNonCurrentDeferredRevenue,trailingBasicEPS,trailingDilutedEPS,quarterlyResearchAndDevelopment,trailingStockBasedCompensation,trailingPurchaseOfInvestment,annualCurrentDeferredRevenue,trailingChangesInAccountReceivables,annualStockBasedCompensation,annualIncomeTaxPayable,trailingChangeInInventory,trailingChangeInAccountPayable,annualSaleOfInvestment,trailingSaleOfInvestment,trailingDeferredIncomeTax,quarterlyCurrentDeferredRevenue,trailingResearchAndDevelopment,quarterlyIncomeTaxPayable,trailingRepurchaseOfCapitalStock,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915062400,3893779982.197762,-551396740.457554,,,,1225151043.321404,,,-105027950.563344,1975885600.0,,79296102.675324,1177888465.567899,,,,184324053.238668,,,1291056082.299902,0.008903,,,,,-1788888567.970151,,,1975885600.0,,,,,,,11843082990.460836,,,14398938167.419806,,,,,,,,2782978120.052199,,,,,,3828400082.972081,,,,-2718648500.332151,,6958101.724822,,,-2911768644.430499,,,,,,648547594.728647,,,,,,,388603417.084372,6481143544.325734,,,,,,,,,,554678863.912659,,,433502865.950201,,,,,13222231266.295744,,,,,,-1589204176.961594,,,,,,4607838761.090295,,13902024676.316984,0.0,,5066023195.422882,-385977718.320288,,,7420881131.991251,557698417.491355,17592181.71936,18654670724.24649,564656519.216176,864773887.950931,,,79296102.675324,,,2652743461.353653,,,,1762500295.391111,,883022494.361312,5432439457.950747,,,,,,,628198429.306999,0.008903,,,,,,,,,,,,4255732556.826686,,,,2257444512.420868,,,,,,1565704173.023046,,4148078907.499258,,17592181.71936,,9074152358.796486,,,11843082990.460836,1322564467.468905,,,,,,,,,,,,,,,,,,,,,,,,
946598400,4773529899.741651,-731385715.836129,,,,1320935245.606135,,,432619079.399573,1975885600.0,,507965654.935138,1432957141.021595,,,,75346575.535566,,,299140874.394514,0.214846,,,,,-1975976418.018809,,,1975885600.0,,,,,,,11471765617.26185,,,13682513980.90638,,,,,,,,2738299138.379475,,,,,,3584950145.266701,,,,-2383272062.263217,,386587810.570725,,,-3211211171.252537,,,,,,616245170.771018,,,,,,,-619862804.364613,7077338768.931763,,,,,,,,,,685354447.007281,,,275688629.029139,,,,,15783735368.85517,,,,,,-694460903.984262,,,,,,4443951004.766544,,17463440070.157143,0.0,,5742057734.937234,-16840708.108115,,,10386101301.22538,1263302600.080586,424510590.31048,20974415845.734123,1649890410.651311,481270013.934127,,,507965654.935138,,,3492388623.665062,,,,3061765480.041266,,1696171171.452131,5190680476.878955,,,,,,,597658018.859098,0.214846,,,,,,,,,,,,7291901864.827745,,,,3470433330.13152,,,,,,1090404663.50394,,5982443249.932325,,424510590.31048,,9801292118.922844,,,11471765617.26185,2516750267.268275,,,,,,,,,,,,,,,,,,,,,,,,
978220800,8542000000.0,,,,,1151000000.0,,,641000000.0,1975885600.0,,1534000000.0,2004000000.0,,,,458000000.0,,,-3966000000.0,0.9227,,,,3697000000.0,67000000.0,,,1975885600.0,,,,,,,30692000000.0,,,18872000000.0,,,,,,,,5971000000.0,,,,,15000000.0,5472000000.0,,,,-1806000000.0,,1822000000.0,,,-1951000000.0,,,,,,557000000.0,,,,327000000.0,,,1000000.0,12239000000.0,,,,,-15771000000.0,138000000.0,,,,477000000.0,,,,,717000000.0,,,17227000000.0,,,,,,4451000000.0,,,,,281000000.0,1666000000.0,,25992000000.0,-532000000.0,,3857000000.0,-2410000000.0,,,13753000000.0,4563000000.0,1822000000.0,25158000000.0,6385000000.0,314000000.0,,,1099000000.0,,,6767000000.0,,,,3014000000.0,,0.0,7651000000.0,,,,,,,,0.9227,,1775000000.0,,916000000.0,,,,,1099000000.0,,,6286000000.0,,,,3615000000.0,,,,,,3951000000.0,,6248000000.0,435000000.0,1822000000.0,,10979000000.0,,,14921000000.0,6402000000.0,,,,,,,,,,,,,,,,,,,,,,,,
985996800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2411,,,,,,,,,,,5556000000.0,,,,,,,5556000000.0,,,,,,,,,,,,,,,,,,,,,1965989216.0,,,,,,,,5556000000.0,,,,,,,,,,,,,,,,,,,,,0.2411,,,,,,,,,,,,,,,,,,,,,,,,,474000000.0,,,,,,,,,,,,,,,1965989216.0,,,,,474000000.0,,474000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993859200,,,4822000000.0,,,,,,,,,,,1237000000.0,,,,,-1000000.0,,,,,217000000.0,,,,,,,0.3357,589000000.0,,,625000000.0,,382000000.0,607000000.0,,,,1861000000.0,,,,2681000000.0,,,6515000000.0,,,,,29903000000.0,,,,,,-15771000000.0,,,,,,2692000000.0,,,,1996621864.0,,,,,,,,2227000000.0,14132000000.0,1825000000.0,,,,1154000000.0,,,225000000.0,,,,,,,,11511000000.0,1399000000.0,3417000000.0,,0.3357,,17654000000.0,6365000000.0,7397000000.0,,,,,,,871000000.0,,,1219000000.0,,,,,,,,24019000000.0,,,671000000.0,,,,,,,,,,,67000000.0,,,,1996621864.0,,,,,671000000.0,,671000000.0,349000000.0,476000000.0,3098000000.0,,18908000000.0,3522000000.0,,5555000000.0,4737000000.0,,,,,,,,,3975000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001808000,,,5504000000.0,382000000.0,,,,,,,183000000.0,,,1463000000.0,,,,,1000000.0,,,,,216000000.0,,,,,,,0.212,617000000.0,,,577000000.0,,1632000000.0,2403000000.0,,,466000000.0,1557000000.0,,,,2586000000.0,,118000000.0,7062000000.0,,-302000000.0,,,30248000000.0,,,,637000000.0,,-15771000000.0,,,-196000000.0,,1199000000.0,3705000000.0,,,,2164585600.0,,,,,,,,2019000000.0,14477000000.0,1746000000.0,,,460000000.0,1286000000.0,,,771000000.0,67000000.0,,2000000.0,,441000000.0,,,11573000000.0,1281000000.0,4042000000.0,,0.212,,18154000000.0,7384000000.0,8149000000.0,,,,,,,1039000000.0,,,1186000000.0,,,,,,,,25538000000.0,,,460000000.0,,,,,462000000.0,,,,,,19000000.0,,696000000.0,,2164585600.0,,,,,460000000.0,,460000000.0,168000000.0,459000000.0,3020000000.0,,19722000000.0,3677000000.0,,5868000000.0,4519000000.0,50000000.0,,,,106000000.0,-29000000.0,1632000000.0,,3244000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009756800,7675000000.0,,5762000000.0,1632000000.0,,1190000000.0,,,-596000000.0,2076180942.0,-19000000.0,719000000.0,1850000000.0,1729000000.0,,,1085000000.0,,1000000.0,-3503000000.0,0.926494,,,217000000.0,4004000000.0,659000000.0,,,2076180942.0,,,609000000.0,,,736000000.0,30537000000.0,489000000.0,719000000.0,16810000000.0,,-494000000.0,813000000.0,,,,2352000000.0,4714000000.0,-39000000.0,6491000000.0,,-1029000000.0,-117000000.0,6014000000.0,30537000000.0,,,-1429000000.0,-152000000.0,1919000000.0,-16458000000.0,-315000000.0,-1853000000.0,-577000000.0,,-1129000000.0,1850000000.0,,609000000.0,,,,302000000.0,,,-4804000000.0,11679000000.0,,1580000000.0,14079000000.0,895000000.0,-16458000000.0,94000000.0,744000000.0,627000000.0,,587000000.0,230000000.0,-18000000.0,,,52000000.0,-729000000.0,,16297000000.0,9820000000.0,1539000000.0,3949000000.0,1435000000.0,,2507000000.0,16810000000.0,5416000000.0,6477000000.0,,217000000.0,744000000.0,,25720000000.0,170000000.0,962000000.0,3916000000.0,-631000000.0,1190000000.0,,14041000000.0,4283000000.0,1919000000.0,22226000000.0,6202000000.0,736000000.0,22226000000.0,,489000000.0,268000000.0,-107000000.0,5665000000.0,,,767000000.0,2352000000.0,,1000000.0,5762000000.0,,109000000.0,,-147000000.0,,,,0.926494,,2010000000.0,268000000.0,1539000000.0,268000000.0,157000000.0,587000000.0,2542000000.0,489000000.0,16297000000.0,2731000000.0,5416000000.0,4714000000.0,3916000000.0,-134000000.0,3087000000.0,,,-471000000.0,8000000.0,489000000.0,2731000000.0,3087000000.0,6477000000.0,230000000.0,1919000000.0,,9820000000.0,,,14079000000.0,4360000000.0,,,,,,,,,,,,,,,,,,,,,,,,
1017532800,,,6072000000.0,498000000.0,,,,,,,43000000.0,,,1430000000.0,,,,,-1000000.0,,,,,92000000.0,,,,,,,0.1573,620000000.0,,,686000000.0,,851000000.0,1681000000.0,,,-13000000.0,1143000000.0,,,,2119000000.0,,-53000000.0,6219000000.0,,227000000.0,,,30719000000.0,,,,835000000.0,,-16458000000.0,,,-443000000.0,,353000000.0,2797000000.0,,,,2164585600.0,,,,,,,,1579000000.0,14261000000.0,1217000000.0,,,1097000000.0,877000000.0,,,830000000.0,,,-1000000.0,,392000000.0,,,9806000000.0,1429000000.0,3646000000.0,,0.1573,,16951000000.0,6123000000.0,7031000000.0,,,,,,,994000000.0,,,1217000000.0,,,,,,,,23074000000.0,,,340000000.0,-56000000.0,,,,436000000.0,,,,,,58000000.0,,-9000000.0,,2164585600.0,,,,,340000000.0,,340000000.0,89000000.0,646000000.0,2573000000.0,,16837000000.0,2690000000.0,,4729000000.0,3860000000.0,-49000000.0,,,,-456000000.0,,851000000.0,,2912000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025395200,,,6788000000.0,851000000.0,,,,,,,-23000000.0,,,1670000000.0,,,,,-1000000.0,,,,,-277000000.0,,,,,,,0.3752,734000000.0,,,714000000.0,,399000000.0,911000000.0,,,-719000000.0,1489000000.0,,,,2190000000.0,,80000000.0,8475000000.0,,-249000000.0,,,33013000000.0,,,,567000000.0,,-16458000000.0,,,-665000000.0,,-544000000.0,2367000000.0,,,,2164789769.0,,,,,,,,2131000000.0,16555000000.0,2171000000.0,,,1283000000.0,1358000000.0,,,512000000.0,,,2000000.0,,-98000000.0,,,11457000000.0,1380000000.0,5316000000.0,,0.3752,,19613000000.0,5480000000.0,6651000000.0,,,,,,,1107000000.0,,,1455000000.0,,,,,,,,25093000000.0,,,813000000.0,,,,,642000000.0,,,,,,70000000.0,,-6000000.0,,2164789769.0,,,,,813000000.0,,813000000.0,716000000.0,614000000.0,3159000000.0,,18108000000.0,3058000000.0,,5668000000.0,4334000000.0,142000000.0,,,,-369000000.0,,399000000.0,,3164000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
