date,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualFreeCashFlow,annualCommonStockIssuance,quarterlyRetainedEarnings,quarterlyFreeCashFlow,quarterlyGoodwill,trailingFreeCashFlow,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentLiabilities,quarterlyCurrentAssets,annualBasicAverageShares,trailingPretaxIncome,annualRetainedEarnings,annualNetOtherInvestingChanges,quarterlySellingGeneralAndAdministration,trailingPurchaseOfInvestment,annualEndCashPosition,annualCurrentDebt,quarterlyNetIncomeCommonStockholders,quarterlyDilutedAverageShares,annualCurrentDeferredRevenue,annualTaxProvision,annualPretaxIncome,annualTotalAssets,annualOtherCurrentAssets,quarterlyTotalAssets,trailingOperatingIncome,annualCostOfRevenue,annualNonCurrentDeferredRevenue,quarterlyTotalNonCurrentAssets,annualLongTermDebt,annualCashDividendsPaid,trailingTotalRevenue,annualBasicEPS,annualNetIncome,quarterlyPurchaseOfInvestment,annualOperatingIncome,annualAccountsPayable,trailingInvestingCashFlow,trailingTaxProvision,quarterlyOtherNonCurrentLiabilities,trailingEndCashPosition,quarterlyDepreciationAndAmortization,quarterlyOtherNonCurrentAssets,quarterlyChangeInAccountPayable,annualRepurchaseOfCapitalStock,quarterlyInvestmentsAndAdvances,annualIncomeTaxPayable,annualInvestmentsAndAdvances,quarterlyTotalLiabilitiesNetMinorityInterest,annualSaleOfInvestment,annualOtherNonCashItems,annualStockholdersEquity,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeContinuousOperations,annualDepreciationAndAmortization,trailingSaleOfInvestment,annualCashAndCashEquivalents,annualCurrentAccruedExpenses,quarterlyNetIncome,quarterlyChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyBasicEPS,quarterlyInvestingCashFlow,quarterlyEndCashPosition,trailingOperatingCashFlow,quarterlyOtherIncomeExpense,annualCurrentAssets,annualAccountsReceivable,quarterlyInventory,annualNetIncomeCommonStockholders,quarterlyCurrentAccruedExpenses,annualCurrentLiabilities,annualDilutedAverageShares,annualOtherNonCurrentAssets,annualOperatingCashFlow,quarterlyAccountsReceivable,annualDilutedEPS,annualNetPPE,quarterlyCashDividendsPaid,annualOtherShortTermInvestments,quarterlyCostOfRevenue,annualOtherIntangibleAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,quarterlyCapitalStock,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,annualRepaymentOfDebt,annualEbitda,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOperatingExpense,annualOtherNonCurrentLiabilities,trailingGrossProfit,annualOtherCurrentLiabilities,quarterlyBasicAverageShares,quarterlyCurrentDeferredRevenue,annualCashCashEquivalentsAndMarketableSecurities,quarterlyNetOtherInvestingChanges,trailingNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,annualCashFlowFromContinuingFinancingActivities,annualBeginningCashPosition,quarterlyOtherCurrentAssets,trailingOtherIncomeExpense,quarterlySaleOfInvestment,trailingChangeInCashSupplementalAsReported,annualOtherIncomeExpense,annualTotalNonCurrentAssets,annualGrossPPE,trailingCapitalExpenditure,quarterlyCashAndCashEquivalents,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,trailingCashFlowFromContinuingFinancingActivities,trailingDepreciationAndAmortization,annualSellingGeneralAndAdministration,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,trailingPurchaseOfBusiness,quarterlyChangeInWorkingCapital,annualNonCurrentDeferredTaxesLiabilities,annualPurchaseOfBusiness,trailingNetIncomeContinuousOperations,quarterlyDeferredIncomeTax,trailingOtherNonCashItems,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyIncomeTaxPayable,annualCapitalExpenditure,trailingStockBasedCompensation,quarterlyTotalRevenue,trailingDeferredIncomeTax,annualChangeInInventory,quarterlyGrossPPE,quarterlyDilutedEPS,annualOperatingExpense,trailingSellingGeneralAndAdministration,quarterlyCapitalExpenditure,annualNetIncomeContinuousOperations,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,annualInvestingCashFlow,quarterlyOperatingCashFlow,trailingBeginningCashPosition,annualInterestExpense,annualPurchaseOfInvestment,trailingCashDividendsPaid,trailingNetIncome,annualCapitalStock,annualGoodwill,quarterlyOtherCurrentLiabilities,annualTotalRevenue,trailingResearchAndDevelopment,annualStockBasedCompensation,trailingCostOfRevenue,quarterlyTaxProvision,annualChangesInAccountReceivables,quarterlyNetPPE,trailingChangeInInventory,annualDeferredIncomeTax,quarterlyStockBasedCompensation,trailingOperatingExpense,annualNetOtherFinancingCharges,annualResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,annualAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,annualGrossProfit,annualInventory,trailingBasicAverageShares,trailingRepurchaseOfCapitalStock,trailingChangesInAccountReceivables,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingInterestExpense,trailingNetOtherFinancingCharges,trailingBasicEPS,trailingCommonStockIssuance,trailingChangeInAccountPayable,trailingDilutedAverageShares
1996-03-31,,-261261000.0,,,,,,,,-61877000.0,,,,,218015000.0,,,,-21494000.0,,,3800000,21111111.0,,,,,,,296653000.0,,,,,,4264734000.0,,,,,,-467459000.0,32446000.0,,165680000.0,,,,,,,,,,,,,,3800000,,41189000.0,,,3800000,,,,0.18,,,71658000.0,,,,,,,,,,,,,,,,,,,,,,-298708000.0,,,,,,,,1087024000.0,,21111111.0,,,,177468000.0,,,,,,,,-14366000.0,,13451000.0,,,,-133535000.0,,,,409252000.0,131511000.0,,,,,,-737729000.0,,,,179479000.0,,-92000.0,,,,,4013000.0,66600000,19690000.0,,,0.18,,512523000.0,,,66600000,,,,152229000.0,,,-77748000.0,177468000.0,,,,,307112000.0,,3177710000.0,,,,-181443000.0,,,790371000.0,,,,,,,,,66600000,,,,,,,,,,,,,
1996-06-30,,,,,,,,,,,,,,,,,,,,,,3900000,21666667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900000,,,,,3900000,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21666667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66600000,,,,0.18,,,,,66600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66600000,,,,,,,,,,,,,
1996-09-30,,,,,,,,,,,,,,,,,,,,,,3800000,21111111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800000,,,,,3800000,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21111111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77700000,,,,0.18,,,,,77700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77700000,,,,,,,,,,,,,
1996-12-31,17800000.0,,163800000.0,-25000000.0,-9300000.0,,63200000.0,,,,,146000000.0,163400000.0,21428571.0,,63200000.0,8800000.0,,,0.0,10600000.0,6500000,,,5800000.0,23800000.0,241400000.0,8900000.0,241400000.0,,223800000.0,,78000000.0,4600000.0,-1000000.0,,0.84,18000000.0,,23000000.0,35900000.0,,,8600000.0,,,52500000.0,,,,,,163800000.0,,,77600000.0,,,6500000,7600000.0,,14500000.0,,6500000,,4600000.0,4600000.0,,,,,,163400000.0,,73300000.0,18000000.0,,146000000.0,21428571.0,52500000.0,-100000.0,,0.84,25500000.0,,,,,17800000.0,,,,,,30600000.0,,,,,8600000.0,,99500000.0,,,14500000.0,,,9100000.0,77600000.0,,-41700000.0,9200000.0,5400000.0,8900000.0,,,,600000.0,78000000.0,67200000.0,,14500000.0,,,,,31300000.0,14500000.0,10600000.0,,,,,4600000.0,,,,,35900000.0,,,-9200000.0,,96600000,,-7300000.0,67200000.0,,60700000.0,,,18000000.0,-187900000,,0.0,,,,,,,,,99500000.0,307500000.0,,,,,,25500000.0,,-100000.0,,,0.0,21800000.0,,,-41700000.0,,,,-187900000,83700000.0,73300000.0,,,,,,,,,,,
1997-03-31,31600000.0,,,,,,66800000.0,14000000.0,,,,132500000.0,156900000.0,,,,,9700000.0,,,,4700000,22380952.0,,,,,,245300000.0,,,,88400000.0,,,,,,,,,,,22400000.0,,1700000.0,62900000.0,,,,,,164100000.0,,,,26000000.0,-100000.0,4700000,,,,,4700000,8100000.0,4600000.0,4600000.0,0.21,-6000000.0,0.0,,100000.0,,,57000000.0,,,,,,,,,,-200000.0,,65800000.0,,,,,14500000.0,,,,,,6100000.0,19800000.0,,,,22380952.0,,,-4400000.0,,,81200000.0,,-41700000.0,,,13500000.0,,,,,,,,13800000.0,,,,,,13800000.0,400000.0,,8400000.0,,8400000.0,,,,,,34500000.0,,,,,91800000,,,67200000.0,0.21,,,-1700000.0,,6200000,-10400000.0,,15700000.0,,,,,,,,97600000.0,,,,,1400000.0,,25500000.0,,,,,,,,,,-700000.0,,,7900000,,,,,,,,,,,,,
1997-06-30,,,,,,,,,,,,,,,,,,,,,,5100000,22173913.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5100000,,,,,5100000,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22173913.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87200000,,,,0.23,,,,,87200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87200000,,,,,,,,,,,,,
1997-09-30,,,,,,,,,,,,,,,,,,,,,,5400000,22500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400000,,,,,5400000,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91100000,,,,0.24,,,,,91100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91100000,,,,,,,,,,,,,
1997-12-31,30700000.0,,185400000.0,-25600000.0,-9200000.0,38300000.0,80700000.0,,,,,154700000.0,216200000.0,22200000.0,,80700000.0,17700000.0,,,0.0,1800000.0,7000000,,,8300000.0,30500000.0,320700000.0,7100000.0,320700000.0,,263300000.0,,104500000.0,3100000.0,-3400000.0,,1.0,22200000.0,,31100000.0,47900000.0,,,26000000.0,,,74700000.0,,,,,,185400000.0,1600000.0,,135300000.0,,,7000000,8500000.0,,51100000.0,,7000000,,1600000.0,3100000.0,,,,,,216200000.0,,87000000.0,22200000.0,,154700000.0,24130435.0,74700000.0,5000000.0,,0.92,29800000.0,,,,,30700000.0,,,,,,39600000.0,,,,,26000000.0,,105000000.0,,,51100000.0,,,36600000.0,135300000.0,,-47600000.0,26200000.0,14500000.0,7100000.0,,,,100000.0,104500000.0,77400000.0,,51100000.0,,,,,41500000.0,51100000.0,1800000.0,,,,,1600000.0,,,,,47900000.0,,,-14200000.0,,102200000,,-20100000.0,77400000.0,,77900000.0,,,22200000.0,-239000000,,5400000.0,,,300000.0,,,,,,105000000.0,372300000.0,,,,,,29800000.0,,-1200000.0,,,-100000.0,27900000.0,,,-47600000.0,,,,-239000000,109000000.0,87000000.0,,,,,,,,,,,
1998-03-31,,,,,,,,,,,,,,,,,,,,,,6100000,26521739.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6100000,,,,,6100000,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103100000,,,,0.23,,,,,103100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103100000,,,,,,,,,,,,,
1998-06-30,35400000.0,,,,,,93600000.0,,,,,140900000.0,188800000.0,,,,,10700000.0,,,,6800000,27200000.0,,,,,,322300000.0,,,,133500000.0,,,,,,,,,,,,,,100200000.0,,,,,,176300000.0,,,,27700000.0,,6800000,,,,,6800000,,,,0.28,,,,400000.0,,,73200000.0,,,,,,,,,,,,72600000.0,,,,,,,,,,,9700000.0,18000000.0,,,,24285714.0,,,,,,146000000.0,,-47600000.0,,,0.0,,,,,,,,56600000.0,,,,,,56600000.0,,,7300000.0,,,,,,,,,,,,,100300000,,,80900000.0,0.25,,,,,9700000,,,,,,,,,,,,,,,,2900000.0,,33300000.0,,,,,,,,,,,,,9700000,,,,,,,,,,,,,
