date,quarterlyOtherIntangibleAssets,annualOtherIntangibleAssets,annualTotalNonCurrentAssets,quarterlyPurchaseOfBusiness,annualNetPPE,annualOtherIncomeExpense,annualCashCashEquivalentsAndMarketableSecurities,trailingGrossProfit,annualOperatingCashFlow,annualGrossProfit,annualEbitda,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,trailingRepaymentOfDebt,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyPretaxIncome,annualChangeInInventory,trailingChangeInCashSupplementalAsReported,annualGrossPPE,quarterlyCurrentDebt,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,trailingCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,trailingDepreciationAndAmortization,quarterlyCashFlowFromContinuingFinancingActivities,annualOtherNonCurrentLiabilities,trailingOtherNonCashItems,annualBeginningCashPosition,annualPurchaseOfBusiness,trailingOtherIncomeExpense,quarterlyNetOtherFinancingCharges,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,annualOperatingExpense,trailingSellingGeneralAndAdministration,annualIncomeTaxPayable,annualNonCurrentDeferredTaxesLiabilities,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyOperatingCashFlow,trailingInvestingCashFlow,quarterlySaleOfInvestment,trailingDeferredIncomeTax,annualInvestingCashFlow,annualDeferredIncomeTax,quarterlyDilutedEPS,annualCapitalExpenditure,annualAccumulatedDepreciation,annualBasicEPS,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,trailingNetIncomeContinuousOperations,trailingPurchaseOfInvestment,quarterlyCommonStockIssuance,trailingCapitalExpenditure,quarterlyAccountsPayable,trailingCashDividendsPaid,quarterlyChangeInWorkingCapital,trailingOperatingExpense,trailingBeginningCashPosition,quarterlyNonCurrentDeferredRevenue,quarterlyDilutedAverageShares,annualChangesInAccountReceivables,annualNonCurrentDeferredRevenue,annualStockBasedCompensation,quarterlyNetPPE,trailingStockBasedCompensation,annualGoodwill,annualCashFlowFromContinuingFinancingActivities,annualNetOtherFinancingCharges,trailingInterestExpense,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,annualInventory,quarterlyEbitda,trailingChangeInInventory,annualChangeInCashSupplementalAsReported,annualPurchaseOfInvestment,annualRepaymentOfDebt,annualCapitalStock,annualTotalRevenue,trailingChangesInAccountReceivables,trailingChangeInWorkingCapital,annualInterestExpense,quarterlyCurrentAssets,annualCommonStockIssuance,annualFreeCashFlow,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyDepreciationAndAmortization,trailingFreeCashFlow,annualOtherShortTermInvestments,annualAccountsPayable,annualTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,trailingTotalRevenue,trailingCostOfRevenue,quarterlySellingGeneralAndAdministration,annualChangeInWorkingCapital,annualDilutedEPS,trailingNetOtherInvestingChanges,quarterlyOtherShortTermInvestments,annualOtherCurrentAssets,annualOperatingIncome,annualEndCashPosition,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualBasicAverageShares,quarterlyTotalNonCurrentAssets,trailingNetIncome,trailingEndCashPosition,annualNetOtherInvestingChanges,quarterlyTotalRevenue,trailingPretaxIncome,annualCashAndCashEquivalents,trailingTaxProvision,quarterlyPurchaseOfInvestment,annualNetIncomeContinuousOperations,annualCostOfRevenue,annualPretaxIncome,quarterlyFreeCashFlow,annualCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,annualNetIncome,annualCurrentDebt,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,annualInvestmentsAndAdvances,quarterlyTotalAssets,annualCashDividendsPaid,annualOtherNonCurrentAssets,trailingSaleOfInvestment,annualSaleOfInvestment,quarterlyOtherNonCurrentAssets,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualSellingGeneralAndAdministration,annualCurrentAssets,quarterlyOtherNonCurrentLiabilities,annualLongTermDebt,annualStockholdersEquity,annualOtherNonCashItems,annualRepurchaseOfCapitalStock,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyInventory,annualRetainedEarnings,quarterlyInvestingCashFlow,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyAccountsReceivable,annualTotalAssets,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,annualTaxProvision,annualDilutedAverageShares,annualDepreciationAndAmortization,annualNetIncomeCommonStockholders,trailingNetIncomeCommonStockholders,quarterlyGoodwill,annualCurrentLiabilities,annualCurrentAccruedExpenses,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyBasicAverageShares,quarterlyCurrentDeferredRevenue,quarterlyBasicEPS,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyOperatingExpense,quarterlyGrossProfit,trailingRepurchaseOfCapitalStock,trailingBasicAverageShares,quarterlyChangesInAccountReceivables,quarterlyStockBasedCompensation,trailingCommonStockIssuance,annualResearchAndDevelopment,trailingPurchaseOfBusiness,trailingBasicEPS,trailingDilutedEPS,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyDeferredIncomeTax,trailingChangeInAccountPayable,trailingResearchAndDevelopment,trailingDilutedAverageShares
1979-12-31,,279000000.0,11953300000.0,,9227000000.0,839200000.0,2192600000.0,22343000000.0,0.0,5065400000.0,2521400000.0,,,,,-45084000000.0,,,,,1926000000.0,16442500000.0,,,,-1914000000.0,,8423000000.0,,1520100000.0,9000000.0,0.0,,400000000.0,,,,4148400000.0,11165000000.0,,1046200000.0,,,,-12037000000.0,,-518000000.0,0.0,,,,-7215500000.0,1.09,,,,1644000000.0,-14960000000.0,,-7474000000.0,,-2391000000.0,,20680000000.0,18755000000.0,,,,,,,230000000.0,,,,1086000000.0,8072600000.0,-181000000.0,5891900000.0,,-258000000.0,,,,,43513700000.0,-1136000000.0,3465000000.0,246800000.0,,,0.0,,,,,8622000000.0,,,13103900000.0,,3840900000.0,,157978000000.0,135635000000.0,,,-1.44,-5552000000.0,,763100000.0,917000000.0,0.0,,,1072752294.0,,1603000000.0,20900000000.0,,,1779000000.0,2192600000.0,135000000.0,,1169300000.0,38448300000.0,1499400000.0,,,,1169300000.0,1190400000.0,,1663000000.0,,,,2447300000.0,15949000000.0,,,,,2544000000.0,11571300000.0,,1274600000.0,10420700000.0,,,,,,9655400000.0,,,,,23524600000.0,,,330100000.0,1072752294.0,,1169300000.0,1603000000.0,,9263000000.0,,,,,16096000000.0,,,,,,,,-237000000.0,,,,,,,,,,,,,,,
1980-12-31,,279000000.0,12788600000.0,,10025900000.0,730100000.0,2587200000.0,,0.0,2384900000.0,-309000000.0,,,,,,,,,,,18018100000.0,,,,,,,,1580300000.0,,0.0,,,,,,4663200000.0,,,1069000000.0,,,,,,,0.0,,,,-7992200000.0,-1.44,,,,,,,,,,,,,,,,,,,,,,,,8666400000.0,,5129600000.0,,,,,,,37085500000.0,,,432500000.0,,,0.0,,,,,,,,15780100000.0,,4708100000.0,,,,,,-1.44,,,844100000.0,-2278300000.0,0.0,,,1071736111.0,,,,,,,2587200000.0,,,-1543300000.0,34700600000.0,-1978700000.0,,,,-1543300000.0,2405600000.0,,,,,,2483700000.0,,,,,,2693900000.0,11559000000.0,,2058800000.0,8567500000.0,,,,,,7799400000.0,,,,,24347600000.0,,,-435400000.0,1071736111.0,,-1543300000.0,,,11072000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-12-31,,,12844500000.0,,9846400000.0,792400000.0,2100000000.0,,0.0,3620900000.0,923600000.0,,,,,,,,,,,18805800000.0,,,,,,,,2004400000.0,,0.0,,,,,,4876700000.0,,,1004800000.0,,,,,,,0.0,,,,-8959400000.0,-0.99,,,,,,,,,,,,,,,,,,,,,,,,7762600000.0,,4642900000.0,,,,,,,38247100000.0,,,674700000.0,,,0.0,,,,,,,,15659200000.0,,5718900000.0,,,,,,-0.99,,,838200000.0,-1255800000.0,0.0,,,1070808081.0,,,,,,,2100000000.0,,,-1060100000.0,34626200000.0,-1128400000.0,,,,-1060100000.0,2177700000.0,,,,,,2998100000.0,,,,,,2697300000.0,10176900000.0,,2709700000.0,7362200000.0,,,,,,6594900000.0,,,,,23021400000.0,,,-68300000.0,1070808081.0,,-1060100000.0,,,9940300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-12-31,,,13162800000.0,,10136300000.0,821200000.0,1555400000.0,,0.0,4604400000.0,1672800000.0,,,,,,,,,,,19683200000.0,,,,,,,,2052800000.0,,0.0,,,,,,5088000000.0,,,1054100000.0,,,,,,,0.0,,,,-9546900000.0,-0.61,,,,,,,,,,,,,,,,,,,,,,,,8159000000.0,,4123300000.0,,,,,,,37067200000.0,,,745500000.0,,,0.0,,,,,,,,15884200000.0,,5460200000.0,,,,,,-0.61,,,743700000.0,-483600000.0,0.0,,,1078360656.0,,,,,,,1555400000.0,,,-657800000.0,32462800000.0,-401200000.0,,,,-657800000.0,2265000000.0,,,,,,3026500000.0,,,,,,2931600000.0,8798900000.0,,2353300000.0,6077500000.0,,,,,,5937100000.0,,,,,21961700000.0,,,256600000.0,1078360656.0,,-657800000.0,,,10424000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-31,,,13049800000.0,,9801900000.0,929800000.0,3152100000.0,,0.0,7138300000.0,4095800000.0,,,,,,,,,,,19920900000.0,,,,,,,,2191600000.0,,0.0,,,,,,5334600000.0,,,1103200000.0,,,,,,,0.0,,,,-10119000000.0,1.72,,,,,,,,,,,,,,,,,,,,,,,,9373900000.0,,4111700000.0,,,,,,,44454600000.0,,,567200000.0,,,0.0,,,,,,,,16323600000.0,,6007700000.0,,,,,,1.61,,,787700000.0,1803700000.0,0.0,,,1085406977.0,,,,,,,3152100000.0,,,1866900000.0,37316300000.0,2137100000.0,,,,1866900000.0,942000000.0,,,,,,3247900000.0,,,,,,3042500000.0,10819100000.0,,2712900000.0,7545300000.0,,,,,,7713100000.0,,,,,23868900000.0,,,270200000.0,1159565217.0,,1866900000.0,,,10315900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,,,,13008900000.0,,,,,,,,,,,,1100577864.0,,,,,,,,,,,,,13008900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13008900000.0,,,,,,,,,,,,,,,,,,,,,,,897200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100577864.0,,0.81,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,14095600000.0,,,,,,,,,,,,1100577864.0,,,,,,,,,,,,,14095600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14095600000.0,,,,,,,,,,,,,,,,,,,,,,,909100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100577864.0,,0.83,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,11844300000.0,,,,,,,,,,,,1116171704.0,,,,,,,,,,,,,11844300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11844300000.0,,,,,,,,,,,,,,,,,,,,,,,379700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1116171704.0,,0.35,,,,,,,,,,,,,,,,,,,,
1984-12-31,,,14154900000.0,,10549100000.0,1396600000.0,5943200000.0,,0.0,8941000000.0,5730000000.0,5943200000.0,,5943200000.0,,,,,,,,21126700000.0,1348000000.0,-10577600000.0,,,,,,2568400000.0,,0.0,,,,,,5518800000.0,,,1000900000.0,,21126700000.0,,,,,0.0,,,,-10577600000.0,2.63,,-35526600000.0,10619700000.0,,,,,,,,,,,,,,,10549100000.0,,,,,,10619700000.0,,4115200000.0,-35526600000.0,,,,,,52366400000.0,,,536000000.0,13330700000.0,,0.0,,,11967700000.0,,,,,17647900000.0,,5680200000.0,,,,,,2.5,,,746200000.0,3422200000.0,0.0,10250800000.0,5680200000.0,1105247148.0,14154900000.0,,,,13417600000.0,,5943200000.0,,,2906800000.0,43425400000.0,4235700000.0,,,17647900000.0,2906800000.0,1348000000.0,,,,27485600000.0,,3605800000.0,,,3605800000.0,,720800000.0,3211000000.0,13330700000.0,2568400000.0,2110900000.0,9837700000.0,,,746200000.0,,4115200000.0,10250800000.0,,,,,27485600000.0,,,1328900000.0,1162720000.0,,2906800000.0,,,11967700000.0,,9837700000.0,1000900000.0,,,,,,2110900000.0,,,,,,,,,,,,,,,,,,,
1985-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,,,13246200000.0,,,,,,,,,,,,1116171704.0,,,,,,,,,,,,,13246200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13246200000.0,,,,,,,,,,,,,,,,,,,,,,,783300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1116171704.0,,0.69,,,,,,,,,,,,,,,,,,,,
