,quarterlyFreeCashFlow,trailingNetOtherInvestingChanges,annualChangeInWorkingCapital,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingChangeInWorkingCapital,quarterlyRetainedEarnings,annualRetainedEarnings,trailingCommonStockIssuance,trailingFreeCashFlow,quarterlyBasicEPS,trailingNetIncome,quarterlyCurrentAssets,annualGainsLossesNotAffectingRetainedEarnings,annualTotalAssets,quarterlyCurrentLiabilities,trailingPretaxIncome,annualTotalLiabilitiesNetMinorityInterest,quarterlyGoodwill,annualNetOtherInvestingChanges,quarterlySellingGeneralAndAdministration,annualCashDividendsPaid,quarterlyOtherNonCurrentLiabilities,annualOtherCurrentAssets,annualEndCashPosition,annualPretaxIncome,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,annualNonCurrentDeferredRevenue,annualCostOfRevenue,annualCurrentDebt,quarterlyTotalAssets,annualOperatingIncome,trailingTotalRevenue,annualNetIncome,annualLongTermDebt,quarterlyTotalNonCurrentAssets,annualFreeCashFlow,trailingEndCashPosition,annualAccountsPayable,trailingInvestingCashFlow,quarterlyDepreciationAndAmortization,trailingTaxProvision,annualStockholdersEquity,annualOtherNonCashItems,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,trailingRepurchaseOfCapitalStock,annualRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,annualCurrentAccruedExpenses,annualTaxProvision,annualDepreciationAndAmortization,annualCashAndCashEquivalents,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyLongTermDebt,annualCurrentAssets,trailingOperatingCashFlow,annualAccountsReceivable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyInventory,quarterlyChangeInInventory,annualOtherNonCurrentAssets,annualOtherIntangibleAssets,annualCurrentLiabilities,annualBasicEPS,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualNetPPE,quarterlyCashDividendsPaid,annualCommonStockIssuance,annualOperatingCashFlow,quarterlyDilutedAverageShares,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualNetIncomeCommonStockholders,annualRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyCapitalStock,annualEbitda,trailingRepaymentOfDebt,annualOtherNonCurrentLiabilities,annualChangeInCashSupplementalAsReported,quarterlyPretaxIncome,quarterlyDilutedEPS,quarterlyNetOtherInvestingChanges,trailingGrossProfit,annualCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfBusiness,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,annualOtherCurrentLiabilities,annualBeginningCashPosition,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,quarterlyOtherCurrentAssets,trailingOtherIncomeExpense,quarterlyChangesInAccountReceivables,annualDilutedEPS,annualOtherIncomeExpense,quarterlyOtherIntangibleAssets,trailingChangeInCashSupplementalAsReported,annualTotalNonCurrentAssets,annualDilutedAverageShares,quarterlyCurrentDebt,annualGrossPPE,trailingCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,annualSellingGeneralAndAdministration,trailingDepreciationAndAmortization,trailingNetIncomeContinuousOperations,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,annualNetIncomeContinuousOperations,quarterlyCommonStockIssuance,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,annualPurchaseOfBusiness,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyGrossPPE,trailingStockBasedCompensation,annualChangeInInventory,annualCapitalExpenditure,quarterlyBasicAverageShares,annualOperatingExpense,annualNonCurrentDeferredTaxesLiabilities,trailingDeferredIncomeTax,annualCashFlowFromContinuingFinancingActivities,quarterlyTotalRevenue,quarterlyCapitalExpenditure,trailingNetOtherFinancingCharges,annualInvestingCashFlow,quarterlyOperatingCashFlow,annualBasicAverageShares,annualChangesInAccountReceivables,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,trailingCostOfRevenue,annualInterestExpense,trailingBeginningCashPosition,quarterlyOtherNonCashItems,trailingCashDividendsPaid,annualTotalRevenue,annualCapitalStock,trailingOperatingExpense,quarterlyTaxProvision,quarterlyNetPPE,quarterlyRepurchaseOfCapitalStock,annualGrossProfit,annualNetOtherFinancingCharges,quarterlyStockBasedCompensation,annualStockBasedCompensation,annualGoodwill,annualAccumulatedDepreciation,annualDeferredIncomeTax,annualInventory,quarterlyEbitda,trailingInterestExpense,quarterlyPurchaseOfInvestment,annualSaleOfInvestment,trailingSellingGeneralAndAdministration,trailingDilutedAverageShares,annualInvestmentsAndAdvances,annualResearchAndDevelopment,annualPurchaseOfInvestment,trailingBasicEPS,annualIncomeTaxPayable,trailingChangeInAccountPayable,quarterlyResearchAndDevelopment,trailingBasicAverageShares,trailingChangeInInventory,trailingResearchAndDevelopment,annualOtherShortTermInvestments,trailingSaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,trailingOtherNonCashItems,annualCurrentDeferredRevenue,quarterlySaleOfInvestment,trailingPurchaseOfBusiness,trailingDilutedEPS,quarterlyOtherShortTermInvestments
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296956800,,,,,,,22900000.0,,,,,,,,,,,,,,,,4600000.0,,34800000.0,,,,145600000.0,1900000.0,,40100000.0,,21400000.0,45700000.0,,,,,,,,22900000.0,,,,,,,,,,13400000.0,,12000000.0,,,,49000000.0,,,,,,,,,,40100000.0,0.15,,,,,,123800000.0,,,,,,,20500000.0,,,,58300000.0,,,,,,,,12000000.0,,,,38200000.0,,,,,,,,,,0.15,-500000.0,,,,136666667.0,,160400000.0,,,54600000.0,,,,,21400000.0,,,,,,,,,,,,,72800000.0,2800000.0,,,,,,,,136666667.0,,,,,5800000.0,,,,258500000.0,,,,,,112900000.0,,,,,-36600000.0,,3000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328579200,,,,,,,60300000.0,,,,,,,395000000.0,,,223400000.0,,,,,,14100000.0,,60300000.0,,,,240200000.0,4100000.0,,67100000.0,,38700000.0,142500000.0,,,,,,,,171600000.0,,,,,,,,,,21600000.0,,11800000.0,,,,85500000.0,,,,,,,,31800000.0,,58800000.0,0.25,,,,,,277700000.0,,,,,,164600000.0,37400000.0,,,,89100000.0,,12100000.0,,,,,,11800000.0,,,,54700000.0,,,,,,,,,,0.25,2000000.0,,,309500000.0,149600000.0,,336100000.0,,,86100000.0,,,,,38700000.0,,,,,,,,,,,,,108100000.0,10000000.0,,,,,,,,149600000.0,,,,,9600000.0,,,,415400000.0,,,,,,175200000.0,,,,,-58400000.0,,12300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360115200,,,,,,,113400000.0,,,,,,,570100000.0,,,299200000.0,,,,,,20100000.0,,94100000.0,,,,326700000.0,4500000.0,,99700000.0,,54200000.0,162700000.0,,,,,,,,270900000.0,,,,,,,,,,39900000.0,,66100000.0,,,,167000000.0,,,,,,,,29800000.0,,113800000.0,0.36,,,,,,373300000.0,,,,,,185400000.0,52900000.0,,,,138700000.0,,9200000.0,,,,,,66100000.0,,,,109300000.0,,,,,,,,,,0.36,10500000.0,,,403100000.0,146944444.0,,467200000.0,,,124100000.0,,,,,54200000.0,,,,,,,,,,,,,163100000.0,13500000.0,,,,,,,,146944444.0,,,,,12200000.0,,,,589500000.0,,,,,,262800000.0,,,,,-93900000.0,,17400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391651200,,,,,,,190800000.0,,,,,,,730300000.0,,,380000000.0,,,,,,20800000.0,,131100000.0,,,,435700000.0,5400000.0,,119400000.0,,78400000.0,223900000.0,,,,,,,,350300000.0,,,,,,,,,,52700000.0,,60900000.0,,,,194300000.0,,,,,,,,78400000.0,,114600000.0,0.47,,,,,,457600000.0,,,,,,265400000.0,77400000.0,,,,175800000.0,,7600000.0,,,,,,60900000.0,,,,109200000.0,,,,,,,,,,0.47,24700000.0,,,536000000.0,164680851.0,,603600000.0,,,192400000.0,,,,,78400000.0,,,,,,,,,,,,,248800000.0,33900000.0,,,,,,,,164680851.0,,,,,13100000.0,,,,803900000.0,,,,,,368200000.0,,,,,-146000000.0,,15200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423187200,,,,,,,278800000.0,,,,,,,991700000.0,,,487900000.0,,,,,,18800000.0,,150200000.0,,,,130400000.0,28100000.0,,150700000.0,,88900000.0,247400000.0,,,,,,,,503800000.0,,,,,,,,,,61300000.0,,105400000.0,,,,265200000.0,,,,,,,,130100000.0,,175300000.0,0.51,,,,,,596400000.0,,,,,,312600000.0,88000000.0,,,,228100000.0,,6100000.0,,,,,,105400000.0,,,,147200000.0,,,,,,,,,,0.51,17100000.0,,,726500000.0,172549020.0,,817700000.0,,,649600000.0,,,,,88900000.0,,,,,,,,,,,,,727000000.0,59100000.0,,,,,,,,172549020.0,,,,,17600000.0,,,,1008100000.0,,,,,,877700000.0,,,,,-221300000.0,,16200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446860800,,,,,,,,,,0.15,,,,,,,,,,,,,,,,28100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28100000.0,28100000.0,,,,,,,,,,,,,,,,,,,,,,,187333333.0,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375100000.0,,,,,,,,,,,,,187333333.0,,,,,375100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,375100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454809600,,,,552200000.0,,391300000.0,391300000.0,,,,,328100000.0,,1525800000.0,255900000.0,,808100000.0,,,,,4600000.0,43400000.0,,152200000.0,28000000.0,,,183300000.0,22000000.0,1525800000.0,165200000.0,,115400000.0,435200000.0,1197700000.0,,,,,,,717700000.0,,85100000.0,808100000.0,,,,,,,36800000.0,,37700000.0,28700000.0,28700000.0,435200000.0,328100000.0,,,112400000.0,,,39700000.0,,85100000.0,,255900000.0,0.63,,,,,,1112600000.0,,,,,,552200000.0,114700000.0,,,,277200000.0,,4600000.0,,,,,,37700000.0,,,717700000.0,233900000.0,,-314600000.0,,37700000.0,37700000.0,,43400000.0,,,0.63,11600000.0,,,1197700000.0,182063492.0,22000000.0,1427200000.0,,,975800000.0,,,,-857900000.0,115400000.0,,,,,,,,1427200000.0,,,,,1087800000.0,112400000.0,,,413200000.0,,,,,182063492.0,,233900000.0,,,24500000.0,,,,1436300000.0,,,,1112600000.0,,1253000000.0,,,,,-314600000.0,,39700000.0,-857900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462758400,,,,,,,,,,0.05,,,,,,,,,,,,,,,,8300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8300000.0,8300000.0,,,,,,,,,,,,,,,,,,,,,,,166000000.0,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439100000.0,,,,,,,,,,,,,166000000.0,,,,,439100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,439100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470620800,,,,,,,,,,0.06,,,,,,,,,,,,,,,,10200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10200000.0,10200000.0,,,,,,,,,,,,,,,,,,,,,,,170000000.0,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485200000.0,,,,,,,,,,,,,170000000.0,,,,,485200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,485200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
