date,annualChangeInCashSupplementalAsReported,quarterlyNetOtherInvestingChanges,annualDilutedEPS,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualGrossPPE,trailingNetIncomeCommonStockholders,trailingChangeInCashSupplementalAsReported,annualBeginningCashPosition,annualInterestExpense,quarterlyChangeInInventory,annualOtherNonCurrentLiabilities,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,annualBasicEPS,annualSellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyOperatingExpense,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingDeferredIncomeTax,trailingCapitalExpenditure,annualCapitalExpenditure,annualOtherIncomeExpense,quarterlyCapitalStock,annualTotalNonCurrentAssets,quarterlyCurrentDeferredRevenue,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyBeginningCashPosition,annualBasicAverageShares,quarterlyStockholdersEquity,annualCashFlowFromContinuingFinancingActivities,quarterlyOtherCurrentAssets,trailingInterestExpense,annualChangeInInventory,annualNetOtherFinancingCharges,annualStockBasedCompensation,quarterlyStockBasedCompensation,trailingChangeInInventory,quarterlyNetPPE,annualInventory,quarterlyTaxProvision,trailingNetOtherFinancingCharges,trailingTaxProvision,quarterlyEbitda,annualNetIncomeContinuousOperations,quarterlyAccumulatedDepreciation,annualOtherNonCashItems,annualCurrentDeferredRevenue,annualCapitalStock,trailingDepreciationAndAmortization,trailingOtherNonCashItems,quarterlyBasicEPS,quarterlyCurrentAssets,quarterlyPretaxIncome,quarterlyGrossPPE,trailingFreeCashFlow,annualAccumulatedDepreciation,quarterlyRetainedEarnings,annualDeferredIncomeTax,trailingOperatingExpense,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,annualDilutedAverageShares,trailingSellingGeneralAndAdministration,annualOperatingExpense,annualChangeInWorkingCapital,trailingNetIncomeContinuousOperations,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,annualChangesInAccountReceivables,quarterlyBasicAverageShares,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,trailingNetIncome,quarterlyCurrentLiabilities,annualNonCurrentDeferredTaxesLiabilities,quarterlyTotalNonCurrentAssets,annualRetainedEarnings,quarterlyAccountsReceivable,quarterlyGoodwill,annualNetOtherInvestingChanges,trailingNetOtherInvestingChanges,quarterlyFreeCashFlow,quarterlyLongTermDebt,annualAccountsReceivable,quarterlyChangeInCashSupplementalAsReported,annualCashDividendsPaid,quarterlyOtherNonCurrentLiabilities,trailingChangeInWorkingCapital,annualNetIncome,quarterlyDepreciationAndAmortization,quarterlyTotalAssets,annualGoodwill,quarterlyCurrentAccruedExpenses,annualFreeCashFlow,annualPretaxIncome,quarterlyNetIncome,annualInvestingCashFlow,annualOperatingIncome,quarterlyNetIncomeContinuousOperations,trailingInvestingCashFlow,annualTotalRevenue,annualOtherCurrentAssets,trailingChangeInAccountPayable,annualPurchaseOfInvestment,quarterlySellingGeneralAndAdministration,trailingTotalRevenue,annualStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingPurchaseOfInvestment,annualLongTermDebt,annualTaxProvision,annualEndCashPosition,annualDepreciationAndAmortization,trailingStockBasedCompensation,annualTotalAssets,quarterlyEndCashPosition,annualCurrentAccruedExpenses,quarterlyOtherIncomeExpense,annualCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyInventory,trailingCashFlowFromContinuingFinancingActivities,quarterlyDilutedEPS,annualCashAndCashEquivalents,trailingOperatingCashFlow,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyInterestExpense,trailingOtherIncomeExpense,annualInvestmentsAndAdvances,quarterlyNetIncomeCommonStockholders,annualIncomeTaxPayable,trailingOperatingIncome,quarterlyChangeInAccountPayable,trailingEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,annualOtherNonCurrentAssets,annualOtherIntangibleAssets,annualOperatingCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,quarterlyOtherNonCurrentAssets,annualGainsLossesNotAffectingRetainedEarnings,annualNetPPE,annualEbitda,annualCurrentAssets,trailingPretaxIncome,annualCashCashEquivalentsAndMarketableSecurities,trailingPurchaseOfBusiness,annualGrossProfit,quarterlyAccountsPayable,trailingGrossProfit,quarterlyRepaymentOfDebt,quarterlyRepurchaseOfCapitalStock,annualResearchAndDevelopment,trailingCashDividendsPaid,quarterlyNonCurrentDeferredRevenue,annualRepaymentOfDebt,annualPurchaseOfBusiness,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,annualSaleOfInvestment,quarterlyCurrentDebt,annualNonCurrentDeferredRevenue,annualRepurchaseOfCapitalStock,trailingRepaymentOfDebt,trailingBasicAverageShares,quarterlyGrossProfit,annualCostOfRevenue,trailingSaleOfInvestment,trailingRepurchaseOfCapitalStock,quarterlySaleOfInvestment,trailingBasicEPS,annualOtherShortTermInvestments,trailingCostOfRevenue,trailingChangesInAccountReceivables,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,trailingDilutedEPS,annualCurrentDebt,trailingDilutedAverageShares,annualCommonStockIssuance,quarterlyPurchaseOfBusiness,trailingResearchAndDevelopment,trailingCommonStockIssuance,annualAccountsPayable
2016-06-30,16000000.0,,1.729032,1072000000.0,,,1490000000.0,584000000.0,21000000.0,18000000.0,,,,,1.729032,1191000000.0,,,,479000000.0,-232000000.0,-107000000.0,-113000000.0,,,,,,,,620000000.0,,-913000000.0,,277000000.0,-252000000.0,-877000000.0,,,41000000.0,,,,-1487000000.0,552000000.0,,1107000000.0,,155000000.0,,,219000000.0,208000000.0,,,,,2247000000.0,,,139000000.0,8995000000.0,,,620000000.0,1472000000.0,6920000000.0,-536000000.0,1541000000.0,,,,,-218000000.0,,,,2756000000.0,,,,1490000000.0,,,,,,,-61000000.0,0.0,,,,,-36000000.0,,-68000000.0,1072000000.0,,,,,990000000.0,1843000000.0,,-168000000.0,1974000000.0,,-470000000.0,8894000000.0,,36000000.0,,,11515000000.0,,,-238000000.0,,736000000.0,37000000.0,170000000.0,63000000.0,,,,,,,,-1425000000.0,,,2479000000.0,,,,-208000000.0,,,,2520000000.0,,3340000000.0,,,,,1097000000.0,,,-66000000.0,,,,2031000000.0,,2093000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,-18000000.0,,2.212903,1372000000.0,219000000.0,2693000000.0,,,37000000.0,23000000.0,,233000000.0,,,2.212903,1117000000.0,,,,,,-191000000.0,-271000000.0,,7541000000.0,,,,,,620000000.0,,-1431000000.0,,,21000000.0,-1396000000.0,0.0,,,,1052000000.0,,,,,1409000000.0,,296000000.0,128000000.0,6152000000.0,,,,,,,,-1570000000.0,,92000000.0,,,,620000000.0,,7386000000.0,-368000000.0,,,,,,-172000000.0,,,,,4255000000.0,,,,,1554000000.0,,,,,-38000000.0,,,,1693000000.0,,-35000000.0,,,1372000000.0,,,2750000000.0,,1464000000.0,2241000000.0,,-242000000.0,2535000000.0,,,9921000000.0,43000000.0,,-13000000.0,,,6093000000.0,,,,832000000.0,19000000.0,169000000.0,,10348000000.0,,495000000.0,,2042000000.0,,,,,19000000.0,,,,,,54000000.0,,722000000.0,,,,,,493000000.0,3121000000.0,1655000000.0,,2213000000.0,-217000000.0,,-59000000.0,1123000000.0,2433000000.0,2807000000.0,,19000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-30,,-2000000.0,,,,,,,,,-100000000.0,,,-65000000.0,,,620000000.0,1568000000.0,,,,,,,,,,,,19000000.0,,,,,,,,,,,,,211000000.0,,,659000000.0,,,,,,,,0.629032,,611000000.0,,,,,,,265000000.0,2000000.0,,,,,,620000000.0,,-594000000.0,-29000000.0,,620000000.0,-239000000.0,49000000.0,,,2188000000.0,,,,,,,,,,,236000000.0,,,-6000000.0,,,,,41000000.0,,,,,,390000000.0,,,400000000.0,,,,,,263000000.0,,,,,,,,,,,13000000.0,,-2000000.0,,0.0,,,0.629032,,,-584000000.0,,7000000.0,,,390000000.0,,,-74000000.0,,323000000.0,-10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,,-1000000.0,,,,,,,,,-143000000.0,,,-509000000.0,,,620000000.0,2747000000.0,,,,,,,,,,,,13000000.0,,,,,,,,,,,,,-570000000.0,,,360000000.0,,,,,,,,1.401613,,312000000.0,,,,,,,-300000000.0,93000000.0,,,,,,361000000.0,,427000000.0,-83000000.0,,620000000.0,-708000000.0,-629000000.0,,,3108000000.0,,,,,,,,,,,-383000000.0,,,43000000.0,,,,,42000000.0,,,,,,869000000.0,,,882000000.0,,,,,,359000000.0,,,,,,,,,,,56000000.0,,-43000000.0,,0.0,,,1.401613,,,454000000.0,,6000000.0,,,869000000.0,,,-56000000.0,,-84000000.0,-27000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,,-6000000.0,,,,,,,,,-57000000.0,,,456000000.0,,,620000000.0,1812000000.0,,,,,,,,,,,,56000000.0,,,,,,,,,,,,,188000000.0,,,704000000.0,,,,,,,,0.737097,,654000000.0,,,,,,,820000000.0,-9000000.0,,,,,,651000000.0,,947000000.0,-36000000.0,,620000000.0,292000000.0,17000000.0,,,2463000000.0,,,,,,,,,,,784000000.0,,,1725000000.0,,,,,43000000.0,,,,,,457000000.0,,,466000000.0,,,,,,325000000.0,,,,,,,,,,,1781000000.0,,10000000.0,,0.0,,,0.737097,,,975000000.0,,7000000.0,,,457000000.0,,,-107000000.0,,-42000000.0,-28000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,2481000000.0,-2000000.0,3.22,1995000000.0,149000000.0,2827000000.0,,,19000000.0,43000000.0,72000000.0,178000000.0,2866000000.0,-48000000.0,3.22,1262000000.0,,1811000000.0,81000000.0,,,-215000000.0,-2000000.0,,7541000000.0,147000000.0,2500000000.0,2500000000.0,1071000000.0,1781000000.0,620000000.0,9594000000.0,1036000000.0,67000000.0,,-228000000.0,1113000000.0,,,,1169000000.0,1180000000.0,113000000.0,,,661000000.0,2228000000.0,-1658000000.0,55000000.0,147000000.0,9513000000.0,,,,5580000000.0,593000000.0,2827000000.0,,-1658000000.0,,-603000000.0,,532000000.0,-31000000.0,620000000.0,,7938000000.0,-587000000.0,,583000000.0,149000000.0,256000000.0,-67000000.0,-166000000.0,,68000000.0,-40000000.0,,3527000000.0,2394000000.0,553000000.0,,1759000000.0,1071000000.0,7541000000.0,,1833000000.0,2747000000.0,-11000000.0,,465000000.0,,1833000000.0,719000000.0,-77000000.0,178000000.0,,2187000000.0,45000000.0,13121000000.0,2747000000.0,530000000.0,1102000000.0,2170000000.0,471000000.0,128000000.0,2215000000.0,480000000.0,,10153000000.0,67000000.0,,,315000000.0,,9594000000.0,1768000000.0,,,-58000000.0,2500000000.0,171000000.0,,13121000000.0,2500000000.0,530000000.0,33000000.0,1759000000.0,,1180000000.0,,,2500000000.0,,268000000.0,275000000.0,23000000.0,,275000000.0,279000000.0,553000000.0,,44000000.0,,-69000000.0,-12000000.0,484000000.0,2866000000.0,1317000000.0,3527000000.0,1768000000.0,-193000000.0,484000000.0,81000000.0,1169000000.0,2384000000.0,5580000000.0,,2500000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-30,,-65000000.0,,,,,,,,,-202000000.0,,2862000000.0,-100000000.0,,,620000000.0,1833000000.0,-61000000.0,,,,,11106000000.0,,134000000.0,2756000000.0,2756000000.0,1146000000.0,2500000000.0,,11045000000.0,,67000000.0,,,,,,,1164000000.0,,216000000.0,,,890000000.0,,,,,,,,0.93,6155000000.0,831000000.0,,,,,,,247000000.0,-139000000.0,,,,,,708000000.0,128000000.0,216000000.0,-42000000.0,,620000000.0,-354000000.0,72000000.0,,,2541000000.0,122000000.0,,1328000000.0,,7923000000.0,,1912000000.0,2747000000.0,,,205000000.0,,,256000000.0,,225000000.0,,,43000000.0,14078000000.0,,529000000.0,,,604000000.0,,,615000000.0,,,,,,299000000.0,,,1696000000.0,,,,,,,,2756000000.0,,139000000.0,,-100000000.0,1420000000.0,,0.93,,,229000000.0,558000000.0,16000000.0,,,578000000.0,,,-52000000.0,,-207000000.0,-13000000.0,,,,3024000000.0,,,592000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,,2000000.0,,,,,,,,,34000000.0,,2859000000.0,-487000000.0,,,620595275.0,3198000000.0,-202000000.0,,,,,10596000000.0,,129000000.0,1951000000.0,1951000000.0,1106000000.0,2756000000.0,,10394000000.0,,66000000.0,,,,,,,1150000000.0,,7000000.0,,,97000000.0,,,,,,,,0.012891,5877000000.0,31000000.0,,,,,,,-211000000.0,339000000.0,,,,,,385000000.0,114000000.0,-550000000.0,-46000000.0,,620595275.0,-619000000.0,-15000000.0,,,3583000000.0,127000000.0,,1241000000.0,,7589000000.0,,2438000000.0,2747000000.0,,,-257000000.0,,,-805000000.0,,230000000.0,,,51000000.0,13466000000.0,,428000000.0,,,8000000.0,,,24000000.0,,,,,,329000000.0,,,1819000000.0,,,,,,,,1951000000.0,,-339000000.0,,0.0,1422000000.0,,0.012891,,,-541000000.0,289000000.0,15000000.0,,,8000000.0,,,-166000000.0,,-44000000.0,-9000000.0,,,,3060000000.0,,,544000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-31,,-1000000.0,,,,,,,,,305000000.0,,2855000000.0,391000000.0,,,621000000.0,2054000000.0,-214000000.0,,,,,7000000.0,,103000000.0,2818000000.0,2818000000.0,0.0,1951000000.0,,8600000000.0,,123000000.0,,,,,,,1286000000.0,,167000000.0,,,845000000.0,,,,,,,,0.85,5964000000.0,706000000.0,,,,101000000.0,,,1588000000.0,-70000000.0,,,,,,698000000.0,192000000.0,-661000000.0,-59000000.0,,621000000.0,781000000.0,265000000.0,,,2752000000.0,0.0,,1297000000.0,,11693000000.0,,1949000000.0,2691000000.0,,,1529000000.0,6750000000.0,,867000000.0,,863000000.0,,,58000000.0,17657000000.0,,598000000.0,,,529000000.0,,,539000000.0,,,,,,336000000.0,,,7749000000.0,,,,,,,,2818000000.0,,70000000.0,,0.0,1074000000.0,,0.85,,,-921000000.0,714000000.0,81000000.0,,,529000000.0,,,85000000.0,,-60000000.0,-6490000000.0,,,,9046000000.0,,,1176000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,734000000.0,0.0,2.57,1595000000.0,188000000.0,3080000000.0,,,2500000000.0,203000000.0,60000000.0,899000000.0,2851000000.0,,2.57,1419000000.0,624000000.0,1873000000.0,-308000000.0,,,-235000000.0,-45000000.0,7000000.0,13031000000.0,169000000.0,3234000000.0,3234000000.0,0.0,2818000000.0,621000000.0,9947000000.0,-1153000000.0,148000000.0,,197000000.0,-1215000000.0,36000000.0,31000000.0,,1313000000.0,1129000000.0,191000000.0,,,807000000.0,1643000000.0,-1767000000.0,45000000.0,169000000.0,7000000.0,,,0.73,6478000000.0,656000000.0,3080000000.0,,-1767000000.0,357000000.0,386000000.0,,900000000.0,-85000000.0,621000000.0,,8958000000.0,164000000.0,,640000000.0,188000000.0,-158000000.0,-88000000.0,,624000000.0,356000000.0,64000000.0,,9551000000.0,2513000000.0,6000000.0,,1712000000.0,0.0,13031000000.0,357000000.0,1967000000.0,2691000000.0,-64000000.0,,812000000.0,6751000000.0,1967000000.0,416000000.0,-6688000000.0,899000000.0,,1595000000.0,60000000.0,19509000000.0,2691000000.0,835000000.0,2289000000.0,2224000000.0,454000000.0,-637000000.0,2431000000.0,465000000.0,,11389000000.0,148000000.0,,-338000000.0,455000000.0,,9947000000.0,7839000000.0,,6751000000.0,581000000.0,3234000000.0,212000000.0,,19509000000.0,3234000000.0,835000000.0,85000000.0,1712000000.0,-238000000.0,1129000000.0,,0.73,3234000000.0,,18000000.0,865000000.0,91000000.0,,865000000.0,454000000.0,6000000.0,,266000000.0,,-326000000.0,-176000000.0,1525000000.0,2851000000.0,2524000000.0,9551000000.0,7839000000.0,133000000.0,1525000000.0,-308000000.0,1313000000.0,2639000000.0,6478000000.0,,3234000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
