,annualInterestExpense,annualChangesInAccountReceivables,trailingBeginningCashPosition,trailingCapitalExpenditure,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,trailingOperatingExpense,annualCurrentAssets,annualBeginningCashPosition,quarterlyRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,annualSellingGeneralAndAdministration,trailingRepurchaseOfCapitalStock,annualGrossPPE,annualAccumulatedDepreciation,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,quarterlySaleOfInvestment,annualRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyChangeInAccountPayable,trailingNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyAccountsPayable,trailingRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangeInCashSupplementalAsReported,annualCurrentAccruedExpenses,trailingGrossProfit,annualCapitalExpenditure,trailingDeferredIncomeTax,annualTaxProvision,trailingInterestExpense,annualOtherCurrentLiabilities,quarterlyDilutedEPS,quarterlyNetOtherInvestingChanges,annualCurrentDeferredRevenue,trailingCostOfRevenue,quarterlyRepaymentOfDebt,annualCurrentDebt,quarterlyAccumulatedDepreciation,quarterlyOtherNonCashItems,annualTotalRevenue,quarterlyTaxProvision,annualOtherCurrentAssets,quarterlyNetPPE,annualCapitalStock,annualCostOfRevenue,quarterlyEbitda,annualGrossProfit,quarterlyStockBasedCompensation,quarterlyBasicEPS,annualNetOtherFinancingCharges,trailingChangeInInventory,annualFreeCashFlow,annualTotalNonCurrentAssets,annualStockBasedCompensation,annualDilutedAverageShares,trailingDepreciationAndAmortization,annualInventory,trailingTaxProvision,trailingOtherNonCashItems,annualChangeInWorkingCapital,quarterlyCapitalExpenditure,annualNetIncomeContinuousOperations,quarterlyCashFlowFromContinuingFinancingActivities,trailingPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyCommonStockIssuance,quarterlyBasicAverageShares,quarterlyRetainedEarnings,annualPurchaseOfBusiness,trailingNetIncomeContinuousOperations,quarterlyGrossPPE,trailingFreeCashFlow,annualChangeInInventory,quarterlyCurrentAssets,quarterlyPretaxIncome,trailingSellingGeneralAndAdministration,quarterlyCurrentLiabilities,trailingNetIncome,annualOperatingExpense,quarterlyPurchaseOfBusiness,annualNonCurrentDeferredTaxesLiabilities,annualTotalLiabilitiesNetMinorityInterest,quarterlyOperatingCashFlow,quarterlyOperatingIncome,quarterlyTotalRevenue,annualBasicAverageShares,annualLongTermDebt,annualPretaxIncome,quarterlyLongTermDebt,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,annualNetIncome,quarterlyOtherCurrentLiabilities,annualAccountsReceivable,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyCostOfRevenue,annualGoodwill,trailingInvestingCashFlow,quarterlyTotalAssets,annualSaleOfInvestment,quarterlyCurrentAccruedExpenses,annualStockholdersEquity,annualOtherNonCashItems,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingChangeInWorkingCapital,annualDilutedEPS,quarterlyNetIncome,annualInvestingCashFlow,trailingStockBasedCompensation,annualRetainedEarnings,annualCashFlowFromContinuingFinancingActivities,annualTotalAssets,quarterlyNetIncomeContinuousOperations,annualDepreciationAndAmortization,quarterlyGoodwill,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,trailingTotalRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingChangeInAccountPayable,annualEndCashPosition,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,annualOperatingCashFlow,quarterlyCurrentDeferredRevenue,quarterlyCashAndCashEquivalents,trailingOtherIncomeExpense,annualOperatingIncome,trailingOperatingCashFlow,quarterlyInventory,quarterlyOtherIncomeExpense,annualCurrentLiabilities,annualNetPPE,annualOtherIncomeExpense,quarterlyOperatingExpense,annualCommonStockIssuance,annualAccountsPayable,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyCurrentDebt,trailingEndCashPosition,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInterestExpense,trailingCashFlowFromContinuingFinancingActivities,annualOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,annualEbitda,quarterlyOtherNonCurrentAssets,quarterlyDilutedAverageShares,quarterlyTotalLiabilitiesNetMinorityInterest,annualOtherNonCurrentLiabilities,quarterlyFreeCashFlow,annualRepurchaseOfCapitalStock,annualBasicEPS,annualGainsLossesNotAffectingRetainedEarnings,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualCashCashEquivalentsAndMarketableSecurities,trailingPretaxIncome,annualResearchAndDevelopment,trailingBasicAverageShares,quarterlyNonCurrentDeferredRevenue,annualInvestmentsAndAdvances,quarterlyOtherShortTermInvestments,trailingCashDividendsPaid,trailingChangesInAccountReceivables,quarterlyInvestmentsAndAdvances,annualCashDividendsPaid,trailingDilutedEPS,quarterlyPurchaseOfInvestment,trailingNetOtherInvestingChanges,trailingNetOtherFinancingCharges,trailingBasicEPS,trailingResearchAndDevelopment,annualPurchaseOfInvestment,quarterlyIncomeTaxPayable,trailingCommonStockIssuance,quarterlyCashDividendsPaid,annualOtherShortTermInvestments,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable,trailingSaleOfInvestment,trailingPurchaseOfInvestment,quarterlyResearchAndDevelopment,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1419984000,164376000.0,-69981000.0,,,,,,,218664000.0,,,,,476000000.0,,,,-135023000.0,-25140000.0,,-406397000.0,,,,,,,,,,-34507000.0,,,-73546000.0,,22996000.0,,,,,,,,,,,2570005000.0,,,,,1633224000.0,,936781000.0,,,-1280000.0,,68259000.0,,,189732248.0,,,,,-92849000.0,,-135925000.0,,,,,,,,-82319000.0,,,,-51008000.0,,,,,,605640000.0,,,,,,,189732248.0,,-112929000.0,,,,-135023000.0,,,,,,,,,,,,47085000.0,,,-0.71165,,-155406000.0,,,-3698000.0,,,113265000.0,,,,,,,184157000.0,,,141805000.0,,,,331141000.0,,,,,,-279694000.0,,15888000.0,,,,,,,,12193000.0,,,,,,164712000.0,,,,,,-3210000.0,-0.71165,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451520000,162900000.0,83900000.0,,,,,,1157358000.0,184200000.0,,119301000.0,,,427000000.0,,445166000.0,-104401000.0,-351200000.0,-63500000.0,,-80800000.0,,,,,,,,,,44100000.0,159885000.0,,-71000000.0,,-14700000.0,,0.0,,,58005000.0,,,25388000.0,,,2126900000.0,,50836000.0,,1502000.0,1347800000.0,,779100000.0,,,-3900000.0,,101100000.0,3304688000.0,0.0,189732248.0,,474950000.0,,,8600000.0,,-352000000.0,,,,,,,,-26200000.0,,,,-27800000.0,,,,,,557300000.0,,578958000.0,4056511000.0,,,,189732248.0,2769459000.0,-366700000.0,,,,-351200000.0,,403250000.0,,,,1191005000.0,,,0.0,,390233000.0,47600000.0,,,-1.85103,,-84000000.0,,-559613000.0,-35000000.0,4462046000.0,,115400000.0,,,,,,,228300000.0,,,172100000.0,,,,221800000.0,,,,431279000.0,340765000.0,-425600000.0,,4200000.0,156868000.0,,,,,,,-46800000.0,3625232000.0,,,1644179000.0,,-88400000.0,,,,162750000.0,,-2100000.0,-1.85103,-265510000.0,228322000.0,0.0,228322000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1459382400,,,,,,-18603000.0,,,,-10486000.0,,27850000.0,,,,,,,,,,228322000.0,,,6990000.0,,158807000.0,,,,,,,,,,,,-0.050703,0.0,,,-7392000.0,,,11633000.0,,-13226000.0,,,,,49530000.0,,,-0.050703,,,,,,,,,,,,-10683000.0,,-17491000.0,,5628000.0,-9069000.0,,189732248.0,,,,,,,,-23121000.0,,,,,0.0,,,30742000.0,23853000.0,437050000.0,,,,,4998000.0,,,,,,,278243000.0,,,,,,,,,,,-9620000.0,,,,,,-9895000.0,,,,103077000.0,,,,,-9620000.0,,,,,,,,,-3933000.0,,,,134954000.0,,,233320000.0,-10519000.0,,29610000.0,,,,,43041000.0,,,-605000.0,,,189732248.0,,,20059000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467244800,,,,,,1603000.0,,,,-114000.0,,-11250000.0,,,,,,,,,,233320000.0,,,-2690000.0,,171500000.0,,,,,,,,,,,,-0.020555,0.0,,,-6508000.0,,,12267000.0,,-10900000.0,,,,,58200000.0,,,-0.020555,,,,,,,,,,,,-15317000.0,,-5009000.0,,6972000.0,-2931000.0,,189732248.0,,,,,,,,-15000000.0,,,,,0.0,,,38258000.0,32400000.0,462000000.0,,,,,13102000.0,,,,,,,290500000.0,,,,,,,,,,,-3900000.0,,,,,,-4100000.0,,,,106400000.0,,,,,-3900000.0,,,,,,,,,-4700000.0,,,,139100000.0,,,246400000.0,-15281000.0,,30490000.0,,,,,42700000.0,,,-1295000.0,,,189732248.0,,,22941000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1475193600,,,,,,13200000.0,,,,-2000000.0,,1500000.0,,,,,,,,,,246400000.0,,,17000000.0,,164200000.0,,,,,,,,,,,,-0.067991,0.0,,,-6200000.0,,,12200000.0,,-9100000.0,,,,,51600000.0,,0.0,-0.067991,,,,,,,,,,,,-20300000.0,,-8300000.0,,39600000.0,-33800000.0,0.0,189732248.0,,,,,,,,-22100000.0,,,,,-18800000.0,,,37800000.0,20200000.0,462600000.0,,,,,-4200000.0,,,,,,,298400000.0,,,,,,,,,,,-12900000.0,,,,,,-13000000.0,,,,100900000.0,,,,,-12900000.0,,,,,,,,,700000.0,,,,144000000.0,,,242200000.0,-34000000.0,,30700000.0,,,,,43000000.0,,,-100000.0,,,189732248.0,,,17500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1483142400,170338000.0,-48802000.0,,,47183000.0,27255000.0,,1188513000.0,228322000.0,-1509000.0,143094000.0,-66902000.0,,414339000.0,,504470000.0,-146079000.0,-36620000.0,-84359000.0,,-26482000.0,242200000.0,1505000.0,265908000.0,36799000.0,,222231000.0,214856000.0,,-342364000.0,27481000.0,158174000.0,,-74416000.0,,-31860000.0,,0.0,,0.0,42999000.0,,-6382000.0,24465000.0,-146079000.0,12447000.0,1939436000.0,1440000.0,47183000.0,358391000.0,1505000.0,1222705000.0,72166000.0,716731000.0,,,-6661000.0,,91228000.0,3127435000.0,,189732248.0,,443949000.0,,,91269000.0,-28116000.0,-31290000.0,-12202000.0,,39069000.0,-38559000.0,358000.0,,-596233000.0,-18780000.0,,504470000.0,,23455000.0,1188513000.0,-2850000.0,,497849000.0,,560104000.0,20000.0,487632000.0,4044190000.0,58844000.0,89327000.0,577836000.0,189732248.0,2753794000.0,-63150000.0,2753794000.0,13581000.0,182205000.0,-36620000.0,0.0,441578000.0,441578000.0,3127435000.0,355605000.0,1154652000.0,,4315948000.0,,158174000.0,265908000.0,48547000.0,3546341000.0,,-0.193,-10220000.0,-82076000.0,,-596233000.0,-43002000.0,4315948000.0,-4290000.0,124178000.0,1154652000.0,487632000.0,104039000.0,,255803000.0,,255803000.0,-10220000.0,,165644000.0,42999000.0,255803000.0,,156627000.0,,443949000.0,-50539000.0,497849000.0,358391000.0,-49439000.0,132904000.0,3258000.0,214856000.0,255803000.0,-22276000.0,1469922000.0,33378000.0,24465000.0,,58099000.0,3546341000.0,41638000.0,,1469922000.0,-4661000.0,231366000.0,143094000.0,,4044190000.0,182205000.0,30728000.0,-14109000.0,-0.193,-342364000.0,255803000.0,0.0,255803000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490918400,,,,,58222000.0,-15380000.0,,,,-2545000.0,,11076000.0,,,,,,,,,,255803000.0,1505000.0,283678000.0,3159000.0,,174550000.0,217639000.0,,-317360000.0,,,,,,,,,-0.037,0.0,,,-6069000.0,,-157448000.0,12087000.0,,-1619000.0,,354200000.0,,,64853000.0,,,-0.037,,,,,,,,,,,,-16390000.0,,-13323000.0,,-32800000.0,-6155000.0,,189732248.0,-603248000.0,,,511648000.0,,,1182760000.0,-8586000.0,,483308000.0,,,-292000.0,,,-2586000.0,38974000.0,481667000.0,,,,2757003000.0,-30226000.0,182813000.0,,0.0,,435818000.0,3129807000.0,307117000.0,,,4312567000.0,,131275000.0,,,3545581000.0,,,-7015000.0,,,,,,-6967000.0,,1167454000.0,482122000.0,102413000.0,,225577000.0,,,-7015000.0,,,56618000.0,225577000.0,,,,463143000.0,-1697000.0,,,,135576000.0,,,225577000.0,-16551000.0,1457196000.0,27576000.0,24550000.0,,,,45863000.0,,,-4709000.0,,150203000.0,189732248.0,4028889000.0,,-18976000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498780800,,,,,59800000.0,-6020000.0,,,,-55000.0,,-27076000.0,,,,,,,,,,225577000.0,2000000.0,1209000000.0,18641000.0,,215900000.0,246400000.0,,-281700000.0,,,,,,,,,-0.83,0.0,,,-883031000.0,,-172900000.0,13313000.0,,-43900000.0,,356200000.0,,,-120200000.0,,,-0.83,,,,,,,,,,,,-10410000.0,,14123000.0,,-31200000.0,-53945000.0,,176265060.0,-749500000.0,,,529100000.0,,,1266500000.0,-190200000.0,,500700000.0,,,-18508000.0,,,22586000.0,-101600000.0,579100000.0,,,,1976600000.0,20126000.0,186900000.0,,0.0,,475200000.0,3156400000.0,363200000.0,,,4422900000.0,,248400000.0,,,2713200000.0,,,-146300000.0,,,,,,-146300000.0,,1200100000.0,420200000.0,125600000.0,,245700000.0,,,-146300000.0,,,59100000.0,245700000.0,,,,485800000.0,-49100000.0,,,,317500000.0,,,245700000.0,-24049000.0,1459800000.0,30524000.0,5900000.0,,,,39500000.0,,,-91000.0,,139400000.0,176265060.0,3213900000.0,,12176000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506729600,,,,,61200000.0,-15000000.0,,,,0.0,,-49900000.0,,,,,,,,,,245700000.0,2000000.0,1271800000.0,18000000.0,,253900000.0,263600000.0,,-251700000.0,,,,,,,,,0.13,6200000.0,,,-2012800000.0,,-188500000.0,13900000.0,,4400000.0,,352000000.0,,,92000000.0,,9800000.0,0.14,,,,,,,,,,,,-9600000.0,,-9000000.0,,-44600000.0,-8000000.0,-4000000.0,200000000.0,-721400000.0,,,540500000.0,,,1403400000.0,32400000.0,,559600000.0,,,0.0,,,63900000.0,95900000.0,649600000.0,,,,2006900000.0,57300000.0,175300000.0,,0.0,,531600000.0,3149200000.0,395700000.0,,,4552600000.0,,274900000.0,,,2721200000.0,,,28000000.0,,,,,,28000000.0,,1216900000.0,409200000.0,111100000.0,,303000000.0,,,28000000.0,,,55500000.0,303000000.0,,,,507600000.0,-33400000.0,,,,158000000.0,,,303000000.0,-2500000.0,1449700000.0,29500000.0,21100000.0,,,,30100000.0,,,-2900000.0,,129700000.0,215384615.0,3280800000.0,,54300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
