date,annualTotalNonCurrentAssets,annualNetPPE,quarterlyOperatingExpense,annualGrossProfit,annualOtherIncomeExpense,quarterlyPurchaseOfBusiness,trailingGrossProfit,quarterlyOtherIntangibleAssets,annualOperatingCashFlow,quarterlyCashAndCashEquivalents,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyCapitalStock,annualEbitda,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyPretaxIncome,quarterlyNetPPE,trailingRepaymentOfDebt,annualBasicAverageShares,quarterlyTaxProvision,quarterlyChangesInAccountReceivables,annualChangeInInventory,annualGrossPPE,trailingChangeInCashSupplementalAsReported,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyCapitalExpenditure,trailingDepreciationAndAmortization,trailingCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,annualBasicEPS,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyDilutedAverageShares,annualPurchaseOfBusiness,trailingOtherIncomeExpense,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,trailingOtherNonCashItems,trailingOperatingExpense,trailingSellingGeneralAndAdministration,quarterlyIncomeTaxPayable,annualCapitalExpenditure,quarterlyGrossPPE,annualOperatingExpense,trailingDeferredIncomeTax,trailingInvestingCashFlow,annualAccumulatedDepreciation,annualIncomeTaxPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,annualInvestingCashFlow,annualDeferredIncomeTax,trailingPurchaseOfBusiness,trailingPurchaseOfInvestment,annualChangesInAccountReceivables,trailingBeginningCashPosition,trailingInterestExpense,quarterlyChangeInWorkingCapital,trailingCashDividendsPaid,quarterlyBasicEPS,annualNonCurrentDeferredTaxesLiabilities,quarterlyCommonStockIssuance,quarterlyDeferredIncomeTax,trailingCapitalExpenditure,quarterlyOtherCurrentLiabilities,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingNetIncomeContinuousOperations,quarterlyStockBasedCompensation,trailingChangeInInventory,annualNetOtherFinancingCharges,trailingStockBasedCompensation,annualChangeInCashSupplementalAsReported,annualStockBasedCompensation,annualGoodwill,annualInventory,annualCashFlowFromContinuingFinancingActivities,quarterlyBasicAverageShares,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,quarterlyEbitda,annualInterestExpense,trailingChangesInAccountReceivables,annualDilutedEPS,annualPurchaseOfInvestment,annualRepaymentOfDebt,annualDilutedAverageShares,annualTotalRevenue,trailingChangeInWorkingCapital,annualCapitalStock,trailingFreeCashFlow,quarterlyCurrentLiabilities,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,annualOtherShortTermInvestments,quarterlyCurrentAssets,annualAccountsPayable,annualFreeCashFlow,annualCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyDepreciationAndAmortization,annualTotalLiabilitiesNetMinorityInterest,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,annualEndCashPosition,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,trailingNetOtherInvestingChanges,annualOtherCurrentAssets,trailingTotalRevenue,annualOperatingIncome,quarterlyRetainedEarnings,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,trailingNetIncome,trailingEndCashPosition,annualCashAndCashEquivalents,quarterlyOperatingIncome,annualNetOtherInvestingChanges,quarterlyTotalRevenue,trailingTaxProvision,trailingPretaxIncome,annualPretaxIncome,annualCurrentDebt,annualCurrentDeferredRevenue,annualCashDividendsPaid,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,annualInvestmentsAndAdvances,annualNetIncomeContinuousOperations,quarterlyTotalAssets,trailingOperatingIncome,annualCostOfRevenue,quarterlyFreeCashFlow,annualNetIncome,quarterlyNetIncome,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,trailingSaleOfInvestment,quarterlyNetIncomeContinuousOperations,annualStockholdersEquity,quarterlyDilutedEPS,quarterlyOtherNonCurrentLiabilities,annualOtherNonCashItems,annualCurrentAssets,annualRepurchaseOfCapitalStock,quarterlyOtherCurrentAssets,annualLongTermDebt,annualCurrentLiabilities,quarterlyGoodwill,quarterlyCostOfRevenue,annualCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyEndCashPosition,quarterlyInvestingCashFlow,trailingNetIncomeCommonStockholders,annualTotalAssets,annualTaxProvision,annualRetainedEarnings,quarterlyNetOtherInvestingChanges,annualDepreciationAndAmortization,quarterlyStockholdersEquity,annualNetIncomeCommonStockholders,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,quarterlyGrossProfit,trailingRepurchaseOfCapitalStock,quarterlyCurrentDeferredRevenue,quarterlyInventory,trailingOperatingCashFlow,quarterlyOtherIncomeExpense,annualAccountsReceivable,quarterlyChangeInInventory,annualResearchAndDevelopment,trailingBasicAverageShares,quarterlyNonCurrentDeferredRevenue,trailingDilutedEPS,trailingBasicEPS,trailingResearchAndDevelopment,trailingCommonStockIssuance,annualNonCurrentDeferredRevenue,trailingChangeInAccountPayable,quarterlyResearchAndDevelopment,trailingDilutedAverageShares
1970-01-01 00:00:00.315446400,245700000.0,93700000.0,,190300000.0,17700000.0,,926074000.0,,0.0,,13800000.0,92500000.0,,,78200000.0,,,,,-13665000.0,15636364.0,,,,154600000.0,-119328000.0,,,,173307000.0,487000.0,,,,2.75,,,,142515000.0,85600000.0,0.0,836000.0,735193000.0,624748000.0,,,,121300000.0,30054000.0,-282152000.0,-60900000.0,,,,,,0.0,,-132090000.0,-50158000.0,,276735000.0,29118000.0,,-29220000.0,,14300000.0,,,-115054000.0,,,,238600000.0,,-8407000.0,,5992000.0,,,,14300000.0,,,15554000.0,73200000.0,,1800000.0,-34803000.0,2.75,,,15636364.0,581800000.0,-171321000.0,,52391000.0,,,,,,,0.0,,,,193100000.0,117500000.0,,,,1931634000.0,0.0,,,-3500000.0,10400000.0,2857708000.0,69000000.0,,,,238659000.0,162515000.0,13800000.0,,,,71900000.0,310500000.0,84900000.0,2400000.0,,,,,,43000000.0,,190881000.0,391500000.0,,43000000.0,,59500000.0,112100000.0,17586000.0,,164800000.0,,,,112200000.0,,,17600000.0,75600000.0,,,,,,,,237393000.0,357900000.0,41900000.0,216500000.0,,,,43000000.0,,,,,,,-7182000.0,,,167445000.0,,,,,,,,,,,,,,
1970-01-01 00:00:00.347068800,303000000.0,152100000.0,,201000000.0,13800000.0,,,,0.0,,10000000.0,91400000.0,,,64000000.0,,,,,,7957000.0,,,,219000000.0,,,,,,,,,,2.44,,,,,89100000.0,0.0,,,,,,,148300000.0,,,-66900000.0,,,,,,0.0,,,,,,,,,,24600000.0,,,,,,,,,,,,,,,20700000.0,,,,82100000.0,,1600000.0,,2.44,,,7957000.0,646700000.0,,,,,,,,,,0.0,,,,241800000.0,157300000.0,,,,,0.0,,,,13700000.0,,52700000.0,,,,,,10000000.0,,,,,,64800000.0,2400000.0,,,,,,34300000.0,,,445700000.0,,34300000.0,,59500000.0,137000000.0,,,187300000.0,,,,126100000.0,,,43600000.0,84500000.0,,,,,,,,,429100000.0,30500000.0,244600000.0,,,,34300000.0,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.378604800,323200000.0,171300000.0,,244400000.0,2100000.0,,,,0.0,,11100000.0,78800000.0,,,83900000.0,,,,,,14094828.0,,,,242600000.0,,,,,,,,,,2.32,,,,,92600000.0,0.0,,,,,,,178700000.0,,,-71300000.0,,,,,,0.0,,,,,,,,,,28300000.0,,,,,,,,,,,,,,,22500000.0,,,,84600000.0,,5400000.0,,2.32,,,14094828.0,753400000.0,,,,,,,,,,0.0,,,,244800000.0,143900000.0,,,,,0.0,,,,16100000.0,,65700000.0,,,,,,11100000.0,,,,,,62500000.0,16300000.0,,,,,,32700000.0,,,509000000.0,,32700000.0,,73100000.0,160500000.0,,,213400000.0,,,,135000000.0,,,23000000.0,100900000.0,,,,,,,,,458200000.0,29800000.0,270300000.0,,,,32700000.0,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.410140800,330500000.0,182000000.0,,279700000.0,5700000.0,,,,0.0,,40300000.0,77600000.0,,,118100000.0,,,,,,14171271.0,,,,268000000.0,,,,,,,,,,3.62,,,,,94800000.0,0.0,,,,,,,181600000.0,,,-86000000.0,,,,,,0.0,,,,,,,,,,28400000.0,,,,,,,,,,,,,,,22100000.0,,,,106100000.0,,2200000.0,,3.62,,,14171271.0,800800000.0,,,,,,,,,,0.0,,,,242400000.0,134000000.0,,,,,0.0,,,,17500000.0,,98100000.0,,,,,,40300000.0,,,,,,101600000.0,2300000.0,,,,,,51300000.0,,,521100000.0,,51300000.0,,70900000.0,161600000.0,,,258800000.0,,,,170700000.0,,,10800000.0,108400000.0,,,,,,,,,501200000.0,50300000.0,314800000.0,,,,51300000.0,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.441676800,380100000.0,181300000.0,,335100000.0,4900000.0,,,,0.0,,68800000.0,79100000.0,,,154600000.0,,,,,,14190871.0,,,,284500000.0,,,,,,,,,,4.82,,,,,105100000.0,0.0,,,,,,,202800000.0,,,-103200000.0,,,,,,0.0,,,,,,,,,,29400000.0,,,,,,,,,,,,,,,11700000.0,,,,103500000.0,,2700000.0,,4.82,,,14190871.0,877700000.0,,,,,,,,,,0.0,,,,251800000.0,143000000.0,,,,,0.0,,,,17400000.0,,132300000.0,,,,,,68800000.0,,,,,,134600000.0,5300000.0,,,,,,68400000.0,,,542600000.0,,68400000.0,,119700000.0,180500000.0,,,318900000.0,,,,190600000.0,,,8500000.0,108800000.0,,,,,,,,,570700000.0,66200000.0,373900000.0,,,,68400000.0,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.449539200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13989000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,13989000.0,,,214700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214700000.0,,214700000.0,,,,,,,,,,,,,,,,,,,,9100000.0,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.457401600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13989000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94,,,,,,,,,,,,,,,,,,13989000.0,,,251300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251300000.0,,251300000.0,,,,,,,,,,,,,,,,,,,,27200000.0,,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.465350400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13989000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,,,,,,,,,,,,,,,,,13989000.0,,,220200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220200000.0,,220200000.0,,,,,,,,,,,,,,,,,,,,15100000.0,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.473299200,427200000.0,191100000.0,,378900000.0,21000000.0,,,76800000.0,0.0,73700000.0,73700000.0,76800000.0,,,179400000.0,,73700000.0,,191100000.0,,14058920.0,,,,312000000.0,,2300000.0,,,,,159300000.0,,-120900000.0,6.11,,,,,119500000.0,0.0,,,,,,312000000.0,231900000.0,,,-120900000.0,,,,,,0.0,,,,,,,,,,26400000.0,,,,111200000.0,,,,,,,,,,,14500000.0,,,,111200000.0,-539200000.0,1800000.0,,6.11,,,14058920.0,965000000.0,,,,113500000.0,,,,218600000.0,,0.0,,,,265700000.0,152200000.0,,,152200000.0,,0.0,,,,22000000.0,,147000000.0,448500000.0,,427200000.0,,,73700000.0,-539200000.0,,278800000.0,,,166200000.0,2300000.0,,,265700000.0,,,85900000.0,645800000.0,,586100000.0,,85900000.0,,159300000.0,199500000.0,,34600000.0,380100000.0,,119500000.0,,218600000.0,,22000000.0,6300000.0,113500000.0,,,,,,,,,645800000.0,80300000.0,448500000.0,,,380100000.0,85900000.0,6300000.0,,,26400000.0,,,,,14500000.0,,,,,,,,,,,,,,,
1970-01-01 00:00:00.481075200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13989000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78,,,,,,,,,,,,,,,,,,13989000.0,,,243600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243600000.0,,243600000.0,,,,,,,,,,,,,,,,,,,,24900000.0,,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
