date,trailingCashDividendsPaid,annualNetIncome,trailingPretaxIncome,quarterlyTotalAssets,annualNonCurrentDeferredRevenue,annualCashDividendsPaid,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,annualPurchaseOfInvestment,annualAccountsReceivable,annualLongTermDebt,quarterlyLongTermDebt,trailingInvestingCashFlow,quarterlyBasicAverageShares,quarterlyTotalNonCurrentAssets,annualGoodwill,quarterlyAccountsReceivable,annualIncomeTaxPayable,annualSaleOfInvestment,annualPretaxIncome,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyInvestmentsAndAdvances,trailingChangeInWorkingCapital,annualStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherNonCashItems,annualDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,annualOperatingIncome,quarterlyGoodwill,annualInvestingCashFlow,quarterlyNetIncome,annualRetainedEarnings,quarterlySellingGeneralAndAdministration,annualTotalAssets,trailingStockBasedCompensation,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,trailingTotalRevenue,quarterlyOtherIncomeExpense,trailingOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyDilutedEPS,annualAccountsPayable,trailingOtherIncomeExpense,annualOperatingCashFlow,annualCurrentLiabilities,quarterlyCurrentDebt,trailingOperatingIncome,quarterlyOperatingExpense,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,annualChangeInAccountPayable,quarterlyEndCashPosition,annualCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,quarterlyOtherIntangibleAssets,annualOtherIntangibleAssets,quarterlyInvestingCashFlow,trailingEndCashPosition,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,annualInvestmentsAndAdvances,annualRepurchaseOfCapitalStock,quarterlyNetOtherFinancingCharges,annualOtherNonCurrentLiabilities,annualEbitda,annualOtherNonCurrentAssets,annualGainsLossesNotAffectingRetainedEarnings,annualNetPPE,quarterlyFreeCashFlow,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualCashCashEquivalentsAndMarketableSecurities,trailingInterestExpense,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,annualChangesInAccountReceivables,annualInterestExpense,trailingBeginningCashPosition,annualCurrentAssets,annualBeginningCashPosition,trailingCapitalExpenditure,trailingChangeInCashSupplementalAsReported,annualGrossPPE,quarterlySaleOfInvestment,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,annualBasicAverageShares,quarterlyAccountsPayable,trailingRepaymentOfDebt,quarterlyGrossProfit,trailingRepurchaseOfCapitalStock,annualSellingGeneralAndAdministration,quarterlyGainsLossesNotAffectingRetainedEarnings,annualRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyCapitalStock,annualOtherIncomeExpense,annualOtherCurrentLiabilities,trailingGrossProfit,annualBasicEPS,annualCurrentAccruedExpenses,trailingNetIncomeCommonStockholders,annualCapitalExpenditure,annualChangeInCashSupplementalAsReported,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyDilutedAverageShares,annualTaxProvision,annualCurrentDebt,quarterlyRepaymentOfDebt,annualInventory,quarterlyTaxProvision,quarterlyAccumulatedDepreciation,trailingCostOfRevenue,quarterlyNetPPE,annualCapitalStock,annualCostOfRevenue,annualTotalRevenue,annualOtherCurrentAssets,annualTotalNonCurrentAssets,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyBasicEPS,trailingDepreciationAndAmortization,annualGrossProfit,annualStockBasedCompensation,trailingTaxProvision,annualFreeCashFlow,annualNetOtherFinancingCharges,quarterlyChangeInWorkingCapital,trailingPurchaseOfBusiness,annualAccumulatedDepreciation,quarterlyNonCurrentDeferredRevenue,annualOperatingExpense,annualPurchaseOfBusiness,quarterlyCashFlowFromContinuingFinancingActivities,annualChangeInWorkingCapital,trailingNetIncomeContinuousOperations,quarterlyRetainedEarnings,annualNetIncomeContinuousOperations,trailingSellingGeneralAndAdministration,quarterlyCommonStockIssuance,quarterlyTotalRevenue,quarterlyOperatingCashFlow,trailingOperatingExpense,annualDilutedEPS,quarterlyCapitalExpenditure,annualDilutedAverageShares,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOperatingIncome,quarterlyCurrentAssets,trailingNetIncome,trailingFreeCashFlow,annualNonCurrentDeferredTaxesLiabilities,quarterlyCurrentLiabilities,annualTotalLiabilitiesNetMinorityInterest,annualChangeInInventory,quarterlyGrossPPE,quarterlyIncomeTaxPayable,annualResearchAndDevelopment,trailingBasicAverageShares,annualCurrentDeferredRevenue,trailingDeferredIncomeTax,quarterlyOtherShortTermInvestments,trailingChangeInInventory,trailingChangesInAccountReceivables,trailingOtherNonCashItems,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingNetOtherFinancingCharges,trailingBasicEPS,trailingResearchAndDevelopment,quarterlyDeferredIncomeTax,trailingCommonStockIssuance,quarterlyChangeInAccountPayable,annualOtherShortTermInvestments,trailingSaleOfInvestment,trailingPurchaseOfInvestment,trailingChangeInAccountPayable,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,trailingDilutedAverageShares
1979-12-31,-433779000.0,61700000.0,1072461000.0,,,,,,,,,15400000.0,,-641587000.0,,,,,,,120500000.0,,,,-97861000.0,320700000.0,,,,,122000000.0,,0.0,,250000000.0,,475400000.0,25119000.0,,0.0,,,,19289908000.0,,964850000.0,,,,,75366000.0,0.0,130000000.0,,1097015000.0,,24700000.0,,,,,,-216229000.0,,,,466139000.0,,,,,,,,9300000.0,129500000.0,3000000.0,,73600000.0,,,11900000.0,11900000.0,99920000.0,,,,,359105000.0,398800000.0,0.0,-323092000.0,92170000.0,104400000.0,,61700000.0,,,140227273.0,,-5162840000.0,,-163117000.0,267600000.0,,,,,-1500000.0,129100000.0,6273334000.0,0.44,,798866000.0,,,,,,58800000.0,900000.0,,263000000.0,,,13016574000.0,,,940400000.0,1337500000.0,4600000.0,76600000.0,,,,,260792000.0,397100000.0,,273595000.0,0.0,,,-749944000.0,-30800000.0,,275100000.0,,,,798866000.0,,61700000.0,4898062000.0,,,,5176319000.0,0.44,,140227273.0,,,,,798866000.0,641758000.0,,,154700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-12-31,,67800000.0,,,,,,,,,,16400000.0,,,,,,,,,132300000.0,,,,,359900000.0,,,,,134000000.0,,0.0,,289200000.0,,526700000.0,,,0.0,,,,,,,,,,,,0.0,139400000.0,,,,27400000.0,,,,,,,,,,,,,,,,,,11000000.0,143400000.0,3200000.0,,78000000.0,,,30500000.0,30500000.0,,,,,,,445500000.0,0.0,,,114000000.0,,67800000.0,,,138367347.0,,,,,293900000.0,,,,,-1700000.0,137600000.0,,0.49,,,,,,,,64500000.0,1800000.0,,276300000.0,,,,,,994400000.0,1431700000.0,4500000.0,81200000.0,,,,,,437300000.0,,,0.0,,,,-36000000.0,,303300000.0,,,,,,67800000.0,,,,,,0.49,,138367347.0,,,,,,,,,166800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-12-31,,99600000.0,,,,,,,,,,23100000.0,,,,,,,,,192000000.0,,,,,527800000.0,,,,,192700000.0,,0.0,,442300000.0,,730800000.0,,,0.0,,,,,,,,,,,,0.0,175600000.0,,,,27400000.0,,,,,,,,,,,,,,,,,,4300000.0,205600000.0,5200000.0,,112000000.0,,,62300000.0,62300000.0,,,,,,,613600000.0,0.0,,,169900000.0,,99600000.0,,,181090909.0,,,,,365500000.0,,,,,-700000.0,172100000.0,,0.55,,,,,,,,92400000.0,3500000.0,,370200000.0,,,,,,1304600000.0,1875700000.0,6700000.0,117200000.0,,,,,,571100000.0,,,0.0,,,,-57900000.0,,378400000.0,,,,,,99600000.0,,,,,,0.55,,181090909.0,,,,,,,,,203000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-12-31,,100200000.0,,,,,,,,,,26300000.0,,,,,,,,,192800000.0,,,,,581900000.0,,,,,192700000.0,,0.0,,496000000.0,,783600000.0,,,0.0,,,,,,,,,,,,0.0,170200000.0,,,,31500000.0,,,,,,,,,,,,,,,,,,5200000.0,206800000.0,4600000.0,,121500000.0,,,96500000.0,96500000.0,,,,,,,657500000.0,0.0,,,188200000.0,,100200000.0,,,182181818.0,,,,,386900000.0,,,,,100000.0,166500000.0,,0.55,,,,,,,,92600000.0,3700000.0,,375600000.0,,,,,,1342800000.0,1936500000.0,6000000.0,126100000.0,,,,,,593700000.0,,,0.0,,,,-66700000.0,,401000000.0,,,,,,100200000.0,,,,,,0.55,,182181818.0,,,,,,,,,201700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-31,,103600000.0,,,,,,,,,,24900000.0,,,,,,,,,200800000.0,,,,,636200000.0,,,,,200900000.0,,0.0,,549800000.0,,867700000.0,,,0.0,,,,,,,,,,,,0.0,200600000.0,,,,30900000.0,,,,,,,,,,,,,,,,,,6000000.0,216200000.0,4600000.0,,125400000.0,,,139200000.0,139200000.0,,,,,,,737700000.0,0.0,,,203000000.0,,103600000.0,,,181754386.0,,,,,400100000.0,,,,,-100000.0,199200000.0,,0.57,,,,,,,,97200000.0,1400000.0,,394100000.0,,,,,,1451900000.0,2068200000.0,7700000.0,130000000.0,,,,,,616300000.0,,,0.0,,,,-77600000.0,,415400000.0,,,,,,103600000.0,,,,,,0.57,,181754386.0,,,,,,,,,231500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-03-31,,,,,,,,,,,,,,,182910000.0,,,,,,,,,,,,,,,26500000.0,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182910000.0,,,,,,,,,,,,,,,,562300000.0,0.15,,,,,,,,,,,,,,,,,,,,562300000.0,,,,,,,,562300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,,,,183040000.0,,,,,,,,,,,,,,,29700000.0,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183040000.0,,,,,,,,,,,,,,,,587600000.0,0.17,,,,,,,,,,,,,,,,,,,,587600000.0,,,,,,,,587600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,,,,,183066000.0,,,,,,,,,,,,,,,31500000.0,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183066000.0,,,,,,,,,,,,,,,,602300000.0,0.17,,,,,,,,,,,,,,,,,,,,602300000.0,,,,,,,,602300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,,119700000.0,,948100000.0,,,213000000.0,,6800000.0,,,25500000.0,25500000.0,,,140600000.0,,,,,234700000.0,,,,,701100000.0,32300000.0,,,32000000.0,234800000.0,,0.0,,614000000.0,,948100000.0,,,0.0,,448700000.0,,,,,143900000.0,143900000.0,,,,0.0,214700000.0,1700000.0,,,32300000.0,,,,,,,,,,,,,247000000.0,6500000.0,,,,6800000.0,251700000.0,6500000.0,,134100000.0,,,143900000.0,143900000.0,,8300000.0,,,,,807500000.0,0.0,,,222600000.0,,119700000.0,,,184153846.0,,,,,439700000.0,,,,,-100000.0,213000000.0,,0.65,,,,,,701100000.0,,115000000.0,1700000.0,,448700000.0,,-88500000.0,,134100000.0,,1612200000.0,2303600000.0,8300000.0,140600000.0,,,-1517300000.0,,,691400000.0,,,0.0,,,,-88500000.0,,456600000.0,,,,,614000000.0,119700000.0,,,551500000.0,,,0.65,,184153846.0,,,-1517300000.0,807500000.0,,,,214700000.0,247000000.0,,222600000.0,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-31,,,,,,,,,,,,,,,183093000.0,,,,,,,,,,,,,,,27600000.0,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183093000.0,,,,,,,,,,,,,,,,577200000.0,0.15,,,,,,,,,,,,,,,,,,,,577200000.0,,,,,,,,577200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
