date,quarterlyOperatingCashFlow,trailingInvestingCashFlow,annualPurchaseOfInvestment,quarterlyChangeInCashSupplementalAsReported,trailingSaleOfInvestment,quarterlyOtherNonCurrentLiabilities,annualInvestingCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualNonCurrentDeferredRevenue,trailingPurchaseOfBusiness,annualTotalAssets,trailingNetIncome,annualNonCurrentDeferredTaxesLiabilities,quarterlyOtherCurrentLiabilities,annualOtherNonCashItems,annualStockholdersEquity,trailingPurchaseOfInvestment,quarterlyResearchAndDevelopment,annualLongTermDebt,annualBasicAverageShares,trailingStockBasedCompensation,annualDepreciationAndAmortization,quarterlyCurrentAccruedExpenses,annualCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyOtherShortTermInvestments,annualRetainedEarnings,annualInventory,quarterlyGoodwill,annualDilutedEPS,quarterlyInvestmentsAndAdvances,annualSaleOfInvestment,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,annualGoodwill,annualCommonStockIssuance,annualStockBasedCompensation,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyOtherIncomeExpense,annualCapitalStock,trailingChangeInWorkingCapital,quarterlyInventory,annualAccountsPayable,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherIncomeExpense,annualTotalRevenue,quarterlyCashAndCashEquivalents,annualGainsLossesNotAffectingRetainedEarnings,trailingOperatingIncome,trailingGrossProfit,annualOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,annualNetPPE,annualDilutedAverageShares,annualOtherIntangibleAssets,annualOtherShortTermInvestments,annualCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,annualEndCashPosition,quarterlyCapitalStock,annualCashFlowFromContinuingFinancingActivities,quarterlyDilutedEPS,quarterlyBeginningCashPosition,annualEbitda,quarterlyBasicEPS,trailingTotalRevenue,annualOperatingIncome,annualGrossPPE,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,quarterlyInterestExpense,quarterlyCurrentDebt,trailingEndCashPosition,trailingPretaxIncome,quarterlyPurchaseOfInvestment,trailingCashFlowFromContinuingFinancingActivities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,annualIncomeTaxPayable,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,annualInvestmentsAndAdvances,annualPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyNetOtherFinancingCharges,annualOtherNonCurrentLiabilities,quarterlySaleOfInvestment,annualCapitalExpenditure,trailingDeferredIncomeTax,quarterlyIncomeTaxPayable,trailingSellingGeneralAndAdministration,quarterlyGrossPPE,trailingCapitalExpenditure,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualAccumulatedDepreciation,quarterlyRepurchaseOfCapitalStock,annualDeferredIncomeTax,quarterlyChangeInWorkingCapital,annualRepurchaseOfCapitalStock,quarterlyAccountsPayable,trailingInterestExpense,trailingBeginningCashPosition,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyBasicAverageShares,annualCurrentAssets,trailingNetIncomeContinuousOperations,trailingOperatingExpense,annualChangesInAccountReceivables,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,quarterlyNetOtherInvestingChanges,annualCurrentAccruedExpenses,annualOtherCurrentLiabilities,quarterlyEbitda,annualNetIncomeCommonStockholders,trailingNetOtherFinancingCharges,quarterlyChangeInAccountPayable,annualInterestExpense,annualRepaymentOfDebt,quarterlyInvestingCashFlow,trailingChangesInAccountReceivables,quarterlyEndCashPosition,trailingRepurchaseOfCapitalStock,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyGrossProfit,quarterlyCurrentLiabilities,annualTotalNonCurrentAssets,quarterlyOtherNonCashItems,quarterlyCurrentDeferredRevenue,trailingChangeInAccountPayable,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,annualGrossProfit,trailingFreeCashFlow,quarterlyRepaymentOfDebt,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualTaxProvision,annualChangeInWorkingCapital,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyPretaxIncome,annualOtherCurrentAssets,trailingCostOfRevenue,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyTotalRevenue,annualNetIncomeContinuousOperations,quarterlyOperatingIncome,trailingDepreciationAndAmortization,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,annualChangeInInventory,trailingTaxProvision,annualBasicEPS,annualCurrentDebt,annualCurrentDeferredRevenue,quarterlyAccumulatedDepreciation,annualOperatingExpense,annualPurchaseOfBusiness,annualFreeCashFlow,trailingOtherNonCashItems,annualCostOfRevenue,annualBeginningCashPosition,annualNetIncome,quarterlyDilutedAverageShares,trailingBasicAverageShares,trailingOtherIncomeExpense,trailingCommonStockIssuance,annualResearchAndDevelopment,annualCashDividendsPaid,trailingBasicEPS,trailingDilutedEPS,trailingRepaymentOfDebt,quarterlyCashDividendsPaid,trailingNetOtherInvestingChanges,trailingChangeInInventory,trailingCashDividendsPaid,trailingResearchAndDevelopment,trailingDilutedAverageShares
1997-08-31,,-152652000.0,,,24822000.0,,,900000.0,900000.0,,-126070000.0,,363142000.0,,,,,-11165000.0,,,,27685000.0,,,,,,,,,,,,,,,,,,,,338959000.0,,,-142238000.0,,,,,,,,,419865000.0,814305000.0,,,,,,,,,,,,0.055,,,0.065,2759455000.0,,,,,,-8617000.0,,,421786000.0,413697000.0,,-190742000.0,,,,,900000.0,,,,,,,,,,6279000.0,,333688000.0,,-51939000.0,,,,,,,,,13150000.0,426221000.0,,,13846154.0,,364158000.0,394440000.0,,,,,363142000.0,,,,,,,10000000.0,,-135000.0,,,,,-26228000.0,,-213573000.0,,,,,,,,-2114000.0,,,,287020000.0,,,,,,,,,,1945150000.0,,,10000000.0,,10000000.0,83619000.0,,,,49539000.0,,,,,,,,1451000.0,,,,16363636.0,,,,,,,,,,,,,,
1997-11-30,,,,,,,,900000.0,900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,,,0.065,,,,,,,,,,,,,,,,,,900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,13846154.0,,,,,,,,,,,,,,,10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000.0,,10000000.0,,,,,,,,,,,,,,,,,16363636.0,,,,,,,,,,,,,,
1998-02-28,,,,,,,,900000.0,900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,,,0.065,,,,,,,,,,,,,,,,,,900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,13846154.0,,,,,,,,,,,,,,,10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000.0,,10000000.0,,,,,,,,,,,,,,,,,16363636.0,,,,,,,,,,,,,,
1998-05-31,,,,,,,,1200000.0,1200000.0,,,,,,,,,,,,13928571.0,,,,,,,,,,,,0.245,,,,,,,,,,,,,,,,,,42100000.0,,,,,,,,15918367.0,,,,,,,,,,42100000.0,,,42100000.0,,,,,,,,,,,,,,,,1200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12100000.0,3900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12100000.0,3900000.0,12100000.0,,,,,,0.28,,,,,,,,,,3900000.0,,,,,,,,,,,,,,,
1998-08-31,,,,,,,,1900000.0,1900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.085,,,0.09,,,,,,,,,,,,,,,,,,1900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,21111111.0,,,,,,,,,,,,,,,12800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12800000.0,,12800000.0,,,,,,,,,,,,,,,,,22352941.0,,,,,,,,,,,,,,
1998-11-30,,,,,,,,1900000.0,1900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,0.095,,,,,,,,,,,,,,,,,,1900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000.0,,,,,,,,,,,,,,,13700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13700000.0,,13700000.0,,,,,,,,,,,,,,,,,21111111.0,,,,,,,,,,,,,,
1999-02-28,,,,,,,,2100000.0,2100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095,,,0.105,,,,,,,,,,,,,,,,,,2100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000.0,,,,,,,,,,,,,,,14700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14700000.0,,14700000.0,,,,,,,,,,,,,,,,,22105263.0,,,,,,,,,,,,,,
1999-05-31,,,-35900000.0,,,700000.0,-45300000.0,1600000.0,1600000.0,,,93800000.0,,,18200000.0,-200000.0,70300000.0,,,500000.0,20000000.0,,2000000.0,,22300000.0,,,,35900000.0,17900000.0,,,0.34,,,500000.0,,,100000.0,,,,,800000.0,,,1000000.0,,1200000.0,0.0,55800000.0,12000000.0,-1100000.0,,,1500000.0,47900000.0,15600000.0,22058824.0,,35900000.0,47900000.0,,12000000.0,800000.0,2200000.0,,,8500000.0,,,6500000.0,19800000.0,0.0,12000000.0,,,,3100000.0,,,,,23500000.0,0.0,,93800000.0,1600000.0,,9100000.0,,,15600000.0,,700000.0,,-9400000.0,,,,19800000.0,,0.0,18000000.0,-4200000.0,,400000.0,,,1000000.0,,,,,,78200000.0,,,,1900000.0,-1100000.0,,,70300000.0,2900000.0,-42100000.0,,,18200000.0,-34800000.0,7500000.0,,,100000.0,,,,,,,,,22300000.0,15600000.0,,,,78200000.0,,26500000.0,,,23500000.0,1200000.0,1600000.0,-8200000.0,,15600000.0,,1900000.0,,,17900000.0,14500000.0,7500000.0,-34800000.0,,,,,,0.375,3100000.0,,-4200000.0,20000000.0,,-7900000.0,,29300000.0,54000000.0,7500000.0,,,,,,,,,,,,,,,
1999-08-31,5700000.0,,,3700000.0,,800000.0,,1600000.0,1600000.0,,,,,,20800000.0,,,,,,,,,,,,,8800000.0,35900000.0,,,,,,,400000.0,,,,,,,0.0,,,,,,,,,15700000.0,,,,,51600000.0,,,,,,700000.0,,800000.0,,0.075,12000000.0,,0.08,,,,,,,,500000.0,100000.0,,,,,23900000.0,0.0,,95800000.0,1600000.0,,,,4300000.0,16300000.0,-600000.0,,,,,,,20500000.0,,,,,,,3200000.0,,1800000.0,,,,,20000000.0,,,,,2100000.0,-1100000.0,,,71900000.0,,,0.0,,,2200000.0,,,,,,-1400000.0,,15700000.0,,6700000.0,,8200000.0,22700000.0,,200000.0,,,79500000.0,6000000.0,,,,,1200000.0,,,,16300000.0,2000000.0,,,400000.0,19600000.0,17000000.0,,1500000.0,,-1400000.0,-600000.0,,,,,,-4200000.0,,,,,,,,21333333.0,,,,,,,,,,,,,,
1999-11-30,2800000.0,,,-900000.0,,700000.0,,1900000.0,1900000.0,,,,,,23500000.0,,,,,,,,,,,,,9300000.0,35900000.0,,,,,,,400000.0,,,,,,,100000.0,,,,,,,,,14800000.0,,,,,50700000.0,,,,,,700000.0,,800000.0,,0.085,15700000.0,,0.09,,,,,,,,600000.0,600000.0,,,,,26600000.0,0.0,,99900000.0,1900000.0,,,,1300000.0,16800000.0,500000.0,,,,,,,21000000.0,,,,,,,400000.0,,1400000.0,,,,,21111111.0,,,,,2600000.0,-1500000.0,,,73300000.0,,,0.0,,,2500000.0,,,,,,-1500000.0,,14800000.0,,6800000.0,,8600000.0,25500000.0,,-300000.0,,,83100000.0,6100000.0,,,,,1100000.0,,,,16800000.0,2500000.0,,,600000.0,21400000.0,17900000.0,,1800000.0,,-1500000.0,-2000000.0,,,,,,-4200000.0,,,,,,,,22352941.0,,,,,,,,,,,,,,
