date,quarterlyStockBasedCompensation,quarterlyTotalRevenue,annualNetOtherFinancingCharges,trailingTaxProvision,annualNetIncomeContinuousOperations,quarterlyOperatingIncome,annualCashAndCashEquivalents,quarterlyEbitda,annualCurrentAccruedExpenses,quarterlyPurchaseOfInvestment,quarterlyChangeInAccountPayable,quarterlyNetIncomeCommonStockholders,annualInvestmentsAndAdvances,annualCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestingCashFlow,annualDilutedEPS,quarterlyEndCashPosition,trailingOperatingIncome,annualCostOfRevenue,quarterlyGrossProfit,quarterlyIncomeTaxPayable,annualDeferredIncomeTax,trailingOperatingExpense,quarterlyGrossPPE,annualOtherNonCurrentAssets,annualOperatingExpense,quarterlyCurrentLiabilities,annualOtherShortTermInvestments,trailingSellingGeneralAndAdministration,quarterlyCurrentAssets,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,annualBasicAverageShares,quarterlyRepurchaseOfCapitalStock,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualAccumulatedDepreciation,quarterlyNonCurrentDeferredRevenue,annualRepurchaseOfCapitalStock,quarterlyChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,quarterlyRetainedEarnings,annualCurrentAssets,trailingNetIncomeContinuousOperations,quarterlyDeferredIncomeTax,trailingCostOfRevenue,annualChangesInAccountReceivables,annualNetIncomeCommonStockholders,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyNetOtherInvestingChanges,trailingNetIncomeCommonStockholders,annualRetainedEarnings,quarterlyStockholdersEquity,annualFreeCashFlow,annualCommonStockIssuance,annualAccountsReceivable,annualBeginningCashPosition,annualCashDividendsPaid,quarterlyOperatingExpense,annualNetIncome,quarterlyNetIncomeContinuousOperations,annualTotalNonCurrentAssets,annualDilutedAverageShares,quarterlyCurrentDeferredRevenue,annualSellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualTaxProvision,annualTotalAssets,annualOtherNonCashItems,quarterlyBasicEPS,annualOtherCurrentAssets,annualStockholdersEquity,quarterlyOtherCurrentAssets,quarterlyBasicAverageShares,annualCurrentLiabilities,annualDepreciationAndAmortization,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,annualSaleOfInvestment,annualIncomeTaxPayable,quarterlyNonCurrentDeferredTaxesLiabilities,annualCapitalStock,annualPurchaseOfBusiness,quarterlyOtherIncomeExpense,annualStockBasedCompensation,quarterlyInventory,trailingOtherIncomeExpense,quarterlyNetOtherFinancingCharges,annualOperatingCashFlow,annualNetPPE,quarterlyChangeInCashSupplementalAsReported,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualGrossProfit,quarterlyOperatingCashFlow,annualNonCurrentDeferredTaxesLiabilities,annualEbitda,trailingNetIncome,quarterlyOtherCurrentLiabilities,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,annualOtherCurrentLiabilities,annualGrossPPE,quarterlyDilutedEPS,quarterlyChangesInAccountReceivables,quarterlyOtherShortTermInvestments,trailingPretaxIncome,annualChangeInCashSupplementalAsReported,annualNetOtherInvestingChanges,quarterlyDilutedAverageShares,annualRepaymentOfDebt,annualPretaxIncome,quarterlyOtherIntangibleAssets,annualOtherNonCurrentLiabilities,annualGoodwill,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,annualBasicEPS,quarterlySaleOfInvestment,annualOperatingIncome,trailingGrossProfit,annualCapitalExpenditure,annualOtherIncomeExpense,annualAccountsPayable,annualTotalRevenue,quarterlyCashAndCashEquivalents,annualPurchaseOfInvestment,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,annualInvestingCashFlow,quarterlyCapitalStock,quarterlyBeginningCashPosition,annualEndCashPosition,annualCashFlowFromContinuingFinancingActivities,annualNonCurrentDeferredRevenue,trailingTotalRevenue,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingInvestingCashFlow,trailingChangeInAccountPayable,trailingOtherNonCashItems,trailingCashDividendsPaid,trailingChangeInWorkingCapital,annualInterestExpense,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualChangeInInventory,trailingOperatingCashFlow,trailingPurchaseOfBusiness,trailingNetOtherFinancingCharges,annualInventory,trailingDeferredIncomeTax,trailingResearchAndDevelopment,trailingSaleOfInvestment,trailingCashFlowFromContinuingFinancingActivities,trailingDilutedEPS,trailingFreeCashFlow,trailingNetOtherInvestingChanges,trailingRepaymentOfDebt,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,annualResearchAndDevelopment,annualCurrentDebt,trailingDilutedAverageShares,trailingCommonStockIssuance,trailingEndCashPosition,trailingChangeInCashSupplementalAsReported,trailingCapitalExpenditure,annualLongTermDebt,trailingStockBasedCompensation,trailingInterestExpense,trailingRepurchaseOfCapitalStock,trailingDepreciationAndAmortization,trailingChangeInInventory,quarterlyLongTermDebt,trailingBeginningCashPosition,quarterlyChangeInInventory,trailingBasicEPS
1970-01-01 00:00:00.922838400,,,0.0,767000000.0,17400000.0,,98900000.0,,,,,,,,,,0.004688,,2742000000.0,43900000.0,,,-600000.0,1453000000.0,,5100000.0,54200000.0,,,1292000000.0,,-30800000.0,,,3712000000.0,,100000.0,,-19700000.0,,,,14100000.0,-3200000.0,,124700000.0,2328000000.0,,8447000000.0,,17400000.0,,,,,,2322000000.0,41000000.0,,21600000.0,66300000.0,,15400000.0,-2400000.0,,17400000.0,,29000000.0,3712000000.0,,29100000.0,,,,,,4900000.0,153700000.0,-2500000.0,,5700000.0,139600000.0,,,14000000.0,25100000.0,,,,,,,,,,,,8600000.0,,,,,78000000.0,,37700000.0,23900000.0,,98900000.0,,77100000.0,,,48000000.0,2322000000.0,,,,,,13900000.0,43600000.0,,,,3095000000.0,83500000.0,-900000.0,,,22300000.0,,,,,,,0.004688,,22900000.0,4195000000.0,-16100000.0,-500000.0,100000.0,121000000.0,,,,,-17000000.0,,,98900000.0,64800000.0,,12642000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.930700800,,39700000.0,,,,12200000.0,,15600000.0,,,,13300000.0,,,15900000.0,-5300000.0,,102600000.0,,,21200000.0,,,,28200000.0,,,15900000.0,,,133900000.0,,,100000.0,,-500000.0,,,,,,-3700000.0,,,54300000.0,,,300000.0,,,,,,,18500000.0,-1000000.0,,,149700000.0,,,,,,9000000.0,,13300000.0,,,,,,13300000.0,5600000.0,,,,,,0.003125,,,6700000.0,4256000000.0,,,,,-4300000.0,,-500000.0,,5700000.0,-2200000.0,,,,,,3200000.0,,,,0.0,,,3700000.0,,,,13400000.0,,,,15800000.0,,2200000.0,15500000.0,26000000.0,,,0.003125,,,,,,4256000000.0,,,,,,9100000.0,165600000.0,31700000.0,,,,,,,,,102600000.0,,102600000.0,3400000.0,,8600000.0,98900000.0,,,,,100000.0,-34500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.938649600,,47900000.0,,,,14600000.0,,18400000.0,,,,14700000.0,,,19000000.0,-9700000.0,,104100000.0,,,24300000.0,,,,34700000.0,,,19000000.0,,,142200000.0,,,0.0,,0.0,,,,,,-3800000.0,,,66500000.0,,,100000.0,,,,,,,23600000.0,-1000000.0,,,162200000.0,,,,,,9700000.0,,14700000.0,,,,,,14700000.0,5900000.0,,,,,,0.00375,,,7500000.0,3920000000.0,,,,,-8700000.0,100000.0,-2500000.0,,6800000.0,-2500000.0,,,,,,2200000.0,,,,0.0,,,1600000.0,,,,14800000.0,,,,18800000.0,,2100000.0,16800000.0,32200000.0,,,0.00375,,,,,,3920000000.0,,,,,,6100000.0,181200000.0,39000000.0,,,,,,,,,104100000.0,,104100000.0,3800000.0,,8600000.0,102600000.0,,,,,100000.0,-34200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.946598400,,52200000.0,,,,15800000.0,,20400000.0,,,,15400000.0,,,16000000.0,-11800000.0,,106800000.0,,,27000000.0,,,,47800000.0,,,16000000.0,,,147300000.0,,0.0,,,0.0,,,,,,-5200000.0,,,81900000.0,,,-500000.0,,,,,,,25200000.0,-1000000.0,,,179200000.0,,,,,,11200000.0,,15400000.0,,,,,,15400000.0,6600000.0,,,,,,0.00375,,,8700000.0,4106666667.0,,,,,-10800000.0,,-100000.0,,8100000.0,-8000000.0,,,,,,1600000.0,,,,-100000.0,,,2600000.0,,,,14200000.0,,,,15800000.0,,1900000.0,17300000.0,39800000.0,,,0.00375,,,,,,4106666667.0,,,,,,3400000.0,195200000.0,47900000.0,,,,,,,,,106800000.0,,106800000.0,4600000.0,,8600000.0,104100000.0,,,,,200000.0,-32600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.954460800,,63643754.0,-777923.0,,61344528.0,17799053.0,116599486.0,23384857.0,,,,17944528.0,,,21146349.0,-18931000.0,0.014531,116599486.0,,98812377.0,32031377.0,,-850891.0,,78208914.0,12638802.0,44132324.0,21146349.0,,,159089296.0,-31736746.0,-26872.0,,4202216000.0,,,,-30654142.0,,,6231439.0,21146349.0,-6468561.0,99773031.0,159089296.0,,-750891.0,,,61344528.0,,,,31612377.0,-3828525.0,,99773031.0,198136521.0,35464697.0,406862.0,,98874963.0,-2526872.0,14232324.0,61344528.0,17944528.0,60193574.0,4215295360.0,,26746520.0,,17944528.0,8646520.0,,,8193317.0,219282870.0,,,11256295.0,198136521.0,11256295.0,,21146349.0,17385804.0,,,-12126030.0,,202067.0,,12638802.0,-30654142.0,,,,8593510.0,,1938792.0,,,,-677923.0,71390727.0,47554772.0,9824523.0,116599486.0,,104631377.0,28990727.0,,77884857.0,,20169509.0,,1993317.0,19937845.0,47554772.0,20169509.0,78208914.0,,,,,17724523.0,-6828525.0,,,69537845.0,,,,16864697.0,219282870.0,60193574.0,0.014531,,60499053.0,,-35926030.0,9038792.0,976840.0,203443754.0,116599486.0,-3000000.0,116599486.0,5585804.0,-45731000.0,8593510.0,106800000.0,116599486.0,-2897933.0,,,976840.0,-31736746.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.962323200,,80257833.0,,,,26405448.0,,31680906.0,,-2999970.0,,26831673.0,,,30362619.0,-22064161.0,,105756757.0,,,42295334.0,,,,95586560.0,,,30362619.0,,,169487607.0,,-4731969.0,,,,,,,,,-11431297.0,,,121630806.0,,,-118795.0,,,,,,,37962499.0,-918227.0,,,216665435.0,,,,,,15889886.0,,26831673.0,,,,,,26831673.0,10614428.0,,,,,,0.00625,,,12566158.0,4222545088.0,,,22617.0,,-18147110.0,,-4709352.0,,15840392.0,-33886505.0,,,,,,3403057.0,,,,0.0,,,-10842729.0,,,,20558058.0,,,,29890146.0,,2976832.0,29808505.0,61700055.0,,,0.00625,,,,,,4306042816.0,,,,,,2410948.0,247028054.0,77540447.0,,,,,,,,,105756757.0,,105756757.0,5275458.0,,8593585.0,116599486.0,,,,,472473.0,-35088224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.970272000,,97939050.0,,,,32196346.0,,38788797.0,,,,32781886.0,,,36510352.0,-25165432.0,,116475448.0,,,53057390.0,,,,110025406.0,,,36510352.0,,,182557982.0,,-213083.0,,,,,,,,,4262345.0,,,154412692.0,,,-192068.0,,,,,,,44881660.0,-5172064.0,,,243375529.0,,,,,,20861044.0,,32781886.0,,,,,,32781886.0,14268593.0,,,,,,0.007813,,,13255567.0,4220226176.0,,,0.0,,-22992192.0,,-213083.0,,17956635.0,-30654142.0,,,,,,4292181.0,,,,0.0,,,10718691.0,,,,43444794.0,,,,36465765.0,,3706641.0,36488527.0,79371264.0,,,0.007813,,,,,,4282414208.0,,,,,,20452602.0,279885881.0,97327899.0,,,,,,,,,116475448.0,,116475448.0,6592451.0,,8593585.0,105756757.0,,,,,44587.0,-41160016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.978220800,,114911366.0,,,,38192544.0,,46528636.0,,,,34006836.0,,,33356893.0,-27107000.0,,110891708.0,,,61393674.0,,,,128582177.0,,,33356893.0,,,190300554.0,,-4329835.0,,,,,,,,,-16456338.0,,,184034357.0,,,110863.0,,,,,,,53517692.0,4371348.0,,,271141814.0,,,,,,23201130.0,,34006836.0,,,,,,34006836.0,14865038.0,,,,,,0.008125,,,14306584.0,4198001088.0,,,154324.0,,-25644090.0,,-4175511.0,,16270118.0,-30654142.0,,,,,,97184.0,,,,0.0,,,-5583740.0,,,,28978923.0,,,,33003419.0,,4282892.0,38289728.0,97928035.0,,,0.008125,,,,,,4250294016.0,,,,,,3334833.0,304498707.0,114198153.0,,,,,,,,,110891708.0,,110891708.0,8336092.0,,8593713.0,116475448.0,,,,,353474.0,-43169720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.985996800,,120742261.0,0.0,,131948104.0,40720248.0,124084245.0,50125909.0,21830484.0,0.0,,38327710.0,,7479815.0,30556118.0,-32354793.0,0.030938,124084245.0,,213613744.0,43490368.0,,-769304.0,,172206793.0,13760049.0,62722180.0,30556118.0,,,206744312.0,-41181990.0,-46635.0,,4209360384.0,,,,-52433763.0,,,-3110101.0,30556118.0,-26735391.0,222362067.0,206744312.0,,-569304.0,,,131948104.0,21830484.0,,64942062.0,77251893.0,-2366616.0,,222362067.0,311791701.0,40737573.0,511388.0,64942062.0,116599486.0,-9321522.0,2770120.0,131948104.0,38327710.0,135603507.0,4269743296.0,7479815.0,57640385.0,,38327710.0,17892326.0,,,15071825.0,342347819.0,,,0.0,311791701.0,0.0,,30556118.0,29609662.0,334447.0,,-29992353.0,,287812.0,,13760049.0,-52433763.0,,,,8594106.0,,1712921.0,,,,0.0,137513318.0,119773030.0,13192537.0,124084245.0,,200236766.0,44531543.0,,167124248.0,,1217737.0,,4105459.0,42433169.0,119773030.0,1217737.0,172206793.0,,,,,7484759.0,-4085559.0,,,147019929.0,,,,14539190.0,342347819.0,135603507.0,0.031406,,137514586.0,,-96775745.0,9505343.0,28082.0,413850510.0,124084245.0,-5879755.0,124084245.0,9405661.0,-106691386.0,8594106.0,110891708.0,124084245.0,-8810134.0,,,28082.0,-41181990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.993859200,,130532758.0,,,,42437816.0,,51257746.0,,-2200000.0,,39241359.0,,,34471383.0,-24720151.0,,134180176.0,,,62117790.0,,,,192116614.0,,,34471383.0,,,218561535.0,,-11330620.0,,,,,,,,,1059716.0,,,249966975.0,,,-224804.0,,,,25990088.0,,65784363.0,68414968.0,-1969330.0,,,337913188.0,,,,,,19679974.0,,39241359.0,,,7722149.0,,,39241359.0,18420219.0,,,,,,0.009375,,,13010875.0,4196406400.0,,,88400.0,,-20564403.0,,-11242220.0,,18896626.0,-59346615.0,,,,,,2876099.0,,,,0.0,,,10095931.0,,,,48889878.0,,,,754332.0,,6072556.0,45313915.0,132769999.0,,,0.009375,,,,,,4211803456.0,,,,,,28325475.0,372384571.0,153823036.0,,,,,,,,,134180176.0,,134180176.0,8819930.0,,8594383.0,124084245.0,,,,,4814.0,-42753811.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
