,trailingSaleOfInvestment,annualSaleOfInvestment,quarterlyDilutedEPS,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,quarterlyOperatingCashFlow,trailingInvestingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetIncome,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyCommonStockIssuance,annualDepreciationAndAmortization,annualOtherNonCashItems,quarterlyOtherCurrentLiabilities,trailingPurchaseOfInvestment,annualStockholdersEquity,annualLongTermDebt,quarterlyNetPPE,annualTotalAssets,quarterlyOtherIncomeExpense,annualStockBasedCompensation,annualGoodwill,annualCashFlowFromContinuingFinancingActivities,quarterlyAccountsReceivable,trailingStockBasedCompensation,quarterlyGoodwill,annualCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,annualRetainedEarnings,annualCapitalStock,annualPurchaseOfInvestment,trailingOperatingCashFlow,annualAccountsReceivable,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyCostOfRevenue,quarterlyOperatingExpense,trailingChangeInWorkingCapital,annualCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyOtherIntangibleAssets,annualOtherIntangibleAssets,annualGainsLossesNotAffectingRetainedEarnings,annualOtherIncomeExpense,annualCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,annualNetPPE,trailingGrossProfit,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,trailingNetOtherInvestingChanges,quarterlyCashAndCashEquivalents,annualOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,annualEbitda,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,annualOperatingIncome,annualEndCashPosition,trailingTotalRevenue,trailingEndCashPosition,trailingCashFlowFromContinuingFinancingActivities,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,trailingPretaxIncome,quarterlyPurchaseOfInvestment,trailingChangeInCashSupplementalAsReported,annualGrossPPE,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,quarterlyFreeCashFlow,annualOtherNonCurrentLiabilities,trailingOperatingIncome,quarterlyNetOtherFinancingCharges,annualPretaxIncome,quarterlyTotalNonCurrentAssets,trailingOtherIncomeExpense,annualAccumulatedDepreciation,quarterlyGrossProfit,annualOtherNonCurrentAssets,annualInvestmentsAndAdvances,annualOperatingExpense,quarterlyGrossPPE,trailingSellingGeneralAndAdministration,quarterlyTotalLiabilitiesNetMinorityInterest,annualCapitalExpenditure,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,annualSellingGeneralAndAdministration,quarterlyDilutedAverageShares,trailingNetIncomeContinuousOperations,annualCurrentAssets,quarterlyTotalRevenue,quarterlyOperatingIncome,trailingCapitalExpenditure,trailingBeginningCashPosition,quarterlyChangeInWorkingCapital,annualRepurchaseOfCapitalStock,trailingOperatingExpense,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,annualBasicEPS,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualNetOtherFinancingCharges,quarterlyNetOtherInvestingChanges,trailingInterestExpense,quarterlyStockBasedCompensation,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,annualNetIncomeCommonStockholders,annualBasicAverageShares,annualChangeInCashSupplementalAsReported,quarterlySellingGeneralAndAdministration,quarterlyEbitda,trailingNetIncomeCommonStockholders,annualRepaymentOfDebt,annualTotalRevenue,quarterlyCashDividendsPaid,annualInterestExpense,quarterlyChangeInAccountPayable,quarterlyBasicAverageShares,quarterlyRetainedEarnings,annualFreeCashFlow,annualTotalLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,annualDilutedEPS,trailingFreeCashFlow,quarterlyCurrentLiabilities,trailingCommonStockIssuance,annualTotalNonCurrentAssets,annualGrossProfit,quarterlyStockholdersEquity,quarterlyOtherNonCashItems,annualChangeInWorkingCapital,annualOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,quarterlyPretaxIncome,annualDilutedAverageShares,trailingNetIncome,trailingCashDividendsPaid,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,trailingDepreciationAndAmortization,annualNetIncomeContinuousOperations,quarterlyCapitalExpenditure,annualCostOfRevenue,annualBeginningCashPosition,quarterlyBasicEPS,annualCurrentDebt,trailingOtherNonCashItems,annualNetIncome,annualCashDividendsPaid,annualResearchAndDevelopment,trailingBasicAverageShares,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory,trailingDeferredIncomeTax,trailingRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,trailingTaxProvision,annualNonCurrentDeferredTaxesLiabilities,annualCurrentAccruedExpenses,quarterlyOtherShortTermInvestments,annualInventory,trailingChangeInInventory,trailingChangesInAccountReceivables,trailingPurchaseOfBusiness,trailingDilutedEPS,annualChangesInAccountReceivables,quarterlyPurchaseOfBusiness,annualPurchaseOfBusiness,trailingBasicEPS,trailingResearchAndDevelopment,quarterlyDeferredIncomeTax,quarterlyIncomeTaxPayable,annualChangeInInventory,annualOtherShortTermInvestments,annualNonCurrentDeferredRevenue,annualTaxProvision,annualIncomeTaxPayable,quarterlyCurrentAccruedExpenses,trailingChangeInAccountPayable,quarterlyCurrentDeferredRevenue,quarterlyTaxProvision,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,annualDeferredIncomeTax,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1419984000,,,,,,-1899697000.0,,,,,,,,215808000.0,102336000.0,,,2456601000.0,6564643000.0,,9199653000.0,,24335000.0,,1705277000.0,,,,92034000.0,,,,-74469000.0,,5577000.0,,,,,,557381000.0,,,829000.0,,-5387000.0,285596000.0,,9521000.0,,92034000.0,6651018000.0,6785000.0,,,48451000.0,,181994000.0,,,-28427000.0,285596000.0,,,,,,,,,9521000.0,285596000.0,-45254000.0,,86375000.0,,,-269626000.0,,,-308155000.0,,7369000.0,74469000.0,303985000.0,,,,-60963000.0,,,88177000.0,,,603841000.0,,,,,,,,,,,-0.893234,,,-77349000.0,,,,86375000.0,,-269861000.0,302116760.0,-145969000.0,,,,-2093828000.0,658722000.0,,235812000.0,,,,-12512000.0,6743052000.0,,-0.893234,,,,8595812000.0,275558000.0,,,-24653000.0,0.0,,,,,302116760.0,,,,,,-269626000.0,,383164000.0,431565000.0,,6564643000.0,,-269861000.0,-787598000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451520000,,,,4096000.0,-38539000.0,-859833000.0,1385000.0,,161172000.0,-38542000.0,69606000.0,7725957000.0,201765000.0,250239000.0,93631000.0,101173000.0,,1887031000.0,7725957000.0,6980000.0,9796978000.0,-3210000.0,27924000.0,,651581000.0,8846000.0,,,82817000.0,-1969000.0,,,-118576000.0,,8846000.0,7725957000.0,193045000.0,98723000.0,83685000.0,,246792000.0,63791000.0,0.0,0.0,,-7705000.0,274818000.0,,6980000.0,,82817000.0,7827130000.0,-1097000.0,,274818000.0,197474000.0,274818000.0,361495000.0,276787000.0,,118961000.0,274818000.0,,,,9796978000.0,17612000.0,,0.0,,6980000.0,274818000.0,76820000.0,-8602000.0,101173000.0,,-7562000.0,-162480000.0,9265924000.0,,-543698000.0,117962000.0,4096000.0,193045000.0,329667000.0,6980000.0,,7909947000.0,-51804000.0,,,79428000.0,,,531054000.0,216685000.0,34277000.0,,,-53627000.0,,,0.0,82817000.0,,-0.34,-164526000.0,274818000.0,-51631000.0,26015000.0,,5657000.0,101173000.0,,-104054000.0,302116760.0,-10778000.0,19894000.0,94858000.0,,-2278111000.0,836049000.0,-51134000.0,273736000.0,-55250000.0,,,145670000.0,7909947000.0,531054000.0,-0.34,,82817000.0,,9265924000.0,448628000.0,1887031000.0,21984000.0,-14306000.0,0.0,13901000.0,7827130000.0,,-38539000.0,302116760.0,,,-543698000.0,101173000.0,,-162480000.0,-9987000.0,387421000.0,285596000.0,,7725957000.0,,-160208000.0,-682606000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1459382400,,,-0.033017,,-19167000.0,,77331000.0,,-2519000.0,-9975000.0,70277000.0,,128002000.0,,,,,,,,,30000.0,,,,,,,,-5338000.0,,,,,,,,92360000.0,81062000.0,,,65702000.0,,,,,,,,,,,,,,,,,274818000.0,,,,,,,,-9975000.0,,,,,,,66658000.0,,,-164000.0,,,,,132142000.0,,,,,,,,,0.0,,302116760.0,,,224502000.0,51080000.0,,,8646000.0,,,,,,,-80150000.0,269480000.0,,-9493000.0,,4206000.0,,,,,,15360000.0,116812000.0,,,,,,13493000.0,302116760.0,,,,,,,,,,,,17944000.0,,,-141633000.0,,,-19167000.0,,,,,,,,-10673000.0,,,-0.033017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467244800,,,-0.065094,,-20686000.0,,78794000.0,,77579000.0,-19666000.0,70523000.0,,10000000.0,,,,,,,,,-361000.0,,,,,,,,30074000.0,,,,,,,,98811000.0,81487000.0,,,66079000.0,,,,,,,,,,,,,,,,,269480000.0,,,,,,,,-19666000.0,,,,,,,65649000.0,,,-8505000.0,,,,,131685000.0,,,,,,,,,0.0,,302116760.0,,,230496000.0,50198000.0,,,9486000.0,,,,,,,-126299000.0,299554000.0,,-646000.0,,4106000.0,,,,,,15408000.0,115916000.0,,,,,,17483000.0,302116760.0,,,,,,,,,,,,19290000.0,,,-96661000.0,,,-20686000.0,,,,,,,,-13145000.0,,,-0.065094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1475193600,,,-0.072651,292109000.0,-24915000.0,,91584000.0,,-24662000.0,-21949000.0,68365000.0,7680956000.0,0.0,,,106173000.0,,,,9073754000.0,,-2336000.0,,,,,,,,-25414000.0,,,,,,7680956000.0,209290000.0,101961000.0,85291000.0,,,66480000.0,,,,,,,,,,,,,274140000.0,,274140000.0,,299554000.0,,,,,,,9910433000.0,-21949000.0,,0.0,,,,,76275000.0,,,-105000.0,,9359184000.0,,,131077000.0,,,,9800929000.0,,7923967000.0,,,,,302116760.0,,,233038000.0,45786000.0,,,29486000.0,,,0.0,136838000.0,,,-92336000.0,274140000.0,,-35901000.0,,4711000.0,,,,,,18811000.0,109930000.0,,,,0.0,,23569000.0,302116760.0,,,,551249000.0,,,136838000.0,,,,1986466000.0,15665000.0,,,-25218000.0,7787129000.0,,-24915000.0,,,,-727175000.0,106173000.0,,,-15309000.0,,,-0.072651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1483142400,,,,6522000.0,-32061000.0,-255037000.0,2417000.0,,-122186000.0,-26649000.0,76883000.0,7570279000.0,0.0,267681000.0,64485000.0,0.0,,1957423000.0,7570279000.0,6247000.0,9732351000.0,-3098000.0,10210000.0,,-71788000.0,11604000.0,,,88052000.0,-76021000.0,,,-16036000.0,,11604000.0,7570279000.0,209337000.0,97688000.0,88943000.0,,138002000.0,69420000.0,,,,-5765000.0,198119000.0,,6247000.0,,88052000.0,7686876000.0,6936000.0,,198119000.0,250126000.0,198119000.0,456900000.0,274140000.0,,194984000.0,198119000.0,,,,9732351000.0,-64174000.0,,0.0,,6247000.0,198119000.0,8728000.0,-8249000.0,116597000.0,,-4439000.0,-96829000.0,9232331000.0,,-792330000.0,136863000.0,6522000.0,209337000.0,336783000.0,6247000.0,,7774928000.0,-49793000.0,,,69102000.0,,,500020000.0,234551000.0,47920000.0,,,-53889000.0,,,0.0,88052000.0,,-0.258969,43748000.0,198119000.0,-13213000.0,54768000.0,,-2813000.0,0.0,,-78239000.0,302116760.0,-76699000.0,19523000.0,114242000.0,,-381123000.0,922587000.0,-136000.0,286048000.0,-47609000.0,,,200333000.0,7774928000.0,500020000.0,-0.258969,,88052000.0,,9232331000.0,531767000.0,1957423000.0,11586000.0,-6271000.0,0.0,-117611000.0,7686876000.0,,-32061000.0,302116760.0,,,-792330000.0,116597000.0,,-96829000.0,-10666000.0,390820000.0,274818000.0,,7570279000.0,,-78239000.0,-136000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490918400,,,-0.136579,4530000.0,-56712000.0,,70861000.0,,-188064000.0,-42391000.0,68572000.0,5714391000.0,1692058000.0,,,114381000.0,,,,5612000.0,,-1430000.0,,,,11781000.0,,,,-5669000.0,,,,,,5714391000.0,209386000.0,99617000.0,125843000.0,,,67577000.0,,,,,,3104000.0,,,,,,,192450000.0,,192450000.0,,198119000.0,,,,,,,9588161000.0,-42391000.0,,,,,,,59791000.0,,,-26913000.0,,9168808000.0,,,139133000.0,,,,5612000.0,,5930119000.0,,,-1153000.0,,311948259.0,,,238750000.0,13290000.0,,,-3221000.0,,,0.0,101347000.0,13272000.0,,111534000.0,192450000.0,,83620000.0,,44244000.0,,,,,,58266000.0,79437000.0,,,,,,16207000.0,310376634.0,-25512000.0,,,419353000.0,,,101347000.0,,,,3658042000.0,14184000.0,,,-3352056000.0,5828772000.0,,-56712000.0,,,,-853399000.0,114381000.0,,,-11070000.0,,,-0.136579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498780800,,,0.02,4642000.0,-4633000.0,,96365000.0,,-92846000.0,5529000.0,57358000.0,5645195000.0,0.0,,,119241000.0,,,,6001000.0,,-1575000.0,,,,9847000.0,,,,-33516000.0,,,,,,5645195000.0,230498000.0,101975000.0,85941000.0,,,67515000.0,,,,,,3104000.0,,,,,,,158934000.0,,158934000.0,,192450000.0,,,,,,,9519326000.0,5420000.0,,,,,,,84808000.0,,,-17909000.0,,9175672000.0,,,140241000.0,,,,6001000.0,,5875355000.0,,,0.0,,312271578.0,,,242216000.0,54300000.0,,,17533000.0,,,0.0,110919000.0,4572000.0,,-37035000.0,158934000.0,,2929000.0,,8216000.0,,,,,,18426000.0,120240000.0,,,,,,7847000.0,311771221.0,-38799000.0,,,343654000.0,,,110919000.0,,,,3643971000.0,7589000.0,,,-1052541000.0,5764436000.0,,-4633000.0,,,,-917961000.0,119241000.0,,,-11557000.0,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506729600,,,-0.073004,315059000.0,-26266000.0,,100041000.0,,-38606000.0,-22510000.0,56796000.0,5644275000.0,0.0,,,117562000.0,,,,6522000.0,,-13959000.0,,,,11986000.0,,,,-24493000.0,,,,,,5644275000.0,230619000.0,104119000.0,94928000.0,,,67466000.0,,,,,,3114000.0,,,,,,,134441000.0,,134441000.0,,158934000.0,,,,,,,9524524000.0,-22745000.0,,0.0,,,,,85849000.0,,,-9906000.0,,9236302000.0,,,139417000.0,,,,6522000.0,,5922511000.0,,0.0,0.0,,311559780.0,,,243536000.0,44489000.0,,,40902000.0,,,0.0,160674000.0,8167000.0,,-85928000.0,134441000.0,,-17214000.0,,12004000.0,,,,,,27462000.0,97996000.0,,,,-25090000.0,,47363000.0,311559780.0,-86450000.0,,,288222000.0,,,160674000.0,,,,3602013000.0,5321000.0,,,-3610000.0,5761837000.0,,-26266000.0,,,,-982463000.0,117562000.0,,,-14192000.0,,,-0.073004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
