,timestamp,quarterlyNonCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyChangeInAccountPayable,trailingNetIncomeContinuousOperations,quarterlyAccountsPayable,annualRepurchaseOfCapitalStock,quarterlyGrossProfit,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,annualCashAndCashEquivalents,trailingSellingGeneralAndAdministration,annualOperatingExpense,annualOtherNonCurrentAssets,annualNetIncomeContinuousOperations,trailingNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyGrossPPE,annualCapitalExpenditure,annualCurrentAccruedExpenses,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingOperatingExpense,quarterlyOperatingIncome,quarterlyDeferredIncomeTax,quarterlyChangeInInventory,trailingBeginningCashPosition,trailingInterestExpense,annualTaxProvision,annualChangesInAccountReceivables,quarterlySellingGeneralAndAdministration,trailingResearchAndDevelopment,annualCurrentAssets,annualTotalRevenue,annualChangeInCashSupplementalAsReported,annualResearchAndDevelopment,trailingDeferredIncomeTax,quarterlyOtherNonCashItems,trailingChangeInAccountPayable,annualNetIncomeCommonStockholders,quarterlyStockBasedCompensation,annualChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyEbitda,quarterlyBasicAverageShares,annualDeferredIncomeTax,trailingRepurchaseOfCapitalStock,annualNetOtherFinancingCharges,annualInterestExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualCommonStockIssuance,trailingChangesInAccountReceivables,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyStockholdersEquity,annualGrossProfit,trailingNetIncomeCommonStockholders,annualTotalNonCurrentAssets,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,trailingFreeCashFlow,quarterlyGoodwill,trailingNetIncome,quarterlyPurchaseOfBusiness,trailingCostOfRevenue,quarterlyNetOtherInvestingChanges,quarterlyPretaxIncome,quarterlyCurrentLiabilities,quarterlyCurrentAssets,annualTotalAssets,quarterlyRepaymentOfDebt,annualCurrentDebt,quarterlyAccumulatedDepreciation,annualCurrentDeferredRevenue,annualLongTermDebt,quarterlyOtherCurrentAssets,annualNetIncome,annualBeginningCashPosition,trailingTaxProvision,annualOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedEPS,annualCostOfRevenue,annualFreeCashFlow,annualBasicAverageShares,quarterlyInvestmentsAndAdvances,quarterlyDilutedAverageShares,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,trailingPurchaseOfBusiness,quarterlyResearchAndDevelopment,trailingOtherNonCashItems,annualBasicEPS,annualOtherNonCashItems,quarterlyCapitalExpenditure,annualPurchaseOfBusiness,trailingDepreciationAndAmortization,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyNetIncomeContinuousOperations,trailingStockBasedCompensation,annualDepreciationAndAmortization,quarterlyNetIncome,quarterlyOperatingCashFlow,annualInvestingCashFlow,quarterlyNetPPE,trailingSaleOfInvestment,annualChangeInInventory,annualStockholdersEquity,annualCashFlowFromContinuingFinancingActivities,annualInventory,quarterlyTaxProvision,annualPurchaseOfInvestment,trailingOperatingCashFlow,quarterlyOtherIncomeExpense,annualAccountsReceivable,annualRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,annualOperatingCashFlow,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyCurrentAccruedExpenses,trailingGrossProfit,quarterlyCostOfRevenue,trailingChangeInInventory,quarterlyAccountsReceivable,annualCurrentLiabilities,quarterlyOperatingExpense,annualOtherIntangibleAssets,annualCapitalStock,quarterlyInventory,annualStockBasedCompensation,annualSaleOfInvestment,annualGoodwill,trailingRepaymentOfDebt,quarterlyCapitalStock,trailingChangeInWorkingCapital,quarterlyBeginningCashPosition,quarterlyBasicEPS,quarterlyDepreciationAndAmortization,quarterlyFreeCashFlow,annualGainsLossesNotAffectingRetainedEarnings,annualNetPPE,annualEbitda,annualRepaymentOfDebt,trailingChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,annualDilutedAverageShares,annualOperatingIncome,annualNetOtherInvestingChanges,annualOtherIncomeExpense,annualCashCashEquivalentsAndMarketableSecurities,trailingTotalRevenue,annualDilutedEPS,annualEndCashPosition,annualNonCurrentDeferredRevenue,trailingPretaxIncome,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingCashFlowFromContinuingFinancingActivities,trailingCapitalExpenditure,annualAccountsPayable,quarterlyCashAndCashEquivalents,annualGrossPPE,quarterlySaleOfInvestment,quarterlyPurchaseOfInvestment,trailingInvestingCashFlow,quarterlyChangesInAccountReceivables,trailingOtherIncomeExpense,annualOtherNonCurrentLiabilities,quarterlyOtherIntangibleAssets,trailingEndCashPosition,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,annualIncomeTaxPayable,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,annualPretaxIncome,annualInvestmentsAndAdvances,trailingBasicAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,annualNonCurrentDeferredTaxesLiabilities,trailingCashDividendsPaid,annualCashDividendsPaid,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingBasicEPS,trailingCommonStockIssuance,quarterlyCashDividendsPaid,annualOtherShortTermInvestments,trailingPurchaseOfInvestment,trailingDilutedAverageShares
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1320019200,,,,,,,,,,806000000.0,,,1187000000.0,,787000000.0,,,,,-95000000.0,,,,,,,,,-38000000.0,-6000000.0,,,,3316000000.0,0.0,381000000.0,,,,787000000.0,,-10000000.0,,,,,8000000.0,,-663000000.0,,,,,,,,,,1924000000.0,,,-158000000.0,,,,,,,,,,,,,,,,,,787000000.0,0.0,,,,,1392000000.0,656000000.0,166816116.0,,,,,,,,4.71777,18000000.0,,-3000000.0,,,,,,,,56000000.0,,,-88000000.0,,,-74000000.0,,-663000000.0,,,0.0,,,,,,,751000000.0,,,,,,,,,,,,,36000000.0,5000000.0,,,,,,,,,,,793000000.0,,,,166816116.0,737000000.0,0.0,12000000.0,,,4.71777,0.0,,,,,,,,,,,,,,,,,,,,,,749000000.0,,,,,,,,,,,,,,
2,1351641600,,,,,,,,,-763000000.0,771000000.0,0.0,,1148000000.0,18000000.0,841000000.0,,,,,-103000000.0,38000000.0,,,,,,,,-95000000.0,-3000000.0,,,993000000.0,3315000000.0,0.0,377000000.0,,,,841000000.0,,-23000000.0,,233000000.0,,,-118000000.0,,-552000000.0,0.0,,,,,,828000000.0,,,1881000000.0,,1140000000.0,-117000000.0,,,,,,,,,,,2133000000.0,,,,200000000.0,,,841000000.0,0.0,,59000000.0,,,1434000000.0,621000000.0,166816116.0,,,,,,,,5.041479,15000000.0,,-69000000.0,,,,,,,,65000000.0,,,-172000000.0,,,-46000000.0,1305000000.0,-552000000.0,472000000.0,,0.0,,,392000000.0,,,,724000000.0,,,,,,,,595000000.0,,28000000.0,,,38000000.0,,467000000.0,,,,,,,,101000000.0,493000000.0,811000000.0,0.0,,0.0,166816116.0,733000000.0,0.0,13000000.0,0.0,,5.041479,0.0,122000000.0,,,,,156000000.0,,1256000000.0,,,,,,111000000.0,,,,,,,,746000000.0,26000000.0,,,,,,,,,,,,,
3,1359590400,,,14000000.0,-8000000.0,,,,411000000.0,,,,,,,,,,722000000.0,,,,,,118000000.0,1000000.0,-24000000.0,,,,,196000000.0,,,,,,,5000000.0,,,15000000.0,,,,137000000.0,166816116.0,,,,,0.0,-37000000.0,,,,,,,,,,,,,,,,,0.0,118000000.0,,,,,,,,,,,,,,,0.659409,,,,,166816116.0,,-127000000.0,,97000000.0,,,,-22000000.0,,,,,-127000000.0,,110000000.0,,,110000000.0,164000000.0,,,,,,,,8000000.0,,,0.0,,,0.0,,,,,,,311000000.0,,,,293000000.0,,,,,,,,,,0.0,0.659409,19000000.0,142000000.0,,,,,,,,,,,,,,,,,,,,,,,,-15000000.0,,61000000.0,,,,,,,,110000000.0,,,,,,,,,,,,,,,,
4,1367280000,,,-7000000.0,7000000.0,,,,426000000.0,,,,,,,,,,760000000.0,,,,,,129000000.0,4000000.0,-7000000.0,,,,,198000000.0,,,,,,,5000000.0,,,9000000.0,,,,148000000.0,,,,,,0.0,-16000000.0,,,,,,,,,,,,,,,,,0.0,134000000.0,,,,,,,,,,,,,,,,,,,,,,-136000000.0,,99000000.0,,,,-16000000.0,,,,,-136000000.0,,121000000.0,,,121000000.0,152000000.0,,,,,,,,13000000.0,,,5000000.0,,,0.0,,,,,,,334000000.0,,,,297000000.0,,,,,,,,,,0.0,,19000000.0,136000000.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,-37000000.0,,,,,,,,121000000.0,,,,,,,,,,,,,,,,
5,1375228800,,,-35000000.0,-20000000.0,,,,391000000.0,,,,,,,,,,701000000.0,,,,,,121000000.0,5000000.0,-18000000.0,,,,,179000000.0,,,,,,,6000000.0,,,9000000.0,,,,140000000.0,,,,,,0.0,-22000000.0,,,,,,,,,,,,,,,,,-1000000.0,122000000.0,,,,,,,,,,,,,,,,,,,,,,-93000000.0,,91000000.0,,,,-21000000.0,,,,,-93000000.0,,111000000.0,,,111000000.0,115000000.0,,,,,,,,11000000.0,,,1000000.0,,,0.0,,,,,,,310000000.0,,,,270000000.0,,,,,,,,,,0.0,,19000000.0,94000000.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,20000000.0,,,,,,,,111000000.0,,,,,,,,,,,,,,,,
6,1383177600,94000000.0,783000000.0,-18000000.0,-3000000.0,,131000000.0,,395000000.0,-766000000.0,752000000.0,0.0,,1127000000.0,16000000.0,457000000.0,,,705000000.0,1235000000.0,-69000000.0,42000000.0,31000000.0,,128000000.0,4000000.0,-4000000.0,,,44000000.0,44000000.0,179000000.0,,972000000.0,2888000000.0,0.0,375000000.0,,6000000.0,,457000000.0,8000000.0,-24000000.0,,223000000.0,148000000.0,,14000000.0,,-481000000.0,,0.0,-10000000.0,,,223000000.0,783000000.0,,1245000000.0,1623000000.0,,1056000000.0,-46000000.0,,,419000000.0,,0.0,,0.0,127000000.0,560000000.0,972000000.0,2028000000.0,,,-766000000.0,190000000.0,,65000000.0,457000000.0,0.0,,65000000.0,129000000.0,,1265000000.0,497000000.0,166816116.0,44000000.0,,16000000.0,-125000000.0,,88000000.0,,2.739543,22000000.0,-10000000.0,-1000000.0,,,,-125000000.0,,115000000.0,,77000000.0,115000000.0,135000000.0,-85000000.0,469000000.0,,-53000000.0,1245000000.0,-481000000.0,502000000.0,12000000.0,-15000000.0,,-1000000.0,340000000.0,,0.0,0.0,566000000.0,190000000.0,,42000000.0,,310000000.0,,340000000.0,560000000.0,267000000.0,20000000.0,,502000000.0,41000000.0,0.0,419000000.0,,,,0.0,,20000000.0,125000000.0,31000000.0,469000000.0,573000000.0,,,0.0,166816116.0,496000000.0,0.0,5000000.0,0.0,,2.739543,0.0,94000000.0,,0.0,,,131000000.0,0.0,1235000000.0,,0.0,,0.0,,129000000.0,20000000.0,,2028000000.0,1056000000.0,,115000000.0,,501000000.0,44000000.0,,,,,,,,,,,,,
7,1391126400,85000000.0,733000000.0,-8000000.0,-1000000.0,,130000000.0,,372000000.0,,,,,,,,,,671000000.0,,,,17000000.0,,91000000.0,27000000.0,-18000000.0,,,,,191000000.0,,,,,,,6000000.0,,,17000000.0,,,,110000000.0,166816116.0,,,,,0.0,-11000000.0,,,197000000.0,,,1199000000.0,,,,,,,410000000.0,,,,0.0,92000000.0,536000000.0,925000000.0,,,,,,,58000000.0,,,,,112000000.0,0.443602,,,,40000000.0,166816116.0,16000000.0,-124000000.0,,90000000.0,,,,-11000000.0,,,,,-124000000.0,,74000000.0,,,74000000.0,135000000.0,,458000000.0,,,,,,18000000.0,,,1000000.0,,,0.0,0.0,,202000000.0,,41000000.0,,299000000.0,,289000000.0,,281000000.0,,,514000000.0,,,,,,,0.0,0.443602,19000000.0,124000000.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,49000000.0,,,18000000.0,,1932000000.0,1007000000.0,,74000000.0,,,,,,,,,,,,,,,,
8,1398816000,80000000.0,801000000.0,-13000000.0,27000000.0,,157000000.0,,415000000.0,,,,,,,,,,743000000.0,,,,20000000.0,,127000000.0,6000000.0,-13000000.0,,,,,199000000.0,,,,,,,8000000.0,,,9000000.0,,,,148000000.0,166816116.0,,,,,0.0,-23000000.0,,,191000000.0,,,1209000000.0,,,,,,,411000000.0,,,,0.0,128000000.0,610000000.0,997000000.0,,,,,,,82000000.0,,,,,111000000.0,0.659409,,,,50000000.0,166816116.0,16000000.0,-117000000.0,,89000000.0,,,,-23000000.0,,,0.0,,-117000000.0,,110000000.0,,,110000000.0,140000000.0,,462000000.0,,,,,,18000000.0,,,1000000.0,,,0.0,0.0,,195000000.0,,44000000.0,,328000000.0,,335000000.0,,288000000.0,,,518000000.0,,,,,,,0.0,0.659409,20000000.0,117000000.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,-44000000.0,,,16000000.0,,2010000000.0,1013000000.0,,110000000.0,,,,,,,,,,,,,,,,
9,1406764800,76000000.0,738000000.0,-66000000.0,-45000000.0,,112000000.0,,414000000.0,,,,,,,,,,757000000.0,,,,23000000.0,,121000000.0,6000000.0,-9000000.0,,,,,202000000.0,,,,,,,11000000.0,,,9000000.0,,,,142000000.0,166816116.0,,,,,0.0,-18000000.0,,,187000000.0,,,1261000000.0,,,,,,,405000000.0,,,,0.0,122000000.0,551000000.0,989000000.0,,,,,,,93000000.0,,,,,111000000.0,0.641425,,,,60000000.0,166816116.0,18000000.0,-69000000.0,,91000000.0,,,,-18000000.0,,,0.0,,-69000000.0,,107000000.0,,,107000000.0,87000000.0,,462000000.0,,,,,,15000000.0,,,1000000.0,,,0.0,0.0,,185000000.0,,45000000.0,,343000000.0,,319000000.0,,293000000.0,,,516000000.0,,,,,,,0.0,0.641425,20000000.0,69000000.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,15000000.0,,,15000000.0,,1999000000.0,1011000000.0,,107000000.0,,,,,,,,,,,,,,,,
