,annualTaxProvision,quarterlyInvestingCashFlow,annualEndCashPosition,quarterlyEndCashPosition,annualCurrentDebt,quarterlyNetIncomeCommonStockholders,trailingCostOfRevenue,trailingTotalRevenue,annualOtherCurrentAssets,annualTotalRevenue,quarterlyBasicEPS,annualCostOfRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,quarterlyPurchaseOfInvestment,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,annualAccountsPayable,trailingOperatingIncome,annualNetOtherFinancingCharges,quarterlyEbitda,quarterlyCashDividendsPaid,annualOtherShortTermInvestments,trailingTaxProvision,trailingEndCashPosition,quarterlyDepreciationAndAmortization,annualInvestmentsAndAdvances,annualTotalLiabilitiesNetMinorityInterest,quarterlyDeferredIncomeTax,quarterlyTotalLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,quarterlyChangeInWorkingCapital,annualFreeCashFlow,annualOtherNonCurrentAssets,trailingNetIncomeContinuousOperations,annualChangeInWorkingCapital,trailingSellingGeneralAndAdministration,annualOperatingExpense,annualGainsLossesNotAffectingRetainedEarnings,quarterlyFreeCashFlow,quarterlyRetainedEarnings,annualRepurchaseOfCapitalStock,trailingOperatingExpense,annualNetOtherInvestingChanges,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,quarterlyOperatingIncome,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyIncomeTaxPayable,trailingFreeCashFlow,quarterlyTotalRevenue,quarterlyOtherCurrentAssets,quarterlyDilutedAverageShares,annualNetIncome,annualTotalAssets,annualLongTermDebt,annualBeginningCashPosition,annualCashDividendsPaid,annualBasicEPS,quarterlyLongTermDebt,annualAccountsReceivable,annualCurrentAssets,quarterlyCostOfRevenue,trailingNetOtherInvestingChanges,quarterlyOtherNonCurrentLiabilities,annualNetIncomeCommonStockholders,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,annualSaleOfInvestment,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingRepurchaseOfCapitalStock,annualCommonStockIssuance,annualSellingGeneralAndAdministration,annualStockholdersEquity,annualOtherNonCashItems,quarterlyOperatingExpense,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,annualDepreciationAndAmortization,trailingNetIncomeCommonStockholders,quarterlyNetOtherInvestingChanges,annualRetainedEarnings,annualCurrentAccruedExpenses,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyNetIncomeContinuousOperations,trailingSaleOfInvestment,quarterlyGoodwill,trailingCommonStockIssuance,annualCashFlowFromContinuingFinancingActivities,annualInventory,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,annualStockBasedCompensation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyNetPPE,annualCapitalStock,quarterlyTaxProvision,quarterlyOtherIncomeExpense,trailingOperatingCashFlow,trailingOtherIncomeExpense,annualOperatingCashFlow,quarterlyCommonStockIssuance,trailingDepreciationAndAmortization,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,annualNetPPE,quarterlyCashAndCashEquivalents,annualCurrentLiabilities,annualTotalNonCurrentAssets,annualGrossProfit,annualOtherIntangibleAssets,quarterlyInterestExpense,trailingCashFlowFromContinuingFinancingActivities,annualDilutedAverageShares,annualNonCurrentDeferredTaxesLiabilities,annualIncomeTaxPayable,trailingPurchaseOfBusiness,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyPretaxIncome,annualEbitda,annualOtherNonCurrentLiabilities,quarterlyNetOtherFinancingCharges,annualDilutedEPS,trailingOtherNonCashItems,annualPurchaseOfBusiness,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,annualBasicAverageShares,quarterlyCashFlowFromContinuingFinancingActivities,annualChangeInInventory,quarterlyDilutedEPS,annualCashCashEquivalentsAndMarketableSecurities,trailingPretaxIncome,trailingCashDividendsPaid,trailingInterestExpense,trailingBeginningCashPosition,trailingNetIncome,annualPretaxIncome,annualGoodwill,annualInterestExpense,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherCurrentLiabilities,annualChangesInAccountReceivables,annualPurchaseOfInvestment,trailingPurchaseOfInvestment,trailingCapitalExpenditure,quarterlyOtherShortTermInvestments,trailingChangeInCashSupplementalAsReported,annualGrossPPE,trailingInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,annualDeferredIncomeTax,quarterlySaleOfInvestment,quarterlyAccountsPayable,quarterlyCapitalStock,annualRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBasicAverageShares,trailingChangeInWorkingCapital,quarterlyBeginningCashPosition,annualOperatingIncome,annualOtherIncomeExpense,trailingRepaymentOfDebt,trailingDeferredIncomeTax,annualCapitalExpenditure,trailingGrossProfit,annualChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,trailingStockBasedCompensation,trailingNetOtherFinancingCharges,annualInvestingCashFlow,trailingBasicAverageShares,quarterlyChangesInAccountReceivables,annualResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue,annualNonCurrentDeferredRevenue,trailingBasicEPS,trailingDilutedEPS,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,annualCurrentDeferredRevenue,trailingChangesInAccountReceivables,trailingChangeInInventory,trailingChangeInAccountPayable,quarterlyCurrentDeferredRevenue,trailingResearchAndDevelopment,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315446400,322100000.0,,0.0,,108200000.0,,,,52300000.0,4961400000.0,,2681100000.0,135200000.0,,,,,,,,,,,,,,,1019400000.0,,,-717200000.0,,0.0,207000000.0,,,,1560900000.0,,,,,,,420100000.0,148600000.0,,,,,,,,,,420100000.0,2938100000.0,31000000.0,0.0,,0.075,,,1305600000.0,,,,420100000.0,,,,,,,1448000000.0,1918700000.0,,,,,,,,1759400000.0,,,,,,,,,,669600000.0,,,,,,,,,,,,0.0,,,,,1284200000.0,,884200000.0,1632500000.0,2280300000.0,141300000.0,,,5601333333.0,104200000.0,,,,,,,832300000.0,0.0,,0.075,,,,,5601333333.0,,,,148600000.0,,,,,,742200000.0,,10700000.0,,,,,,,,,,2001400000.0,,,,,,,,,,,,,719400000.0,33500000.0,,,,,,776000000.0,,,0.0,,,,,,,,,,,,,,,,,
347068800,330400000.0,,0.0,,95100000.0,,,,57900000.0,5620700000.0,,3066700000.0,269700000.0,,,,,,,,,,,,,,,1331300000.0,,,-790700000.0,,0.0,302200000.0,,,,1812900000.0,,,,,,,406300000.0,231100000.0,,,,,,,,,,406300000.0,3406000000.0,133200000.0,0.0,,0.07,,,1622300000.0,,,,406300000.0,,,,,,,1681900000.0,2074700000.0,,,,,,,,1914500000.0,,,,,,,,,,810200000.0,,,,,,,,,,,,0.0,,,,,1340800000.0,,1061600000.0,1783700000.0,2554000000.0,140700000.0,,,5804285714.0,136400000.0,,,,,,,872100000.0,100000.0,,0.07,,,,,5804285714.0,,,,231100000.0,,,,,,736700000.0,,35100000.0,,,,,,,,,,2131500000.0,,,,,,,,,,,,,741100000.0,30700000.0,,,,,,966500000.0,,,0.0,,,,,,,,,,,,,,,,,
378604800,360200000.0,,0.0,,95200000.0,,,,62500000.0,5889000000.0,,3170700000.0,287600000.0,,,,,,,,,,,,,,,1294000000.0,,,-834700000.0,,0.0,387400000.0,,,,1919800000.0,,,,,,,447100000.0,339500000.0,,,,,,,,,,447100000.0,3564800000.0,137300000.0,0.0,,0.08,,,1636200000.0,,,,447100000.0,,,,,,,1782900000.0,2270800000.0,,,,,,,,2109500000.0,,,,,,,,,,750700000.0,,,,,,,,,,,,0.0,,,,,1409500000.0,,1006400000.0,1928600000.0,2718300000.0,131700000.0,,,5588750000.0,150400000.0,,,,,,,935400000.0,-100000.0,,0.08,,,,,5588750000.0,,,,339500000.0,,,,,,807300000.0,,38300000.0,,,,,,,,,,2244200000.0,,,,,,,,,,,,,798500000.0,47000000.0,,,,,,911200000.0,,,0.0,,,,,,,,,,,,,,,,,
410140800,415100000.0,,0.0,,121200000.0,,,,255100000.0,6021100000.0,,3113700000.0,817800000.0,,,,,,,,,,,,,,,2144600000.0,,,-907300000.0,,0.0,674700000.0,,,,2027600000.0,,,,,,,503000000.0,260900000.0,,,,,,,,,,512300000.0,4923300000.0,462300000.0,0.0,,0.09,,,2076600000.0,,,,512300000.0,,,,,,,1830500000.0,2778700000.0,,,,,,,,2300200000.0,,,,,,,,,,808800000.0,,,,,,,,,,,,0.0,,,,,1538600000.0,,1326800000.0,2846700000.0,2907400000.0,633400000.0,,,5692222222.0,165100000.0,,,,,,,1076900000.0,190400000.0,,0.09,,,,,5692222222.0,,,,260900000.0,,,,,,918100000.0,,74600000.0,,,,,,,,,,2445900000.0,,,,,,,,,,,,,879800000.0,112900000.0,,,,,,1205600000.0,,,0.0,,,,,,,,,,,,,,,,,
441676800,442100000.0,,0.0,,106700000.0,,,,195000000.0,6829000000.0,,3545500000.0,915900000.0,,,,,,,,,,,,,,,2307000000.0,,,-940700000.0,,0.0,735300000.0,,,,2290900000.0,,,,,,,558300000.0,611500000.0,,,,,,,,,,558800000.0,5227800000.0,513200000.0,0.0,,0.09,,,2330300000.0,,,,558800000.0,,,,,,,2063600000.0,2920800000.0,,,,,,,,2494200000.0,,,,,,,,,,744100000.0,,,,,,,,,,,,0.0,,,,,1560800000.0,,1391100000.0,2897500000.0,3283500000.0,601400000.0,,,6208888889.0,176600000.0,,,,,,,1219900000.0,226100000.0,,0.09,,,,,6208888889.0,,,,611500000.0,,,,,,1000400000.0,,72700000.0,,,,,,,,,,2501500000.0,,,,,,,,,,,,,992600000.0,80400000.0,,,,,,1284400000.0,,,0.0,,,,,,,,,,,,,,,,,
449539200,,,,,,,,,,,0.025,,,,,,,,,,1579900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,1579900000.0,,,,,,1579900000.0,,6362768000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6362768000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457401600,,,,,,,,,,,0.03,,,,,,,,,,1926300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,1926300000.0,,,,,,1926300000.0,,6362768000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6362768000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465350400,,,,,,,,,,,0.03,,,,,,,,,,2074100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,2074100000.0,,,,,,2074100000.0,,6362768000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6362768000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473299200,439200000.0,,0.0,,622500000.0,,,,241400000.0,7364000000.0,,3690100000.0,1157200000.0,,,,,,,,-4522800000.0,,,,,,,3180000000.0,,3180000000.0,-1009700000.0,,0.0,1084200000.0,,,,2616400000.0,,,2758900000.0,,,,628800000.0,782100000.0,-4522800000.0,2022800000.0,2632300000.0,2635900000.0,,,1783700000.0,241400000.0,,628800000.0,5958100000.0,740000000.0,0.0,,0.1,740000000.0,,2635900000.0,,,175200000.0,628800000.0,,,,1157200000.0,,,2313600000.0,2778100000.0,,,,,,,,2758900000.0,,,,2778100000.0,130400000.0,,,,,740100000.0,,-1009700000.0,,242000000.0,740100000.0,1622600000.0,,,,,,0.0,,,782100000.0,622500000.0,1622600000.0,782100000.0,2022800000.0,3322200000.0,3673900000.0,615400000.0,,,6288000000.0,242000000.0,,,,615400000.0,1084200000.0,,1360300000.0,175200000.0,,0.1,,,,,6288000000.0,,,,782100000.0,,,,,,1068000000.0,,123800000.0,5958100000.0,3322200000.0,1400300000.0,,,,,,,2632300000.0,,,,,,,,,,,,,1057500000.0,134300000.0,,,,,,1400300000.0,,,0.0,,,,,,,,,,,,,,,,,
