date,trailingCashFlowFromContinuingFinancingActivities,quarterlyTaxProvision,quarterlyNetPPE,annualInventory,annualCashFlowFromContinuingFinancingActivities,annualChangeInInventory,quarterlyInventory,quarterlyOtherIncomeExpense,annualCurrentLiabilities,trailingChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,trailingDepreciationAndAmortization,annualCapitalStock,quarterlyCurrentDebt,annualBasicEPS,quarterlyCurrentDeferredRevenue,quarterlyInterestExpense,trailingOtherIncomeExpense,annualPurchaseOfBusiness,trailingOtherNonCashItems,trailingOperatingCashFlow,quarterlyOperatingExpense,quarterlyNetOtherFinancingCharges,quarterlyDilutedAverageShares,annualStockBasedCompensation,quarterlyOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualSaleOfInvestment,annualOtherIntangibleAssets,annualNetPPE,quarterlyOperatingCashFlow,annualGrossProfit,annualEbitda,quarterlyCashFlowFromContinuingFinancingActivities,annualOperatingCashFlow,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyBasicEPS,trailingPurchaseOfBusiness,trailingCashDividendsPaid,quarterlyPretaxIncome,annualNonCurrentDeferredTaxesLiabilities,quarterlyPurchaseOfBusiness,annualGoodwill,trailingPretaxIncome,annualOtherCurrentLiabilities,trailingChangeInCashSupplementalAsReported,annualNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,annualGrossPPE,annualDilutedEPS,quarterlyFreeCashFlow,quarterlyChangeInCashSupplementalAsReported,annualOtherNonCurrentLiabilities,annualPurchaseOfInvestment,quarterlySaleOfInvestment,trailingChangeInWorkingCapital,annualPretaxIncome,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,trailingChangesInAccountReceivables,annualInterestExpense,quarterlyTotalAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,annualIncomeTaxPayable,quarterlyDepreciationAndAmortization,annualCapitalExpenditure,trailingGrossProfit,quarterlyBeginningCashPosition,annualOtherIncomeExpense,annualInvestingCashFlow,quarterlyCapitalStock,annualRepaymentOfDebt,trailingInvestingCashFlow,annualAccountsPayable,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,trailingTotalRevenue,annualOperatingIncome,trailingStockBasedCompensation,quarterlyAccountsPayable,trailingInterestExpense,annualEndCashPosition,trailingTaxProvision,quarterlyInvestingCashFlow,trailingEndCashPosition,annualNetOtherFinancingCharges,annualTaxProvision,trailingNetOtherFinancingCharges,quarterlyStockBasedCompensation,annualCurrentDeferredRevenue,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyDilutedEPS,annualCurrentAccruedExpenses,annualCashAndCashEquivalents,trailingChangeInAccountPayable,annualNetIncomeContinuousOperations,annualTotalRevenue,annualCostOfRevenue,quarterlyCashDividendsPaid,annualInvestmentsAndAdvances,quarterlyChangeInAccountPayable,annualFreeCashFlow,quarterlyEndCashPosition,annualCurrentDebt,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,annualAccumulatedDepreciation,annualCommonStockIssuance,quarterlyRetainedEarnings,annualOperatingExpense,quarterlyCurrentAssets,annualTotalLiabilitiesNetMinorityInterest,quarterlyRepurchaseOfCapitalStock,trailingFreeCashFlow,annualRepurchaseOfCapitalStock,trailingOperatingExpense,annualDilutedAverageShares,annualDeferredIncomeTax,quarterlyTotalLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,trailingSellingGeneralAndAdministration,annualGainsLossesNotAffectingRetainedEarnings,annualOtherNonCurrentAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,quarterlyOtherNonCashItems,trailingNetOtherInvestingChanges,trailingNetIncomeContinuousOperations,quarterlyBasicAverageShares,quarterlyOperatingIncome,quarterlyTotalRevenue,annualCurrentAssets,quarterlyIncomeTaxPayable,trailingBeginningCashPosition,quarterlyGrossPPE,quarterlyCurrentLiabilities,annualChangesInAccountReceivables,quarterlyDeferredIncomeTax,trailingCostOfRevenue,quarterlyChangeInWorkingCapital,trailingNetIncome,annualTotalAssets,quarterlyOtherCurrentAssets,annualNetIncome,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,annualNetIncomeCommonStockholders,quarterlyLongTermDebt,annualRetainedEarnings,quarterlyOtherNonCurrentLiabilities,trailingNetIncomeCommonStockholders,annualBeginningCashPosition,annualAccountsReceivable,quarterlyCostOfRevenue,quarterlyChangeInInventory,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,annualCashDividendsPaid,quarterlyGrossProfit,annualSellingGeneralAndAdministration,annualBasicAverageShares,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualTotalNonCurrentAssets,annualOtherCurrentAssets,annualOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,annualDepreciationAndAmortization,annualLongTermDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualStockholdersEquity,quarterlyRepaymentOfDebt,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,trailingDeferredIncomeTax,trailingResearchAndDevelopment,trailingSaleOfInvestment,trailingDilutedEPS,trailingRepaymentOfDebt,trailingPurchaseOfInvestment,annualResearchAndDevelopment,quarterlyOtherShortTermInvestments,trailingDilutedAverageShares,trailingCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,annualOtherShortTermInvestments,trailingRepurchaseOfCapitalStock,trailingBasicEPS
1979-12-31,778423000.0,,,,,,,,12500000.0,3547000.0,,,28671000.0,,,1.35,,,-49705000.0,,22910000.0,63359000.0,,,,,,,,,,,92100000.0,92100000.0,,0.0,,,,,,-798064000.0,-19937000.0,,,,,37097000.0,,28056000.0,,,,0.68,,,,,,-3261000.0,,,,13862000.0,,,,,,,330822000.0,,,0.0,,,-811864000.0,,,,-14183000.0,953690000.0,92100000.0,3919000.0,,10546000.0,0.0,15592000.0,,150322000.0,,,-23790000.0,,,,,,,,-6290000.0,7800000.0,92100000.0,,,,,0.0,,,,95231000.0,,,,,,-41300000.0,,49176000.0,,235591000.0,11470588.0,,,,235591000.0,,,-53800000.0,,,138000.0,24451000.0,,,,38500000.0,,120404000.0,,,,,622868000.0,,24187000.0,0.0,,7800000.0,,,7800000.0,,,,24120000.0,0.0,,,,,,,,,11166000.0,,,,-38500000.0,,,,,,,,41300000.0,,,,,,,,,,,,,,,,,,
1980-12-31,,,,6100000.0,,,,,11800000.0,,,,,,,0.67,,,,,,,,,,,,9100000.0,,,19100000.0,,37200000.0,12200000.0,,0.0,,,,,,,,,1400000.0,,,,11100000.0,,,,30500000.0,0.67,,,2200000.0,,,,12800000.0,,,,,,,,,,,,2200000.0,0.0,,,,,,,,,10800000.0,,,,0.0,,,,,5800000.0,,,,,,,,9100000.0,,7000000.0,93500000.0,56300000.0,,,,0.0,,700000.0,,,-11400000.0,,,26400000.0,,20800000.0,,,,,10447761.0,,,,,,7500000.0,9000000.0,,,,,,,,34500000.0,,,,,,,,,,61100000.0,,7000000.0,,,7000000.0,,40800000.0,,,0.0,,,,,,,,25000000.0,10447761.0,,,,26600000.0,1400000.0,,,,,5400000.0,,40300000.0,,,,,,,,,,,,,,,,,,
1981-12-31,,,,7000000.0,,,,,13800000.0,,,,,,,0.79,,,,,,,,,,,,11200000.0,,,25200000.0,,40700000.0,13600000.0,,0.0,,,,,,,,,1800000.0,,,,12700000.0,,,,37600000.0,0.79,,,2000000.0,,,,14500000.0,,,,,,,,,,,,2700000.0,0.0,,,,,,,,,12000000.0,,,,0.0,,,,,6300000.0,,,,,,,,11200000.0,,8200000.0,106600000.0,65900000.0,,,,0.0,,1100000.0,,,-12400000.0,,,28700000.0,,22300000.0,,,,,10379747.0,,,,,,3400000.0,8500000.0,,,,,,,,37800000.0,,,,,,,,,,66400000.0,,8200000.0,,,8200000.0,,41600000.0,,,0.0,,,,,,,,27100000.0,10379747.0,,,,28600000.0,1400000.0,,,,,4700000.0,,44100000.0,,,,,,,,,,,,,,,,,,
1982-12-31,,,,6700000.0,,,,,11900000.0,,,,,,,0.81,,,,,,,,,,,,14000000.0,,,24200000.0,,36000000.0,8600000.0,,0.0,,,,,,,,,2900000.0,,,,10100000.0,,,,38400000.0,0.81,,,1500000.0,,,,8300000.0,,,,700000.0,,,,,,,,2500000.0,0.0,,,,,,,,,6600000.0,,,,0.0,,,,,4100000.0,,,,,,,,14000000.0,,4200000.0,92500000.0,56500000.0,,,,0.0,,1800000.0,,,-14200000.0,,,29400000.0,,21100000.0,,,,,10357000.0,,,,,,1700000.0,9200000.0,,,,,,,,39600000.0,,,,,,,,,,65500000.0,,4200000.0,,,4200000.0,,43800000.0,,,0.0,,,,,,,,27400000.0,10357000.0,,,,25900000.0,2000000.0,,,,,4800000.0,,44400000.0,,,,,,,,,,,,,,,,,,
1983-12-31,,,,7400000.0,,,,,15200000.0,,,,,,,0.69,,,,,,,,,,,,16600000.0,,,22500000.0,,43200000.0,12600000.0,,0.0,,,,,,,,,3000000.0,,,,13600000.0,,,,38200000.0,0.69,,,1400000.0,,,,12800000.0,,,,700000.0,,,,,,,,3200000.0,0.0,,,,,,,,,10400000.0,,,,0.0,,,,,5700000.0,,,,,,,,16600000.0,,7100000.0,105600000.0,62400000.0,,,,0.0,,1600000.0,,,-15700000.0,,,32800000.0,,24200000.0,,,,,10289855.0,,,,,,1800000.0,9000000.0,,,,,,,,46600000.0,,,,,,,,,,70900000.0,,7100000.0,,,7100000.0,,48600000.0,,,0.0,,,,,,,,30600000.0,10289855.0,,,,24300000.0,1500000.0,,,,,4600000.0,,46700000.0,,,,,,,,,,,,,,,,,,
1984-03-31,,,,,,,,,,,,,,,,,,,,,,,,,10357000.0,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28400000.0,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10357000.0,28400000.0,28400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,,,,,,,,,,,,,,10363000.0,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30400000.0,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10363000.0,30400000.0,30400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,,,,,,,,,,,,,,,10369000.0,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29000000.0,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10369000.0,29000000.0,29000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,,,18600000.0,9500000.0,,,9500000.0,,14300000.0,,2400000.0,-15900000.0,,,1000000.0,0.7,,,,,,,,,,,,14600000.0,,,18600000.0,,48500000.0,12400000.0,,0.0,14400000.0,,,13300000.0,,,,,2400000.0,,,,13300000.0,,,,34500000.0,0.7,,,3200000.0,,,,12400000.0,,33000000.0,,,78600000.0,,,,,,,2500000.0,0.0,,,,,14600000.0,14600000.0,,,10000000.0,,,,0.0,,,,,5100000.0,,,,-77800000.0,,,,14600000.0,,7300000.0,115800000.0,67300000.0,,,,0.0,,1000000.0,,,-15900000.0,,50200000.0,38500000.0,45600000.0,29500000.0,,,,,10428571.0,,29500000.0,,,,14400000.0,15200000.0,,,,,,-77800000.0,28000000.0,45600000.0,,,34500000.0,14300000.0,,,,,,78600000.0,1700000.0,7300000.0,,,7300000.0,9600000.0,50200000.0,3200000.0,,0.0,,,,,,,,36100000.0,10428571.0,,1200000.0,,33000000.0,1700000.0,,,49100000.0,,9600000.0,15200000.0,49100000.0,,,,,,,,,,,,,,,,,,
1985-03-31,,,,,,,,,,,,,,,,,,,,,,,,,10381000.0,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29400000.0,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10381000.0,29400000.0,29400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
