date,trailingDeferredIncomeTax,trailingCapitalExpenditure,annualCapitalExpenditure,quarterlySaleOfInvestment,annualDeferredIncomeTax,trailingOperatingExpense,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,annualInterestExpense,quarterlyIncomeTaxPayable,trailingChangesInAccountReceivables,annualRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingBeginningCashPosition,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,annualChangesInAccountReceivables,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,trailingNetIncomeContinuousOperations,annualOtherNonCurrentAssets,annualCurrentAssets,trailingChangeInCashSupplementalAsReported,annualBasicEPS,trailingNetIncomeCommonStockholders,annualNetIncomeCommonStockholders,trailingNetOtherFinancingCharges,quarterlyStockholdersEquity,annualOtherCurrentLiabilities,quarterlyEbitda,annualNetOtherFinancingCharges,quarterlyEndCashPosition,quarterlyNetOtherInvestingChanges,quarterlyInvestingCashFlow,quarterlyDilutedAverageShares,annualTaxProvision,trailingInterestExpense,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyGrossProfit,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualCurrentAccruedExpenses,trailingGrossProfit,quarterlyOtherNonCashItems,annualCostOfRevenue,annualTotalRevenue,annualDilutedEPS,quarterlyBasicAverageShares,annualCapitalStock,quarterlySellingGeneralAndAdministration,quarterlyPretaxIncome,trailingCostOfRevenue,trailingFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,annualFreeCashFlow,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualInventory,quarterlyTaxProvision,quarterlyNetPPE,trailingTaxProvision,annualGrossProfit,annualTotalNonCurrentAssets,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,annualOtherCurrentAssets,annualChangeInWorkingCapital,quarterlyTotalRevenue,quarterlyCapitalExpenditure,trailingDepreciationAndAmortization,quarterlyBasicEPS,annualChangeInInventory,quarterlyOperatingIncome,trailingPurchaseOfBusiness,trailingNetIncome,annualTotalLiabilitiesNetMinorityInterest,annualCurrentDebt,annualNetIncome,annualCurrentDeferredRevenue,annualDilutedAverageShares,trailingOtherNonCashItems,annualBeginningCashPosition,annualPurchaseOfBusiness,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,annualNetIncomeContinuousOperations,annualOperatingExpense,trailingSellingGeneralAndAdministration,trailingInvestingCashFlow,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,quarterlyOperatingCashFlow,quarterlyNetIncome,annualCashDividendsPaid,annualNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,annualPretaxIncome,annualIncomeTaxPayable,annualLongTermDebt,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedEPS,quarterlyCommonStockIssuance,annualOtherNonCashItems,annualDepreciationAndAmortization,quarterlyGoodwill,quarterlyAccountsReceivable,annualStockBasedCompensation,annualStockholdersEquity,quarterlyCostOfRevenue,annualGoodwill,trailingStockBasedCompensation,quarterlyCurrentAccruedExpenses,annualTotalAssets,annualCashFlowFromContinuingFinancingActivities,trailingChangeInWorkingCapital,quarterlyInvestmentsAndAdvances,quarterlyInventory,annualRetainedEarnings,quarterlyOtherIncomeExpense,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,annualPurchaseOfInvestment,quarterlyCurrentDeferredRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualOperatingCashFlow,trailingOperatingIncome,annualAccountsPayable,annualOperatingIncome,trailingTotalRevenue,trailingOtherIncomeExpense,quarterlyOperatingExpense,annualOtherIntangibleAssets,quarterlyOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualCommonStockIssuance,annualOtherShortTermInvestments,quarterlyCashDividendsPaid,annualBasicAverageShares,annualEndCashPosition,trailingEndCashPosition,quarterlyDepreciationAndAmortization,trailingRepaymentOfDebt,trailingCashFlowFromContinuingFinancingActivities,annualCurrentLiabilities,quarterlyBeginningCashPosition,quarterlyCapitalStock,trailingNetOtherInvestingChanges,annualOtherIncomeExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,annualNetPPE,annualEbitda,quarterlyCurrentDebt,annualCashAndCashEquivalents,annualGrossPPE,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,annualNetOtherInvestingChanges,annualOtherNonCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyNetIncomeCommonStockholders,trailingPretaxIncome,annualInvestmentsAndAdvances,quarterlyTotalAssets,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyFreeCashFlow,annualGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,trailingChangeInInventory,annualResearchAndDevelopment,trailingCashDividendsPaid,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,trailingBasicAverageShares,trailingSaleOfInvestment,trailingRepurchaseOfCapitalStock,trailingBasicEPS,trailingPurchaseOfInvestment,trailingDilutedEPS,trailingDilutedAverageShares,trailingResearchAndDevelopment,trailingCommonStockIssuance,trailingChangeInAccountPayable
1970-01-01 00:00:01.569801600,-10192000.0,-189735000.0,-1100000.0,,,298738000.0,,,1000000.0,,-68399000.0,-700000.0,,,576261000.0,-1200000.0,7500000.0,-1600000.0,,,,-5864000.0,9100000.0,16200000.0,-69331000.0,-0.02,948019000.0,-300000.0,-42469000.0,,300000.0,,21200000.0,,,,,,189927000.0,,,,-10600000.0,10600000.0,,614747000.0,,7400000.0,18100000.0,-0.02,,,,,2704889000.0,163021000.0,,,-2700000.0,,,,,700000.0,,,128708000.0,10700000.0,13400000.0,,,1500000.0,-3000000.0,,,291887000.0,,-100000.0,,-21002000.0,949177000.0,6000000.0,800000.0,-300000.0,,15000000.0,11482000.0,,,,,-300000.0,9800000.0,298738000.0,939349000.0,,-9000000.0,,,,,1800000.0,,,1800000.0,,,,,,3800000.0,2300000.0,,,,23600000.0,,,9880000.0,,29600000.0,21200000.0,-227161000.0,,,-10500000.0,,,352756000.0,,,-1000000.0,,,-500000.0,-1600000.0,316009000.0,2400000.0,900000.0,3319636000.0,-15505000.0,,,,10600000.0,,,,15000000.0,,357591000.0,,-2219152000.0,-1510775000.0,3500000.0,,,-15963000.0,-200000.0,,,4300000.0,3200000.0,,10600000.0,5500000.0,,,-8800000.0,700000.0,,,,122627000.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,1400000.0,,,,9900000.0,,,,,,-500000.0,,,,,,2600000.0,9500000.0,,,,,,,,,26300000.0,,300000.0,,,-900000.0,-12900000.0,20000000.0,,,200000.0,,2700000.0,,,,,900000.0,,,,20000000.0,,2400000.0,,,,,-300000.0,,14100000.0,3600000.0,-10700000.0,,,,8400000.0,,,,,,,,5800000.0,-4300000.0,,-0.01,,-200000.0,,,,,,,,,,,2600000.0,-1500000.0,,,,,-200000.0,,-300000.0,-200000.0,,,,,,,-10500000.0,200000.0,700000.0,-0.01,,,,,,,,3100000.0,,,,,,,,700000.0,,100000.0,,,1600000.0,,,,,,,,,,,,2900000.0,,5100000.0,,,,,,,,500000.0,,,,10600000.0,,,,100000.0,100000.0,,,800000.0,,,-9100000.0,100000.0,,,18100000.0,-300000.0,-200000.0,,,32200000.0,2600000.0,4600000.0,-4600000.0,,5900000.0,,,,,,,,,,,,,,,,
,,,,4400000.0,,,,11500000.0,,,,,,-4000000.0,,,,,,1800000.0,6200000.0,,,,,,,,,28300000.0,,1700000.0,,,-400000.0,-2800000.0,16666667.0,,,-900000.0,,3800000.0,,,,,2200000.0,,,,16666667.0,,2400000.0,,,,,-400000.0,,14700000.0,4000000.0,-10200000.0,,,,9200000.0,,,,,,,,8500000.0,-1700000.0,,0.03,,600000.0,,,,,,,,,,,5900000.0,-2300000.0,,,,,500000.0,,-2300000.0,500000.0,,,,,,,800000.0,400000.0,800000.0,0.03,,,,,,,,4700000.0,,,,,,,,900000.0,,100000.0,,,5000000.0,,,,,,,,,,,,3200000.0,,5000000.0,,,,,,,,1100000.0,,,,,,,,900000.0,900000.0,,,1800000.0,,,-5100000.0,200000.0,,,23400000.0,-2800000.0,500000.0,,,38100000.0,5900000.0,9200000.0,-4000000.0,,9800000.0,,,,,,,,,,,,,,,,
,,,,3800000.0,,,,12500000.0,,,,,,-300000.0,,,,,,1300000.0,5100000.0,,,,,,,,,29900000.0,,2100000.0,,,-300000.0,300000.0,20000000.0,,,-600000.0,0.0,5100000.0,,,,,1200000.0,,,,20000000.0,,3000000.0,1500000.0,,,,-800000.0,,15500000.0,4000000.0,-9100000.0,,,100000.0,9700000.0,,,,,,,,12200000.0,-800000.0,,0.07,,1300000.0,,,,,,,,,,,-700000.0,-2800000.0,,,,,1400000.0,,2100000.0,1400000.0,,,,,,,1600000.0,800000.0,700000.0,0.07,,,,,,,,7100000.0,,,,,,,,800000.0,,300000.0,,,4500000.0,,,,,,,,,,,,3800000.0,,5000000.0,,,,,,,,700000.0,,,,,,,,2500000.0,2500000.0,,,1900000.0,,,-2400000.0,100000.0,,,23600000.0,-500000.0,1400000.0,,,39100000.0,-700000.0,8900000.0,1300000.0,,9200000.0,,,,,,,,,,,,,,,,
,,,-7900000.0,3600000.0,,,,14100000.0,500000.0,,,,,-2600000.0,,-3500000.0,10700000.0,-5800000.0,,2400000.0,2800000.0,,9000000.0,15300000.0,,0.16,,2800000.0,,30500000.0,400000.0,1400000.0,7200000.0,,-200000.0,1400000.0,,100000.0,,1100000.0,-800000.0,4400000.0,-2100000.0,-8300000.0,,,2000000.0,23200000.0,39600000.0,0.14,,,3000000.0,,,,,-600000.0,-9400000.0,15300000.0,4700000.0,-8500000.0,,2200000.0,,10600000.0,,16400000.0,24500000.0,,,2800000.0,-7400000.0,11300000.0,-1100000.0,,,-1000000.0,500000.0,,,9300000.0,1900000.0,2800000.0,,20000000.0,,10600000.0,,-600000.0,-3500000.0,2800000.0,13900000.0,,,600000.0,-14000000.0,-1000000.0,600000.0,,,13200000.0,2900000.0,,4000000.0,-200000.0,400000.0,600000.0,,,6300000.0,3200000.0,,,,30500000.0,6900000.0,,,,39800000.0,7200000.0,,,2200000.0,-8500000.0,200000.0,,,4000000.0,,-17600000.0,,,-200000.0,-1500000.0,,2400000.0,2500000.0,,,3900000.0,4900000.0,4900000.0,2300000.0,,,,17500000.0,,,900000.0,,,4700000.0,,,,900000.0,2300000.0,2300000.0,10600000.0,5700000.0,1900000.0,2300000.0,14100000.0,-1000000.0,100000.0,-1800000.0,600000.0,24500000.0,-2200000.0,600000.0,,,39800000.0,-600000.0,9000000.0,-2100000.0,,9300000.0,,,,,,,,,,,,,,,,
,,,,1300000.0,,,,17200000.0,,,,,,-2900000.0,,,,,,4900000.0,1700000.0,,,,,,,,,36300000.0,,2500000.0,,,600000.0,300000.0,21666667.0,,,1300000.0,100000.0,5400000.0,,,,,2300000.0,,,,21666667.0,,2900000.0,1400000.0,,,,-500000.0,,19200000.0,9300000.0,-5900000.0,,,100000.0,12000000.0,,,,,,,,17000000.0,-1500000.0,,0.06,,1400000.0,,,,,,,,,,,-1700000.0,-5200000.0,,,,,1300000.0,,-300000.0,1300000.0,,,,,,,-1800000.0,2400000.0,400000.0,0.06,,,,,,,,11600000.0,,,,,,,,2100000.0,,200000.0,,,4100000.0,,,,,,,,,,,,4000000.0,,9000000.0,,,,,,,,1100000.0,,,,3700000.0,,,,2000000.0,2000000.0,,,2000000.0,,,-100000.0,100000.0,,,30900000.0,-3800000.0,1300000.0,,,50100000.0,-1700000.0,9900000.0,-1800000.0,,13800000.0,,,,,,,,,,,,,,,,
,,,,100000.0,,,,17900000.0,,,,,,-2600000.0,,,,,,4500000.0,2200000.0,,,,,,,,,38300000.0,,3700000.0,,,,-1000000.0,23000000.0,,,-300000.0,,7000000.0,,,,,2500000.0,,,,23000000.0,,3300000.0,2800000.0,,,,-400000.0,,20300000.0,9200000.0,-3900000.0,,,500000.0,11900000.0,,,,,,,,19000000.0,-600000.0,,0.1,,2400000.0,,,,,,,,,,,-500000.0,-6000000.0,,,,,2300000.0,,600000.0,2300000.0,,,,,,,-800000.0,2000000.0,200000.0,0.1,,,,,,,,12000000.0,,,,,,,,2200000.0,,300000.0,,,3600000.0,,,,,,,,,,,,4600000.0,,8800000.0,,,,,,,,1300000.0,,,,,,,,1100000.0,1100000.0,,,2700000.0,,,,100000.0,,,31000000.0,-1400000.0,2300000.0,,,51300000.0,-500000.0,10300000.0,0.0,,13000000.0,,,,,,,,,,,,,,,,
,,,,0.0,,,,22200000.0,,,,,,-3800000.0,,,,,,13400000.0,2600000.0,,,,,,,,,38800000.0,,4400000.0,,,,,22000000.0,,,-1100000.0,,7800000.0,,,,,2400000.0,,,,22000000.0,,3400000.0,200000.0,,,,-700000.0,,33100000.0,26400000.0,-3700000.0,,,100000.0,17100000.0,,,,,,,,20500000.0,-1100000.0,,0.01,,3300000.0,,,,,,,,,,,2900000.0,-5100000.0,,,,,100000.0,,700000.0,100000.0,,,,,,,4200000.0,9700000.0,200000.0,0.01,,,,,,,,12700000.0,,,,,,,,2600000.0,,-2800000.0,,,78500000.0,,,,,,,,,,,,4500000.0,,84400000.0,,,,,,,,1100000.0,,,,,,,,5300000.0,5300000.0,,,3300000.0,,,,200000.0,,,110800000.0,-3000000.0,100000.0,,,143900000.0,2900000.0,9300000.0,-400000.0,,105100000.0,,,,,,,,,,,,,,,,
,,,-4800000.0,65200000.0,-400000.0,,,21500000.0,1800000.0,,,,,-8600000.0,,-6100000.0,14300000.0,-11100000.0,,12300000.0,33700000.0,,6200000.0,63500000.0,,0.16,,3500000.0,,136400000.0,7500000.0,4800000.0,48900000.0,,,,,200000.0,,-3100000.0,-1100000.0,9500000.0,-3000000.0,-1200000.0,,,9000000.0,58300000.0,88000000.0,0.14,,,4700000.0,-400000.0,,,,-1400000.0,-7800000.0,63500000.0,25200000.0,-3600000.0,,3600000.0,-500000.0,15400000.0,,29700000.0,101900000.0,,,33700000.0,-17900000.0,31500000.0,-1600000.0,,,-1500000.0,600000.0,,,29000000.0,5400000.0,3500000.0,,25000000.0,,3700000.0,,48200000.0,-6100000.0,3500000.0,22000000.0,,,100000.0,-47100000.0,-4000000.0,100000.0,,900000.0,66600000.0,3700000.0,,2600000.0,-2800000.0,7500000.0,1200000.0,,,16200000.0,7700000.0,,,,136400000.0,22000000.0,,,,165400000.0,48900000.0,,,3600000.0,-3600000.0,500000.0,,,2600000.0,900000.0,-91600000.0,,,-3200000.0,-3000000.0,,12300000.0,7700000.0,,,8900000.0,80300000.0,80300000.0,2500000.0,,,,22666667.0,,,4200000.0,,,25200000.0,,,,-2000000.0,2500000.0,2500000.0,15400000.0,15400000.0,5400000.0,2500000.0,21500000.0,,1400000.0,-17300000.0,1200000.0,101900000.0,-2900000.0,100000.0,,,165400000.0,48200000.0,6200000.0,-5600000.0,,29000000.0,,,,,,,,,,,,,,,,
,,,,12800000.0,,,,23000000.0,,,,,,-7300000.0,,,,,,10900000.0,25700000.0,,,,,,,,,139800000.0,,5700000.0,,,,6700000.0,36000000.0,,,-1400000.0,-200000.0,10000000.0,,,,,5700000.0,,,,36000000.0,,4300000.0,3300000.0,,,,-4200000.0,,64100000.0,21400000.0,-1800000.0,,,1500000.0,15800000.0,,,,,,,,34600000.0,-1500000.0,,0.05,,2800000.0,,,,,,,,,,,-2700000.0,-7200000.0,,,,,1800000.0,,-2800000.0,1800000.0,,,,,,,1300000.0,8900000.0,1300000.0,0.05,,,,,,,,24600000.0,,,,,,,,3800000.0,,500000.0,,,2100000.0,900000.0,,,,,,,,,,,7200000.0,,78700000.0,,,,,,,,2900000.0,,,,2500000.0,,,,3800000.0,3800000.0,,,1600000.0,,,-4600000.0,100000.0,,,100500000.0,-6900000.0,1800000.0,,,164600000.0,-2700000.0,6000000.0,-4300000.0,,24800000.0,,,,,,,,,,,,,,,,
