date,trailingStockBasedCompensation,annualChangeInInventory,annualCurrentLiabilities,annualStockBasedCompensation,annualInventory,trailingDepreciationAndAmortization,annualCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,annualDepreciationAndAmortization,quarterlyCurrentDebt,quarterlyInterestExpense,trailingChangeInInventory,trailingCashFlowFromContinuingFinancingActivities,trailingOtherNonCashItems,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,quarterlyInvestmentsAndAdvances,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyOtherIncomeExpense,annualPurchaseOfBusiness,trailingOperatingCashFlow,annualCapitalStock,trailingOtherIncomeExpense,quarterlyInventory,quarterlyOperatingExpense,annualGrossProfit,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,annualOperatingCashFlow,annualNetPPE,annualSaleOfInvestment,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOperatingCashFlow,annualOtherIntangibleAssets,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,trailingPurchaseOfBusiness,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,trailingCashDividendsPaid,annualEbitda,annualNonCurrentDeferredTaxesLiabilities,quarterlyCommonStockIssuance,quarterlyNetPPE,quarterlyTaxProvision,quarterlyChangesInAccountReceivables,annualChangeInCashSupplementalAsReported,quarterlyTotalNonCurrentAssets,annualGrossPPE,trailingChangeInCashSupplementalAsReported,annualGoodwill,annualNetOtherInvestingChanges,trailingPretaxIncome,annualOtherCurrentLiabilities,annualInterestExpense,annualPurchaseOfInvestment,annualRepaymentOfDebt,annualPretaxIncome,trailingChangesInAccountReceivables,quarterlyTotalAssets,quarterlyFreeCashFlow,annualOtherNonCurrentLiabilities,trailingChangeInWorkingCapital,annualCapitalExpenditure,annualOtherIncomeExpense,trailingInvestingCashFlow,annualAccountsPayable,quarterlyOtherIntangibleAssets,trailingGrossProfit,quarterlyDepreciationAndAmortization,trailingDeferredIncomeTax,quarterlySaleOfInvestment,annualInvestingCashFlow,quarterlyBeginningCashPosition,annualEndCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyDilutedEPS,trailingCapitalExpenditure,annualBasicAverageShares,quarterlyAccountsPayable,trailingRepaymentOfDebt,trailingTotalRevenue,annualOperatingIncome,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyEbitda,annualNetOtherFinancingCharges,quarterlyStockBasedCompensation,annualCurrentAccruedExpenses,quarterlyEndCashPosition,quarterlyDilutedAverageShares,quarterlyInvestingCashFlow,annualCashAndCashEquivalents,annualTaxProvision,trailingEndCashPosition,quarterlyTotalRevenue,trailingTaxProvision,quarterlyPurchaseOfInvestment,annualBasicEPS,trailingNetOtherFinancingCharges,annualCurrentDeferredRevenue,annualCurrentDebt,quarterlyTotalLiabilitiesNetMinorityInterest,annualInvestmentsAndAdvances,annualNetIncomeContinuousOperations,annualTotalRevenue,trailingOperatingIncome,annualCostOfRevenue,quarterlyNetIncomeCommonStockholders,trailingRepurchaseOfCapitalStock,trailingResearchAndDevelopment,quarterlyGrossProfit,quarterlyCurrentLiabilities,quarterlyGrossPPE,trailingFreeCashFlow,trailingOperatingExpense,trailingSellingGeneralAndAdministration,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,annualOperatingExpense,quarterlyCurrentAssets,annualOtherNonCurrentAssets,annualResearchAndDevelopment,annualCommonStockIssuance,quarterlyOtherNonCashItems,annualTotalLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepurchaseOfCapitalStock,annualDeferredIncomeTax,annualChangesInAccountReceivables,trailingNetIncomeContinuousOperations,trailingBeginningCashPosition,trailingCostOfRevenue,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,annualChangeInWorkingCapital,quarterlyDeferredIncomeTax,annualCurrentAssets,annualRepurchaseOfCapitalStock,quarterlyRetainedEarnings,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,annualRetainedEarnings,quarterlyAccountsReceivable,quarterlyCostOfRevenue,trailingNetIncome,quarterlyBasicEPS,annualTotalAssets,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,annualNetIncomeCommonStockholders,quarterlyLongTermDebt,annualCashDividendsPaid,annualDilutedAverageShares,annualDilutedEPS,annualAccountsReceivable,quarterlyChangeInInventory,annualBeginningCashPosition,annualNetIncome,annualTotalNonCurrentAssets,quarterlyNetIncome,trailingCommonStockIssuance,annualFreeCashFlow,annualSellingGeneralAndAdministration,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,annualStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyRepaymentOfDebt,annualOtherNonCashItems,annualOtherCurrentAssets,quarterlyOtherCurrentAssets,annualLongTermDebt,trailingBasicAverageShares,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,annualNonCurrentDeferredRevenue,trailingBasicEPS,trailingDilutedEPS,quarterlyChangeInAccountPayable,trailingPurchaseOfInvestment,trailingInterestExpense,trailingNetOtherInvestingChanges,annualIncomeTaxPayable,trailingChangeInAccountPayable,trailingSaleOfInvestment,annualOtherShortTermInvestments,quarterlyIncomeTaxPayable,trailingDilutedAverageShares,annualChangeInAccountPayable
1970-01-01 00:00:01.569801600,86000000.0,,,,,4415000000.0,,,,,,-36000000.0,-11993000000.0,-182000000.0,,,,,,,,,,5365000000.0,,3202000000.0,,,,,,,,,,,,245454545.0,,-180000000.0,,,-1876000000.0,,,,,,,,,,1670000000.0,,,5433000000.0,,,,,,-33000000.0,,,,-354000000.0,,,8398000000.0,,,10537000000.0,,-367000000.0,,,,,,,,0.11,-3494000000.0,,,-4187000000.0,27013000000.0,,,613000000,,,,,245454545.0,,,,2364000000.0,613000000,962000000.0,,,-3626000000.0,,,,,,,2333000000.0,,27000000,-2531000000.0,177000000.0,,,,1871000000.0,8204000000.0,3331000000.0,,,,,,,,,,,,,,,4575000000.0,600000000.0,16476000000.0,613000000,,,,,,,,,,,,,4752000000.0,0.11,,4752000000.0,,,,,,,,,,,,27000000,67000000.0,,,,27000000,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243478261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115,,,,,,,,614000000,,,,,243478261.0,,,,,614000000,,,,,,,,,,,,,28000000,,,,,,,,,,,,,,,,,,,,,,,,,,614000000,,,,,,,,,,,,,,0.115,,,,,,,,,,,,,,28000000,,,,,28000000,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255555556.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,625000000,,,,,255555556.0,,,,,625000000,,,,,,,,,,,,,23000000,,,,,,,,,,,,,,,,,,,,,,,,,,625000000,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,23000000,,,,,23000000,,,,,,,,,,,,,,,,,,,,,,,,,
,,-14000000.0,1862000000.0,,179000000.0,,74000000.0,,236000000.0,392000000.0,,,,,,-2089000000.0,,,289000000.0,,,,,,,,179000000.0,,1067000000.0,,,318000000.0,2338000000.0,,82000000.0,,,,,,,1262000000.0,,612000000.0,,,2338000000.0,,,9000000.0,2627000000.0,4427000000.0,,,0.0,,1262000000.0,117000000.0,-54000000.0,,175000000.0,,3451000000.0,,381000000.0,,-417000000.0,-49000000.0,,208000000.0,,,,,,-364000000.0,,0.0,,82000000.0,82000000.0,,,254761905.0,208000000.0,,,376000000.0,,-1476000000,-78000000.0,,,,,,82000000.0,68000000.0,,617000000,,,0.42,,,392000000.0,2419000000.0,,107000000.0,2469000000.0,,1402000000.0,29000000,,,,1862000000.0,4427000000.0,,,,,,691000000.0,824000000.0,289000000.0,,,,2419000000.0,-2089000000.0,557000000.0,,32000000.0,,,,,-1476000000,,-62000000.0,,824000000.0,,,,,,,,,,,3451000000.0,,650000000.0,107000000.0,176000000.0,,254761905.0,0.42,,,73000000.0,107000000.0,2627000000.0,29000000,,-99000000.0,455000000.0,,29000000,650000000.0,557000000.0,381000000.0,,6000000.0,89000000.0,89000000.0,176000000.0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253846154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115,,,,,,,,653000000,,,,,286956522.0,,,,,653000000,,,,,,,,,,,,,33000000,,,,,,,,,,,,,,,,,,,,,,,,,,653000000,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,33000000,,,,,33000000,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,870000000.0,27000000.0,,,,,-2208000000.0,,,344000000.0,,,-29000000.0,,,,,191000000.0,178000000.0,,53000000.0,,,,,,,,261538462.0,,,,241000000.0,,,,,2382000000.0,19000000.0,,,2726000000.0,,,,,,,,,,,,3528000000.0,,,,,,,,,,,,,,,,,18000000.0,18000000.0,0.13,,,235000000.0,,,,,187000000,,,,,261538462.0,,,,,662000000,,,,,,,2372000000.0,,,,,,34000000,,,301000000.0,1346000000.0,4590000000.0,,,,,,,802000000.0,,,,,,,,,,,,,,123000000,,,,,,,,,,,,361000000.0,,0.13,,,733000000.0,,622000000.0,,,,,,,,,34000000,,,,114000000.0,34000000,,1026000000.0,404000000.0,,,,77000000.0,,,,,,,,,,,,,,,,,,
,,,,,,,,-91000000.0,,819000000.0,33000000.0,,,,-6000000.0,-2253000000.0,,49000000.0,368000000.0,,,-20000000.0,,,,,148000000.0,178000000.0,,43000000.0,,,,,,42000000.0,,261538462.0,,,-11000000.0,264000000.0,,,,,2391000000.0,9000000.0,,,2759000000.0,,,,,,,,,,,,3520000000.0,-49000000.0,,,,,,,,,63000000.0,,,,0.0,,,7000000.0,7000000.0,0.13,,,173000000.0,,,,,170000000,,,,0.0,261538462.0,-101000000.0,,,,652000000,,-19000000.0,,,,,2344000000.0,,,,,,34000000,,,285000000.0,1256000000.0,4644000000.0,,,,,,,761000000.0,,,,,,,,,,,,,,107000000,-66000000.0,,0.0,,,,,9000000.0,,,,367000000.0,,0.13,,,756000000.0,,692000000.0,,,,,45000000.0,,,,34000000,,,,115000000.0,34000000,,1088000000.0,396000000.0,,,,78000000.0,,,,,,,,,,,,,,,,,,
,,31000000.0,1210000000.0,,147000000.0,,-149000000.0,-78000000.0,257000000.0,783000000.0,24000000.0,,,,-54000000.0,-2276000000.0,,-89000000.0,338000000.0,,,-70000000.0,,,,,147000000.0,195000000.0,1154000000.0,-32000000.0,,336000000.0,2315000000.0,,24000000.0,118000000.0,,,,,17000000.0,246000000.0,,685000000.0,,12000000.0,2315000000.0,-15000000.0,,-58000000.0,2653000000.0,4591000000.0,,,0.0,,246000000.0,117000000.0,-34000000.0,,121000000.0,,3344000000.0,40000000.0,520000000.0,,-333000000.0,-145000000.0,,181000000.0,,,67000000.0,,,-237000000.0,0.0,0.0,,24000000.0,24000000.0,,,260869565.0,181000000.0,,,428000000.0,,138000000,-1092000000.0,,,0.0,,-10000000.0,24000000.0,37000000.0,,637000000,,-5000000.0,-0.23,,,783000000.0,2399000000.0,,84000000.0,2604000000.0,,1450000000.0,-161000000,,,266000000.0,1210000000.0,4591000000.0,,,,,-8000000.0,726000000.0,691000000.0,338000000.0,,17000000.0,,2399000000.0,-2276000000.0,1189000000.0,,-11000000.0,,,,,71000000,117000000.0,1000000.0,-28000000.0,691000000.0,,5000000.0,,-57000000.0,,5000000.0,,371000000.0,,,3344000000.0,,544000000.0,-60000000.0,669000000.0,-16000000.0,260869565.0,-0.23,,-1000000.0,82000000.0,-60000000.0,2653000000.0,-161000000,,3000000.0,469000000.0,128000000.0,-17000000,544000000.0,1189000000.0,520000000.0,,11000000.0,29000000.0,29000000.0,669000000.0,,,,,,,,,,,,,,,,,
,,,,,,,,-56000000.0,,479000000.0,26000000.0,,,,-5000000.0,-2276000000.0,,-5000000.0,329000000.0,,,-1000000.0,,,,,147000000.0,177000000.0,,43000000.0,,,,,,67000000.0,,264000000.0,,,4000000.0,261000000.0,,,,21000000.0,2296000000.0,10000000.0,,,2625000000.0,,,,,,,,,,,,3343000000.0,11000000.0,,,,,,,,,66000000.0,,,,24000000.0,,,28000000.0,28000000.0,0.125,,,165000000.0,,,,,146000000,,,,0.0,264000000.0,-55000000.0,,,,594000000,,-8000000.0,,,,,2357000000.0,,,,,,33000000,,,257000000.0,905000000.0,4572000000.0,,,,,-8000000.0,,718000000.0,,,,,,,,,,,,,,80000000,,,,,,5000000.0,,9000000.0,,,,337000000.0,,0.125,,,584000000.0,,961000000.0,,,,,,,,,33000000,,,,111000000.0,33000000,,1452000000.0,491000000.0,,,,59000000.0,,,,,,,,,,,,,,,,,,
,,,,,,,,-56000000.0,,436000000.0,28000000.0,,,,-6000000.0,-2276000000.0,,-57000000.0,329000000.0,,,0.0,,,,,146000000.0,181000000.0,,50000000.0,,,,,,129000000.0,,271428571.0,,,16000000.0,263000000.0,,,,12000000.0,2267000000.0,12000000.0,,,2596000000.0,,,,,,,,,,,,3319000000.0,73000000.0,,,,,,,,,65000000.0,,,,0.0,,,44000000.0,44000000.0,0.14,,,167000000.0,,,,,156000000,,,,0.0,271428571.0,-51000000.0,,,,623000000,,-2000000.0,,,,,2306000000.0,,,,,,38000000,,,272000000.0,866000000.0,4543000000.0,,,,,-8000000.0,,723000000.0,,,,,,,,,,,,,,91000000,,,,,,5000000.0,,7000000.0,,,,351000000.0,,0.14,,,607000000.0,,948000000.0,,,,,,,,,38000000,,,,116000000.0,38000000,,1440000000.0,492000000.0,,,,53000000.0,,,,,,,,,,,,,,,,,,
