date,annualCashFlowFromContinuingFinancingActivities,quarterlyInventory,annualInventory,quarterlyTaxProvision,quarterlyNetPPE,trailingCashFlowFromContinuingFinancingActivities,annualCurrentLiabilities,quarterlyOtherIncomeExpense,quarterlyAccumulatedDepreciation,trailingOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBasicEPS,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,annualOperatingCashFlow,quarterlyCurrentDebt,trailingChangeInInventory,trailingDepreciationAndAmortization,quarterlyInterestExpense,annualCapitalStock,quarterlyOperatingExpense,trailingOtherIncomeExpense,annualOtherIntangibleAssets,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,trailingOtherNonCashItems,annualGrossProfit,annualPurchaseOfBusiness,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,annualNetPPE,annualEbitda,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,annualChangeInInventory,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,annualCashCashEquivalentsAndMarketableSecurities,trailingCashDividendsPaid,annualNonCurrentDeferredTaxesLiabilities,annualNonCurrentDeferredRevenue,trailingPretaxIncome,quarterlyDilutedAverageShares,quarterlyTotalAssets,trailingBeginningCashPosition,annualChangesInAccountReceivables,annualChangeInCashSupplementalAsReported,annualBasicEPS,quarterlyOtherCurrentLiabilities,trailingPurchaseOfInvestment,quarterlyChangeInCashSupplementalAsReported,annualPurchaseOfInvestment,trailingChangeInCashSupplementalAsReported,trailingInvestingCashFlow,annualGrossPPE,quarterlySaleOfInvestment,annualDeferredIncomeTax,annualOtherNonCurrentLiabilities,quarterlyRepurchaseOfCapitalStock,quarterlyTotalNonCurrentAssets,annualInterestExpense,annualGoodwill,quarterlyChangesInAccountReceivables,trailingChangesInAccountReceivables,annualPretaxIncome,annualIncomeTaxPayable,trailingRepaymentOfDebt,quarterlyDepreciationAndAmortization,trailingChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,annualRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyCapitalStock,annualOtherIncomeExpense,trailingGrossProfit,trailingDeferredIncomeTax,trailingCapitalExpenditure,annualCapitalExpenditure,trailingNetOtherFinancingCharges,annualOperatingIncome,annualInvestingCashFlow,trailingTotalRevenue,annualOtherCurrentLiabilities,trailingInterestExpense,quarterlyNetIncomeCommonStockholders,annualTaxProvision,annualEndCashPosition,trailingEndCashPosition,annualCurrentDebt,trailingTaxProvision,annualCurrentAccruedExpenses,trailingChangeInAccountPayable,annualOtherCurrentAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualCostOfRevenue,quarterlyOtherNonCashItems,annualTotalRevenue,trailingOperatingIncome,annualAccountsPayable,quarterlyPurchaseOfInvestment,quarterlyEbitda,annualNetOtherFinancingCharges,quarterlyEndCashPosition,annualFreeCashFlow,quarterlyInvestingCashFlow,annualCommonStockIssuance,annualDilutedAverageShares,quarterlyCashDividendsPaid,annualTotalLiabilitiesNetMinorityInterest,annualInvestmentsAndAdvances,annualRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,annualAccumulatedDepreciation,quarterlyNonCurrentDeferredRevenue,annualOtherNonCurrentAssets,trailingNetIncomeContinuousOperations,annualDilutedEPS,annualNetIncomeContinuousOperations,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,trailingSellingGeneralAndAdministration,annualOperatingExpense,annualGainsLossesNotAffectingRetainedEarnings,annualChangeInWorkingCapital,quarterlyTotalRevenue,annualCashAndCashEquivalents,trailingOperatingExpense,annualNetOtherInvestingChanges,annualBasicAverageShares,trailingCostOfRevenue,quarterlyGrossPPE,trailingFreeCashFlow,quarterlyOperatingIncome,quarterlyDilutedEPS,trailingNetIncome,quarterlyIncomeTaxPayable,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyChangeInInventory,annualNetIncome,quarterlyOtherCurrentAssets,annualLongTermDebt,annualBeginningCashPosition,annualRetainedEarnings,quarterlyOtherNonCurrentLiabilities,annualCurrentAssets,annualAccountsReceivable,quarterlyLongTermDebt,annualNetIncomeCommonStockholders,annualCashDividendsPaid,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,annualSaleOfInvestment,quarterlyChangeInAccountPayable,trailingRepurchaseOfCapitalStock,quarterlyInvestmentsAndAdvances,annualSellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGrossProfit,annualTotalNonCurrentAssets,quarterlyBasicAverageShares,annualOtherNonCashItems,trailingNetIncomeCommonStockholders,annualDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,annualStockholdersEquity,quarterlyRepaymentOfDebt,annualTotalAssets,annualResearchAndDevelopment,trailingBasicAverageShares,annualCurrentDeferredRevenue,trailingStockBasedCompensation,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,trailingPurchaseOfBusiness,trailingDilutedEPS,trailingNetOtherInvestingChanges,annualStockBasedCompensation,trailingBasicEPS,trailingResearchAndDevelopment,trailingCommonStockIssuance,annualOtherShortTermInvestments,trailingSaleOfInvestment,quarterlyResearchAndDevelopment,trailingDilutedAverageShares
1970-01-01 00:00:00.444355200,,,,,,-3060000000.0,,,,3862000000.0,,0.085,,,,,,97000000.0,1308000000.0,,,,-169000000.0,,,,504000000.0,,,,,,,,,,,,,,-444000000.0,,,2251000000.0,68100000.0,,1003000000.0,,,,,-202000000.0,,,-122000000.0,-920000000.0,,,,,,,,,,127000000.0,,,-269000000.0,,207000000.0,,,,,,,5522000000.0,9000000.0,-1575000000.0,,-48000000.0,,,40173000000.0,,109000000.0,,,,885000000.0,,597000000.0,,-135000000.0,,,,,,,2509000000.0,,,90100000.0,,,,,,,,,,,,,,,,,1654000000.0,,,,,1705000000.0,,,,90100000.0,,3013000000.0,,,34651000000.0,,2287000000.0,90100000.0,0.0825,1781000000.0,,,,,,,,,,,,,,,,,,,,,-1529000000.0,,,,,,68100000.0,,1781000000.0,,5500000.0,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.452131200,,,,,,,,,,,,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,102800000.0,,,,,,,,102800000.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,68100000.0,,,,7200000.0,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.460080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376700000.0,,,,,,,,,,,,,,,,0.3675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376700000.0,,,,,,,,,,,,,,,,,,376700000.0,,,,101000000.0,,,,,,68100000.0,,,,,,,,,,,,0.3525,24000000.0,,,,,,,101000000.0,,,,68100000.0,,,,101000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400000.0,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.468028800,,,,,,,,,,,,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95828000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,107000000.0,,,,,,,,107000000.0,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,95828000.0,,,,5900000.0,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.475977600,,,,,,,,,,,,0.0825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95828000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,116200000.0,,,,,,,,116200000.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,95828000.0,,,,7000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.483667200,,,,,,,,,,,,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95828000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,140800000.0,,,,,,,,140800000.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,95828000.0,,,,9000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.491616000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509900000.0,,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509900000.0,,,,,,,,,,,,,,,,,,509900000.0,,,,153300000.0,,,,,,95828000.0,,,,,,,,,,,,0.3575,31900000.0,,,,,,,153300000.0,,,,95828000.0,,,,153300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10400000.0,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.499564800,,,,,,,,,,,,0.0725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95828000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,161400000.0,,,,,,,,161400000.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,95828000.0,,,,7000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.507513600,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95828000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,176600000.0,,,,,,,,176600000.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,95828000.0,,,,7600000.0,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.515203200,,,,,,,,,,,,0.1175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95872000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,202200000.0,,,,,,,,202200000.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,95872000.0,,,,11300000.0,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.523152000,,97000000.0,97000000.0,,428400000.0,,163000000.0,,-94300000.0,,,,,31300000.0,,0.0,48500000.0,,,,,,,3800000.0,3800000.0,,,180100000.0,,,14400000.0,,428400000.0,102100000.0,,,,,,,,31300000.0,,,,659200000.0,,,,0.35,114500000.0,,,,,,522700000.0,,,10700000.0,,446600000.0,10900000.0,,,,62600000.0,,,,,,,,,,-2200000.0,,,,,,75700000.0,0.0,,114500000.0,,,28300000.0,0.0,,48500000.0,,,,3300000.0,245200000.0,,565800000.0,,745900000.0,,,,-469600000.0,,,0.0,,,98000000.0,,408200000.0,,,,,93300000.0,-94300000.0,,14400000.0,,0.35,34300000.0,,408200000.0,,104400000.0,,,200600000.0,,,,98000000.0,,522700000.0,,-469600000.0,,,,212600000.0,163000000.0,,34300000.0,3300000.0,203200000.0,0.0,93300000.0,10700000.0,212600000.0,,203200000.0,34300000.0,,,,,,,,,78000000.0,245200000.0,,446600000.0,,,,,8300000.0,,251000000.0,,,,251000000.0,,659200000.0,,,,,,,,,,,,,,,,,
