date,trailingInvestingCashFlow,quarterlyOperatingCashFlow,annualInvestingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualPretaxIncome,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,trailingCashDividendsPaid,trailingPurchaseOfBusiness,annualLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,annualDilutedEPS,quarterlyOtherNonCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,annualOtherNonCashItems,annualDepreciationAndAmortization,quarterlyGoodwill,annualCurrentLiabilities,trailingChangeInInventory,annualStockholdersEquity,annualStockBasedCompensation,annualBasicAverageShares,annualGoodwill,trailingStockBasedCompensation,annualTotalAssets,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,annualCashFlowFromContinuingFinancingActivities,trailingChangeInWorkingCapital,quarterlyInvestmentsAndAdvances,annualRetainedEarnings,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,trailingOperatingCashFlow,annualAccountsReceivable,quarterlyOtherIncomeExpense,annualPurchaseOfInvestment,quarterlyLongTermDebt,annualAccountsPayable,trailingOtherIncomeExpense,annualOperatingCashFlow,trailingOperatingIncome,quarterlyOperatingExpense,annualOperatingIncome,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingTotalRevenue,annualOtherIntangibleAssets,annualCommonStockIssuance,quarterlyOtherIntangibleAssets,quarterlyCashDividendsPaid,annualCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,annualEndCashPosition,trailingCashFlowFromContinuingFinancingActivities,annualEbitda,quarterlyCashCashEquivalentsAndMarketableSecurities,annualOtherIncomeExpense,trailingNetOtherInvestingChanges,quarterlyCashAndCashEquivalents,annualNetPPE,quarterlyBeginningCashPosition,quarterlyCapitalStock,annualCashAndCashEquivalents,annualGrossPPE,annualDilutedAverageShares,quarterlyCurrentDebt,annualOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,annualNetOtherInvestingChanges,quarterlyTotalNonCurrentAssets,trailingEndCashPosition,quarterlyChangesInAccountReceivables,annualInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeCommonStockholders,trailingPretaxIncome,quarterlyNetOtherFinancingCharges,quarterlyTotalAssets,quarterlyBasicEPS,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,annualGainsLossesNotAffectingRetainedEarnings,quarterlyBasicAverageShares,trailingDeferredIncomeTax,quarterlySaleOfInvestment,annualDeferredIncomeTax,trailingOperatingExpense,annualCapitalExpenditure,quarterlyRepurchaseOfCapitalStock,annualInterestExpense,quarterlyGrossPPE,quarterlyOtherCurrentAssets,annualRepurchaseOfCapitalStock,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingBeginningCashPosition,annualSellingGeneralAndAdministration,annualChangesInAccountReceivables,annualAccumulatedDepreciation,annualCurrentAssets,annualOtherNonCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingNetIncomeContinuousOperations,trailingChangeInCashSupplementalAsReported,trailingCapitalExpenditure,trailingNetIncomeCommonStockholders,annualNetIncomeCommonStockholders,quarterlyStockBasedCompensation,trailingNetOtherFinancingCharges,annualCurrentAccruedExpenses,quarterlyEbitda,annualOtherCurrentLiabilities,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualNetOtherFinancingCharges,annualTaxProvision,trailingRepurchaseOfCapitalStock,quarterlyChangeInInventory,quarterlyGrossProfit,annualChangeInCashSupplementalAsReported,annualRepaymentOfDebt,annualTotalRevenue,trailingGrossProfit,annualResearchAndDevelopment,annualCostOfRevenue,quarterlyOtherNonCashItems,annualCapitalStock,quarterlyDilutedEPS,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyPretaxIncome,trailingCostOfRevenue,annualFreeCashFlow,quarterlyPurchaseOfBusiness,trailingFreeCashFlow,quarterlyCurrentLiabilities,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyDilutedAverageShares,trailingTaxProvision,quarterlyNetPPE,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualInventory,annualChangeInWorkingCapital,annualGrossProfit,annualTotalNonCurrentAssets,annualOtherCurrentAssets,quarterlyOtherShortTermInvestments,annualBasicEPS,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyOperatingIncome,annualChangeInInventory,trailingNetIncome,annualNetIncome,annualTotalLiabilitiesNetMinorityInterest,annualCurrentDebt,quarterlyAccumulatedDepreciation,annualCashDividendsPaid,annualBeginningCashPosition,annualOperatingExpense,quarterlyCashFlowFromContinuingFinancingActivities,trailingOtherNonCashItems,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,trailingSellingGeneralAndAdministration,quarterlyChangeInAccountPayable,annualNonCurrentDeferredRevenue,annualChangeInAccountPayable,trailingInterestExpense,trailingDilutedAverageShares,trailingBasicEPS,trailingCommonStockIssuance,annualIncomeTaxPayable,trailingChangeInAccountPayable,trailingDepreciationAndAmortization,trailingBasicAverageShares,trailingResearchAndDevelopment,annualOtherShortTermInvestments,trailingSaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyCurrentDeferredRevenue,trailingChangesInAccountReceivables,trailingRepaymentOfDebt,trailingPurchaseOfInvestment,annualCurrentDeferredRevenue,trailingDilutedEPS,quarterlyNonCurrentDeferredRevenue
1970-01-01 00:00:01.569801600,-2473000000.0,,,127000000,127000000,,,,-163000000.0,0.0,,,,,,,,,,,,14000000.0,,,,,54000000.0,,,,,,-62000000.0,,,,,2904000000.0,,,,,,158000000.0,,900000000.0,,,,5492000000.0,,,,,,,,-826000000.0,,,,85000000.0,,,,,,,,,,,,,,1165000000.0,,,,127000000,801000000.0,,,0.24,,,,529166667.0,-44000000.0,,,821000000.0,,,,,,,,,,1564000000.0,,,,,,,890000000.0,-399000000.0,-2618000000.0,890000000.0,,,-3000000.0,,3654000000,,,,,,,,-660000000.0,,,,,,1721000000.0,,,,,0.24,,,,3771000000.0,,,286000000.0,,,,,529166667.0,-89000000.0,,,,,,,,,,3654000000,,3654000000,,890000000.0,,,,,,,,,-31000000.0,,,351000000.0,,,,,,,,,,,,,,,,,,,,,,
,,,,127000000,127000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127000000,,,,0.24,,,,529166667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3654000000,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,529166667.0,,,,,,,,,,,3654000000,,3654000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,127000000,127000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127000000,,,,0.245,,,,518367347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3654000000,,,,,,,,,,,,,,,,,,,0.245,,,,,,,,,,,,518367347.0,,,,,,,,,,,3654000000,,3654000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-473000000.0,127000000,127000000,779000000.0,,,,,3926000000.0,2288000000.0,,0.97,1853000000.0,,,-332000000.0,1026000000.0,,2527000000.0,,3625000000.0,,509278351.0,,,11931000000.0,,,,-1029000000.0,,,,1336000000.0,,,,,,3926000000.0,,,1202000000.0,,,1081000000.0,5779000000.0,,,,,,193000000.0,,0.0,,2107000000.0,193000000.0,-21000000.0,,193000000.0,8836000000.0,,83000000.0,193000000.0,,509278351.0,239000000.0,1853000000.0,,,527000000.0,9574000000.0,,,,738000000.0,113000000,,,11931000000.0,,,8306000000.0,,,,,,,-1000000000.0,,281000000.0,,107000000.0,-256000000.0,,,,,,,,2357000000.0,738000000.0,,,,,,494000000.0,,,,-9881000000,2288000000.0,3625000000.0,,,,-182000000.0,271000000.0,,,,-297000000.0,,14616000000.0,,,12509000000.0,,83000000.0,,2357000000.0,,,,202000000.0,,,2527000000.0,,,,,,8836000000.0,5779000000.0,1336000000.0,,2107000000.0,9574000000.0,107000000.0,,0.97,3654000000,,-9881000000,,,508000000.0,8306000000.0,239000000.0,,-315000000.0,490000000.0,1026000000.0,,,,508000000.0,,,,,,,,,,,,,,,,,,,,,,,
,,-45000000.0,,71000000,71000000,,,,,,,386000000.0,-14000000.0,,320000000.0,,,,,,,,,,,,,,,,2446000000.0,,,,,1454000000.0,1487000000.0,,,-12000000.0,,4033000000.0,,,,,729000000.0,,,,,,,-76000000.0,,210000000.0,,,,179000000.0,,,179000000.0,,193000000.0,83000000.0,,,,460000000.0,,,95000000.0,,9446000000.0,,,,748000000.0,69000000,,0.0,11710000000.0,0.135,-175000000.0,8095000000.0,,511111111.0,,,,,,-16000000.0,,15456000000.0,104000000.0,,1409000000.0,4000000.0,-398000000.0,,,,,,,,,,,,,,,,448000000,,3615000000.0,5000000.0,0.0,-121000000.0,,,,-117000000.0,967000000.0,,,,,,,70000000.0,,0.135,2264000000.0,94000000.0,131000000.0,,,,,2255000000.0,,60000000.0,,511111111.0,,8698000000.0,5840000000.0,,,,,,,,3413000000,-130000000.0,238000000,,,,,,-6758000000.0,,,,154000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,403000000.0,,64000000,64000000,,,,,,,433000000.0,-28000000.0,,315000000.0,,,,,,,,,,,,,,,,2487000000.0,,,,,1514000000.0,1496000000.0,,,20000000.0,,3849000000.0,,,,,835000000.0,,,,,,,-77000000.0,,215000000.0,,,,151000000.0,,,151000000.0,,0.0,81000000.0,,,,518000000.0,,,92000000.0,,9461000000.0,,,,754000000.0,62000000,,0.0,11773000000.0,0.125,177000000.0,8139000000.0,,496000000.0,,,,,,-1000000.0,,15655000000.0,108000000.0,,1528000000.0,7000000.0,120000000.0,,,,,,,,,,,,,,,,396000000,,3634000000.0,5000000.0,0.0,-216000000.0,,,,-60000000.0,1016000000.0,,,,,,,0.0,,0.125,2312000000.0,103000000.0,109000000.0,,,,,2479000000.0,,45000000.0,,496000000.0,,8707000000.0,5660000000.0,,,,,,,,3503000000,-226000000.0,181000000,,,,,,-6948000000.0,,,,-214000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65000000.0,,23000000,23000000,,,,,,,417000000.0,1000000.0,,301000000.0,,,,,,,,,,,,,,,,2566000000.0,,,,,1567000000.0,1493000000.0,,,14000000.0,,4239000000.0,,,,,811000000.0,,,,,,,-87000000.0,,216000000.0,,,,152000000.0,,,152000000.0,,0.0,80000000.0,,,,463000000.0,,,65000000.0,,9409000000.0,,,,688000000.0,22000000,,0.0,11818000000.0,0.04,-192000000.0,8254000000.0,,550000000.0,,,,,,-21000000.0,,15836000000.0,99000000.0,,1341000000.0,12000000.0,-149000000.0,,,,,,,,,,,,,,,,327000000,,3564000000.0,0.0,0.0,-241000000.0,,,,-53000000.0,922000000.0,,,,,,,-32000000.0,,0.04,2409000000.0,111000000.0,60000000.0,,,,,2221000000.0,,37000000.0,,550000000.0,,8721000000.0,6033000000.0,,,,,,,,3488000000,-257000000.0,111000000,,,,,,-7115000000.0,,,,176000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,591000000.0,-903000000.0,-229000000,-229000000,65000000.0,,1477000000.0,,,4073000000.0,436000000.0,48000000.0,-0.155,332000000.0,,,471000000.0,875000000.0,,2467000000.0,,3295000000.0,,503225806.0,,,11644000000.0,,,2711000000.0,-103000000.0,,,,1235000000.0,1477000000.0,,,2000000.0,,4073000000.0,1629000000.0,,1014000000.0,,1008000000.0,382000000.0,5882000000.0,,,113000000.0,,-87000000.0,200000000.0,234000000.0,0.0,,1257000000.0,200000000.0,24000000.0,,200000000.0,8796000000.0,0.0,80000000.0,200000000.0,16056000000.0,503225806.0,402000000.0,332000000.0,,89000000.0,5000000.0,9491000000.0,,,,695000000.0,-231000000,,0.0,11644000000.0,,244000000.0,8349000000.0,,,,,2000000.0,,-960000000.0,-11000000.0,341000000.0,16056000000.0,97000000.0,-49000000.0,1629000000.0,-21000000.0,176000000.0,,623000000.0,,-7260000000.0,2153000000.0,695000000.0,,,,,,-78000000.0,,,,86000000,436000000.0,3295000000.0,-5000000.0,0.0,-325000000.0,0.0,136000000.0,,72000000.0,860000000.0,7000000.0,,13975000000.0,,,10210000000.0,433000000.0,80000000.0,,2153000000.0,315000000.0,-235000000.0,,54000000.0,,,2467000000.0,,-6000000.0,,,,8796000000.0,5882000000.0,1235000000.0,-251000000.0,3765000000.0,9491000000.0,97000000.0,,-0.155,3571000000,-347000000.0,-148000000,-158000000.0,,-71000000.0,8349000000.0,402000000.0,-7260000000.0,-327000000.0,193000000.0,3383000000.0,-219000000.0,,,-71000000.0,,,,,,,,,,,,,,,,,,,,,,,
,,9000000.0,,35000000,35000000,,,,,,,335000000.0,-106000000.0,,344000000.0,,561000000.0,,,,,,,,,,,,,,2088000000.0,,,,,1260000000.0,1488000000.0,,,14000000.0,,3704000000.0,,,,,749000000.0,,,,,,,-96000000.0,,205000000.0,,,,94000000.0,,,94000000.0,,200000000.0,80000000.0,,,,387000000.0,,,78000000.0,,9466000000.0,,,,710000000.0,33000000,,0.0,11371000000.0,0.06,-178000000.0,7578000000.0,,550000000.0,,,,,,,,16172000000.0,95000000.0,,1320000000.0,7000000.0,-241000000.0,,,,,,,,,,,,,,,,309000000,,3793000000.0,5000000.0,0.0,-171000000.0,,,,-1000000.0,853000000.0,,,,,,,3000000.0,,0.06,1905000000.0,79000000.0,40000000.0,,,,,2042000000.0,,5000000.0,,550000000.0,,8756000000.0,5536000000.0,,,,,,,,2941000000,-187000000.0,104000000,,,,,,-7416000000.0,,,,58000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,430000000.0,,226000000,226000000,,,,,,,436000000.0,6000000.0,,351000000.0,,8000000.0,,,,,,,,,,,,,,2386000000.0,,,,,1388000000.0,1481000000.0,,,172000000.0,,3625000000.0,,,,,627000000.0,,,,,,,-97000000.0,,197000000.0,,,,100000000.0,,,100000000.0,,0.0,80000000.0,,,,375000000.0,,,71000000.0,,9418000000.0,,,,738000000.0,225000000,,0.0,11600000000.0,0.395,173000000.0,7667000000.0,,569620253.0,,,,,,,,16347000000.0,102000000.0,,1399000000.0,-8000000.0,18000000.0,,,,,,,,,,,,,,,,405000000,,3933000000.0,4000000.0,0.0,-239000000.0,,,,-29000000.0,835000000.0,,,,,,,3000000.0,,0.385,2182000000.0,80000000.0,309000000.0,,,,,2210000000.0,,83000000.0,,584415584.0,,8680000000.0,5457000000.0,,,,,,,,3221000000,-257000000.0,208000000,,,,,,-7667000000.0,,,,-187000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
