date,quarterlyAccumulatedDepreciation,trailingOperatingCashFlow,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,annualCapitalStock,quarterlyInventory,quarterlyTaxProvision,quarterlyOperatingExpense,quarterlyNetPPE,annualOtherIntangibleAssets,annualGrossProfit,annualTotalNonCurrentAssets,annualCurrentLiabilities,quarterlyOtherIntangibleAssets,annualOtherIncomeExpense,annualNetPPE,annualOperatingCashFlow,quarterlyCurrentDebt,quarterlyInterestExpense,trailingDepreciationAndAmortization,annualInventory,trailingCashFlowFromContinuingFinancingActivities,trailingOtherNonCashItems,annualPurchaseOfBusiness,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyBasicAverageShares,quarterlyCommonStockIssuance,annualEbitda,annualNonCurrentDeferredTaxesLiabilities,annualOtherNonCurrentLiabilities,quarterlyNetOtherFinancingCharges,annualChangeInInventory,quarterlyPretaxIncome,annualCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,annualInterestExpense,trailingInterestExpense,annualPretaxIncome,annualPurchaseOfInvestment,trailingCashDividendsPaid,trailingCapitalExpenditure,quarterlyTotalAssets,trailingBeginningCashPosition,annualChangesInAccountReceivables,quarterlyRepurchaseOfCapitalStock,quarterlyTotalNonCurrentAssets,annualGoodwill,trailingChangeInCashSupplementalAsReported,annualIncomeTaxPayable,trailingInvestingCashFlow,annualGrossPPE,annualAccumulatedDepreciation,quarterlySaleOfInvestment,annualDeferredIncomeTax,annualRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyCapitalStock,trailingRepaymentOfDebt,trailingChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,annualChangeInCashSupplementalAsReported,annualBasicAverageShares,annualCashFlowFromContinuingFinancingActivities,trailingDeferredIncomeTax,quarterlyDilutedEPS,annualCapitalExpenditure,annualOtherCurrentLiabilities,annualInvestingCashFlow,annualBasicEPS,annualCurrentDeferredRevenue,annualOtherCurrentAssets,quarterlyNetIncomeCommonStockholders,annualCostOfRevenue,trailingOperatingIncome,annualTotalRevenue,annualEndCashPosition,annualCurrentDebt,annualOperatingIncome,quarterlyDilutedAverageShares,trailingTotalRevenue,annualNetOtherFinancingCharges,quarterlyEndCashPosition,annualFreeCashFlow,quarterlyInvestingCashFlow,annualCommonStockIssuance,quarterlyCashDividendsPaid,annualOtherShortTermInvestments,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,quarterlyOtherNonCashItems,trailingEndCashPosition,annualAccountsPayable,quarterlyDepreciationAndAmortization,quarterlyEbitda,trailingTaxProvision,quarterlyOperatingIncome,trailingNetIncomeContinuousOperations,quarterlyOtherShortTermInvestments,annualNetIncomeContinuousOperations,trailingNetOtherInvestingChanges,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,quarterlyDeferredIncomeTax,annualInvestmentsAndAdvances,annualRepurchaseOfCapitalStock,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyGrossPPE,trailingFreeCashFlow,trailingNetIncome,quarterlyIncomeTaxPayable,annualOperatingExpense,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,trailingPretaxIncome,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualLongTermDebt,annualCashDividendsPaid,annualBeginningCashPosition,quarterlyOtherNonCurrentLiabilities,annualAccountsReceivable,annualCurrentAssets,quarterlyBasicEPS,quarterlyLongTermDebt,quarterlyChangeInInventory,annualNetIncome,quarterlyOtherCurrentAssets,annualOtherNonCurrentAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,annualSaleOfInvestment,annualDilutedAverageShares,annualNetIncomeCommonStockholders,annualSellingGeneralAndAdministration,annualStockholdersEquity,annualDilutedEPS,quarterlyInvestmentsAndAdvances,annualOtherNonCashItems,trailingRepurchaseOfCapitalStock,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGrossProfit,annualCurrentAccruedExpenses,annualRetainedEarnings,quarterlyOtherIncomeExpense,quarterlyNetOtherInvestingChanges,annualTotalAssets,annualTaxProvision,trailingNetIncomeCommonStockholders,annualDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,trailingChangeInAccountPayable,quarterlyPurchaseOfInvestment,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,trailingPurchaseOfBusiness,quarterlyChangesInAccountReceivables,trailingNetOtherFinancingCharges,annualStockBasedCompensation,trailingResearchAndDevelopment,quarterlyChangeInAccountPayable,trailingSellingGeneralAndAdministration,trailingSaleOfInvestment,trailingDilutedEPS,trailingOtherIncomeExpense,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,annualResearchAndDevelopment,trailingDilutedAverageShares,trailingCommonStockIssuance,trailingOperatingExpense,quarterlyPurchaseOfBusiness,quarterlyNonCurrentDeferredRevenue,quarterlyStockBasedCompensation,trailingStockBasedCompensation,trailingCostOfRevenue,trailingGrossProfit,trailingChangeInInventory,trailingBasicEPS
1970-01-01 00:00:00.883526400,,5255000000.0,,,,,,,,,,,,483000000.0,3427000000.0,908000000.0,,23000000.0,3199000000.0,259000000.0,,,3490000000.0,548000000.0,84000000.0,369000000.0,,,,,,407000000.0,,260000000.0,,-81000000.0,,790000000.0,,,,,62000000.0,679000000.0,300000000.0,,-343000000.0,-3913000000.0,,2482000000.0,,,,,1363000000.0,,-3999000000.0,3550000000.0,-351000000.0,,3000000.0,,,,-3851000000.0,71000000.0,,,480000000.0,49086832.0,532000000.0,-173000000.0,,-288000000.0,192000000.0,-286000000.0,5.863487,,62000000.0,,1707000000.0,3934000000.0,2190000000.0,790000000.0,431000000.0,319000000.0,,73428000000.0,0.0,,-29000000.0,,400000000.0,,,1364000000.0,,,3837000000.0,285000000.0,,,-377000000.0,,790000000.0,,289000000.0,-376000000.0,,,-82000000.0,,,-32000000.0,,,,1342000000.0,621000000.0,,164000000.0,,,,413000000.0,2272000000.0,,790000000.0,2000000.0,1104000000.0,,310000000.0,,,1815000000.0,,,,289000000.0,,228000000.0,,,,,49086832.0,289000000.0,76000000.0,2970000000.0,5.863487,,,-90000000.0,,,,2144000000.0,,,5242000000.0,11000000.0,621000000.0,88000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.891302400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52443198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.906825,,,,,,,100000000.0,,,,,,,52443198.0,,,,,,,,,,,,,,,682000000.0,,682000000.0,,,,,,,,,,,,,,,,,,,,,,,682000000.0,,,,,,,,,1.906825,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000000.0,,,100000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.899164800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52229144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16793,,,,,,,61000000.0,,,,,,,52229144.0,,,,,,,,,,,,,,,692000000.0,,692000000.0,,,,,,,,,,,,,,,,,,,,,,,692000000.0,,,,,,,,,1.16793,,,,,,,,,,,,,,,,,,,,,,,,,,,,61000000.0,,,61000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.907113600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51489685.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.524377,,,,,,,27000000.0,,,,,,,51489685.0,,,,,,,,,,,,,,,1017000000.0,,1017000000.0,,,,,,,,,,,,,,,,,,,,,,,1017000000.0,,,,,,,,,0.524377,,,,,,,,,,,,,,,,,,,,,,,,,,,,27000000.0,,,27000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.915062400,-410000000.0,,,525000000.0,188000000.0,87000000.0,,4000000.0,1072000000.0,,,3205000000.0,,647000000.0,3629000000.0,1334000000.0,,-28000000.0,3205000000.0,253000000.0,549000000.0,,,1072000000.0,,,,,424000000.0,,,518000000.0,87000000.0,1305000000.0,,-11000000.0,,525000000.0,,,,377000000.0,132000000.0,,288000000.0,,,,5927000000.0,,,,3629000000.0,,,,,3615000000.0,-410000000.0,,45000000.0,,,4000000.0,,,64000000.0,408000000.0,-231000000.0,51604106.0,987000000.0,,,-1474000000.0,377000000.0,-1474000000.0,4.600215,,83000000.0,20000000.0,2845000000.0,,3492000000.0,188000000.0,549000000.0,427000000.0,,,0.0,,-1221000000.0,,,,337000000.0,3792000000.0,,,,408000000.0,,-1981000000.0,,-1981000000.0,,337000000.0,237000000.0,,,5126000000.0,-96000000.0,,,-78000000.0,,253000000.0,3615000000.0,,,,220000000.0,64000000.0,2298000000.0,1334000000.0,,5126000000.0,1084000000.0,188000000.0,0.0,2400000000.0,-19000000.0,419000000.0,1305000000.0,,2298000000.0,,2400000000.0,,237000000.0,83000000.0,424000000.0,,,,,52023652.0,237000000.0,129000000.0,801000000.0,4.600215,,21000000.0,,3792000000.0,,,253000000.0,,,5927000000.0,51000000.0,,91000000.0,20000000.0,,801000000.0,20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.922838400,-410000000.0,,,522000000.0,522000000.0,,,,952000000.0,1000000.0,71000000.0,3200000000.0,,,,,,,,,556000000.0,47000000.0,,,,,,,443000000.0,50345470.0,,,,,,,7000000.0,,,0.0,,0.0,,,,,,,5823000000.0,,,,3643000000.0,,,,,,,,,,0.0,,,,,735000000.0,,,,,0.119177,,,,,,,6000000.0,,,,,,,50345470.0,,,0.0,,0.0,,,,,,,,,,96000000.0,,56000000.0,,,,,0.0,5030000000.0,,,,,,,3610000000.0,,,,,,2180000000.0,1291000000.0,,,1098000000.0,,,,,,1406000000.0,,,0.119177,2333000000.0,,,68000000.0,,,971000000.0,,,,,,,,,,,3739000000.0,127000000.0,,,-2000000.0,,,,,,6000000.0,,793000000.0,6000000.0,31000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.930700800,-410000000.0,,,359000000.0,359000000.0,,,,890000000.0,7000000.0,74000000.0,3227000000.0,,,,,,,,,383000000.0,45000000.0,,,,,,,440000000.0,50345470.0,,,,,,,25000000.0,,,0.0,,0.0,,,,,,,5612000000.0,,,,3667000000.0,,,,,,,,,,0.0,,,,,760000000.0,,,,,0.35753,,,,,,,18000000.0,,,,,,,50345470.0,,,0.0,,0.0,,,,,,,,,,108000000.0,,68000000.0,,,,,0.0,4819000000.0,,,,,,,3637000000.0,,,,,,1945000000.0,1143000000.0,,,1123000000.0,,,,,,1359000000.0,,,0.35753,2317000000.0,,,62000000.0,,,981000000.0,,,,,,,,,,,3676000000.0,142000000.0,,,2000000.0,,,,,,18000000.0,,793000000.0,18000000.0,34000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.938649600,-410000000.0,,,372000000.0,372000000.0,,,,1023000000.0,7000000.0,84000000.0,3308000000.0,,,,,,,,,360000000.0,45000000.0,,,,,,,468000000.0,49358304.0,,,,,,,27000000.0,,,0.0,,0.0,,,,,,,5925000000.0,,,,3776000000.0,,,,,,,,,,0.0,,,,,977000000.0,,,,,0.4052,,,,,,,20000000.0,,,,,,,49358304.0,,,0.0,,0.0,,,,,,,,,,114000000.0,,73000000.0,,,,,0.0,5112000000.0,,,,,,,3718000000.0,,,,,,2149000000.0,1337000000.0,,,1209000000.0,,,,,,1443000000.0,,,0.4052,2332000000.0,,,82000000.0,,,1052000000.0,,,,,,,,,,,3775000000.0,157000000.0,,,-1000000.0,,,,,,20000000.0,,813000000.0,20000000.0,43000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.946598400,-880000000.0,,,317000000.0,170000000.0,130000000.0,,4000000.0,1045000000.0,28000000.0,91000000.0,3333000000.0,,628000000.0,3810000000.0,1440000000.0,,4000000.0,3333000000.0,599000000.0,457000000.0,72000000.0,,1045000000.0,,,,,477000000.0,,,472000000.0,130000000.0,1358000000.0,,136000000.0,69000000.0,317000000.0,,599000000.0,,377000000.0,209000000.0,,128000000.0,,,,5966000000.0,,,,3810000000.0,,,,,4213000000.0,-880000000.0,,25000000.0,,0.0,4000000.0,,,50000000.0,606000000.0,-18000000.0,50345469.0,-432000000.0,,,-214000000.0,377000000.0,-184000000.0,1.692307,,115000000.0,41000000.0,4052000000.0,,4680000000.0,170000000.0,457000000.0,308000000.0,,,0.0,170000000.0,385000000.0,-184000000.0,,,147000000.0,3672000000.0,,,,606000000.0,,154000000.0,,111000000.0,,147000000.0,85000000.0,,385000000.0,5112000000.0,406000000.0,,,,,320000000.0,4213000000.0,,,,320000000.0,50000000.0,2156000000.0,1440000000.0,,5112000000.0,1250000000.0,170000000.0,21000000.0,2184000000.0,-18000000.0,188000000.0,1358000000.0,,2156000000.0,,2184000000.0,,85000000.0,115000000.0,477000000.0,,1048000000.0,,,50345469.0,85000000.0,156000000.0,854000000.0,1.692307,,,,3672000000.0,202000000.0,,320000000.0,5000000.0,,5966000000.0,43000000.0,,164000000.0,41000000.0,,854000000.0,41000000.0,48000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.954460800,-880000000.0,,,333000000.0,241000000.0,,,,969000000.0,28000000.0,88000000.0,3297000000.0,,,,,,,,,737000000.0,54000000.0,,,,,,,511000000.0,50345469.0,,,,,,,81000000.0,,,0.0,,0.0,,,,,,,5892000000.0,,,,3808000000.0,,,,,,,,,,0.0,,,,,957000000.0,,,,,1.048754,,,,,,,53000000.0,,,,,,,50345469.0,,,0.0,,0.0,,,,,,,,,,171000000.0,,126000000.0,,92000000.0,,,0.0,4994000000.0,,,,,,,4177000000.0,,,,,,2084000000.0,1694000000.0,,,1390000000.0,,,,,,1455000000.0,,,1.048754,1845000000.0,,,98000000.0,,,1176000000.0,,,,,,,,,,,3300000000.0,214000000.0,,,9000000.0,,,,,,53000000.0,,898000000.0,53000000.0,43000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
