date,annualStockholdersEquity,trailingOtherNonCashItems,quarterlyDilutedEPS,annualPurchaseOfBusiness,quarterlyInvestmentsAndAdvances,annualOtherNonCashItems,annualNonCurrentDeferredTaxesLiabilities,trailingPurchaseOfBusiness,trailingSaleOfInvestment,quarterlyOperatingCashFlow,annualDepreciationAndAmortization,annualCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,annualInvestingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyNonCurrentDeferredTaxesLiabilities,annualAccountsReceivable,trailingOperatingCashFlow,annualPurchaseOfInvestment,trailingCashDividendsPaid,quarterlyLongTermDebt,annualCapitalStock,quarterlyTaxProvision,quarterlyNetPPE,annualOtherIntangibleAssets,annualGoodwill,quarterlyAccountsReceivable,annualNetPPE,annualSaleOfInvestment,quarterlyCurrentAccruedExpenses,annualDilutedAverageShares,annualOperatingCashFlow,annualRepaymentOfDebt,trailingNetOtherInvestingChanges,quarterlyBasicAverageShares,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyCapitalStock,trailingRepaymentOfDebt,trailingChangeInWorkingCapital,annualChangeInCashSupplementalAsReported,annualGainsLossesNotAffectingRetainedEarnings,trailingPretaxIncome,annualNetOtherInvestingChanges,trailingPurchaseOfInvestment,annualPretaxIncome,quarterlyCashAndCashEquivalents,trailingInterestExpense,trailingCapitalExpenditure,annualEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,annualOperatingIncome,annualBasicAverageShares,trailingTotalRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIntangibleAssets,trailingEndCashPosition,trailingChangeInCashSupplementalAsReported,trailingInvestingCashFlow,annualAccountsPayable,annualGrossPPE,quarterlyCurrentDebt,trailingCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,trailingNetIncomeContinuousOperations,quarterlyOperatingIncome,annualNetIncomeContinuousOperations,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,annualRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,trailingRepurchaseOfCapitalStock,quarterlyGrossPPE,trailingSellingGeneralAndAdministration,annualTaxProvision,trailingDeferredIncomeTax,quarterlyTotalRevenue,annualCashAndCashEquivalents,annualCapitalExpenditure,trailingNetOtherFinancingCharges,annualCurrentAccruedExpenses,annualInterestExpense,annualTotalRevenue,quarterlyBasicEPS,trailingBeginningCashPosition,annualChangesInAccountReceivables,annualCommonStockIssuance,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualOtherShortTermInvestments,annualNetOtherFinancingCharges,annualChangeInAccountPayable,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,annualAccumulatedDepreciation,annualChangeInWorkingCapital,annualDilutedEPS,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyPretaxIncome,annualRetainedEarnings,trailingNetIncome,trailingCommonStockIssuance,annualTotalAssets,trailingFreeCashFlow,annualTotalLiabilitiesNetMinorityInterest,trailingNetIncomeCommonStockholders,quarterlyGoodwill,quarterlyStockholdersEquity,annualBeginningCashPosition,quarterlySellingGeneralAndAdministration,annualBasicEPS,annualLongTermDebt,annualNetIncome,annualCurrentDebt,annualCashDividendsPaid,quarterlyDilutedAverageShares,annualFreeCashFlow,annualSellingGeneralAndAdministration,trailingTaxProvision,trailingDepreciationAndAmortization,trailingChangeInInventory,quarterlyDeferredIncomeTax,annualIncomeTaxPayable,annualCurrentLiabilities,quarterlyCurrentDeferredRevenue,quarterlyStockBasedCompensation,annualGrossProfit,quarterlyCapitalExpenditure,annualInventory,annualOperatingExpense,trailingGrossProfit,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyRepaymentOfDebt,quarterlyRepurchaseOfCapitalStock,annualResearchAndDevelopment,annualCurrentDeferredRevenue,quarterlyInventory,quarterlyNonCurrentDeferredRevenue,trailingStockBasedCompensation,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyChangesInAccountReceivables,quarterlyOtherNonCashItems,quarterlyCurrentLiabilities,quarterlyOtherIncomeExpense,annualNonCurrentDeferredRevenue,quarterlyDepreciationAndAmortization,annualTotalNonCurrentAssets,annualCashCashEquivalentsAndMarketableSecurities,annualCurrentAssets,trailingBasicAverageShares,annualOtherCurrentLiabilities,quarterlyGrossProfit,quarterlyChangeInCashSupplementalAsReported,annualCostOfRevenue,quarterlyPurchaseOfInvestment,quarterlyOtherCurrentAssets,trailingOtherIncomeExpense,quarterlySaleOfInvestment,quarterlyChangeInAccountPayable,trailingBasicEPS,quarterlyChangeInWorkingCapital,trailingOperatingIncome,quarterlyTotalNonCurrentAssets,annualEbitda,annualOtherIncomeExpense,trailingCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyOtherNonCurrentLiabilities,trailingChangesInAccountReceivables,trailingOperatingExpense,annualChangeInInventory,annualStockBasedCompensation,quarterlyIncomeTaxPayable,annualOtherCurrentAssets,quarterlyCostOfRevenue,trailingDilutedEPS,quarterlyOtherCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyOtherNonCurrentAssets,trailingDilutedAverageShares,quarterlyPurchaseOfBusiness,trailingResearchAndDevelopment,annualOtherNonCurrentLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentAssets,trailingChangeInAccountPayable,annualOtherNonCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyEbitda
1970-01-01 00:00:00.552009600,,-156996000000.0,13.231598,,,,,-492951000000.0,73780376000000.0,,,,,,35328365325.0,,,,285168000000.0,,-286070000000.0,,,,,,,,,,,,,,-16112000000.0,3024916000.0,,,,-4366536000000.0,-2283992000000.0,,,1013567000000.0,,-78261594000000.0,,,1714894000000.0,-411787000000.0,,,,,,3829550000000.0,,,73937115000000.0,-1492773000000.0,-9925812000000.0,,,,8748690000000.0,,802371000000.0,,,,,,,-100343000000.0,,1628534000000.0,,972000000.0,,,,419360000000.0,,,,13.231598,74829069000000.0,,,,,,,,,,,,,,,,,781936000000.0,1113000000.0,,-126619000000.0,,782438000000.0,,,,,,,,,,3024916000.0,,,211196000000.0,351945000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.559958400,,,,,,,,,,,,,,,35107969374.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.567907200,,,,,,,,,,,,,,,29177139492.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.575769600,,,,,,,,,,,,,,,31704932088.0,,,,,,,,,,,,,,,,,3003750000.0,,,,,,,,,,,,,,,,,,,,,,,3003750000.0,,,,,,,,,,,,,,119236350564.0,,,,,,,,,,,,,,,,,,,,,,,,,,,119236350564.0,,,39.69583,,,,,,,,,,,,,,,39.69583,,119236350564.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.583632000,,,14.685072,,,,,,,,,,,,45310120610.0,,,,,,,,,,,,,,,,,,,,,3024916000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.685072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3024916000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.591580800,,,,,,,,,,,,,,,45428992066.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.599529600,,,,,,,,,,,,,,,42550523696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.607305600,,,,,,,,,,,,,,,52253548840.0,,,,,,,,,,,,,,,,,2951304348.0,,,,,,,,,,,,,,,,,,,,,,,2951304348.0,,,,,,,,,,,,,,179905119928.0,,,,,,,,,,,,,,,,,,,,,,,,,,,179905119928.0,,,60.957834,,,,,,,,,,,,,,,60.957834,,179905119928.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.615168000,,,11.515928,,,,,,,,,,,,31496063080.0,,,,,,,,,,,,,,,,,,,,,3024916000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.515928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3024916000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.623116800,,,,,,,,,,,,,,,30533498428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.631065600,,,,,,,,,,,,,,,31445817848.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
