date,trailingCapitalExpenditure,trailingDeferredIncomeTax,annualCapitalExpenditure,annualInterestExpense,quarterlyGrossPPE,quarterlyDilutedEPS,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,trailingInterestExpense,quarterlyOtherCurrentAssets,annualAccumulatedDepreciation,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,annualSellingGeneralAndAdministration,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,annualChangesInAccountReceivables,trailingOperatingExpense,annualOtherNonCurrentAssets,trailingChangeInCashSupplementalAsReported,quarterlyGainsLossesNotAffectingRetainedEarnings,annualRepurchaseOfCapitalStock,trailingNetIncomeContinuousOperations,annualCurrentAssets,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,quarterlyStockBasedCompensation,annualCurrentAccruedExpenses,annualNetOtherFinancingCharges,annualNetIncomeCommonStockholders,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,quarterlyEbitda,annualDilutedAverageShares,quarterlyNetOtherInvestingChanges,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyEndCashPosition,annualChangeInCashSupplementalAsReported,quarterlyChangeInAccountPayable,trailingRepurchaseOfCapitalStock,quarterlyBasicAverageShares,annualRepaymentOfDebt,trailingGrossProfit,quarterlyOperatingExpense,quarterlyChangeInInventory,trailingResearchAndDevelopment,quarterlyCurrentDeferredRevenue,annualCostOfRevenue,annualResearchAndDevelopment,quarterlyOtherNonCashItems,trailingChangeInAccountPayable,annualCapitalStock,trailingCostOfRevenue,quarterlyCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,annualTaxProvision,trailingFreeCashFlow,annualInventory,quarterlyTaxProvision,quarterlyRetainedEarnings,trailingTaxProvision,quarterlyNetPPE,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,annualGrossProfit,annualTotalNonCurrentAssets,annualChangeInWorkingCapital,annualOtherCurrentAssets,annualNetIncomeContinuousOperations,annualBasicAverageShares,trailingDepreciationAndAmortization,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOperatingIncome,annualChangeInInventory,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,annualNetIncome,annualFreeCashFlow,quarterlyAccumulatedDepreciation,annualCurrentDebt,annualCurrentDeferredRevenue,trailingOtherNonCashItems,trailingSellingGeneralAndAdministration,annualCashDividendsPaid,annualOperatingExpense,annualPurchaseOfBusiness,annualBeginningCashPosition,quarterlyOperatingCashFlow,annualPurchaseOfInvestment,quarterlyChangeInCashSupplementalAsReported,trailingInvestingCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,annualInvestingCashFlow,quarterlyNetIncomeContinuousOperations,annualPretaxIncome,trailingCashDividendsPaid,trailingSaleOfInvestment,trailingPretaxIncome,annualNonCurrentDeferredRevenue,annualTotalAssets,quarterlyDilutedAverageShares,annualNonCurrentDeferredTaxesLiabilities,annualBasicEPS,trailingNetIncome,trailingPurchaseOfInvestment,annualLongTermDebt,annualOtherNonCashItems,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,trailingNetOtherInvestingChanges,quarterlyOtherShortTermInvestments,annualStockholdersEquity,quarterlyAccountsReceivable,annualCurrentLiabilities,quarterlyGoodwill,trailingChangeInInventory,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,trailingStockBasedCompensation,annualDepreciationAndAmortization,annualGoodwill,annualSaleOfInvestment,quarterlyBasicEPS,annualCommonStockIssuance,annualStockBasedCompensation,annualRetainedEarnings,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,annualAccountsReceivable,quarterlyOtherIncomeExpense,trailingOperatingCashFlow,quarterlyInventory,trailingChangeInWorkingCapital,quarterlyInvestmentsAndAdvances,annualTotalRevenue,trailingOperatingIncome,quarterlyCashAndCashEquivalents,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingOtherIncomeExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingTotalRevenue,annualChangeInAccountPayable,annualAccountsPayable,quarterlyCashDividendsPaid,annualOtherShortTermInvestments,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualCashFlowFromContinuingFinancingActivities,quarterlyDepreciationAndAmortization,trailingCashFlowFromContinuingFinancingActivities,annualEndCashPosition,annualEbitda,annualOperatingIncome,annualNetPPE,annualDilutedEPS,quarterlyCapitalStock,annualOtherIncomeExpense,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,annualOtherNonCurrentLiabilities,annualGrossPPE,annualNetOtherInvestingChanges,quarterlyInterestExpense,quarterlyCurrentDebt,annualCashAndCashEquivalents,quarterlyChangesInAccountReceivables,quarterlyPurchaseOfInvestment,trailingEndCashPosition,annualIncomeTaxPayable,quarterlyNetIncomeCommonStockholders,annualInvestmentsAndAdvances,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentAssets,quarterlyTotalAssets,annualGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,trailingPurchaseOfBusiness,trailingBasicAverageShares,trailingBasicEPS,trailingChangesInAccountReceivables,trailingDilutedEPS,trailingDilutedAverageShares,trailingCommonStockIssuance
1970-01-01 00:00:01.569801600,-1302000000.0,672000000.0,,29100000.0,,,,,,,271000000.0,,-373400000.0,,,,,,3151000000.0,,937000000.0,246200000.0,-328000000.0,,,2433000000.0,401600000.0,2242000000.0,,,,,176700000.0,-165000000.0,159200000.0,,65444444.0,,,,,,,-2000000.0,,,2298000000.0,,,148000000.0,,589000000.0,,,2000000.0,,6523000000.0,,,,62900000.0,1099000000.0,204600000.0,,,963000000.0,,,,,,278600000.0,908100000.0,,2800000.0,178800000.0,62438163.0,1683000000.0,,,,,536000000.0,,178800000.0,0.0,,26800000.0,,202000000.0,287000000.0,,65200000.0,,0.0,,,,-1110000000.0,,,0.0,,241700000.0,-850000000.0,61000000.0,3351000000.0,,1309700000.0,,108900000.0,2.83,2242000000.0,-116000000.0,207700000.0,,,,,39000000.0,,773700000.0,,186000000.0,,-66000000.0,,,95000000.0,,,,,,,631400000.0,,,,,2401000000.0,,-485000000.0,,867600000.0,1361000000.0,,0.0,350000000.0,2200000000.0,,8821000000.0,,,,,89300000.0,,,,-1615000000.0,0.0,264800000.0,213400000.0,661900000.0,2.7,,62300000.0,,-1288000000.0,33400000.0,1035300000.0,,,,89300000.0,,,2827000000.0,,,,,,,,,,,,,,,,,,
,,,,14600000.0,,,,,,,,,-414600000.0,,,,25600000.0,,,,,296800000.0,,,,,422700000.0,,,,,,196000000.0,,166100000.0,,65993266.0,,,,,,,,,,,,,,,633500000.0,,,,,,,,,51900000.0,,207800000.0,,,,,,,,,248100000.0,1024500000.0,,3100000.0,197400000.0,64052288.0,,,,,,525600000.0,,197400000.0,0.0,,53500000.0,,,,,75700000.0,,0.0,,,,,,,0.0,,249300000.0,,,,,1447200000.0,,124300000.0,3.06,,,144000000.0,,,,,,,921600000.0,,219600000.0,,,,,,,,,,,,775400000.0,,,,,,,,,881600000.0,,,0.0,306000000.0,,,,,,,,92900000.0,,,,,0.0,222500000.0,172400000.0,727700000.0,2.97,,97900000.0,,,37700000.0,1142300000.0,,,,92900000.0,,,,,,,,,,,,,,,,,,,,,
,,,,7500000.0,,,,,,,,,-457400000.0,,,,36700000.0,,,,,545300000.0,,,,,546800000.0,,,,,,80100000.0,,170400000.0,,66198347.0,,,,,,,,,,,,,,,736600000.0,,,,,,,,,26400000.0,,248300000.0,,,,,,,,,166500000.0,1386000000.0,,3400000.0,81000000.0,65121951.0,,,,,,630100000.0,,81000000.0,0.0,,57100000.0,,,,,106800000.0,,0.0,,,,,,,0.0,,107400000.0,,,,,1932800000.0,,215500000.0,1.23,,,139100000.0,,,,,,,1302700000.0,,227500000.0,,,,,,,,,,,,1083900000.0,,,,,,,,,903100000.0,,,0.0,402600000.0,,,,,,,,192900000.0,,,,,0.0,129800000.0,59700000.0,840700000.0,1.21,,56900000.0,,,48000000.0,1298100000.0,,,,192900000.0,,,,,,,,,,,,,,,,,,,,,
,,,,1400000.0,,,,,,,,,-448300000.0,,,,15100000.0,,,,,599800000.0,,,,,389100000.0,,,,,,47800000.0,,121500000.0,,68285714.0,,,,,,,,,,,,,,,632800000.0,,,,,,,,,-13000000.0,,235700000.0,,,,,,,,,42200000.0,1482200000.0,,6000000.0,48600000.0,68285714.0,,,,,,551300000.0,,48600000.0,0.0,,16200000.0,,,,,71600000.0,,0.0,,,,,,,0.0,,35600000.0,,,,,1871300000.0,,201500000.0,0.7,,,189600000.0,,,,,,,1320000000.0,,137700000.0,,,,,,,,,,,,1100500000.0,,,,,,,,,675000000.0,,,0.0,413600000.0,,,,,,,,56500000.0,,,,,0.0,27100000.0,-29400000.0,882400000.0,0.7,,65100000.0,,,22500000.0,1330700000.0,,,,56500000.0,,,,,,,,,,,,,,,,,,,,,
,,,,5600000.0,,,,,,,,,-487700000.0,,,,18800000.0,,,,,668100000.0,,,,,456200000.0,,,,,,52400000.0,,175300000.0,,74857143.0,,,,,,,,,,,,,,,672400000.0,,,,,,,,,-4900000.0,,214800000.0,,,,,,,,,48500000.0,1635000000.0,,6800000.0,52900000.0,74857143.0,,,,,,613900000.0,,52900000.0,0.0,,19200000.0,,,,,75200000.0,,0.0,,,,,,,0.0,,48000000.0,,,,,2091200000.0,,212700000.0,0.7,,,185000000.0,,,,,,,1477300000.0,,194500000.0,,,,,,,,,,,,1111000000.0,,,,,,,,,720900000.0,,,0.0,419400000.0,,,,,,,,111800000.0,,,,,0.0,29700000.0,-26700000.0,966900000.0,0.7,,80300000.0,,,21700000.0,1454600000.0,,,,111800000.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177600000.0,,,,,,,,,75630000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177600000.0,,,177600000.0,,,,,,,,,,,,,,,,,,,11800000.0,,,,,,,75630000.0,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203400000.0,,,,,,,,,75665000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203400000.0,,,203400000.0,,,,,,,,,,,,,,,,,,,12600000.0,,,,,,,75665000.0,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200100000.0,,,,,,,,,75668000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200100000.0,,,200100000.0,,,,,,,,,,,,,,,,,,,12200000.0,,,,,,,75668000.0,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6900000.0,1562400000.0,,,,,,,6600000.0,-538500000.0,,,,23000000.0,,,,,709100000.0,,,,,399700000.0,,1480900000.0,,,,37200000.0,,168400000.0,-612200000.0,74400000.0,,,,,,,,,,,,,,,710400000.0,,,,,,206200000.0,,399700000.0,-2200000.0,,213700000.0,,1114300000.0,,1023900000.0,,445600000.0,,,59700000.0,1733000000.0,,6600000.0,37200000.0,74400000.0,,,,-612200000.0,,651800000.0,189000000.0,37200000.0,0.0,-538500000.0,37800000.0,,,,,90800000.0,,0.0,,,,,21500000.0,,0.0,500000.0,35000000.0,,,,,2132700000.0,,208100000.0,0.5,,,216000000.0,,168400000.0,,,,,1480900000.0,,206200000.0,,,,,,,,,,,,1114300000.0,216000000.0,208100000.0,,,,213700000.0,,,770100000.0,,61500000.0,0.0,445600000.0,,61500000.0,,,,,,61500000.0,,,,,0.0,36700000.0,-31100000.0,1023900000.0,0.5,,73000000.0,,,21500000.0,1562400000.0,,,37800000.0,61500000.0,,,,,,,,1733000000.0,709100000.0,2132700000.0,,,651800000.0,,,,,,,,
,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170600000.0,,,,,,,,,75690000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170600000.0,,,170600000.0,,,,,,,,,,,,,,,,,,,3400000.0,,,,,,,75690000.0,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
