date,annualOtherCurrentAssets,trailingChangeInAccountPayable,quarterlyOtherNonCashItems,trailingOperatingIncome,annualCostOfRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,trailingTotalRevenue,annualChangeInAccountPayable,quarterlySellingGeneralAndAdministration,annualCurrentDebt,trailingFreeCashFlow,annualEndCashPosition,trailingCommonStockIssuance,quarterlyNetIncomeCommonStockholders,annualTaxProvision,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyCashDividendsPaid,annualOtherShortTermInvestments,quarterlyDilutedEPS,trailingTaxProvision,quarterlyRetainedEarnings,trailingEndCashPosition,quarterlyDepreciationAndAmortization,quarterlyEbitda,quarterlyPurchaseOfInvestment,annualOperatingIncome,annualAccountsPayable,annualChangeInWorkingCapital,quarterlyFreeCashFlow,annualNetIncomeContinuousOperations,quarterlyOperatingIncome,trailingNetIncomeContinuousOperations,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,annualInvestmentsAndAdvances,annualFreeCashFlow,quarterlyTotalAssets,annualDilutedEPS,annualDilutedAverageShares,quarterlyTotalNonCurrentAssets,annualNetIncome,quarterlyTotalLiabilitiesNetMinorityInterest,annualOperatingExpense,annualGainsLossesNotAffectingRetainedEarnings,annualCurrentAssets,quarterlyOtherNonCurrentLiabilities,annualBeginningCashPosition,annualAccountsReceivable,annualLongTermDebt,annualCashDividendsPaid,quarterlyNetIncomeContinuousOperations,trailingPretaxIncome,annualTotalAssets,annualSellingGeneralAndAdministration,quarterlyBasicAverageShares,quarterlyOtherCurrentAssets,annualRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,annualBasicAverageShares,annualOtherNonCashItems,trailingNetOtherInvestingChanges,trailingNetIncomeCommonStockholders,annualStockholdersEquity,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualNetIncomeCommonStockholders,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyGoodwill,annualDepreciationAndAmortization,annualSaleOfInvestment,quarterlyAccountsReceivable,quarterlyCostOfRevenue,annualCommonStockIssuance,quarterlyInvestingCashFlow,quarterlyInventory,quarterlyNetOtherInvestingChanges,trailingRepurchaseOfCapitalStock,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyNetIncome,annualCurrentAccruedExpenses,annualRetainedEarnings,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,annualCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingOperatingCashFlow,trailingOtherIncomeExpense,quarterlyRepaymentOfDebt,annualCashFlowFromContinuingFinancingActivities,trailingCashFlowFromContinuingFinancingActivities,annualGrossProfit,annualCurrentLiabilities,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,annualInventory,trailingChangeInInventory,trailingRepaymentOfDebt,quarterlyCapitalStock,annualOtherIncomeExpense,quarterlyBeginningCashPosition,annualTotalNonCurrentAssets,annualOperatingCashFlow,quarterlyCommonStockIssuance,quarterlyCashAndCashEquivalents,annualNetPPE,annualEbitda,quarterlyInterestExpense,quarterlyCapitalExpenditure,annualOtherNonCurrentLiabilities,trailingDepreciationAndAmortization,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,trailingOtherNonCashItems,quarterlyNetOtherFinancingCharges,quarterlyBasicEPS,annualNonCurrentDeferredTaxesLiabilities,annualChangeInInventory,quarterlyChangesInAccountReceivables,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,annualPurchaseOfInvestment,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,annualChangesInAccountReceivables,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,trailingBeginningCashPosition,annualDeferredIncomeTax,annualInterestExpense,quarterlyGrossPPE,trailingChangesInAccountReceivables,annualPretaxIncome,trailingCashDividendsPaid,trailingNetIncome,quarterlyDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,annualAccumulatedDepreciation,trailingChangeInCashSupplementalAsReported,trailingOperatingExpense,annualGrossPPE,trailingInvestingCashFlow,trailingCapitalExpenditure,quarterlyOtherShortTermInvestments,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,annualNetOtherFinancingCharges,annualBasicEPS,annualGoodwill,annualChangeInCashSupplementalAsReported,annualInvestingCashFlow,trailingGrossProfit,annualCapitalExpenditure,trailingChangeInWorkingCapital,quarterlyDilutedAverageShares,trailingDeferredIncomeTax,annualTotalRevenue,annualRepaymentOfDebt,annualResearchAndDevelopment,trailingBasicAverageShares,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,trailingStockBasedCompensation,quarterlyStockBasedCompensation,trailingSellingGeneralAndAdministration,trailingPurchaseOfBusiness,trailingDilutedEPS,trailingInterestExpense,annualOtherIntangibleAssets,quarterlyPurchaseOfBusiness,annualPurchaseOfBusiness,annualStockBasedCompensation,trailingBasicEPS,trailingResearchAndDevelopment,quarterlyIncomeTaxPayable,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable,trailingSaleOfInvestment,trailingPurchaseOfInvestment,quarterlyOtherIntangibleAssets,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment,trailingDilutedAverageShares
1979-12-31,,7954000.0,,144762000.0,,,445728000.0,725810000.0,,,,-43301000.0,,93182000.0,,,,,,,,17957000.0,,10522000.0,,,,298100000.0,,,,15500000.0,,63746000.0,,,,,,,,,1.25,10720000.0,,15500000.0,,,,,,,,,,,81703000.0,,,,,,,10720000.0,,-17053000.0,60819000.0,,,,13400000.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,165533000.0,-21244000.0,,,96692000.0,,,,,,,5048000.0,-85000000.0,,,,,,,,,298100000.0,,,,88983000.0,,,25787000.0,,,,,,,,,,,,,,,29965000.0,,,,-2808000.0,,-52529000.0,60819000.0,,,,,,-19443000.0,135320000.0,,-281668000.0,-208834000.0,,-796000.0,,,1.25,,,,280082000.0,,-33775000.0,,12873000.0,298100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,335600000.0,,,,13700000.0,,,,,,,,,,,0.93,11935484.0,,13700000.0,,,,,,,,,,,,,,,,,,11935484.0,,,,,,,11100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,,335600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,359400000.0,,,,16900000.0,,,,,,,,,,,1.11,12072072.0,,16900000.0,,,,,,,,,,,,,,,,,,12072072.0,,,,,,,13400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,,,,,,,,359400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,374600000.0,,,,17700000.0,,,,,,,,,,,1.15,12347826.0,,17700000.0,,,,,,,,,,,,,,,,,,12347826.0,,,,,,,14200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,,,,,,,,,374600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,362700000.0,,,,17200000.0,,,,,,,,,,,1.07,12897196.0,,17200000.0,,,,,,,,,,,,,,,,,,12897196.0,,,,,,,13800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,,,,,,,,,362700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-03-31,,,,,,,,,,,,,,,,,,,,,0.88,,,,,138900000.0,,,,,,,138900000.0,,,,138900000.0,,,,,,,,,,,,,,,,,,,12500000.0,,,,13313000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13313000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,,,,,,,,,,0.25,,,,,98300000.0,,,,,,,98300000.0,,,,98300000.0,,,,,,,,,,,,,,,,,,,4100000.0,,,,13520000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13520000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,,,,,,,,,,,-0.34,,,,,68500000.0,,,,,,,68500000.0,,,,68500000.0,,,,,,,,,,,,,,,,,,,-3700000.0,,,,13520000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13520000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,111800000.0,,417500000.0,,,,19800000.0,111800000.0,,,,111800000.0,,,,,,1.23,13495935.0,,19800000.0,,,,,,,,,,6800000.0,,,,,,,,13495935.0,,,,,,,16600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,,,,,,,,,417500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-31,,,,,,,,,,,,,,,,,,,,,0.95,,,,,149300000.0,,,,,,,149300000.0,,,,149300000.0,,,,,,,,,,,,,,,,,,,14000000.0,,,,13633000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13633000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
