,trailingChangeInWorkingCapital,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,quarterlyFreeCashFlow,annualCommonStockIssuance,quarterlyRetainedEarnings,annualFreeCashFlow,trailingFreeCashFlow,quarterlyGoodwill,annualTotalRevenue,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyDilutedEPS,annualRetainedEarnings,quarterlySellingGeneralAndAdministration,annualNetOtherInvestingChanges,annualCurrentDebt,annualPretaxIncome,annualEndCashPosition,trailingPurchaseOfInvestment,annualTaxProvision,annualCurrentDeferredRevenue,annualTotalAssets,annualOtherCurrentAssets,annualCostOfRevenue,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,annualLongTermDebt,annualNetIncome,annualCashDividendsPaid,quarterlyTotalNonCurrentAssets,trailingTotalRevenue,quarterlyPurchaseOfInvestment,annualOperatingIncome,trailingInvestingCashFlow,annualAccountsPayable,annualDilutedAverageShares,annualDilutedEPS,trailingTaxProvision,trailingEndCashPosition,quarterlyDepreciationAndAmortization,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,annualRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,annualSaleOfInvestment,annualIncomeTaxPayable,quarterlyTotalLiabilitiesNetMinorityInterest,annualOtherNonCashItems,quarterlyGrossProfit,annualStockholdersEquity,quarterlyChangeInAccountPayable,quarterlyNetOtherFinancingCharges,quarterlyBasicAverageShares,quarterlyNetIncomeContinuousOperations,annualDepreciationAndAmortization,trailingSaleOfInvestment,annualBasicAverageShares,annualCashAndCashEquivalents,annualCurrentAccruedExpenses,quarterlyNetIncome,quarterlyChangeInInventory,trailingPretaxIncome,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualAccountsReceivable,trailingOperatingCashFlow,annualCurrentAssets,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,annualNetPPE,annualNetIncomeCommonStockholders,annualOtherNonCurrentAssets,annualOperatingCashFlow,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,annualOtherShortTermInvestments,trailingNetOtherInvestingChanges,annualOtherIntangibleAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCurrentLiabilities,annualChangeInAccountPayable,trailingRepaymentOfDebt,quarterlyBeginningCashPosition,annualRepaymentOfDebt,annualEbitda,quarterlyCapitalStock,annualOtherNonCurrentLiabilities,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyOperatingExpense,quarterlyPretaxIncome,trailingGrossProfit,annualOtherCurrentLiabilities,quarterlyNetOtherInvestingChanges,quarterlyCurrentDeferredRevenue,annualCashCashEquivalentsAndMarketableSecurities,trailingNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,annualCashFlowFromContinuingFinancingActivities,trailingInterestExpense,quarterlyBasicEPS,annualBeginningCashPosition,trailingOtherIncomeExpense,quarterlyOtherCurrentAssets,trailingChangeInCashSupplementalAsReported,annualOtherIncomeExpense,annualTotalNonCurrentAssets,annualGrossPPE,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,trailingCapitalExpenditure,trailingDepreciationAndAmortization,trailingCashFlowFromContinuingFinancingActivities,annualSellingGeneralAndAdministration,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,trailingOtherNonCashItems,quarterlyChangeInWorkingCapital,trailingNetIncomeContinuousOperations,annualNonCurrentDeferredTaxesLiabilities,quarterlyOperatingIncome,annualPurchaseOfBusiness,quarterlyDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,annualCapitalExpenditure,quarterlyIncomeTaxPayable,trailingStockBasedCompensation,trailingNetOtherFinancingCharges,quarterlyTotalRevenue,annualInvestingCashFlow,annualChangeInInventory,annualOperatingExpense,trailingSellingGeneralAndAdministration,quarterlyGrossPPE,quarterlyCapitalExpenditure,annualNetIncomeContinuousOperations,annualPurchaseOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,trailingBeginningCashPosition,annualInterestExpense,quarterlyDilutedAverageShares,trailingChangesInAccountReceivables,trailingCashDividendsPaid,quarterlyOtherCurrentLiabilities,trailingNetIncome,annualCapitalStock,annualGoodwill,annualStockBasedCompensation,quarterlyTaxProvision,trailingCostOfRevenue,quarterlyNetPPE,annualBasicEPS,annualChangesInAccountReceivables,annualDeferredIncomeTax,quarterlyStockBasedCompensation,trailingOperatingExpense,annualNetOtherFinancingCharges,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,annualGrossProfit,quarterlyEbitda,annualInventory,quarterlyChangeInCashSupplementalAsReported,annualAccumulatedDepreciation,trailingChangeInAccountPayable,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,trailingPurchaseOfBusiness,trailingDeferredIncomeTax,trailingResearchAndDevelopment,trailingDilutedEPS,annualResearchAndDevelopment,trailingDilutedAverageShares,trailingCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,trailingRepurchaseOfCapitalStock,trailingChangeInInventory,trailingBasicEPS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315446400,,,172100000.0,,,,,0.0,,,653100000.0,,,,,198700000.0,,,2100000.0,60600000.0,0.0,,24200000.0,,389900000.0,16900000.0,368200000.0,,,,19700000.0,36400000.0,,,,,51200000.0,,,139230769.0,0.26,,,,,,,,,,,,,,217800000.0,,,,,,,139230769.0,32600000.0,,,,,,,,,,,172000000.0,,,,,100500000.0,36200000.0,68300000.0,0.0,,,,,49100000.0,47000000.0,125100000.0,,,,,63100000.0,,11900000.0,,,,,,123000000.0,,,32600000.0,,,,,,,,,0.0,,,,10400000.0,217900000.0,179400000.0,,,,,,221800000.0,,,,,,,,15400000.0,,,,,,,,,,,0.0,,233700000.0,,,,36400000.0,,,,,1000000.0,,,,,,,,,,,,0.26,,,,,,,,,,284900000.0,,36600000.0,,-78900000.0,,,,,,,,,,,,,,,
347068800,,,197400000.0,,,,,0.0,,,733200000.0,,,,,227700000.0,,,3200000.0,63400000.0,0.0,,22800000.0,,449500000.0,19000000.0,486800000.0,,,,46300000.0,40600000.0,,,,,54200000.0,,,144285714.0,0.28,,,,,,,,,,,,,,252100000.0,,,,,,,144285714.0,6100000.0,,,,,,,,,,,161000000.0,,,,,131800000.0,40400000.0,85100000.0,0.0,,,,,71600000.0,81000000.0,116400000.0,,,,,68700000.0,,17500000.0,,,,,,113200000.0,,,6100000.0,,,,,,,,,0.0,,,,13000000.0,288500000.0,224400000.0,,,,,,177700000.0,,,,,,,,17200000.0,,,,,,,,,,,0.0,,192200000.0,,,,40600000.0,,,,,3900000.0,,,,,,,,,,,,0.28,,,,,,,,,,246400000.0,,39600000.0,,-92600000.0,,,,,,,,,,,,,,,
378604800,,,305700000.0,,,,,0.0,,,841700000.0,,,,,261900000.0,,,15300000.0,69700000.0,0.0,,21700000.0,,598900000.0,22900000.0,537900000.0,,,,100100000.0,48000000.0,,,,,58400000.0,,,144848485.0,0.33,,,,,,,,,,,,,,293200000.0,,,,,,,144848485.0,25600000.0,,,,,,,,,,,192200000.0,,,,,194500000.0,47800000.0,105500000.0,0.0,,,,,106700000.0,147500000.0,158200000.0,,,,,89900000.0,,22000000.0,,,,,,142900000.0,,,25600000.0,,,,,,,,,0.0,,,,24000000.0,406700000.0,307200000.0,,,,,,213900000.0,,,,,,,,25400000.0,,,,,,,,,,,0.0,,245400000.0,,,,48000000.0,,,,,12700000.0,,,,,,,,,,,,0.33,,,,,,,,,,303800000.0,,40600000.0,,-112700000.0,,,,,,,,,,,,,,,
410140800,,,422200000.0,,,,,0.0,,,933700000.0,,,,,298400000.0,,,16200000.0,85400000.0,0.0,,31100000.0,,761500000.0,22700000.0,584000000.0,,,,153500000.0,54300000.0,,,,,81500000.0,,,150277778.0,0.36,,,,,,,,,,,,,,339300000.0,,,,,,,150277778.0,43200000.0,,,,,,,,,,,202600000.0,,,,,243600000.0,54100000.0,107300000.0,0.0,,,,,208000000.0,233400000.0,188800000.0,,,,,119000000.0,,32600000.0,,,,,,172600000.0,,,43200000.0,,,,,,,,,0.0,,,,14200000.0,558900000.0,382800000.0,,,,,,230700000.0,,,,,,,,47300000.0,,,,,,,,,,,0.0,,268200000.0,,,,54300000.0,,,,,10400000.0,,,,,,,,,,,,0.36,,,,,,,,,,349700000.0,,43200000.0,,-139200000.0,,,,,,,,,,,,,,,
441676800,,,363900000.0,,,,,0.0,,,1091300000.0,,,,,359100000.0,,,7400000.0,146400000.0,0.0,,67700000.0,,774200000.0,32900000.0,608400000.0,,,,79600000.0,78700000.0,,,,,149500000.0,,,153921569.0,0.51,,,,,,,,,,,,,,410300000.0,,,,,,,153921569.0,24200000.0,,,,,,,,,,,192900000.0,,,,,279100000.0,78500000.0,101800000.0,0.0,,,,,200400000.0,172800000.0,191100000.0,,,,,196800000.0,,39300000.0,,,,,,183700000.0,,,24200000.0,,,,,,,,,0.0,,,,9100000.0,581300000.0,446300000.0,,,,,,286100000.0,,,,,,,,53900000.0,,,,,,,,,,,0.0,,333400000.0,,,,78700000.0,,,,,12300000.0,,,,,,,,,,,,0.51,,,,,,,,,,482900000.0,,36900000.0,,-167200000.0,,,,,,,,,,,,,,,
449539200,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158700000.0,24500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,297300000.0,,,,,,,,,297300000.0,,,,,,,,,,,,,158700000.0,,,,,,,,,,,,,,,,,,,,,,297300000.0,,,,,,,,,,,,,,,,,,
457401600,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158044000.0,27700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,306600000.0,,,,,,,,,306600000.0,,,,,,,,,,,,,158044000.0,,,,,,,,,,,,,,,,,,,,,,306600000.0,,,,,,,,,,,,,,,,,,
465350400,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157636000.0,20400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,289100000.0,,,,,,,,,289100000.0,,,,,,,,,,,,,157636000.0,,,,,,,,,,,,,,,,,,,,,,289100000.0,,,,,,,,,,,,,,,,,,
473299200,,188900000.0,383400000.0,,,,435700000.0,0.0,,,1229600000.0,,194500000.0,247300000.0,,435700000.0,,,3900000.0,186300000.0,0.0,,86100000.0,,868800000.0,14300000.0,676900000.0,868800000.0,,,74500000.0,100200000.0,,621500000.0,,,176700000.0,,,156250000.0,0.64,,,,37900000.0,,105800000.0,,,,,383400000.0,,,485400000.0,,,,27600000.0,,,156250000.0,81400000.0,,,,,76500000.0,74500000.0,,,,,247300000.0,,35100000.0,,,313500000.0,100000000.0,105800000.0,0.0,,,,,202200000.0,188900000.0,194500000.0,,,,,222500000.0,,37900000.0,,202200000.0,,,,190600000.0,,,81400000.0,,,485400000.0,-179500000.0,,,,,0.0,,14300000.0,,13600000.0,621500000.0,493000000.0,,,,,,330200000.0,81400000.0,3900000.0,81400000.0,,,,,76500000.0,-716300000.0,,,,,,,,,336600000.0,0.0,,376000000.0,,493000000.0,,100200000.0,,,,,4000000.0,,,,190600000.0,,,,,,,313500000.0,0.64,,,,,,,,,,552700000.0,-716300000.0,35100000.0,,-179500000.0,,,,,,,,,,,,,,,
