,annualNetPPE,quarterlyOperatingExpense,annualTotalNonCurrentAssets,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIncomeExpense,annualOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,annualGrossProfit,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,annualDilutedEPS,annualEbitda,trailingRepaymentOfDebt,quarterlyCapitalStock,annualCashFlowFromContinuingFinancingActivities,annualDilutedAverageShares,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,quarterlyCurrentDebt,trailingDepreciationAndAmortization,trailingCashFlowFromContinuingFinancingActivities,quarterlyCashFlowFromContinuingFinancingActivities,annualGrossPPE,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,trailingOtherNonCashItems,quarterlyDilutedEPS,annualPurchaseOfBusiness,annualBeginningCashPosition,annualIncomeTaxPayable,quarterlyOtherIntangibleAssets,annualOtherNonCurrentLiabilities,trailingOtherIncomeExpense,annualBasicAverageShares,trailingOperatingExpense,trailingSellingGeneralAndAdministration,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,annualInvestingCashFlow,annualOperatingExpense,quarterlyIncomeTaxPayable,quarterlyGrossPPE,annualAccumulatedDepreciation,annualPurchaseOfInvestment,quarterlyOperatingCashFlow,trailingInvestingCashFlow,annualCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,trailingPurchaseOfBusiness,trailingPurchaseOfInvestment,annualChangesInAccountReceivables,trailingInterestExpense,trailingNetIncomeContinuousOperations,trailingCashDividendsPaid,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,annualNonCurrentDeferredTaxesLiabilities,trailingNetIncome,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInWorkingCapital,trailingBeginningCashPosition,quarterlyStockBasedCompensation,trailingStockBasedCompensation,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,quarterlyEbitda,annualNetOtherFinancingCharges,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,annualChangeInCashSupplementalAsReported,annualInterestExpense,trailingChangeInWorkingCapital,annualRepaymentOfDebt,trailingChangesInAccountReceivables,quarterlyBasicAverageShares,quarterlyBasicEPS,annualGoodwill,annualCapitalStock,annualStockBasedCompensation,quarterlyCurrentLiabilities,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,trailingCommonStockIssuance,annualOperatingIncome,annualOtherShortTermInvestments,quarterlyCurrentAssets,trailingFreeCashFlow,annualTotalRevenue,quarterlyOtherNonCashItems,quarterlyDepreciationAndAmortization,annualChangeInAccountPayable,quarterlySellingGeneralAndAdministration,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,annualTaxProvision,annualOtherCurrentAssets,quarterlyRetainedEarnings,trailingTotalRevenue,annualEndCashPosition,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,trailingEndCashPosition,trailingTaxProvision,annualNetIncomeContinuousOperations,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualPretaxIncome,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyTotalAssets,trailingOperatingIncome,annualCostOfRevenue,quarterlyNetIncomeCommonStockholders,annualFreeCashFlow,annualInvestmentsAndAdvances,annualNetIncome,annualCurrentDebt,quarterlyTotalNonCurrentAssets,annualCashDividendsPaid,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualOtherNonCurrentAssets,trailingSaleOfInvestment,quarterlyOtherNonCurrentLiabilities,annualSellingGeneralAndAdministration,annualLongTermDebt,annualBasicEPS,annualCurrentAssets,annualRepurchaseOfCapitalStock,trailingPretaxIncome,annualOtherNonCashItems,quarterlyDilutedAverageShares,annualTotalAssets,quarterlyOtherCurrentAssets,annualStockholdersEquity,quarterlyGoodwill,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,quarterlyNetOtherInvestingChanges,annualDepreciationAndAmortization,quarterlyOtherIncomeExpense,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,trailingNetIncomeCommonStockholders,trailingNetOtherInvestingChanges,annualRetainedEarnings,quarterlyStockholdersEquity,annualCurrentAccruedExpenses,annualCurrentLiabilities,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredTaxesLiabilities,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyGrossProfit,trailingRepurchaseOfCapitalStock,annualSaleOfInvestment,quarterlyInvestingCashFlow,annualCommonStockIssuance,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,trailingChangeInInventory,quarterlyDeferredIncomeTax,quarterlyCurrentDeferredRevenue,annualInventory,quarterlyAccountsPayable,trailingGrossProfit,annualResearchAndDevelopment,annualCurrentDeferredRevenue,quarterlyInventory,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,annualDeferredIncomeTax,trailingCapitalExpenditure,annualNonCurrentDeferredRevenue,trailingBasicAverageShares,trailingBasicEPS,trailingDeferredIncomeTax,trailingCostOfRevenue,quarterlyChangeInInventory,annualChangeInInventory,trailingDilutedEPS,trailingDilutedAverageShares,trailingResearchAndDevelopment,trailingChangeInAccountPayable,annualAccountsPayable
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500000.0,,,,,,,,,,,1500000.0,,,,,,,,,6470588.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,1500000.0,,,,,,,,,,,,1100000.0,,,,,,,1100000.0,1100000.0,,,,,,,,,,,6470588.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709862400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500000.0,,,,,,,,,,,1500000.0,,,,,,,,,6470588.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,1500000.0,,,,,,,,,,,,1100000.0,,,,,,,1100000.0,1100000.0,,,,,,,,,,,6470588.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717811200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500000.0,,,,,,,,,,,1500000.0,,,,,,,,,6470588.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,1500000.0,,,,,,,,,,,,1100000.0,,,,,,,1100000.0,1100000.0,,,,,,,,,,,6470588.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725760000,76400000.0,,,,,,5500000.0,,,,,,0.68,7400000.0,,,139300000.0,6470588.0,,,,76400000.0,,,14100000.0,,,,,,,,,,,,,,,,,,6470588.0,,,,,-143300000.0,-700000.0,,,,,,,,,,,-300000.0,,,,2100000.0,,,,,,,,,,,2100000.0,-7000000.0,,,1400000.0,300000.0,,,,,,,,,,,,,6600000.0,,,,5900000.0,,,600000.0,,,600000.0,22300000.0,,,4400000.0,,,,,1400000.0,,,4400000.0,-143300000.0,,,22300000.0,,144800000.0,,,1100000.0,5500000.0,,4400000.0,14100000.0,,-1600000.0,1100000.0,1100000.0,,,,500000.0,2100000.0,0.68,,,,-300000.0,,144800000.0,,122500000.0,,,4400000.0,,800000.0,,,,,,4400000.0,122500000.0,,,2100000.0,,,,,,,,,130200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
733536000,,-600000.0,,,,,,,,,1400000.0,,,,,,,,,,,77500000.0,,,19800000.0,,,1200000.0,,500000.0,-1700000.0,2600000.0,,,,0.45,,,,,,,,,,,,,,,,,,2800000.0,,,2400000.0,,,,,,,5000000.0,,,,,,,,,,,5000000.0,,,,,,,,,4042000.0,0.45,,,,,,-3100000.0,,,,,,,-100000.0,,,400000.0,,,,,,2700000.0,,,,,4400000.0,,,,,,,26700000.0,1100000.0,149000000.0,,,2900000.0,,,,,,,2900000.0,2900000.0,,,,,,,,,,,4042000.0,,,,,,,,,,,,,,,122300000.0,,,6200000.0,,,,,,,,-1700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741398400,,-600000.0,,,,,,,,,,,,,,,,,,,,76900000.0,,,24300000.0,,,1400000.0,,600000.0,,-4100000.0,,,,0.46,,,,,,,,,,,,,,,,,,3900000.0,,,600000.0,,,,,,,5300000.0,,,,,,,,,,,5300000.0,,,,,,,,,6521739.0,0.46,,,,,,-3100000.0,,,,,,,800000.0,,,400000.0,,,,,,10400000.0,,,,,4700000.0,,,,,,,31200000.0,5600000.0,153400000.0,,,3000000.0,,,,,,,3000000.0,3000000.0,,,,,,,,,,,6521739.0,,,,,,,,,,,,,,,122200000.0,,,6200000.0,,,,,,,,-4600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749347200,,-600000.0,,,,,,,,,,,,,,,,,,,,76300000.0,,,6200000.0,,,56500000.0,,1300000.0,,-3800000.0,,,,0.41,,,,,,,,,,,,,,,,,,4800000.0,,,25700000.0,,,,,,,5600000.0,,,,,,,,,,,5600000.0,,,,,,,,,6585366.0,0.41,,,,,,-3300000.0,,,,,,,2600000.0,,,400000.0,,,,,,13100000.0,,,,,5000000.0,,,,,,,96100000.0,4800000.0,217700000.0,,,2700000.0,,,,,,,2700000.0,2700000.0,,,,,,,,,,,6585366.0,,,,,,,-35500000.0,,,,,,,,121600000.0,,,88000000.0,,,,,,,,-35500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757296000,123800000.0,-900000.0,,,,,16600000.0,,,,,13400000.0,1.78,26600000.0,,,79200000.0,6516854.0,,,,123800000.0,-1300000.0,,14500000.0,,,20100000.0,,2200000.0,,1100000.0,,,,,,1400000.0,,,,,6516854.0,,,,,-88500000.0,-2800000.0,,,,,5100000.0,,,-21500000.0,,,-1500000.0,,,,7600000.0,,,,,4400000.0,,,,,,7600000.0,-4200000.0,,,7200000.0,4600000.0,,-700000.0,,,,,,,,,-3300000.0,,23600000.0,,,,20800000.0,-5300000.0,,3500000.0,500000.0,,4000000.0,120900000.0,,,16000000.0,,,,,6700000.0,,,11600000.0,-88500000.0,,,120900000.0,5100000.0,243600000.0,,,3000000.0,16600000.0,,11600000.0,14500000.0,,-12800000.0,3000000.0,3000000.0,,,,1800000.0,103600000.0,1.78,,,,-2000000.0,,243600000.0,,122700000.0,,,11600000.0,-46700000.0,3000000.0,,,,,,16000000.0,122700000.0,,,103600000.0,,,,,,,,-46700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765072000,,-1000000.0,,,,,,,,,8600000.0,-5800000.0,,,,,,,,,,238400000.0,-100000.0,,,,,43200000.0,,2600000.0,,-5700000.0,,,,0.45,,,,,,,,,,,,,,,,,,4400000.0,,,36500000.0,,,,,,,8300000.0,,,,,-200000.0,,,,,,8300000.0,,72800000.0,,,,,,,6666667.0,0.45,,,,,,-3600000.0,,,,,,,1600000.0,,,700000.0,,,,,,19000000.0,,,,,7300000.0,,,,,,,99900000.0,4400000.0,291300000.0,,,3000000.0,,,,,,,3000000.0,3000000.0,,,,,,,,,,,6666667.0,,,,,,,-11100000.0,,,,,,,,191400000.0,,,97700000.0,,,,,,,,-11100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
