,annualCostOfRevenue,quarterlyOtherNonCashItems,trailingOperatingIncome,annualResearchAndDevelopment,annualAccountsPayable,annualChangeInAccountPayable,quarterlySellingGeneralAndAdministration,trailingTotalRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,trailingFreeCashFlow,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyCurrentAssets,annualOtherShortTermInvestments,annualTaxProvision,quarterlyDepreciationAndAmortization,trailingTaxProvision,quarterlyRetainedEarnings,annualEndCashPosition,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualOperatingIncome,annualBasicAverageShares,annualOtherCurrentAssets,annualNetIncomeContinuousOperations,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,quarterlyOperatingIncome,annualTotalLiabilitiesNetMinorityInterest,trailingEndCashPosition,quarterlyTotalAssets,annualBasicEPS,quarterlyNetIncomeCommonStockholders,annualInvestmentsAndAdvances,annualNetIncome,annualFreeCashFlow,annualCurrentDebt,quarterlyTotalNonCurrentAssets,trailingSellingGeneralAndAdministration,annualGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,annualOperatingExpense,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,annualCashDividendsPaid,quarterlyOtherNonCurrentLiabilities,annualDilutedAverageShares,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,trailingPretaxIncome,annualTotalAssets,quarterlyOtherCurrentAssets,annualSellingGeneralAndAdministration,quarterlyBasicEPS,annualLongTermDebt,annualOtherNonCurrentAssets,annualCurrentAssets,annualRepurchaseOfCapitalStock,annualOtherNonCashItems,trailingNetIncomeCommonStockholders,trailingNetOtherInvestingChanges,quarterlyStockholdersEquity,annualStockholdersEquity,annualCurrentLiabilities,quarterlyAccountsReceivable,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,quarterlyCurrentAccruedExpenses,annualDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,annualDilutedEPS,quarterlyInvestingCashFlow,annualSaleOfInvestment,annualCommonStockIssuance,quarterlyGrossProfit,quarterlyEndCashPosition,annualRetainedEarnings,trailingRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,annualCurrentAccruedExpenses,quarterlyOperatingExpense,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,trailingOperatingCashFlow,annualAccountsReceivable,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyCashAndCashEquivalents,trailingOtherIncomeExpense,annualCapitalStock,annualOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualCashFlowFromContinuingFinancingActivities,annualCashCashEquivalentsAndMarketableSecurities,annualInventory,quarterlyTaxProvision,trailingCashFlowFromContinuingFinancingActivities,quarterlyPurchaseOfBusiness,quarterlyBasicAverageShares,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyRepaymentOfDebt,annualGrossProfit,annualTotalNonCurrentAssets,annualEbitda,annualNetPPE,quarterlyCapitalStock,annualOtherIncomeExpense,quarterlyBeginningCashPosition,annualOtherNonCurrentLiabilities,annualGrossPPE,quarterlyInterestExpense,trailingDepreciationAndAmortization,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyChangesInAccountReceivables,annualChangeInInventory,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,trailingOtherNonCashItems,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,annualBeginningCashPosition,annualPurchaseOfBusiness,trailingCapitalExpenditure,annualPurchaseOfInvestment,quarterlyChangeInCashSupplementalAsReported,trailingInvestingCashFlow,quarterlyOperatingCashFlow,annualCapitalExpenditure,annualInvestingCashFlow,quarterlyGrossPPE,annualInterestExpense,quarterlyRepurchaseOfCapitalStock,annualPretaxIncome,annualDeferredIncomeTax,trailingCashDividendsPaid,quarterlySaleOfInvestment,annualAccumulatedDepreciation,trailingNetIncome,quarterlyDilutedEPS,annualNonCurrentDeferredTaxesLiabilities,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,annualNonCurrentDeferredRevenue,trailingBeginningCashPosition,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,trailingOperatingExpense,annualChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentLiabilities,trailingNetIncomeContinuousOperations,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyEbitda,annualOtherCurrentLiabilities,annualNetOtherFinancingCharges,trailingChangesInAccountReceivables,annualChangeInCashSupplementalAsReported,annualRepaymentOfDebt,trailingChangeInWorkingCapital,trailingGrossProfit,trailingResearchAndDevelopment,annualTotalRevenue,trailingInterestExpense,annualGoodwill,trailingDilutedAverageShares,annualStockBasedCompensation,quarterlyStockBasedCompensation,trailingNetOtherFinancingCharges,trailingBasicEPS,trailingCommonStockIssuance,annualIncomeTaxPayable,trailingChangeInAccountPayable,trailingDeferredIncomeTax,quarterlyGoodwill,trailingStockBasedCompensation,trailingBasicAverageShares,trailingChangeInInventory,trailingSaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyCurrentDeferredRevenue,trailingRepaymentOfDebt,trailingPurchaseOfInvestment,annualCurrentDeferredRevenue,trailingPurchaseOfBusiness,trailingDilutedEPS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315446400,1571000000.0,,,,,,,,29600000.0,,,,,,,91600000.0,,,,0.0,,,184100000.0,421382809.0,112600000.0,120100000.0,,14000000.0,,,,259200000.0,,,0.285014,,,120100000.0,0.0,10700000.0,,,,,127600000.0,,,,,421382809.0,,,,742100000.0,,116900000.0,,18200000.0,91700000.0,523500000.0,,,,,,482900000.0,229600000.0,,,120100000.0,,,,0.285014,,,,,,384000000.0,,,,,,,,,,,,,,,,0.0,,,,14000000.0,254000000.0,,,,,,,,311700000.0,218600000.0,194800000.0,126900000.0,,30800000.0,,-100000.0,203400000.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,,3200000.0,,211700000.0,,,,-76500000.0,,,11500000.0,,,,,,,,,,,,,,,,,218900000.0,,,,,,,,1882700000.0,,,,,,,,,,,,,,,,,,,,,,,
347068800,1433000000.0,,,,,,,,35700000.0,,,,,,,52400000.0,,,,0.0,,,99900000.0,418110204.0,141300000.0,81100000.0,,16800000.0,,,,232100000.0,,,0.193968,,,81100000.0,0.0,10100000.0,,,,,140800000.0,,,,,418110204.0,,,,772600000.0,,127300000.0,,17500000.0,110400000.0,471300000.0,,,,,,540500000.0,196400000.0,,,81100000.0,,,,0.193968,,,,,,441600000.0,,,,,,,,,,,,,,,,0.0,,,,16800000.0,198200000.0,,,,,,,,240700000.0,301300000.0,113400000.0,190900000.0,,38100000.0,,0.0,279000000.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,,4500000.0,,133500000.0,,,,-88100000.0,,,18200000.0,,,,,,,,,,,,,,,,,186300000.0,,,,,,,,1673700000.0,,,,,,,,,,,,,,,,,,,,,,,
378604800,1477400000.0,,,,,,,,41000000.0,,,,,,,50100000.0,,,,0.0,,,92600000.0,421527107.0,173700000.0,85100000.0,,15200000.0,,,,246400000.0,,,0.201885,,,85100000.0,0.0,23000000.0,,,,,165400000.0,,,,,421527107.0,,,,848000000.0,,145800000.0,,15600000.0,142000000.0,503400000.0,,,,,,601600000.0,205400000.0,,,85100000.0,,,,0.201885,,,,,,436500000.0,,,,,,,,,,,,,,,,0.0,,,,15200000.0,189600000.0,,,,,,,,258000000.0,344600000.0,112200000.0,202600000.0,,50000000.0,,0.0,308600000.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,,7300000.0,,135200000.0,,,,-106000000.0,,,25400000.0,,,,,,,,,,,,,,,,,182400000.0,,,,,,,,1735400000.0,,,,,,,,,,,,,,,,,,,,,,,
410140800,1060000000.0,,,,,,,,36700000.0,,,,,,,21300000.0,,,,0.0,,,15700000.0,418785858.0,248100000.0,37300000.0,,15600000.0,,,,222400000.0,,,0.089067,,,37300000.0,0.0,22400000.0,,,,,154200000.0,,,,,418785858.0,,,,806700000.0,,134600000.0,,12700000.0,128700000.0,484000000.0,,,,,,584300000.0,185700000.0,,,37300000.0,,,,0.089067,,,,,,455700000.0,,,,,,,,,,,,,,,,0.0,,,,15600000.0,128800000.0,,,,,,,,169900000.0,322700000.0,35300000.0,194000000.0,,48000000.0,,0.0,310500000.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,,5100000.0,,58600000.0,,,,-116500000.0,,,24000000.0,,,,,,,,,,,,,,,,,163300000.0,,,,,,,,1229900000.0,,,,,,,,,,,,,,,,,,,,,,,
441676800,1234100000.0,,,,,,,,45500000.0,,,,,,,24100000.0,,,,0.0,,,27600000.0,421031358.0,213200000.0,37500000.0,,20400000.0,,,,291200000.0,,,0.089067,,,37500000.0,0.0,14000000.0,,,,,150300000.0,,,,,421031358.0,,,,895600000.0,,131200000.0,,14100000.0,169700000.0,526600000.0,,,,,,604400000.0,245700000.0,,,37500000.0,,,,0.089067,,,,,,424100000.0,,,,,,,,,,,,,,,,0.0,,,,20400000.0,169900000.0,,,,,,,,177900000.0,369000000.0,46700000.0,199300000.0,,37000000.0,,-100000.0,327600000.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,,3000000.0,,61600000.0,,,,-128300000.0,,,31500000.0,,,,,,,,,,,,,,,,,231700000.0,,,,,,,,1412000000.0,,,,,,,,,,,,,,,,,,,,,,,
449539200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541100000.0,541100000.0,,,,,,,,,,,,,,,,421288289.0,,,,,21300000.0,,,,,0.051461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421288289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051461,,,,,,,,,,,,,,,,,541100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457401600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597800000.0,597800000.0,,,,,,,,,,,,,,,,421288289.0,,,,,31300000.0,,,,,0.075212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421288289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075212,,,,,,,,,,,,,,,,,597800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465350400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560700000.0,560700000.0,,,,,,,,,,,,,,,,421338816.0,,,,,38300000.0,,,,,0.091046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421338816.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.091046,,,,,,,,,,,,,,,,,560700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473299200,1930600000.0,,,,,,,,38900000.0,,,277700000.0,,637800000.0,,74500000.0,,,509500000.0,0.0,38900000.0,,153300000.0,419247229.0,321200000.0,125300000.0,,23800000.0,,549100000.0,-1546300000.0,316600000.0,,1001600000.0,0.298869,,,125300000.0,0.0,9700000.0,363800000.0,,,316600000.0,164800000.0,,,,-100000.0,419247229.0,,34400000.0,,1001600000.0,321200000.0,145000000.0,,13800000.0,172200000.0,637800000.0,,,,,685000000.0,685000000.0,277700000.0,,,125300000.0,,,,0.298869,,,,,,509500000.0,,,,,13800000.0,,25200000.0,168600000.0,,,,,23800000.0,,,0.0,23800000.0,,,23800000.0,168600000.0,,,,,191600000.0,,,318100000.0,363800000.0,173100000.0,191600000.0,,48800000.0,,-100000.0,326700000.0,,,,,9700000.0,,,,172200000.0,,,-135100000.0,0.0,,,,,,,,0.0,326700000.0,2300000.0,,199800000.0,,,,-135100000.0,,,25200000.0,,,,,,,,,,,,268000000.0,,,,-1546300000.0,268000000.0,,,,,,,,2248700000.0,,,,,,,,,,,,,,,,,,,,,,,
481075200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492600000.0,492600000.0,,,,,,,,,,,,,,,,421338816.0,,,,,20800000.0,,,,,0.049481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421338816.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049481,,,,,,,,,,,,,,,,,492600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488937600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479700000.0,479700000.0,,,,,,,,,,,,,,,,421338816.0,,,,,19900000.0,,,,,0.047502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421338816.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047502,,,,,,,,,,,,,,,,,479700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496886400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429200000.0,429200000.0,,,,,,,,,,,,,,,,421379237.0,,,,,12700000.0,,,,,0.029689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421379237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029689,,,,,,,,,,,,,,,,,429200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
